 Morbidade Hospitalar do SUS - por local de residência - Acre
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"Total"
"120034 Manoel Urbano";-;-;-;337,97;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;659,74;-;311,76;-;-;-;-;327,76;-;-;44,22;-;345,30;911,28;-;-;-;-;-;-;-;-;-;-;287,76;-;-;44,22;-;-;-;-;-;-;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;583,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;44,22;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5336,55
"120035 Marechal Thaumaturgo";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;615,72;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;373,91;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;591,52;935,28;591,52;-;-;-;-;44,22;-;-;-;607,52;-;4055,45
"120038 Plácido de Castro";-;-;-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;345,30;-;-;-;-;-;-;-;-;-;-;88,44;639,52;-;287,76;-;-;-;-;-;863,28;-;351,03;347,98;697,80;863,28;-;-;-;-;-;-;287,76;1302,12;863,28;68,22;331,98;287,76;583,52;287,76;-;-;287,76;1215,04;287,76;-;1502,80;2641,90;887,28;1438,80;-;-;-;-;287,76;327,76;-;287,76;287,76;575,52;-;287,76;287,76;-;327,76;-;-;319,76;-;575,52;-;324,90;303,76;-;-;-;-;-;-;661,86;-;-;-;287,76;-;-;-;287,76;-;-;-;-;-;1077,46;-;863,28;311,76;-;-;44,22;-;-;-;-;-;-;-;-;-;-;895,28;-;-;-;-;-;761,71;655,72;-;-;287,76;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;287,76;-;28211,36
"120080 Porto Acre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;389,52;652,26;1380,02;-;-;-;-;-;-;311,96;-;-;303,76;345,30;-;-;287,76;-;-;-;-;-;1116,41;-;327,96;-;327,76;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;327,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;625,03;365,71;311,96;-;325,71;7686,64
"120039 Porto Walter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;345,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;367,76;-;-;287,76;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;295,76;341,71;-;701,47;-;328,76;-;-;-;-;-;-;-;-;-;-;-;3835,56
"120040 Rio Branco";313,91;575,51;4562,50;2321,79;1765,73;5224,77;3062,26;1241,36;1233,57;313,91;1801,57;1324,19;2485,67;14440,21;32924,81;53312,68;34674,03;16774,35;4670,74;2567,85;2040,66;1352,46;1390,86;1668,57;5722,42;9924,65;24428,49;28257,70;22614,92;11886,10;9512,12;3129,19;3766,59;2075,56;690,60;4043,01;11357,72;18246,93;25595,66;19482,01;12347,79;6281,20;2641,80;1383,80;640,68;345,30;345,77;591,52;1419,15;1951,30;1638,00;4161,84;3687,72;345,30;-;319,76;410,04;981,62;-;364,50;1288,98;1255,24;3087,09;4230,47;903,28;528,32;671,52;3344,68;-;295,76;-;-;-;1662,59;711,52;319,76;575,52;-;1207,04;303,76;637,47;-;-;287,76;351,76;639,52;490,06;1288,01;-;1165,99;855,87;-;325,71;646,67;311,76;391,88;-;-;311,76;616,92;287,76;639,52;287,76;-;-;319,76;-;-;-;-;-;-;-;-;-;820,67;-;1019,67;456,00;-;633,06;295,76;-;287,76;311,96;1081,50;497,88;-;-;641,06;303,76;957,43;287,76;997,63;5338,26;612,19;1655,86;767,40;464,58;343,96;-;-;-;-;580,58;-;-;968,82;962,42;455,09;871,87;-;-;-;287,76;-;999,40;3985,20;955,62;490717,10
"120042 Rodrigues Alves";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;295,76;295,76;-;-;639,52;1207,04;3301,36;2070,32;1782,56;335,76;287,76;-;-;591,52;951,28;887,28;295,76;-;-;461,75;-;327,76;165,99;607,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;303,76;-;-;-;-;-;-;303,76;-;-;-;320,76;-;-;-;295,76;-;529,97;911,28;976,64;1247,04;2516,03;2332,31;607,52;303,76;-;607,52;-;-;361,16;-;-;1606,80;935,28;29583,33
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;560,24;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;115,49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;963,49
"120050 Sena Madureira";-;-;-;-;1046,40;523,20;1372,00;523,20;261,60;-;261,60;604,20;287,76;287,76;1438,80;575,52;1151,04;1587,10;1492,75;1151,04;325,71;303,76;-;311,76;287,76;2877,60;2038,32;2111,86;4242,47;3929,82;3005,80;879,28;895,28;-;903,48;575,52;863,28;1216,58;2374,08;1822,76;4412,40;949,23;575,52;-;287,76;287,76;575,52;-;599,52;319,76;879,28;-;599,52;287,76;335,76;287,76;345,30;-;287,76;345,30;-;44,22;903,48;895,28;2694,04;1275,10;863,28;311,76;934,55;1547,22;599,52;623,52;2170,54;2705,33;2046,32;671,64;911,28;1167,04;-;-;-;287,76;-;-;-;347,98;591,52;903,28;331,98;-;44,22;303,76;287,76;-;-;-;-;-;-;-;599,52;887,28;287,76;295,76;303,76;287,76;-;-;848,00;-;-;903,28;864,28;583,52;303,76;-;-;-;-;319,76;-;-;287,76;311,76;-;-;287,76;1151,04;583,52;287,76;1227,26;4688,38;6897,75;7530,38;2474,30;2150,84;303,76;1167,04;639,52;-;-;-;-;-;-;591,52;391,88;1192,04;-;-;-;-;-;-;-;-;-;295,76;-;115311,85
"120045 Senador Guiomard";-;261,60;293,60;523,20;-;277,60;261,60;-;-;-;-;-;-;-;1232,78;575,52;1742,56;639,52;934,62;-;863,28;-;-;-;-;-;763,82;4124,64;1630,29;1151,97;295,76;-;-;-;335,76;287,76;1454,80;5259,68;5048,66;3852,88;5524,98;1223,04;-;591,52;615,52;287,76;591,52;-;591,52;1726,56;4068,64;1742,56;1223,04;775,76;311,76;583,52;575,52;951,28;287,76;287,76;303,76;2621,84;1270,31;1726,56;-;895,28;575,52;-;-;607,52;287,76;287,76;-;319,76;-;-;863,28;-;-;-;607,52;287,76;335,76;-;-;-;287,76;-;287,76;2038,32;303,76;287,76;575,52;287,76;-;44,22;591,52;-;355,98;575,52;883,34;1478,80;951,28;-;-;367,76;-;303,76;-;615,52;311,76;-;-;55,27;-;-;-;303,76;-;-;-;-;631,52;1304,11;1462,80;887,28;863,28;1742,56;-;297,10;311,76;1207,04;344,03;863,28;911,28;-;1766,56;-;-;623,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;417,20;2925,60;1462,80;93691,16
"120060 Tarauacá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;345,30;-;-;-;-;-;-;-;-;-;-;-;447,02;607,52;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;44,22;287,76;-;-;-;-;-;-;-;-;-;-;-;52,22;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;413,91;-;-;287,76;-;-;-;-;-;319,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;295,76;-;343,76;303,76;1215,04;44,22;1011,50;1147,99;335,76;990,55;303,76;639,52;287,76;303,76;615,52;591,52;-;-;52,22;-;-;-;-;-;-;-;735,96;596,58;13771,45
"120070 Xapuri";-;-;555,20;-;277,60;800,80;285,60;-;-;-;-;-;-;-;647,52;2086,32;287,76;287,76;287,76;-;-;-;-;287,76;-;2685,84;1758,56;3341,36;2414,08;-;-;607,52;287,76;-;-;708,06;-;-;887,28;-;1007,40;-;311,76;-;960,24;-;-;287,76;319,76;319,76;327,76;319,76;591,52;887,28;287,76;-;2334,08;-;-;-;-;895,28;2957,60;2709,84;903,28;3557,12;1175,04;919,28;1502,07;-;311,76;-;-;-;287,76;287,76;287,76;319,76;-;-;303,76;-;-;-;311,76;-;-;-;287,76;295,76;-;-;-;-;-;-;-;-;-;287,76;-;-;311,76;-;-;-;-;-;-;-;287,76;591,52;287,76;1223,04;311,76;895,28;311,76;-;-;303,76;311,76;615,52;919,28;1518,80;895,28;615,52;-;-;1263,04;-;311,76;335,76;639,52;311,76;2222,32;607,52;303,76;-;-;623,52;-;303,76;303,76;-;631,52;3069,60;919,28;967,28;303,76;52,22;303,76;-;-;-;-;-;-;3193,73;4445,08;74563,76
"Total";313,91;837,11;6031,94;3706,16;3089,73;7705,71;5259,06;1764,56;1495,17;313,91;2344,77;1928,39;2773,43;15015,73;38665,03;62091,93;42168,93;21249,71;9410,27;6668,65;6535,45;3095,02;1990,38;5296,43;10668,29;21105,69;32649,57;50686,80;48806,88;33470,43;17146,08;6630,31;5525,15;2651,08;2857,12;9642,99;16598,77;27211,77;46800,13;38750,59;29634,65;10204,23;3529,08;2279,08;3943,00;1496,34;2128,33;1470,80;3793,23;6786,54;8352,48;9513,74;8464,10;4054,66;3001,82;2342,08;4528,22;2508,42;2374,08;5737,72;6804,42;6830,90;12075,58;16848,21;8444,97;9996,70;4624,70;4915,70;3372,30;3066,02;1486,80;1630,92;2170,54;5550,96;4804,16;4520,74;12047,33;12030,16;5331,68;1526,80;9680,90;6072,08;18643,89;40832,23;49537,79;36189,49;25492,21;17590,33;11021,42;18336,03;3991,64;3669,12;14370,39;2165,47;959,48;2329,00;1996,55;1967,83;5379,36;5123,31;5335,74;5379,88;2126,32;887,28;927,28;1311,82;927,28;879,28;1791,28;2004,74;2267,80;2358,08;3474,94;2165,59;2275,86;2047,93;647,52;1970,95;911,15;2021,21;1840,10;3076,70;4445,51;4949,23;3269,56;4071,10;2831,96;3470,12;1846,56;2209,40;3043,23;9004,17;10489,77;11901,57;15128,36;6973,62;9046,09;5056,51;5337,69;3405,56;3556,95;2446,28;5247,81;6251,52;10537,21;13623,83;19593,41;17979,49;6059,75;2038,33;1463,39;955,50;907,50;554,84;2349,70;1584,97;7552,22;26144,13;14735,88;1437215,19
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
