 Morbidade Hospitalar do SUS - por local de residência - Acre
Internações por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"Total"
"120042 Rodrigues Alves";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;-;-;2;4;11;7;6;1;1;-;-;2;3;3;1;-;-;2;-;1;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;3;3;4;4;8;8;2;1;-;2;-;-;1;-;-;5;3;100
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4
"120050 Sena Madureira";-;-;-;-;4;2;5;2;1;-;1;2;1;1;5;2;4;5;5;4;1;1;-;1;1;10;7;7;14;13;10;3;3;-;3;2;3;4;8;6;15;3;2;-;1;1;2;-;2;1;3;-;2;1;1;1;1;-;1;1;-;1;3;3;9;4;3;1;4;6;2;2;8;11;7;2;3;4;-;-;-;1;-;-;-;2;2;3;2;-;1;1;1;-;-;-;-;-;-;-;2;3;1;1;1;1;-;-;2;-;-;3;3;2;1;-;-;-;-;1;-;-;1;1;-;-;1;4;2;1;5;17;24;27;9;8;1;4;2;-;-;-;-;-;-;2;1;4;-;-;-;-;-;-;-;-;-;1;-;401
"120045 Senador Guiomard";-;1;1;2;-;1;1;-;-;-;-;-;-;-;4;2;6;2;2;-;3;-;-;-;-;-;2;14;5;3;1;-;-;-;1;1;5;18;17;13;19;4;-;2;2;1;2;-;2;6;14;6;4;2;1;2;2;3;1;1;1;9;5;6;-;3;2;-;-;2;1;1;-;1;-;-;3;-;-;-;2;1;1;-;-;-;1;-;1;7;1;1;2;1;-;1;2;-;2;2;3;5;3;-;-;1;-;1;-;2;1;-;-;1;-;-;-;1;-;-;-;-;2;4;5;3;3;6;-;1;1;4;2;3;3;-;6;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;10;5;317
"120060 Tarauacá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;1;1;4;1;4;3;1;4;1;2;1;1;2;2;-;-;1;-;-;-;-;-;-;-;4;6;54
"120070 Xapuri";-;-;2;-;1;3;1;-;-;-;-;-;-;-;2;7;1;1;1;-;-;-;-;1;-;9;6;11;8;-;-;2;1;-;-;1;-;-;3;-;3;-;1;-;2;-;-;1;1;1;1;1;2;3;1;-;8;-;-;-;-;3;10;9;3;12;4;3;6;-;1;-;-;-;1;1;1;1;-;-;1;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;1;2;1;4;1;3;1;-;-;1;1;2;3;5;3;2;-;-;4;-;1;1;2;1;7;2;1;-;-;2;-;1;1;-;2;10;3;3;1;1;1;-;-;-;-;-;-;11;16;248
"Total";1;3;14;13;11;25;18;6;5;1;7;6;9;35;109;149;118;62;32;24;20;10;6;19;33;63;91;156;144;102;54;20;15;8;9;29;50;76;132;117;93;32;11;7;12;5;7;5;12;22;28;30;28;13;11;8;15;8;8;19;23;24;41;52;30;33;15;7;13;11;5;5;8;19;16;16;41;41;18;5;32;19;63;137;157;120;86;56;37;62;13;12;49;6;3;8;7;6;18;18;18;18;7;3;3;4;3;3;5;4;7;8;11;8;7;7;2;5;2;7;6;7;14;16;11;13;9;12;6;7;11;31;36;41;45;24;28;16;16;11;13;8;18;21;32;44;63;58;23;8;4;4;4;5;6;6;26;94;58;4495
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
