 Morbidade Hospitalar do SUS - por local de residência - Tocantins
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"Total"
"170200 Araguaçu";-;-;800,80;-;523,20;1569,60;2116,80;5272,00;-;261,60;-;-;287,76;-;2318,08;2326,08;-;1438,80;1163,04;1183,04;1151,04;599,52;-;575,52;2893,60;4332,40;7849,52;7569,76;6682,48;4068,64;6162,96;2629,84;591,52;-;-;-;3557,12;9456,52;2965,60;2014,32;2685,84;3858,83;4955,92;5939,20;4692,16;2086,32;1734,56;1806,56;5535,17;5410,95;2078,32;2785,33;4132,64;5815,57;12641,32;9094,46;1258,53;303,76;1191,04;-;331,98;879,28;1782,56;3221,36;9828,38;7657,76;5323,68;1482,86;1804,91;-;-;303,76;-;4468,40;16398,70;22469,27;8840,80;10079,84;4188,64;1798,56;1271,16;599,52;-;-;311,76;1191,04;599,52;887,28;3956,88;4740,16;1191,04;287,76;-;-;-;-;-;-;287,76;575,52;4676,16;2677,84;1191,04;607,52;287,76;-;-;-;-;311,76;287,76;1854,76;3269,36;1502,80;303,76;303,76;295,76;-;-;-;-;-;311,76;599,52;615,52;311,76;911,28;1231,24;-;-;-;-;-;287,76;311,76;-;895,28;2989,60;2941,60;-;-;-;-;591,52;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;306984,18
"170210 Araguaína";-;-;1795,60;4331,32;8909,01;13092,18;8894,13;2550,39;-;547,20;555,20;277,60;1015,93;363,82;943,28;951,28;927,28;655,52;591,52;1239,04;1799,36;319,76;-;-;467,78;-;911,28;879,28;1323,75;583,52;987,99;1247,04;303,76;303,76;-;-;-;708,63;2366,08;3317,36;4148,79;4391,89;2156,27;1231,04;935,28;871,72;287,76;295,76;-;591,52;895,28;287,76;2458,79;1302,43;575,52;2326,24;431,67;-;-;-;-;311,76;311,76;287,76;-;830,94;388,47;311,76;919,28;327,76;311,76;-;-;-;-;431,67;287,76;-;325,71;-;615,52;623,52;-;-;-;-;-;311,76;599,52;311,76;979,99;-;687,64;615,52;-;-;442,63;-;-;631,52;311,76;903,28;287,76;583,52;-;1510,80;-;-;311,76;311,76;-;935,28;1859,70;2701,84;3630,52;942,21;-;385,89;-;-;-;390,51;-;790,57;-;653,47;287,76;303,76;-;-;-;-;-;-;-;1059,23;3853,97;4294,91;6957,79;3859,48;5191,22;287,76;1151,04;661,47;-;-;-;1033,19;576,93;-;768,64;-;-;-;-;-;-;-;-;144010,92
"170215 Araguanã";-;261,60;-;-;-;-;-;261,60;-;-;547,20;-;-;-;623,52;-;287,76;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;325,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;583,52;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;287,76;-;-;-;-;-;-;-;295,76;303,76;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6120,27
"170220 Araguatins";-;-;-;2387,40;523,20;2624,00;1366,04;784,80;-;-;-;-;-;261,60;591,52;-;287,76;303,76;287,76;575,52;863,28;-;-;287,76;-;599,52;-;-;-;575,52;311,76;287,76;-;-;-;-;287,76;-;-;-;-;1494,80;1454,80;287,76;325,71;287,76;287,76;-;295,76;287,76;-;303,76;575,52;-;-;349,71;-;-;-;-;287,76;-;287,76;287,76;-;-;575,52;-;-;-;-;287,76;583,52;863,28;311,76;1438,80;287,76;871,28;887,28;-;-;287,76;287,76;-;-;287,76;287,76;-;-;287,76;863,28;-;287,76;-;-;-;-;486,48;-;335,76;-;895,28;287,76;-;287,76;-;-;-;-;-;295,76;2589,84;575,52;1726,56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;794,20;-;-;-;-;-;-;-;-;287,76;1061,29;-;-;-;-;-;-;-;-;-;-;38341,87
"170230 Arapoema";-;-;784,80;784,80;1585,60;1046,40;1046,40;523,20;-;-;-;-;-;-;1151,04;4316,40;2014,32;2613,84;8928,56;3165,36;1151,04;-;287,76;-;287,76;863,28;4907,92;12002,34;6090,96;2589,84;287,76;1151,04;287,76;287,76;-;575,52;-;863,28;581,87;575,52;287,76;1151,04;1151,04;575,52;863,28;575,52;-;-;879,28;295,76;1446,80;1438,80;1734,56;1446,80;2038,32;583,52;295,76;-;287,76;303,76;2981,60;3181,36;8473,04;5275,68;1175,04;-;1462,80;1486,80;1462,80;-;-;287,76;287,76;295,76;1167,04;287,76;-;575,52;287,76;607,52;-;-;-;-;295,76;-;-;287,76;-;575,52;863,28;879,28;-;-;-;-;-;-;-;-;287,76;575,52;863,28;-;287,76;575,52;-;287,76;-;-;-;303,76;287,76;-;1438,80;4923,92;287,76;-;-;-;-;287,76;-;863,28;287,76;583,52;-;287,76;-;-;-;-;-;-;-;287,76;-;295,76;287,76;583,52;876,28;287,76;615,52;-;-;-;583,52;2331,08;1726,56;295,76;-;-;-;-;-;-;-;-;-;128905,97
"170240 Arraias";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;2078,32;4332,40;5835,20;9300,54;8680,80;5859,20;2893,60;287,76;287,76;-;-;-;287,76;-;919,28;2877,60;1438,80;287,76;-;-;-;311,76;-;287,76;575,52;575,52;287,76;1750,56;287,76;591,52;287,76;-;-;-;-;-;287,76;287,76;575,52;-;575,52;1295,28;575,52;-;303,76;-;-;287,76;-;287,76;-;303,76;-;-;-;-;287,76;-;-;-;-;-;-;575,52;911,28;1558,80;1750,56;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;575,52;-;287,76;1822,56;1502,80;295,76;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;66110,22
"170255 Augustinópolis";-;784,80;5297,00;6881,60;3171,20;3155,20;3686,40;3719,40;1046,40;1332,00;784,80;-;261,60;287,76;879,28;2605,84;3165,36;2893,60;2933,60;4372,40;1742,56;575,52;879,28;1438,80;-;-;-;-;1494,80;1454,80;1454,80;-;287,76;311,96;-;-;575,52;287,76;287,76;-;1191,24;2202,36;1798,76;3235,31;575,52;887,28;863,28;287,76;887,28;-;287,76;3469,12;2925,60;2629,84;1508,75;871,28;575,52;287,76;311,96;-;287,76;-;911,28;1734,56;2374,08;1790,56;1502,80;2022,32;629,47;287,76;-;-;-;-;-;-;583,52;287,76;-;287,76;-;-;-;327,76;-;-;-;-;-;-;1167,04;287,76;-;-;-;-;-;-;615,52;287,76;287,76;319,76;295,76;1151,04;-;-;287,76;-;-;-;-;295,76;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;357,71;303,76;-;-;-;-;-;-;-;-;101826,48
"170270 Aurora do Tocantins";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76
"170290 Axixá do Tocantins";-;-;261,60;792,80;523,20;784,80;1308,00;792,80;-;-;261,60;-;-;287,76;287,76;1454,80;-;1454,80;575,52;575,52;575,52;-;575,52;-;-;-;-;575,52;-;-;303,76;-;-;-;-;-;-;287,76;287,76;575,52;303,76;287,76;287,76;583,52;-;287,76;575,52;583,52;-;303,76;-;583,52;-;-;1159,04;-;-;303,76;-;-;-;-;311,76;-;-;295,76;-;-;-;-;287,76;287,76;-;-;-;-;287,76;887,28;287,76;-;-;-;-;-;-;-;-;287,76;-;287,76;287,76;-;-;-;287,76;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;457,89;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;22368,53
"170300 Babaçulândia";-;-;-;-;-;-;-;488,16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;341,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1996,91
"170305 Bandeirantes do Tocantins";-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;327,76;-;-;-;327,76;287,76;-;327,76;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;591,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;295,76;-;-;-;-;-;-;-;-;-;-;591,52;287,76;-;-;-;-;-;-;-;-;-;-;287,76;-;311,96;-;-;-;-;-;-;287,76;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;1027,38;295,76;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;7524,14
"170307 Barra do Ouro";-;-;-;-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;399,27;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;948,63
"170310 Barrolândia";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;404,05;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;319,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;349,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1385,28
"170320 Bernardo Sayão";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;319,76;-;-;287,76;-;575,52;-;575,52;-;-;-;-;-;-;-;-;303,76;583,52;287,76;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;287,76;863,28;287,76;-;-;295,76;-;-;-;-;-;1199,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8185,28
"170330 Bom Jesus do Tocantins";-;-;523,20;523,20;2909,60;1508,44;277,60;-;-;-;-;-;-;-;-;-;-;575,52;287,76;-;287,76;-;575,52;-;-;-;311,76;-;-;327,76;1199,24;903,28;871,28;-;575,52;-;-;-;871,28;895,28;-;591,52;-;287,76;-;287,76;-;-;651,42;-;-;295,76;1191,04;-;599,52;-;287,76;-;-;-;295,76;-;-;-;-;-;306,81;-;-;-;-;-;-;-;-;-;-;599,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;311,76;295,76;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;311,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;365,71;-;-;-;-;-;-;296,76;-;-;-;-;-;-;-;-;-;-;-;-;-;21607,42
"170360 Brasilândia do Tocantins";-;-;-;-;-;-;261,60;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;303,76;-;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;335,76;-;-;357,71;287,76;311,76;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;599,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;5389,31
"170370 Brejinho de Nazaré";-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;319,76;-;-;-;-;-;-;-;-;287,76;-;434,29;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;863,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;324,90;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;397,06;-;-;-;-;-;-;-;-;-;-;4039,69
"170380 Buriti do Tocantins";-;-;261,60;261,60;261,60;269,60;548,24;801,84;-;-;261,60;-;295,76;-;-;-;287,76;575,52;-;-;-;-;-;287,76;287,76;-;-;287,76;-;-;-;-;-;-;-;303,76;575,52;-;-;583,52;-;-;295,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;591,52;-;-;325,71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;8227,47
