Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Presidente Figueiredo (Município) (130353)	7.244	3.378	3,75	3,85	513,850	18.908,78	25.412,270	1,07
Rio Preto da Eva (Município) (130356)	6.130	2.894	4,20	4,22	316,710	12.314,17	5.815,620	4,42
Tabatinga (Município) (130406)	10.059	7.664	5,20	4,74	387,310	7.409,46	3.266,060	16,00
Tefé (Município) (130420)	12.202	10.036	5,04	4,99	572,060	9.308,91	23.692,220	2,59
Boa Vista (Município) (140010)	76.492	75.080	3,72	3,70	8.369,710	29.438,35	5.687,040	49,99
Abaetetuba (Município) (150010)	31.057	19.057	4,54	4,36	953,720	6.759,21	1.610,400	87,62
Acará (Município) (150020)	11.839	3.020	4,52	4,18	720,070	13.441,87	4.343,810	12,33
Alenquer (Município) (150040)	12.130	6.679	4,34	4,15	591,080	11.231,76	23.645,450	2,23
Altamira (Município) (150060)	26.561	22.677	3,73	3,71	1.376,220	13.890,65	159.533,330	0,62
Ananindeua (Município) (150080)	125.934	125.627	3,75	3,75	6.698,880	14.193,15	190,450	2.478,22
Barcarena (Município) (150130)	24.906	8.871	4,01	4,09	3.638,430	36.435,64	1.310,590	76,19
Belém (Município) (150140)	369.235	365.988	3,77	3,77	30.714,680	22.042,99	1.059,460	1.315,20
Benevides (Município) (150150)	13.707	7.579	3,77	3,81	948,910	18.371,61	187,830	274,99
Bragança (Município) (150170)	26.279	17.246	4,31	4,21	831,980	7.347,91	2.091,930	54,13
Breu Branco (Município) (150178)	12.269	7.054	4,28	4,15	872,460	16.620,58	3.941,910	13,32
Breves (Município) (150180)	17.619	9.682	5,27	4,81	593,740	6.393,93	9.563,010	9,71
Cametá (Município) (150210)	23.640	10.993	5,11	4,81	776,010	6.418,83	3.081,370	39,23
Capanema (Município) (150220)	16.917	13.714	3,76	3,70	982,590	15.440,11	614,690	103,53
Capitão Poço (Município) (150230)	13.011	5.741	3,99	3,73	380,030	7.323,29	2.899,550	17,90
Castanhal (Município) (150240)	45.547	40.521	3,80	3,79	2.840,830	16.406,82	1.028,890	168,29
Dom Eliseu (Município) (150293)	13.107	8.544	3,92	3,81	509,430	9.926,74	5.268,820	9,74
Igarapé-Miri (Município) (150330)	12.048	5.840	4,82	4,49	387,310	6.668,97	1.996,790	29,09
Ipixuna do Pará (Município) (150345)	11.403	2.919	4,50	4,19	633,480	12.346,43	5.215,560	9,84
Itaituba (Município) (150360)	23.945	17.229	4,07	4,10	1.480,280	15.183,44	62.042,470	1,57
Itupiranga (Município) (150370)	12.664	4.959	4,04	4,13	394,260	7.697,38	7.880,110	6,50
Jacundá (Município) (150380)	12.621	11.187	4,07	4,08	429,850	8.369,34	2.008,320	25,57
Juruti (Município) (150390)	9.517	3.397	4,95	4,67	785,390	16.679,90	8.305,130	5,67
Marabá (Município) (150420)	60.728	48.832	3,85	3,81	5.650,250	24.180,57	15.128,060	15,45
Marituba (Município) (150442)	27.419	27.102	3,95	3,95	1.196,130	11.050,06	103,340	1.047,44
Moju (Município) (150470)	15.681	5.859	4,47	4,29	651,350	9.302,66	9.094,140	7,70
Monte Alegre (Município) (150480)	13.776	6.317	4,03	3,89	644,050	11.612,48	18.152,560	3,06
Novo Repartimento (Município) (150506)	15.222	6.958	4,08	4,02	568,440	9.160,95	15.398,720	4,03
Óbidos (Município) (150510)	11.349	6.075	4,35	4,19	593,300	12.026,39	28.021,440	1,76
Oriximiná (Município) (150530)	13.710	8.823	4,58	4,55	2.671,940	42.550,87	107.603,660	0,58
Paragominas (Município) (150550)	25.014	19.885	3,91	3,85	2.331,640	23.836,23	19.342,250	5,06
Parauapebas (Município) (150553)	42.799	38.963	3,60	3,56	24.480,810	159.061,33	6.886,210	22,35
Portel (Município) (150580)	9.671	4.993	5,39	4,98	432,550	8.290,84	25.384,960	2,06
Redenção (Município) (150613)	20.303	18.803	3,72	3,73	1.229,240	16.269,30	3.823,810	19,76
Rondon do Pará (Município) (150618)	12.565	9.393	3,74	3,69	545,450	11.614,20	8.246,390	5,70
Santa Bárbara do Pará (Município) (150635)	4.471	1.393	3,83	3,92	116,880	6.818,79	278,150	61,62
Santa Izabel do Pará (Município) (150650)	15.312	11.671	3,88	3,68	599,060	10.074,05	717,660	82,86
Santana do Araguaia (Município) (150670)	14.017	7.284	4,01	4,07	538,730	9.593,97	11.591,460	4,84
Santarém (Município) (150680)	70.143	52.708	4,20	4,09	3.773,270	12.808,99	17.898,390	16,46
São Félix do Xingu (Município) (150730)	22.570	11.372	4,05	3,97	808,760	8.854,35	84.212,850	1,08
São Miguel do Guamá (Município) (150760)	12.680	8.180	4,07	3,90	552,720	10.718,47	1.110,180	46,45
Tailândia (Município) (150795)	16.529	12.184	4,80	4,82	689,740	8.698,14	4.430,220	17,90
Tomé-Açu (Município) (150800)	13.661	7.753	4,14	4,07	548,770	9.709,66	5.145,360	10,98
Tucuruí (Município) (150810)	23.614	22.549	4,11	4,10	4.192,170	43.161,26	2.086,190	46,56
Ulianópolis (Município) (150812)	8.585	5.799	5,05	4,92	890,730	20.551,57	5.088,470	8,52
Vigia (Município) (150820)	11.815	7.832	4,05	4,13	294,340	6.146,40	539,080	88,83
Viseu (Município) (150830)	12.394	4.069	4,58	4,52	388,010	6.841,30	4.915,070	11,54
Macapá (Município) (160030)	94.707	91.179	4,20	4,18	8.991,550	22.580,25	6.503,460	61,23
Santana (Município) (160060)	22.410	21.893	4,52	4,53	1.756,890	17.349,98	1.541,220	65,70
Araguaína (Município) (170210)	43.928	41.700	3,43	3,43	3.235,760	21.502,33	4.000,420	37,62
Gurupi (Município) (170950)	23.304	22.705	3,29	3,30	2.016,560	26.272,67	1.836,090	41,80
Paraíso do Tocantins (Município) (171610)	13.466	12.811	3,30	3,32	931,320	20.967,70	1.268,060	35,03
Porto Nacional (Município) (171820)	13.782	11.799	3,57	3,60	898,710	18.286,45	4.449,920	11,04
Palmas (Município) (172100)	69.017	67.275	3,31	3,30	6.702,870	29.355,79	2.218,940	102,90
Açailândia (Município) (210005)	27.541	20.627	3,78	3,79	1.653,330	15.890,26	5.806,440	17,92
Alcântara (Município) (210020)	6.079	1.684	3,59	3,80	97,860	4.478,37	1.457,920	14,99
Bacabal (Município) (210120)	26.292	20.707	3,80	3,76	991,730	9.915,92	1.683,070	59,42
Balsas (Município) (210140)	21.324	18.685	3,92	3,89	2.350,540	28.140,74	13.141,760	6,36
Barra do Corda (Município) (210160)	21.670	13.800	3,82	3,74	506,090	6.110,04	5.190,340	15,96
Barreirinhas (Município) (210170)	12.233	5.203	4,49	4,24	321,350	5.850,19	3.026,540	18,15
Buriticupu (Município) (210232)	15.018	8.392	4,34	4,26	400,220	6.134,86	2.545,440	25,63
Caxias (Município) (210300)	40.217	30.829	3,86	3,84	1.674,650	10.795,22	5.196,770	29,85
Chapadinha (Município) (210320)	17.665	12.996	4,15	4,07	540,890	7.374,03	3.247,390	22,59
Codó (Município) (210330)	29.611	20.381	3,99	3,98	970,250	8.219,80	4.361,340	27,06
Coroatá (Município) (210360)	15.942	11.412	3,87	3,77	348,460	5.645,44	2.263,770	27,27
Grajaú (Município) (210480)	14.951	9.127	4,15	4,06	512,480	8.253,41	8.863,570	7,01
Imperatriz (Município) (210530)	68.683	65.220	3,60	3,60	4.796,770	19.380,50	1.368,990	180,79
Itapecuru Mirim (Município) (210540)	15.724	8.885	3,95	3,90	467,420	7.525,72	1.471,440	42,21
Paço do Lumiar (Município) (210750)	27.143	20.661	3,87	3,81	618,310	5.881,93	125,260	839,23
Pinheiro (Município) (210860)	19.535	11.835	4,00	3,93	730,680	9.348,34	1.512,970	51,66
Raposa (Município) (210945)	6.555	4.107	4,02	4,06	142,380	5.408,04	66,400	396,49
Santa Inês (Município) (210990)	20.298	19.252	3,81	3,80	1.096,040	14.182,37	786,690	98,24
Santa Luzia (Município) (211000)	17.500	6.435	4,23	4,01	549,870	7.426,41	4.837,040	15,31
São José de Ribamar (Município) (211120)	42.593	8.793	3,83	4,29	1.229,850	7.542,99	385,780	422,64
São Luís (Município) (211130)	277.250	262.823	3,66	3,65	29.751,550	29.316,58	834,830	1.215,63
Timon (Município) (211220)	40.538	35.137	3,83	3,85	1.596,340	10.268,52	1.764,610	88,10
Tutóia (Município) (211250)	11.370	4.192	4,64	4,46	253,410	4.800,52	1.651,650	31,96
Vargem Grande (Município) (211270)	11.109	6.331	4,45	4,22	262,430	5.311,11	1.957,750	25,24
Viana (Município) (211280)	12.348	6.795	4,01	3,96	301,250	6.086,39	1.168,440	42,36
Zé Doca (Município) (211400)	11.894	7.617	4,22	4,05	366,900	7.312,68	2.140,110	23,44
Altos (Município) (220040)	10.388	7.448	3,74	3,68	260,900	6.720,42	957,650	40,54
Beneditinos (Município) (220160)	2.775	1.774	3,57	3,53	52,440	5.291,33	788,580	12,57
Coivaras (Município) (220273)	1.021	339	3,73	3,46	22,260	5.841,51	485,500	7,85
Curralinhos (Município) (220325)	1.104	358	3,79	3,72	19,270	4.607,31	345,850	12,09
Demerval Lobão (Município) (220330)	3.801	3.133	3,49	3,47	66,170	4.983,32	216,810	61,24
Floriano (Município) (220390)	16.167	14.068	3,57	3,55	898,680	15.577,77	3.409,650	16,92
José de Freitas (Município) (220550)	9.247	5.435	4,01	3,97	271,580	7.323,16	1.538,170	24,11
Lagoa Alegre (Município) (220555)	1.962	759	4,08	4,01	42,230	5.272,91	394,660	20,29
Lagoa do Piauí (Município) (220558)	1.065	475	3,63	3,52	90,660	23.469,78	426,630	9,05
Miguel Leão (Município) (220630)	335	228	3,74	3,78	12,040	9.610,36	93,520	13,40
Monsenhor Gil (Município) (220640)	2.856	1.512	3,62	3,51	106,130	10.270,95	582,550	17,74
Nazária (Município) (220672)	2.204	456	3,66	3,62	47,120	5.840,55	363,590	22,19
Parnaíba (Município) (220770)	38.743	36.704	3,76	3,75	1.580,420	10.846,74	434,230	335,55
Pau D'Arco do Piauí (Município) (220779)	1.032	167	3,64	3,33	18,920	5.035,81	430,820	8,72
Picos (Município) (220800)	21.253	16.979	3,45	3,43	1.115,520	15.194,86	577,300	127,17
Piripiri (Município) (220840)	17.014	12.509	3,63	3,56	527,360	8.528,69	1.408,930	43,89
Teresina (Município) (221100)	222.584	210.493	3,66	3,65	17.362,140	21.323,38	1.391,980	584,94
União (Município) (221110)	10.846	5.420	3,93	3,87	338,990	7.947,51	1.173,450	36,35
Acaraú (Município) (230020)	14.692	7.412	3,92	3,81	535,440	9.303,83	842,560	68,31
Acopiara (Município) (230030)	15.049	7.888	3,40	3,20	348,630	6.814,47	2.265,350	22,58
Aquiraz (Município) (230100)	19.842	18.538	3,66	3,62	1.255,230	17.282,96	481,600	150,81
Aracati (Município) (230110)	19.838	12.866	3,49	3,42	942,760	13.631,77	1.228,060	56,32
Barbalha (Município) (230190)	14.709	10.305	3,76	3,69	759,190	13.722,87	569,510	97,14
Beberibe (Município) (230220)	14.114	6.304	3,49	3,43	535,860	10.866,91	1.623,880	30,37
Boa Viagem (Município) (230240)	15.179	8.117	3,46	3,28	376,880	7.178,99	2.836,780	18,51
Camocim (Município) (230260)	15.714	11.885	3,83	3,76	616,240	10.243,66	1.124,780	53,48
Canindé (Município) (230280)	19.980	13.070	3,73	3,59	595,330	7.993,95	3.218,480	23,14
Cascavel (Município) (230350)	18.836	16.093	3,51	3,49	779,970	11.792,34	835,000	79,21
Caucaia (Município) (230370)	89.261	80.144	3,65	3,62	4.643,880	14.269,49	1.228,510	264,91
Chorozinho (Município) (230395)	5.489	3.371	3,45	3,39	154,570	8.171,71	278,410	67,94
Crateús (Município) (230410)	21.728	15.934	3,35	3,30	620,090	8.516,27	2.985,150	24,39
Crato (Município) (230420)	33.980	28.603	3,57	3,53	1.609,830	13.257,52	1.176,470	103,21
Eusébio (Município) (230428)	12.725	12.725	3,62	3,62	2.293,790	49.829,20	79,010	582,66
Fortaleza (Município) (230440)	711.598	711.598	3,45	3,45	60.448,750	24.650,98	314,930	7.786,44
Granja (Município) (230470)	13.245	6.894	3,97	3,76	302,300	5.742,16	2.663,030	19,77
Guaiúba (Município) (230495)	6.408	5.047	3,76	3,74	170,680	7.084,97	267,130	90,19
Horizonte (Município) (230523)	15.703	14.621	3,51	3,49	1.872,980	33.938,74	160,760	343,28
Icó (Município) (230540)	18.263	8.861	3,58	3,44	493,390	7.537,80	1.872,000	34,97
Iguatu (Município) (230550)	28.831	22.369	3,35	3,34	1.444,940	14.974,23	1.029,210	93,76
Itaitinga (Município) (230625)	9.308	9.240	3,85	3,85	326,770	9.123,22	151,630	236,21
Itapajé (Município) (230630)	12.960	9.235	3,73	3,68	971,690	20.097,04	430,570	112,29
Itapipoca (Município) (230640)	29.983	17.894	3,87	3,74	1.151,700	9.922,92	1.614,160	71,90
Juazeiro do Norte (Município) (230730)	69.307	66.767	3,61	3,60	3.514,570	14.061,71	248,830	1.004,45
Limoeiro do Norte (Município) (230760)	17.177	10.120	3,28	3,21	826,270	14.685,66	750,070	75,01
Maracanaú (Município) (230765)	57.965	57.593	3,61	3,61	7.351,170	35.163,47	106,650	1.960,25
Maranguape (Município) (230770)	29.005	22.434	3,92	3,85	1.339,760	11.797,68	590,870	192,19
Morada Nova (Município) (230870)	18.270	10.660	3,40	3,32	668,650	10.773,37	2.778,580	22,34
Pacajus (Município) (230960)	17.615	14.588	3,51	3,47	984,730	15.924,30	254,640	242,85
Pacatuba (Município) (230970)	18.737	16.181	3,86	3,84	966,520	13.368,41	131,990	547,74
Pindoretama (Município) (231085)	5.365	3.280	3,48	3,44	155,410	8.318,22	75,140	248,64
Quixadá (Município) (231130)	22.179	16.128	3,63	3,56	941,540	11.681,05	2.019,830	39,91
Quixeramobim (Município) (231140)	20.557	12.726	3,50	3,41	744,980	10.363,24	3.275,630	21,95
Russas (Município) (231180)	20.448	13.427	3,42	3,35	939,860	13.458,63	1.590,260	43,91
São Gonçalo do Amarante (Município) (231240)	12.046	7.893	3,64	3,62	846,190	19.279,72	834,450	52,60
Sobral (Município) (231290)	50.603	44.838	3,72	3,71	4.172,040	22.164,23	2.122,900	88,67
Tauá (Município) (231330)	16.279	9.783	3,42	3,30	445,490	7.995,64	4.018,160	13,87
Tianguá (Município) (231340)	18.253	12.389	3,77	3,70	771,560	11.199,62	908,890	75,80
Trairi (Município) (231350)	13.404	5.072	3,84	3,70	431,030	8.382,25	925,720	55,55
Viçosa do Ceará (Município) (231410)	13.573	4.783	4,05	3,73	360,420	6.558,43	1.311,630	41,90
Açu (Município) (240020)	14.887	11.071	3,58	3,56	723,690	13.596,37	1.303,440	40,84
Caicó (Município) (240200)	18.635	17.160	3,37	3,35	878,860	14.014,92	1.228,580	51,04
Ceará-Mirim (Município) (240260)	17.397	9.188	3,92	3,86	772,950	11.343,45	724,380	94,07
Parnamirim (Município) (240325)	60.387	60.387	3,35	3,35	4.564,940	22.547,80	123,470	1.639,70
Extremoz (Município) (240360)	6.515	4.272	3,77	3,69	263,500	10.725,01	139,580	176,03
Macaíba (Município) (240710)	19.502	12.121	3,56	3,52	1.727,460	24.867,34	510,770	136,00
Monte Alegre (Município) (240780)	5.715	2.552	3,62	3,53	164,800	7.967,35	210,920	98,07
Mossoró (Município) (240800)	73.453	67.302	3,54	3,53	7.250,920	27.908,00	2.099,330	123,76
Natal (Município) (240810)	235.814	235.814	3,41	3,41	21.105,330	26.258,93	167,260	4.805,21
Nísia Floresta (Município) (240820)	6.396	2.589	3,72	3,62	275,500	11.583,57	307,840	77,26
São Gonçalo do Amarante (Município) (241200)	24.475	20.845	3,58	3,55	2.254,470	25.715,98	249,120	351,91
São José de Mipibu (Município) (241220)	10.825	5.053	3,67	3,61	669,310	16.826,92	290,330	137,00
Vera Cruz (Município) (241480)	2.789	1.248	3,84	3,76	81,400	7.593,92	83,890	127,77
Alhandra (Município) (250060)	5.025	3.166	3,58	3,52	390,360	21.678,44	182,660	98,58
Bayeux (Município) (250180)	27.964	27.715	3,57	3,56	1.316,890	13.206,37	27,540	3.621,30
Caaporã (Município) (250300)	5.470	4.734	3,72	3,71	439,520	21.585,50	150,170	135,59
Cabedelo (Município) (250320)	17.228	17.226	3,36	3,36	2.555,670	44.105,91	31,920	1.815,57
Cajazeiras (Município) (250370)	17.309	14.201	3,38	3,34	890,870	15.242,69	565,900	103,28
Campina Grande (Município) (250400)	112.029	107.038	3,44	3,43	8.156,850	21.174,90	593,030	649,57
Conde (Município) (250460)	5.807	3.936	3,69	3,68	524,050	24.488,40	172,950	123,74
Cruz do Espírito Santo (Município) (250490)	4.212	1.959	3,86	3,80	133,460	8.209,65	191,100	85,07
Guarabira (Município) (250630)	16.265	14.492	3,40	3,38	790,540	14.288,74	165,740	333,80
João Pessoa (Município) (250750)	213.662	212.878	3,39	3,39	17.715,440	24.485,24	211,480	3.421,28
Lucena (Município) (250860)	3.112	2.729	3,77	3,72	123,220	10.505,06	88,550	132,47
Mamanguape (Município) (250890)	11.585	9.513	3,65	3,60	498,330	11.780,01	340,480	124,24
Patos (Município) (251080)	28.916	27.997	3,48	3,47	1.357,500	13.484,08	473,060	212,82
Pedras de Fogo (Município) (251120)	7.400	4.629	3,65	3,53	475,540	17.591,74	404,880	66,77
Pitimbu (Município) (251190)	4.734	2.979	3,60	3,49	141,230	8.296,07	136,440	124,78
Rio Tinto (Município) (251290)	6.636	3.924	3,46	3,33	237,830	10.351,43	465,670	49,34
Santa Rita (Município) (251370)	33.579	29.176	3,58	3,55	2.033,730	16.904,06	730,210	164,76
Sapé (Município) (251530)	14.061	10.934	3,57	3,49	440,780	8.790,53	315,530	158,92
Sousa (Município) (251620)	18.792	14.866	3,50	3,49	897,450	13.638,46	738,550	89,10
Abreu e Lima (Município) (260005)	28.167	25.944	3,35	3,34	1.394,000	14.762,36	126,190	748,29
Araçoiaba (Município) (260105)	4.851	4.100	3,74	3,72	110,680	6.095,94	96,380	188,38
Araripina (Município) (260110)	20.641	13.031	3,75	3,60	756,050	9.780,44	2.037,390	37,94
Arcoverde (Município) (260120)	20.194	18.535	3,41	3,38	730,470	10.618,34	323,370	212,74
Belo Jardim (Município) (260170)	22.226	18.170	3,26	3,20	1.326,040	18.307,33	647,700	111,83
Bezerros (Município) (260190)	19.299	16.573	3,04	3,00	622,460	10.609,80	490,820	119,53
Brejo da Madre de Deus (Município) (260260)	13.290	10.363	3,40	3,39	293,120	6.487,92	762,350	59,26
Buíque (Município) (260280)	13.146	5.733	3,96	3,70	365,530	7.015,32	1.320,870	39,45
Cabo de Santo Agostinho (Município) (260290)	53.474	48.890	3,46	3,43	7.225,700	39.052,57	448,740	412,33
Camaragibe (Município) (260345)	42.280	42.280	3,42	3,42	1.334,470	9.237,29	51,260	2.818,46
Carpina (Município) (260400)	21.453	20.701	3,49	3,48	1.162,440	15.528,61	147,670	506,94
Caruaru (Município) (260410)	96.410	85.904	3,27	3,25	5.582,870	17.728,33	920,610	342,07
Escada (Município) (260520)	18.143	15.741	3,50	3,43	815,270	12.835,40	342,200	185,61
Garanhuns (Município) (260600)	37.413	33.675	3,46	3,43	1.962,350	15.164,07	458,550	282,21
Goiana (Município) (260620)	21.501	16.771	3,52	3,46	1.472,820	19.470,43	445,810	169,68
Gravatá (Município) (260640)	23.473	21.168	3,26	3,23	896,410	11.724,18	506,790	150,87
Igarassu (Município) (260680)	29.718	27.451	3,43	3,42	2.032,320	19.920,56	305,560	333,88
Ipojuca (Município) (260720)	22.096	16.891	3,65	3,54	8.829,140	109.492,45	527,110	152,98
Ilha de Itamaracá (Município) (260760)	5.424	5.069	4,03	3,35	176,680	8.073,54	66,680	328,17
Itapissuma (Município) (260775)	6.465	5.301	3,68	3,46	759,300	31.944,84	74,240	320,19
Jaboatão dos Guararapes (Município) (260790)	197.193	193.168	3,27	3,26	12.393,340	19.225,81	258,690	2.491,82
Limoeiro (Município) (260890)	16.419	13.266	3,38	3,36	574,470	10.362,17	273,740	202,53
Moreno (Município) (260940)	16.485	14.746	3,44	3,40	560,040	9.878,03	196,070	289,16
Olinda (Município) (260960)	113.336	111.202	3,33	3,33	5.684,880	15.048,16	41,680	9.063,58
Ouricuri (Município) (260990)	16.591	8.879	3,88	3,67	494,980	7.691,00	2.381,580	27,02
Palmares (Município) (261000)	15.536	12.422	3,83	3,77	790,870	13.286,14	339,290	175,44
Paudalho (Município) (261060)	14.214	10.137	3,61	3,58	507,620	9.884,21	274,780	186,90
Paulista (Município) (261070)	90.745	90.745	3,31	3,31	3.521,690	11.720,77	97,310	3.087,66
Pesqueira (Município) (261090)	18.434	13.675	3,41	3,30	578,100	9.186,20	980,880	64,16
Petrolina (Município) (261110)	80.513	61.350	3,65	3,57	5.610,270	19.085,03	4.561,870	64,44
Recife (Município) (261160)	471.333	471.333	3,26	3,26	54.515,020	35.452,22	218,440	7.039,64
Salgueiro (Município) (261220)	15.075	12.268	3,76	3,73	1.403,150	24.777,92	1.686,810	33,57
Santa Cruz do Capibaribe (Município) (261250)	26.007	25.387	3,37	3,37	1.187,700	13.561,03	335,310	261,20
São Bento do Una (Município) (261300)	14.691	8.042	3,62	3,47	569,080	10.688,47	719,150	74,03
São Lourenço da Mata (Município) (261370)	30.348	28.604	3,39	3,38	904,820	8.793,60	262,110	392,57
Serra Talhada (Município) (261390)	23.066	18.188	3,44	3,37	1.220,200	15.400,35	2.980,010	26,59
Surubim (Município) (261450)	17.527	13.311	3,34	3,31	650,820	11.122,30	252,860	231,42
Timbaúba (Município) (261530)	15.184	13.359	3,54	3,47	770,010	14.305,84	292,990	183,71
Vitória de Santo Antão (Município) (261640)	39.482	34.856	3,29	3,25	2.388,340	18.375,50	335,940	386,90
Arapiraca (Município) (270030)	58.416	49.780	3,66	3,65	3.118,480	14.571,91	345,660	619,13
Barra de Santo Antônio (Município) (270050)	3.522	3.301	4,04	4,01	122,190	8.586,58	131,630	108,10
Barra de São Miguel (Município) (270060)	2.029	1.777	3,73	3,67	110,780	14.626,02	76,620	98,86
Campo Alegre (Município) (270140)	10.949	5.065	4,64	4,38	400,740	7.886,11	312,710	162,50
Coqueiro Seco (Município) (270220)	1.522	1.378	3,63	3,61	42,030	7.605,16	39,610	139,52
Coruripe (Município) (270230)	13.527	12.037	3,85	3,83	1.149,980	22.059,93	898,630	58,01
Delmiro Gouveia (Município) (270240)	13.257	9.718	3,63	3,59	561,550	11.675,52	626,690	76,75
Maceió (Município) (270430)	274.553	274.391	3,40	3,40	20.208,160	21.665,19	509,550	1.830,53
Marechal Deodoro (Município) (270470)	12.285	11.654	3,74	3,72	1.489,720	32.401,42	332,140	138,43
Messias (Município) (270520)	3.939	3.550	3,98	4,02	141,800	9.042,48	114,160	137,37
Palmeira dos Índios (Município) (270630)	20.481	15.227	3,44	3,39	725,600	10.311,47	450,960	156,04
Paripueira (Município) (270644)	2.850	2.530	3,98	3,97	118,480	10.441,83	92,850	122,21
Penedo (Município) (270670)	16.415	12.466	3,68	3,61	657,600	10.891,37	689,880	87,52
Pilar (Município) (270690)	8.833	8.443	3,77	3,77	527,990	15.853,04	251,070	132,65
Rio Largo (Município) (270770)	18.681	15.354	3,67	3,64	800,010	11.682,19	293,820	233,07
Santa Luzia do Norte (Município) (270790)	1.880	1.698	3,67	3,63	76,290	11.071,07	28,860	238,80
São Miguel dos Campos (Município) (270860)	14.145	13.698	3,86	3,84	1.457,790	26.710,70	360,880	151,23
Satuba (Município) (270890)	3.823	3.412	3,82	3,75	127,280	8.715,96	41,270	353,86
União dos Palmares (Município) (270930)	16.627	12.945	3,75	3,68	714,660	11.460,60	420,720	148,22
Aracaju (Município) (280030)	169.849	169.849	3,36	3,36	15.689,670	27.470,36	181,860	3.140,65
Barra dos Coqueiros (Município) (280060)	6.860	5.669	3,64	3,68	487,470	19.517,36	89,600	278,76
Estância (Município) (280210)	18.242	15.641	3,53	3,50	1.810,410	28.107,99	644,490	99,94
Itabaiana (Município) (280290)	26.035	20.472	3,34	3,31	1.422,140	16.352,66	337,300	257,84
Lagarto (Município) (280350)	27.664	14.557	3,43	3,36	1.232,930	12.997,25	968,920	97,90
Nossa Senhora do Socorro (Município) (280480)	45.399	44.061	3,54	3,54	3.229,540	20.080,84	155,020	1.037,47
São Cristóvão (Município) (280670)	22.429	18.995	3,52	3,51	943,130	11.958,95	438,040	180,04
Tobias Barreto (Município) (280740)	14.071	9.439	3,41	3,41	464,190	9.662,56	1.024,190	46,91
Alagoinhas (Município) (290070)	41.693	36.763	3,40	3,37	2.995,360	21.101,69	707,560	200,62
Araci (Município) (290210)	13.648	5.645	3,78	3,48	366,250	7.090,87	1.495,550	34,54
Barra (Município) (290270)	11.510	5.427	4,29	4,14	285,580	5.789,83	11.422,540	4,32
