Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Aquiraz (Município) (230100)	131,27	37,35	544.934,34	0,00	0,00	544.934,34	7,01
Aracati (Município) (230110)	162,49	57,13	2.613.412,48	0,00	0,00	2.613.412,48	35,93
Barbalha (Município) (230190)	98,54	46,33	108.336,33	0,00	0,00	108.336,33	1,84
Beberibe (Município) (230220)	57,30	18,47	485.013,00	0,00	0,00	485.013,00	9,27
Boa Viagem (Município) (230240)	236,00	79,00	549.596,00	2.246.576,42	0,00	2.796.172,42	51,94
Camocim (Município) (230260)	129,00	84,00	0,00	0,00	0,00	0,00	0,00
Canindé (Município) (230280)	109,30	23,00	0,00	0,00	0,00	0,00	0,00
Cascavel (Município) (230350)	134,65	4,97	1.836.646,02	0,00	0,00	1.836.646,02	26,22
Caucaia (Município) (230370)	600,29	305,06	16.187.486,11	0,00	0,00	16.187.486,11	45,74
Chorozinho (Município) (230395)	72,51	6,18	76.832,99	128.104,94	0,00	204.937,94	10,68
Crateús (Município) (230410)	151,55	132,47	316.714,02	0,00	0,00	316.714,02	4,26
Crato (Município) (230420)	269,50	102,00	0,00	0,00	0,00	0,00	0,00
Eusébio (Município) (230428)	238,32	35,56	206.642,75	0,00	0,00	206.642,75	4,04
Fortaleza (Município) (230440)	4.042,94	2.399,69	146.468.590,40	0,00	0,00	146.468.590,40	56,53
Granja (Município) (230470)	46,10	1,86	0,00	0,00	0,00	0,00	0,00
Guaiúba (Município) (230495)	45,38	10,83	286.344,06	0,00	0,00	286.344,06	11,08
Horizonte (Município) (230523)	148,16	14,80	3.820.416,24	0,00	0,00	3.820.416,24	60,29
Icó (Município) (230540)	138,00	49,00	129.202,38	491.089,49	0,00	620.291,87	9,23
Iguatu (Município) (230550)	378,95	31,00	1.521.964,76	0,00	0,00	1.521.964,76	15,01
Itaitinga (Município) (230625)	146,33	2,32	430.324,26	0,00	0,00	430.324,26	11,17
Itapajé (Município) (230630)	41,00	2,00	0,00	0,00	0,00	0,00	0,00
Itapipoca (Município) (230640)	310,22	49,95	83.605,87	0,00	0,00	83.605,87	0,67
Juazeiro do Norte (Município) (230730)	673,73	167,72	3.302.654,48	0,00	0,00	3.302.654,48	12,41
Limoeiro do Norte (Município) (230760)	144,60	70,00	187.891,16	0,00	0,00	187.891,16	3,23
Maracanaú (Município) (230765)	565,03	228,43	1.487.649,78	0,00	0,00	1.487.649,78	6,72
Maranguape (Município) (230770)	268,97	24,96	3.668.107,40	0,00	0,00	3.668.107,40	29,68
Morada Nova (Município) (230870)	500,00	4,00	91.713,27	0,00	0,00	91.713,27	1,48
Pacajus (Município) (230960)	152,03	11,94	138.657,95	0,00	0,00	138.657,95	2,02
Pacatuba (Município) (230970)	193,13	42,04	320.640,11	0,00	0,00	320.640,11	3,99
Pindoretama (Município) (231085)	30,00	0,00	6.494,65	0,00	0,00	6.494,65	0,32
Quixadá (Município) (231130)	170,63	74,20	2.715.834,69	0,00	0,00	2.715.834,69	31,82
Quixeramobim (Município) (231140)	368,00	0,00	366.873,53	0,00	0,00	366.873,53	4,75
Russas (Município) (231180)	147,87	52,71	1.550.811,74	0,00	0,00	1.550.811,74	20,67
São Gonçalo do Amarante (Município) (231240)	145,88	63,09	1.137.924,81	0,00	0,00	1.137.924,81	24,06
Sobral (Município) (231290)	576,40	420,00	1.715.465,03	0,00	0,00	1.715.465,03	8,50
Tauá (Município) (231330)	89,79	19,09	13.888.658,21	0,00	0,00	13.888.658,21	240,70
Tianguá (Município) (231340)	178,28	70,44	852.356,93	0,00	0,00	852.356,93	11,60
Trairi (Município) (231350)	47,60	7,00	33.969,77	0,00	0,00	33.969,77	0,62
Viçosa do Ceará (Município) (231410)	42,65	15,22	8.807.551,75	0,00	0,00	8.807.551,75	149,48
Açu (Município) (240020)	140,35	0,00	2.442.629,82	0,00	0,00	2.442.629,82	42,63
Caicó (Município) (240200)	135,73	10,37	27.887.626,27	0,00	0,00	27.887.626,27	414,63
Ceará-Mirim (Município) (240260)	179,90	42,80	192.169,76	0,00	0,00	192.169,76	2,64
Parnamirim (Município) (240325)	306,49	26,60	6.948.016,15	0,00	0,00	6.948.016,15	28,67
Extremoz (Município) (240360)	68,00	0,00	3.576.484,80	0,00	0,00	3.576.484,80	129,94
Macaíba (Município) (240710)	191,25	21,53	1.978.029,15	0,00	0,00	1.978.029,15	25,35
Monte Alegre (Município) (240780)	76,68	3,06	243.817,35	0,00	0,00	243.817,35	11,01
Mossoró (Município) (240800)	397,91	211,22	31.133.551,60	0,00	0,00	31.133.551,60	108,04
Natal (Município) (240810)	1.604,08	788,99	73.995.786,87	0,00	0,00	73.995.786,87	85,06
Nísia Floresta (Município) (240820)	53,00	0,00	588.386,60	0,00	0,00	588.386,60	22,11
São Gonçalo do Amarante (Município) (241200)	350,00	48,00	0,00	0,00	0,00	0,00	0,00
São José de Mipibu (Município) (241220)	60,39	1,59	2.964.294,12	0,00	0,00	2.964.294,12	68,63
Vera Cruz (Município) (241480)	19,77	0,00	214.456,87	0,00	0,00	214.456,87	17,85
Alhandra (Município) (250060)	20,03	0,00	5.100,28	0,00	0,00	5.100,28	0,27
Bayeux (Município) (250180)	104,82	19,80	26.862,52	0,00	0,00	26.862,52	0,28
Caaporã (Município) (250300)	33,41	0,00	11.419,72	0,00	0,00	11.419,72	0,53
Cabedelo (Município) (250320)	76,06	6,02	1.146.002,15	0,00	0,00	1.146.002,15	17,46
Cajazeiras (Município) (250370)	167,77	22,92	134.274,38	0,00	0,00	134.274,38	2,19
Campina Grande (Município) (250400)	679,35	352,78	2.704.920,57	0,00	0,00	2.704.920,57	6,68
Conde (Município) (250460)	19,09	0,00	1.205.316,85	0,00	0,00	1.205.316,85	50,27
Cruz do Espírito Santo (Município) (250490)	18,78	0,00	1.831,03	0,00	0,00	1.831,03	0,11
Guarabira (Município) (250630)	129,76	35,37	1.184.023,16	0,00	0,00	1.184.023,16	20,36
João Pessoa (Município) (250750)	1.012,22	525,84	39.315.022,79	0,00	0,00	39.315.022,79	49,68
Lucena (Município) (250860)	19,61	0,00	1.647.301,78	0,00	0,00	1.647.301,78	128,66
Mamanguape (Município) (250890)	56,39	5,83	220.092,11	0,00	0,00	220.092,11	4,96
Patos (Município) (251080)	200,58	11,12	891.190,91	0,00	0,00	891.190,91	8,38
Pedras de Fogo (Município) (251120)	15,69	3,77	3.523,73	0,00	0,00	3.523,73	0,12
Pitimbu (Município) (251190)	6,44	0,00	1.297,78	0,00	0,00	1.297,78	0,07
Rio Tinto (Município) (251290)	44,69	0,00	4.414,97	0,00	0,00	4.414,97	0,18
Santa Rita (Município) (251370)	129,12	21,83	2.087.526,04	0,00	0,00	2.087.526,04	15,47
Sapé (Município) (251530)	88,29	17,27	14.512,03	0,00	0,00	14.512,03	0,28
Sousa (Município) (251620)	343,35	141,00	400.249,76	0,00	0,00	400.249,76	5,82
Abreu e Lima (Município) (260005)	212,93	82,10	4.437.642,91	0,00	0,00	4.437.642,91	45,01
Araçoiaba (Município) (260105)	17,63	0,00	1.584.969,05	0,00	0,00	1.584.969,05	79,98
Araripina (Município) (260110)	147,20	99,34	160.715,61	340.326,22	0,00	501.041,83	6,05
Arcoverde (Município) (260120)	163,21	10,66	17.633.651,40	0,00	0,00	17.633.651,40	242,80
Belo Jardim (Município) (260170)	226,97	81,25	5.874.182,66	0,00	1.733.776,38	7.607.959,04	100,82
Bezerros (Município) (260190)	148,86	0,00	5.484.723,66	0,00	0,00	5.484.723,66	90,83
Brejo da Madre de Deus (Município) (260260)	105,18	52,70	714.555,99	0,00	0,00	714.555,99	14,56
Buíque (Município) (260280)	48,22	0,00	3.504.488,47	0,00	0,00	3.504.488,47	62,00
Cabo de Santo Agostinho (Município) (260290)	460,69	48,40	30.840.018,11	0,00	0,00	30.840.018,11	153,78
Camaragibe (Município) (260345)	323,43	7,26	3.162.069,21	0,00	0,00	3.162.069,21	20,53
Carpina (Município) (260400)	182,10	0,00	416.604,09	0,00	0,00	416.604,09	5,14
Caruaru (Município) (260410)	883,90	369,16	15.882.904,23	0,00	19.433.734,47	35.316.638,70	101,75
Escada (Município) (260520)	125,15	0,00	580.653,65	0,00	0,00	580.653,65	8,62
Garanhuns (Município) (260600)	326,12	35,35	16.624.687,30	0,00	0,00	16.624.687,30	121,39
Goiana (Município) (260620)	147,29	0,00	27.745.918,02	0,00	0,00	27.745.918,02	352,92
Gravatá (Município) (260640)	323,36	6,31	3.246.796,87	0,00	0,00	3.246.796,87	39,65
Igarassu (Município) (260680)	239,70	5,32	4.049.912,52	0,00	0,00	4.049.912,52	36,01
Ipojuca (Município) (260720)	139,97	30,60	36.206.315,93	0,00	0,00	36.206.315,93	396,39
Ilha de Itamaracá (Município) (260760)	103,38	0,00	5.682.531,25	0,00	0,00	5.682.531,25	228,32
Itapissuma (Município) (260775)	40,56	5,00	2.062.607,60	0,00	0,00	2.062.607,60	79,95
Jaboatão dos Guararapes (Município) (260790)	1.129,16	227,49	15.560.197,00	0,00	0,00	15.560.197,00	22,68
Limoeiro (Município) (260890)	117,05	0,00	373.786,56	0,00	0,00	373.786,56	6,64
Moreno (Município) (260940)	132,62	63,18	8.750.986,96	0,00	503.403,26	9.254.390,22	151,67
Olinda (Município) (260960)	780,24	464,49	24.704.429,32	0,00	0,00	24.704.429,32	63,43
Ouricuri (Município) (260990)	132,08	0,00	3.994.819,25	0,00	0,00	3.994.819,25	59,03
Palmares (Município) (261000)	116,75	0,00	58.969,47	0,00	0,00	58.969,47	0,95
Paudalho (Município) (261060)	83,20	0,00	416.830,37	0,00	0,00	416.830,37	7,57
Paulista (Município) (261070)	1.245,01	544,25	29.099.542,74	0,00	0,00	29.099.542,74	90,17
Pesqueira (Município) (261090)	127,77	0,00	9.520.774,95	0,00	1.733.776,38	11.254.551,33	170,13
Petrolina (Município) (261110)	672,31	535,35	11.343.341,34	0,00	0,00	11.343.341,34	34,17
Recife (Município) (261160)	3.346,07	1.528,68	192.229.234,19	0,00	0,00	192.229.234,19	118,87
Salgueiro (Município) (261220)	242,06	40,49	5.898.950,20	0,00	0,00	5.898.950,20	98,70
Santa Cruz do Capibaribe (Município) (261250)	202,83	0,00	1.080.527,70	0,00	0,00	1.080.527,70	10,65
São Bento do Una (Município) (261300)	85,15	0,00	34.501,94	0,00	1.844.069,81	1.878.571,74	32,58
São Lourenço da Mata (Município) (261370)	211,01	24,00	27.172.222,62	0,00	0,00	27.172.222,62	246,43
Serra Talhada (Município) (261390)	194,49	30,00	297.020,86	1.137.103,65	0,00	1.434.124,51	17,00
Surubim (Município) (261450)	160,81	0,00	21.068.710,83	0,00	0,00	21.068.710,83	333,55
Timbaúba (Município) (261530)	121,43	0,00	389.961,01	0,00	0,00	389.961,01	7,28
Vitória de Santo Antão (Município) (261640)	294,88	99,58	1.228.499,84	0,00	2.013.613,04	3.242.112,88	23,87
Arapiraca (Município) (270030)	622,94	110,00	0,00	0,00	0,00	0,00	0,00
Barra de Santo Antônio (Município) (270050)	-	-	-	-	-	-	-
Barra de São Miguel (Município) (270060)	51,00	0,00	0,00	0,00	0,00	0,00	0,00
Campo Alegre (Município) (270140)	9,78	0,00	0,00	0,00	0,00	0,00	0,00
Coqueiro Seco (Município) (270220)	9,60	0,00	0,00	0,00	200.659,26	200.659,26	34,18
Coruripe (Município) (270230)	213,00	13,30	0,00	0,00	0,00	0,00	0,00
Delmiro Gouveia (Município) (270240)	208,00	130,00	0,00	412.162,92	2.348.079,26	2.760.242,18	53,08
Maceió (Município) (270430)	1.444,00	407,53	36.392.403,67	0,00	22.242.168,94	58.634.572,60	57,84
Marechal Deodoro (Município) (270470)	135,00	41,00	117.104,51	0,00	0,00	117.104,51	2,29
Messias (Município) (270520)	19,10	0,00	0,00	0,00	0,00	0,00	0,00
Palmeira dos Índios (Município) (270630)	284,14	4,91	0,00	0,00	0,00	0,00	0,00
Paripueira (Município) (270644)	26,60	0,00	0,00	0,00	0,00	0,00	0,00
Penedo (Município) (270670)	150,00	0,00	76.478,07	0,00	0,00	76.478,07	1,19
Pilar (Município) (270690)	93,00	7,00	0,00	0,00	0,00	0,00	0,00
Rio Largo (Município) (270770)	190,00	0,00	0,00	0,00	0,00	0,00	0,00
Santa Luzia do Norte (Município) (270790)	13,00	0,00	0,00	0,00	138.409,89	138.409,89	18,90
São Miguel dos Campos (Município) (270860)	165,00	71,94	191.024,93	0,00	0,00	191.024,93	3,16
Satuba (Município) (270890)	18,45	0,00	0,00	0,00	138.409,89	138.409,89	10,34
União dos Palmares (Município) (270930)	132,50	69,30	572.524,57	0,00	0,00	572.524,57	8,67
Aracaju (Município) (280030)	2.491,50	687,70	124.537.574,61	0,00	0,00	124.537.574,61	196,82
Barra dos Coqueiros (Município) (280060)	78,27	36,05	106.198,12	0,00	0,00	106.198,12	3,70
Estância (Município) (280210)	183,40	2,09	1.758.772,73	0,00	0,00	1.758.772,73	25,71
Itabaiana (Município) (280290)	193,40	36,00	688.848,02	0,00	0,00	688.848,02	7,36
Lagarto (Município) (280350)	440,66	25,20	1.673.923,76	0,00	0,00	1.673.923,76	16,37
Nossa Senhora do Socorro (Município) (280480)	503,12	173,09	50.634,11	0,00	0,00	50.634,11	0,29
São Cristóvão (Município) (280670)	142,32	52,91	179.960,30	0,00	0,00	179.960,30	2,07
Tobias Barreto (Município) (280740)	105,33	0,00	0,00	0,00	0,00	0,00	0,00
Alagoinhas (Município) (290070)	610,00	70,00	1.916.567,61	0,00	0,00	1.916.567,61	12,41
Araci (Município) (290210)	53,21	1,70	517.355,43	0,00	0,00	517.355,43	9,18
Barra (Município) (290270)	-	-	-	-	-	-	-
Barreiras (Município) (290320)	639,21	176,76	29.595.553,70	0,00	0,00	29.595.553,70	192,28
Bom Jesus da Lapa (Município) (290390)	169,00	150,00	265.805,23	0,00	0,00	265.805,23	3,82
Brumado (Município) (290460)	311,32	9,10	220.304,96	0,00	116.359,13	336.664,09	4,86
Caetité (Município) (290520)	154,26	0,00	3.603.020,87	0,00	0,00	3.603.020,87	68,59
Camaçari (Município) (290570)	1.027,95	138,96	51.471.779,84	0,00	0,00	51.471.779,84	179,39
Campo Formoso (Município) (290600)	51,25	7,41	183.820,10	0,00	90.381,66	274.201,76	3,79
Candeias (Município) (290650)	167,22	51,59	17.348.037,10	0,00	6.539.089,59	23.887.126,69	268,98
Casa Nova (Município) (290720)	106,70	68,50	104.402,94	0,00	0,00	104.402,94	1,45
Catu (Município) (290750)	149,78	0,00	386.712,95	0,00	0,00	386.712,95	6,94
Conceição do Coité (Município) (290840)	156,88	6,70	216.800,87	0,00	296.618,60	513.419,48	7,53
Cruz das Almas (Município) (290980)	301,97	137,61	3.153.856,75	0,00	6.432.127,50	9.585.984,25	149,32
Dias d'Ávila (Município) (291005)	209,67	69,85	1.195.963,75	0,00	1.569.901,52	2.765.865,27	35,43
Euclides da Cunha (Município) (291070)	371,61	19,30	471.320,09	0,00	363.958,20	835.278,30	13,91
Eunápolis (Município) (291072)	301,77	13,33	254.295,23	0,00	0,00	254.295,23	2,25
Feira de Santana (Município) (291080)	2.161,73	578,57	48.548.181,85	0,00	29.612.806,12	78.160.987,98	126,57
Guanambi (Município) (291170)	663,19	211,86	4.907.380,23	0,00	0,00	4.907.380,23	57,20
Ilhéus (Município) (291360)	556,83	137,26	1.960.964,57	0,00	0,00	1.960.964,57	10,88
Ipirá (Município) (291400)	135,10	9,90	10.378.240,52	0,00	5.063.982,32	15.442.222,84	248,69
Irecê (Município) (291460)	406,65	18,88	2.589.173,77	0,00	0,00	2.589.173,77	35,28
Itaberaba (Município) (291470)	234,53	14,70	1.075.704,84	0,00	3.248.764,35	4.324.469,19	65,22
Itabuna (Município) (291480)	431,50	334,50	108.897,66	0,00	0,00	108.897,66	0,50
