Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Ulianópolis (Município) (150812)	80,00	6,00	0,00	419.402,36	0,00	419.402,36	7,29
Vigia (Município) (150820)	35,00	0,00	0,00	0,00	0,00	0,00	0,00
Viseu (Município) (150830)	20,00	0,00	0,00	0,00	0,00	0,00	0,00
Macapá (Município) (160030)	710,26	90,37	2.168.687,75	0,00	520.590,42	2.689.278,17	5,67
Santana (Município) (160060)	155,06	9,42	0,00	0,00	61.983,29	61.983,29	0,54
Araguaína (Município) (170210)	1.176,49	308,00	28.215.448,50	0,00	0,00	28.215.448,50	160,35
Gurupi (Município) (170950)	512,62	131,24	5.491.580,07	0,00	0,00	5.491.580,07	64,21
Paraíso do Tocantins (Município) (171610)	364,94	58,65	6.769.652,98	0,00	0,00	6.769.652,98	134,43
Porto Nacional (Município) (171820)	635,54	301,52	3.022.287,90	0,00	0,00	3.022.287,90	57,21
Palmas (Município) (172100)	1.810,26	1.156,16	26.503.820,25	0,00	0,00	26.503.820,25	92,42
Açailândia (Município) (210005)	95,00	0,00	0,00	0,00	0,00	0,00	0,00
Alcântara (Município) (210020)	22,01	0,00	0,00	0,00	0,00	0,00	0,00
Bacabal (Município) (210120)	-	-	-	-	-	-	-
Balsas (Município) (210140)	167,59	0,00	421.372,76	0,00	0,00	421.372,76	4,45
Barra do Corda (Município) (210160)	105,20	0,00	1.729.666,45	0,00	0,00	1.729.666,45	19,85
Barreirinhas (Município) (210170)	53,58	19,56	196.312,08	0,00	0,00	196.312,08	3,14
Buriticupu (Município) (210232)	52,80	0,00	45.966,59	0,00	0,00	45.966,59	0,64
Caxias (Município) (210300)	395,65	59,05	425.554,83	0,00	0,00	425.554,83	2,62
Chapadinha (Município) (210320)	74,83	0,00	765.226,13	0,00	0,00	765.226,13	9,69
Codó (Município) (210330)	305,00	35,00	604.306,04	0,00	879.795,36	1.484.101,40	12,28
Coroatá (Município) (210360)	173,02	0,00	0,00	0,00	0,00	0,00	0,00
Grajaú (Município) (210480)	-	-	-	-	-	-	-
Imperatriz (Município) (210530)	581,32	136,50	0,00	0,00	0,00	0,00	0,00
Itapecuru Mirim (Município) (210540)	72,49	0,00	0,00	0,00	0,00	0,00	0,00
Paço do Lumiar (Município) (210750)	250,00	0,00	3.127,23	0,00	0,00	3.127,23	0,03
Pinheiro (Município) (210860)	80,99	0,00	0,00	0,00	0,00	0,00	0,00
Raposa (Município) (210945)	-	-	-	-	-	-	-
Santa Inês (Município) (210990)	149,68	0,00	404.842,11	0,00	0,00	404.842,11	4,60
Santa Luzia (Município) (211000)	33,72	0,00	0,00	0,00	0,00	0,00	0,00
São José de Ribamar (Município) (211120)	-	-	-	-	-	-	-
São Luís (Município) (211130)	1.777,32	788,76	89.280.741,42	0,00	0,00	89.280.741,42	81,77
Timon (Município) (211220)	452,00	0,00	73.212.920,94	0,00	0,00	73.212.920,94	436,78
Tutóia (Município) (211250)	23,52	0,00	743.490,00	0,00	0,00	743.490,00	12,69
Vargem Grande (Município) (211270)	66,04	0,00	0,00	0,00	0,00	0,00	0,00
Viana (Município) (211280)	-	-	-	-	-	-	-
Zé Doca (Município) (211400)	41,95	0,00	0,00	0,00	0,00	0,00	0,00
Altos (Município) (220040)	31,83	12,54	10.002,17	0,00	0,00	10.002,17	0,25
Beneditinos (Município) (220160)	20,67	0,00	2.773,06	0,00	0,00	2.773,06	0,28
Coivaras (Município) (220273)	33,00	0,00	0,00	63.741,82	0,00	63.741,82	16,12
Curralinhos (Município) (220325)	-	-	-	-	-	-	-
Demerval Lobão (Município) (220330)	35,34	0,00	6.756,88	0,00	0,00	6.756,88	0,50
Floriano (Município) (220390)	221,87	6,86	159.998,76	0,00	0,00	159.998,76	2,71
José de Freitas (Município) (220550)	71,72	4,74	10.753,18	0,00	0,00	10.753,18	0,28
Lagoa Alegre (Município) (220555)	18,88	0,00	1.274,90	0,00	0,00	1.274,90	0,15
Lagoa do Piauí (Município) (220558)	130,00	0,00	0,00	120.221,07	0,00	120.221,07	30,09
Miguel Leão (Município) (220630)	-	-	-	-	-	-	-
Monsenhor Gil (Município) (220640)	30,92	0,00	3.584,41	0,00	0,00	3.584,41	0,34
Nazária (Município) (220672)	6,43	0,00	1.034,12	0,00	0,00	1.034,12	0,12
Parnaíba (Município) (220770)	254,27	198,81	3.478.906,91	0,00	0,00	3.478.906,91	23,11
Pau D'Arco do Piauí (Município) (220779)	-	-	-	-	-	-	-
Picos (Município) (220800)	126,00	122,88	50.845,56	0,00	0,00	50.845,56	0,66
Piripiri (Município) (220840)	181,08	0,00	1.641.750,57	0,00	0,00	1.641.750,57	26,17
Teresina (Município) (221100)	2.498,00	499,00	26.706.990,13	0,00	0,00	26.706.990,13	31,41
União (Município) (221110)	72,87	0,00	8.379,12	0,00	0,00	8.379,12	0,19
Acaraú (Município) (230020)	100,32	21,38	84.332,59	0,00	0,00	84.332,59	1,36
Acopiara (Município) (230030)	48,82	23,81	346.131,57	0,00	0,00	346.131,57	6,46
Aquiraz (Município) (230100)	144,15	37,53	700.701,51	0,00	0,00	700.701,51	8,86
Aracati (Município) (230110)	163,20	57,13	1.340.855,98	0,00	0,00	1.340.855,98	18,21
Barbalha (Município) (230190)	98,54	46,34	222.127,29	0,00	0,00	222.127,29	3,71
Beberibe (Município) (230220)	58,45	18,51	32.491,94	0,00	0,00	32.491,94	0,61
Boa Viagem (Município) (230240)	236,00	0,00	2.978,62	0,00	0,00	2.978,62	0,06
Camocim (Município) (230260)	145,00	85,50	0,00	0,00	0,00	0,00	0,00
Canindé (Município) (230280)	109,30	23,00	42.478,83	0,00	0,00	42.478,83	0,55
Cascavel (Município) (230350)	136,31	4,98	247.340,77	0,00	0,00	247.340,77	3,48
Caucaia (Município) (230370)	623,59	306,76	48.332.824,05	0,00	0,00	48.332.824,05	133,43
Chorozinho (Município) (230395)	72,51	0,00	53.557,25	0,00	0,00	53.557,25	2,79
Crateús (Município) (230410)	176,00	132,47	811.123,23	0,00	0,00	811.123,23	10,90
Crato (Município) (230420)	276,26	102,62	0,00	0,00	0,00	0,00	0,00
Eusébio (Município) (230428)	242,83	34,92	1.824.987,62	0,00	0,00	1.824.987,62	34,65
Fortaleza (Município) (230440)	4.135,68	2.531,39	94.991.545,33	0,00	0,00	94.991.545,33	36,15
Granja (Município) (230470)	49,70	1,86	0,00	0,00	0,00	0,00	0,00
Guaiúba (Município) (230495)	48,55	10,90	193.633,62	0,00	0,00	193.633,62	7,35
Horizonte (Município) (230523)	150,96	12,73	606.670,37	0,00	0,00	606.670,37	9,20
Icó (Município) (230540)	138,00	49,00	23.909,93	463.190,31	0,00	487.100,25	7,22
Iguatu (Município) (230550)	394,25	31,00	450.911,79	0,00	0,00	450.911,79	4,39
Itaitinga (Município) (230625)	151,70	2,32	305.904,07	0,00	0,00	305.904,07	7,78
Itapajé (Município) (230630)	-	-	-	-	-	-	-
Itapipoca (Município) (230640)	310,48	56,91	73.920,68	0,00	0,00	73.920,68	0,58
Juazeiro do Norte (Município) (230730)	709,24	185,01	2.195.228,97	0,00	0,00	2.195.228,97	8,12
Limoeiro do Norte (Município) (230760)	176,80	70,30	113.415,02	0,00	0,00	113.415,02	1,93
Maracanaú (Município) (230765)	577,92	235,32	895.725,26	0,00	0,00	895.725,26	3,98
Maranguape (Município) (230770)	275,71	73,55	922.316,98	0,00	0,00	922.316,98	7,29
Morada Nova (Município) (230870)	515,00	4,00	0,00	0,00	0,00	0,00	0,00
Pacajus (Município) (230960)	152,03	2,84	221.768,50	0,00	0,00	221.768,50	3,13
Pacatuba (Município) (230970)	198,75	42,05	183.120,10	0,00	0,00	183.120,10	2,21
Pindoretama (Município) (231085)	50,00	0,00	8.211,74	0,00	0,00	8.211,74	0,40
Quixadá (Município) (231130)	190,87	83,56	503.413,98	0,00	0,00	503.413,98	5,81
Quixeramobim (Município) (231140)	470,00	0,00	5.926,54	0,00	0,00	5.926,54	0,08
Russas (Município) (231180)	158,32	53,19	242.626,06	0,00	0,00	242.626,06	3,17
São Gonçalo do Amarante (Município) (231240)	151,99	68,91	880.021,56	0,00	0,00	880.021,56	18,23
Sobral (Município) (231290)	656,43	462,00	1.785.534,94	0,00	0,00	1.785.534,94	8,69
Tauá (Município) (231330)	97,21	19,09	85.910,28	0,00	0,00	85.910,28	1,48
Tianguá (Município) (231340)	191,09	70,44	329.719,76	0,00	0,00	329.719,76	4,41
Trairi (Município) (231350)	52,55	6,10	171.386,87	0,00	0,00	171.386,87	3,10
Viçosa do Ceará (Município) (231410)	57,88	15,22	996.753,05	0,00	0,00	996.753,05	16,60
Açu (Município) (240020)	149,20	0,00	4.358.471,48	0,00	0,00	4.358.471,48	74,91
Caicó (Município) (240200)	244,10	10,50	16.278.295,39	0,00	0,00	16.278.295,39	238,61
Ceará-Mirim (Município) (240260)	191,50	42,80	327.981,55	0,00	0,00	327.981,55	4,44
Parnamirim (Município) (240325)	306,49	30,88	1.760.286,60	0,00	0,00	1.760.286,60	6,91
Extremoz (Município) (240360)	9,80	0,00	0,00	0,00	0,00	0,00	0,00
Macaíba (Município) (240710)	195,21	21,53	2.227.512,15	0,00	0,00	2.227.512,15	27,83
Monte Alegre (Município) (240780)	77,08	3,06	7.369,90	0,00	0,00	7.369,90	0,33
Mossoró (Município) (240800)	900,00	211,67	6.664.141,68	0,00	0,00	6.664.141,68	22,54
Natal (Município) (240810)	1.601,67	964,01	108.338.026,99	0,00	0,00	108.338.026,99	122,39
Nísia Floresta (Município) (240820)	55,62	0,00	28.795,15	0,00	0,00	28.795,15	1,05
São Gonçalo do Amarante (Município) (241200)	779,00	102,00	803.435,48	0,00	0,00	803.435,48	7,92
São José de Mipibu (Município) (241220)	61,35	1,59	315.012,24	0,00	0,00	315.012,24	7,16
Vera Cruz (Município) (241480)	21,09	0,00	154.974,90	0,00	0,00	154.974,90	12,53
Alhandra (Município) (250060)	22,18	0,00	831.537,53	0,00	0,00	831.537,53	42,47
Bayeux (Município) (250180)	105,38	19,80	1.010.555,91	0,00	0,00	1.010.555,91	10,42
Caaporã (Município) (250300)	37,28	0,00	21.342,62	0,00	0,00	21.342,62	0,98
Cabedelo (Município) (250320)	77,65	8,75	2.808.500,00	0,00	0,00	2.808.500,00	41,28
Cajazeiras (Município) (250370)	169,29	23,92	209.016,64	0,00	2.833.942,26	3.042.958,91	48,93
Campina Grande (Município) (250400)	701,12	372,11	368.087,03	0,00	557.030,11	925.117,13	2,25
Conde (Município) (250460)	25,75	0,00	4.774,50	0,00	0,00	4.774,50	0,19
Cruz do Espírito Santo (Município) (250490)	22,13	0,00	2.301,39	0,00	0,00	2.301,39	0,13
Guarabira (Município) (250630)	130,84	56,50	212.443,62	0,00	0,00	212.443,62	3,61
João Pessoa (Município) (250750)	1.024,74	645,14	7.216.265,81	0,00	0,00	7.216.265,81	8,89
Lucena (Município) (250860)	22,73	0,00	211.652,66	0,00	0,00	211.652,66	16,13
Mamanguape (Município) (250890)	56,39	6,83	2.881.642,92	0,00	0,00	2.881.642,92	64,03
Patos (Município) (251080)	209,67	14,31	254.117,76	0,00	0,00	254.117,76	2,36
Pedras de Fogo (Município) (251120)	16,64	4,02	3.694,55	0,00	0,00	3.694,55	0,13
Pitimbu (Município) (251190)	6,60	0,00	1.564,89	0,00	0,00	1.564,89	0,08
Rio Tinto (Município) (251290)	44,89	0,00	4.957,11	0,00	17.033,48	21.990,60	0,91
Santa Rita (Município) (251370)	129,51	21,83	3.527.604,85	0,00	0,00	3.527.604,85	25,78
Sapé (Município) (251530)	88,29	17,27	12.011,23	0,00	0,00	12.011,23	0,23
Sousa (Município) (251620)	-	-	-	-	-	-	-
Abreu e Lima (Município) (260005)	220,26	82,96	2.064.197,19	0,00	0,00	2.064.197,19	20,77
Araçoiaba (Município) (260105)	18,02	0,00	4.156,84	0,00	0,00	4.156,84	0,21
Araripina (Município) (260110)	151,40	100,50	76.767,63	1.765,01	2.974,61	81.507,26	0,97
Arcoverde (Município) (260120)	193,57	11,26	24.099.087,20	0,00	8.923,86	24.108.011,05	327,26
Belo Jardim (Município) (260170)	235,20	0,00	16.765.188,41	0,00	0,00	16.765.188,41	220,64
Bezerros (Município) (260190)	169,94	0,00	11.150.377,06	0,00	0,00	11.150.377,06	184,15
Brejo da Madre de Deus (Município) (260260)	110,94	58,00	267.740,69	0,00	0,00	267.740,69	5,34
Buíque (Município) (260280)	52,50	0,00	4.341.745,38	0,00	68.210,37	4.409.955,74	76,43
Cabo de Santo Agostinho (Município) (260290)	532,66	49,00	9.171.755,14	0,00	0,00	9.171.755,14	44,82
Camaragibe (Município) (260345)	339,09	7,34	3.027.358,61	0,00	0,00	3.027.358,61	19,36
Carpina (Município) (260400)	198,92	0,00	616.922,82	0,00	0,00	616.922,82	7,46
Caruaru (Município) (260410)	948,62	431,17	56.580.054,18	0,00	8.923,86	56.588.978,03	158,90
Escada (Município) (260520)	129,60	0,00	1.376.102,99	0,00	0,00	1.376.102,99	20,15
Garanhuns (Município) (260600)	406,81	47,09	968.879,77	0,00	0,00	968.879,77	6,99
Goiana (Município) (260620)	152,71	0,00	5.365.328,52	0,00	0,00	5.365.328,52	67,70
Gravatá (Município) (260640)	323,36	6,52	18.817.213,41	0,00	37.439,37	18.854.652,78	226,51
Igarassu (Município) (260680)	293,60	17,12	1.605.294,46	0,00	0,00	1.605.294,46	13,91
Ipojuca (Município) (260720)	215,38	104,78	12.143.700,60	0,00	0,00	12.143.700,60	128,46
Ilha de Itamaracá (Município) (260760)	124,43	0,00	288.153,14	0,00	0,00	288.153,14	11,17
Itapissuma (Município) (260775)	44,97	5,00	67.698,04	0,00	0,00	67.698,04	2,57
Jaboatão dos Guararapes (Município) (260790)	1.156,34	360,45	33.898.095,20	0,00	174.651,36	34.072.746,56	48,96
Limoeiro (Município) (260890)	135,02	0,00	2.139.238,59	0,00	8.923,86	2.148.162,44	38,26
Moreno (Município) (260940)	138,78	75,11	3.034.529,03	0,00	0,00	3.034.529,03	48,85
Olinda (Município) (260960)	814,87	470,64	53.561.672,72	0,00	256.991,09	53.818.663,81	137,72
Ouricuri (Município) (260990)	133,59	0,00	125.887,88	0,00	2.974,61	128.862,49	1,87
Palmares (Município) (261000)	118,37	0,00	281.777,28	0,00	0,00	281.777,28	4,48
Paudalho (Município) (261060)	84,88	0,00	847.633,93	0,00	0,00	847.633,93	15,15
Paulista (Município) (261070)	1.260,57	588,60	15.733.115,23	0,00	0,00	15.733.115,23	47,92
Pesqueira (Município) (261090)	135,99	120,00	10.201.241,35	343.522,35	32.720,81	10.577.484,50	158,15
Petrolina (Município) (261110)	756,14	669,01	2.233.930,77	0,00	2.974,61	2.236.905,38	6,52
Recife (Município) (261160)	3.520,91	1.543,03	146.805.876,47	0,00	1.046.051,32	147.851.927,78	90,50
Salgueiro (Município) (261220)	242,05	44,55	3.726.697,13	0,00	2.974,61	3.729.671,75	61,70
Santa Cruz do Capibaribe (Município) (261250)	208,29	1.970,00	4.883.143,35	7.975.771,82	66.485.606,91	79.344.522,08	750,22
São Bento do Una (Município) (261300)	89,56	0,00	2.722.213,52	0,00	11.898,47	2.734.111,99	46,48
São Lourenço da Mata (Município) (261370)	228,01	25,57	31.883.593,23	0,00	0,00	31.883.593,23	284,42
Serra Talhada (Município) (261390)	209,56	35,00	75.021,16	1.160.350,93	23.796,95	1.259.169,04	14,72
Surubim (Município) (261450)	164,84	0,00	16.266.715,51	0,00	2.974,61	16.269.690,13	252,74
Timbaúba (Município) (261530)	126,07	38,00	90.040,51	1.456.471,87	0,00	1.546.512,38	29,13
Vitória de Santo Antão (Município) (261640)	315,70	110,05	401.790,48	0,00	0,00	401.790,48	2,92
Arapiraca (Município) (270030)	635,50	0,00	13.384.410,95	0,00	0,00	13.384.410,95	57,15
Barra de Santo Antônio (Município) (270050)	-	-	-	-	-	-	-
Barra de São Miguel (Município) (270060)	51,00	2,10	0,00	0,00	0,00	0,00	0,00
Campo Alegre (Município) (270140)	70,30	52,00	0,00	296.942,95	0,00	296.942,95	5,16
Coqueiro Seco (Município) (270220)	9,60	0,00	0,00	0,00	694.081,14	694.081,14	117,28
Coruripe (Município) (270230)	225,00	13,30	0,00	0,00	0,00	0,00	0,00
Delmiro Gouveia (Município) (270240)	310,00	0,00	91.355,54	0,00	314.787,36	406.142,90	7,72
Maceió (Município) (270430)	1.444,00	385,33	19.900.157,42	0,00	4.602.135,42	24.502.292,85	23,81
Marechal Deodoro (Município) (270470)	147,20	44,60	22.118,58	0,00	0,00	22.118,58	0,42
Messias (Município) (270520)	19,10	0,00	0,00	0,00	0,00	0,00	0,00
Palmeira dos Índios (Município) (270630)	287,74	4,91	0,00	0,00	0,00	0,00	0,00
Paripueira (Município) (270644)	26,60	0,00	0,00	0,00	0,00	0,00	0,00
Penedo (Município) (270670)	151,00	0,00	222.912,41	0,00	0,00	222.912,41	3,46
Pilar (Município) (270690)	47,00	0,00	0,00	0,00	0,00	0,00	0,00
Rio Largo (Município) (270770)	192,50	25,00	0,00	0,00	0,00	0,00	0,00
Santa Luzia do Norte (Município) (270790)	13,00	0,00	0,00	0,00	0,00	0,00	0,00
São Miguel dos Campos (Município) (270860)	189,00	96,28	249.128,58	0,00	0,00	249.128,58	4,03
Satuba (Município) (270890)	18,45	0,00	0,00	0,00	0,00	0,00	0,00
União dos Palmares (Município) (270930)	134,60	69,80	90.994,40	0,00	0,00	90.994,40	1,37
Aracaju (Município) (280030)	1.573,08	687,70	78.080.201,27	0,00	0,00	78.080.201,27	120,10
Barra dos Coqueiros (Município) (280060)	103,71	36,05	300.804,48	0,00	0,00	300.804,48	10,09
Estância (Município) (280210)	200,16	10,38	10.452.619,65	0,00	0,00	10.452.619,65	150,88
Itabaiana (Município) (280290)	193,40	45,00	1.019.324,72	0,00	0,00	1.019.324,72	10,71
Lagarto (Município) (280350)	445,55	25,20	6.962,01	0,00	0,00	6.962,01	0,07
Nossa Senhora do Socorro (Município) (280480)	413,43	173,09	350.308,53	0,00	0,00	350.308,53	1,93
São Cristóvão (Município) (280670)	411,30	52,91	4.541.670,29	0,00	0,00	4.541.670,29	50,90
Tobias Barreto (Município) (280740)	105,33	100,30	0,00	52.169,87	0,00	52.169,87	1,00
Alagoinhas (Município) (290070)	616,10	70,00	2.886.224,64	0,00	0,00	2.886.224,64	18,50
Araci (Município) (290210)	59,35	1.468,74	0,00	0,00	0,00	0,00	0,00
Barra (Município) (290270)	-	-	-	-	-	-	-
Barreiras (Município) (290320)	661,28	276,13	5.232.919,65	0,00	0,00	5.232.919,65	33,20
Bom Jesus da Lapa (Município) (290390)	180,00	165,00	395.222,10	0,00	0,00	395.222,10	5,60
Brumado (Município) (290460)	463,44	11,39	91.655,51	0,00	0,00	91.655,51	1,32
Caetité (Município) (290520)	209,35	0,00	140.283,18	0,00	0,00	140.283,18	2,65
Camaçari (Município) (290570)	1.093,02	157,35	47.141.657,49	0,00	0,00	47.141.657,49	158,78
Campo Formoso (Município) (290600)	51,24	7,41	102.482,25	0,00	0,00	102.482,25	1,40
Candeias (Município) (290650)	293,11	53,87	3.216.604,20	0,00	0,00	3.216.604,20	35,86
Casa Nova (Município) (290720)	240,80	86,40	162.943,75	0,00	0,00	162.943,75	2,22
Catu (Município) (290750)	186,36	35,00	2.177,34	385.075,56	0,00	387.252,90	6,86
Conceição do Coité (Município) (290840)	214,43	6,72	0,00	0,00	0,00	0,00	0,00
Cruz das Almas (Município) (290980)	368,85	143,00	1.386.178,41	0,00	0,00	1.386.178,41	21,35
Dias d'Ávila (Município) (291005)	211,08	75,39	2.157.761,70	0,00	0,00	2.157.761,70	26,75
Euclides da Cunha (Município) (291070)	376,23	37,51	227.268,69	0,00	0,00	227.268,69	3,67
Eunápolis (Município) (291072)	301,77	13,33	853.776,92	0,00	0,00	853.776,92	7,41
Feira de Santana (Município) (291080)	2.272,24	612,20	35.900.703,14	0,00	0,00	35.900.703,14	57,21
Guanambi (Município) (291170)	672,50	213,61	3.015.339,49	0,00	0,00	3.015.339,49	34,74
Ilhéus (Município) (291360)	596,56	137,26	13.027.038,91	0,00	0,00	13.027.038,91	73,87
Ipirá (Município) (291400)	144,10	10,50	253.195,03	0,00	0,00	253.195,03	4,04
Irecê (Município) (291460)	403,20	25,42	1.255.204,19	0,00	0,00	1.255.204,19	16,85
Itaberaba (Município) (291470)	243,06	17,30	15.579.077,61	0,00	0,00	15.579.077,61	233,20
Itabuna (Município) (291480)	435,00	342,00	9.027.484,99	0,00	0,00	9.027.484,99	40,84
Itamaraju (Município) (291560)	172,08	161,77	1.532.336,88	0,00	0,00	1.532.336,88	22,75
Itaparica (Município) (291610)	145,54	89,64	154.243,78	0,00	0,00	154.243,78	6,75
Itapetinga (Município) (291640)	184,35	138,52	125.391,27	0,00	0,00	125.391,27	1,62
