Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Dom Eliseu (Município) (150293)	159,00	-	628.003,63	0,00	0,00	628.003,63	10,65
Igarapé-Miri (Município) (150330)	65,00	-	0,00	0,00	0,00	0,00	0,00
Ipixuna do Pará (Município) (150345)	-	-	0,00	0,00	0,00	0,00	0,00
Itaituba (Município) (150360)	58,00	-	0,00	0,00	0,00	0,00	0,00
Itupiranga (Município) (150370)	20,00	12,00	115.199,70	0,00	0,00	115.199,70	2,17
Jacundá (Município) (150380)	37,00	-	0,00	0,00	0,00	0,00	0,00
Juruti (Município) (150390)	-	-	0,00	0,00	0,00	0,00	0,00
Marabá (Município) (150420)	235,00	36,00	0,00	0,00	4.888.116,28	4.888.116,28	17,77
Marituba (Município) (150442)	91,07	4,00	0,00	0,00	8.469.207,38	8.469.207,38	65,49
Moju (Município) (150470)	25,00	-	0,00	0,00	5.573.036,22	5.573.036,22	68,81
Monte Alegre (Município) (150480)	56,00	-	0,00	0,00	0,00	0,00	0,00
Novo Repartimento (Município) (150506)	15,00	15,00	0,00	0,00	0,00	0,00	0,00
Óbidos (Município) (150510)	66,00	-	0,00	0,00	0,00	0,00	0,00
Oriximiná (Município) (150530)	435,00	-	0,00	206.968,93	6.047.965,46	6.254.934,39	86,68
Paragominas (Município) (150550)	250,05	44,86	135.564,83	22.500.666,82	0,00	22.636.231,65	202,54
Parauapebas (Município) (150553)	845,95	60,25	1.901.927,74	0,00	0,00	1.901.927,74	9,37
Portel (Município) (150580)	22,00	-	0,00	0,00	0,00	0,00	0,00
Redenção (Município) (150613)	334,22	25,35	6.260.279,59	0,00	0,00	6.260.279,59	74,53
Rondon do Pará (Município) (150618)	253,00	-	63.036,03	0,00	0,00	63.036,03	1,21
Santa Bárbara do Pará (Município) (150635)	55,00	0,50	0,00	0,00	0,00	0,00	0,00
Santa Izabel do Pará (Município) (150650)	100,00	-	44.495,76	0,00	0,00	44.495,76	0,64
Santana do Araguaia (Município) (150670)	59,00	-	121.020,13	0,00	0,00	121.020,13	1,70
Santarém (Município) (150680)	361,00	61,00	0,00	0,00	289.158,81	289.158,81	0,96
São Félix do Xingu (Município) (150730)	7,00	-	0,00	0,00	0,00	0,00	0,00
São Miguel do Guamá (Município) (150760)	120,00	-	0,00	9.808.299,60	0,00	9.808.299,60	168,16
Tailândia (Município) (150795)	50,00	-	0,00	0,00	0,00	0,00	0,00
Tomé-Açu (Município) (150800)	99,00	-	0,00	0,00	0,00	0,00	0,00
Tucuruí (Município) (150810)	161,20	-	0,00	0,00	0,00	0,00	0,00
Ulianópolis (Município) (150812)	100,00	6,00	0,00	1.552.980,77	0,00	1.552.980,77	26,95
Vigia (Município) (150820)	35,00	-	0,00	0,00	0,00	0,00	0,00
Viseu (Município) (150830)	20,00	-	0,00	0,00	0,00	0,00	0,00
Macapá (Município) (160030)	710,26	90,37	52.830,16	0,00	5.853.299,51	5.906.129,67	11,96
Santana (Município) (160060)	155,06	9,42	0,00	0,00	0,00	0,00	0,00
Araguaína (Município) (170210)	1.219,00	330,00	28.737.277,05	0,00	0,00	28.737.277,05	161,88
Gurupi (Município) (170950)	602,17	138,88	7.829.278,86	0,00	0,00	7.829.278,86	91,32
Paraíso do Tocantins (Município) (171610)	372,26	76,06	4.818.573,73	0,00	0,00	4.818.573,73	95,22
Porto Nacional (Município) (171820)	666,41	349,76	8.215.624,83	0,00	0,00	8.215.624,83	155,89
Palmas (Município) (172100)	1.818,00	1.156,37	38.091.801,57	0,00	0,00	38.091.801,57	130,52
Açailândia (Município) (210005)	98,40	-	0,00	0,00	0,00	0,00	0,00
Alcântara (Município) (210020)	22,01	-	0,00	0,00	0,00	0,00	0,00
Bacabal (Município) (210120)	-	-	0,00	0,00	0,00	0,00	0,00
Balsas (Município) (210140)	169,88	-	621.887,17	0,00	0,00	621.887,17	6,63
Barra do Corda (Município) (210160)	105,20	-	0,00	0,00	0,00	0,00	0,00
Barreirinhas (Município) (210170)	53,58	19,56	0,00	0,00	0,00	0,00	0,00
Buriticupu (Município) (210232)	52,80	-	1.213,05	0,00	0,00	1.213,05	0,02
Caxias (Município) (210300)	419,00	59,05	513.769,63	0,00	0,00	513.769,63	3,13
Chapadinha (Município) (210320)	74,83	-	0,00	0,00	0,00	0,00	0,00
Codó (Município) (210330)	311,00	35,00	1.202.449,88	0,00	0,00	1.202.449,88	9,81
Coroatá (Município) (210360)	180,24	6,00	0,00	0,00	0,00	0,00	0,00
Grajaú (Município) (210480)	600,00	-	62.537,90	0,00	0,00	62.537,90	0,91
Imperatriz (Município) (210530)	595,33	136,50	1.971,21	0,00	0,00	1.971,21	0,01
Itapecuru Mirim (Município) (210540)	72,49	-	0,00	0,00	0,00	0,00	0,00
Paço do Lumiar (Município) (210750)	662,00	135,00	15.444.390,61	0,00	0,00	15.444.390,61	128,04
Pinheiro (Município) (210860)	80,99	-	0,00	0,00	0,00	0,00	0,00
Raposa (Município) (210945)	200,00	-	16.052,72	1.502.368,03	0,00	1.518.420,76	50,05
Santa Inês (Município) (210990)	149,67	-	0,00	0,00	0,00	0,00	0,00
Santa Luzia (Município) (211000)	33,72	-	0,00	0,00	0,00	0,00	0,00
São José de Ribamar (Município) (211120)	543,00	100,00	29.599.690,69	0,00	0,00	29.599.690,69	167,87
São Luís (Município) (211130)	1.924,83	874,83	88.624.895,12	0,00	0,00	88.624.895,12	80,96
Timon (Município) (211220)	507,00	7,43	6.942.322,36	0,00	0,00	6.942.322,36	41,33
Tutóia (Município) (211250)	23,52	-	0,00	0,00	0,00	0,00	0,00
Vargem Grande (Município) (211270)	66,04	-	0,00	0,00	0,00	0,00	0,00
Viana (Município) (211280)	-	-	0,00	0,00	0,00	0,00	0,00
Zé Doca (Município) (211400)	41,95	-	0,00	0,00	0,00	0,00	0,00
Altos (Município) (220040)	30,06	10,90	2.420,77	0,00	0,00	2.420,77	0,06
Beneditinos (Município) (220160)	20,12	-	744,21	0,00	0,00	744,21	0,07
Coivaras (Município) (220273)	35,00	-	0,00	66.168,10	0,00	66.168,10	16,51
Curralinhos (Município) (220325)	-	-	0,00	0,00	0,00	0,00	0,00
Demerval Lobão (Município) (220330)	32,64	-	1.747,52	0,00	0,00	1.747,52	0,13
Floriano (Município) (220390)	221,37	6,86	94.536,40	0,00	0,00	94.536,40	1,58
José de Freitas (Município) (220550)	66,18	4,68	2.788,75	0,00	0,00	2.788,75	0,07
Lagoa Alegre (Município) (220555)	17,56	-	351,08	0,00	0,00	351,08	0,04
Lagoa do Piauí (Município) (220558)	130,00	-	0,00	116.477,38	0,00	116.477,38	28,75
Miguel Leão (Município) (220630)	-	-	0,00	0,00	0,00	0,00	0,00
Monsenhor Gil (Município) (220640)	30,15	-	802,42	0,00	0,00	802,42	0,08
Nazária (Município) (220672)	6,31	-	227,92	0,00	0,00	227,92	0,03
Parnaíba (Município) (220770)	245,53	164,94	31.958,14	0,00	0,00	31.958,14	0,21
Pau D'Arco do Piauí (Município) (220779)	-	-	0,00	0,00	0,00	0,00	0,00
Picos (Município) (220800)	118,64	92,93	88.549,81	0,00	0,00	88.549,81	1,14
Piripiri (Município) (220840)	177,59	-	5.325.407,26	0,00	0,00	5.325.407,26	83,61
Teresina (Município) (221100)	2.476,45	505,00	84.388.233,82	0,00	0,00	84.388.233,82	97,96
União (Município) (221110)	66,37	89,19	2.232,65	0,00	0,00	2.232,65	0,05
Acaraú (Município) (230020)	101,72	21,38	101.339,11	0,00	0,00	101.339,11	1,62
Acopiara (Município) (230030)	52,03	23,81	71.335,10	0,00	0,00	71.335,10	1,32
Aquiraz (Município) (230100)	144,16	37,53	65.092,53	0,00	0,00	65.092,53	0,82
Aracati (Município) (230110)	163,49	57,13	292.828,24	0,00	0,00	292.828,24	3,95
Barbalha (Município) (230190)	98,55	46,34	191.693,41	0,00	0,00	191.693,41	3,19
Beberibe (Município) (230220)	58,45	18,51	85.250,76	0,00	0,00	85.250,76	1,60
Boa Viagem (Município) (230240)	236,00	-	0,00	0,00	0,00	0,00	0,00
Camocim (Município) (230260)	150,00	85,50	0,00	0,00	0,00	0,00	0,00
Canindé (Município) (230280)	109,30	23,00	90.380,27	0,00	0,00	90.380,27	1,16
Cascavel (Município) (230350)	147,91	4,98	5.003.762,77	0,00	0,00	5.003.762,77	69,98
Caucaia (Município) (230370)	632,50	307,20	19.401.744,30	0,00	0,00	19.401.744,30	53,30
Chorozinho (Município) (230395)	72,51	-	50.427,81	0,00	0,00	50.427,81	2,61
Crateús (Município) (230410)	202,06	132,47	436.860,18	0,00	0,00	436.860,18	5,83
Crato (Município) (230420)	300,60	103,27	0,00	0,00	0,00	0,00	0,00
Eusébio (Município) (230428)	248,66	35,56	365.417,66	0,00	0,00	365.417,66	6,91
Fortaleza (Município) (230440)	4.187,35	2.536,13	110.134.203,34	0,00	0,00	110.134.203,34	41,67
Granja (Município) (230470)	51,70	1,86	0,00	0,00	0,00	0,00	0,00
Guaiúba (Município) (230495)	48,55	10,90	81.697,32	0,00	0,00	81.697,32	3,09
Horizonte (Município) (230523)	150,97	12,73	5.224.649,92	0,00	0,00	5.224.649,92	79,02
Icó (Município) (230540)	140,00	49,00	36.857,76	1.796.275,36	0,00	1.833.133,13	26,97
Iguatu (Município) (230550)	399,17	31,00	718.410,77	0,00	0,00	718.410,77	6,96
Itaitinga (Município) (230625)	153,10	2,32	254.968,48	0,00	0,00	254.968,48	6,45
Itapajé (Município) (230630)	-	-	0,00	0,00	0,00	0,00	0,00
Itapipoca (Município) (230640)	312,17	57,98	217.023,20	0,00	0,00	217.023,20	1,69
Juazeiro do Norte (Município) (230730)	723,34	185,01	1.606.786,45	0,00	0,00	1.606.786,45	5,91
Limoeiro do Norte (Município) (230760)	191,80	70,90	445.332,66	0,00	0,00	445.332,66	7,51
Maracanaú (Município) (230765)	580,58	235,32	1.325.138,76	0,00	0,00	1.325.138,76	5,86
Maranguape (Município) (230770)	275,71	73,55	698.526,73	0,00	0,00	698.526,73	5,50
Morada Nova (Município) (230870)	630,00	4,00	0,00	0,00	0,00	0,00	0,00
Pacajus (Município) (230960)	152,03	2,84	224.521,69	0,00	0,00	224.521,69	3,15
Pacatuba (Município) (230970)	168,91	42,05	311.382,07	0,00	0,00	311.382,07	3,74
Pindoretama (Município) (231085)	50,00	-	0,00	0,00	0,00	0,00	0,00
Quixadá (Município) (231130)	190,88	83,56	460.813,61	0,00	0,00	460.813,61	5,29
Quixeramobim (Município) (231140)	480,00	-	181.837,87	0,00	0,00	181.837,87	2,30
Russas (Município) (231180)	160,78	53,19	127.343,45	0,00	0,00	127.343,45	1,66
São Gonçalo do Amarante (Município) (231240)	151,10	68,91	3.335,63	0,00	0,00	3.335,63	0,07
Sobral (Município) (231290)	685,83	485,00	1.881.229,46	0,00	0,00	1.881.229,46	9,10
Tauá (Município) (231330)	97,37	19,09	174.622,74	0,00	0,00	174.622,74	2,98
Tianguá (Município) (231340)	252,04	70,44	521.185,88	0,00	0,00	521.185,88	6,94
Trairi (Município) (231350)	54,54	6,10	36.975,92	0,00	0,00	36.975,92	0,67
Viçosa do Ceará (Município) (231410)	57,88	-	3.866.703,72	0,00	0,00	3.866.703,72	64,07
Açu (Município) (240020)	149,20	-	13.179.584,94	0,00	0,00	13.179.584,94	228,64
Caicó (Município) (240200)	244,10	10,50	6.566.830,92	0,00	0,00	6.566.830,92	97,21
Ceará-Mirim (Município) (240260)	191,50	42,80	409.709,32	0,00	0,00	409.709,32	5,60
Parnamirim (Município) (240325)	306,49	30,88	9.424.021,67	0,00	0,00	9.424.021,67	36,84
Extremoz (Município) (240360)	3.022,20	-	34.280,20	0,00	0,00	34.280,20	1,21
Macaíba (Município) (240710)	200,21	21,53	551.412,75	0,00	0,00	551.412,75	6,91
Monte Alegre (Município) (240780)	77,08	3,06	11.758,77	0,00	0,00	11.758,77	0,53
Mossoró (Município) (240800)	900,00	211,67	2.774.891,72	0,00	0,00	2.774.891,72	9,44
Natal (Município) (240810)	1.601,67	1.056,04	273.773.780,05	0,00	0,00	273.773.780,05	311,94
Nísia Floresta (Município) (240820)	57,99	-	1.969,09	0,00	0,00	1.969,09	0,07
São Gonçalo do Amarante (Município) (241200)	805,00	102,00	1.288.369,31	0,00	0,00	1.288.369,31	12,74
São José de Mipibu (Município) (241220)	61,35	1,59	217.872,64	0,00	0,00	217.872,64	4,99
Vera Cruz (Município) (241480)	21,09	-	3,85	0,00	0,00	3,85	0,00
Alhandra (Município) (250060)	22,39	-	67.611,81	0,00	0,00	67.611,81	3,49
Bayeux (Município) (250180)	105,64	19,80	1.874.608,55	0,00	0,00	1.874.608,55	19,42
Caaporã (Município) (250300)	38,25	-	58.361,31	0,00	0,00	58.361,31	2,69
Cabedelo (Município) (250320)	78,86	8,75	686.076,88	0,00	0,00	686.076,88	10,29
Cajazeiras (Município) (250370)	178,85	23,92	308.288,51	0,00	0,00	308.288,51	4,99
Campina Grande (Município) (250400)	719,90	385,08	2.088.776,32	0,00	1.140.423,91	3.229.200,22	7,92
Conde (Município) (250460)	25,80	-	484.983,53	0,00	0,00	484.983,53	19,94
Cruz do Espírito Santo (Município) (250490)	22,13	-	26.825,27	0,00	0,00	26.825,27	1,54
Guarabira (Município) (250630)	134,10	56,61	629.750,29	0,00	0,00	629.750,29	10,77
João Pessoa (Município) (250750)	1.030,55	649,53	8.125.458,07	0,00	0,00	8.125.458,07	10,15
Lucena (Município) (250860)	22,73	-	1.352.439,34	0,00	0,00	1.352.439,34	104,48
Mamanguape (Município) (250890)	56,49	6,98	443.503,97	0,00	0,00	443.503,97	9,93
Patos (Município) (251080)	216,31	14,57	535.826,89	0,00	0,00	535.826,89	5,01
Pedras de Fogo (Município) (251120)	16,64	4,02	128.656,07	0,00	0,00	128.656,07	4,53
Pitimbu (Município) (251190)	6,60	-	18.436,96	0,00	0,00	18.436,96	0,98
Rio Tinto (Município) (251290)	44,89	-	33.582,12	0,00	601.933,18	635.515,30	26,38
Santa Rita (Município) (251370)	130,15	21,83	2.984.999,67	0,00	78.059,09	3.063.058,76	22,55
Sapé (Município) (251530)	89,05	18,10	144.622,59	0,00	0,00	144.622,59	2,76
Sousa (Município) (251620)	-	-	0,00	0,00	0,00	0,00	0,00
Abreu e Lima (Município) (260005)	220,26	82,96	3.454.757,14	0,00	0,00	3.454.757,14	34,68
Araçoiaba (Município) (260105)	18,02	-	5.778,53	0,00	0,00	5.778,53	0,28
Araripina (Município) (260110)	151,40	100,86	112.735,77	0,00	0,00	112.735,77	1,34
Arcoverde (Município) (260120)	193,57	11,26	13.096.923,68	0,00	0,00	13.096.923,68	177,36
Belo Jardim (Município) (260170)	235,68	-	10.086.181,22	0,00	0,00	10.086.181,22	132,39
Bezerros (Município) (260190)	169,94	-	32.398.853,86	0,00	0,00	32.398.853,86	533,63
Brejo da Madre de Deus (Município) (260260)	110,95	58,00	4.665.480,06	0,00	0,00	4.665.480,06	92,85
Buíque (Município) (260280)	52,50	-	1.117.040,56	0,00	0,00	1.117.040,56	19,32
Cabo de Santo Agostinho (Município) (260290)	543,43	72,48	5.313.931,88	0,00	0,00	5.313.931,88	25,91
Camaragibe (Município) (260345)	344,17	7,34	1.899.749,91	0,00	0,00	1.899.749,91	12,12
Carpina (Município) (260400)	198,92	-	517.346,18	0,00	0,00	517.346,18	6,24
Caruaru (Município) (260410)	948,62	431,17	43.954.973,25	0,00	0,00	43.954.973,25	123,17
Escada (Município) (260520)	129,60	-	3.352.564,56	0,00	0,00	3.352.564,56	48,98
Garanhuns (Município) (260600)	417,37	129,67	1.002.652,53	0,00	0,00	1.002.652,53	7,21
Goiana (Município) (260620)	164,28	-	11.744.834,94	0,00	0,00	11.744.834,94	147,82
Gravatá (Município) (260640)	329,53	6,52	16.321.159,22	0,00	0,00	16.321.159,22	195,61
Igarassu (Município) (260680)	296,99	17,12	1.042.509,62	0,00	0,00	1.042.509,62	9,02
Ipojuca (Município) (260720)	215,38	117,65	4.864.940,42	0,00	0,00	4.864.940,42	51,37
Ilha de Itamaracá (Município) (260760)	124,43	-	465.132,68	0,00	0,00	465.132,68	18,00
Itapissuma (Município) (260775)	44,97	5,00	27.205,08	0,00	0,00	27.205,08	1,03
Jaboatão dos Guararapes (Município) (260790)	1.156,34	360,45	28.011.668,50	0,00	170.635,04	28.182.303,53	40,40
Limoeiro (Município) (260890)	135,02	-	978.466,92	0,00	0,00	978.466,92	17,38
Moreno (Município) (260940)	138,78	84,15	1.298.241,50	0,00	0,00	1.298.241,50	20,85
Olinda (Município) (260960)	814,87	470,64	67.471.670,14	0,00	0,00	67.471.670,14	172,19
Ouricuri (Município) (260990)	133,59	-	118.915,20	0,00	0,00	118.915,20	1,72
Palmares (Município) (261000)	118,71	-	230.615,16	0,00	0,00	230.615,16	3,66
Paudalho (Município) (261060)	84,88	-	1.029.045,92	0,00	0,00	1.029.045,92	18,35
Paulista (Município) (261070)	1.262,13	623,44	13.103.559,24	0,00	0,00	13.103.559,24	39,81
Pesqueira (Município) (261090)	135,99	-	9.228.626,93	0,00	0,00	9.228.626,93	137,64
Petrolina (Município) (261110)	813,07	669,01	4.177.757,59	0,00	0,00	4.177.757,59	12,15
Recife (Município) (261160)	3.520,91	1.543,03	152.193.962,59	0,00	0,00	152.193.962,59	92,92
Salgueiro (Município) (261220)	242,05	44,55	3.320.247,38	0,00	0,00	3.320.247,38	54,79
Santa Cruz do Capibaribe (Município) (261250)	208,29	2.220,00	47.343.114,91	13.311.286,66	77.098.850,28	137.753.251,84	1.300,34
São Bento do Una (Município) (261300)	94,77	16,50	235.262,36	0,00	98.582,30	333.844,66	5,66
São Lourenço da Mata (Município) (261370)	228,01	25,57	18.284.528,03	0,00	0,00	18.284.528,03	162,73
Serra Talhada (Município) (261390)	209,56	37,00	207.426,32	1.278.777,63	0,00	1.486.203,95	17,33
Surubim (Município) (261450)	164,84	-	20.111.290,08	0,00	0,00	20.111.290,08	311,71
Timbaúba (Município) (261530)	126,07	-	249.982,21	0,00	0,00	249.982,21	4,91
Vitória de Santo Antão (Município) (261640)	315,70	110,05	1.552.462,91	0,00	0,00	1.552.462,91	11,26
Arapiraca (Município) (270030)	638,93	-	1.698.169,51	0,00	0,00	1.698.169,51	7,37
Barra de Santo Antônio (Município) (270050)	-	-	0,00	0,00	0,00	0,00	0,00
Barra de São Miguel (Município) (270060)	51,00	2,10	81.757,73	0,00	0,00	81.757,73	9,89
Campo Alegre (Município) (270140)	73,35	52,00	717,19	322.803,72	0,00	323.520,90	5,72
Coqueiro Seco (Município) (270220)	10,00	-	25.649,49	0,00	0,00	25.649,49	4,40
Coruripe (Município) (270230)	245,00	17,50	0,00	0,00	0,00	0,00	0,00
Delmiro Gouveia (Município) (270240)	310,00	-	743.449,60	0,00	1.266.950,01	2.010.399,61	38,84
Maceió (Município) (270430)	1.616,41	403,03	13.615.395,74	0,00	7.041.239,30	20.656.635,04	20,40
Marechal Deodoro (Município) (270470)	152,20	44,60	153.395,38	0,00	0,00	153.395,38	2,99
Messias (Município) (270520)	19,10	-	1.066.482,47	0,00	0,00	1.066.482,47	60,34
Palmeira dos Índios (Município) (270630)	313,16	4,91	3.617.743,58	0,00	0,00	3.617.743,58	49,49
Paripueira (Município) (270644)	29,60	-	161.592,44	0,00	0,00	161.592,44	12,41
Penedo (Município) (270670)	151,00	-	152.428,24	0,00	0,00	152.428,24	2,40
Pilar (Município) (270690)	47,00	-	122.706,30	0,00	0,00	122.706,30	3,51
Rio Largo (Município) (270770)	192,50	25,00	2.160.046,11	0,00	0,00	2.160.046,11	28,86
Santa Luzia do Norte (Município) (270790)	13,00	-	32.288,39	0,00	387.283,34	419.571,73	57,70
São Miguel dos Campos (Município) (270860)	195,00	108,52	266.063,10	0,00	0,00	266.063,10	4,38
Satuba (Município) (270890)	18,45	-	44.606,91	0,00	0,00	44.606,91	3,25
União dos Palmares (Município) (270930)	136,10	70,22	256.947,58	0,00	0,00	256.947,58	3,93
Aracaju (Município) (280030)	1.570,13	717,70	28.669.089,29	0,00	0,00	28.669.089,29	44,18
Barra dos Coqueiros (Município) (280060)	106,81	36,05	283.944,48	0,00	0,00	283.944,48	9,51
Estância (Município) (280210)	200,16	10,38	2.911.475,55	0,00	0,00	2.911.475,55	42,32
Itabaiana (Município) (280290)	193,40	49,00	609.091,79	0,00	0,00	609.091,79	6,43
Lagarto (Município) (280350)	445,55	25,20	22.616.794,08	0,00	0,00	22.616.794,08	218,36
Nossa Senhora do Socorro (Município) (280480)	403,71	193,09	2.227.647,12	0,00	0,00	2.227.647,12	12,27
São Cristóvão (Município) (280670)	428,98	52,01	1.106.715,04	0,00	0,00	1.106.715,04	12,43
Tobias Barreto (Município) (280740)	105,33	120,00	3.208.802,72	379.789,42	0,00	3.588.592,15	69,22
Alagoinhas (Município) (290070)	621,53	98,00	5.618.542,37	0,00	0,00	5.618.542,37	37,25
Araci (Município) (290210)	59,59	1.987,75	0,00	0,00	0,00	0,00	0,00
Barra (Município) (290270)	-	-	0,00	0,00	0,00	0,00	0,00
Barreiras (Município) (290320)	665,89	281,55	7.608.300,42	0,00	0,00	7.608.300,42	49,46
Bom Jesus da Lapa (Município) (290390)	180,00	177,00	418.768,87	0,00	0,00	418.768,87	6,10
Brumado (Município) (290460)	466,08	11,39	1.656.059,20	0,00	0,00	1.656.059,20	24,70
Caetité (Município) (290520)	211,27	-	149.504,23	0,00	0,00	149.504,23	2,94
Camaçari (Município) (290570)	1.132,55	177,28	13.835.911,46	0,00	0,00	13.835.911,46	47,11
Campo Formoso (Município) (290600)	51,25	2,69	528.046,54	0,00	0,00	528.046,54	7,45
Candeias (Município) (290650)	294,23	176,47	6.077.014,88	0,00	0,00	6.077.014,88	70,11
Casa Nova (Município) (290720)	240,80	86,40	21.820,96	0,00	0,00	21.820,96	0,31
Catu (Município) (290750)	196,14	-	9.417,37	0,00	0,00	9.417,37	0,17
Conceição do Coité (Município) (290840)	234,92	6,73	1.401.415,21	0,00	0,00	1.401.415,21	21,17
Cruz das Almas (Município) (290980)	381,72	144,08	2.584.527,42	0,00	0,00	2.584.527,42	41,11
Dias d'Ávila (Município) (291005)	218,28	75,39	0,00	0,00	0,00	0,00	0,00
Euclides da Cunha (Município) (291070)	373,26	38,42	479.870,21	0,00	0,00	479.870,21	8,02
Eunápolis (Município) (291072)	301,77	23,73	881.926,51	0,00	598.336,66	1.480.263,17	13,18
Feira de Santana (Município) (291080)	2.333,06	653,97	20.090.029,02	0,00	0,00	20.090.029,02	32,94
Guanambi (Município) (291170)	674,58	237,31	2.524.617,84	0,00	0,00	2.524.617,84	30,05
Ilhéus (Município) (291360)	596,56	152,93	26.281.659,24	0,00	0,00	26.281.659,24	159,43
Ipirá (Município) (291400)	147,01	10,46	21.919.781,83	0,00	0,00	21.919.781,83	366,78
Irecê (Município) (291460)	408,40	25,42	2.476.514,80	0,00	0,00	2.476.514,80	34,21
Itaberaba (Município) (291470)	242,36	17,30	39.389.671,24	0,00	0,00	39.389.671,24	612,35
Itabuna (Município) (291480)	439,00	346,00	9.306.768,73	0,00	0,00	9.306.768,73	43,75
Itamaraju (Município) (291560)	173,40	138,11	2.231.327,78	0,00	0,00	2.231.327,78	34,58
