Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
São Miguel do Guamá (Município) (150760)	54.417	54.417	33.646	1.110,180	54.417	33.646	100,0%	100,0%
Tailândia (Município) (150795)	90.552	90.552	67.046	4.430,220	90.552	67.046	100,0%	100,0%
Tomé-Açu (Município) (150800)	59.112	59.112	33.012	5.145,360	59.112	33.012	100,0%	100,0%
Tucuruí (Município) (150810)	103.619	103.619	98.620	2.086,190	103.619	98.620	100,0%	100,0%
Ulianópolis (Município) (150812)	49.972	49.972	32.889	5.088,470	-	-	-	-
Vigia (Município) (150820)	50.055	50.055	33.816	539,080	50.055	33.816	100,0%	100,0%
Viseu (Município) (150830)	58.323	58.323	18.918	4.915,070	58.323	18.918	100,0%	100,0%
Macapá (Município) (160030)	437.256	437.256	418.600	6.503,460	411.237	392.581	93,8%	94,0%
Santana (Município) (160060)	108.897	108.897	106.584	1.541,220	107.559	105.246	98,7%	98,8%
Araguaína (Município) (170210)	164.093	164.093	155.850	4.000,420	144.267	136.024	87,3%	87,9%
Gurupi (Município) (170950)	81.792	81.792	79.922	1.836,090	63.154	61.284	76,7%	77,2%
Paraíso do Tocantins (Município) (171610)	47.724	47.724	45.635	1.268,060	43.879	41.790	91,6%	91,9%
Porto Nacional (Município) (171820)	51.501	51.501	44.468	4.449,920	31.942	24.909	56,0%	62,0%
Palmas (Município) (172100)	257.904	257.904	250.461	2.218,940	145.675	138.232	55,2%	56,5%
Açailândia (Município) (210005)	107.790	107.790	81.052	5.806,440	107.790	81.052	100,0%	100,0%
Alcântara (Município) (210020)	21.644	21.644	6.338	1.457,920	21.644	6.338	100,0%	100,0%
Bacabal (Município) (210120)	101.851	101.851	79.290	1.683,070	94.210	71.649	90,4%	92,5%
Balsas (Município) (210140)	89.126	89.126	77.648	13.141,760	89.126	77.648	100,0%	100,0%
Barra do Corda (Município) (210160)	85.022	85.022	53.015	5.190,340	85.022	53.015	100,0%	100,0%
Barreirinhas (Município) (210170)	58.599	58.599	23.526	3.026,540	57.569	22.496	95,6%	98,2%
Buriticupu (Município) (210232)	68.626	68.626	37.648	2.545,440	68.626	37.648	100,0%	100,0%
Caxias (Município) (210300)	159.396	159.396	121.794	5.196,770	156.940	119.338	98,0%	98,5%
Chapadinha (Município) (210320)	76.217	76.217	54.949	3.247,390	76.217	54.949	100,0%	100,0%
Codó (Município) (210330)	119.641	119.641	82.146	4.361,340	110.011	72.516	88,3%	92,0%
Coroatá (Município) (210360)	63.154	63.154	44.054	2.263,770	63.154	44.054	100,0%	100,0%
Grajaú (Município) (210480)	65.078	65.078	38.822	8.863,570	65.078	38.822	100,0%	100,0%
Imperatriz (Município) (210530)	251.468	251.468	238.303	1.368,990	188.453	175.288	73,6%	74,9%
Itapecuru Mirim (Município) (210540)	64.951	64.951	36.254	1.471,440	64.951	36.254	100,0%	100,0%
Paço do Lumiar (Município) (210750)	113.378	113.378	85.001	125,260	105.863	77.486	91,2%	93,4%
Pinheiro (Município) (210860)	80.365	80.365	47.797	1.512,970	80.365	47.797	100,0%	100,0%
Raposa (Município) (210945)	28.543	28.543	18.079	66,400	-	-	-	-
Santa Inês (Município) (210990)	82.106	82.106	77.766	786,690	82.106	77.766	100,0%	100,0%
Santa Luzia (Município) (211000)	75.444	75.444	26.277	4.837,040	75.444	26.277	100,0%	100,0%
São José de Ribamar (Município) (211120)	170.423	170.423	39.415	385,780	170.423	39.415	100,0%	100,0%
São Luís (Município) (211130)	1.053.922	1.053.922	995.438	834,830	540.002	481.518	48,4%	51,2%
Timon (Município) (211220)	161.721	161.721	140.575	1.764,610	161.721	140.575	100,0%	100,0%
Tutóia (Município) (211250)	55.705	55.705	19.712	1.651,650	55.705	19.712	100,0%	100,0%
Vargem Grande (Município) (211270)	52.937	52.937	28.591	1.957,750	52.937	28.591	100,0%	100,0%
Viana (Município) (211280)	50.687	50.687	27.563	1.168,440	50.687	27.563	100,0%	100,0%
Zé Doca (Município) (211400)	49.848	49.848	30.664	2.140,110	49.848	30.664	100,0%	100,0%
Altos (Município) (220040)	39.522	39.522	27.882	957,650	37.487	25.847	92,7%	94,9%
Beneditinos (Município) (220160)	10.014	10.014	6.326	788,580	0	0	0,0%	0,0%
Coivaras (Município) (220273)	3.901	3.901	1.201	485,500	3.901	1.201	100,0%	100,0%
Curralinhos (Município) (220325)	4.297	4.297	1.367	345,850	-	-	-	-
Demerval Lobão (Município) (220330)	13.496	13.496	11.052	216,810	13.496	11.052	100,0%	100,0%
Floriano (Município) (220390)	58.586	58.586	50.746	3.409,650	58.586	50.746	100,0%	100,0%
José de Freitas (Município) (220550)	38.005	38.005	22.137	1.538,170	38.005	22.137	100,0%	100,0%
Lagoa Alegre (Município) (220555)	8.245	8.245	3.132	394,660	8.245	3.132	100,0%	100,0%
Lagoa do Piauí (Município) (220558)	3.948	3.948	1.709	426,630	-	-	-	-
Miguel Leão (Município) (220630)	1.244	1.244	856	93,520	-	-	-	-
Monsenhor Gil (Município) (220640)	10.411	10.411	5.349	582,550	10.411	5.349	100,0%	100,0%
Nazária (Município) (220672)	8.289	8.289	1.697	363,590	8.289	1.697	100,0%	100,0%
Parnaíba (Município) (220770)	148.832	148.832	140.436	434,230	148.832	140.436	100,0%	100,0%
Pau D'Arco do Piauí (Município) (220779)	3.888	3.888	575	430,820	-	-	-	-
Picos (Município) (220800)	76.042	76.042	60.394	577,300	58.240	42.592	70,5%	76,6%
Piripiri (Município) (220840)	62.542	62.542	45.050	1.408,930	62.542	45.050	100,0%	100,0%
Teresina (Município) (221100)	836.475	836.475	788.527	1.391,980	686.962	639.014	81,0%	82,1%
União (Município) (221110)	43.403	43.403	21.333	1.173,450	43.403	21.333	100,0%	100,0%
Acaraú (Município) (230020)	60.137	60.137	29.511	842,560	57.942	27.316	92,6%	96,4%
Acopiara (Município) (230030)	52.661	52.661	25.968	2.265,350	48.629	21.936	84,5%	92,3%
Aquiraz (Município) (230100)	76.186	76.186	70.369	481,600	69.435	63.618	90,4%	91,1%
Aracati (Município) (230110)	71.749	71.749	45.684	1.228,060	70.730	44.665	97,8%	98,6%
Barbalha (Município) (230190)	57.818	57.818	39.737	569,510	54.102	36.021	90,6%	93,6%
Beberibe (Município) (230220)	51.442	51.442	22.545	1.623,880	47.735	18.838	83,6%	92,8%
Boa Viagem (Município) (230240)	53.608	53.608	27.167	2.836,780	36.353	9.912	36,5%	67,8%
Camocim (Município) (230260)	61.918	61.918	45.963	1.124,780	47.131	31.176	67,8%	76,1%
Canindé (Município) (230280)	76.439	76.439	48.112	3.218,480	65.216	36.889	76,7%	85,3%
Cascavel (Município) (230350)	68.926	68.926	58.521	835,000	67.858	57.453	98,2%	98,5%
Caucaia (Município) (230370)	344.936	344.936	307.605	1.228,510	246.281	208.950	67,9%	71,4%
Chorozinho (Município) (230395)	19.187	19.187	11.590	278,410	7.597	0	0,0%	39,6%
Crateús (Município) (230410)	74.103	74.103	53.577	2.985,150	53.518	32.992	61,6%	72,2%
Crato (Município) (230420)	126.591	126.591	105.207	1.176,470	64.491	47.585	45,2%	50,9%
Eusébio (Município) (230428)	49.455	49.455	49.455	79,010	45.605	45.605	92,2%	92,2%
Fortaleza (Município) (230440)	2.551.806	2.551.806	2.551.806	314,930	1.313.360	1.313.360	51,5%	51,5%
Granja (Município) (230470)	53.435	53.435	26.281	2.663,030	52.435	26.280	100,0%	98,1%
Guaiúba (Município) (230495)	25.310	25.310	19.832	267,130	23.051	17.573	88,6%	91,1%
Horizonte (Município) (230523)	60.584	60.584	56.041	160,760	55.703	51.160	91,3%	91,9%
Icó (Município) (230540)	66.885	66.885	31.128	1.872,000	49.385	13.628	43,8%	73,8%
Iguatu (Município) (230550)	100.053	100.053	77.379	1.029,210	86.289	63.615	82,2%	86,2%
Itaitinga (Município) (230625)	37.705	37.705	37.440	151,630	36.730	36.465	97,4%	97,4%
Itapajé (Município) (230630)	50.211	50.211	35.298	430,570	48.361	33.448	94,8%	96,3%
Itapipoca (Município) (230640)	122.220	122.220	70.457	1.614,160	94.339	42.576	60,4%	77,2%
Juazeiro do Norte (Município) (230730)	261.289	261.289	251.032	248,830	197.803	187.546	74,7%	75,7%
Limoeiro do Norte (Município) (230760)	57.372	57.372	33.123	750,070	48.041	23.792	71,8%	83,7%
Maracanaú (Município) (230765)	217.922	217.922	216.427	106,650	130.937	129.442	59,8%	60,1%
Maranguape (Município) (230770)	120.405	120.405	91.511	590,870	116.403	87.509	95,6%	96,7%
Morada Nova (Município) (230870)	62.287	62.287	35.528	2.778,580	60.687	33.928	95,5%	97,4%
Pacajus (Município) (230960)	66.510	66.510	54.504	254,640	66.510	54.504	100,0%	100,0%
Pacatuba (Município) (230970)	77.723	77.723	66.753	131,990	43.851	32.881	49,3%	56,4%
Pindoretama (Município) (231085)	19.733	19.733	11.914	75,140	19.733	11.914	100,0%	100,0%
Quixadá (Município) (231130)	83.990	83.990	59.900	2.019,830	74.782	50.692	84,6%	89,0%
Quixeramobim (Município) (231140)	75.565	75.565	45.646	3.275,630	75.565	45.646	100,0%	100,0%
Russas (Município) (231180)	73.436	73.436	47.271	1.590,260	62.540	36.375	76,9%	85,2%
São Gonçalo do Amarante (Município) (231240)	46.247	46.247	30.070	834,450	39.412	23.235	77,3%	85,2%
Sobral (Município) (231290)	197.663	197.663	174.642	2.122,900	21.143	15.774	9,0%	10,7%
Tauá (Município) (231330)	57.246	57.246	33.145	4.018,160	54.537	30.436	91,8%	95,3%
Tianguá (Município) (231340)	72.110	72.110	47.959	908,890	55.906	31.755	66,2%	77,5%
Trairi (Município) (231350)	53.561	53.561	19.565	925,720	52.255	18.259	93,3%	97,6%
Viçosa do Ceará (Município) (231410)	57.719	57.719	18.724	1.311,630	55.062	16.067	85,8%	95,4%
Açu (Município) (240020)	56.354	56.354	41.671	1.303,440	56.354	41.671	100,0%	100,0%
Caicó (Município) (240200)	66.246	66.246	60.702	1.228,580	60.770	55.230	91,0%	91,7%
Ceará-Mirim (Município) (240260)	71.856	71.856	37.429	724,380	49.280	15.977	42,7%	68,6%
Parnamirim (Município) (240325)	229.414	229.414	229.414	123,470	223.945	223.945	97,6%	97,6%
Extremoz (Município) (240360)	26.677	26.677	17.122	139,580	-	-	-	-
Macaíba (Município) (240710)	75.548	75.548	46.363	510,770	74.457	45.272	97,6%	98,6%
Monte Alegre (Município) (240780)	21.833	21.833	9.502	210,920	20.587	8.256	86,9%	94,3%
Mossoró (Município) (240800)	280.314	280.314	255.959	2.099,330	171.466	147.129	57,5%	61,2%
Natal (Município) (240810)	853.928	853.928	853.928	167,260	549.978	549.978	64,4%	64,4%
Nísia Floresta (Município) (240820)	25.800	25.800	10.175	307,840	25.800	10.175	100,0%	100,0%
São Gonçalo do Amarante (Município) (241200)	95.218	95.218	80.480	249,120	74.947	60.209	74,8%	78,7%
São José de Mipibu (Município) (241220)	42.345	42.345	19.410	290,330	42.089	19.154	98,7%	99,4%
Vera Cruz (Município) (241480)	11.644	11.644	5.100	83,890	11.644	5.100	100,0%	100,0%
Alhandra (Município) (250060)	18.868	18.868	11.686	182,660	18.868	11.686	100,0%	100,0%
Bayeux (Município) (250180)	95.196	95.196	94.315	27,540	88.033	87.152	92,4%	92,5%
Caaporã (Município) (250300)	21.212	21.212	18.281	150,170	21.212	18.281	100,0%	100,0%
Cabedelo (Município) (250320)	63.035	63.035	63.026	31,920	51.755	51.746	82,1%	82,1%
Cajazeiras (Município) (250370)	60.612	60.612	49.261	565,900	52.137	40.786	82,8%	86,0%
Campina Grande (Município) (250400)	400.002	400.002	381.307	593,030	105.208	86.513	22,7%	26,3%
Conde (Município) (250460)	23.115	23.115	15.648	172,950	23.115	15.648	100,0%	100,0%
Cruz do Espírito Santo (Município) (250490)	16.836	16.836	7.705	191,100	16.836	7.705	100,0%	100,0%
Guarabira (Município) (250630)	57.383	57.383	50.780	165,740	28.327	21.724	42,8%	49,4%
João Pessoa (Município) (250750)	769.607	769.607	766.703	211,480	392.268	389.364	50,8%	51,0%
Lucena (Município) (250860)	12.460	12.460	10.784	88,550	12.460	10.784	100,0%	100,0%
Mamanguape (Município) (250890)	43.678	43.678	35.347	340,480	41.420	33.089	93,6%	94,8%
Patos (Município) (251080)	104.716	104.716	101.184	473,060	99.298	95.766	94,6%	94,8%
Pedras de Fogo (Município) (251120)	28.056	28.056	16.978	404,880	27.202	16.124	95,0%	97,0%
Pitimbu (Município) (251190)	18.148	18.148	11.070	136,440	18.148	11.070	100,0%	100,0%
Rio Tinto (Município) (251290)	23.883	23.883	13.572	465,670	23.883	13.572	100,0%	100,0%
Santa Rita (Município) (251370)	132.871	132.871	114.546	730,210	128.506	110.181	96,2%	96,7%
Sapé (Município) (251530)	51.700	51.700	39.325	315,530	43.139	30.764	78,2%	83,4%
Sousa (Município) (251620)	68.030	68.030	53.637	738,550	39.311	26.818	50,0%	57,8%
Abreu e Lima (Município) (260005)	97.786	97.786	89.705	126,190	76.166	68.085	75,9%	77,9%
Araçoiaba (Município) (260105)	19.333	19.333	16.258	96,380	19.333	16.258	100,0%	100,0%
Araripina (Município) (260110)	80.577	80.577	48.895	2.037,390	46.377	14.695	30,1%	57,6%
Arcoverde (Município) (260120)	72.102	72.102	65.682	323,370	69.100	62.680	95,4%	95,8%
Belo Jardim (Município) (260170)	74.902	74.902	60.219	647,700	22.471	12.004	19,9%	30,0%
Bezerros (Município) (260190)	60.213	60.213	51.050	490,820	60.213	51.050	100,0%	100,0%
Brejo da Madre de Deus (Município) (260260)	47.972	47.972	37.295	762,350	47.972	37.295	100,0%	100,0%
Buíque (Município) (260280)	55.268	55.268	22.482	1.320,870	55.268	22.482	100,0%	100,0%
Cabo de Santo Agostinho (Município) (260290)	196.152	196.152	177.873	448,740	174.418	156.139	87,8%	88,9%
Camaragibe (Município) (260345)	151.587	151.587	151.587	51,260	149.139	149.139	98,4%	98,4%
Carpina (Município) (260400)	79.308	79.308	76.339	147,670	79.308	76.339	100,0%	100,0%
Caruaru (Município) (260410)	337.416	337.416	299.569	920,610	199.180	161.333	53,9%	59,0%
Escada (Município) (260520)	66.419	66.419	56.430	342,200	66.419	56.430	100,0%	100,0%
Garanhuns (Município) (260600)	135.138	135.138	120.464	458,550	124.857	110.183	91,5%	92,4%
Goiana (Município) (260620)	77.945	77.945	59.790	445,810	77.945	59.790	100,0%	100,0%
Gravatá (Município) (260640)	80.450	80.450	71.955	506,790	78.955	70.460	97,9%	98,1%
Igarassu (Município) (260680)	109.322	109.322	100.653	305,560	107.805	99.136	98,5%	98,6%
Ipojuca (Município) (260720)	87.926	87.926	65.117	527,110	78.148	55.339	85,0%	88,9%
Ilha de Itamaracá (Município) (260760)	23.923	23.923	18.576	66,680	23.923	18.576	100,0%	100,0%
Itapissuma (Município) (260775)	25.220	25.220	19.438	74,240	25.220	19.438	100,0%	100,0%
Jaboatão dos Guararapes (Município) (260790)	675.599	675.599	660.900	258,690	628.769	614.070	92,9%	93,1%
Limoeiro (Município) (260890)	56.407	56.407	45.338	273,740	56.407	45.338	100,0%	100,0%
Moreno (Município) (260940)	59.836	59.836	52.977	196,070	45.583	38.724	73,1%	76,2%
Olinda (Município) (260960)	388.127	388.127	380.476	41,680	259.213	251.562	66,1%	66,8%
Ouricuri (Município) (260990)	67.689	67.689	34.283	2.381,580	67.689	34.283	100,0%	100,0%
Palmares (Município) (261000)	61.731	61.731	48.623	339,290	61.731	48.623	100,0%	100,0%
Paudalho (Município) (261060)	54.051	54.051	38.238	274,780	54.051	38.238	100,0%	100,0%
Paulista (Município) (261070)	316.714	316.714	316.714	97,310	197.776	197.776	62,4%	62,4%
Pesqueira (Município) (261090)	65.374	65.374	46.878	980,880	65.374	46.878	100,0%	100,0%
Petrolina (Município) (261110)	319.893	319.893	238.552	4.561,870	148.329	66.988	28,1%	46,4%
Recife (Município) (261160)	1.599.513	1.599.513	1.599.513	218,440	1.017.916	1.017.916	63,6%	63,6%
Salgueiro (Município) (261220)	59.037	59.037	47.657	1.686,810	56.690	45.310	95,1%	96,0%
Santa Cruz do Capibaribe (Município) (261250)	96.908	96.908	94.708	335,310	32.708	30.508	32,2%	33,8%
São Bento do Una (Município) (261300)	56.413	56.413	29.561	719,150	13.260	1.038	3,5%	23,5%
São Lourenço da Mata (Município) (261370)	108.301	108.301	101.862	262,110	99.442	93.003	91,3%	91,8%
Serra Talhada (Município) (261390)	83.051	83.051	64.228	2.980,010	18.763	0	0,0%	22,6%
Surubim (Município) (261450)	61.875	61.875	46.565	252,860	61.875	46.565	100,0%	100,0%
Timbaúba (Município) (261530)	54.115	54.115	46.617	292,990	54.115	46.617	100,0%	100,0%
Vitória de Santo Antão (Município) (261640)	133.907	133.907	116.861	335,940	99.074	82.028	70,2%	74,0%
Arapiraca (Município) (270030)	227.640	227.640	193.043	345,660	157.640	159.043	82,4%	69,2%
Barra de Santo Antônio (Município) (270050)	15.377	15.377	14.309	131,630	15.377	14.309	100,0%	100,0%
Barra de São Miguel (Município) (270060)	8.112	8.112	6.984	76,620	8.112	6.984	100,0%	100,0%
Campo Alegre (Município) (270140)	55.161	55.161	24.056	312,710	44.136	13.031	54,2%	80,0%
Coqueiro Seco (Município) (270220)	5.817	5.817	5.235	39,610	5.817	5.235	100,0%	100,0%
Coruripe (Município) (270230)	55.648	55.648	49.150	898,630	48.673	42.175	85,8%	87,5%
Delmiro Gouveia (Município) (270240)	50.999	50.999	36.958	626,690	12.999	2.958	8,0%	25,5%
Maceió (Município) (270430)	996.733	996.733	996.072	509,550	624.966	624.305	62,7%	62,7%
Marechal Deodoro (Município) (270470)	49.853	49.853	47.050	332,140	38.353	35.550	75,6%	76,9%
Messias (Município) (270520)	17.110	17.110	15.562	114,160	13.110	11.562	74,3%	76,6%
Palmeira dos Índios (Município) (270630)	73.532	73.532	53.931	450,960	72.200	52.599	97,5%	98,2%
Paripueira (Município) (270644)	12.474	12.474	11.047	92,850	12.474	11.047	100,0%	100,0%
Penedo (Município) (270670)	63.595	63.595	47.419	689,880	63.595	47.419	100,0%	100,0%
Pilar (Município) (270690)	35.003	35.003	33.422	251,070	35.003	33.422	100,0%	100,0%
Rio Largo (Município) (270770)	71.834	71.834	58.686	293,820	71.834	58.686	100,0%	100,0%
Santa Luzia do Norte (Município) (270790)	7.257	7.257	6.500	28,860	7.257	6.500	100,0%	100,0%
São Miguel dos Campos (Município) (270860)	59.077	59.077	56.900	360,880	22.577	20.400	35,9%	38,2%
Satuba (Município) (270890)	15.737	15.737	13.785	41,270	15.737	13.785	100,0%	100,0%
União dos Palmares (Município) (270930)	65.495	65.495	50.048	420,720	65.495	50.048	100,0%	100,0%
Aracaju (Município) (280030)	614.577	614.577	614.577	181,860	407.198	407.198	66,3%	66,3%
Barra dos Coqueiros (Município) (280060)	27.495	27.495	22.992	89,600	11.565	7.062	30,7%	42,1%
Estância (Município) (280210)	67.491	67.491	57.380	644,490	66.455	56.344	98,2%	98,5%
Itabaiana (Município) (280290)	91.873	91.873	71.529	337,300	73.873	56.529	79,0%	80,4%
Lagarto (Município) (280350)	100.330	100.330	51.684	968,920	97.292	48.646	94,1%	97,0%
Nossa Senhora do Socorro (Município) (280480)	172.547	172.547	167.178	155,020	125.390	120.021	71,8%	72,7%
São Cristóvão (Município) (280670)	84.620	84.620	71.531	438,040	61.770	48.681	68,1%	73,0%
Tobias Barreto (Município) (280740)	50.557	50.557	33.917	1.024,190	50.557	33.917	100,0%	100,0%
Alagoinhas (Município) (290070)	152.570	152.570	133.323	707,560	-	-	-	-
Araci (Município) (290210)	55.655	55.655	21.160	1.495,550	34.152	10.158	48,0%	61,4%
Barra (Município) (290270)	53.361	53.361	24.283	11.422,540	53.361	24.283	100,0%	100,0%
Barreiras (Município) (290320)	150.896	150.896	135.869	7.861,760	133.412	118.385	87,1%	88,4%
Bom Jesus da Lapa (Município) (290390)	68.282	68.282	46.359	4.115,510	33.282	11.359	24,5%	48,7%
Brumado (Município) (290460)	68.776	68.776	48.047	2.207,610	66.259	45.530	94,8%	96,3%
Caetité (Município) (290520)	52.166	52.166	31.232	2.651,540	52.166	31.232	100,0%	100,0%
Camaçari (Município) (290570)	275.575	275.575	263.102	784,660	210.445	197.972	75,2%	76,4%
Campo Formoso (Município) (290600)	71.507	71.507	26.688	7.161,830	69.807	24.988	93,6%	97,6%
Candeias (Município) (290650)	89.419	89.419	81.716	251,630	64.881	57.178	70,0%	72,6%
Casa Nova (Município) (290720)	70.796	70.796	40.928	9.647,070	49.639	23.076	56,4%	70,1%
