Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Extremoz (Município) (240360)	28.331	28.331	18.184	139,580	28.331	18.184	100,0%	100,0%
Macaíba (Município) (240710)	80.031	80.031	49.114	510,770	77.589	46.702	95,1%	96,9%
Monte Alegre (Município) (240780)	22.462	22.462	9.775	210,920	21.242	8.586	87,8%	94,6%
Mossoró (Município) (240800)	295.619	295.619	269.934	2.099,330	168.055	142.807	52,9%	56,8%
Natal (Município) (240810)	885.180	885.180	885.180	167,260	559.630	559.630	63,2%	63,2%
Nísia Floresta (Município) (240820)	27.372	27.372	10.795	307,840	27.372	10.795	100,0%	100,0%
São Gonçalo do Amarante (Município) (241200)	101.492	101.492	85.783	249,120	77.674	61.965	72,2%	76,5%
São José de Mipibu (Município) (241220)	43.995	43.995	20.166	290,330	43.727	19.903	98,7%	99,4%
Vera Cruz (Município) (241480)	12.371	12.371	5.419	83,890	12.371	5.419	100,0%	100,0%
Alhandra (Município) (250060)	19.579	19.579	12.127	182,660	19.579	12.127	100,0%	100,0%
Bayeux (Município) (250180)	97.010	97.010	96.112	27,540	87.380	86.482	90,0%	90,1%
Caaporã (Município) (250300)	21.872	21.872	18.849	150,170	21.872	18.849	100,0%	100,0%
Cabedelo (Município) (250320)	68.033	68.033	68.024	31,920	50.359	50.350	74,0%	74,0%
Cajazeiras (Município) (250370)	62.187	62.187	50.541	565,900	51.071	39.425	78,0%	82,1%
Campina Grande (Município) (250400)	410.332	410.332	391.154	593,030	42.487	23.309	6,0%	10,4%
Conde (Município) (250460)	24.769	24.769	16.768	172,950	24.769	16.768	100,0%	100,0%
Cruz do Espírito Santo (Município) (250490)	17.559	17.559	8.036	191,100	17.559	8.036	100,0%	100,0%
Guarabira (Município) (250630)	58.881	58.881	52.106	165,740	23.523	16.748	32,1%	40,0%
João Pessoa (Município) (250750)	811.598	811.598	808.536	211,480	196.398	193.336	23,9%	24,2%
Lucena (Município) (250860)	13.121	13.121	11.356	88,550	13.121	11.356	100,0%	100,0%
Mamanguape (Município) (250890)	45.005	45.005	36.421	340,480	37.908	29.324	80,5%	84,2%
Patos (Município) (251080)	107.790	107.790	104.154	473,060	91.608	87.972	84,5%	85,0%
Pedras de Fogo (Município) (251120)	28.499	28.499	17.246	404,880	26.346	15.093	87,5%	92,4%
Pitimbu (Município) (251190)	19.182	19.182	11.700	136,440	19.182	11.700	100,0%	100,0%
Rio Tinto (Município) (251290)	24.154	24.154	13.726	465,670	24.154	13.726	100,0%	100,0%
Santa Rita (Município) (251370)	136.851	136.851	117.977	730,210	131.495	112.621	95,5%	96,1%
Sapé (Município) (251530)	52.697	52.697	40.084	315,530	41.728	29.115	72,6%	79,2%
Sousa (Município) (251620)	69.554	69.554	54.838	738,550	-	-	-	-
Abreu e Lima (Município) (260005)	99.364	99.364	91.152	126,190	76.456	68.244	74,9%	76,9%
Araçoiaba (Município) (260105)	20.268	20.268	17.044	96,380	20.268	17.044	100,0%	100,0%
Araripina (Município) (260110)	83.757	83.757	50.825	2.037,390	47.199	14.267	28,1%	56,4%
Arcoverde (Município) (260120)	73.667	73.667	67.108	323,370	69.915	63.356	94,4%	94,9%
Belo Jardim (Município) (260170)	75.986	75.986	61.090	647,700	75.986	61.090	100,0%	100,0%
Bezerros (Município) (260190)	60.549	60.549	51.335	490,820	60.549	51.335	100,0%	100,0%
Brejo da Madre de Deus (Município) (260260)	50.138	50.138	38.978	762,350	29.638	18.478	47,4%	59,1%
Buíque (Município) (260280)	57.696	57.696	23.469	1.320,870	57.696	23.469	100,0%	100,0%
Cabo de Santo Agostinho (Município) (260290)	204.653	204.653	185.582	448,740	182.892	163.821	88,3%	89,4%
Camaragibe (Município) (260345)	156.361	156.361	156.361	51,260	154.093	154.093	98,5%	98,5%
Carpina (Município) (260400)	82.685	82.685	79.590	147,670	82.685	79.590	100,0%	100,0%
Caruaru (Município) (260410)	356.128	356.128	316.182	920,610	166.572	126.626	40,0%	46,8%
Escada (Município) (260520)	68.281	68.281	58.011	342,200	68.281	58.011	100,0%	100,0%
Garanhuns (Município) (260600)	138.642	138.642	123.587	458,550	120.646	105.591	85,4%	87,0%
Goiana (Município) (260620)	79.249	79.249	60.790	445,810	79.249	60.790	100,0%	100,0%
Gravatá (Município) (260640)	83.241	83.241	74.452	506,790	81.959	73.170	98,3%	98,5%
Igarassu (Município) (260680)	115.398	115.398	106.247	305,560	111.896	102.745	96,7%	97,0%
Ipojuca (Município) (260720)	94.533	94.533	70.010	527,110	80.893	56.370	80,5%	85,6%
Ilha de Itamaracá (Município) (260760)	25.789	25.789	20.025	66,680	25.789	20.025	100,0%	100,0%
Itapissuma (Município) (260775)	26.338	26.338	20.300	74,240	23.338	17.300	85,2%	88,6%
Jaboatão dos Guararapes (Município) (260790)	695.956	695.956	680.814	258,690	562.948	547.806	80,5%	80,9%
Limoeiro (Município) (260890)	56.140	56.140	45.123	273,740	56.140	45.123	100,0%	100,0%
Moreno (Município) (260940)	62.119	62.119	54.998	196,070	43.399	36.278	66,0%	69,9%
Olinda (Município) (260960)	390.771	390.771	383.068	41,680	214.414	206.711	54,0%	54,9%
Ouricuri (Município) (260990)	68.776	68.776	34.834	2.381,580	68.776	34.834	100,0%	100,0%
Palmares (Município) (261000)	62.832	62.832	49.490	339,290	62.832	49.490	100,0%	100,0%
Paudalho (Município) (261060)	55.942	55.942	39.576	274,780	55.942	39.576	100,0%	100,0%
Paulista (Município) (261070)	328.353	328.353	328.353	97,310	158.245	158.245	48,2%	48,2%
Pesqueira (Município) (261090)	66.881	66.881	47.958	980,880	0	0	0,0%	0,0%
Petrolina (Município) (261110)	343.219	343.219	255.947	4.561,870	73.610	0	0,0%	21,4%
Recife (Município) (261160)	1.633.697	1.633.697	1.633.697	218,440	937.683	937.683	57,4%	57,4%
Salgueiro (Município) (261220)	60.453	60.453	48.800	1.686,810	38.715	27.062	55,5%	64,0%
Santa Cruz do Capibaribe (Município) (261250)	105.761	105.761	103.360	335,310	0	2.053	2,0%	0,0%
São Bento do Una (Município) (261300)	58.824	58.824	30.824	719,150	58.824	30.824	100,0%	100,0%
São Lourenço da Mata (Município) (261370)	112.099	112.099	105.434	262,110	101.185	94.520	89,6%	90,3%
Serra Talhada (Município) (261390)	85.568	85.568	66.175	2.980,010	19.152	221	0,3%	22,4%
Surubim (Município) (261450)	64.373	64.373	48.444	252,860	64.373	48.444	100,0%	100,0%
Timbaúba (Município) (261530)	53.083	53.083	45.728	292,990	17.963	36.728	80,3%	33,8%
Vitória de Santo Antão (Município) (261640)	137.578	137.578	120.065	335,940	96.015	78.502	65,4%	69,8%
Arapiraca (Município) (270030)	234.185	234.185	198.593	345,660	234.185	198.593	100,0%	100,0%
Barra de Santo Antônio (Município) (270050)	16.064	16.064	14.949	131,630	-	-	-	-
Barra de São Miguel (Município) (270060)	8.401	8.401	7.233	76,620	7.116	5.948	82,2%	84,7%
Campo Alegre (Município) (270140)	57.548	57.548	25.097	312,710	43.698	11.247	44,8%	75,9%
Coqueiro Seco (Município) (270220)	5.918	5.918	5.326	39,610	5.918	5.326	100,0%	100,0%
Coruripe (Município) (270230)	57.498	57.498	50.784	898,630	48.088	41.374	81,5%	83,6%
Delmiro Gouveia (Município) (270240)	52.597	52.597	38.116	626,690	52.597	38.116	100,0%	100,0%
Maceió (Município) (270430)	1.029.129	1.029.129	1.028.446	509,550	711.032	710.349	69,1%	69,1%
Marechal Deodoro (Município) (270470)	52.260	52.260	49.322	332,140	29.512	26.574	53,9%	56,5%
Messias (Município) (270520)	17.988	17.988	16.360	114,160	17.988	16.360	100,0%	100,0%
Palmeira dos Índios (Município) (270630)	74.208	74.208	54.426	450,960	71.416	51.634	94,9%	96,2%
Paripueira (Município) (270644)	13.252	13.252	11.736	92,850	13.252	11.736	100,0%	100,0%
Penedo (Município) (270670)	64.497	64.497	48.091	689,880	64.497	48.091	100,0%	100,0%
Pilar (Município) (270690)	35.552	35.552	33.947	251,070	35.552	33.947	100,0%	100,0%
Rio Largo (Município) (270770)	76.019	76.019	62.105	293,820	55.769	41.855	67,4%	73,4%
Santa Luzia do Norte (Município) (270790)	7.386	7.386	6.615	28,860	7.386	6.615	100,0%	100,0%
São Miguel dos Campos (Município) (270860)	61.827	61.827	59.549	360,880	34.415	32.137	54,0%	55,7%
Satuba (Município) (270890)	13.949	13.949	12.219	41,270	13.949	12.219	100,0%	100,0%
União dos Palmares (Município) (270930)	66.477	66.477	50.799	420,720	20.860	6.293	12,4%	31,4%
Aracaju (Município) (280030)	650.106	650.106	650.106	181,860	328.727	328.727	50,6%	50,6%
Barra dos Coqueiros (Município) (280060)	29.807	29.807	24.926	89,600	11.076	6.195	24,9%	37,2%
Estância (Município) (280210)	69.278	69.278	58.900	644,490	60.058	49.680	84,3%	86,7%
Itabaiana (Município) (280290)	95.196	95.196	74.116	337,300	77.196	59.116	79,8%	81,1%
Lagarto (Município) (280350)	104.099	104.099	53.626	968,920	97.771	47.298	88,2%	93,9%
Nossa Senhora do Socorro (Município) (280480)	181.928	181.928	176.267	155,020	129.229	123.568	70,1%	71,0%
São Cristóvão (Município) (280670)	89.232	89.232	75.429	438,040	64.606	50.803	67,4%	72,4%
Tobias Barreto (Município) (280740)	52.156	52.156	34.989	1.024,190	6.156	259	0,7%	11,8%
Alagoinhas (Município) (290070)	155.979	155.979	136.302	707,560	109.226	98.814	72,5%	70,0%
Araci (Município) (290210)	55.935	55.935	21.267	1.495,550	38.246	4.588	21,6%	68,4%
Barra (Município) (290270)	54.915	54.915	24.990	11.422,540	-	-	-	-
Barreiras (Município) (290320)	157.638	157.638	141.939	7.861,760	52.567	36.944	26,0%	33,3%
Bom Jesus da Lapa (Município) (290390)	70.618	70.618	47.945	4.115,510	22.673	0	0,0%	32,1%
Brumado (Município) (290460)	69.677	69.677	48.676	2.207,610	64.600	43.599	89,6%	92,7%
Caetité (Município) (290520)	52.853	52.853	31.643	2.651,540	52.853	31.643	100,0%	100,0%
Camaçari (Município) (290570)	296.893	296.893	283.455	784,660	183.161	193.621	68,3%	61,7%
Campo Formoso (Município) (290600)	73.448	73.448	27.413	7.161,830	70.606	24.571	89,6%	96,1%
Candeias (Município) (290650)	89.707	89.707	81.979	251,630	54.820	47.092	57,4%	61,1%
Casa Nova (Município) (290720)	73.382	73.382	42.423	9.647,070	46.382	20.423	48,1%	63,2%
