Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Tabatinga (Município) (130406)	76,36	0,00	79.240,04	0,00	0,00	79.240,04	1,48
Tefé (Município) (130420)	-	-	-	-	-	-	-
Boa Vista (Município) (140010)	1.243,81	334,38	8.690.367,90	0,00	164.603.595,89	173.293.963,79	596,04
Abaetetuba (Município) (150010)	69,00	0,00	0,00	0,00	0,00	0,00	0,00
Acará (Município) (150020)	20,00	0,00	0,00	1.500.351,60	0,00	1.500.351,60	27,95
Alenquer (Município) (150040)	51,00	0,00	0,00	0,00	0,00	0,00	0,00
Altamira (Município) (150060)	60,00	0,00	0,00	0,00	1.627.017,71	1.627.017,71	16,15
Ananindeua (Município) (150080)	369,00	0,00	0,00	0,00	1.158.040,31	1.158.040,31	2,42
Barcarena (Município) (150130)	-	-	-	-	-	-	-
Belém (Município) (150140)	2.317,00	381,00	19.310.075,51	0,00	41.591.327,08	60.901.402,59	43,44
Benevides (Município) (150150)	-	-	-	-	-	-	-
Bragança (Município) (150170)	97,00	0,00	0,00	0,00	0,00	0,00	0,00
Breu Branco (Município) (150178)	23,00	0,00	0,00	0,00	0,00	0,00	0,00
Breves (Município) (150180)	28,00	0,00	0,00	0,00	86.987,10	86.987,10	0,93
Cametá (Município) (150210)	72,46	0,00	89.953,91	0,00	0,00	89.953,91	0,73
Capanema (Município) (150220)	59,00	0,00	0,00	0,00	0,00	0,00	0,00
Capitão Poço (Município) (150230)	36,00	0,00	0,00	0,00	0,00	0,00	0,00
Castanhal (Município) (150240)	384,00	0,00	0,00	0,00	0,00	0,00	0,00
Dom Eliseu (Município) (150293)	30,00	0,00	0,00	0,00	5.089.770,45	5.089.770,45	97,46
Igarapé-Miri (Município) (150330)	65,00	0,00	0,00	0,00	1.387.979,97	1.387.979,97	23,73
Ipixuna do Pará (Município) (150345)	-	-	-	-	-	-	-
Itaituba (Município) (150360)	58,00	0,00	0,00	0,00	0,00	0,00	0,00
Itupiranga (Município) (150370)	9,00	0,00	0,00	0,00	0,00	0,00	0,00
Jacundá (Município) (150380)	37,00	0,00	0,00	0,00	0,00	0,00	0,00
Juruti (Município) (150390)	17,00	0,00	0,00	0,00	0,00	0,00	0,00
Marabá (Município) (150420)	201,00	0,00	0,00	0,00	892.051,09	892.051,09	3,74
Marituba (Município) (150442)	694,00	0,00	0,00	0,00	263.352,84	263.352,84	2,38
Moju (Município) (150470)	25,00	0,00	0,00	0,00	0,00	0,00	0,00
Monte Alegre (Município) (150480)	50,00	0,00	0,00	0,00	1.311.207,41	1.311.207,41	23,57
Novo Repartimento (Município) (150506)	29,00	0,00	0,00	0,00	0,00	0,00	0,00
Óbidos (Município) (150510)	66,00	0,00	0,00	0,00	0,00	0,00	0,00
Oriximiná (Município) (150530)	635,00	0,00	0,00	4.135.782,91	1.602.831,88	5.738.614,79	89,80
Paragominas (Município) (150550)	136,00	3,90	3.021,48	3.706.457,43	0,00	3.709.478,92	37,30
Parauapebas (Município) (150553)	466,00	31,26	0,00	0,00	0,00	0,00	0,00
Portel (Município) (150580)	22,00	0,00	0,00	0,00	0,00	0,00	0,00
Redenção (Município) (150613)	-	-	-	-	-	-	-
Rondon do Pará (Município) (150618)	189,50	0,00	533.390,10	0,00	0,00	533.390,10	11,23
Santa Bárbara do Pará (Município) (150635)	-	-	-	-	-	-	-
Santa Izabel do Pará (Município) (150650)	72,91	0,00	114.134,68	0,00	0,00	114.134,68	1,88
Santana do Araguaia (Município) (150670)	-	-	-	-	-	-	-
Santarém (Município) (150680)	361,00	0,00	0,00	0,00	2.399.111,18	2.399.111,18	8,08
São Félix do Xingu (Município) (150730)	7,00	0,00	0,00	0,00	0,00	0,00	0,00
São Miguel do Guamá (Município) (150760)	-	-	-	-	-	-	-
Tailândia (Município) (150795)	50,00	0,50	0,00	5.098.847,83	0,00	5.098.847,83	61,85
Tomé-Açu (Município) (150800)	78,00	0,00	0,00	80.558,79	0,00	80.558,79	1,41
Tucuruí (Município) (150810)	136,00	0,00	0,00	0,00	0,00	0,00	0,00
Ulianópolis (Município) (150812)	-	-	-	-	-	-	-
Vigia (Município) (150820)	35,00	0,00	0,00	0,00	0,00	0,00	0,00
Viseu (Município) (150830)	15,00	0,00	0,00	0,00	0,00	0,00	0,00
Macapá (Município) (160030)	667,30	89,28	635.185,42	0,00	7.321.262,79	7.956.448,22	19,55
Santana (Município) (160060)	127,70	9,42	1.287.876,81	0,00	6.796.784,09	8.084.660,90	78,60
Araguaína (Município) (170210)	707,07	88,56	9.086.280,17	0,00	0,00	9.086.280,17	59,25
Gurupi (Município) (170950)	413,29	139,58	2.262.821,10	0,00	0,00	2.262.821,10	29,14
Paraíso do Tocantins (Município) (171610)	208,66	19,63	1.682.927,39	0,00	0,00	1.682.927,39	37,35
Porto Nacional (Município) (171820)	293,89	178,84	989.545,78	0,00	0,00	989.545,78	20,00
Palmas (Município) (172100)	1.356,95	548,47	30.655.312,79	0,00	0,00	30.655.312,79	130,27
Açailândia (Município) (210005)	95,00	0,00	0,00	0,00	0,00	0,00	0,00
Alcântara (Município) (210020)	12,83	0,00	0,00	0,00	0,00	0,00	0,00
Bacabal (Município) (210120)	173,00	29,00	393.858,93	0,00	0,00	393.858,93	3,91
Balsas (Município) (210140)	-	-	-	-	-	-	-
Barra do Corda (Município) (210160)	105,20	0,00	0,00	0,00	0,00	0,00	0,00
Barreirinhas (Município) (210170)	46,40	0,00	1.573.058,47	0,00	0,00	1.573.058,47	28,03
Buriticupu (Município) (210232)	52,80	0,00	0,00	0,00	0,00	0,00	0,00
Caxias (Município) (210300)	500,00	49,17	854.558,40	0,00	0,00	854.558,40	5,47
Chapadinha (Município) (210320)	75,00	0,00	0,00	0,00	0,00	0,00	0,00
Codó (Município) (210330)	-	-	-	-	-	-	-
Coroatá (Município) (210360)	-	-	-	-	-	-	-
Grajaú (Município) (210480)	1,15	0,00	230.467,38	0,00	0,00	230.467,38	3,65
Imperatriz (Município) (210530)	568,00	112,94	1.745,33	0,00	0,00	1.745,33	0,01
Itapecuru Mirim (Município) (210540)	61,60	0,00	1.853.223,98	0,00	0,00	1.853.223,98	29,41
Paço do Lumiar (Município) (210750)	92,15	0,00	0,00	0,00	0,00	0,00	0,00
Pinheiro (Município) (210860)	81,80	0,00	28.284,91	0,00	0,00	28.284,91	0,36
Raposa (Município) (210945)	6,85	0,00	0,00	0,00	0,00	0,00	0,00
Santa Inês (Município) (210990)	145,87	0,00	550.489,03	0,00	0,00	550.489,03	7,06
Santa Luzia (Município) (211000)	40,20	0,00	2.461.722,25	0,00	0,00	2.461.722,25	33,04
São José de Ribamar (Município) (211120)	102,30	0,00	107.968,86	0,00	0,00	107.968,86	0,65
São Luís (Município) (211130)	2.160,98	932,00	9.943.830,29	0,00	0,00	9.943.830,29	9,68
Timon (Município) (211220)	405,00	0,00	325.730,69	0,00	0,00	325.730,69	2,07
Tutóia (Município) (211250)	24,00	0,00	0,00	0,00	0,00	0,00	0,00
Vargem Grande (Município) (211270)	66,90	0,00	0,00	0,00	0,00	0,00	0,00
Viana (Município) (211280)	-	-	-	-	-	-	-
Zé Doca (Município) (211400)	52,30	0,00	0,00	0,00	0,00	0,00	0,00
Altos (Município) (220040)	28,13	10,38	72.859,58	0,00	0,00	72.859,58	1,87
Beneditinos (Município) (220160)	18,47	0,00	0,00	0,00	0,00	0,00	0,00
Coivaras (Município) (220273)	20,00	0,00	0,00	0,00	0,00	0,00	0,00
Curralinhos (Município) (220325)	-	-	-	-	-	-	-
Demerval Lobão (Município) (220330)	32,60	0,00	0,00	0,00	0,00	0,00	0,00
Floriano (Município) (220390)	188,20	0,00	844.357,25	0,00	0,00	844.357,25	14,58
José de Freitas (Município) (220550)	49,30	0,00	0,00	0,00	0,00	0,00	0,00
Lagoa Alegre (Município) (220555)	17,06	0,00	228.688,55	0,00	0,00	228.688,55	28,24
Lagoa do Piauí (Município) (220558)	-	-	-	-	-	-	-
Miguel Leão (Município) (220630)	2,41	0,00	0,00	0,00	0,00	0,00	0,00
Monsenhor Gil (Município) (220640)	29,90	0,00	0,00	0,00	0,00	0,00	0,00
Nazária (Município) (220672)	6,00	0,00	0,00	0,00	0,00	0,00	0,00
Parnaíba (Município) (220770)	235,90	0,00	4.142.216,34	0,00	0,00	4.142.216,34	28,23
Pau D'Arco do Piauí (Município) (220779)	-	-	-	-	-	-	-
Picos (Município) (220800)	132,50	44,22	1.757.922,29	0,00	0,00	1.757.922,29	23,45
Piripiri (Município) (220840)	162,25	0,00	2.130.243,53	0,00	0,00	2.130.243,53	34,38
Teresina (Município) (221100)	1.502,30	455,16	30.507.028,21	4.233.422,53	0,00	34.740.450,73	42,24
União (Município) (221110)	64,91	0,00	0,00	0,00	0,00	0,00	0,00
Acaraú (Município) (230020)	71,00	21,00	85.163,39	0,00	0,00	85.163,39	1,46
Acopiara (Município) (230030)	36,00	24,00	344.298,60	0,00	0,00	344.298,60	6,69
Aquiraz (Município) (230100)	78,00	36,00	255.092,16	0,00	0,00	255.092,16	3,47
Aracati (Município) (230110)	88,00	9,00	15.299.586,30	0,00	0,00	15.299.586,30	219,28
Barbalha (Município) (230190)	53,00	46,00	89.364,36	0,00	0,00	89.364,36	1,60
Beberibe (Município) (230220)	34,00	13,00	242.581,69	0,00	0,00	242.581,69	4,87
Boa Viagem (Município) (230240)	194,12	60,25	391.517,32	1.279.633,26	0,00	1.671.150,59	31,73
Camocim (Município) (230260)	115,05	80,20	0,00	0,00	0,00	0,00	0,00
Canindé (Município) (230280)	109,30	23,00	211.460,86	0,00	0,00	211.460,86	2,83
Cascavel (Município) (230350)	115,00	5,00	223.145,78	0,00	0,00	223.145,78	3,34
Caucaia (Município) (230370)	383,00	247,00	74.971.191,79	0,00	0,00	74.971.191,79	226,60
Chorozinho (Município) (230395)	28,00	0,00	81.612,08	0,00	0,00	81.612,08	4,31
Crateús (Município) (230410)	128,00	132,00	469.549,68	0,00	0,00	469.549,68	6,44
Crato (Município) (230420)	223,00	124,00	0,00	0,00	0,00	0,00	0,00
Eusébio (Município) (230428)	123,00	28,00	389.868,61	0,00	0,00	389.868,61	8,29
Fortaleza (Município) (230440)	4.192,00	2.236,00	135.334.093,27	0,00	0,00	135.334.093,27	54,65
Granja (Município) (230470)	-	-	-	-	-	-	-
Guaiúba (Município) (230495)	38,00	11,00	203.776,63	0,00	0,00	203.776,63	8,35
Horizonte (Município) (230523)	144,00	4,00	415.630,37	0,00	0,00	415.630,37	7,31
Icó (Município) (230540)	123,00	41,00	26.524,41	0,00	0,00	26.524,41	0,40
Iguatu (Município) (230550)	226,00	31,00	1.567.858,81	0,00	0,00	1.567.858,81	16,11
Itaitinga (Município) (230625)	164,00	3,00	466.058,71	0,00	0,00	466.058,71	12,83
Itapajé (Município) (230630)	-	-	-	-	-	-	-
Itapipoca (Município) (230640)	191,00	50,00	1.005.047,67	0,00	0,00	1.005.047,67	8,54
Juazeiro do Norte (Município) (230730)	921,00	149,00	2.063.151,87	0,00	0,00	2.063.151,87	8,16
Limoeiro do Norte (Município) (230760)	124,00	70,00	7.766.927,50	0,00	0,00	7.766.927,50	136,80
Maracanaú (Município) (230765)	494,00	191,00	835.723,63	0,00	0,00	835.723,63	3,96
Maranguape (Município) (230770)	234,00	7,00	13.466.454,30	0,00	0,00	13.466.454,30	116,63
Morada Nova (Município) (230870)	470,00	4,00	13.101,82	0,00	0,00	13.101,82	0,21
Pacajus (Município) (230960)	117,00	9,00	501.575,67	0,00	0,00	501.575,67	7,94
Pacatuba (Município) (230970)	110,00	19,00	483.491,72	0,00	0,00	483.491,72	6,54
Pindoretama (Município) (231085)	24,50	0,00	43.031,89	0,00	0,00	43.031,89	2,27
Quixadá (Município) (231130)	119,00	16,00	8.564.262,52	0,00	0,00	8.564.262,52	105,15
Quixeramobim (Município) (231140)	244,00	0,00	568.640,09	0,00	0,00	568.640,09	7,80
Russas (Município) (231180)	98,00	51,00	3.185.340,13	0,00	0,00	3.185.340,13	44,99
São Gonçalo do Amarante (Município) (231240)	74,00	51,00	14.491.428,34	0,00	0,00	14.491.428,34	325,46
Sobral (Município) (231290)	376,00	280,00	495.142,61	0,00	0,00	495.142,61	2,60
Tauá (Município) (231330)	69,00	19,00	720.809,35	0,00	0,00	720.809,35	12,87
Tianguá (Município) (231340)	178,00	70,00	3.938.799,45	0,00	0,00	3.938.799,45	56,49
Trairi (Município) (231350)	29,00	7,00	544.101,51	0,00	0,00	544.101,51	10,47
Viçosa do Ceará (Município) (231410)	42,00	15,00	784.745,77	0,00	0,00	784.745,77	14,09
Açu (Município) (240020)	136,94	0,00	311.084,65	0,00	0,00	311.084,65	5,80
Caicó (Município) (240200)	110,15	10,22	1.892.326,52	0,00	0,00	1.892.326,52	29,97
Ceará-Mirim (Município) (240260)	170,20	42,80	133.209,33	0,00	0,00	133.209,33	1,94
Parnamirim (Município) (240325)	296,67	1,00	7.629.866,07	0,00	0,00	7.629.866,07	36,61
Extremoz (Município) (240360)	133,00	0,00	320.946,51	320.946,51	0,00	641.893,02	25,72
Macaíba (Município) (240710)	189,69	21,53	4.867.909,54	0,00	0,00	4.867.909,54	68,96
Monte Alegre (Município) (240780)	67,89	3,05	195.703,65	0,00	0,00	195.703,65	9,40
Mossoró (Município) (240800)	390,91	208,67	31.119.180,28	0,00	0,00	31.119.180,28	118,17
Natal (Município) (240810)	1.567,23	518,35	19.305.515,20	0,00	0,00	19.305.515,20	23,81
Nísia Floresta (Município) (240820)	47,91	0,00	3.163.965,31	0,00	0,00	3.163.965,31	131,02
São Gonçalo do Amarante (Município) (241200)	367,00	35,85	0,00	0,00	0,00	0,00	0,00
São José de Mipibu (Município) (241220)	60,39	1,00	565.696,40	0,00	0,00	565.696,40	14,09
Vera Cruz (Município) (241480)	19,77	0,00	55.579,87	0,00	0,00	55.579,87	5,10
Alhandra (Município) (250060)	16,58	0,00	0,00	0,00	0,00	0,00	0,00
Bayeux (Município) (250180)	103,89	19,80	0,00	0,00	0,00	0,00	0,00
Caaporã (Município) (250300)	30,86	0,00	10.747,53	0,00	0,00	10.747,53	0,52
Cabedelo (Município) (250320)	73,27	5,48	0,00	0,00	3.011.507,68	3.011.507,68	50,95
Cajazeiras (Município) (250370)	107,27	22,30	0,00	0,00	0,00	0,00	0,00
Campina Grande (Município) (250400)	560,87	302,20	727.296,61	0,00	727.297,89	1.454.594,50	3,75
Conde (Município) (250460)	18,85	0,00	0,00	0,00	0,00	0,00	0,00
Cruz do Espírito Santo (Município) (250490)	18,32	0,00	0,00	0,00	0,00	0,00	0,00
Guarabira (Município) (250630)	113,50	35,11	0,00	0,00	0,00	0,00	0,00
João Pessoa (Município) (250750)	999,18	511,78	875.554,57	0,00	26.857.864,86	27.733.419,43	37,83
Lucena (Município) (250860)	18,82	0,00	0,00	0,00	0,00	0,00	0,00
Mamanguape (Município) (250890)	48,08	5,83	875.554,57	0,00	402.174,63	1.277.729,20	29,99
Patos (Município) (251080)	158,59	11,12	0,00	0,00	0,00	0,00	0,00
Pedras de Fogo (Município) (251120)	14,71	3,77	0,00	0,00	0,00	0,00	0,00
Pitimbu (Município) (251190)	6,04	0,00	0,00	0,00	0,00	0,00	0,00
Rio Tinto (Município) (251290)	44,01	0,00	0,00	0,00	0,00	0,00	0,00
Santa Rita (Município) (251370)	103,53	14,79	0,00	0,00	2.264.634,74	2.264.634,74	18,69
Sapé (Município) (251530)	85,75	17,19	0,00	0,00	0,00	0,00	0,00
Sousa (Município) (251620)	269,36	128,80	809.401,21	0,00	0,00	809.401,21	12,24
Abreu e Lima (Município) (260005)	175,55	71,10	94.867,28	0,00	0,00	94.867,28	1,00
Araçoiaba (Município) (260105)	17,20	0,00	8.588,33	0,00	0,00	8.588,33	0,47
Araripina (Município) (260110)	103,40	0,00	100.003,04	0,00	0,00	100.003,04	1,29
Arcoverde (Município) (260120)	140,61	5,71	150.998,81	0,00	0,00	150.998,81	2,18
Belo Jardim (Município) (260170)	179,69	0,00	182.111,83	0,00	0,00	182.111,83	2,50
Bezerros (Município) (260190)	122,45	0,00	1.941.064,90	0,00	0,00	1.941.064,90	33,03
Brejo da Madre de Deus (Município) (260260)	60,80	50,00	34.283,82	237.184,79	0,00	271.468,61	5,94
Buíque (Município) (260280)	35,19	0,00	23.217,65	0,00	0,00	23.217,65	0,44
Cabo de Santo Agostinho (Município) (260290)	331,75	31,40	108.606.332,23	0,00	0,00	108.606.332,23	580,29
Camaragibe (Município) (260345)	254,64	5,00	552.554,88	0,00	0,00	552.554,88	3,79
Carpina (Município) (260400)	174,07	0,00	127.166,31	0,00	0,00	127.166,31	1,68
Caruaru (Município) (260410)	646,75	281,18	24.945.064,15	0,00	0,00	24.945.064,15	78,06
Escada (Município) (260520)	108,56	0,00	1.565.717,90	0,00	0,00	1.565.717,90	24,48
Garanhuns (Município) (260600)	281,84	25,20	682.358,08	0,00	0,00	682.358,08	5,24
Goiana (Município) (260620)	123,02	0,00	216.338,13	0,00	0,00	216.338,13	2,85
Gravatá (Município) (260640)	288,52	5,96	371.586,38	0,00	0,00	371.586,38	4,82
Igarassu (Município) (260680)	169,75	3,40	499.562,17	0,00	0,00	499.562,17	4,82
Ipojuca (Município) (260720)	103,86	0,00	2.612.309,28	0,00	0,00	2.612.309,28	31,75
Ilha de Itamaracá (Município) (260760)	103,03	0,00	77.590,66	0,00	0,00	77.590,66	3,47
Itapissuma (Município) (260775)	35,98	0,00	30.178,31	0,00	0,00	30.178,31	1,25
Jaboatão dos Guararapes (Município) (260790)	915,19	161,70	1.491.906,23	0,00	0,00	1.491.906,23	2,30
Limoeiro (Município) (260890)	95,76	0,00	75.622,55	0,00	0,00	75.622,55	1,37
Moreno (Município) (260940)	108,50	43,18	3.396.116,37	0,00	0,00	3.396.116,37	59,30
Olinda (Município) (260960)	677,16	351,00	2.180.507,23	0,00	0,00	2.180.507,23	5,76
Ouricuri (Município) (260990)	127,79	0,00	545.675,26	0,00	0,00	545.675,26	8,40
Palmares (Município) (261000)	103,13	0,00	378.259,21	0,00	0,00	378.259,21	6,32
Paudalho (Município) (261060)	70,63	0,00	182.433,45	0,00	0,00	182.433,45	3,52
Paulista (Município) (261070)	628,91	471,92	1.893.393,70	0,00	0,00	1.893.393,70	6,24
Pesqueira (Município) (261090)	106,71	120,00	73.152,20	0,00	0,00	73.152,20	1,16
Petrolina (Município) (261110)	664,54	455,66	6.971.015,29	0,00	0,00	6.971.015,29	23,26
Recife (Município) (261160)	2.890,33	1.288,62	337.880.700,47	0,00	0,00	337.880.700,47	218,48
Salgueiro (Município) (261220)	160,26	0,00	8.598.360,79	0,00	0,00	8.598.360,79	150,87
Santa Cruz do Capibaribe (Município) (261250)	184,23	0,00	227.629,52	0,00	0,00	227.629,52	2,54
São Bento do Una (Município) (261300)	68,86	0,00	67.326,88	0,00	0,00	67.326,88	1,25
São Lourenço da Mata (Município) (261370)	151,72	20,49	460.331,90	0,00	0,00	460.331,90	4,43
Serra Talhada (Município) (261390)	155,09	15,00	179.907,92	441.810,93	0,00	621.718,85	7,78
Surubim (Município) (261450)	126,39	0,00	113.621,73	0,00	0,00	113.621,73	1,92
Timbaúba (Município) (261530)	101,60	0,00	80.115,99	0,00	0,00	80.115,99	1,50
Vitória de Santo Antão (Município) (261640)	234,87	75,04	418.430,61	0,00	0,00	418.430,61	3,20
Arapiraca (Município) (270030)	596,97	0,00	506.214,02	0,00	0,00	506.214,02	2,34
Barra de Santo Antônio (Município) (270050)	-	-	-	-	-	-	-
Barra de São Miguel (Município) (270060)	51,00	0,00	0,00	0,00	0,00	0,00	0,00
Campo Alegre (Município) (270140)	46,40	9,00	0,00	0,00	0,00	0,00	0,00
Coqueiro Seco (Município) (270220)	9,60	0,00	0,00	0,00	0,00	0,00	0,00
Coruripe (Município) (270230)	150,00	13,00	0,00	0,00	0,00	0,00	0,00
Delmiro Gouveia (Município) (270240)	141,89	63,00	1.391.532,94	160.495,28	0,00	1.552.028,21	32,01
Maceió (Município) (270430)	1.430,00	316,40	1.119.765,87	0,00	0,00	1.119.765,87	1,19
Marechal Deodoro (Município) (270470)	107,00	28,00	15.728,54	0,00	0,00	15.728,54	0,34
Messias (Município) (270520)	17,30	0,00	127.700,12	0,00	0,00	127.700,12	8,00
Palmeira dos Índios (Município) (270630)	212,60	0,00	646.961,67	0,00	0,00	646.961,67	9,17
Paripueira (Município) (270644)	25,40	0,00	0,00	0,00	0,00	0,00	0,00
Penedo (Município) (270670)	120,00	0,00	452.132,73	0,00	0,00	452.132,73	7,46
Pilar (Município) (270690)	47,00	0,00	0,00	0,00	0,00	0,00	0,00
Rio Largo (Município) (270770)	170,50	0,00	402.738,87	0,00	0,00	402.738,87	5,85
Santa Luzia do Norte (Município) (270790)	11,50	0,00	0,00	0,00	0,00	0,00	0,00
São Miguel dos Campos (Município) (270860)	165,00	71,94	1.071.073,19	0,00	0,00	1.071.073,19	19,31
Satuba (Município) (270890)	18,45	0,00	0,00	0,00	0,00	0,00	0,00
União dos Palmares (Município) (270930)	106,00	0,00	9.432,31	0,00	0,00	9.432,31	0,15
Aracaju (Município) (280030)	2.233,00	642,00	115.582.596,39	0,00	0,00	115.582.596,39	199,43
Barra dos Coqueiros (Município) (280060)	48,00	0,00	5.400.040,55	0,00	0,00	5.400.040,55	211,54
Estância (Município) (280210)	134,82	2,09	1.759.262,20	509.021,62	0,00	2.268.283,82	34,99
Itabaiana (Município) (280290)	168,00	0,00	1.408.923,45	0,00	0,00	1.408.923,45	16,06
Lagarto (Município) (280350)	433,00	25,00	0,00	0,00	0,00	0,00	0,00
Nossa Senhora do Socorro (Município) (280480)	482,00	173,00	5.330.201,05	0,00	0,00	5.330.201,05	32,69
São Cristóvão (Município) (280670)	134,00	58,00	0,00	0,00	0,00	0,00	0,00
Tobias Barreto (Município) (280740)	100,00	0,00	0,00	0,00	0,00	0,00	0,00
Alagoinhas (Município) (290070)	421,20	4,00	3.263.984,25	0,00	0,00	3.263.984,25	22,85
Araci (Município) (290210)	49,69	0,00	0,00	0,00	0,00	0,00	0,00
Barra (Município) (290270)	138,85	0,00	66.947,28	0,00	0,00	66.947,28	1,35
Barreiras (Município) (290320)	289,01	30,75	0,00	0,00	0,00	0,00	0,00
Bom Jesus da Lapa (Município) (290390)	135,00	92,00	199.774,32	0,00	0,00	199.774,32	3,12
Brumado (Município) (290460)	229,87	3,57	0,00	0,00	0,00	0,00	0,00
Caetité (Município) (290520)	110,31	0,00	0,00	0,00	0,00	0,00	0,00
Camaçari (Município) (290570)	980,82	29,51	6.331.823,23	0,00	0,00	6.331.823,23	25,41
Campo Formoso (Município) (290600)	45,57	0,00	39.387,15	0,00	0,00	39.387,15	0,59
Candeias (Município) (290650)	289,59	50,31	3.732.271,61	0,00	0,00	3.732.271,61	44,62
Casa Nova (Município) (290720)	-	-	-	-	-	-	-
Catu (Município) (290750)	121,86	0,00	52.946,05	0,00	0,00	52.946,05	1,03
Conceição do Coité (Município) (290840)	156,73	0,00	1.707.229,04	0,00	0,00	1.707.229,04	27,30
Cruz das Almas (Município) (290980)	196,50	0,00	4.009.339,81	0,00	0,00	4.009.339,81	67,90
Dias d'Ávila (Município) (291005)	208,73	49,28	0,00	0,00	0,00	0,00	0,00
Euclides da Cunha (Município) (291070)	221,29	0,00	3.114.300,87	0,00	0,00	3.114.300,87	54,99
Eunápolis (Município) (291072)	282,18	5,88	4.028.354,29	0,00	0,00	4.028.354,29	39,71
Feira de Santana (Município) (291080)	1.944,50	486,14	8.481.818,12	0,00	0,00	8.481.818,12	15,08
Guanambi (Município) (291170)	316,59	0,00	51.045.740,95	0,00	0,00	51.045.740,95	642,94
Ilhéus (Município) (291360)	550,04	137,01	0,00	0,00	0,00	0,00	0,00
Ipirá (Município) (291400)	128,28	2,78	0,00	0,00	0,00	0,00	0,00
Irecê (Município) (291460)	331,60	12,67	5.121.687,13	0,00	0,00	5.121.687,13	76,60
Itaberaba (Município) (291470)	214,83	7,34	90.997,89	0,00	0,00	90.997,89	1,47
Itabuna (Município) (291480)	408,40	322,00	970.680,79	0,00	0,00	970.680,79	4,73
Itamaraju (Município) (291560)	165,10	5,94	23.371.517,41	0,00	0,00	23.371.517,41	370,66
Itaparica (Município) (291610)	127,94	23,89	0,00	0,00	0,00	0,00	0,00
Itapetinga (Município) (291640)	167,60	121,50	378.097,71	0,00	0,00	378.097,71	5,47
Jacobina (Município) (291750)	226,72	0,00	0,00	0,00	0,00	0,00	0,00
Jaguaquara (Município) (291760)	119,98	0,00	20.372,66	0,00	0,00	20.372,66	0,40
Jequié (Município) (291800)	488,18	264,76	1.662.409,19	0,00	0,00	1.662.409,19	10,93
Juazeiro (Município) (291840)	370,00	209,00	2.303.331,30	0,00	0,00	2.303.331,30	11,53
