Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Bragança (Município) (150170)	71,53	0,00	15,14	0,49	0,00	0,00	940	76,50
Breu Branco (Município) (150178)	9,09	0,00	1,75	0,16	0,16	0,00	91	14,50
Breves (Município) (150180)	21,90	0,00	3,73	1,61	1,21	0,00	592	59,75
Cametá (Município) (150210)	52,90	0,00	1,28	0,00	0,00	0,00	548	41,35
Capanema (Município) (150220)	28,16	0,00	6,74	0,00	0,00	0,00	260	38,95
Capitão Poço (Município) (150230)	178,33	0,00	3,22	0,00	0,00	0,00	305	57,80
Castanhal (Município) (150240)	18,02	0,00	0,88	0,05	0,00	0,00	735	38,17
Dom Eliseu (Município) (150293)	105,68	0,00	50,65	0,00	0,00	0,00	233	40,70
Igarapé-Miri (Município) (150330)	133,66	0,00	1,15	0,00	0,00	0,00	408	67,24
Ipixuna do Pará (Município) (150345)	74,96	0,00	0,83	0,00	0,00	0,00	272	45,01
Itaituba (Município) (150360)	61,84	0,00	0,81	0,00	1,02	0,00	988	100,32
Itupiranga (Município) (150370)	16,41	0,00	6,76	0,00	0,00	0,00	65	12,55
Jacundá (Município) (150380)	43,68	0,00	1,59	0,00	0,00	0,00	142	25,01
Juruti (Município) (150390)	1,63	0,00	0,54	0,00	0,00	0,00	70	12,69
Marabá (Município) (150420)	2,32	0,00	0,45	0,00	0,00	0,00	436	16,33
Marituba (Município) (150442)	12,04	0,00	0,72	0,32	0,00	0,00	461	36,75
Moju (Município) (150470)	150,07	0,00	0,25	0,00	0,00	0,00	276	35,10
Monte Alegre (Município) (150480)	34,93	0,00	8,33	0,00	0,18	0,00	128	22,70
Novo Repartimento (Município) (150506)	36,08	0,00	1,38	0,00	0,41	0,00	218	30,13
Óbidos (Município) (150510)	111,47	0,00	4,55	0,79	0,00	0,00	377	74,51
Oriximiná (Município) (150530)	30,97	0,00	16,84	3,00	0,00	0,00	258	36,82
Paragominas (Município) (150550)	13,63	0,00	0,55	0,28	0,00	0,00	271	24,97
Parauapebas (Município) (150553)	4,84	0,00	0,66	0,00	0,20	0,00	352	17,94
Portel (Município) (150580)	37,42	0,00	1,69	0,17	0,84	0,00	194	32,70
Redenção (Município) (150613)	29,88	0,00	0,73	0,00	0,49	0,00	327	40,05
Rondon do Pará (Município) (150618)	232,86	0,00	27,74	0,00	0,00	0,00	241	47,76
Santa Bárbara do Pará (Município) (150635)	1,49	0,00	0,00	0,00	0,00	0,00	22	10,96
Santa Izabel do Pará (Município) (150650)	2,81	0,00	0,30	0,00	0,00	0,00	89	13,15
Santana do Araguaia (Município) (150670)	84,14	0,00	9,14	0,00	0,00	0,00	216	31,33
Santarém (Município) (150680)	8,52	0,00	0,41	0,10	0,03	0,00	726	24,66
São Félix do Xingu (Município) (150730)	26,87	0,00	4,06	0,00	0,66	0,00	346	28,69
São Miguel do Guamá (Município) (150760)	21,35	0,00	0,53	0,00	0,00	0,00	102	18,00
Tailândia (Município) (150795)	5,38	0,00	0,30	0,00	0,10	0,00	171	17,05
Tomé-Açu (Município) (150800)	63,67	0,00	5,89	0,00	0,00	0,00	156	25,53
Tucuruí (Município) (150810)	2,48	0,00	0,18	0,09	0,00	0,00	155	14,24
Ulianópolis (Município) (150812)	69,07	0,00	10,41	0,00	0,00	0,00	451	80,91
Vigia (Município) (150820)	84,52	0,00	1,16	0,19	0,00	0,00	74	14,31
Viseu (Município) (150830)	148,65	0,00	29,63	0,00	0,00	0,00	331	55,72
Macapá (Município) (160030)	2,86	0,00	0,39	0,47	1,25	0,00	1.272	27,33
Santana (Município) (160060)	5,27	0,00	1,23	0,88	1,23	0,00	606	53,23
Araguaína (Município) (170210)	20,85	0,00	0,92	0,00	0,17	0,00	518	29,92
Gurupi (Município) (170950)	6,74	0,00	0,12	0,00	0,00	0,00	166	19,62
Paraíso do Tocantins (Município) (171610)	3,82	0,00	0,80	0,00	0,00	0,00	86	17,29
Porto Nacional (Município) (171820)	11,81	0,00	0,95	0,00	0,00	0,00	293	55,80
Palmas (Município) (172100)	7,00	0,00	0,71	0,00	0,04	0,00	532	19,01
Açailândia (Município) (210005)	30,58	0,00	0,72	0,00	0,00	0,00	349	31,57
Alcântara (Município) (210020)	8,77	0,00	0,00	0,00	0,92	0,00	17	7,85
Bacabal (Município) (210120)	52,51	0,00	5,05	0,00	0,10	0,00	228	22,13
Balsas (Município) (210140)	60,85	0,00	1,71	0,00	0,00	0,00	493	52,72
Barra do Corda (Município) (210160)	28,27	0,00	3,46	0,00	0,00	0,00	386	44,54
Barreirinhas (Município) (210170)	5,19	0,00	0,16	0,00	0,00	0,00	157	25,48
Buriticupu (Município) (210232)	68,09	0,00	8,00	0,00	0,00	0,00	155	21,76
Caxias (Município) (210300)	17,54	0,12	1,73	0,00	0,00	0,00	370	22,85
Chapadinha (Município) (210320)	34,59	0,00	3,83	0,00	0,00	0,00	176	22,46
Codó (Município) (210330)	15,76	0,00	0,08	0,00	0,00	0,00	247	20,49
Coroatá (Município) (210360)	2,81	0,00	0,47	0,00	0,00	0,00	47	7,33
Grajaú (Município) (210480)	124,75	0,00	25,56	0,00	0,00	0,00	402	58,72
Imperatriz (Município) (210530)	16,39	0,00	1,50	0,00	0,04	0,00	476	18,75
Itapecuru Mirim (Município) (210540)	25,63	0,00	15,05	0,00	0,00	0,00	183	27,27
Paço do Lumiar (Município) (210750)	5,75	0,00	0,42	0,08	0,08	0,00	163	13,59
Pinheiro (Município) (210860)	18,31	0,00	1,71	0,00	0,00	0,00	232	28,32
Raposa (Município) (210945)	18,48	0,00	0,33	0,00	0,00	0,00	23	7,59
Santa Inês (Município) (210990)	29,37	0,00	1,07	0,00	0,00	0,00	193	23,04
Santa Luzia (Município) (211000)	22,71	0,00	1,68	0,00	0,00	0,00	81	11,36
São José de Ribamar (Município) (211120)	6,53	0,00	0,51	0,00	0,00	0,00	267	15,17
São Luís (Município) (211130)	3,68	0,00	0,72	0,02	0,02	0,00	1.388	12,82
Timon (Município) (211220)	16,66	0,00	8,60	0,00	0,00	0,00	620	37,28
Tutóia (Município) (211250)	92,14	0,00	8,97	0,00	0,00	0,00	110	18,98
Vargem Grande (Município) (211270)	47,75	0,00	6,64	0,00	0,00	0,00	61	10,95
Viana (Município) (211280)	26,79	0,00	0,19	0,00	0,00	0,00	141	27,38
Zé Doca (Município) (211400)	28,93	0,00	7,28	0,20	0,20	0,00	116	22,83
Altos (Município) (220040)	70,61	0,00	3,02	0,00	0,00	0,00	206	51,77
Beneditinos (Município) (220160)	19,94	0,00	1,00	0,00	0,00	0,00	22	21,93
Coivaras (Município) (220273)	55,81	0,00	0,00	0,00	0,00	0,00	11	27,90
Curralinhos (Município) (220325)	6,89	0,00	0,00	0,00	0,00	0,00	2	4,59
Demerval Lobão (Município) (220330)	19,89	0,00	2,95	0,00	0,00	0,00	90	66,30
Floriano (Município) (220390)	50,94	0,00	2,89	0,00	0,00	0,00	141	23,94
José de Freitas (Município) (220550)	39,02	0,00	2,60	0,00	0,00	0,00	164	42,66
Lagoa Alegre (Município) (220555)	8,37	0,00	1,20	0,00	0,00	0,00	15	17,93
Lagoa do Piauí (Município) (220558)	7,52	0,00	0,00	0,00	0,00	0,00	9	22,57
Miguel Leão (Município) (220630)	8,12	0,00	0,00	0,00	0,00	0,00	0	0,00
Monsenhor Gil (Município) (220640)	3,84	0,00	0,00	0,00	0,00	0,00	22	21,14
Nazária (Município) (220672)	9,53	0,00	0,00	0,00	0,00	0,00	26	30,96
Parnaíba (Município) (220770)	39,48	0,00	1,73	0,00	0,07	0,00	632	42,08
Pau D'Arco do Piauí (Município) (220779)	15,16	0,00	0,00	0,00	0,00	0,00	5	12,64
Picos (Município) (220800)	55,51	0,00	0,26	0,00	0,00	0,00	190	24,76
Piripiri (Município) (220840)	6,22	0,00	0,32	0,00	0,00	0,00	206	32,86
Teresina (Município) (221100)	11,91	0,00	1,81	0,00	0,05	0,02	1.951	23,02
União (Município) (221110)	72,10	0,00	2,52	0,00	0,00	0,00	146	33,42
Acaraú (Município) (230020)	31,43	0,00	0,49	0,00	0,00	0,00	125	20,25
Acopiara (Município) (230030)	18,93	0,00	1,87	0,00	0,00	0,00	165	30,92
Aquiraz (Município) (230100)	3,06	0,00	0,51	0,00	0,00	0,00	172	21,93
Aracati (Município) (230110)	10,25	0,00	3,01	0,00	0,00	0,00	213	29,10
Barbalha (Município) (230190)	22,75	0,00	1,69	0,00	0,00	0,00	266	44,82
Beberibe (Município) (230220)	7,21	0,00	1,33	0,00	0,00	0,00	168	31,87
Boa Viagem (Município) (230240)	19,65	0,00	3,71	0,37	0,00	0,00	145	26,88
Camocim (Município) (230260)	36,66	0,00	0,16	0,16	0,00	0,00	190	30,29
Canindé (Município) (230280)	21,36	0,00	2,33	0,26	0,00	0,00	211	27,31
Cascavel (Município) (230350)	7,93	0,00	1,56	0,00	0,00	0,00	292	41,38
Caucaia (Município) (230370)	15,91	0,00	2,43	0,08	0,00	0,00	954	26,64
Chorozinho (Município) (230395)	2,08	0,00	0,00	0,00	0,00	0,00	19	9,90
Crateús (Município) (230410)	17,75	0,00	3,36	0,00	0,00	0,00	350	47,07
Crato (Município) (230420)	8,25	0,00	2,08	0,00	0,00	0,00	378	29,15
Eusébio (Município) (230428)	2,12	0,00	0,77	0,00	0,00	0,00	116	22,35
Fortaleza (Município) (230440)	14,16	0,00	3,20	0,06	0,01	0,00	7.217	27,65
Granja (Município) (230470)	14,22	0,00	2,40	0,00	0,00	0,00	92	16,99
Guaiúba (Município) (230495)	3,83	0,00	0,77	0,00	0,00	0,00	39	14,95
Horizonte (Município) (230523)	4,79	0,00	0,31	0,00	0,00	0,00	95	14,69
Icó (Município) (230540)	16,48	0,00	11,58	0,00	0,00	0,00	182	27,03
Iguatu (Município) (230550)	33,04	0,00	2,84	0,00	0,00	0,00	499	48,92
Itaitinga (Município) (230625)	3,60	0,00	0,77	0,51	0,00	0,00	84	21,58
Itapajé (Município) (230630)	9,90	0,00	2,33	0,00	0,00	0,00	74	14,36
Itapipoca (Município) (230640)	9,74	0,00	1,98	0,00	0,00	0,00	395	31,29
Juazeiro do Norte (Município) (230730)	9,43	0,00	3,13	0,00	0,00	0,00	715	26,65
Limoeiro do Norte (Município) (230760)	54,48	0,00	3,42	0,00	0,00	0,00	114	19,47
Maracanaú (Município) (230765)	3,05	0,00	0,81	0,09	0,00	0,00	585	26,21
Maranguape (Município) (230770)	3,12	0,00	0,96	0,00	0,00	0,00	179	14,31
Morada Nova (Município) (230870)	12,15	0,00	0,81	0,00	0,00	0,00	103	16,69
Pacajus (Município) (230960)	2,72	0,00	0,00	0,00	0,00	0,00	137	19,61
Pacatuba (Município) (230970)	2,45	0,00	1,72	0,00	0,00	0,00	113	13,84
Pindoretama (Município) (231085)	3,43	0,00	0,00	0,00	0,00	0,00	43	21,05
Quixadá (Município) (231130)	17,44	0,00	9,07	0,00	0,00	0,00	303	35,24
Quixeramobim (Município) (231140)	53,64	0,00	2,57	0,00	0,00	0,00	519	66,60
Russas (Município) (231180)	72,60	0,00	26,79	0,13	0,00	0,00	370	48,84
São Gonçalo do Amarante (Município) (231240)	4,39	0,00	2,30	0,00	0,21	0,00	150	31,39
Sobral (Município) (231290)	13,06	0,00	0,25	0,00	0,00	0,00	674	33,09
Tauá (Município) (231330)	48,52	0,00	16,58	0,00	0,35	0,00	566	97,73
Tianguá (Município) (231340)	20,38	0,00	0,67	0,00	0,00	0,00	277	37,38
Trairi (Município) (231350)	3,28	0,00	0,36	0,00	0,00	0,00	69	12,59
Viçosa do Ceará (Município) (231410)	24,21	0,00	0,67	0,00	0,00	0,00	191	32,11
Açu (Município) (240020)	2,94	0,00	0,87	0,00	0,00	0,00	52	9,01
Caicó (Município) (240200)	54,91	0,00	4,28	0,00	0,00	0,00	228	33,65
Ceará-Mirim (Município) (240260)	1,36	0,00	0,55	0,00	0,00	0,00	70	9,54
Parnamirim (Município) (240325)	0,93	0,00	0,32	0,00	0,04	0,00	131	5,27
Extremoz (Município) (240360)	1,79	0,00	0,72	0,00	0,00	0,00	47	16,83
Macaíba (Município) (240710)	0,88	0,00	0,25	0,00	0,00	0,00	63	7,95
Monte Alegre (Município) (240780)	0,90	0,00	0,00	0,00	0,00	0,00	34	15,24
Mossoró (Município) (240800)	1,13	0,00	0,31	0,00	0,00	0,00	280	9,59
Natal (Município) (240810)	1,86	0,00	1,39	0,00	0,01	0,00	1.069	12,18
Nísia Floresta (Município) (240820)	0,74	0,00	0,00	0,00	0,00	0,00	29	10,74
São Gonçalo do Amarante (Município) (241200)	30,18	0,00	5,11	0,00	0,00	0,00	764	76,61
São José de Mipibu (Município) (241220)	1,61	0,00	0,23	0,00	0,00	0,00	41	9,40
Vera Cruz (Município) (241480)	2,46	0,00	0,82	0,00	0,00	0,00	7	5,74
Alhandra (Município) (250060)	5,15	0,00	2,06	0,00	0,00	0,00	41	21,12
Bayeux (Município) (250180)	11,29	0,00	1,76	0,10	0,00	0,00	432	44,73
Caaporã (Município) (250300)	99,00	0,00	2,76	0,00	0,00	0,00	74	34,07
Cabedelo (Município) (250320)	7,33	0,00	1,05	0,15	0,00	0,00	197	29,47
Cajazeiras (Município) (250370)	13,59	0,00	2,43	0,00	0,00	0,00	254	41,09
Campina Grande (Município) (250400)	16,63	0,00	2,23	0,00	0,00	0,00	996	24,43
Conde (Município) (250460)	20,10	0,00	2,05	0,00	0,00	0,00	164	67,27
Cruz do Espírito Santo (Município) (250490)	5,18	0,00	0,58	0,00	0,00	0,00	58	33,35
Guarabira (Município) (250630)	4,95	0,00	0,68	0,00	0,00	0,00	155	26,48
João Pessoa (Município) (250750)	11,11	0,00	3,14	0,02	0,01	0,00	3.599	44,89
Lucena (Município) (250860)	5,40	0,00	0,00	0,00	0,00	0,00	30	23,14
Mamanguape (Município) (250890)	0,89	0,00	0,00	0,00	0,00	0,00	48	10,74
Patos (Município) (251080)	20,73	0,00	0,65	0,00	0,00	0,00	81	7,57
Pedras de Fogo (Município) (251120)	15,85	0,00	1,41	0,00	0,00	0,35	83	29,23
Pitimbu (Município) (251190)	7,39	0,00	1,06	0,00	0,00	0,00	21	11,09
Rio Tinto (Município) (251290)	0,42	0,00	0,00	0,00	0,00	0,00	20	8,30
Santa Rita (Município) (251370)	14,57	0,00	1,69	0,07	0,00	0,00	619	45,54
Sapé (Município) (251530)	7,62	0,00	0,38	0,00	0,00	0,00	120	22,87
Sousa (Município) (251620)	13,87	0,00	0,72	0,14	0,00	0,00	96	13,87
Abreu e Lima (Município) (260005)	4,75	0,00	1,52	0,40	0,00	0,00	229	23,13
Araçoiaba (Município) (260105)	2,99	0,00	0,50	0,50	0,00	0,00	26	12,97
Araripina (Município) (260110)	74,68	0,00	11,05	0,00	0,00	0,00	204	24,49
Arcoverde (Município) (260120)	15,58	0,00	0,41	0,00	0,00	0,00	209	28,57
Belo Jardim (Município) (260170)	6,87	0,00	0,66	0,00	0,00	0,00	148	19,54
Bezerros (Município) (260190)	2,32	0,00	1,98	0,17	0,00	0,00	134	22,16
Brejo da Madre de Deus (Município) (260260)	2,02	0,00	0,81	0,00	0,00	0,00	81	16,32
Buíque (Município) (260280)	62,68	0,00	33,96	0,00	0,18	0,00	198	34,66
Cabo de Santo Agostinho (Município) (260290)	5,18	0,00	0,64	0,49	0,10	0,10	602	29,71
Camaragibe (Município) (260345)	4,96	0,00	0,97	0,32	0,06	0,06	315	20,29
Carpina (Município) (260400)	2,32	0,00	0,37	0,00	0,00	0,12	118	14,41
Caruaru (Município) (260410)	3,04	0,00	1,45	0,03	0,00	0,06	635	18,06
Escada (Município) (260520)	4,57	0,00	1,03	0,29	0,00	0,29	124	18,28
Garanhuns (Município) (260600)	8,05	0,00	1,02	0,07	0,00	0,15	205	14,88
Goiana (Município) (260620)	12,41	0,00	2,15	0,00	0,00	0,00	379	48,01
Gravatá (Município) (260640)	4,00	0,00	0,61	0,00	0,00	0,00	112	13,56
Igarassu (Município) (260680)	2,19	0,00	0,79	0,18	0,00	0,00	150	13,16
Ipojuca (Município) (260720)	3,12	0,00	0,32	0,11	0,00	0,00	158	17,00
Ilha de Itamaracá (Município) (260760)	2,37	0,00	0,79	0,00	0,00	0,00	25	9,86
Itapissuma (Município) (260775)	3,45	0,00	0,77	0,00	0,00	0,38	39	14,96
Jaboatão dos Guararapes (Município) (260790)	5,31	0,01	1,07	0,32	0,00	0,03	1.889	27,33
Limoeiro (Município) (260890)	6,41	0,00	5,87	0,00	0,18	0,00	276	49,11
Moreno (Município) (260940)	4,22	0,00	1,14	0,32	0,16	0,00	142	23,06
Olinda (Município) (260960)	6,43	0,00	1,10	0,51	0,00	0,03	931	23,86
Ouricuri (Município) (260990)	7,03	0,00	1,17	0,00	0,00	0,00	181	26,53
Palmares (Município) (261000)	6,71	0,00	0,64	0,32	0,00	0,00	155	24,77
Paudalho (Município) (261060)	1,98	0,00	1,26	0,00	0,00	0,18	81	14,60
Paulista (Município) (261070)	4,08	0,00	0,71	0,43	0,00	0,12	504	15,48
Pesqueira (Município) (261090)	54,42	0,00	40,14	0,00	0,00	0,00	299	44,95
Petrolina (Município) (261110)	3,26	0,00	0,18	0,06	0,00	0,00	539	15,96
Recife (Município) (261160)	6,15	0,01	1,11	0,14	0,02	0,00	4.370	26,88
Salgueiro (Município) (261220)	38,92	0,00	1,33	0,00	0,00	0,00	289	48,07
Santa Cruz do Capibaribe (Município) (261250)	5,31	0,00	0,48	0,00	0,00	0,00	192	18,52
São Bento do Una (Município) (261300)	4,98	0,00	1,20	0,00	0,00	0,00	106	18,20
São Lourenço da Mata (Município) (261370)	3,96	0,00	1,17	0,18	0,00	0,00	180	16,19
Serra Talhada (Município) (261390)	61,55	0,00	30,60	0,00	0,00	0,00	687	80,85
Surubim (Município) (261450)	10,82	0,00	3,29	0,00	0,16	0,16	236	37,00
Timbaúba (Município) (261530)	4,50	0,00	1,50	0,00	0,00	0,00	63	11,81
Vitória de Santo Antão (Município) (261640)	33,43	0,00	23,26	0,15	0,00	0,00	955	69,86
Arapiraca (Município) (270030)	24,80	0,00	6,49	0,00	0,00	0,00	1.188	51,06
Barra de Santo Antônio (Município) (270050)	16,97	0,00	0,00	0,00	0,00	0,00	82	51,54
Barra de São Miguel (Município) (270060)	4,80	0,00	0,00	0,00	0,00	0,00	28	33,59
Campo Alegre (Município) (270140)	6,49	0,00	1,93	0,00	0,00	0,00	64	11,23
Coqueiro Seco (Município) (270220)	23,75	0,00	1,70	0,00	0,00	0,00	43	72,94
Coruripe (Município) (270230)	42,92	0,00	15,59	0,00	0,00	0,18	436	76,39
Delmiro Gouveia (Município) (270240)	16,63	0,00	1,53	0,00	0,00	0,00	148	28,30
Maceió (Município) (270430)	6,55	0,00	0,24	0,06	0,01	0,01	2.565	25,10
Marechal Deodoro (Município) (270470)	9,09	0,00	0,00	0,00	0,00	0,00	145	28,04
Messias (Município) (270520)	19,68	0,00	0,00	0,00	0,00	0,00	79	44,41
Palmeira dos Índios (Município) (270630)	18,64	0,00	6,35	0,00	0,00	0,00	162	21,88
Paripueira (Município) (270644)	10,71	0,00	0,00	0,00	0,00	0,00	48	36,71
Penedo (Município) (270670)	21,31	0,00	1,24	0,00	0,00	0,00	289	44,95
Pilar (Município) (270690)	7,90	0,00	0,28	0,28	0,00	0,00	100	28,23
Rio Largo (Município) (270770)	17,84	0,00	0,79	0,00	0,00	0,26	305	40,30
Santa Luzia do Norte (Município) (270790)	10,87	0,00	0,00	0,00	0,00	0,00	37	50,29
São Miguel dos Campos (Município) (270860)	28,76	0,00	0,16	0,00	0,00	0,00	171	27,94
Satuba (Município) (270890)	8,68	0,00	0,00	0,00	0,00	0,00	61	44,13
União dos Palmares (Município) (270930)	19,32	0,00	5,89	0,00	0,00	0,15	224	33,81
Aracaju (Município) (280030)	3,46	0,00	0,42	0,14	0,00	0,02	845	13,17
Barra dos Coqueiros (Município) (280060)	4,10	0,00	0,00	0,00	0,00	0,34	35	11,97
Estância (Município) (280210)	4,79	0,00	0,44	0,00	0,00	0,00	131	19,03
Itabaiana (Município) (280290)	0,74	0,00	0,64	0,00	0,00	0,00	130	13,77
Lagarto (Município) (280350)	6,78	0,00	0,39	0,00	0,00	0,19	241	23,36
Nossa Senhora do Socorro (Município) (280480)	2,95	0,00	0,50	0,39	0,00	0,11	344	19,15
São Cristóvão (Município) (280670)	7,15	0,00	1,13	0,23	0,00	0,00	183	20,77
Tobias Barreto (Município) (280740)	5,02	0,00	0,19	0,19	0,00	0,00	83	16,03
Alagoinhas (Município) (290070)	8,43	0,00	0,13	0,00	0,00	0,00	169	10,88
Araci (Município) (290210)	3,41	0,00	0,90	0,00	0,00	0,00	47	8,45
Barra (Município) (290270)	77,71	0,00	7,15	0,00	0,00	0,00	256	46,92
Barreiras (Município) (290320)	2,44	0,00	0,32	0,00	0,00	0,00	293	18,84
Bom Jesus da Lapa (Município) (290390)	8,13	0,00	0,57	0,00	0,00	0,00	225	32,10
Brumado (Município) (290460)	9,93	0,00	2,02	0,00	0,00	0,00	194	27,92
Caetité (Município) (290520)	10,06	0,00	0,76	0,00	0,00	0,19	120	22,77
Camaçari (Município) (290570)	1,99	0,00	0,07	0,03	0,03	0,00	308	10,55
Campo Formoso (Município) (290600)	35,83	0,00	1,50	0,00	0,00	0,00	191	26,12
Candeias (Município) (290650)	1,23	0,00	0,22	0,00	0,00	0,00	98	10,98
Casa Nova (Município) (290720)	19,78	0,00	4,53	0,00	0,00	0,00	124	17,03
Catu (Município) (290750)	2,14	0,00	0,00	0,00	0,00	0,00	95	16,95
Conceição do Coité (Município) (290840)	62,76	0,00	0,44	0,00	0,00	0,00	330	48,62
Cruz das Almas (Município) (290980)	1,08	0,00	0,00	0,00	0,00	0,00	29	4,49
Dias d'Ávila (Município) (291005)	1,01	0,00	1,01	0,00	0,13	0,00	25	3,15
Euclides da Cunha (Município) (291070)	29,05	0,00	2,92	0,00	0,00	0,00	131	21,26
Eunápolis (Município) (291072)	10,59	0,00	2,98	0,00	0,00	0,00	170	14,88
Feira de Santana (Município) (291080)	1,16	0,00	0,19	0,03	0,00	0,00	469	7,53
Guanambi (Município) (291170)	4,63	0,00	0,12	0,00	0,00	0,00	156	18,07
Ilhéus (Município) (291360)	12,79	0,00	7,13	0,39	0,00	0,00	1.056	59,26
Ipirá (Município) (291400)	1,75	0,00	0,16	0,00	0,00	0,00	30	4,78
Irecê (Município) (291460)	4,06	0,00	0,14	0,00	0,00	0,00	99	13,39
Itaberaba (Município) (291470)	12,91	0,00	1,05	0,00	0,00	0,00	135	20,27
Itabuna (Município) (291480)	16,79	0,05	3,81	0,18	0,00	0,00	495	22,46
Itamaraju (Município) (291560)	6,09	0,00	3,42	0,00	0,00	0,00	152	22,58
Itaparica (Município) (291610)	21,10	0,00	10,55	0,00	0,00	0,00	94	41,33
Itapetinga (Município) (291640)	24,19	0,00	12,49	0,00	0,00	0,00	192	24,97
Jacobina (Município) (291750)	25,41	0,00	2,04	0,00	0,00	0,12	146	17,50
Jaguaquara (Município) (291760)	31,21	0,00	3,23	0,00	0,00	0,00	479	85,92
Jequié (Município) (291800)	8,46	0,00	0,56	0,00	0,00	0,06	316	19,52
Juazeiro (Município) (291840)	6,99	0,00	0,77	0,00	0,00	0,05	534	24,24
Lauro de Freitas (Município) (291920)	1,95	0,00	0,15	0,00	0,00	0,00	213	10,94
