Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Novo Repartimento (Município) (150506)	86,22	0,00	3,55	0,16	3,06	0,00	206	33,20
Óbidos (Município) (150510)	178,99	0,00	0,00	0,00	0,00	0,00	611	123,85
Oriximiná (Município) (150530)	39,81	0,00	2,55	0,48	1,59	0,00	238	37,90
Paragominas (Município) (150550)	12,47	0,00	1,43	0,00	0,61	0,00	335	34,25
Parauapebas (Município) (150553)	16,44	0,00	3,05	0,00	1,10	0,00	536	34,83
Portel (Município) (150580)	31,82	0,00	9,58	0,00	0,58	0,00	102	19,55
Redenção (Município) (150613)	63,13	0,00	12,71	0,00	0,93	0,00	701	92,78
Rondon do Pará (Município) (150618)	421,17	0,00	9,79	0,00	0,85	0,00	536	114,13
Santa Bárbara do Pará (Município) (150635)	19,25	0,00	0,00	0,00	0,00	0,00	27	15,75
Santa Izabel do Pará (Município) (150650)	246,86	0,00	3,20	0,17	0,17	0,00	196	32,96
Santana do Araguaia (Município) (150670)	58,41	0,00	5,16	0,00	0,18	0,00	210	37,40
Santarém (Município) (150680)	26,85	0,00	1,12	0,44	0,44	0,00	1.078	36,59
São Félix do Xingu (Município) (150730)	60,21	0,00	13,90	0,00	3,94	0,00	456	49,92
São Miguel do Guamá (Município) (150760)	40,53	0,00	2,52	0,00	0,58	0,00	184	35,68
Tailândia (Município) (150795)	32,28	0,00	14,50	0,13	0,63	0,00	287	36,19
Tomé-Açu (Município) (150800)	88,11	0,00	9,02	0,18	3,36	0,00	284	50,25
Tucuruí (Município) (150810)	7,31	0,00	0,82	0,00	1,54	0,00	241	24,81
Ulianópolis (Município) (150812)	184,12	0,00	6,46	0,00	1,62	0,00	692	159,66
Vigia (Município) (150820)	102,95	0,00	6,06	0,21	0,21	0,00	165	34,45
Viseu (Município) (150830)	127,12	0,00	34,73	0,00	0,71	0,00	577	101,73
Macapá (Município) (160030)	8,56	0,00	3,01	0,80	1,41	0,00	1.316	33,05
Santana (Município) (160060)	9,28	0,00	3,95	0,69	1,28	0,00	470	46,41
Araguaína (Município) (170210)	20,53	0,00	2,06	0,00	0,93	0,00	613	40,74
Gurupi (Município) (170950)	23,19	0,00	0,78	0,00	0,00	0,00	203	26,45
Paraíso do Tocantins (Município) (171610)	17,34	0,00	7,43	0,00	0,00	0,00	384	86,45
Porto Nacional (Município) (171820)	41,51	0,00	13,23	0,00	0,00	0,00	583	118,63
Palmas (Município) (172100)	11,08	0,00	2,10	0,00	0,26	0,00	689	30,18
Açailândia (Município) (210005)	36,43	0,00	5,29	0,00	0,58	0,00	284	27,30
Alcântara (Município) (210020)	59,04	0,00	0,00	0,00	0,46	0,00	9	4,12
Bacabal (Município) (210120)	80,09	0,00	1,10	0,00	0,20	0,00	669	66,89
Balsas (Município) (210140)	50,16	0,00	0,60	0,00	0,00	0,00	1.108	132,65
Barra do Corda (Município) (210160)	91,75	0,00	0,36	0,00	0,24	0,00	162	19,56
Barreirinhas (Município) (210170)	63,90	0,00	0,18	0,00	0,00	0,00	355	64,63
Buriticupu (Município) (210232)	94,12	0,00	8,58	0,00	1,38	0,00	328	50,28
Caxias (Município) (210300)	21,47	0,00	1,55	0,00	0,19	0,00	605	39,00
Chapadinha (Município) (210320)	71,17	0,00	1,91	0,14	0,00	0,00	357	48,67
Codó (Município) (210330)	16,44	0,00	0,34	0,00	0,08	0,00	614	52,02
Coroatá (Município) (210360)	38,56	0,00	0,97	0,00	0,32	0,00	223	36,13
Grajaú (Município) (210480)	38,17	0,00	0,97	0,00	0,48	0,00	818	131,74
Imperatriz (Município) (210530)	17,98	0,00	1,17	0,00	0,20	0,00	980	39,60
Itapecuru Mirim (Município) (210540)	73,90	0,00	0,00	0,00	0,00	0,00	193	31,07
Paço do Lumiar (Município) (210750)	34,53	0,00	4,19	0,00	0,19	0,00	201	19,12
Pinheiro (Município) (210860)	38,38	0,00	1,02	0,00	0,51	0,00	249	31,86
Raposa (Município) (210945)	97,62	0,00	0,76	0,00	0,38	0,00	39	14,81
Santa Inês (Município) (210990)	80,74	0,00	1,94	0,00	0,65	0,00	634	82,04
Santa Luzia (Município) (211000)	63,88	0,00	2,43	0,00	0,27	0,00	268	36,20
São José de Ribamar (Município) (211120)	9,45	0,00	2,51	0,00	0,06	0,00	262	16,07
São Luís (Município) (211130)	13,43	0,00	6,39	0,03	0,12	0,02	3.478	34,27
Timon (Município) (211220)	56,48	0,00	4,25	0,00	0,19	0,00	675	43,42
Tutóia (Município) (211250)	104,00	0,00	10,61	0,00	0,00	0,00	195	36,94
Vargem Grande (Município) (211270)	74,07	0,00	0,20	0,00	0,00	0,00	195	39,46
Viana (Município) (211280)	47,88	0,00	0,61	0,00	0,00	0,00	201	40,61
Zé Doca (Município) (211400)	11,76	0,00	1,00	0,00	1,20	0,00	289	57,60
Altos (Município) (220040)	63,37	0,00	8,76	0,00	0,26	0,00	105	27,05
Beneditinos (Município) (220160)	33,30	0,00	3,03	0,00	0,00	0,00	31	31,28
Coivaras (Município) (220273)	62,98	0,00	7,87	0,00	0,00	0,00	9	23,62
Curralinhos (Município) (220325)	7,17	0,00	0,00	0,00	0,00	0,00	4	9,56
Demerval Lobão (Município) (220330)	92,63	0,00	12,80	0,00	0,75	0,00	106	79,83
Floriano (Município) (220390)	179,75	0,00	54,43	0,00	0,35	0,00	365	63,27
José de Freitas (Município) (220550)	48,54	0,00	3,51	0,00	0,00	0,00	198	53,39
Lagoa Alegre (Município) (220555)	3,75	0,00	1,25	0,00	0,00	0,00	7	8,74
Lagoa do Piauí (Município) (220558)	44,01	0,00	7,77	0,00	0,00	0,00	6	15,53
Miguel Leão (Município) (220630)	15,96	0,00	0,00	0,00	0,00	0,00	0	0,00
Monsenhor Gil (Município) (220640)	12,58	0,00	0,97	0,00	0,97	0,00	42	40,65
Nazária (Município) (220672)	18,59	0,00	0,00	0,00	0,00	0,00	12	14,87
Parnaíba (Município) (220770)	76,11	0,00	1,30	0,00	0,00	0,00	394	27,04
Pau D'Arco do Piauí (Município) (220779)	18,63	0,00	0,00	0,00	0,00	0,00	6	15,97
Picos (Município) (220800)	303,76	0,00	11,31	0,00	0,00	0,00	118	16,07
Piripiri (Município) (220840)	8,73	0,00	1,29	0,00	0,32	0,00	125	20,22
Teresina (Município) (221100)	29,68	0,00	6,28	0,00	0,17	0,00	1.691	20,77
União (Município) (221110)	130,82	0,00	9,14	0,00	0,00	0,00	336	78,77
Acaraú (Município) (230020)	34,40	0,00	0,35	0,00	0,00	0,00	133	23,11
Acopiara (Município) (230030)	74,47	0,00	38,51	0,00	0,00	0,00	275	53,75
Aquiraz (Município) (230100)	8,26	0,00	2,75	0,00	0,00	0,00	171	23,54
Aracati (Município) (230110)	12,58	0,00	1,45	0,00	0,00	0,00	289	41,79
Barbalha (Município) (230190)	25,13	0,00	8,68	0,00	0,00	0,00	132	23,86
Beberibe (Município) (230220)	11,36	0,00	3,24	0,00	0,00	0,00	110	22,31
Boa Viagem (Município) (230240)	49,53	0,00	3,43	0,00	0,19	0,00	411	78,29
Camocim (Município) (230260)	26,60	0,00	0,17	0,00	0,00	0,00	89	14,79
Canindé (Município) (230280)	40,95	0,00	0,81	0,00	0,00	0,00	242	32,49
Cascavel (Município) (230350)	13,91	0,00	3,17	0,00	0,00	0,00	221	33,41
Caucaia (Município) (230370)	16,10	0,00	2,46	0,00	0,03	0,03	753	23,14
Chorozinho (Município) (230395)	19,56	0,00	0,00	0,00	0,00	0,00	35	18,50
Crateús (Município) (230410)	21,43	0,00	43,67	0,00	0,00	0,00	279	38,32
Crato (Município) (230420)	54,68	0,00	26,44	0,00	0,00	0,00	473	38,95
Eusébio (Município) (230428)	8,91	0,00	0,00	0,00	0,00	0,00	78	16,94
Fortaleza (Município) (230440)	18,35	0,00	3,08	0,07	0,00	0,02	5.874	23,95
Granja (Município) (230470)	22,41	0,00	11,97	0,00	0,00	0,00	106	20,13
Guaiúba (Município) (230495)	9,13	0,00	5,40	0,00	0,00	0,00	69	28,64
Horizonte (Município) (230523)	8,34	0,00	0,36	0,00	0,00	0,00	166	30,08
Icó (Município) (230540)	34,22	0,00	12,99	0,00	0,00	0,00	185	28,26
Iguatu (Município) (230550)	61,35	0,00	9,74	0,00	0,31	0,10	907	93,99
Itaitinga (Município) (230625)	0,28	0,00	1,12	0,28	0,00	0,00	98	27,36
Itapajé (Município) (230630)	39,92	0,00	2,07	0,00	0,00	0,00	86	17,79
Itapipoca (Município) (230640)	19,99	0,00	17,83	0,00	0,00	0,00	554	47,73
Juazeiro do Norte (Município) (230730)	21,21	0,00	8,08	0,00	0,00	0,00	687	27,49
Limoeiro do Norte (Município) (230760)	26,30	0,00	1,24	0,00	0,00	0,00	256	45,50
Maracanaú (Município) (230765)	3,92	0,00	1,20	0,00	0,00	0,00	377	18,03
Maranguape (Município) (230770)	3,43	0,00	0,53	0,00	0,00	0,00	153	13,47
Morada Nova (Município) (230870)	2,90	0,00	0,00	0,00	0,00	0,00	60	9,67
Pacajus (Município) (230960)	4,69	0,00	1,78	0,00	0,00	0,00	137	22,15
Pacatuba (Município) (230970)	5,67	0,00	6,78	0,00	0,00	0,00	99	13,69
Pindoretama (Município) (231085)	15,52	0,00	0,00	1,07	0,00	0,00	61	32,65
Quixadá (Município) (231130)	10,05	0,00	0,74	0,00	0,00	0,00	231	28,66
Quixeramobim (Município) (231140)	68,86	0,00	0,56	0,14	0,00	0,00	332	46,18
Russas (Município) (231180)	80,76	0,00	3,15	0,29	0,00	0,14	444	63,58
São Gonçalo do Amarante (Município) (231240)	8,66	0,00	1,14	0,46	0,00	0,00	93	21,19
Sobral (Município) (231290)	25,82	0,00	0,64	0,21	0,00	0,00	642	34,11
Tauá (Município) (231330)	129,94	0,00	87,05	0,00	0,00	0,00	289	51,87
Tianguá (Município) (231340)	9,87	0,00	0,44	0,00	0,00	0,00	236	34,26
Trairi (Município) (231350)	13,81	0,00	0,78	0,00	0,00	0,00	124	24,11
Viçosa do Ceará (Município) (231410)	40,21	0,00	0,00	0,00	0,00	0,00	221	40,21
Açu (Município) (240020)	57,30	0,00	0,94	0,00	0,00	0,00	78	14,65
Caicó (Município) (240200)	77,98	0,00	0,64	0,00	0,16	0,00	307	48,96
Ceará-Mirim (Município) (240260)	4,99	0,00	0,88	0,00	0,00	0,00	155	22,75
Parnamirim (Município) (240325)	2,27	0,00	0,99	0,00	0,05	0,00	321	15,86
Extremoz (Município) (240360)	6,51	0,00	0,41	0,00	0,00	0,00	66	26,86
Macaíba (Município) (240710)	2,30	0,00	1,73	0,00	0,14	0,14	178	25,62
Monte Alegre (Município) (240780)	4,35	0,00	0,48	0,00	0,00	0,00	41	19,82
Mossoró (Município) (240800)	4,54	0,00	1,81	0,04	0,00	0,00	283	10,89
Natal (Município) (240810)	3,98	0,00	3,26	0,04	0,02	0,01	1.831	22,78
Nísia Floresta (Município) (240820)	7,15	0,00	0,42	0,00	0,00	0,00	61	25,65
São Gonçalo do Amarante (Município) (241200)	35,02	0,00	2,85	0,11	0,34	0,00	980	111,79
São José de Mipibu (Município) (241220)	13,32	0,00	0,75	0,00	0,00	0,00	146	36,71
Vera Cruz (Município) (241480)	0,93	0,00	0,00	0,00	0,00	0,00	13	12,13
Alhandra (Município) (250060)	8,33	0,00	1,11	0,00	0,00	0,00	72	39,98
Bayeux (Município) (250180)	18,75	0,00	1,30	0,00	0,10	0,00	537	53,85
Caaporã (Município) (250300)	109,52	0,00	8,35	0,00	0,00	0,00	161	79,07
Cabedelo (Município) (250320)	12,60	0,00	5,87	0,00	0,00	0,00	212	36,59
Cajazeiras (Município) (250370)	25,15	0,00	6,50	0,00	0,17	0,00	218	37,30
Campina Grande (Município) (250400)	32,68	0,00	5,11	0,05	0,05	0,03	1.815	47,12
Conde (Município) (250460)	27,10	0,00	1,40	0,00	0,00	0,00	128	59,81
Cruz do Espírito Santo (Município) (250490)	36,29	0,00	0,62	0,00	0,00	0,00	79	48,59
Guarabira (Município) (250630)	64,17	0,00	13,74	0,00	0,00	0,00	271	48,98
João Pessoa (Município) (250750)	24,27	0,00	5,24	0,06	0,04	0,00	5.032	69,55
Lucena (Município) (250860)	10,23	0,00	0,85	0,00	0,00	0,00	41	34,95
Mamanguape (Município) (250890)	33,80	0,00	0,00	0,00	0,00	0,00	150	35,46
Patos (Município) (251080)	34,67	0,00	3,38	0,00	0,10	0,00	303	30,10
Pedras de Fogo (Município) (251120)	22,20	0,00	0,37	0,00	0,00	0,00	32	11,84
Pitimbu (Município) (251190)	29,37	0,00	2,94	0,00	0,00	0,00	74	43,47
Rio Tinto (Município) (251290)	109,68	0,00	0,44	0,00	0,00	0,00	148	64,42
Santa Rita (Município) (251370)	35,08	0,00	1,50	0,00	0,08	0,17	595	49,46
Sapé (Município) (251530)	36,10	0,00	0,40	0,00	0,00	0,00	210	41,88
Sousa (Município) (251620)	18,08	0,00	1,22	0,00	0,00	0,00	46	6,99
Abreu e Lima (Município) (260005)	3,07	0,00	3,49	0,00	0,00	0,00	129	13,66
Araçoiaba (Município) (260105)	13,22	0,00	4,96	0,00	0,00	0,00	46	25,34
Araripina (Município) (260110)	72,06	0,00	2,07	0,00	0,00	0,00	18	2,33
Arcoverde (Município) (260120)	22,10	0,00	7,85	0,00	0,00	0,00	184	26,75
Belo Jardim (Município) (260170)	18,22	0,00	5,25	0,41	0,00	0,00	213	29,41
Bezerros (Município) (260190)	3,24	0,00	2,90	0,17	0,17	0,00	105	17,90
Brejo da Madre de Deus (Município) (260260)	7,97	0,00	0,89	0,00	0,00	0,00	38	8,41
Buíque (Município) (260280)	47,40	0,00	0,96	0,00	0,00	0,00	122	23,41
Cabo de Santo Agostinho (Município) (260290)	4,59	0,00	3,68	0,59	0,00	0,22	552	29,83
Camaragibe (Município) (260345)	3,25	0,00	7,20	0,28	0,07	0,14	198	13,71
Carpina (Município) (260400)	13,49	0,00	4,54	0,13	0,00	0,13	74	9,89
Caruaru (Município) (260410)	7,05	0,00	1,71	0,13	0,03	0,03	769	24,42
Escada (Município) (260520)	22,99	0,00	2,05	0,00	0,00	0,31	364	57,31
Garanhuns (Município) (260600)	20,09	0,00	1,31	0,15	0,00	0,00	276	21,33
Goiana (Município) (260620)	9,65	0,00	5,82	0,00	0,00	0,00	263	34,77
Gravatá (Município) (260640)	17,92	0,00	4,58	0,26	0,00	0,39	212	27,73
Igarassu (Município) (260680)	3,53	0,00	2,94	0,00	0,00	0,00	138	13,53
Ipojuca (Município) (260720)	6,57	0,00	1,86	0,00	0,12	0,00	152	18,85
Ilha de Itamaracá (Município) (260760)	1,37	0,00	5,03	0,00	0,00	0,00	20	9,14
Itapissuma (Município) (260775)	2,52	0,00	4,21	0,00	0,00	0,00	33	13,88
Jaboatão dos Guararapes (Município) (260790)	14,99	0,00	5,63	0,22	0,00	0,03	2.240	34,75
Limoeiro (Município) (260890)	18,94	0,00	4,15	0,00	0,00	0,18	182	32,83
Moreno (Município) (260940)	31,40	0,00	14,99	0,35	0,00	0,00	103	18,17
Olinda (Município) (260960)	3,84	0,00	7,07	0,26	0,00	0,03	646	17,10
Ouricuri (Município) (260990)	86,39	0,00	20,98	0,00	0,16	0,00	534	82,97
Palmares (Município) (261000)	47,88	0,00	6,89	0,84	0,00	0,17	281	47,21
Paudalho (Município) (261060)	15,19	0,00	3,31	0,39	0,19	2,14	125	24,34
Paulista (Município) (261070)	2,80	0,00	5,46	0,20	0,00	0,03	352	11,72
Pesqueira (Município) (261090)	58,48	0,00	10,01	0,00	0,00	0,00	319	50,69
Petrolina (Município) (261110)	7,31	0,00	2,18	0,00	0,00	0,00	739	25,14
Recife (Município) (261160)	6,69	0,01	8,98	0,34	0,00	0,06	3.954	25,71
Salgueiro (Município) (261220)	93,06	0,00	26,49	0,00	0,00	0,00	226	39,91
Santa Cruz do Capibaribe (Município) (261250)	4,80	0,00	2,63	0,11	0,00	0,00	105	11,99
São Bento do Una (Município) (261300)	9,20	0,00	1,50	0,00	0,00	0,00	98	18,41
São Lourenço da Mata (Município) (261370)	4,96	0,00	3,79	0,00	0,00	0,00	188	18,27
Serra Talhada (Município) (261390)	91,00	0,00	35,09	0,00	0,00	0,00	962	121,42
Surubim (Município) (261450)	14,87	0,00	15,38	0,00	0,00	0,17	227	38,79
Timbaúba (Município) (261530)	8,36	0,00	0,93	0,19	0,00	1,11	95	17,65
Vitória de Santo Antão (Município) (261640)	44,93	0,00	8,46	0,54	0,00	0,08	929	71,48
Arapiraca (Município) (270030)	72,80	0,00	39,91	0,00	0,05	0,00	1.285	60,05
Barra de Santo Antônio (Município) (270050)	49,89	0,00	1,41	0,70	0,00	0,00	92	64,65
Barra de São Miguel (Município) (270060)	26,41	0,00	0,00	0,00	0,00	0,00	30	39,61
Campo Alegre (Município) (270140)	24,60	0,00	0,59	0,00	0,00	0,00	237	46,64
Coqueiro Seco (Município) (270220)	36,19	0,00	1,81	0,00	0,00	0,00	52	94,10
Coruripe (Município) (270230)	39,71	0,00	4,41	0,00	0,00	0,00	223	42,78
Delmiro Gouveia (Município) (270240)	71,52	0,00	7,07	0,00	0,21	0,00	92	19,13
Maceió (Município) (270430)	22,80	0,02	1,50	0,25	0,01	0,01	5.312	56,95
Marechal Deodoro (Município) (270470)	21,75	0,00	2,83	0,22	0,00	0,00	222	48,29
Messias (Município) (270520)	13,39	0,00	6,38	0,64	0,00	0,00	30	19,13
Palmeira dos Índios (Município) (270630)	25,86	0,00	23,87	0,00	0,00	0,14	204	28,99
Paripueira (Município) (270644)	14,10	0,00	0,88	0,00	0,00	0,00	47	41,42
Penedo (Município) (270670)	32,46	0,00	12,75	0,33	0,00	0,00	474	78,51
Pilar (Município) (270690)	93,98	0,00	33,93	0,30	0,00	0,30	264	79,27
Rio Largo (Município) (270770)	54,47	0,00	10,51	0,29	0,00	0,29	466	68,05
Santa Luzia do Norte (Município) (270790)	15,96	0,00	7,26	0,00	0,00	0,00	28	40,63
São Miguel dos Campos (Município) (270860)	32,80	0,00	0,73	0,00	0,00	0,00	242	44,34
Satuba (Município) (270890)	21,23	0,00	0,68	0,00	0,00	0,00	85	58,21
União dos Palmares (Município) (270930)	62,70	0,00	13,47	0,64	0,00	0,16	317	50,84
Aracaju (Município) (280030)	5,24	0,00	1,10	0,37	0,04	0,04	882	15,44
Barra dos Coqueiros (Município) (280060)	4,40	0,00	0,40	1,20	0,40	0,00	34	13,61
Estância (Município) (280210)	10,56	0,00	0,78	0,00	0,00	0,00	188	29,19
Itabaiana (Município) (280290)	14,37	0,00	0,92	0,00	0,00	0,00	117	13,45
Lagarto (Município) (280350)	27,41	0,00	1,37	0,00	0,00	0,00	447	47,12
Nossa Senhora do Socorro (Município) (280480)	4,60	0,00	0,56	0,50	0,00	0,00	241	14,99
São Cristóvão (Município) (280670)	3,42	0,00	0,13	0,38	0,00	0,00	85	10,78
Tobias Barreto (Município) (280740)	16,65	0,00	0,21	0,00	0,00	0,21	80	16,65
Alagoinhas (Município) (290070)	11,34	0,00	0,99	0,21	0,00	0,07	183	12,89
Araci (Município) (290210)	88,09	0,00	24,01	0,00	0,00	0,00	267	51,69
Barra (Município) (290270)	76,03	0,00	20,27	0,00	0,00	0,00	366	74,20
Barreiras (Município) (290320)	139,06	0,00	5,97	0,00	0,00	0,00	763	55,52
Bom Jesus da Lapa (Município) (290390)	8,51	0,00	0,63	0,00	0,16	0,00	98	15,44
Brumado (Município) (290460)	68,11	0,00	36,84	0,00	0,00	0,00	306	47,37
Caetité (Município) (290520)	53,04	0,00	5,68	0,00	0,00	0,00	166	34,94
Camaçari (Município) (290570)	3,09	0,00	1,36	0,12	0,00	0,04	373	15,35
Campo Formoso (Município) (290600)	61,70	0,00	3,30	0,15	0,00	0,00	429	64,40
Candeias (Município) (290650)	3,37	0,00	1,56	0,24	0,12	0,00	160	19,24
Casa Nova (Município) (290720)	74,68	0,00	0,77	0,00	0,00	0,00	193	29,72
Catu (Município) (290750)	13,12	0,00	13,12	0,00	0,00	0,00	109	21,34
Conceição do Coité (Município) (290840)	132,50	0,00	26,92	0,00	0,00	0,00	359	57,87
Cruz das Almas (Município) (290980)	12,29	0,00	0,85	0,00	0,00	0,00	65	11,09
Dias d'Ávila (Município) (291005)	8,13	0,00	0,45	0,00	0,00	0,00	74	11,14
Euclides da Cunha (Município) (291070)	101,80	0,00	3,38	0,00	0,00	0,00	279	49,57
Eunápolis (Município) (291072)	26,45	0,00	0,30	0,10	0,10	0,00	354	35,33
Feira de Santana (Município) (291080)	5,46	0,00	2,87	0,00	0,00	0,00	735	13,20
Guanambi (Município) (291170)	40,59	0,00	17,63	0,13	0,00	0,00	268	34,00
Ilhéus (Município) (291360)	61,28	0,00	21,39	0,49	0,00	0,00	965	52,38
Ipirá (Município) (291400)	16,68	0,00	11,12	0,17	0,00	0,00	170	28,65
Irecê (Município) (291460)	8,01	0,00	2,12	0,00	0,00	0,00	263	39,74
Itaberaba (Município) (291470)	35,53	0,00	2,27	0,00	0,00	0,00	130	21,09
Itabuna (Município) (291480)	51,50	0,00	2,35	0,44	0,00	0,00	465	22,72
Itamaraju (Município) (291560)	29,02	0,00	7,93	0,00	0,00	0,00	210	33,30
Itaparica (Município) (291610)	17,37	0,00	0,00	0,48	0,00	0,00	279	134,62
Itapetinga (Município) (291640)	56,24	0,00	3,52	0,00	0,00	0,00	737	107,95
Jacobina (Município) (291750)	135,53	0,00	25,24	0,00	0,00	0,63	653	82,40
Jaguaquara (Município) (291760)	72,53	0,00	19,02	0,00	0,00	0,00	685	134,28
Jequié (Município) (291800)	65,44	0,00	29,76	0,00	0,00	0,40	1.655	108,96
Juazeiro (Município) (291840)	84,00	0,00	4,04	0,05	0,00	0,10	763	38,54
Lauro de Freitas (Município) (291920)	2,08	0,00	2,32	0,37	0,00	0,00	158	9,67
