Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Buriticupu (Município) (210232)	52,80	0,00	0,00	0,00	0,00	0,00	0,00
Caxias (Município) (210300)	150,00	49,17	1.387.420,86	0,00	0,00	1.387.420,86	8,66
Chapadinha (Município) (210320)	71,68	0,00	5.835.172,13	0,00	0,00	5.835.172,13	75,81
Codó (Município) (210330)	286,00	35,00	1.004.604,16	0,00	0,00	1.004.604,16	8,37
Coroatá (Município) (210360)	115,00	0,00	1.109.858,45	0,00	0,00	1.109.858,45	17,48
Grajaú (Município) (210480)	44,00	0,00	38.074,73	0,00	0,00	38.074,73	0,57
Imperatriz (Município) (210530)	543,22	112,98	255.475,65	0,00	0,00	255.475,65	1,01
Itapecuru Mirim (Município) (210540)	54,16	0,00	145.001,75	0,00	0,00	145.001,75	2,21
Paço do Lumiar (Município) (210750)	336,60	0,00	309.499,58	0,00	0,00	309.499,58	2,68
Pinheiro (Município) (210860)	80,40	0,00	662.658,27	0,00	0,00	662.658,27	8,19
Raposa (Município) (210945)	-	-	-	-	-	-	-
Santa Inês (Município) (210990)	149,67	0,00	85.916,49	0,00	0,00	85.916,49	1,04
Santa Luzia (Município) (211000)	33,72	0,00	12.584,61	0,00	0,00	12.584,61	0,17
São José de Ribamar (Município) (211120)	-	-	-	-	-	-	-
São Luís (Município) (211130)	1.959,00	875,00	67.200.191,13	0,00	0,00	67.200.191,13	63,15
Timon (Município) (211220)	429,75	0,00	806.175,80	0,00	0,00	806.175,80	4,94
Tutóia (Município) (211250)	11,62	0,00	398.922,97	0,00	0,00	398.922,97	7,06
Vargem Grande (Município) (211270)	57,04	0,00	50.608,28	0,00	0,00	50.608,28	0,94
Viana (Município) (211280)	48,20	0,00	0,00	0,00	0,00	0,00	0,00
Zé Doca (Município) (211400)	32,47	0,00	0,00	0,00	0,00	0,00	0,00
Altos (Município) (220040)	28,14	10,38	2.341,57	0,00	0,00	2.341,57	0,06
Beneditinos (Município) (220160)	18,47	0,00	0,00	0,00	0,00	0,00	0,00
Coivaras (Município) (220273)	32,00	0,00	0,00	67.886,27	0,00	67.886,27	17,34
Curralinhos (Município) (220325)	-	-	-	-	-	-	-
Demerval Lobão (Município) (220330)	32,64	0,00	0,00	0,00	2.189.875,58	2.189.875,58	161,90
Floriano (Município) (220390)	206,47	0,00	0,00	0,00	810.577,31	810.577,31	13,81
José de Freitas (Município) (220550)	49,38	0,00	0,00	0,00	0,00	0,00	0,00
Lagoa Alegre (Município) (220555)	17,06	0,00	0,00	0,00	0,00	0,00	0,00
Lagoa do Piauí (Município) (220558)	98,70	0,00	0,00	0,00	0,00	0,00	0,00
Miguel Leão (Município) (220630)	28,00	0,00	0,00	0,00	0,00	0,00	0,00
Monsenhor Gil (Município) (220640)	29,91	0,00	0,00	0,00	0,00	0,00	0,00
Nazária (Município) (220672)	6,01	0,00	0,00	0,00	0,00	0,00	0,00
Parnaíba (Município) (220770)	235,96	164,94	1.105.993,08	0,00	22.250.253,10	23.356.246,18	156,39
Pau D'Arco do Piauí (Município) (220779)	-	-	-	-	-	-	-
Picos (Município) (220800)	109,53	51,47	2.531,17	0,00	4.779.366,27	4.781.897,44	62,66
Piripiri (Município) (220840)	148,92	0,00	0,00	0,00	0,00	0,00	0,00
Teresina (Município) (221100)	1.529,01	477,13	58.548,73	4.066.380,91	1.044.609,24	5.169.538,87	6,15
União (Município) (221110)	64,92	0,00	9.327,95	0,00	6.908.916,16	6.918.244,11	159,00
Acaraú (Município) (230020)	107,00	21,08	86.642,50	0,00	0,00	86.642,50	1,43
Acopiara (Município) (230030)	55,00	23,81	32.962,97	0,00	0,00	32.962,97	0,62
Aquiraz (Município) (230100)	121,00	36,90	97.737,50	0,00	0,00	97.737,50	1,27
Aracati (Município) (230110)	103,00	57,13	823.285,43	0,00	0,00	823.285,43	11,40
Barbalha (Município) (230190)	53,00	46,34	47.744,08	0,00	0,00	47.744,08	0,82
Beberibe (Município) (230220)	44,00	18,41	3.572,66	0,00	0,00	3.572,66	0,07
Boa Viagem (Município) (230240)	219,68	71,00	138.545,16	2.862.180,41	0,00	3.000.725,56	55,85
Camocim (Município) (230260)	124,89	83,50	0,00	0,00	0,00	0,00	0,00
Canindé (Município) (230280)	109,30	23,00	0,00	0,00	0,00	0,00	0,00
Cascavel (Município) (230350)	115,00	4,97	6.785.283,82	0,00	0,00	6.785.283,82	97,63
Caucaia (Município) (230370)	557,19	298,13	26.825.543,37	0,00	0,00	26.825.543,37	76,75
Chorozinho (Município) (230395)	32,00	6,18	207.726,67	243.132,74	0,00	450.859,41	23,50
Crateús (Município) (230410)	160,00	132,47	1.110.385,50	0,00	0,00	1.110.385,50	14,97
Crato (Município) (230420)	262,00	102,00	0,00	0,00	0,00	0,00	0,00
Eusébio (Município) (230428)	197,12	51,16	139.717,99	0,00	0,00	139.717,99	2,78
Fortaleza (Município) (230440)	3.986,68	2.383,29	189.452.215,04	0,00	0,00	189.452.215,04	73,66
Granja (Município) (230470)	43,00	1,86	0,00	0,00	0,00	0,00	0,00
Guaiúba (Município) (230495)	39,00	10,83	45.214,42	0,00	0,00	45.214,42	1,77
Horizonte (Município) (230523)	165,00	14,80	10.843.996,48	0,00	0,00	10.843.996,48	174,90
Icó (Município) (230540)	135,00	48,00	74.150,67	116.484,27	0,00	190.634,94	2,84
Iguatu (Município) (230550)	344,50	31,00	2.239.944,77	0,00	0,00	2.239.944,77	22,24
Itaitinga (Município) (230625)	182,17	2,96	2.118.995,86	0,00	0,00	2.118.995,86	55,57
Itapajé (Município) (230630)	40,00	1,20	0,00	0,00	0,00	0,00	0,00
Itapipoca (Município) (230640)	225,00	49,95	179.504,15	0,00	0,00	179.504,15	1,45
Juazeiro do Norte (Município) (230730)	985,00	149,22	1.526.498,87	0,00	0,00	1.526.498,87	5,79
Limoeiro do Norte (Município) (230760)	144,00	70,00	616.829,28	0,00	0,00	616.829,28	10,68
Maracanaú (Município) (230765)	558,28	151,99	1.388.313,15	0,00	0,00	1.388.313,15	6,32
Maranguape (Município) (230770)	239,00	9,61	7.954.655,14	0,00	0,00	7.954.655,14	65,19
Morada Nova (Município) (230870)	492,00	4,00	61.736,53	0,00	0,00	61.736,53	0,99
Pacajus (Município) (230960)	137,00	11,94	117.269,53	0,00	0,00	117.269,53	1,73
Pacatuba (Município) (230970)	192,10	71,96	631.863,87	0,00	0,00	631.863,87	7,99
Pindoretama (Município) (231085)	30,00	0,00	16.678,18	0,00	0,00	16.678,18	0,83
Quixadá (Município) (231130)	141,00	74,20	2.054.849,59	0,00	0,00	2.054.849,59	24,26
Quixeramobim (Município) (231140)	357,70	0,00	944.718,99	0,00	0,00	944.718,99	12,37
Russas (Município) (231180)	134,00	52,71	521.238,01	0,00	0,00	521.238,01	7,02
São Gonçalo do Amarante (Município) (231240)	109,00	61,13	180.802,42	0,00	0,00	180.802,42	3,86
Sobral (Município) (231290)	526,00	408,00	314.124,82	0,00	0,00	314.124,82	1,57
Tauá (Município) (231330)	82,00	19,09	9.215.831,00	0,00	0,00	9.215.831,00	160,34
Tianguá (Município) (231340)	178,00	70,44	2.374.051,80	0,00	0,00	2.374.051,80	32,61
Trairi (Município) (231350)	45,00	7,00	64.600,87	0,00	0,00	64.600,87	1,20
Viçosa do Ceará (Município) (231410)	43,00	15,22	7.303.287,71	0,00	0,00	7.303.287,71	125,20
Açu (Município) (240020)	139,17	0,00	7.659.486,13	0,00	0,00	7.659.486,13	134,78
Caicó (Município) (240200)	114,01	10,37	50.376.250,17	0,00	0,00	50.376.250,17	754,60
Ceará-Mirim (Município) (240260)	176,88	42,80	98.478,92	0,00	0,00	98.478,92	1,36
Parnamirim (Município) (240325)	299,51	26,60	12.581.518,39	0,00	0,00	12.581.518,39	53,32
Extremoz (Município) (240360)	-	-	-	-	-	-	-
Macaíba (Município) (240710)	191,25	21,53	3.999.351,46	0,00	0,00	3.999.351,46	52,07
Monte Alegre (Município) (240780)	76,68	3,06	939.807,06	0,00	0,00	939.807,06	42,73
Mossoró (Município) (240800)	390,91	211,22	19.163.143,48	0,00	0,00	19.163.143,48	67,41
Natal (Município) (240810)	1.587,07	541,90	46.306.119,08	0,00	0,00	46.306.119,08	53,72
Nísia Floresta (Município) (240820)	53,00	0,00	264.684,57	0,00	0,00	264.684,57	10,10
São Gonçalo do Amarante (Município) (241200)	315,00	48,00	0,00	0,00	0,00	0,00	0,00
São José de Mipibu (Município) (241220)	60,39	0,30	860.540,67	0,00	0,00	860.540,67	20,12
Vera Cruz (Município) (241480)	19,77	0,00	141.462,00	0,00	0,00	141.462,00	11,96
Alhandra (Município) (250060)	20,03	0,00	0,00	0,00	0,00	0,00	0,00
Bayeux (Município) (250180)	104,82	19,80	74.399,27	0,00	0,00	74.399,27	0,78
Caaporã (Município) (250300)	33,41	0,00	5.230,34	0,00	0,00	5.230,34	0,24
Cabedelo (Município) (250320)	75,31	6,02	1.153.924,39	0,00	0,00	1.153.924,39	17,93
Cajazeiras (Município) (250370)	161,47	22,92	534.030,67	0,00	0,00	534.030,67	8,75
Campina Grande (Município) (250400)	625,20	316,21	1.544.225,89	0,00	0,00	1.544.225,89	3,83
Conde (Município) (250460)	19,09	0,00	6.837.624,45	0,00	0,00	6.837.624,45	290,30
Cruz do Espírito Santo (Município) (250490)	18,78	0,00	0,00	0,00	0,00	0,00	0,00
Guarabira (Município) (250630)	123,61	35,11	2.129.304,41	0,00	0,00	2.129.304,41	36,85
João Pessoa (Município) (250750)	1.008,99	525,84	65.287.403,59	0,00	0,00	65.287.403,59	83,62
Lucena (Município) (250860)	19,61	0,00	2.826.379,12	0,00	0,00	2.826.379,12	223,69
Mamanguape (Município) (250890)	56,39	5,83	11.872.373,28	0,00	0,00	11.872.373,28	269,64
Patos (Município) (251080)	195,10	11,12	1.158.192,82	0,00	0,00	1.158.192,82	10,97
Pedras de Fogo (Município) (251120)	14,97	3,77	0,00	0,00	0,00	0,00	0,00
Pitimbu (Município) (251190)	6,44	0,00	0,00	0,00	0,00	0,00	0,00
Rio Tinto (Município) (251290)	44,69	0,00	0,00	0,00	0,00	0,00	0,00
Santa Rita (Município) (251370)	116,12	21,83	3.105.572,48	0,00	0,00	3.105.572,48	23,19
Sapé (Município) (251530)	87,70	17,27	0,00	0,00	0,00	0,00	0,00
Sousa (Município) (251620)	321,66	135,60	424.117,37	0,00	0,00	424.117,37	6,20
Abreu e Lima (Município) (260005)	212,80	82,10	2.429.192,70	0,00	0,00	2.429.192,70	24,74
Araçoiaba (Município) (260105)	17,61	0,00	349.775,49	0,00	0,00	349.775,49	17,86
Araripina (Município) (260110)	120,65	98,84	89.432,21	472.891,69	0,00	562.323,90	6,83
Arcoverde (Município) (260120)	163,06	10,66	43.967.359,96	0,00	0,00	43.967.359,96	605,01
Belo Jardim (Município) (260170)	208,63	79,66	35.967.736,59	0,00	0,00	35.967.736,59	478,38
Bezerros (Município) (260190)	142,16	0,00	9.767.364,78	0,00	0,00	9.767.364,78	161,98
Brejo da Madre de Deus (Município) (260260)	104,01	52,50	1.165.617,79	0,00	0,00	1.165.617,79	24,01
Buíque (Município) (260280)	41,17	0,00	10.948.682,59	0,00	0,00	10.948.682,59	195,84
Cabo de Santo Agostinho (Município) (260290)	392,36	42,60	21.723.747,13	0,00	0,00	21.723.747,13	109,50
Camaragibe (Município) (260345)	307,11	7,26	855.680,09	0,00	0,00	855.680,09	5,60
Carpina (Município) (260400)	174,34	0,00	577.438,71	0,00	0,00	577.438,71	7,20
Caruaru (Município) (260410)	854,75	369,16	50.174.918,61	0,00	0,00	50.174.918,61	146,57
Escada (Município) (260520)	121,23	0,00	509.264,78	0,00	0,00	509.264,78	7,61
Garanhuns (Município) (260600)	316,15	35,35	8.226.723,95	0,00	0,00	8.226.723,95	60,47
Goiana (Município) (260620)	145,90	0,00	14.721.753,70	0,00	0,00	14.721.753,70	188,05
Gravatá (Município) (260640)	323,36	6,31	3.575.013,71	0,00	0,00	3.575.013,71	44,04
Igarassu (Município) (260680)	222,26	5,32	854.643,84	0,00	0,00	854.643,84	7,71
Ipojuca (Município) (260720)	136,23	30,60	43.250.201,31	0,00	0,00	43.250.201,31	482,38
Ilha de Itamaracá (Município) (260760)	103,35	0,00	3.232.988,29	0,00	0,00	3.232.988,29	132,43
Itapissuma (Município) (260775)	40,52	5,00	123.049,99	0,00	0,00	123.049,99	4,82
Jaboatão dos Guararapes (Município) (260790)	1.107,14	177,62	11.822.982,68	0,00	0,00	11.822.982,68	17,36
Limoeiro (Município) (260890)	113,08	0,00	730.266,72	0,00	0,00	730.266,72	12,96
Moreno (Município) (260940)	132,57	63,18	19.449.863,14	0,00	0,00	19.449.863,14	321,83
Olinda (Município) (260960)	761,78	464,49	10.173.075,09	0,00	0,00	10.173.075,09	26,16
Ouricuri (Município) (260990)	131,87	0,00	7.729.234,30	0,00	0,00	7.729.234,30	115,19
Palmares (Município) (261000)	116,28	0,00	105.437,68	0,00	0,00	105.437,68	1,70
Paudalho (Município) (261060)	83,12	0,00	713.674,69	0,00	0,00	713.674,69	13,08
Paulista (Município) (261070)	1.218,40	483,92	6.325.321,43	0,00	0,00	6.325.321,43	19,78
Pesqueira (Município) (261090)	124,77	5,00	33.590.107,92	1.102.942,23	0,00	34.693.050,15	527,49
Petrolina (Município) (261110)	669,93	515,35	35.769.276,68	0,00	0,00	35.769.276,68	109,72
Recife (Município) (261160)	3.323,56	1.528,68	196.070.332,40	0,00	0,00	196.070.332,40	121,90
Salgueiro (Município) (261220)	173,20	40,49	8.426.655,97	0,00	0,00	8.426.655,97	141,84
Santa Cruz do Capibaribe (Município) (261250)	202,77	107,00	2.056.161,74	321.370,11	0,00	2.377.531,85	23,96
São Bento do Una (Município) (261300)	85,14	0,00	129.562,71	0,00	0,00	129.562,71	2,27
São Lourenço da Mata (Município) (261370)	198,76	24,00	2.309.964,91	0,00	0,00	2.309.964,91	21,13
Serra Talhada (Município) (261390)	179,25	25,00	3.096.474,53	1.092.658,39	0,00	4.189.132,92	50,04
Surubim (Município) (261450)	153,78	0,00	14.808.160,01	0,00	0,00	14.808.160,01	236,82
Timbaúba (Município) (261530)	118,26	0,00	459.556,49	0,00	0,00	459.556,49	8,53
Vitória de Santo Antão (Município) (261640)	283,97	99,58	1.103.179,96	0,00	0,00	1.103.179,96	8,18
Arapiraca (Município) (270030)	597,04	110,00	368.470,96	0,00	0,00	368.470,96	1,61
Barra de Santo Antônio (Município) (270050)	-	-	-	-	-	-	-
Barra de São Miguel (Município) (270060)	51,00	0,00	0,00	0,00	0,00	0,00	0,00
Campo Alegre (Município) (270140)	68,78	21,00	0,00	66.639,85	0,00	66.639,85	1,19
Coqueiro Seco (Município) (270220)	9,60	0,00	0,00	0,00	0,00	0,00	0,00
Coruripe (Município) (270230)	209,00	13,00	0,00	0,00	0,00	0,00	0,00
Delmiro Gouveia (Município) (270240)	203,90	107,00	737.666,06	355.412,51	0,00	1.093.078,57	21,29
Maceió (Município) (270430)	1.444,00	407,53	35.261.924,44	0,00	0,00	35.261.924,44	35,08
Marechal Deodoro (Município) (270470)	122,00	28,00	124.483,35	0,00	0,00	124.483,35	2,46
Messias (Município) (270520)	19,10	19,00	0,00	0,00	0,00	0,00	0,00
Palmeira dos Índios (Município) (270630)	278,04	4,91	0,00	0,00	0,00	0,00	0,00
Paripueira (Município) (270644)	26,60	0,00	0,00	0,00	0,00	0,00	0,00
Penedo (Município) (270670)	148,00	0,00	230.825,27	0,00	0,00	230.825,27	3,62
Pilar (Município) (270690)	93,00	7,00	0,00	0,00	0,00	0,00	0,00
Rio Largo (Município) (270770)	185,40	0,00	0,00	0,00	0,00	0,00	0,00
Santa Luzia do Norte (Município) (270790)	13,00	0,00	0,00	0,00	0,00	0,00	0,00
São Miguel dos Campos (Município) (270860)	165,00	71,94	217.285,41	0,00	0,00	217.285,41	3,63
Satuba (Município) (270890)	18,45	0,00	0,00	0,00	0,00	0,00	0,00
União dos Palmares (Município) (270930)	128,37	64,03	111.935,69	0,00	0,00	111.935,69	1,70
Aracaju (Município) (280030)	2.288,00	688,00	80.565.937,79	0,00	0,00	80.565.937,79	129,16
Barra dos Coqueiros (Município) (280060)	68,00	36,00	2.062.184,87	0,00	0,00	2.062.184,87	73,41
Estância (Município) (280210)	183,61	2,09	5.543.791,09	0,00	0,00	5.543.791,09	81,58
Itabaiana (Município) (280290)	183,00	0,00	1.203.713,88	0,00	0,00	1.203.713,88	12,98
Lagarto (Município) (280350)	441,00	25,00	276.195,56	0,00	0,00	276.195,56	2,73
Nossa Senhora do Socorro (Município) (280480)	483,00	173,00	510.414,34	0,00	0,00	510.414,34	2,92
São Cristóvão (Município) (280670)	187,00	53,00	3.972.744,79	37.389,25	0,00	4.010.134,04	46,73
Tobias Barreto (Município) (280740)	100,00	0,00	0,00	0,00	0,00	0,00	0,00
Alagoinhas (Município) (290070)	550,00	60,00	3.391.363,42	0,00	0,00	3.391.363,42	22,08
Araci (Município) (290210)	49,76	48,15	375.631,73	0,00	0,00	375.631,73	6,70
Barra (Município) (290270)	160,46	0,00	30.763,49	0,00	0,00	30.763,49	0,57
Barreiras (Município) (290320)	631,08	98,06	22.623.344,70	0,00	0,00	22.623.344,70	148,63
Bom Jesus da Lapa (Município) (290390)	160,00	145,00	877.370,46	0,00	0,00	877.370,46	12,73
Brumado (Município) (290460)	340,94	9,10	3.331.857,66	0,00	0,00	3.331.857,66	48,27
Caetité (Município) (290520)	151,97	0,00	477.862,71	0,00	0,00	477.862,71	9,13
Camaçari (Município) (290570)	1.022,21	118,94	34.626.089,67	0,00	0,00	34.626.089,67	123,04
Campo Formoso (Município) (290600)	51,25	7,41	2.586.080,68	0,00	0,00	2.586.080,68	35,97
Candeias (Município) (290650)	165,63	50,31	22.589.480,81	0,00	0,00	22.589.480,81	255,80
Casa Nova (Município) (290720)	104,60	68,00	104.548,39	0,00	0,00	104.548,39	1,46
Catu (Município) (290750)	144,45	0,00	445.076,06	0,00	0,00	445.076,06	8,04
Conceição do Coité (Município) (290840)	156,60	6,70	486.367,36	0,00	0,00	486.367,36	7,19
Cruz das Almas (Município) (290980)	262,93	0,00	17.591.996,30	0,00	0,00	17.591.996,30	275,91
Dias d'Ávila (Município) (291005)	209,67	59,43	2.209.303,23	0,00	0,00	2.209.303,23	28,83
Euclides da Cunha (Município) (291070)	371,75	19,30	1.606.818,65	0,00	0,00	1.606.818,65	26,37
Eunápolis (Município) (291072)	301,77	13,33	3.034.246,08	0,00	0,00	3.034.246,08	27,08
Feira de Santana (Município) (291080)	2.129,09	548,60	57.459.910,87	0,00	0,00	57.459.910,87	93,89
Guanambi (Município) (291170)	655,83	189,80	17.082.432,40	0,00	0,00	17.082.432,40	200,41
Ilhéus (Município) (291360)	556,83	137,26	2.196.900,85	0,00	0,00	2.196.900,85	12,05
Ipirá (Município) (291400)	135,13	9,90	6.926.723,53	0,00	0,00	6.926.723,53	111,41
Irecê (Município) (291460)	405,22	18,88	12.749.280,22	0,00	0,00	12.749.280,22	175,30
Itaberaba (Município) (291470)	230,82	14,70	6.950.060,79	0,00	0,00	6.950.060,79	105,20
Itabuna (Município) (291480)	430,20	333,00	4.431.820,42	0,00	0,00	4.431.820,42	20,24
Itamaraju (Município) (291560)	182,68	161,77	1.355.044,52	0,00	0,00	1.355.044,52	20,17
