Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Portel (Município) (150580)	12.909	7.079	4,74	4,11	931,890	15.245,32	25.384,960	2,41
Redenção (Município) (150613)	27.101	26.660	3,10	2,92	1.879,720	22.378,43	3.823,810	21,97
Rondon do Pará (Município) (150618)	16.773	13.319	3,09	2,88	554,670	10.686,70	8.246,390	6,29
Santa Bárbara do Pará (Município) (150635)	5.968	1.975	3,47	3,34	179,740	8.681,46	278,150	74,43
Santa Izabel do Pará (Município) (150650)	20.439	16.550	3,41	3,05	790,400	11.332,60	717,660	97,19
Santana do Araguaia (Município) (150670)	18.709	10.327	3,80	3,64	879,680	12.357,34	11.591,460	6,14
Santarém (Município) (150680)	93.626	74.736	3,23	2,97	5.066,960	16.741,04	17.898,390	16,91
São Félix do Xingu (Município) (150730)	30.126	16.124	4,14	3,82	1.455,470	11.665,86	84.212,850	1,48
São Miguel do Guamá (Município) (150760)	16.924	11.598	3,45	3,11	705,200	12.090,25	1.110,180	52,54
Tailândia (Município) (150795)	22.063	17.276	4,70	4,44	936,170	9.030,82	4.430,220	23,40
Tomé-Açu (Município) (150800)	18.236	10.991	3,45	3,19	696,440	11.080,30	5.145,360	12,22
Tucuruí (Município) (150810)	31.521	31.973	3,56	3,34	7.802,220	69.570,74	2.086,190	53,76
Ulianópolis (Município) (150812)	11.460	8.222	5,03	4,61	1.387,120	24.068,64	5.088,470	11,33
Vigia (Município) (150820)	15.770	11.104	3,37	3,24	398,710	7.495,75	539,080	98,67
Viseu (Município) (150830)	16.545	5.770	3,69	3,43	507,500	8.312,92	4.915,070	12,42
Macapá (Município) (160030)	135.304	124.718	3,65	3,79	11.418,350	23.131,21	6.503,460	75,90
Santana (Município) (160060)	29.549	29.499	4,05	3,97	2.158,710	18.047,94	1.541,220	77,61
Araguaína (Município) (170210)	55.874	54.638	3,18	3,09	4.575,310	25.773,93	4.000,420	44,37
Gurupi (Município) (170950)	29.640	29.750	2,89	2,82	2.296,900	26.790,10	1.836,090	46,70
Paraíso do Tocantins (Município) (171610)	17.129	16.785	2,95	2,88	1.283,120	25.357,09	1.268,060	39,91
Porto Nacional (Município) (171820)	17.530	15.459	3,01	2,94	1.749,270	33.192,96	4.449,920	11,84
Palmas (Município) (172100)	92.545	89.021	3,15	3,18	9.828,580	33.676,23	2.218,940	131,53
Açailândia (Município) (210005)	33.950	26.842	3,29	3,13	2.714,200	24.286,65	5.806,440	19,25
Alcântara (Município) (210020)	7.493	2.190	2,95	2,95	135,410	6.131,83	1.457,920	15,15
Bacabal (Município) (210120)	32.412	26.947	3,23	3,02	1.187,260	11.346,92	1.683,070	62,17
Balsas (Município) (210140)	26.286	24.313	3,57	3,36	3.605,740	38.430,04	13.141,760	7,14
Barra do Corda (Município) (210160)	26.713	17.959	3,29	3,05	754,350	8.592,29	5.190,340	16,91
Barreirinhas (Município) (210170)	15.080	6.770	4,10	3,67	506,250	8.188,02	3.026,540	20,43
Buriticupu (Município) (210232)	18.514	10.920	3,87	3,60	585,030	8.156,84	2.545,440	28,18
Caxias (Município) (210300)	49.578	40.118	3,31	3,13	1.891,750	11.519,31	5.196,770	31,60
Chapadinha (Município) (210320)	21.777	16.913	3,63	3,37	742,550	9.382,16	3.247,390	24,37
Codó (Município) (210330)	36.502	26.522	3,36	3,17	1.004,410	8.192,77	4.361,340	28,11
Coroatá (Município) (210360)	19.651	14.851	3,31	3,06	476,920	7.332,28	2.263,770	28,73
Grajaú (Município) (210480)	18.432	11.878	3,74	3,46	783,830	11.380,29	8.863,570	7,77
Imperatriz (Município) (210530)	84.668	84.874	3,05	2,88	7.431,810	28.803,66	1.368,990	188,47
Itapecuru Mirim (Município) (210540)	19.385	11.561	3,49	3,27	588,710	8.699,37	1.471,440	45,99
Paço do Lumiar (Município) (210750)	33.460	26.888	3,60	3,36	972,720	8.064,27	125,260	962,97
Pinheiro (Município) (210860)	24.082	15.401	3,45	3,20	862,890	10.397,48	1.512,970	54,85
Raposa (Município) (210945)	8.081	5.345	3,75	3,59	247,970	8.173,75	66,400	456,88
Santa Inês (Município) (210990)	25.022	25.052	3,54	3,35	1.348,160	15.218,01	786,690	112,61
Santa Luzia (Município) (211000)	21.575	8.374	3,36	3,01	594,290	8.203,89	4.837,040	14,98
São José de Ribamar (Município) (211120)	52.505	11.443	3,36	3,56	2.273,900	12.896,34	385,780	457,05
São Luís (Município) (211130)	331.817	307.321	3,30	3,36	35.044,300	32.013,67	834,830	1.311,25
Timon (Município) (211220)	49.973	45.726	3,36	3,19	1.947,930	11.596,70	1.764,610	95,19
Tutóia (Município) (211250)	14.015	5.455	4,16	3,78	426,460	7.313,56	1.651,650	35,30
Vargem Grande (Município) (211270)	13.692	8.239	4,08	3,66	339,650	6.082,40	1.957,750	28,52
Viana (Município) (211280)	15.222	8.841	3,43	3,21	430,010	8.233,16	1.168,440	44,70
Zé Doca (Município) (211400)	14.663	9.913	3,51	3,19	452,440	8.790,22	2.140,110	24,05
Altos (Município) (220040)	12.432	8.985	3,25	3,18	436,940	10.804,73	957,650	42,23
Beneditinos (Município) (220160)	3.320	2.139	3,15	3,09	79,210	7.571,01	788,580	13,27
Coivaras (Município) (220273)	1.222	408	3,28	3,02	33,520	8.365,61	485,500	8,25
Curralinhos (Município) (220325)	1.321	432	3,35	3,26	31,800	7.186,30	345,850	12,79
Demerval Lobão (Município) (220330)	4.547	3.781	3,03	2,99	176,150	12.770,82	216,810	63,62
Floriano (Município) (220390)	19.345	16.971	3,09	3,05	1.152,270	19.255,81	3.409,650	17,55
José de Freitas (Município) (220550)	11.066	6.556	3,53	3,47	365,160	9.345,79	1.538,170	25,40
Lagoa Alegre (Município) (220555)	2.350	915	3,62	3,53	65,300	7.679,10	394,660	21,55
Lagoa do Piauí (Município) (220558)	1.274	573	3,18	3,06	52,150	12.869,18	426,630	9,50
Miguel Leão (Município) (220630)	402	275	3,11	3,13	17,240	13.794,77	93,520	13,37
Monsenhor Gil (Município) (220640)	3.417	1.823	3,09	2,98	98,040	9.279,24	582,550	18,14
Nazária (Município) (220672)	2.636	550	3,24	3,18	90,840	10.642,32	363,590	23,48
Parnaíba (Município) (220770)	46.360	44.275	3,29	3,25	2.422,260	15.867,73	434,230	351,55
Pau D'Arco do Piauí (Município) (220779)	1.234	201	3,26	2,96	28,360	7.048,44	430,820	9,34
Picos (Município) (220800)	25.432	20.482	3,07	3,02	1.581,750	20.278,32	577,300	135,11
Piripiri (Município) (220840)	20.360	15.091	3,13	3,04	749,650	11.769,54	1.408,930	45,21
Teresina (Município) (221100)	258.785	245.185	3,33	3,31	21.858,730	25.374,58	1.391,980	618,86
União (Município) (221110)	12.978	6.540	3,42	3,34	381,540	8.594,03	1.173,450	37,83
Acaraú (Município) (230020)	18.398	9.385	3,40	3,27	582,730	9.315,22	842,560	74,25
Acopiara (Município) (230030)	18.847	9.988	2,86	2,66	395,830	7.339,48	2.265,350	23,81
Aquiraz (Município) (230100)	24.850	23.473	3,20	3,13	2.043,550	25.684,63	481,600	165,21
Aracati (Município) (230110)	24.844	16.291	2,98	2,90	1.175,110	15.861,81	1.228,060	60,33
Barbalha (Município) (230190)	18.423	13.048	3,27	3,17	898,350	14.933,84	569,510	105,63
Beberibe (Município) (230220)	17.677	7.981	3,02	2,93	765,680	14.333,02	1.623,880	32,90
Boa Viagem (Município) (230240)	19.009	10.278	2,86	2,68	399,160	7.332,12	2.836,780	19,19
Camocim (Município) (230260)	19.680	15.048	3,22	3,13	595,430	9.390,50	1.124,780	56,37
Canindé (Município) (230280)	25.022	16.549	3,12	2,97	659,820	8.453,90	3.218,480	24,25
Cascavel (Município) (230350)	23.590	20.375	3,03	2,98	769,250	10.758,95	835,000	85,63
Caucaia (Município) (230370)	111.789	101.477	3,26	3,20	5.292,680	14.541,04	1.228,510	296,28
Chorozinho (Município) (230395)	6.874	4.268	2,81	2,74	367,910	19.018,36	278,410	69,48
Crateús (Município) (230410)	27.214	20.174	2,76	2,69	711,990	9.495,44	2.985,150	25,12
Crato (Município) (230420)	42.558	36.217	3,09	3,01	1.405,900	10.701,69	1.176,470	111,67
Eusébio (Município) (230428)	15.936	16.112	3,32	3,28	2.582,380	48.834,64	79,010	669,32
Fortaleza (Município) (230440)	884.772	884.772	2,99	2,99	69.893,060	26.442,13	314,930	8.393,13
Granja (Município) (230470)	16.588	8.729	3,30	3,08	381,950	6.978,87	2.663,030	20,55
Guaiúba (Município) (230495)	8.025	6.390	3,30	3,25	212,120	8.013,03	267,130	99,10
Horizonte (Município) (230523)	19.666	18.513	3,36	3,30	1.777,600	26.886,95	160,760	411,25
Icó (Município) (230540)	22.872	11.219	2,97	2,82	576,040	8.474,65	1.872,000	36,31
Iguatu (Município) (230550)	36.109	28.323	2,86	2,82	1.682,330	16.293,01	1.029,210	100,32
Itaitinga (Município) (230625)	11.657	11.699	3,39	3,35	733,730	18.566,94	151,630	260,62
Itapajé (Município) (230630)	16.231	11.693	3,22	3,14	580,950	11.120,75	430,570	121,33
Itapipoca (Município) (230640)	37.551	22.658	3,41	3,26	1.718,820	13.414,11	1.614,160	79,38
Juazeiro do Norte (Município) (230730)	86.800	84.540	3,13	3,09	5.026,380	18.484,37	248,830	1.092,81
Limoeiro do Norte (Município) (230760)	21.511	12.813	2,76	2,67	986,640	16.644,31	750,070	79,03
Maracanaú (Município) (230765)	72.596	72.922	3,11	3,08	10.903,860	48.219,87	106,650	2.120,32
Maranguape (Município) (230770)	36.326	28.407	3,50	3,40	1.562,440	12.293,20	590,870	215,10
Morada Nova (Município) (230870)	22.880	13.498	2,71	2,62	998,760	16.091,07	2.778,580	22,34
Pacajus (Município) (230960)	22.062	18.470	3,23	3,16	1.191,280	16.733,15	254,640	279,59
Pacatuba (Município) (230970)	23.467	20.487	3,54	3,49	1.215,380	14.615,51	131,990	630,01
Pindoretama (Município) (231085)	6.718	4.152	3,09	3,02	254,170	12.250,48	75,140	276,12
Quixadá (Município) (231130)	27.777	20.421	3,14	3,04	1.083,580	12.438,39	2.019,830	43,13
Quixeramobim (Município) (231140)	25.744	16.113	3,07	2,96	1.106,710	13.994,60	3.275,630	24,14
Russas (Município) (231180)	25.609	17.000	3,00	2,91	1.146,860	14.916,74	1.590,260	48,35
São Gonçalo do Amarante (Município) (231240)	15.089	9.994	3,22	3,16	4.405,920	90.813,74	834,450	58,14
Sobral (Município) (231290)	63.375	56.773	3,26	3,22	4.978,820	24.093,70	2.122,900	97,34
Tauá (Município) (231330)	20.388	12.389	2,87	2,73	625,710	10.692,71	4.018,160	14,56
Tianguá (Município) (231340)	22.861	15.686	3,29	3,19	1.368,400	18.211,40	908,890	82,67
Trairi (Município) (231350)	16.787	6.422	3,31	3,16	860,310	15.491,31	925,720	59,99
Viçosa do Ceará (Município) (231410)	16.998	6.055	3,55	3,23	453,320	7.510,94	1.311,630	46,02
Açu (Município) (240020)	18.335	13.727	3,14	3,11	1.142,720	19.823,67	1.303,440	44,22
Caicó (Município) (240200)	22.951	21.275	2,94	2,91	1.235,160	18.284,10	1.228,580	54,99
Ceará-Mirim (Município) (240260)	21.425	11.391	3,41	3,34	885,560	12.114,46	724,380	100,91
Parnamirim (Município) (240325)	74.370	74.873	3,44	3,42	5.419,660	21.187,69	123,470	2.071,68
Extremoz (Município) (240360)	8.024	5.297	3,52	3,42	424,070	15.026,29	139,580	202,20
Macaíba (Município) (240710)	24.017	15.029	3,32	3,26	1.581,750	19.835,57	510,770	156,12
Monte Alegre (Município) (240780)	7.039	3.163	3,16	3,06	220,560	9.917,90	210,920	105,44
Mossoró (Município) (240800)	90.462	83.445	3,25	3,22	6.803,350	23.134,65	2.099,330	140,08
Natal (Município) (240810)	295.903	295.903	2,97	2,97	24.822,590	28.283,34	167,260	5.247,03
Nísia Floresta (Município) (240820)	7.876	3.210	3,46	3,35	428,300	15.711,75	307,840	88,55
São Gonçalo do Amarante (Município) (241200)	30.143	25.843	3,35	3,31	1.546,300	15.294,47	249,120	405,83
São José de Mipibu (Município) (241220)	13.333	6.264	3,27	3,19	806,190	18.473,59	290,330	150,31
Vera Cruz (Município) (241480)	3.437	1.548	3,59	3,49	112,880	9.160,45	83,890	146,89
Alhandra (Município) (250060)	5.942	3.795	3,26	3,16	1.277,930	65.903,40	182,660	106,16
Bayeux (Município) (250180)	33.070	33.223	2,92	2,88	1.401,760	14.518,48	27,540	3.506,32
Caaporã (Município) (250300)	6.468	5.675	3,35	3,29	344,500	15.876,99	150,170	144,49
Cabedelo (Município) (250320)	20.375	20.650	3,27	3,23	2.858,140	42.863,49	31,920	2.089,30
Cajazeiras (Município) (250370)	20.471	17.023	3,02	2,95	1.119,230	18.117,62	565,900	109,16
Campina Grande (Município) (250400)	132.488	128.311	3,08	3,03	9.596,190	23.550,56	593,030	687,11
Conde (Município) (250460)	6.869	4.718	3,54	3,49	734,250	30.187,35	172,950	140,64
Cruz do Espírito Santo (Município) (250490)	4.980	2.348	3,49	3,39	139,090	8.009,56	191,100	90,87
Guarabira (Município) (250630)	19.236	17.374	3,04	2,98	1.011,810	17.298,24	165,740	352,91
João Pessoa (Município) (250750)	272.112	272.254	2,94	2,93	20.894,400	26.107,46	211,480	3.784,48
Lucena (Município) (250860)	3.680	3.271	3,52	3,42	202,250	15.625,20	88,550	146,18
Mamanguape (Município) (250890)	13.700	11.403	3,26	3,17	670,000	15.003,33	340,480	131,16
Patos (Município) (251080)	34.196	33.562	3,13	3,08	1.808,240	16.901,93	473,060	226,16
Pedras de Fogo (Município) (251120)	8.753	5.550	3,24	3,10	436,390	15.371,63	404,880	70,12
Pitimbu (Município) (251190)	5.598	3.570	3,38	3,23	267,210	14.135,30	136,440	138,56
Rio Tinto (Município) (251290)	7.849	4.703	3,07	2,91	255,300	10.598,50	465,670	51,73
Santa Rita (Município) (251370)	39.712	34.976	3,42	3,35	2.491,960	18.349,30	730,210	185,98
Sapé (Município) (251530)	16.629	13.107	3,15	3,04	580,670	11.072,36	315,530	166,21
Sousa (Município) (251620)	22.224	17.822	3,11	3,06	1.169,500	16.909,78	738,550	93,64
Abreu e Lima (Município) (260005)	35.177	32.717	2,83	2,79	1.799,390	18.062,19	126,190	789,44
Araçoiaba (Município) (260105)	6.057	5.171	3,35	3,30	145,680	7.172,31	96,380	210,75
Araripina (Município) (260110)	25.778	16.433	3,26	3,10	1.076,800	12.824,57	2.037,390	41,21
Arcoverde (Município) (260120)	25.220	23.373	2,93	2,88	1.050,920	14.231,58	323,370	228,36
Belo Jardim (Município) (260170)	27.757	22.914	2,74	2,67	1.963,940	25.778,62	647,700	117,62
Bezerros (Município) (260190)	24.102	20.901	2,52	2,46	752,920	12.401,08	490,820	123,70
Brejo da Madre de Deus (Município) (260260)	16.597	13.069	3,03	2,99	391,280	7.786,79	762,350	65,91
Buíque (Município) (260280)	16.416	7.231	3,52	3,25	424,330	7.338,26	1.320,870	43,78
Cabo de Santo Agostinho (Município) (260290)	66.779	61.654	3,07	3,02	10.175,940	49.611,62	448,740	457,09
Camaragibe (Município) (260345)	52.800	53.319	2,97	2,94	1.929,860	12.312,84	51,260	3.057,85
Carpina (Município) (260400)	26.791	26.105	3,09	3,06	1.509,570	18.215,64	147,670	561,22
Caruaru (Município) (260410)	120.399	108.332	2,96	2,92	7.453,480	20.885,57	920,610	387,65
Escada (Município) (260520)	22.657	19.850	3,02	2,93	997,610	14.574,78	342,200	200,02
Garanhuns (Município) (260600)	46.723	42.468	2,97	2,92	2.545,810	18.317,41	458,550	303,09
Goiana (Município) (260620)	26.852	21.148	2,96	2,88	9.621,490	121.093,56	445,810	178,23
Gravatá (Município) (260640)	29.315	26.694	2,85	2,80	1.172,810	14.056,19	506,790	164,64
Igarassu (Município) (260680)	37.114	34.618	3,12	3,08	2.639,410	22.824,36	305,560	378,45
Ipojuca (Município) (260720)	27.593	21.302	3,43	3,29	12.065,830	127.398,95	527,110	179,68
Ilha de Itamaracá (Município) (260760)	6.774	6.392	3,81	3,14	260,120	10.068,17	66,680	387,44
Itapissuma (Município) (260775)	8.072	6.685	3,27	3,04	1.629,950	61.747,57	74,240	355,59
Jaboatão dos Guararapes (Município) (260790)	246.260	243.601	2,83	2,80	13.931,540	19.969,63	258,690	2.696,76
Limoeiro (Município) (260890)	20.504	16.729	2,75	2,71	809,310	14.374,53	273,740	205,68
Moreno (Município) (260940)	20.586	18.596	3,02	2,96	686,050	11.018,57	196,070	317,55
Olinda (Município) (260960)	141.536	140.235	2,77	2,74	5.770,750	14.727,51	41,680	9.400,81
Ouricuri (Município) (260990)	20.719	11.197	3,33	3,12	695,290	10.085,51	2.381,580	28,95
Palmares (Município) (261000)	19.404	15.664	3,25	3,17	834,560	13.248,25	339,290	185,66
Paudalho (Município) (261060)	17.750	12.783	3,16	3,10	831,700	14.832,22	274,780	204,07
Paulista (Município) (261070)	113.325	114.436	2,90	2,88	4.369,450	13.276,28	97,310	3.382,08
Pesqueira (Município) (261090)	23.021	17.245	2,91	2,79	718,040	10.709,45	980,880	68,35
Petrolina (Município) (261110)	100.548	77.368	3,42	3,31	6.972,880	20.277,96	4.561,870	75,38
Recife (Município) (261160)	590.127	590.127	2,78	2,78	54.644,540	33.363,90	218,440	7.498,04
Salgueiro (Município) (261220)	18.829	15.472	3,22	3,16	895,680	14.779,29	1.686,810	35,93
Santa Cruz do Capibaribe (Município) (261250)	32.478	32.016	3,26	3,23	1.576,580	14.882,41	335,310	315,94
São Bento do Una (Município) (261300)	18.346	10.144	3,21	3,05	1.131,830	19.197,80	719,150	81,98
São Lourenço da Mata (Município) (261370)	37.900	36.072	2,96	2,93	1.231,690	10.961,81	262,110	428,69
Serra Talhada (Município) (261390)	28.805	22.938	2,98	2,89	1.431,810	16.692,86	2.980,010	28,78
Surubim (Município) (261450)	21.890	16.787	2,95	2,89	786,110	12.183,96	252,860	255,17
Timbaúba (Município) (261530)	18.962	16.848	2,69	2,61	710,910	13.951,53	292,990	173,92
Vitória de Santo Antão (Município) (261640)	49.308	43.958	2,80	2,74	3.878,000	28.118,78	335,940	410,53
Arapiraca (Município) (270030)	73.369	62.242	3,14	3,14	4.658,830	20.219,10	345,660	666,61
Barra de Santo Antônio (Município) (270050)	4.424	4.129	3,57	3,56	181,380	11.485,34	131,630	119,97
Barra de São Miguel (Município) (270060)	2.550	2.222	3,24	3,20	202,980	24.562,50	76,620	107,86
Campo Alegre (Município) (270140)	13.752	6.332	4,11	3,90	479,330	8.471,94	312,710	180,93
Coqueiro Seco (Município) (270220)	1.912	1.722	3,05	3,04	72,040	12.364,49	39,610	147,09
Coruripe (Município) (270230)	16.990	15.052	3,33	3,32	1.327,480	23.469,50	898,630	62,94
Delmiro Gouveia (Município) (270240)	16.650	12.150	3,11	3,09	541,940	10.469,62	626,690	82,60
Maceió (Município) (270430)	382.575	382.607	2,65	2,64	23.359,160	23.073,46	509,550	1.986,81
Marechal Deodoro (Município) (270470)	15.429	14.571	3,33	3,33	2.008,780	39.108,69	332,140	154,65
Messias (Município) (270520)	4.947	4.438	3,57	3,62	163,510	9.250,65	114,160	154,84
Palmeira dos Índios (Município) (270630)	25.723	19.038	2,84	2,82	864,720	11.829,96	450,960	162,09
Paripueira (Município) (270644)	3.580	3.164	3,64	3,64	172,730	13.270,57	92,850	140,18
Penedo (Município) (270670)	20.617	15.586	3,08	3,04	780,340	12.285,73	689,880	92,07
Pilar (Município) (270690)	11.094	10.557	3,16	3,17	503,200	14.373,89	251,070	139,44
Rio Largo (Município) (270770)	23.461	19.198	3,19	3,18	1.096,170	14.647,19	293,820	254,71
Santa Luzia do Norte (Município) (270790)	2.361	2.122	3,08	3,07	141,100	19.402,80	28,860	252,00
São Miguel dos Campos (Município) (270860)	17.766	17.128	3,42	3,42	1.085,260	17.856,98	360,880	168,41
Satuba (Município) (270890)	4.801	4.265	2,86	2,82	176,910	12.898,17	41,270	332,36
União dos Palmares (Município) (270930)	20.881	16.188	3,13	3,09	982,540	15.009,57	420,720	155,59
Aracaju (Município) (280030)	238.058	238.058	2,73	2,73	18.015,810	27.761,95	181,860	3.568,40
Barra dos Coqueiros (Município) (280060)	8.740	7.570	3,42	3,30	512,090	17.142,38	89,600	333,41
Estância (Município) (280210)	23.241	20.888	2,96	2,80	1.770,600	25.734,01	644,490	106,76
Itabaiana (Município) (280290)	33.168	27.339	2,86	2,70	1.878,260	19.834,61	337,300	280,75
Lagarto (Município) (280350)	35.242	19.439	2,94	2,74	1.538,010	14.849,13	968,920	106,90
Nossa Senhora do Socorro (Município) (280480)	57.837	58.842	3,14	2,99	2.666,990	14.693,91	155,020	1.170,85
São Cristóvão (Município) (280670)	28.573	25.367	3,12	2,97	934,110	10.492,40	438,040	203,24
Tobias Barreto (Município) (280740)	17.924	12.606	2,89	2,76	581,340	11.213,40	1.024,190	50,62
Alagoinhas (Município) (290070)	51.126	44.186	2,95	2,98	4.132,430	27.397,56	707,560	213,17
Araci (Município) (290210)	16.735	6.784	3,23	3,03	443,320	8.194,63	1.495,550	36,17
