Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Santana do Araguaia (Município) (150670)	55,41	0,00	85.608,67	0,00	0,00	85.608,67	1,24
Santarém (Município) (150680)	361,00	31,00	0,00	0,00	9.551.400,90	9.551.400,90	32,44
São Félix do Xingu (Município) (150730)	7,00	0,00	0,00	0,00	0,00	0,00	0,00
São Miguel do Guamá (Município) (150760)	60,42	0,00	0,00	0,00	0,00	0,00	0,00
Tailândia (Município) (150795)	50,00	0,00	0,00	0,00	0,00	0,00	0,00
Tomé-Açu (Município) (150800)	95,00	0,00	0,00	411.455,74	0,00	411.455,74	6,73
Tucuruí (Município) (150810)	160,00	0,00	0,00	0,00	0,00	0,00	0,00
Ulianópolis (Município) (150812)	52,00	0,10	0,00	455.020,26	0,00	455.020,26	8,16
Vigia (Município) (150820)	35,00	0,00	0,00	0,00	0,00	0,00	0,00
Viseu (Município) (150830)	20,00	0,00	0,00	0,00	0,00	0,00	0,00
Macapá (Município) (160030)	707,86	89,29	0,00	0,00	0,00	0,00	0,00
Santana (Município) (160060)	155,06	9,42	0,00	0,00	0,00	0,00	0,00
Araguaína (Município) (170210)	1.143,00	236,00	32.199.719,97	0,00	0,00	32.199.719,97	186,01
Gurupi (Município) (170950)	514,91	136,07	25.340.472,87	0,00	0,00	25.340.472,87	299,43
Paraíso do Tocantins (Município) (171610)	372,00	58,65	8.528.410,93	0,00	0,00	8.528.410,93	171,50
Porto Nacional (Município) (171820)	580,00	276,00	3.985.645,50	0,00	0,00	3.985.645,50	75,90
Palmas (Município) (172100)	1.748,44	1.120,24	35.475.735,60	0,00	0,00	35.475.735,60	126,76
Açailândia (Município) (210005)	95,00	0,00	26.066,87	0,00	0,00	26.066,87	0,24
Alcântara (Município) (210020)	22,01	0,00	71.756,01	0,00	0,00	71.756,01	3,31
Bacabal (Município) (210120)	-	-	-	-	-	-	-
Balsas (Município) (210140)	166,72	0,00	146.534,99	0,00	0,00	146.534,99	1,57
Barra do Corda (Município) (210160)	105,20	0,00	0,00	0,00	0,00	0,00	0,00
Barreirinhas (Município) (210170)	49,00	14,47	0,00	0,00	0,00	0,00	0,00
Buriticupu (Município) (210232)	52,79	0,00	0,00	0,00	0,00	0,00	0,00
Caxias (Município) (210300)	393,84	59,05	2.669.575,96	0,00	0,00	2.669.575,96	16,49
Chapadinha (Município) (210320)	71,96	0,00	968.925,29	0,00	0,00	968.925,29	12,37
Codó (Município) (210330)	300,00	35,00	244.202,66	0,00	0,00	244.202,66	2,03
Coroatá (Município) (210360)	147,55	0,00	0,00	0,00	0,00	0,00	0,00
Grajaú (Município) (210480)	54,00	0,00	381.125,18	0,00	0,00	381.125,18	5,57
Imperatriz (Município) (210530)	543,22	129,80	855,93	0,00	0,00	855,93	0,00
Itapecuru Mirim (Município) (210540)	72,00	0,00	0,00	0,00	0,00	0,00	0,00
Paço do Lumiar (Município) (210750)	368,90	121,51	10.055.879,41	0,00	0,00	10.055.879,41	83,86
Pinheiro (Município) (210860)	80,99	0,00	0,00	0,00	0,00	0,00	0,00
Raposa (Município) (210945)	-	-	-	-	-	-	-
Santa Inês (Município) (210990)	149,67	0,00	0,00	0,00	0,00	0,00	0,00
Santa Luzia (Município) (211000)	33,72	0,00	0,00	0,00	0,00	0,00	0,00
São José de Ribamar (Município) (211120)	373,53	83,31	13.886.690,59	0,00	0,00	13.886.690,59	78,90
São Luís (Município) (211130)	1.962,00	875,00	78.318.400,95	0,00	0,00	78.318.400,95	72,32
Timon (Município) (211220)	485,00	0,00	24.555.490,32	0,00	0,00	24.555.490,32	147,66
Tutóia (Município) (211250)	11,62	0,00	2.498.047,55	0,00	0,00	2.498.047,55	43,10
Vargem Grande (Município) (211270)	56,49	0,00	25.765,11	0,00	0,00	25.765,11	0,46
Viana (Município) (211280)	-	-	-	-	-	-	-
Zé Doca (Município) (211400)	41,95	0,00	0,00	0,00	0,00	0,00	0,00
Altos (Município) (220040)	30,06	10,85	0,00	0,00	0,00	0,00	0,00
Beneditinos (Município) (220160)	20,12	0,00	0,00	0,00	0,00	0,00	0,00
Coivaras (Município) (220273)	33,00	0,00	0,00	67.677,11	0,00	67.677,11	17,17
Curralinhos (Município) (220325)	-	-	-	-	-	-	-
Demerval Lobão (Município) (220330)	32,64	0,00	0,00	0,00	0,00	0,00	0,00
Floriano (Município) (220390)	217,87	6,86	859.902,02	0,00	0,00	859.902,02	14,60
José de Freitas (Município) (220550)	66,18	0,00	0,00	0,00	0,00	0,00	0,00
Lagoa Alegre (Município) (220555)	17,56	0,00	0,00	0,00	0,00	0,00	0,00
Lagoa do Piauí (Município) (220558)	120,00	0,00	0,00	123.691,33	0,00	123.691,33	31,02
Miguel Leão (Município) (220630)	-	-	-	-	-	-	-
Monsenhor Gil (Município) (220640)	30,15	0,00	0,00	0,00	0,00	0,00	0,00
Nazária (Município) (220672)	6,31	0,00	0,00	0,00	0,00	0,00	0,00
Parnaíba (Município) (220770)	245,53	164,94	3.379.657,70	0,00	0,00	3.379.657,70	22,50
Pau D'Arco do Piauí (Município) (220779)	-	-	-	-	-	-	-
Picos (Município) (220800)	118,64	92,93	0,00	0,00	0,00	0,00	0,00
Piripiri (Município) (220840)	177,59	0,00	937.784,73	0,00	0,00	937.784,73	14,96
Teresina (Município) (221100)	1.619,10	481,57	1.656.658,88	440.998,85	0,00	2.097.657,72	2,48
União (Município) (221110)	66,37	0,00	960.975,52	0,00	0,00	960.975,52	22,00
Acaraú (Município) (230020)	98,89	21,31	25.100,93	0,00	0,00	25.100,93	0,41
Acopiara (Município) (230030)	46,49	23,81	67.773,17	0,00	0,00	67.773,17	1,27
Aquiraz (Município) (230100)	131,89	37,49	1.021.340,40	0,00	0,00	1.021.340,40	13,02
Aracati (Município) (230110)	163,17	57,13	477.368,35	0,00	0,00	477.368,35	6,52
Barbalha (Município) (230190)	98,54	46,34	52.713,08	0,00	0,00	52.713,08	0,89
Beberibe (Município) (230220)	57,88	18,51	192.624,14	0,00	0,00	192.624,14	3,65
Boa Viagem (Município) (230240)	236,00	0,00	5.843,84	0,00	0,00	5.843,84	0,11
Camocim (Município) (230260)	133,00	85,00	0,00	0,00	0,00	0,00	0,00
Canindé (Município) (230280)	109,30	23,00	0,00	0,00	0,00	0,00	0,00
Cascavel (Município) (230350)	134,92	4,97	2.204.886,41	0,00	0,00	2.204.886,41	31,24
Caucaia (Município) (230370)	619,84	306,08	27.121.724,77	0,00	0,00	27.121.724,77	75,72
Chorozinho (Município) (230395)	72,51	0,00	8.797,38	0,00	0,00	8.797,38	0,46
Crateús (Município) (230410)	151,55	132,47	649.551,98	0,00	0,00	649.551,98	8,74
Crato (Município) (230420)	273,50	102,00	0,00	0,00	0,00	0,00	0,00
Eusébio (Município) (230428)	238,70	35,56	2.949.618,22	0,00	0,00	2.949.618,22	56,82
Fortaleza (Município) (230440)	4.112,66	2.442,27	86.579.474,09	0,00	0,00	86.579.474,09	33,18
Granja (Município) (230470)	47,60	1,86	0,00	0,00	0,00	0,00	0,00
Guaiúba (Município) (230495)	48,14	10,83	44.975,87	0,00	0,00	44.975,87	1,72
Horizonte (Município) (230523)	149,86	12,73	2.408.409,00	0,00	0,00	2.408.409,00	37,24
Icó (Município) (230540)	138,00	49,00	58.128,95	383.276,71	0,00	441.405,66	6,55
Iguatu (Município) (230550)	386,52	31,00	757.431,39	0,00	0,00	757.431,39	7,42
Itaitinga (Município) (230625)	149,28	2,32	448.162,68	0,00	0,00	448.162,68	11,51
Itapajé (Município) (230630)	42,00	2,00	0,00	0,00	0,00	0,00	0,00
Itapipoca (Município) (230640)	310,48	56,91	44.834,30	0,00	0,00	44.834,30	0,36
Juazeiro do Norte (Município) (230730)	688,77	185,01	1.303.149,48	0,00	0,00	1.303.149,48	4,86
Limoeiro do Norte (Município) (230760)	146,10	70,30	260.218,98	0,00	0,00	260.218,98	4,44
Maracanaú (Município) (230765)	571,33	235,32	566.816,08	0,00	0,00	566.816,08	2,54
Maranguape (Município) (230770)	275,24	71,67	746.857,64	0,00	0,00	746.857,64	5,97
Morada Nova (Município) (230870)	506,00	4,00	0,00	0,00	0,00	0,00	0,00
Pacajus (Município) (230960)	152,03	2,83	170.046,15	0,00	0,00	170.046,15	2,43
Pacatuba (Município) (230970)	193,58	42,05	1.424.971,89	0,00	0,00	1.424.971,89	17,46
Pindoretama (Município) (231085)	30,00	0,00	11.996,07	0,00	0,00	11.996,07	0,59
Quixadá (Município) (231130)	178,13	74,20	1.112.750,29	0,00	0,00	1.112.750,29	12,94
Quixeramobim (Município) (231140)	467,00	0,00	232.574,19	0,00	0,00	232.574,19	2,98
Russas (Município) (231180)	153,82	53,19	246.361,09	0,00	0,00	246.361,09	3,25
São Gonçalo do Amarante (Município) (231240)	151,99	68,91	26.015,56	0,00	0,00	26.015,56	0,54
Sobral (Município) (231290)	602,53	420,00	465.464,58	0,00	0,00	465.464,58	2,29
Tauá (Município) (231330)	90,40	19,09	2.961.932,36	0,00	0,00	2.961.932,36	51,14
Tianguá (Município) (231340)	185,19	70,44	1.792.195,61	0,00	0,00	1.792.195,61	24,18
Trairi (Município) (231350)	47,60	6,10	0,00	0,00	0,00	0,00	0,00
Viçosa do Ceará (Município) (231410)	50,71	15,22	8.128.884,96	0,00	0,00	8.128.884,96	136,65
Açu (Município) (240020)	149,20	0,00	6.190.000,66	0,00	0,00	6.190.000,66	107,20
Caicó (Município) (240200)	180,71	10,37	23.143.414,72	0,00	0,00	23.143.414,72	341,62
Ceará-Mirim (Município) (240260)	185,50	42,80	185.519,42	0,00	0,00	185.519,42	2,53
Parnamirim (Município) (240325)	306,49	29,22	7.141.980,51	0,00	0,00	7.141.980,51	28,73
Extremoz (Município) (240360)	-	-	-	-	-	-	-
Macaíba (Município) (240710)	191,81	21,53	2.401.363,95	0,00	0,00	2.401.363,95	30,32
Monte Alegre (Município) (240780)	77,08	3,06	243.580,09	0,00	0,00	243.580,09	10,92
Mossoró (Município) (240800)	400,09	211,67	6.374.707,66	0,00	0,00	6.374.707,66	21,84
Natal (Município) (240810)	1.611,47	869,38	106.023.512,25	0,00	0,00	106.023.512,25	120,80
Nísia Floresta (Município) (240820)	55,62	0,00	316.554,36	0,00	0,00	316.554,36	11,73
São Gonçalo do Amarante (Município) (241200)	380,00	48,00	878.734,90	0,00	0,00	878.734,90	8,81
São José de Mipibu (Município) (241220)	61,35	1,59	1.454.463,70	0,00	0,00	1.454.463,70	33,36
Vera Cruz (Município) (241480)	21,09	0,00	204.319,71	0,00	0,00	204.319,71	16,75
Alhandra (Município) (250060)	22,18	0,00	403.996,89	0,00	0,00	403.996,89	20,81
Bayeux (Município) (250180)	104,89	19,80	18.915,50	0,00	0,00	18.915,50	0,20
Caaporã (Município) (250300)	36,91	0,00	9.512,11	0,00	0,00	9.512,11	0,44
Cabedelo (Município) (250320)	77,06	8,75	1.081.860,41	0,00	0,00	1.081.860,41	16,18
Cajazeiras (Município) (250370)	168,94	23,92	147.127,37	0,00	2.547.761,05	2.694.888,42	43,60
Campina Grande (Município) (250400)	681,82	353,52	3.308.472,46	0,00	221.103,26	3.529.575,72	8,66
Conde (Município) (250460)	25,75	0,00	1.962.250,05	0,00	0,00	1.962.250,05	80,49
Cruz do Espírito Santo (Município) (250490)	18,83	0,00	1.506,42	0,00	0,00	1.506,42	0,09
Guarabira (Município) (250630)	130,70	56,35	1.398.801,76	0,00	0,00	1.398.801,76	23,90
João Pessoa (Município) (250750)	1.020,22	638,14	23.817.462,58	0,00	0,00	23.817.462,58	29,71
Lucena (Município) (250860)	19,61	0,00	1.087.801,31	0,00	0,00	1.087.801,31	83,90
Mamanguape (Município) (250890)	56,39	5,83	13.249.065,97	0,00	0,00	13.249.065,97	296,44
Patos (Município) (251080)	204,28	11,12	151.954,84	0,00	0,00	151.954,84	1,42
Pedras de Fogo (Município) (251120)	16,64	4,02	2.360,88	0,00	0,00	2.360,88	0,08
Pitimbu (Município) (251190)	6,60	0,00	1.115,66	0,00	0,00	1.115,66	0,06
Rio Tinto (Município) (251290)	44,89	0,00	1.935,89	0,00	0,00	1.935,89	0,08
Santa Rita (Município) (251370)	129,43	21,83	716.906,69	0,00	0,00	716.906,69	5,27
Sapé (Município) (251530)	88,29	17,27	8.988,13	0,00	30.657.038,65	30.666.026,78	584,53
Sousa (Município) (251620)	-	-	-	-	-	-	-
Abreu e Lima (Município) (260005)	215,39	82,10	1.886.910,58	0,00	0,00	1.886.910,58	19,06
Araçoiaba (Município) (260105)	17,63	0,00	25.961,49	0,00	0,00	25.961,49	1,30
Araripina (Município) (260110)	147,74	99,39	124.364,64	364.154,15	5.585,45	494.104,25	5,93
Arcoverde (Município) (260120)	164,03	10,66	5.396.074,03	0,00	16.756,37	5.412.830,40	73,99
Belo Jardim (Município) (260170)	227,71	0,00	5.558.281,69	0,00	6.272.821,53	11.831.103,22	156,23
Bezerros (Município) (260190)	169,94	0,00	3.893.365,13	0,00	0,00	3.893.365,13	64,39
Brejo da Madre de Deus (Município) (260260)	105,47	58,00	290.390,24	0,00	0,00	290.390,24	5,85
Buíque (Município) (260280)	50,75	0,00	883.105,36	0,00	22.341,83	905.447,19	15,85
Cabo de Santo Agostinho (Município) (260290)	467,49	49,00	9.768.456,36	0,00	0,00	9.768.456,36	48,21
Camaragibe (Município) (260345)	323,68	7,26	1.964.680,64	0,00	0,00	1.964.680,64	12,66
Carpina (Município) (260400)	193,32	0,00	278.323,60	0,00	0,00	278.323,60	3,40
Caruaru (Município) (260410)	886,40	369,17	16.175.716,87	0,00	27.289.049,97	43.464.766,84	123,59
Escada (Município) (260520)	125,64	0,00	486.229,10	0,00	0,00	486.229,10	7,17
Garanhuns (Município) (260600)	336,41	35,35	3.133.483,85	0,00	0,00	3.133.483,85	22,74
Goiana (Município) (260620)	147,34	0,00	3.508.067,56	0,00	0,00	3.508.067,56	44,44
Gravatá (Município) (260640)	323,36	6,31	10.299.487,16	0,00	0,00	10.299.487,16	124,72
Igarassu (Município) (260680)	264,33	7,25	1.666.353,86	0,00	0,00	1.666.353,86	14,62
Ipojuca (Município) (260720)	215,38	104,78	17.575.948,12	0,00	0,00	17.575.948,12	189,06
Ilha de Itamaracá (Município) (260760)	124,43	0,00	973.929,74	0,00	0,00	973.929,74	38,43
Itapissuma (Município) (260775)	40,59	5,00	555.436,94	0,00	0,00	555.436,94	21,30
Jaboatão dos Guararapes (Município) (260790)	1.130,72	227,49	29.232.601,87	0,00	103.490,48	29.336.092,35	42,45
Limoeiro (Município) (260890)	122,62	0,00	344.932,14	0,00	16.756,37	361.688,51	6,44
Moreno (Município) (260940)	136,15	75,11	3.659.625,32	0,00	0,00	3.659.625,32	59,43
Olinda (Município) (260960)	787,27	464,49	30.047.248,64	0,00	199.474,98	30.246.723,62	77,53
Ouricuri (Município) (260990)	132,86	0,00	1.714.838,66	0,00	5.585,45	1.720.424,11	25,21
Palmares (Município) (261000)	117,47	0,00	20.138,62	0,00	0,00	20.138,62	0,32
Paudalho (Município) (261060)	83,19	0,00	906.320,61	0,00	0,00	906.320,61	16,33
Paulista (Município) (261070)	1.260,57	544,39	39.867.643,20	0,00	913.002,60	40.780.645,80	125,25
Pesqueira (Município) (261090)	127,86	120,00	7.405.597,53	975.680,69	5.511.447,35	13.892.725,56	208,84
Petrolina (Município) (261110)	734,35	535,35	2.979.768,51	0,00	5.585,45	2.985.353,96	8,84
Recife (Município) (261160)	3.363,01	1.528,68	135.371.609,73	0,00	811.938,86	136.183.548,59	83,78
Salgueiro (Município) (261220)	242,05	40,49	1.674.454,72	0,00	5.585,45	1.680.040,17	27,95
Santa Cruz do Capibaribe (Município) (261250)	202,90	1.820,00	1.614.182,97	4.884.003,44	59.474.771,20	65.972.957,60	636,44
São Bento do Una (Município) (261300)	86,35	15,00	64.355,91	232.723,50	4.734.675,76	5.031.755,17	86,38
São Lourenço da Mata (Município) (261370)	220,15	24,00	27.679.874,74	0,00	0,00	27.679.874,74	248,93
Serra Talhada (Município) (261390)	204,20	33,00	298.439,44	1.186.102,87	44.683,64	1.529.225,95	18,00
Surubim (Município) (261450)	160,89	0,00	25.254.859,84	0,00	5.585,45	25.260.445,29	396,06
Timbaúba (Município) (261530)	121,47	38,00	187.081,75	1.563.235,47	0,00	1.750.317,22	32,82
Vitória de Santo Antão (Município) (261640)	301,12	99,58	392.257,23	0,00	0,00	392.257,23	2,87
Arapiraca (Município) (270030)	628,22	0,00	18.111.772,29	0,00	0,00	18.111.772,29	77,84
Barra de Santo Antônio (Município) (270050)	-	-	-	-	-	-	-
Barra de São Miguel (Município) (270060)	51,00	2,10	0,00	0,00	0,00	0,00	0,00
Campo Alegre (Município) (270140)	67,78	43,00	0,00	311.442,60	0,00	311.442,60	5,46
Coqueiro Seco (Município) (270220)	9,60	0,00	0,00	0,00	1.412.024,69	1.412.024,69	239,53
Coruripe (Município) (270230)	218,00	13,30	0,00	0,00	0,00	0,00	0,00
Delmiro Gouveia (Município) (270240)	249,00	0,00	0,00	0,00	961.358,25	961.358,25	18,38
Maceió (Município) (270430)	1.444,00	407,53	21.127.788,30	0,00	19.568.236,43	40.696.024,72	39,83
Marechal Deodoro (Município) (270470)	-	-	-	-	-	-	-
Messias (Município) (270520)	19,10	0,00	0,00	0,00	0,00	0,00	0,00
Palmeira dos Índios (Município) (270630)	287,14	4,91	381,36	0,00	0,00	381,36	0,01
Paripueira (Município) (270644)	26,60	0,00	0,00	0,00	0,00	0,00	0,00
Penedo (Município) (270670)	151,00	0,00	100.873,63	0,00	0,00	100.873,63	1,57
Pilar (Município) (270690)	47,00	0,00	0,00	0,00	0,00	0,00	0,00
Rio Largo (Município) (270770)	190,00	25,00	0,00	0,00	0,00	0,00	0,00
Santa Luzia do Norte (Município) (270790)	13,00	0,00	0,00	0,00	2.035.152,11	2.035.152,11	276,63
São Miguel dos Campos (Município) (270860)	189,00	95,26	262.526,09	0,00	0,00	262.526,09	4,29
Satuba (Município) (270890)	18,45	0,00	0,00	0,00	2.515.765,24	2.515.765,24	181,99
União dos Palmares (Município) (270930)	132,80	69,80	905.646,28	0,00	0,00	905.646,28	13,67
Aracaju (Município) (280030)	1.573,07	687,70	87.135.511,57	0,00	0,00	87.135.511,57	135,83
Barra dos Coqueiros (Município) (280060)	97,73	36,05	0,00	0,00	0,00	0,00	0,00
Estância (Município) (280210)	188,60	5,71	689.586,85	0,00	0,00	689.586,85	10,02
Itabaiana (Município) (280290)	193,40	42,00	814.076,57	0,00	0,00	814.076,57	8,62
Lagarto (Município) (280350)	445,55	25,20	22.301.008,30	0,00	0,00	22.301.008,30	216,12
Nossa Senhora do Socorro (Município) (280480)	413,43	173,09	2.710.510,68	0,00	0,00	2.710.510,68	15,09
São Cristóvão (Município) (280670)	189,92	52,91	2.846.128,40	0,00	0,00	2.846.128,40	32,30
Tobias Barreto (Município) (280740)	105,33	100,00	0,00	0,00	0,00	0,00	0,00
Alagoinhas (Município) (290070)	614,00	70,00	3.455.846,68	0,00	0,00	3.455.846,68	22,24
Araci (Município) (290210)	56,16	1.577,74	306.462,55	0,00	0,00	306.462,55	5,51
Barra (Município) (290270)	-	-	-	-	-	-	-
Barreiras (Município) (290320)	647,27	256,65	29.240.547,49	0,00	568.749,60	29.809.297,09	191,68
Bom Jesus da Lapa (Município) (290390)	185,00	165,00	270.944,94	0,00	0,00	270.944,94	3,87
Brumado (Município) (290460)	380,36	9,10	398.244,07	0,00	71.814,08	470.058,15	6,77
Caetité (Município) (290520)	156,12	0,00	3.366.711,09	0,00	0,00	3.366.711,09	63,89
Camaçari (Município) (290570)	1.069,92	138,96	39.760.432,10	0,00	0,00	39.760.432,10	136,13
Campo Formoso (Município) (290600)	51,25	7,41	166.915,24	0,00	0,00	166.915,24	2,28
Candeias (Município) (290650)	166,77	53,87	13.119.757,15	0,00	16.029,04	13.135.786,19	147,15
Casa Nova (Município) (290720)	240,80	86,40	172.223,99	452.087,99	233.578,79	857.890,77	11,78
Catu (Município) (290750)	176,68	0,00	100.238,53	0,00	0,00	100.238,53	1,79
Conceição do Coité (Município) (290840)	156,90	5,31	181.616,19	0,00	0,00	181.616,19	2,68
Cruz das Almas (Município) (290980)	325,39	143,00	2.046.278,48	0,00	0,00	2.046.278,48	31,70
Dias d'Ávila (Município) (291005)	211,22	75,08	1.633.804,55	0,00	0,00	1.633.804,55	20,58
Euclides da Cunha (Município) (291070)	449,21	37,50	181.844,67	0,00	0,00	181.844,67	2,95
Eunápolis (Município) (291072)	315,97	13,33	338.202,35	0,00	0,00	338.202,35	2,96
Feira de Santana (Município) (291080)	2.205,65	596,85	39.180.377,91	0,00	849.759,39	40.030.137,30	64,29
Guanambi (Município) (291170)	671,40	211,86	4.141.767,23	0,00	0,00	4.141.767,23	47,98
Ilhéus (Município) (291360)	596,56	137,26	3.467.547,42	0,00	51.048,23	3.518.595,65	19,74
Ipirá (Município) (291400)	133,85	10,50	3.432.525,53	0,00	0,00	3.432.525,53	54,75
Irecê (Município) (291460)	413,95	18,88	1.741.553,46	0,00	0,00	1.741.553,46	23,56
Itaberaba (Município) (291470)	236,63	17,30	805.319,03	0,00	53.615,20	858.934,24	12,90
Itabuna (Município) (291480)	434,00	339,00	8.914,74	0,00	0,00	8.914,74	0,04
Itamaraju (Município) (291560)	170,73	161,00	1.471.331,62	0,00	0,00	1.471.331,62	21,86
Itaparica (Município) (291610)	427,22	89,64	787.200,39	0,00	0,00	787.200,39	34,61
