Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Viseu (Município) (150830)	58.694	58.694	19.039	4.915,070	58.694	19.039	100,0%	100,0%
Macapá (Município) (160030)	446.757	446.757	427.695	6.503,460	422.023	402.961	94,2%	94,5%
Santana (Município) (160060)	110.565	110.565	108.216	1.541,220	109.195	106.846	98,7%	98,8%
Araguaína (Município) (170210)	167.176	167.176	158.779	4.000,420	147.350	138.953	87,5%	88,1%
Gurupi (Município) (170950)	82.762	82.762	80.870	1.836,090	71.766	69.874	86,4%	86,7%
Paraíso do Tocantins (Município) (171610)	48.409	48.409	46.290	1.268,060	42.858	40.739	88,0%	88,5%
Porto Nacional (Município) (171820)	51.846	51.846	44.766	4.449,920	19.567	12.487	27,9%	37,7%
Palmas (Município) (172100)	265.409	265.409	257.749	2.218,940	111.292	103.632	40,2%	41,9%
Açailândia (Município) (210005)	108.765	108.765	81.785	5.806,440	108.765	81.785	100,0%	100,0%
Alcântara (Município) (210020)	21.652	21.652	6.341	1.457,920	21.652	6.341	100,0%	100,0%
Bacabal (Município) (210120)	102.265	102.265	79.612	1.683,070	94.624	71.971	90,4%	92,5%
Balsas (Município) (210140)	90.679	90.679	79.001	13.141,760	90.679	79.001	100,0%	100,0%
Barra do Corda (Município) (210160)	85.603	85.603	53.377	5.190,340	85.603	53.377	100,0%	100,0%
Barreirinhas (Município) (210170)	59.623	59.623	23.937	3.026,540	58.220	22.534	94,1%	97,6%
Buriticupu (Município) (210232)	69.548	69.548	38.154	2.545,440	69.548	38.154	100,0%	100,0%
Caxias (Município) (210300)	160.291	160.291	122.478	5.196,770	157.835	120.022	98,0%	98,5%
Chapadinha (Município) (210320)	76.972	76.972	55.493	3.247,390	76.972	55.493	100,0%	100,0%
Codó (Município) (210330)	119.962	119.962	82.366	4.361,340	110.032	72.436	87,9%	91,7%
Coroatá (Município) (210360)	63.497	63.497	44.293	2.263,770	63.497	44.293	100,0%	100,0%
Grajaú (Município) (210480)	66.732	66.013	39.379	8.863,570	66.013	39.379	100,0%	100,0%
Imperatriz (Município) (210530)	252.320	252.320	239.110	1.368,990	188.870	175.660	73,5%	74,9%
Itapecuru Mirim (Município) (210540)	65.713	65.713	36.679	1.471,440	65.713	36.679	100,0%	100,0%
Paço do Lumiar (Município) (210750)	115.693	115.693	86.737	125,260	115.693	86.737	100,0%	100,0%
Pinheiro (Município) (210860)	80.917	80.917	48.126	1.512,970	80.917	48.126	100,0%	100,0%
Raposa (Município) (210945)	29.167	29.167	18.474	66,400	-	-	-	-
Santa Inês (Município) (210990)	82.680	82.680	78.310	786,690	82.680	78.310	100,0%	100,0%
Santa Luzia (Município) (211000)	75.762	75.762	26.388	4.837,040	75.762	26.388	100,0%	100,0%
São José de Ribamar (Município) (211120)	172.402	172.402	39.873	385,780	-	-	-	-
São Luís (Município) (211130)	1.064.197	1.064.197	1.005.143	834,830	579.462	520.408	51,8%	54,5%
Timon (Município) (211220)	163.342	163.342	141.984	1.764,610	163.342	141.984	100,0%	100,0%
Tutóia (Município) (211250)	56.501	56.501	19.994	1.651,650	56.501	19.994	100,0%	100,0%
Vargem Grande (Município) (211270)	53.918	53.918	29.121	1.957,750	53.918	29.121	100,0%	100,0%
Viana (Município) (211280)	50.976	50.976	27.720	1.168,440	50.976	27.720	100,0%	100,0%
Zé Doca (Município) (211400)	50.190	50.190	30.874	2.140,110	50.190	30.874	100,0%	100,0%
Altos (Município) (220040)	39.625	39.625	27.954	957,650	37.586	25.915	92,7%	94,9%
Beneditinos (Município) (220160)	10.021	10.021	6.330	788,580	10.021	6.330	100,0%	100,0%
Coivaras (Município) (220273)	3.916	3.916	1.205	485,500	3.916	1.205	100,0%	100,0%
Curralinhos (Município) (220325)	4.318	4.318	1.374	345,850	-	-	-	-
Demerval Lobão (Município) (220330)	13.526	13.526	11.076	216,810	13.526	11.076	100,0%	100,0%
Floriano (Município) (220390)	58.702	58.702	50.847	3.409,650	58.702	50.847	100,0%	100,0%
José de Freitas (Município) (220550)	38.169	38.169	22.232	1.538,170	38.169	22.232	100,0%	100,0%
Lagoa Alegre (Município) (220555)	8.290	8.290	3.149	394,660	8.290	3.149	100,0%	100,0%
Lagoa do Piauí (Município) (220558)	3.963	3.963	1.715	426,630	3.963	1.715	100,0%	100,0%
Miguel Leão (Município) (220630)	1.239	1.239	852	93,520	1.239	852	100,0%	100,0%
Monsenhor Gil (Município) (220640)	10.410	10.410	5.349	582,550	10.410	5.349	100,0%	100,0%
Nazária (Município) (220672)	8.330	8.330	1.706	363,590	8.330	1.706	100,0%	100,0%
Parnaíba (Município) (220770)	149.348	149.348	140.922	434,230	115.935	107.509	76,3%	77,6%
Pau D'Arco do Piauí (Município) (220779)	3.914	3.914	579	430,820	-	-	-	-
Picos (Município) (220800)	76.309	76.309	60.606	577,300	57.146	41.443	68,4%	74,9%
Piripiri (Município) (220840)	62.600	62.600	45.092	1.408,930	62.600	45.092	100,0%	100,0%
Teresina (Município) (221100)	840.600	840.600	792.415	1.391,980	679.909	631.724	79,7%	80,9%
União (Município) (221110)	43.511	43.511	21.386	1.173,450	43.511	21.386	100,0%	100,0%
Acaraú (Município) (230020)	60.684	60.684	29.779	842,560	58.277	27.372	91,9%	96,0%
Acopiara (Município) (230030)	52.903	52.903	26.088	2.265,350	48.984	22.169	85,0%	92,6%
Aquiraz (Município) (230100)	76.967	76.967	71.091	481,600	65.572	59.696	84,0%	85,2%
Aracati (Município) (230110)	72.248	72.248	46.002	1.228,060	62.870	36.624	79,6%	87,0%
Barbalha (Município) (230190)	58.347	58.347	40.100	569,510	54.453	36.206	90,3%	93,3%
Beberibe (Município) (230220)	51.885	51.885	22.739	1.623,880	48.716	19.570	86,1%	93,9%
Boa Viagem (Município) (230240)	53.725	53.725	27.226	2.836,780	35.875	9.376	34,4%	66,8%
Camocim (Município) (230260)	62.201	62.201	46.174	1.124,780	45.919	29.892	64,7%	73,8%
Canindé (Município) (230280)	76.724	76.724	48.292	3.218,480	66.776	38.344	79,4%	87,0%
Cascavel (Município) (230350)	69.498	69.498	59.006	835,000	68.346	57.854	98,0%	98,3%
Caucaia (Município) (230370)	349.526	349.526	311.698	1.228,510	240.833	203.005	65,1%	68,9%
Chorozinho (Município) (230395)	19.189	19.189	11.592	278,410	7.599	2	0,0%	39,6%
Crateús (Município) (230410)	74.188	74.188	53.639	2.985,150	54.846	34.297	63,9%	73,9%
Crato (Município) (230420)	127.657	127.657	106.093	1.176,470	63.537	64.198	60,5%	49,8%
Eusébio (Município) (230428)	50.308	50.308	50.308	79,010	46.283	46.283	92,0%	92,0%
Fortaleza (Município) (230440)	2.571.896	2.571.896	2.571.896	314,930	1.350.155	1.350.155	52,5%	52,5%
Granja (Município) (230470)	53.682	53.682	26.402	2.663,030	52.682	26.402	100,0%	98,1%
Guaiúba (Município) (230495)	25.581	25.581	20.045	267,130	23.385	17.849	89,0%	91,4%
Horizonte (Município) (230523)	62.002	62.002	57.353	160,760	57.262	52.613	91,7%	92,4%
Icó (Município) (230540)	67.045	67.045	31.203	1.872,000	49.270	13.428	43,0%	73,5%
Iguatu (Município) (230550)	100.733	100.733	77.905	1.029,210	85.346	62.518	80,2%	84,7%
Itaitinga (Município) (230625)	38.131	38.131	37.863	151,630	37.413	37.145	98,1%	98,1%
Itapajé (Município) (230630)	50.671	50.671	35.622	430,570	48.821	33.772	94,8%	96,3%
Itapipoca (Município) (230640)	123.613	123.613	71.260	1.614,160	94.880	42.527	59,7%	76,8%
Juazeiro do Norte (Município) (230730)	263.704	263.704	253.353	248,830	208.050	197.699	78,0%	78,9%
Limoeiro do Norte (Município) (230760)	57.782	57.782	33.359	750,070	48.039	23.616	70,8%	83,1%
Maracanaú (Município) (230765)	219.749	219.749	218.242	106,650	156.594	155.087	71,1%	71,3%
Maranguape (Município) (230770)	122.020	122.020	92.738	590,870	119.056	89.774	96,8%	97,6%
Morada Nova (Município) (230870)	62.091	62.091	35.416	2.778,580	60.481	33.806	95,5%	97,4%
Pacajus (Município) (230960)	67.678	67.678	55.461	254,640	65.747	53.530	96,5%	97,1%
Pacatuba (Município) (230970)	79.077	79.077	67.916	131,990	43.597	32.436	47,8%	55,1%
Pindoretama (Município) (231085)	19.975	19.975	12.060	75,140	19.975	12.060	100,0%	100,0%
Quixadá (Município) (231130)	84.684	84.684	60.395	2.019,830	75.176	50.887	84,3%	88,8%
Quixeramobim (Município) (231140)	76.386	76.386	46.142	3.275,630	76.386	46.142	100,0%	100,0%
Russas (Município) (231180)	74.243	74.243	47.791	1.590,260	63.023	36.571	76,5%	84,9%
São Gonçalo do Amarante (Município) (231240)	46.783	46.783	30.418	834,450	41.877	25.512	83,9%	89,5%
Sobral (Município) (231290)	199.750	199.750	176.486	2.122,900	23.228	15.394	8,7%	11,6%
Tauá (Município) (231330)	57.478	57.478	33.279	4.018,160	54.519	30.320	91,1%	94,9%
Tianguá (Município) (231340)	72.803	72.803	48.420	908,890	60.223	35.840	74,0%	82,7%
Trairi (Município) (231350)	53.998	53.998	19.725	925,720	52.843	18.570	94,1%	97,9%
Viçosa do Ceará (Município) (231410)	58.332	58.332	18.922	1.311,630	55.622	16.212	85,7%	95,4%
Açu (Município) (240020)	56.829	56.829	42.023	1.303,440	56.829	42.023	100,0%	100,0%
Caicó (Município) (240200)	66.759	66.759	61.172	1.228,580	61.099	55.516	90,8%	91,5%
Ceará-Mirim (Município) (240260)	72.374	72.374	37.699	724,380	49.573	16.034	42,5%	68,5%
Parnamirim (Município) (240325)	235.983	235.983	235.983	123,470	230.038	230.038	97,5%	97,5%
Extremoz (Município) (240360)	27.107	27.107	17.398	139,580	-	-	-	-
Macaíba (Município) (240710)	76.801	76.801	47.132	510,770	75.780	46.111	97,8%	98,7%
Monte Alegre (Município) (240780)	21.996	21.996	9.573	210,920	20.764	8.341	87,1%	94,4%
Mossoró (Município) (240800)	284.288	284.288	259.588	2.099,330	156.583	131.883	50,8%	55,1%
Natal (Município) (240810)	862.044	862.044	862.044	167,260	557.227	557.227	64,6%	64,6%
Nísia Floresta (Município) (240820)	26.208	26.208	10.336	307,840	26.208	10.336	100,0%	100,0%
São Gonçalo do Amarante (Município) (241200)	96.759	96.759	81.783	249,120	76.204	61.228	74,9%	78,8%
São José de Mipibu (Município) (241220)	42.773	42.773	19.606	290,330	42.499	19.332	98,6%	99,4%
Vera Cruz (Município) (241480)	11.832	11.832	5.183	83,890	11.832	5.183	100,0%	100,0%
Alhandra (Município) (250060)	19.057	19.057	11.803	182,660	19.057	11.803	100,0%	100,0%
Bayeux (Município) (250180)	95.677	95.677	94.791	27,540	87.030	86.144	90,9%	91,0%
Caaporã (Município) (250300)	21.387	21.387	18.431	150,170	21.387	18.431	100,0%	100,0%
Cabedelo (Município) (250320)	64.360	64.360	64.351	31,920	51.868	51.859	80,6%	80,6%
Cajazeiras (Município) (250370)	61.030	61.030	49.601	565,900	51.966	40.537	81,7%	85,1%
Campina Grande (Município) (250400)	402.912	402.912	384.081	593,030	66.658	47.827	12,5%	16,5%
Conde (Município) (250460)	23.554	23.554	15.945	172,950	23.554	15.945	100,0%	100,0%
Cruz do Espírito Santo (Município) (250490)	17.028	17.028	7.793	191,100	17.028	7.793	100,0%	100,0%
Guarabira (Município) (250630)	57.780	57.780	51.132	165,740	25.340	18.692	36,6%	43,9%
João Pessoa (Município) (250750)	780.738	780.738	777.792	211,480	220.486	217.540	28,0%	28,2%
Lucena (Município) (250860)	12.635	12.635	10.935	88,550	12.635	10.935	100,0%	100,0%
Mamanguape (Município) (250890)	44.030	44.030	35.632	340,480	41.244	32.846	92,2%	93,7%
Patos (Município) (251080)	105.531	105.531	101.971	473,060	98.981	95.421	93,6%	93,8%
Pedras de Fogo (Município) (251120)	28.174	28.174	17.049	404,880	26.585	15.460	90,7%	94,4%
Pitimbu (Município) (251190)	18.422	18.422	11.237	136,440	18.422	11.237	100,0%	100,0%
Rio Tinto (Município) (251290)	23.955	23.955	13.613	465,670	23.955	13.613	100,0%	100,0%
Santa Rita (Município) (251370)	133.927	133.927	115.456	730,210	128.900	110.429	95,6%	96,2%
Sapé (Município) (251530)	51.964	51.964	39.526	315,530	41.065	28.627	72,4%	79,0%
Sousa (Município) (251620)	68.434	68.434	53.955	738,550	39.715	27.136	50,3%	58,0%
Abreu e Lima (Município) (260005)	98.201	98.201	90.085	126,190	76.651	68.535	76,1%	78,1%
Araçoiaba (Município) (260105)	19.579	19.579	16.465	96,380	19.579	16.465	100,0%	100,0%
Araripina (Município) (260110)	82.298	82.298	49.940	2.037,390	47.367	15.009	30,1%	57,6%
Arcoverde (Município) (260120)	72.672	72.672	66.202	323,370	69.071	62.601	94,6%	95,0%
Belo Jardim (Município) (260170)	75.186	75.186	60.447	647,700	22.557	12.050	19,9%	30,0%
Bezerros (Município) (260190)	60.301	60.301	51.124	490,820	60.301	51.124	100,0%	100,0%
Brejo da Madre de Deus (Município) (260260)	48.541	48.541	37.737	762,350	28.541	17.737	47,0%	58,8%
Buíque (Município) (260280)	55.905	55.905	22.741	1.320,870	55.905	22.741	100,0%	100,0%
Cabo de Santo Agostinho (Município) (260290)	198.383	198.383	179.896	448,740	176.259	157.772	87,7%	88,8%
Camaragibe (Município) (260345)	152.840	152.840	152.840	51,260	150.378	150.378	98,4%	98,4%
Carpina (Município) (260400)	80.194	80.194	77.192	147,670	80.194	77.192	100,0%	100,0%
Caruaru (Município) (260410)	342.328	342.328	303.930	920,610	193.848	155.450	51,1%	56,6%
Escada (Município) (260520)	66.907	66.907	56.844	342,200	66.907	56.844	100,0%	100,0%
Garanhuns (Município) (260600)	136.057	136.057	121.283	458,550	123.150	108.376	89,4%	90,5%
Goiana (Município) (260620)	78.287	78.287	60.052	445,810	78.287	60.052	100,0%	100,0%
Gravatá (Município) (260640)	81.182	81.182	72.610	506,790	79.699	71.127	98,0%	98,2%
Igarassu (Município) (260680)	110.917	110.917	102.122	305,560	109.328	100.533	98,4%	98,6%
Ipojuca (Município) (260720)	89.660	89.660	66.401	527,110	79.783	56.524	85,1%	89,0%
Ilha de Itamaracá (Município) (260760)	24.413	24.413	18.957	66,680	24.413	18.957	100,0%	100,0%
Itapissuma (Município) (260775)	25.514	25.514	19.665	74,240	22.514	16.665	84,7%	88,2%
Jaboatão dos Guararapes (Município) (260790)	680.943	680.943	666.128	258,690	636.076	621.261	93,3%	93,4%
Limoeiro (Município) (260890)	56.336	56.336	45.281	273,740	56.336	45.281	100,0%	100,0%
Moreno (Município) (260940)	60.435	60.435	53.507	196,070	45.577	38.649	72,2%	75,4%
Olinda (Município) (260960)	388.821	388.821	381.156	41,680	257.829	250.164	65,6%	66,3%
Ouricuri (Município) (260990)	67.098	67.098	33.984	2.381,580	67.098	33.984	100,0%	100,0%
Palmares (Município) (261000)	62.020	62.020	48.850	339,290	62.020	48.850	100,0%	100,0%
Paudalho (Município) (261060)	54.547	54.547	38.589	274,780	54.547	38.589	100,0%	100,0%
Paulista (Município) (261070)	319.769	319.769	319.769	97,310	199.801	199.801	62,5%	62,5%
Pesqueira (Município) (261090)	65.770	65.770	47.162	980,880	13.170	14.262	30,2%	20,0%
Petrolina (Município) (261110)	326.017	326.017	243.119	4.561,870	131.050	48.152	19,8%	40,2%
Recife (Município) (261160)	1.608.488	1.608.488	1.608.488	218,440	986.240	986.240	61,3%	61,3%
Salgueiro (Município) (261220)	59.409	59.409	47.957	1.686,810	44.383	32.931	68,7%	74,7%
Santa Cruz do Capibaribe (Município) (261250)	99.232	99.232	96.980	335,310	29.832	27.580	28,4%	30,1%
São Bento do Una (Município) (261300)	57.046	57.046	29.892	719,150	57.046	29.892	100,0%	100,0%
São Lourenço da Mata (Município) (261370)	109.298	109.298	102.799	262,110	99.912	93.413	90,9%	91,4%
Serra Talhada (Município) (261390)	83.712	83.712	64.740	2.980,010	18.474	512	0,8%	22,1%
Surubim (Município) (261450)	62.530	62.530	47.058	252,860	62.530	47.058	100,0%	100,0%
Timbaúba (Município) (261530)	53.844	53.844	46.383	292,990	53.844	46.383	100,0%	100,0%
Vitória de Santo Antão (Município) (261640)	134.871	134.871	117.703	335,940	97.310	80.142	68,1%	72,2%
Arapiraca (Município) (270030)	229.329	229.329	194.475	345,660	159.329	160.475	82,5%	69,5%
Barra de Santo Antônio (Município) (270050)	15.565	15.565	14.484	131,630	-	-	-	-
Barra de São Miguel (Município) (270060)	8.191	8.191	7.052	76,620	8.191	7.052	100,0%	100,0%
Campo Alegre (Município) (270140)	55.814	55.814	24.341	312,710	44.238	12.765	52,4%	79,3%
Coqueiro Seco (Município) (270220)	5.844	5.844	5.259	39,610	5.844	5.259	100,0%	100,0%
Coruripe (Município) (270230)	56.153	56.153	49.596	898,630	48.256	41.699	84,1%	85,9%
Delmiro Gouveia (Município) (270240)	51.349	51.349	37.211	626,690	11.349	1.211	3,3%	22,1%
Maceió (Município) (270430)	1.005.319	1.005.319	1.004.652	509,550	631.582	630.915	62,8%	62,8%
Marechal Deodoro (Município) (270470)	50.512	50.512	47.672	332,140	36.628	33.788	70,9%	72,5%
Messias (Município) (270520)	17.350	17.350	15.780	114,160	5.350	3.780	24,0%	30,8%
Palmeira dos Índios (Município) (270630)	73.725	73.725	54.072	450,960	71.246	51.593	95,4%	96,6%
Paripueira (Município) (270644)	12.687	12.687	11.236	92,850	12.687	11.236	100,0%	100,0%
Penedo (Município) (270670)	63.842	63.842	47.603	689,880	63.842	47.603	100,0%	100,0%
Pilar (Município) (270690)	35.153	35.153	33.566	251,070	31.153	29.566	88,1%	88,6%
Rio Largo (Município) (270770)	75.267	75.267	61.491	293,820	75.267	61.491	100,0%	100,0%
Santa Luzia do Norte (Município) (270790)	7.292	7.292	6.531	28,860	7.292	6.531	100,0%	100,0%
São Miguel dos Campos (Município) (270860)	59.830	59.830	57.625	360,880	0	0	0,0%	0,0%
Satuba (Município) (270890)	13.241	13.241	11.599	41,270	13.241	11.599	100,0%	100,0%
União dos Palmares (Município) (270930)	65.764	65.764	50.254	420,720	26.912	11.838	23,6%	40,9%
Aracaju (Município) (280030)	623.766	623.766	623.766	181,860	395.841	395.841	63,5%	63,5%
Barra dos Coqueiros (Município) (280060)	28.093	28.093	23.493	89,600	11.965	7.365	31,3%	42,6%
Estância (Município) (280210)	67.953	67.953	57.773	644,490	66.917	56.737	98,2%	98,5%
Itabaiana (Município) (280290)	92.732	92.732	72.197	337,300	92.732	72.197	100,0%	100,0%
Lagarto (Município) (280350)	101.305	101.305	52.187	968,920	98.347	49.229	94,3%	97,1%
Nossa Senhora do Socorro (Município) (280480)	174.974	174.974	169.530	155,020	124.366	118.922	70,1%	71,1%
São Cristóvão (Município) (280670)	85.814	85.814	72.540	438,040	62.471	49.197	67,8%	72,8%
Tobias Barreto (Município) (280740)	50.971	50.971	34.194	1.024,190	50.971	34.194	100,0%	100,0%
Alagoinhas (Município) (290070)	153.560	153.560	134.188	707,560	123.972	108.225	80,7%	80,7%
Araci (Município) (290210)	56.023	56.023	21.300	1.495,550	28.501	9.243	43,4%	50,9%
Barra (Município) (290270)	53.786	53.786	24.476	11.422,540	53.786	24.476	100,0%	100,0%
Barreiras (Município) (290320)	152.208	152.208	137.050	7.861,760	120.196	105.038	76,6%	79,0%
Bom Jesus da Lapa (Município) (290390)	68.922	68.922	46.794	4.115,510	31.922	10.794	23,1%	46,3%
Brumado (Município) (290460)	69.022	69.022	48.219	2.207,610	66.429	45.626	94,6%	96,2%
Caetité (Município) (290520)	52.353	52.353	31.343	2.651,540	52.353	31.343	100,0%	100,0%
Camaçari (Município) (290570)	281.413	281.413	268.676	784,660	203.699	190.962	71,1%	72,4%
Campo Formoso (Município) (290600)	71.900	71.900	26.835	7.161,830	70.188	25.123	93,6%	97,6%
Candeias (Município) (290650)	88.308	88.308	80.700	251,630	58.480	50.872	63,0%	66,2%
