Localidade	"Taxa de incidência de internações de  doenças gastrointestinais infecciosas
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  febre amarela
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  dengue
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  leptospirose
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  malária
(Internações por 10 mil habitantes) (DATASUS)"	"Taxa de incidência de internações de  esquistossomose
(Internações por 10 mil habitantes) (DATASUS)"	"Internações por doenças respiratórias: gripes e pneumonias
(Número de internações) (DATASUS)"	"Incidência de internações por doenças respiratórias: gripes e pneumonias
(Internações por 10 mil habitantes) (DATASUS)"
Juruti (Município) (150390)	1,41	0,00	0,00	0,00	0,00	0,00	42	7,38
Marabá (Município) (150420)	3,27	0,00	0,00	0,00	0,00	0,00	637	23,16
Marituba (Município) (150442)	18,95	0,00	2,17	0,77	0,08	0,00	544	42,07
Moju (Município) (150470)	15,43	0,00	1,11	0,00	0,25	0,00	214	26,42
Monte Alegre (Município) (150480)	13,47	0,00	0,17	0,00	0,00	0,00	180	31,09
Novo Repartimento (Município) (150506)	25,47	0,00	2,55	0,00	0,54	0,00	348	46,65
Óbidos (Município) (150510)	102,57	0,00	0,19	0,00	0,38	0,00	443	85,25
Oriximiná (Município) (150530)	21,48	0,00	0,69	0,14	1,66	0,00	293	40,60
Paragominas (Município) (150550)	4,65	0,00	0,45	0,00	0,00	0,00	367	32,84
Parauapebas (Município) (150553)	7,34	0,00	0,54	0,05	0,15	0,00	397	19,57
Portel (Município) (150580)	10,14	0,00	0,00	0,00	0,33	0,00	107	17,50
Redenção (Município) (150613)	11,91	0,00	2,98	0,00	0,00	0,00	440	52,38
Rondon do Pará (Município) (150618)	162,80	0,00	2,31	0,00	0,00	0,00	200	38,53
Santa Bárbara do Pará (Município) (150635)	4,83	0,00	0,00	0,00	0,00	0,00	23	11,11
Santa Izabel do Pará (Município) (150650)	9,03	0,00	0,57	0,57	0,14	0,00	138	19,79
Santana do Araguaia (Município) (150670)	18,54	0,00	0,56	0,00	0,00	0,00	141	19,81
Santarém (Município) (150680)	3,90	0,00	0,03	0,03	0,43	0,00	692	22,86
São Félix do Xingu (Município) (150730)	16,03	0,00	0,72	0,00	0,00	0,00	486	38,95
São Miguel do Guamá (Município) (150760)	8,40	0,00	0,17	0,17	0,00	0,00	161	27,60
Tailândia (Município) (150795)	6,75	0,00	0,39	0,00	0,39	0,00	243	23,44
Tomé-Açu (Município) (150800)	45,82	0,00	0,48	0,00	0,00	0,00	230	36,59
Tucuruí (Município) (150810)	1,34	0,00	0,00	0,00	0,27	0,00	135	12,04
Ulianópolis (Município) (150812)	78,43	0,00	2,43	0,00	0,00	0,00	360	62,47
Vigia (Município) (150820)	37,04	0,00	0,56	0,94	0,00	0,00	46	8,65
Viseu (Município) (150830)	109,26	0,00	9,01	0,00	0,00	0,16	426	69,78
Macapá (Município) (160030)	3,91	0,00	0,36	0,38	1,72	0,00	1.538	31,16
Santana (Município) (160060)	8,53	0,00	0,42	1,17	0,92	0,00	672	56,18
Araguaína (Município) (170210)	7,89	0,00	0,34	0,17	0,17	0,00	525	29,57
Gurupi (Município) (170950)	4,08	0,00	0,00	0,12	0,23	0,00	197	22,98
Paraíso do Tocantins (Município) (171610)	4,35	0,00	0,79	0,00	0,00	0,00	221	43,67
Porto Nacional (Município) (171820)	21,82	0,00	6,64	0,00	0,19	0,00	333	63,19
Palmas (Município) (172100)	5,24	0,00	0,69	0,03	0,03	0,00	377	12,92
Açailândia (Município) (210005)	21,56	0,00	0,27	0,00	0,00	0,00	392	35,08
Alcântara (Município) (210020)	15,85	0,00	0,45	0,00	0,00	0,00	19	8,60
Bacabal (Município) (210120)	19,21	0,00	0,10	0,00	0,38	0,00	518	49,51
Balsas (Município) (210140)	13,96	0,00	0,32	0,00	0,21	0,11	255	27,18
Barra do Corda (Município) (210160)	15,83	0,00	0,23	0,00	0,11	0,00	342	38,95
Barreirinhas (Município) (210170)	7,12	0,00	0,00	0,00	0,00	0,00	172	27,82
Buriticupu (Município) (210232)	93,41	0,00	1,81	0,00	0,14	0,00	217	30,26
Caxias (Município) (210300)	11,02	0,00	0,00	0,00	0,00	0,00	679	41,35
Chapadinha (Município) (210320)	19,33	0,00	0,00	0,00	0,00	0,00	142	17,94
Codó (Município) (210330)	13,30	0,00	0,16	0,00	0,00	0,00	573	46,74
Coroatá (Município) (210360)	1,84	0,00	0,15	0,00	0,00	0,00	61	9,38
Grajaú (Município) (210480)	59,24	0,00	0,44	0,00	0,29	0,00	259	37,60
Imperatriz (Município) (210530)	11,32	0,00	0,27	0,00	0,16	0,00	667	25,85
Itapecuru Mirim (Município) (210540)	20,10	0,00	0,00	0,00	0,15	0,00	236	34,87
Paço do Lumiar (Município) (210750)	5,14	0,00	0,00	0,00	0,08	0,00	214	17,74
Pinheiro (Município) (210860)	20,60	0,00	0,84	0,00	0,00	0,00	410	49,40
Raposa (Município) (210945)	16,81	0,00	0,00	0,00	0,00	0,00	55	18,13
Santa Inês (Município) (210990)	35,22	0,00	0,11	0,00	0,00	0,00	567	64,00
Santa Luzia (Município) (211000)	35,62	0,00	0,00	0,00	0,00	0,00	235	32,44
São José de Ribamar (Município) (211120)	6,47	0,00	0,11	0,00	0,11	0,00	372	21,10
São Luís (Município) (211130)	3,49	0,00	0,05	0,03	0,03	0,02	1.431	13,07
Timon (Município) (211220)	10,00	0,00	0,18	0,00	0,06	0,00	597	35,54
Tutóia (Município) (211250)	56,76	0,00	0,34	0,00	0,00	0,00	104	17,84
Vargem Grande (Município) (211270)	45,84	0,00	0,18	0,00	0,00	0,00	152	27,22
Viana (Município) (211280)	26,42	0,00	0,00	0,19	0,00	0,00	129	24,70
Zé Doca (Município) (211400)	39,05	0,00	0,78	0,19	0,78	0,00	487	94,62
Altos (Município) (220040)	43,52	0,00	0,49	0,00	0,00	0,00	212	52,42
Beneditinos (Município) (220160)	24,85	0,00	0,00	0,00	0,00	0,00	36	34,41
Coivaras (Município) (220273)	34,94	0,00	0,00	0,00	0,00	0,00	10	24,96
Curralinhos (Município) (220325)	0,00	0,00	0,00	0,00	0,00	0,00	2	4,52
Demerval Lobão (Município) (220330)	2,90	0,00	0,00	0,00	0,00	0,00	60	43,50
Floriano (Município) (220390)	27,24	0,00	3,18	0,00	0,00	0,00	162	27,07
José de Freitas (Município) (220550)	19,20	0,00	0,00	0,00	0,00	0,00	267	68,34
Lagoa Alegre (Município) (220555)	1,18	0,00	0,00	0,00	0,00	0,00	17	19,99
Lagoa do Piauí (Município) (220558)	4,94	0,00	0,00	0,00	2,47	0,00	8	19,74
Miguel Leão (Município) (220630)	0,00	0,00	0,00	0,00	0,00	0,00	1	8,00
Monsenhor Gil (Município) (220640)	0,00	0,00	0,00	0,00	0,00	0,00	18	17,04
Nazária (Município) (220672)	2,34	0,00	0,00	0,00	0,00	0,00	21	24,60
Parnaíba (Município) (220770)	31,84	0,00	0,46	0,00	0,00	0,00	560	36,68
Pau D'Arco do Piauí (Município) (220779)	17,40	0,00	0,00	0,00	0,00	0,00	13	32,31
Picos (Município) (220800)	14,36	0,00	0,00	0,00	0,00	0,00	152	19,49
Piripiri (Município) (220840)	1,10	0,00	0,00	0,00	0,00	0,00	165	25,91
Teresina (Município) (221100)	5,90	0,00	0,44	0,00	0,01	0,01	2.858	33,18
União (Município) (221110)	27,93	0,00	0,00	0,00	0,00	0,00	254	57,21
Acaraú (Município) (230020)	19,50	0,00	0,16	0,00	0,00	0,00	231	36,93
Acopiara (Município) (230030)	9,83	0,00	0,00	0,00	0,00	0,00	92	17,06
Aquiraz (Município) (230100)	4,02	0,00	0,13	0,00	0,00	0,00	213	26,77
Aracati (Município) (230110)	2,43	0,00	0,13	0,00	0,00	0,00	201	27,13
Barbalha (Município) (230190)	12,80	0,00	0,00	0,00	0,00	0,00	247	41,06
Beberibe (Município) (230220)	3,74	0,00	0,19	0,00	0,00	0,00	130	24,33
Boa Viagem (Município) (230240)	3,12	0,00	0,00	0,00	0,00	0,00	187	34,35
Camocim (Município) (230260)	54,09	0,00	0,00	0,00	0,00	0,00	339	53,46
Canindé (Município) (230280)	16,66	0,00	0,38	0,00	0,00	0,00	290	37,16
Cascavel (Município) (230350)	4,90	0,00	0,14	0,00	0,00	0,00	293	40,98
Caucaia (Município) (230370)	11,65	0,00	0,58	0,08	0,00	0,00	901	24,75
Chorozinho (Município) (230395)	9,82	0,00	0,52	0,00	0,00	0,00	35	18,09
Crateús (Município) (230410)	30,27	0,00	0,40	0,00	0,13	0,13	816	108,83
Crato (Município) (230420)	6,62	0,00	0,08	0,08	0,00	0,00	378	28,77
Eusébio (Município) (230428)	5,30	0,00	0,19	0,00	0,00	0,00	112	21,18
Fortaleza (Município) (230440)	14,37	0,00	0,91	0,08	0,01	0,00	7.421	28,08
Granja (Município) (230470)	3,65	0,00	0,18	0,00	0,00	0,00	165	30,15
Guaiúba (Município) (230495)	5,29	0,00	0,00	0,00	0,00	0,00	58	21,91
Horizonte (Município) (230523)	3,48	0,00	0,30	0,15	0,00	0,00	173	26,17
Icó (Município) (230540)	12,65	0,00	4,27	0,00	0,00	0,00	199	29,28
Iguatu (Município) (230550)	22,57	0,00	5,52	0,00	0,00	0,00	785	76,03
Itaitinga (Município) (230625)	3,29	0,00	0,25	0,00	0,00	0,00	106	26,82
Itapajé (Município) (230630)	9,00	0,00	0,00	0,00	0,00	0,00	145	27,76
Itapipoca (Município) (230640)	6,95	0,00	0,08	0,00	0,00	0,00	410	32,00
Juazeiro do Norte (Município) (230730)	4,34	0,00	0,15	0,00	0,00	0,04	782	28,76
Limoeiro do Norte (Município) (230760)	32,90	0,00	0,34	0,00	0,00	0,00	318	53,65
Maracanaú (Município) (230765)	4,16	0,00	0,62	0,04	0,00	0,00	554	24,50
Maranguape (Município) (230770)	2,52	0,00	0,24	0,08	0,00	0,00	245	19,28
Morada Nova (Município) (230870)	16,76	0,00	0,64	0,00	0,16	0,00	247	39,79
Pacajus (Município) (230960)	1,69	0,00	0,14	0,00	0,00	0,00	141	19,81
Pacatuba (Município) (230970)	1,80	0,00	0,24	0,00	0,00	0,00	163	19,60
Pindoretama (Município) (231085)	0,96	0,00	0,00	0,00	0,00	0,00	36	17,35
Quixadá (Município) (231130)	14,35	0,00	0,80	0,00	0,00	0,00	305	35,01
Quixeramobim (Município) (231140)	36,42	0,00	0,63	0,00	0,00	0,00	514	65,00
Russas (Município) (231180)	48,90	0,00	4,55	0,26	0,00	0,00	502	65,29
São Gonçalo do Amarante (Município) (231240)	3,50	0,00	0,00	0,00	0,00	0,21	107	22,05
Sobral (Município) (231290)	6,15	0,00	0,05	0,00	0,00	0,00	507	24,53
Tauá (Município) (231330)	17,26	0,00	0,00	0,17	0,00	0,00	532	90,91
Tianguá (Município) (231340)	13,97	0,00	0,13	0,00	0,13	0,00	518	68,94
Trairi (Município) (231350)	4,68	0,00	0,00	0,00	0,00	0,00	122	21,97
Viçosa do Ceará (Município) (231410)	13,59	0,00	0,00	0,00	0,00	0,00	276	45,73
Açu (Município) (240020)	3,12	0,00	1,56	0,00	0,00	0,00	172	29,84
Caicó (Município) (240200)	29,16	0,00	1,92	0,00	0,00	0,00	292	43,22
Ceará-Mirim (Município) (240260)	1,50	0,00	5,75	0,00	0,00	0,00	104	14,23
Parnamirim (Município) (240325)	0,63	0,00	0,74	0,00	0,00	0,00	92	3,60
Extremoz (Município) (240360)	2,48	0,00	3,90	0,00	0,00	0,00	45	15,95
Macaíba (Município) (240710)	1,25	0,00	1,88	0,13	0,13	0,00	82	10,28
Monte Alegre (Município) (240780)	0,90	0,00	0,45	0,00	0,00	0,00	29	13,04
Mossoró (Município) (240800)	1,73	0,00	1,16	0,00	0,07	0,00	351	11,94
Natal (Município) (240810)	1,57	0,00	2,88	0,01	0,02	0,00	863	9,83
Nísia Floresta (Município) (240820)	1,10	0,00	0,73	0,00	0,00	0,37	8	2,93
São Gonçalo do Amarante (Município) (241200)	20,18	0,00	11,47	0,10	0,00	0,00	1.044	103,26
São José de Mipibu (Município) (241220)	0,92	0,00	0,00	0,00	0,00	0,00	29	6,65
Vera Cruz (Município) (241480)	1,62	0,00	4,06	0,00	0,00	0,00	6	4,87
Alhandra (Município) (250060)	0,52	0,00	0,00	0,52	0,00	0,00	44	22,69
Bayeux (Município) (250180)	3,73	0,00	0,31	0,10	0,00	0,00	370	38,32
Caaporã (Município) (250300)	2,77	0,00	0,46	0,00	0,00	0,00	36	16,59
Cabedelo (Município) (250320)	4,05	0,00	1,35	0,60	0,00	0,00	231	34,64
Cajazeiras (Município) (250370)	10,20	0,00	2,10	0,00	0,00	0,00	388	62,81
Campina Grande (Município) (250400)	8,15	0,00	16,81	0,12	0,00	0,02	1.594	39,12
Conde (Município) (250460)	3,29	0,00	1,64	0,00	0,00	0,00	72	29,60
Cruz do Espírito Santo (Município) (250490)	7,49	0,00	0,00	0,00	0,00	0,00	37	21,31
Guarabira (Município) (250630)	3,59	0,00	0,85	0,00	0,00	0,00	119	20,34
João Pessoa (Município) (250750)	3,31	0,00	1,07	0,09	0,00	0,02	3.182	39,76
Lucena (Município) (250860)	3,86	0,00	2,32	0,00	0,00	0,77	19	14,68
Mamanguape (Município) (250890)	9,18	0,00	0,22	0,00	0,00	0,00	216	48,37
Patos (Município) (251080)	10,66	0,00	0,37	0,00	0,00	0,00	108	10,09
Pedras de Fogo (Município) (251120)	3,87	0,00	1,06	0,00	0,00	0,00	41	14,44
Pitimbu (Município) (251190)	1,06	0,00	0,00	0,00	0,00	0,00	20	10,58
Rio Tinto (Município) (251290)	1,66	0,00	0,00	0,00	0,00	0,00	71	29,48
Santa Rita (Município) (251370)	4,49	0,00	0,37	0,00	0,00	0,00	490	36,08
Sapé (Município) (251530)	1,53	0,00	0,19	0,00	0,00	0,00	103	19,64
Sousa (Município) (251620)	11,57	0,00	11,42	0,00	0,00	0,00	103	14,89
Abreu e Lima (Município) (260005)	3,91	0,00	1,51	0,10	0,00	0,00	197	19,77
Araçoiaba (Município) (260105)	1,97	0,00	0,98	0,00	0,00	0,00	21	10,34
Araripina (Município) (260110)	33,70	0,00	0,24	0,00	0,00	0,00	417	49,66
Arcoverde (Município) (260120)	11,92	0,00	0,27	0,00	0,00	0,00	148	20,04
Belo Jardim (Município) (260170)	5,78	0,00	0,13	0,13	0,00	0,00	271	35,57
Bezerros (Município) (260190)	1,81	0,00	1,15	0,00	0,00	0,00	118	19,44
Brejo da Madre de Deus (Município) (260260)	1,99	0,00	0,80	0,00	0,00	0,00	69	13,73
Buíque (Município) (260280)	61,39	0,00	0,52	0,00	0,00	0,00	167	28,88
Cabo de Santo Agostinho (Município) (260290)	3,85	0,05	3,02	0,98	0,00	0,00	576	28,08
Camaragibe (Município) (260345)	4,15	0,00	1,72	0,06	0,00	0,06	331	21,12
Carpina (Município) (260400)	3,26	0,00	0,36	0,00	0,00	0,00	162	19,55
Caruaru (Município) (260410)	2,07	0,00	0,92	0,08	0,00	0,00	716	20,06
Escada (Município) (260520)	3,36	0,00	3,65	0,73	0,00	0,00	117	17,09
Garanhuns (Município) (260600)	6,84	0,00	0,79	0,36	0,00	0,00	211	15,18
Goiana (Município) (260620)	8,68	0,00	0,25	0,25	0,00	0,00	266	33,48
Gravatá (Município) (260640)	2,28	0,12	9,47	0,24	0,00	0,00	202	24,21
Igarassu (Município) (260680)	3,11	0,09	1,73	0,00	0,00	0,00	224	19,37
Ipojuca (Município) (260720)	2,64	0,00	0,63	0,21	0,00	0,11	189	19,96
Ilha de Itamaracá (Município) (260760)	4,26	0,00	1,16	0,00	0,00	0,00	39	15,10
Itapissuma (Município) (260775)	3,79	0,00	0,00	0,38	0,00	0,00	53	20,08
Jaboatão dos Guararapes (Município) (260790)	3,74	0,00	0,92	0,40	0,01	0,04	2.068	29,64
Limoeiro (Município) (260890)	1,60	0,00	1,60	0,18	0,00	0,00	206	36,59
Moreno (Município) (260940)	5,78	0,00	4,66	0,48	0,00	0,00	156	25,06
Olinda (Município) (260960)	4,64	0,00	1,51	0,69	0,00	0,03	1.095	27,95
Ouricuri (Município) (260990)	6,09	0,00	0,00	0,00	0,00	0,00	231	33,51
Palmares (Município) (261000)	4,60	0,00	1,27	0,16	0,00	0,16	103	16,35
Paudalho (Município) (261060)	3,39	0,18	1,61	0,00	0,18	0,00	106	18,90
Paulista (Município) (261070)	2,22	0,00	1,03	0,55	0,00	0,06	641	19,48
Pesqueira (Município) (261090)	19,39	0,00	0,45	0,00	0,00	0,15	327	48,77
Petrolina (Município) (261110)	5,21	0,00	0,09	0,12	0,03	0,00	636	18,50
Recife (Município) (261160)	4,48	0,01	0,92	0,17	0,01	0,02	4.337	26,48
Salgueiro (Município) (261220)	30,86	0,00	2,64	0,00	0,00	0,00	332	54,78
Santa Cruz do Capibaribe (Município) (261250)	2,45	0,00	0,66	0,09	0,00	0,00	89	8,40
São Bento do Una (Município) (261300)	4,07	0,00	0,17	0,00	0,00	0,00	171	29,00
São Lourenço da Mata (Município) (261370)	2,85	0,00	1,16	0,18	0,00	0,00	288	25,63
Serra Talhada (Município) (261390)	42,67	0,00	1,17	0,00	0,23	0,00	907	105,74
Surubim (Município) (261450)	8,99	0,00	1,08	0,00	0,00	0,15	319	49,44
Timbaúba (Município) (261530)	1,96	0,00	0,39	0,00	0,00	0,59	70	13,74
Vitória de Santo Antão (Município) (261640)	38,28	0,00	16,02	0,15	0,00	0,07	464	33,64
Arapiraca (Município) (270030)	25,04	0,00	0,52	0,00	0,00	0,04	1.293	56,12
Barra de Santo Antônio (Município) (270050)	6,33	0,00	0,00	0,63	0,00	0,00	53	33,56
Barra de São Miguel (Município) (270060)	2,42	0,00	1,21	0,00	0,00	0,00	20	24,20
Campo Alegre (Município) (270140)	3,00	0,00	0,00	0,00	0,00	0,00	55	9,72
Coqueiro Seco (Município) (270220)	5,15	0,00	0,00	0,00	0,00	0,00	34	58,36
Coruripe (Município) (270230)	23,16	0,00	1,59	0,00	0,00	0,00	262	46,32
Delmiro Gouveia (Município) (270240)	5,02	0,00	0,00	0,00	0,00	0,00	71	13,72
Maceió (Município) (270430)	4,08	0,00	0,21	0,22	0,00	0,00	2.159	21,33
Marechal Deodoro (Município) (270470)	4,48	0,00	0,00	0,00	0,00	0,00	144	28,04
Messias (Município) (270520)	3,39	0,00	0,57	0,00	0,00	0,00	28	15,84
Palmeira dos Índios (Município) (270630)	17,51	0,00	2,05	0,00	0,00	0,00	285	38,99
Paripueira (Município) (270644)	7,68	0,00	0,00	0,00	0,00	0,00	46	35,34
Penedo (Município) (270670)	19,52	0,00	0,00	0,00	0,00	0,00	276	43,45
Pilar (Município) (270690)	49,99	0,00	4,86	0,29	0,00	0,57	240	68,56
Rio Largo (Município) (270770)	4,41	0,00	0,40	0,00	0,00	0,00	247	33,00
Santa Luzia do Norte (Município) (270790)	12,38	0,00	0,00	0,00	0,00	0,00	26	35,75
São Miguel dos Campos (Município) (270860)	7,73	0,00	0,00	0,00	0,00	0,00	129	21,23
Satuba (Município) (270890)	3,65	0,00	0,00	0,00	0,00	0,00	33	24,06
União dos Palmares (Município) (270930)	6,26	0,00	6,26	0,00	0,00	0,15	210	32,08
Aracaju (Município) (280030)	2,77	0,00	0,12	0,09	0,00	0,00	1.138	17,54
Barra dos Coqueiros (Município) (280060)	1,67	0,00	0,33	0,00	0,00	0,00	30	10,04
Estância (Município) (280210)	3,49	0,00	0,00	0,00	0,00	0,15	165	23,98
Itabaiana (Município) (280290)	0,84	0,00	0,21	0,00	0,00	0,00	191	20,17
Lagarto (Município) (280350)	3,19	0,00	0,00	0,00	0,00	0,00	255	24,62
Nossa Senhora do Socorro (Município) (280480)	2,53	0,00	0,11	0,28	0,00	0,00	390	21,49
São Cristóvão (Município) (280670)	7,08	0,00	0,11	0,11	0,00	0,00	187	21,00
Tobias Barreto (Município) (280740)	0,77	0,00	0,00	0,00	0,00	0,00	30	5,79
Alagoinhas (Município) (290070)	9,41	0,00	0,20	0,00	0,00	0,00	206	13,66
Araci (Município) (290210)	10,17	0,00	0,00	0,00	0,00	0,00	111	20,52
Barra (Município) (290270)	38,89	0,00	1,69	0,00	0,00	0,00	150	28,18
Barreiras (Município) (290320)	1,95	0,00	0,20	0,00	0,00	0,00	348	22,62
Bom Jesus da Lapa (Município) (290390)	3,79	0,00	10,06	0,00	0,00	0,00	310	45,18
Brumado (Município) (290460)	4,03	0,00	0,30	0,00	0,00	0,00	148	22,07
Caetité (Município) (290520)	6,68	0,00	0,20	0,00	0,00	0,20	188	36,96
Camaçari (Município) (290570)	2,14	0,00	0,03	0,07	0,00	0,00	318	10,83
Campo Formoso (Município) (290600)	22,99	0,00	0,14	0,00	0,00	0,00	167	23,55
Candeias (Município) (290650)	1,62	0,00	0,12	0,00	0,00	0,00	126	14,54
Casa Nova (Município) (290720)	4,90	0,00	0,56	0,00	0,00	0,00	118	16,53
Catu (Município) (290750)	7,90	0,00	0,37	0,00	0,00	0,00	185	33,99
Conceição do Coité (Município) (290840)	41,55	0,00	0,00	0,00	0,00	0,00	270	40,79
Cruz das Almas (Município) (290980)	2,07	0,00	0,00	0,00	0,00	0,00	101	16,06
Dias d'Ávila (Município) (291005)	0,75	0,00	0,00	0,00	0,00	0,00	30	3,76
Euclides da Cunha (Município) (291070)	18,88	0,00	0,00	0,00	0,00	0,00	126	21,06
Eunápolis (Município) (291072)	8,37	0,00	0,18	0,00	0,00	0,00	198	17,63
Feira de Santana (Município) (291080)	1,44	0,00	0,18	0,02	0,00	0,00	469	7,69
Guanambi (Município) (291170)	2,98	0,00	0,00	0,00	0,00	0,00	193	22,97
Ilhéus (Município) (291360)	10,19	0,00	0,36	0,12	0,00	0,00	928	56,30
Ipirá (Município) (291400)	0,67	0,00	0,00	0,00	0,00	0,00	4	0,67
Irecê (Município) (291460)	0,14	0,00	0,14	0,00	0,00	0,00	123	16,99
Itaberaba (Município) (291470)	10,10	0,00	0,16	0,00	0,00	0,00	142	22,08
Itabuna (Município) (291480)	6,72	0,00	0,05	0,00	0,00	0,00	313	14,71
Itamaraju (Município) (291560)	2,63	0,00	0,00	0,00	0,00	0,00	184	28,52
Itaparica (Município) (291610)	5,88	0,00	0,00	0,45	0,00	0,00	85	38,44
Itapetinga (Município) (291640)	15,90	0,00	0,00	0,00	0,00	0,00	214	28,36
Jacobina (Município) (291750)	14,30	0,00	0,37	0,12	0,12	0,00	260	32,34
Jaguaquara (Município) (291760)	14,77	0,00	0,55	0,00	0,00	0,00	209	38,59
Jequié (Município) (291800)	3,34	0,00	0,19	0,06	0,00	0,00	410	26,32
Juazeiro (Município) (291840)	5,86	0,00	0,23	0,00	0,00	0,00	604	28,07
Lauro de Freitas (Município) (291920)	1,54	0,00	0,00	0,10	0,00	0,10	224	11,48
