Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Manicoré (Município) (130270)	54.907	54.907	23.764	48.315,020	54.907	23.764	100,0%	100,0%
Maués (Município) (130290)	62.755	62.755	31.034	39.991,070	0	0	-	-
Novo Airão (Município) (130320)	18.974	18.974	12.242	37.805,260	18.974	12.242	100,0%	100,0%
Parintins (Município) (130340)	113.168	113.168	77.517	5.956,370	0	0	-	-
Presidente Figueiredo (Município) (130353)	35.352	35.352	16.913	25.412,270	0	0	-	-
Rio Preto da Eva (Município) (130356)	32.577	32.577	15.459	5.815,620	0	0	-	-
Tabatinga (Município) (130406)	64.488	64.488	44.851	3.266,060	64.488	44.851	100,0%	100,0%
Tefé (Município) (130420)	60.154	60.154	49.011	23.692,220	0	0	-	-
Boa Vista (Município) (140010)	375.374	375.374	366.774	5.687,040	100.293	91.693	25,0%	26,7%
Abaetetuba (Município) (150010)	156.292	156.292	91.934	1.610,400	156.292	91.934	100,0%	100,0%
Acará (Município) (150020)	55.513	55.513	13.079	4.343,810	0	0	-	-
Alenquer (Município) (150040)	56.480	56.480	29.752	23.645,450	56.480	29.752	100,0%	100,0%
Altamira (Município) (150060)	113.195	113.195	96.077	159.533,330	76.087	58.969	61,4%	67,2%
Ananindeua (Município) (150080)	525.566	525.566	524.273	190,450	514.775	513.482	97,9%	98,0%
Barcarena (Município) (150130)	122.294	122.294	44.452	1.310,590	122.294	44.452	100,0%	100,0%
Belém (Município) (150140)	1.485.732	1.485.732	1.473.018	1.059,460	1.284.247	1.271.533	86,3%	86,4%
Benevides (Município) (150150)	61.689	61.689	34.531	187,830	61.689	34.531	100,0%	100,0%
Bragança (Município) (150170)	126.436	126.436	81.093	2.091,930	126.436	81.093	100,0%	100,0%
Breu Branco (Município) (150178)	64.738	64.738	36.145	3.941,910	64.738	36.145	100,0%	100,0%
Breves (Município) (150180)	101.891	101.891	51.088	9.563,010	101.891	51.088	100,0%	100,0%
Cametá (Município) (150210)	136.390	136.390	59.610	3.081,370	136.390	59.610	100,0%	100,0%
Capanema (Município) (150220)	68.616	68.616	54.700	614,690	68.616	54.700	100,0%	100,0%
Capitão Poço (Município) (150230)	54.179	54.179	22.386	2.899,550	54.179	22.386	100,0%	100,0%
Castanhal (Município) (150240)	198.294	198.294	175.652	1.028,890	198.294	175.652	100,0%	100,0%
Dom Eliseu (Município) (150293)	58.956	58.956	37.355	5.268,820	58.956	37.355	100,0%	100,0%
Igarapé-Miri (Município) (150330)	62.355	62.355	28.135	1.996,790	62.355	28.135	100,0%	100,0%
Ipixuna do Pará (Município) (150345)	62.455	62.455	14.883	5.215,560	0	0	-	-
Itaituba (Município) (150360)	101.097	101.097	73.295	62.042,470	101.097	73.295	100,0%	100,0%
Itupiranga (Município) (150370)	53.182	53.182	21.275	7.880,110	52.656	20.749	97,5%	99,0%
Jacundá (Município) (150380)	58.457	58.457	51.996	2.008,320	58.457	51.996	100,0%	100,0%
Juruti (Município) (150390)	56.908	56.908	19.159	8.305,130	0	0	-	-
Marabá (Município) (150420)	275.086	275.086	219.286	15.128,060	273.442	217.642	99,3%	99,4%
Marituba (Município) (150442)	129.321	129.321	127.979	103,340	115.089	113.747	88,9%	89,0%
Moju (Município) (150470)	80.988	80.988	29.104	9.094,140	80.988	29.104	100,0%	100,0%
Monte Alegre (Município) (150480)	57.900	57.900	25.645	18.152,560	57.900	25.645	100,0%	100,0%
Novo Repartimento (Município) (150506)	74.602	74.602	33.604	15.398,720	74.402	33.604	100,0%	99,7%
Óbidos (Município) (150510)	51.964	51.964	26.824	28.021,440	51.964	26.824	100,0%	100,0%
Oriximiná (Município) (150530)	72.160	72.160	46.135	107.603,660	72.160	46.135	100,0%	100,0%
Paragominas (Município) (150550)	111.764	111.764	87.418	19.342,250	85.843	61.497	70,4%	76,8%
Parauapebas (Município) (150553)	202.882	202.882	182.822	6.886,210	170.602	150.542	82,3%	84,1%
Portel (Município) (150580)	61.126	61.126	29.117	25.384,960	61.126	29.117	100,0%	100,0%
Redenção (Município) (150613)	83.997	83.997	77.893	3.823,810	79.460	73.356	94,2%	94,6%
Rondon do Pará (Município) (150618)	51.903	51.903	38.345	8.246,390	51.903	38.345	100,0%	100,0%
Santa Bárbara do Pará (Município) (150635)	20.704	20.704	6.593	278,150	20.584	6.473	98,2%	99,4%
Santa Izabel do Pará (Município) (150650)	69.746	69.746	50.433	717,660	69.746	50.433	100,0%	100,0%
Santana do Araguaia (Município) (150670)	71.187	71.187	37.605	11.591,460	71.187	37.605	100,0%	100,0%
Santarém (Município) (150680)	302.667	302.667	221.714	17.898,390	289.979	209.026	94,3%	95,8%
São Félix do Xingu (Município) (150730)	124.763	124.763	61.621	84.212,850	124.763	61.621	100,0%	100,0%
São Miguel do Guamá (Município) (150760)	58.328	58.328	36.064	1.110,180	58.328	36.064	100,0%	100,0%
Tailândia (Município) (150795)	103.664	103.664	76.755	4.430,220	103.664	76.755	100,0%	100,0%
Tomé-Açu (Município) (150800)	62.854	62.854	35.101	5.145,360	62.854	35.101	100,0%	100,0%
Tucuruí (Município) (150810)	112.148	112.148	106.737	2.086,190	112.148	106.737	100,0%	100,0%
Ulianópolis (Município) (150812)	57.632	57.632	37.931	5.088,470	56.522	36.821	97,1%	98,1%
Vigia (Município) (150820)	53.191	53.191	35.935	539,080	53.191	35.935	100,0%	100,0%
Viseu (Município) (150830)	61.049	61.049	19.802	4.915,070	61.049	19.802	100,0%	100,0%
Macapá (Município) (160030)	493.634	493.634	472.572	6.503,460	438.690	417.628	88,4%	88,9%
Santana (Município) (160060)	119.610	119.610	117.069	1.541,220	118.173	115.632	98,8%	98,8%
Araguaína (Município) (170210)	177.517	177.517	168.600	4.000,420	124.873	115.956	68,8%	70,3%
Gurupi (Município) (170950)	85.737	85.737	83.777	1.836,090	59.907	57.947	69,2%	69,9%
Paraíso do Tocantins (Município) (171610)	50.602	50.602	48.387	1.268,060	37.514	35.299	73,0%	74,1%
Porto Nacional (Município) (171820)	52.700	52.700	45.504	4.449,920	14.263	7.067	15,5%	27,1%
Palmas (Município) (172100)	291.855	291.855	283.432	2.218,940	43.655	35.232	12,4%	15,0%
Açailândia (Município) (210005)	111.757	111.757	84.034	5.806,440	111.757	84.034	100,0%	100,0%
Alcântara (Município) (210020)	22.083	22.083	6.467	1.457,920	22.083	6.467	100,0%	100,0%
Bacabal (Município) (210120)	104.633	104.633	81.456	1.683,070	0	0	-	-
Balsas (Município) (210140)	93.826	93.826	81.743	13.141,760	93.826	81.743	100,0%	100,0%
Barra do Corda (Município) (210160)	87.794	87.794	54.743	5.190,340	87.794	54.743	100,0%	100,0%
Barreirinhas (Município) (210170)	61.828	61.828	24.822	3.026,540	57.312	20.306	81,8%	92,7%
Buriticupu (Município) (210232)	71.723	71.723	39.347	2.545,440	71.723	39.347	100,0%	100,0%
Caxias (Município) (210300)	164.224	164.224	125.483	5.196,770	155.124	116.383	92,8%	94,5%
Chapadinha (Município) (210320)	79.145	79.145	57.060	3.247,390	79.145	57.060	100,0%	100,0%
Codó (Município) (210330)	122.597	122.597	84.175	4.361,340	111.377	72.955	86,7%	90,9%
Coroatá (Município) (210360)	65.044	65.044	45.372	2.263,770	61.266	41.594	91,7%	94,2%
Grajaú (Município) (210480)	68.876	68.876	41.087	8.863,570	68.876	41.087	100,0%	100,0%
Imperatriz (Município) (210530)	258.016	258.016	244.508	1.368,990	172.208	158.700	64,9%	66,7%
Itapecuru Mirim (Município) (210540)	67.673	67.673	37.773	1.471,440	67.673	37.773	100,0%	100,0%
Paço do Lumiar (Município) (210750)	120.621	120.621	90.432	125,260	62.636	32.447	35,9%	51,9%
Pinheiro (Município) (210860)	82.990	82.990	49.358	1.512,970	82.990	49.358	100,0%	100,0%
Raposa (Município) (210945)	30.337	30.337	19.215	66,400	30.337	19.215	100,0%	100,0%
Santa Inês (Município) (210990)	88.590	88.590	83.907	786,690	88.590	83.907	100,0%	100,0%
Santa Luzia (Município) (211000)	72.440	72.440	25.231	4.837,040	72.440	25.231	100,0%	100,0%
São José de Ribamar (Município) (211120)	176.321	176.321	40.779	385,780	78.126	0	0,0%	44,3%
São Luís (Município) (211130)	1.094.667	1.094.667	1.033.922	834,830	566.430	505.685	48,9%	51,7%
Timon (Município) (211220)	167.973	167.973	146.010	1.764,610	165.211	143.248	98,1%	98,4%
Tutóia (Município) (211250)	58.311	58.311	20.634	1.651,650	58.311	20.634	100,0%	100,0%
Vargem Grande (Município) (211270)	55.841	55.841	30.159	1.957,750	55.841	30.159	100,0%	100,0%
Viana (Município) (211280)	52.229	52.229	28.401	1.168,440	0	0	-	-
Zé Doca (Município) (211400)	51.471	51.471	31.662	2.140,110	51.471	31.662	100,0%	100,0%
Altos (Município) (220040)	40.440	40.440	28.529	957,650	38.265	26.354	92,4%	94,6%
Beneditinos (Município) (220160)	10.462	10.462	6.609	788,580	10.462	6.609	100,0%	100,0%
Coivaras (Município) (220273)	4.007	4.007	1.233	485,500	4.007	1.233	100,0%	100,0%
Curralinhos (Município) (220325)	4.425	4.425	1.408	345,850	0	0	-	-
Demerval Lobão (Município) (220330)	13.793	13.793	11.295	216,810	13.793	11.295	100,0%	100,0%
Floriano (Município) (220390)	59.840	59.840	51.832	3.409,650	57.572	49.564	95,6%	96,2%
José de Freitas (Município) (220550)	39.072	39.072	22.758	1.538,170	37.357	21.043	92,5%	95,6%
Lagoa Alegre (Município) (220555)	8.504	8.504	3.230	394,660	8.504	3.230	100,0%	100,0%
Lagoa do Piauí (Município) (220558)	4.052	4.052	1.754	426,630	4.052	1.754	100,0%	100,0%
Miguel Leão (Município) (220630)	1.250	1.250	860	93,520	0	0	-	-
Monsenhor Gil (Município) (220640)	10.565	10.565	5.428	582,550	10.565	5.428	100,0%	100,0%
Nazária (Município) (220672)	8.536	8.536	1.748	363,590	8.536	1.748	100,0%	100,0%
Parnaíba (Município) (220770)	152.653	152.653	144.041	434,230	89.683	81.071	56,3%	58,8%
Pau D'Arco do Piauí (Município) (220779)	4.023	4.023	595	430,820	0	0	-	-
Picos (Município) (220800)	78.002	78.002	61.951	577,300	38.279	22.228	35,9%	49,1%
Piripiri (Município) (220840)	63.694	63.694	45.880	1.408,930	63.694	45.880	100,0%	100,0%
Teresina (Município) (221100)	861.442	861.442	812.063	1.391,980	609.442	560.063	69,0%	70,8%
União (Município) (221110)	44.396	44.396	21.821	1.173,450	25.538	2.963	13,6%	57,5%
Acaraú (Município) (230020)	62.557	62.557	30.699	842,560	60.062	28.204	91,9%	96,0%
Acopiara (Município) (230030)	53.931	53.931	26.594	2.265,350	50.412	23.075	86,8%	93,5%
Aquiraz (Município) (230100)	79.563	79.563	73.489	481,600	67.947	61.873	84,2%	85,4%
Aracati (Município) (230110)	74.084	74.084	47.171	1.228,060	63.105	36.192	76,7%	85,2%
Barbalha (Município) (230190)	60.155	60.155	41.343	569,510	55.406	36.594	88,5%	92,1%
Beberibe (Município) (230220)	53.421	53.421	23.412	1.623,880	49.825	19.816	84,6%	93,3%
Boa Viagem (Município) (230240)	54.440	54.440	27.588	2.836,780	54.440	27.588	100,0%	100,0%
Camocim (Município) (230260)	63.408	63.408	47.070	1.124,780	41.739	25.401	54,0%	65,8%
Canindé (Município) (230280)	78.049	78.049	49.126	3.218,480	67.965	39.042	79,5%	87,1%
Cascavel (Município) (230350)	71.499	71.499	60.705	835,000	70.575	59.781	98,5%	98,7%
Caucaia (Município) (230370)	363.982	363.982	324.590	1.228,510	260.830	221.438	68,2%	71,7%
Chorozinho (Município) (230395)	19.345	19.345	11.686	278,410	19.345	11.686	100,0%	100,0%
Crateús (Município) (230410)	74.982	74.982	54.213	2.985,150	54.743	33.974	62,7%	73,0%
Crato (Município) (230420)	131.372	131.372	109.180	1.176,470	88.301	66.109	60,6%	67,2%
Eusébio (Município) (230428)	52.880	52.880	52.880	79,010	48.666	48.666	92,0%	92,0%
Fortaleza (Município) (230440)	2.643.247	2.643.247	2.643.247	314,930	1.324.454	1.324.454	50,1%	50,1%
Granja (Município) (230470)	54.729	54.729	26.917	2.663,030	53.729	25.917	96,3%	98,2%
Guaiúba (Município) (230495)	26.472	26.472	20.743	267,130	24.511	18.782	90,6%	92,6%
Horizonte (Município) (230523)	66.114	66.114	61.157	160,760	62.257	57.300	93,7%	94,2%
Icó (Município) (230540)	67.972	67.972	31.634	1.872,000	49.865	13.527	42,8%	73,4%
Iguatu (Município) (230550)	103.255	103.255	79.855	1.029,210	87.656	64.256	80,5%	84,9%
Itaitinga (Município) (230625)	39.518	39.518	39.240	151,630	39.001	38.723	98,7%	98,7%
Itapajé (Município) (230630)	52.240	52.240	36.725	430,570	0	0	-	-
Itapipoca (Município) (230640)	128.135	128.135	73.867	1.614,160	102.135	47.867	64,8%	79,7%
Juazeiro do Norte (Município) (230730)	271.926	271.926	261.252	248,830	211.681	201.007	76,9%	77,9%
Limoeiro do Norte (Município) (230760)	59.278	59.278	34.223	750,070	44.121	19.066	55,7%	74,4%
Maracanaú (Município) (230765)	226.128	226.128	224.577	106,650	158.847	157.296	70,0%	70,3%
Maranguape (Município) (230770)	127.098	127.098	96.597	590,870	116.007	85.506	88,5%	91,3%
Morada Nova (Município) (230870)	62.069	62.069	35.403	2.778,580	60.584	33.918	95,8%	97,6%
Pacajus (Município) (230960)	71.193	71.193	58.341	254,640	69.575	56.723	97,2%	97,7%
Pacatuba (Município) (230970)	83.157	83.157	71.421	131,990	52.279	40.543	56,8%	62,9%
Pindoretama (Município) (231085)	20.748	20.748	12.527	75,140	20.748	12.527	100,0%	100,0%
Quixadá (Município) (231130)	87.116	87.116	62.129	2.019,830	75.062	50.075	80,6%	86,2%
Quixeramobim (Município) (231140)	79.081	79.081	47.770	3.275,630	79.081	47.770	100,0%	100,0%
Russas (Município) (231180)	76.884	76.884	49.491	1.590,260	65.456	38.063	76,9%	85,1%
São Gonçalo do Amarante (Município) (231240)	48.516	48.516	31.545	834,450	44.171	27.200	86,2%	91,0%
Sobral (Município) (231290)	206.644	206.644	182.577	2.122,900	8.312	9.550	5,2%	4,0%
Tauá (Município) (231330)	58.517	58.517	33.881	4.018,160	54.853	30.217	89,2%	93,7%
Tianguá (Município) (231340)	75.140	75.140	49.974	908,890	61.596	36.430	72,9%	82,0%
Trairi (Município) (231350)	55.535	55.535	20.286	925,720	54.553	19.304	95,2%	98,2%
Viçosa do Ceará (Município) (231410)	60.355	60.355	19.579	1.311,630	60.355	19.579	100,0%	100,0%
Açu (Município) (240020)	57.644	57.644	42.625	1.303,440	57.644	42.625	100,0%	100,0%
Caicó (Município) (240200)	67.554	67.554	61.901	1.228,580	61.817	56.164	90,7%	91,5%
Ceará-Mirim (Município) (240260)	73.099	73.099	38.077	724,380	50.981	15.959	41,9%	69,7%
Parnamirim (Município) (240325)	255.793	255.793	255.793	123,470	241.743	241.743	94,5%	94,5%
Extremoz (Município) (240360)	28.222	28.222	18.114	139,580	28.222	18.114	100,0%	100,0%
Macaíba (Município) (240710)	79.743	79.743	48.937	510,770	77.275	46.469	95,0%	96,9%
Monte Alegre (Município) (240780)	22.239	22.239	9.678	210,920	20.951	8.390	86,7%	94,2%
Mossoró (Município) (240800)	294.076	294.076	268.525	2.099,330	158.094	132.543	49,4%	53,8%
Natal (Município) (240810)	877.640	877.640	877.640	167,260	534.621	534.621	60,9%	60,9%
Nísia Floresta (Município) (240820)	27.260	27.260	10.751	307,840	27.260	10.751	100,0%	100,0%
São Gonçalo do Amarante (Município) (241200)	101.102	101.102	85.454	249,120	69.975	54.327	63,6%	69,2%
São José de Mipibu (Município) (241220)	43.640	43.640	20.003	290,330	43.369	19.732	98,7%	99,4%
Vera Cruz (Município) (241480)	12.323	12.323	5.398	83,890	12.323	5.398	100,0%	100,0%
Alhandra (Município) (250060)	19.391	19.391	12.010	182,660	19.391	12.010	100,0%	100,0%
Bayeux (Município) (250180)	96.550	96.550	95.656	27,540	86.853	85.959	89,9%	90,0%
Caaporã (Município) (250300)	21.698	21.698	18.699	150,170	21.698	18.699	100,0%	100,0%
Cabedelo (Município) (250320)	66.680	66.680	66.671	31,920	48.324	48.315	72,5%	72,5%
Cajazeiras (Município) (250370)	61.776	61.776	50.207	565,900	50.594	39.025	77,7%	81,9%
Campina Grande (Município) (250400)	407.472	407.472	388.428	593,030	39.580	20.536	5,3%	9,7%
Conde (Município) (250460)	24.323	24.323	16.466	172,950	24.323	16.466	100,0%	100,0%
Cruz do Espírito Santo (Município) (250490)	17.366	17.366	7.948	191,100	17.366	7.948	100,0%	100,0%
Guarabira (Município) (250630)	58.492	58.492	51.762	165,740	22.295	15.565	30,1%	38,1%
João Pessoa (Município) (250750)	800.323	800.323	797.303	211,480	165.631	162.611	20,4%	20,7%
Lucena (Município) (250860)	12.944	12.944	11.203	88,550	12.944	11.203	100,0%	100,0%
Mamanguape (Município) (250890)	44.657	44.657	36.139	340,480	37.459	28.941	80,1%	83,9%
Patos (Município) (251080)	106.984	106.984	103.375	473,060	90.646	87.037	84,2%	84,7%
Pedras de Fogo (Município) (251120)	28.389	28.389	17.179	404,880	26.158	14.948	87,0%	92,1%
Pitimbu (Município) (251190)	18.904	18.904	11.531	136,440	18.904	11.531	100,0%	100,0%
Rio Tinto (Município) (251290)	24.088	24.088	13.689	465,670	24.088	13.689	100,0%	100,0%
Santa Rita (Município) (251370)	135.807	135.807	117.077	730,210	130.451	111.721	95,4%	96,1%
Sapé (Município) (251530)	52.443	52.443	39.890	315,530	41.408	28.855	72,3%	79,0%
Sousa (Município) (251620)	69.161	69.161	54.529	738,550	0	0	-	-
Abreu e Lima (Município) (260005)	99.622	99.622	91.389	126,190	76.880	68.647	75,1%	77,2%
Araçoiaba (Município) (260105)	20.312	20.312	17.081	96,380	20.312	17.081	100,0%	100,0%
Araripina (Município) (260110)	83.964	83.964	50.951	2.037,390	47.316	14.303	28,1%	56,4%
Arcoverde (Município) (260120)	73.844	73.844	67.269	323,370	70.129	63.554	94,5%	95,0%
Belo Jardim (Município) (260170)	76.185	76.185	61.250	647,700	76.185	61.250	100,0%	100,0%
Bezerros (Município) (260190)	60.714	60.714	51.475	490,820	60.714	51.475	100,0%	100,0%
Brejo da Madre de Deus (Município) (260260)	50.249	50.249	39.065	762,350	29.449	18.265	46,8%	58,6%
Buíque (Município) (260280)	57.825	57.825	23.522	1.320,870	57.825	23.522	100,0%	100,0%
Cabo de Santo Agostinho (Município) (260290)	205.112	205.112	185.998	448,740	183.275	164.161	88,3%	89,4%
Camaragibe (Município) (260345)	156.736	156.736	156.736	51,260	154.499	154.499	98,6%	98,6%
Carpina (Município) (260400)	82.872	82.872	79.770	147,670	82.872	79.770	100,0%	100,0%
Caruaru (Município) (260410)	356.872	356.872	316.842	920,610	161.979	121.949	38,5%	45,4%
Escada (Município) (260520)	68.448	68.448	58.153	342,200	68.448	58.153	100,0%	100,0%
Garanhuns (Município) (260600)	138.983	138.983	123.891	458,550	121.428	106.336	85,8%	87,4%
Goiana (Município) (260620)	79.455	79.455	60.948	445,810	79.455	60.948	100,0%	100,0%
Gravatá (Município) (260640)	83.437	83.437	74.627	506,790	82.161	73.351	98,3%	98,5%
Igarassu (Município) (260680)	115.640	115.640	106.470	305,560	112.179	103.009	96,8%	97,0%
Ipojuca (Município) (260720)	94.709	94.709	70.141	527,110	80.960	56.392	80,4%	85,5%
Ilha de Itamaracá (Município) (260760)	25.836	25.836	20.062	66,680	25.836	20.062	100,0%	100,0%
Itapissuma (Município) (260775)	26.397	26.397	20.346	74,240	23.397	17.346	85,3%	88,6%
Jaboatão dos Guararapes (Município) (260790)	697.636	697.636	682.458	258,690	563.523	548.345	80,4%	80,8%
Limoeiro (Município) (260890)	56.302	56.302	45.254	273,740	56.302	45.254	100,0%	100,0%
Moreno (Município) (260940)	62.263	62.263	55.126	196,070	43.713	36.576	66,4%	70,2%
Olinda (Município) (260960)	391.835	391.835	384.111	41,680	214.836	207.112	53,9%	54,8%
Ouricuri (Município) (260990)	68.939	68.939	34.916	2.381,580	68.939	34.916	100,0%	100,0%
Palmares (Município) (261000)	62.994	62.994	49.618	339,290	62.994	49.618	100,0%	100,0%
Paudalho (Município) (261060)	56.074	56.074	39.669	274,780	56.074	39.669	100,0%	100,0%
Paulista (Município) (261070)	329.117	329.117	329.117	97,310	155.001	155.001	47,1%	47,1%
Pesqueira (Município) (261090)	67.047	67.047	48.077	980,880	67.047	48.077	100,0%	100,0%
Petrolina (Município) (261110)	343.865	343.865	256.429	4.561,870	56.712	0	0,0%	16,5%
Recife (Município) (261160)	1.637.834	1.637.834	1.637.834	218,440	924.735	924.735	56,5%	56,5%
Salgueiro (Município) (261220)	60.604	60.604	48.922	1.686,810	39.121	27.439	56,1%	64,6%
Santa Cruz do Capibaribe (Município) (261250)	105.936	105.936	103.531	335,310	0	0	0,0%	0,0%
São Bento do Una (Município) (261300)	58.956	58.956	30.893	719,150	35.456	20.643	66,8%	60,1%
São Lourenço da Mata (Município) (261370)	112.362	112.362	105.681	262,110	95.313	88.632	83,9%	84,8%
Serra Talhada (Município) (261390)	85.774	85.774	66.334	2.980,010	19.061	83	0,1%	22,2%
Surubim (Município) (261450)	64.520	64.520	48.555	252,860	64.520	48.555	100,0%	100,0%
Timbaúba (Município) (261530)	50.956	50.956	43.896	292,990	50.956	43.896	100,0%	100,0%
Vitória de Santo Antão (Município) (261640)	137.915	137.915	120.359	335,940	96.527	78.971	65,6%	70,0%
Arapiraca (Município) (270030)	230.417	230.417	195.398	345,660	230.417	195.398	100,0%	100,0%
Barra de Santo Antônio (Município) (270050)	15.792	15.792	14.696	131,630	0	0	-	-
Barra de São Miguel (Município) (270060)	8.264	8.264	7.115	76,620	6.864	5.715	80,3%	83,1%
Campo Alegre (Município) (270140)	56.579	56.579	24.674	312,710	42.729	10.824	43,9%	75,5%
Coqueiro Seco (Município) (270220)	5.826	5.826	5.243	39,610	5.826	5.243	100,0%	100,0%
Coruripe (Município) (270230)	56.562	56.562	49.957	898,630	45.784	39.179	78,4%	80,9%
Delmiro Gouveia (Município) (270240)	51.763	51.763	37.511	626,690	51.763	37.511	100,0%	100,0%
Maceió (Município) (270430)	1.012.382	1.012.382	1.011.710	509,550	585.228	584.556	57,8%	57,8%
Marechal Deodoro (Município) (270470)	51.364	51.364	48.476	332,140	22.872	19.984	41,2%	44,5%
Messias (Município) (270520)	17.676	17.676	16.077	114,160	17.676	16.077	100,0%	100,0%
Palmeira dos Índios (Município) (270630)	73.096	73.096	53.611	450,960	69.704	50.219	93,7%	95,4%
Paripueira (Município) (270644)	13.016	13.016	11.527	92,850	13.016	11.527	100,0%	100,0%
Penedo (Município) (270670)	63.516	63.516	47.360	689,880	63.516	47.360	100,0%	100,0%
Pilar (Município) (270690)	35.008	35.008	33.427	251,070	35.008	33.427	100,0%	100,0%
Rio Largo (Município) (270770)	74.838	74.838	61.140	293,820	51.618	37.920	62,0%	69,0%
Santa Luzia do Norte (Município) (270790)	7.272	7.272	6.513	28,860	7.272	6.513	100,0%	100,0%
São Miguel dos Campos (Município) (270860)	60.775	60.775	58.536	360,880	32.407	30.168	51,5%	53,3%
Satuba (Município) (270890)	13.716	13.716	12.015	41,270	13.716	12.015	100,0%	100,0%
União dos Palmares (Município) (270930)	65.461	65.461	50.022	420,720	20.296	5.114	10,2%	31,0%
Aracaju (Município) (280030)	648.939	648.939	648.939	181,860	308.593	308.593	47,6%	47,6%
Barra dos Coqueiros (Município) (280060)	29.873	29.873	24.981	89,600	9.218	4.326	17,3%	30,9%
Estância (Município) (280210)	68.804	68.804	58.497	644,490	62.864	52.557	89,9%	91,4%
Itabaiana (Município) (280290)	94.696	94.696	73.726	337,300	76.696	58.726	79,7%	81,0%
Lagarto (Município) (280350)	103.576	103.576	53.356	968,920	97.258	47.038	88,2%	93,9%
Nossa Senhora do Socorro (Município) (280480)	181.503	181.503	175.856	155,020	128.851	123.204	70,1%	71,0%
São Cristóvão (Município) (280670)	89.027	89.027	75.256	438,040	66.914	53.143	70,6%	75,2%
Tobias Barreto (Município) (280740)	51.843	51.843	34.779	1.024,190	5.103	49	0,1%	9,8%
Alagoinhas (Município) (290070)	150.832	150.832	131.804	707,560	101.974	83.303	63,2%	67,6%
Araci (Município) (290210)	54.099	54.099	20.569	1.495,550	35.753	4.613	22,4%	66,1%
Barra (Município) (290270)	53.231	53.231	24.223	11.422,540	0	0	-	-
Barreiras (Município) (290320)	153.831	153.831	138.511	7.861,760	20.980	6.515	4,7%	13,6%
Bom Jesus da Lapa (Município) (290390)	68.609	68.609	46.581	4.115,510	20.664	0	0,0%	30,1%
Brumado (Município) (290460)	67.048	67.048	46.840	2.207,610	61.946	41.738	89,1%	92,4%
Caetité (Município) (290520)	50.861	50.861	30.450	2.651,540	50.861	30.450	100,0%	100,0%
Camaçari (Município) (290570)	293.723	293.723	280.429	784,660	169.919	183.613	65,5%	57,9%
Campo Formoso (Município) (290600)	70.912	70.912	26.466	7.161,830	68.053	23.607	89,2%	96,0%
Candeias (Município) (290650)	86.677	86.677	79.210	251,630	51.293	43.826	55,3%	59,2%
Casa Nova (Município) (290720)	71.366	71.366	41.258	9.647,070	44.366	19.258	46,7%	62,2%
