Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Altamira (Município) (150060)	99.075	99.075	84.092	159.533,330	99.075	84.092	100,0%	100,0%
Ananindeua (Município) (150080)	471.980	471.980	470.819	190,450	471.980	470.819	100,0%	100,0%
Barcarena (Município) (150130)	99.859	99.859	36.297	1.310,590	-	-	-	-
Belém (Município) (150140)	1.393.399	1.393.399	1.381.475	1.059,460	1.286.090	1.274.166	92,2%	92,3%
Benevides (Município) (150150)	51.651	51.651	28.912	187,830	51.651	28.912	100,0%	100,0%
Bragança (Município) (150170)	113.227	113.227	72.621	2.091,930	113.227	72.621	100,0%	100,0%
Breu Branco (Município) (150178)	52.493	52.493	29.308	3.941,910	52.493	29.308	100,0%	100,0%
Breves (Município) (150180)	92.860	92.860	46.560	9.563,010	92.860	46.560	100,0%	100,0%
Cametá (Município) (150210)	120.896	120.896	52.838	3.081,370	120.896	52.838	100,0%	100,0%
Capanema (Município) (150220)	63.639	63.639	50.732	614,690	63.639	50.732	100,0%	100,0%
Capitão Poço (Município) (150230)	51.893	51.893	21.441	2.899,550	51.893	21.441	100,0%	100,0%
Castanhal (Município) (150240)	173.149	173.149	153.378	1.028,890	173.149	153.378	100,0%	100,0%
Dom Eliseu (Município) (150293)	51.319	51.319	32.516	5.268,820	51.319	32.516	100,0%	100,0%
Igarapé-Miri (Município) (150330)	58.077	58.077	26.205	1.996,790	58.077	26.205	100,0%	100,0%
Ipixuna do Pará (Município) (150345)	51.309	51.309	12.227	5.215,560	-	-	-	-
Itaituba (Município) (150360)	97.493	97.493	70.682	62.042,470	97.493	70.682	100,0%	100,0%
Itupiranga (Município) (150370)	51.220	51.220	20.490	7.880,110	51.220	20.490	100,0%	100,0%
Jacundá (Município) (150380)	51.360	51.360	45.683	2.008,320	51.360	45.683	100,0%	100,0%
Juruti (Município) (150390)	47.086	47.086	15.852	8.305,130	47.086	15.852	100,0%	100,0%
Marabá (Município) (150420)	233.669	233.669	186.270	15.128,060	233.669	186.270	100,0%	100,0%
Marituba (Município) (150442)	108.246	108.246	107.123	103,340	108.246	107.123	100,0%	100,0%
Moju (Município) (150470)	70.018	70.018	25.162	9.094,140	70.018	25.162	100,0%	100,0%
Monte Alegre (Município) (150480)	55.462	55.462	24.565	18.152,560	55.462	24.565	100,0%	100,0%
Novo Repartimento (Município) (150506)	62.050	62.050	27.950	15.398,720	62.050	27.950	100,0%	100,0%
Óbidos (Município) (150510)	49.333	49.333	25.466	28.021,440	49.333	25.466	100,0%	100,0%
Oriximiná (Município) (150530)	62.794	62.794	40.147	107.603,660	-	-	-	-
Paragominas (Município) (150550)	97.819	97.819	76.511	19.342,250	97.819	76.511	100,0%	100,0%
Parauapebas (Município) (150553)	153.908	153.908	138.690	6.886,210	137.780	122.562	88,4%	89,5%
Portel (Município) (150580)	52.172	52.172	24.852	25.384,960	52.172	24.852	100,0%	100,0%
Redenção (Município) (150613)	75.556	75.556	70.065	3.823,810	-	-	-	-
Rondon do Pará (Município) (150618)	46.964	46.964	34.696	8.246,390	46.964	34.696	100,0%	100,0%
Santa Bárbara do Pará (Município) (150635)	17.141	17.141	5.458	278,150	16.841	5.258	96,3%	98,2%
Santa Izabel do Pará (Município) (150650)	59.466	59.466	43.000	717,660	59.466	43.000	100,0%	100,0%
Santana do Araguaia (Município) (150670)	56.153	56.153	29.663	11.591,460	56.153	29.663	100,0%	100,0%
Santarém (Município) (150680)	294.580	294.580	215.790	17.898,390	294.580	215.790	100,0%	100,0%
São Félix do Xingu (Município) (150730)	91.340	91.340	45.113	84.212,850	91.340	45.113	100,0%	100,0%
São Miguel do Guamá (Município) (150760)	51.567	51.567	31.884	1.110,180	-	-	-	-
Tailândia (Município) (150795)	79.297	79.297	58.713	4.430,220	79.297	58.713	100,0%	100,0%
Tomé-Açu (Município) (150800)	56.518	56.518	31.563	5.145,360	56.518	31.563	100,0%	100,0%
Tucuruí (Município) (150810)	97.128	97.128	92.442	2.086,190	97.128	92.442	100,0%	100,0%
Ulianópolis (Município) (150812)	43.341	43.341	28.525	5.088,470	-	-	-	-
Vigia (Município) (150820)	47.889	47.889	32.353	539,080	47.409	31.873	98,5%	99,0%
Viseu (Município) (150830)	56.716	56.716	18.397	4.915,070	56.716	18.397	100,0%	100,0%
Macapá (Município) (160030)	398.204	398.204	381.214	6.503,460	376.070	359.080	94,2%	94,4%
Santana (Município) (160060)	101.262	101.262	99.111	1.541,220	99.865	97.714	98,6%	98,6%
Araguaína (Município) (170210)	150.484	150.484	142.925	4.000,420	131.324	123.765	86,6%	87,3%
Gurupi (Município) (170950)	76.755	76.755	75.000	1.836,090	58.904	57.149	76,2%	76,7%
Paraíso do Tocantins (Município) (171610)	44.417	44.417	42.473	1.268,060	40.998	39.054	92,0%	92,3%
Porto Nacional (Município) (171820)	49.146	49.146	42.435	4.449,920	29.664	22.953	54,1%	60,4%
Palmas (Município) (172100)	228.332	228.332	221.742	2.218,940	116.016	109.426	49,3%	50,8%
Açailândia (Município) (210005)	104.047	104.047	78.237	5.806,440	104.047	78.237	100,0%	100,0%
Alcântara (Município) (210020)	21.851	21.851	6.399	1.457,920	21.851	6.399	100,0%	100,0%
Bacabal (Município) (210120)	100.014	100.014	77.860	1.683,070	92.373	70.219	90,2%	92,4%
Balsas (Município) (210140)	83.528	83.528	72.771	13.141,760	83.528	72.771	100,0%	100,0%
Barra do Corda (Município) (210160)	82.830	82.830	51.648	5.190,340	82.830	51.648	100,0%	100,0%
Barreirinhas (Município) (210170)	54.930	54.930	22.053	3.026,540	54.930	22.053	100,0%	100,0%
Buriticupu (Município) (210232)	65.237	65.237	35.789	2.545,440	65.237	35.789	100,0%	100,0%
Caxias (Município) (210300)	155.129	155.129	118.534	5.196,770	154.379	117.784	99,4%	99,5%
Chapadinha (Município) (210320)	73.350	73.350	52.882	3.247,390	73.350	52.882	100,0%	100,0%
Codó (Município) (210330)	118.038	118.038	81.045	4.361,340	105.714	68.721	84,8%	89,6%
Coroatá (Município) (210360)	61.725	61.725	43.057	2.263,770	-	-	-	-
Grajaú (Município) (210480)	62.093	62.093	37.041	8.863,570	62.093	37.041	100,0%	100,0%
Imperatriz (Município) (210530)	247.505	247.505	234.547	1.368,990	185.356	172.398	73,5%	74,9%
Itapecuru Mirim (Município) (210540)	62.110	62.110	34.668	1.471,440	62.110	34.668	100,0%	100,0%
Paço do Lumiar (Município) (210750)	105.121	105.121	78.811	125,260	105.121	78.811	100,0%	100,0%
Pinheiro (Município) (210860)	78.162	78.162	46.487	1.512,970	78.162	46.487	100,0%	100,0%
Raposa (Município) (210945)	26.327	26.327	16.675	66,400	26.327	16.675	100,0%	100,0%
Santa Inês (Município) (210990)	77.282	77.282	73.197	786,690	77.282	73.197	100,0%	100,0%
Santa Luzia (Município) (211000)	74.043	74.043	25.789	4.837,040	74.043	25.789	100,0%	100,0%
São José de Ribamar (Município) (211120)	163.045	163.045	37.709	385,780	163.045	37.709	100,0%	100,0%
São Luís (Município) (211130)	1.014.837	1.014.837	958.522	834,830	550.933	494.618	51,6%	54,3%
Timon (Município) (211220)	155.460	155.460	135.133	1.764,610	155.460	135.133	100,0%	100,0%
Tutóia (Município) (211250)	52.788	52.788	18.680	1.651,650	52.788	18.680	100,0%	100,0%
Vargem Grande (Município) (211270)	49.412	49.412	26.687	1.957,750	49.412	26.687	100,0%	100,0%
Viana (Município) (211280)	49.496	49.496	26.915	1.168,440	-	-	-	-
Zé Doca (Município) (211400)	50.173	50.173	30.864	2.140,110	50.173	30.864	100,0%	100,0%
Altos (Município) (220040)	38.822	38.822	27.388	957,650	38.803	27.369	99,9%	100,0%
Beneditinos (Município) (220160)	9.911	9.911	6.261	788,580	9.911	6.261	100,0%	100,0%
Coivaras (Município) (220273)	3.811	3.811	1.173	485,500	3.811	1.173	100,0%	100,0%
Curralinhos (Município) (220325)	4.183	4.183	1.331	345,850	-	-	-	-
Demerval Lobão (Município) (220330)	13.278	13.278	10.873	216,810	13.278	10.873	100,0%	100,0%
Floriano (Município) (220390)	57.690	57.690	49.970	3.409,650	57.690	49.970	100,0%	100,0%
José de Freitas (Município) (220550)	37.085	37.085	21.601	1.538,170	37.085	21.601	100,0%	100,0%
Lagoa Alegre (Município) (220555)	8.008	8.008	3.042	394,660	8.008	3.042	100,0%	100,0%
Lagoa do Piauí (Município) (220558)	3.863	3.863	1.672	426,630	-	-	-	-
Miguel Leão (Município) (220630)	1.253	1.253	862	93,520	1.253	862	100,0%	100,0%
Monsenhor Gil (Município) (220640)	10.333	10.333	5.309	582,550	8.991	3.967	74,7%	87,0%
Nazária (Município) (220672)	8.068	8.068	1.652	363,590	8.068	1.652	100,0%	100,0%
Parnaíba (Município) (220770)	145.705	145.705	137.485	434,230	145.705	137.485	100,0%	100,0%
Pau D'Arco do Piauí (Município) (220779)	3.757	3.757	556	430,820	-	-	-	-
Picos (Município) (220800)	73.414	73.414	58.307	577,300	57.866	42.759	73,3%	78,8%
Piripiri (Município) (220840)	61.834	61.834	44.540	1.408,930	61.834	44.540	100,0%	100,0%
Teresina (Município) (221100)	814.230	814.230	767.557	1.391,980	690.307	643.634	83,9%	84,8%
União (Município) (221110)	42.654	42.654	20.965	1.173,450	42.654	20.965	100,0%	100,0%
Acaraú (Município) (230020)	57.551	57.551	28.242	842,560	55.673	26.364	93,4%	96,7%
Acopiara (Município) (230030)	51.160	51.160	25.228	2.265,350	47.813	21.881	86,7%	93,5%
Aquiraz (Município) (230100)	72.628	72.628	67.083	481,600	61.549	56.004	83,5%	84,7%
Aracati (Município) (230110)	69.159	69.159	44.035	1.228,060	68.615	43.491	98,8%	99,2%
Barbalha (Município) (230190)	55.323	55.323	38.022	569,510	51.667	34.366	90,4%	93,4%
Beberibe (Município) (230220)	49.311	49.311	21.611	1.623,880	44.770	17.070	79,0%	90,8%
Boa Viagem (Município) (230240)	52.498	52.498	26.604	2.836,780	39.664	13.770	51,8%	75,6%
Camocim (Município) (230260)	60.158	60.158	44.657	1.124,780	46.666	31.165	69,8%	77,6%
Canindé (Município) (230280)	74.473	74.473	46.875	3.218,480	63.729	36.131	77,1%	85,6%
Cascavel (Município) (230350)	66.142	66.142	56.157	835,000	64.929	54.944	97,8%	98,2%
Caucaia (Município) (230370)	325.441	325.441	290.220	1.228,510	228.947	193.726	66,8%	70,3%
Chorozinho (Município) (230395)	18.915	18.915	11.426	278,410	18.915	11.426	100,0%	100,0%
Crateús (Município) (230410)	72.812	72.812	52.644	2.985,150	57.123	36.955	70,2%	78,5%
Crato (Município) (230420)	121.428	121.428	100.916	1.176,470	69.086	48.574	48,1%	56,9%
Eusébio (Município) (230428)	46.033	46.033	46.033	79,010	43.190	43.190	93,8%	93,8%
Fortaleza (Município) (230440)	2.452.185	2.452.185	2.452.185	314,930	1.267.675	1.267.675	51,7%	51,7%
Granja (Município) (230470)	52.645	52.645	25.892	2.663,030	-	-	-	-
Guaiúba (Município) (230495)	24.091	24.091	18.877	267,130	21.918	16.704	88,5%	91,0%
Horizonte (Município) (230523)	55.187	55.187	51.049	160,760	53.359	49.221	96,4%	96,7%
Icó (Município) (230540)	65.456	65.456	30.463	1.872,000	49.899	14.906	48,9%	76,2%
Iguatu (Município) (230550)	96.495	96.495	74.627	1.029,210	85.536	63.668	85,3%	88,6%
Itaitinga (Município) (230625)	35.817	35.817	35.565	151,630	35.235	34.983	98,4%	98,4%
Itapajé (Município) (230630)	48.350	48.350	33.990	430,570	-	-	-	-
Itapipoca (Município) (230640)	116.065	116.065	66.909	1.614,160	96.624	47.468	70,9%	83,2%
Juazeiro do Norte (Município) (230730)	249.939	249.939	240.128	248,830	193.777	183.966	76,6%	77,5%
Limoeiro do Norte (Município) (230760)	56.264	56.264	32.483	750,070	49.152	25.371	78,1%	87,4%
Maracanaú (Município) (230765)	209.057	209.057	207.623	106,650	144.938	143.504	69,1%	69,3%
Maranguape (Município) (230770)	113.561	113.561	86.309	590,870	110.198	82.946	96,1%	97,0%
Morada Nova (Município) (230870)	62.065	62.065	35.401	2.778,580	60.547	33.883	95,7%	97,6%
Pacajus (Município) (230960)	61.838	61.838	50.675	254,640	61.838	50.675	100,0%	100,0%
Pacatuba (Município) (230970)	72.299	72.299	62.095	131,990	38.474	28.270	45,5%	53,2%
Pindoretama (Município) (231085)	18.683	18.683	11.280	75,140	18.683	11.280	100,0%	100,0%
Quixadá (Município) (231130)	80.604	80.604	57.485	2.019,830	74.593	51.474	89,5%	92,5%
Quixeramobim (Município) (231140)	71.887	71.887	43.424	3.275,630	71.887	43.424	100,0%	100,0%
Russas (Município) (231180)	69.833	69.833	44.952	1.590,260	60.672	35.791	79,6%	86,9%
São Gonçalo do Amarante (Município) (231240)	43.890	43.890	28.537	834,450	39.368	24.015	84,2%	89,7%
Sobral (Município) (231290)	188.233	188.233	166.310	2.122,900	60.575	38.652	23,2%	32,2%
Tauá (Município) (231330)	55.716	55.716	32.259	4.018,160	53.530	30.073	93,2%	96,1%
Tianguá (Município) (231340)	68.892	68.892	45.819	908,890	57.643	34.570	75,4%	83,7%
Trairi (Município) (231350)	51.422	51.422	18.784	925,720	50.624	17.986	95,8%	98,4%
Viçosa do Ceará (Município) (231410)	54.955	54.955	17.827	1.311,630	52.794	15.666	87,9%	96,1%
Açu (Município) (240020)	53.227	53.227	39.359	1.303,440	53.227	39.359	100,0%	100,0%
Caicó (Município) (240200)	62.709	62.709	57.461	1.228,580	58.288	53.040	92,3%	92,9%
Ceará-Mirim (Município) (240260)	68.141	68.141	35.494	724,380	52.831	20.184	56,9%	77,5%
Parnamirim (Município) (240325)	202.456	202.456	202.456	123,470	201.014	201.014	99,3%	99,3%
Extremoz (Município) (240360)	24.569	24.569	15.769	139,580	24.569	15.769	100,0%	100,0%
Macaíba (Município) (240710)	69.467	69.467	42.631	510,770	68.333	41.497	97,3%	98,4%
Monte Alegre (Município) (240780)	20.685	20.685	9.002	210,920	19.418	7.735	85,9%	93,9%
Mossoró (Município) (240800)	259.815	259.815	237.241	2.099,330	175.576	153.002	64,5%	67,6%
Natal (Município) (240810)	803.739	803.739	803.739	167,260	539.763	539.763	67,2%	67,2%
Nísia Floresta (Município) (240820)	23.784	23.784	9.380	307,840	23.784	9.380	100,0%	100,0%
São Gonçalo do Amarante (Município) (241200)	87.668	87.668	74.099	249,120	59.031	45.462	61,4%	67,3%
São José de Mipibu (Município) (241220)	39.776	39.776	18.232	290,330	39.527	17.983	98,6%	99,4%
Vera Cruz (Município) (241480)	10.719	10.719	4.695	83,890	10.719	4.695	100,0%	100,0%
Alhandra (Município) (250060)	18.007	18.007	11.153	182,660	18.007	11.153	100,0%	100,0%
Bayeux (Município) (250180)	99.716	99.716	98.793	27,540	92.639	91.716	92,8%	92,9%
Caaporã (Município) (250300)	20.362	20.362	17.548	150,170	20.362	17.548	100,0%	100,0%
Cabedelo (Município) (250320)	57.944	57.944	57.936	31,920	47.586	47.578	82,1%	82,1%
Cajazeiras (Município) (250370)	58.446	58.446	47.501	565,900	52.119	41.174	86,7%	89,2%
Campina Grande (Município) (250400)	385.213	385.213	367.209	593,030	118.997	100.993	27,5%	30,9%
Conde (Município) (250460)	21.400	21.400	14.487	172,950	21.400	14.487	100,0%	100,0%
Cruz do Espírito Santo (Município) (250490)	16.257	16.257	7.440	191,100	16.257	7.440	100,0%	100,0%
Guarabira (Município) (250630)	55.326	55.326	48.960	165,740	27.548	21.182	43,3%	49,8%
João Pessoa (Município) (250750)	723.515	723.515	720.785	211,480	397.525	394.795	54,8%	54,9%
Lucena (Município) (250860)	11.730	11.730	10.152	88,550	11.730	10.152	100,0%	100,0%
Mamanguape (Município) (250890)	42.303	42.303	34.234	340,480	42.303	34.234	100,0%	100,0%
Patos (Município) (251080)	100.674	100.674	97.278	473,060	96.228	92.832	95,4%	95,6%
Pedras de Fogo (Município) (251120)	27.032	27.032	16.358	404,880	26.129	15.455	94,5%	96,7%
Pitimbu (Município) (251190)	17.024	17.024	10.384	136,440	17.024	10.384	100,0%	100,0%
Rio Tinto (Município) (251290)	22.976	22.976	13.057	465,670	22.976	13.057	100,0%	100,0%
Santa Rita (Município) (251370)	120.310	120.310	103.717	730,210	115.700	99.107	95,6%	96,2%
Sapé (Município) (251530)	50.143	50.143	38.141	315,530	45.184	33.182	87,0%	90,1%
Sousa (Município) (251620)	65.803	65.803	51.881	738,550	42.268	31.196	60,1%	64,2%
Abreu e Lima (Município) (260005)	94.429	94.429	86.625	126,190	73.470	65.666	75,8%	77,8%
Araçoiaba (Município) (260105)	18.156	18.156	15.268	96,380	18.156	15.268	100,0%	100,0%
Araripina (Município) (260110)	77.302	77.302	46.908	2.037,390	25.702	10.908	23,3%	33,2%
Arcoverde (Município) (260120)	68.793	68.793	62.668	323,370	66.264	60.139	96,0%	96,3%
Belo Jardim (Município) (260170)	72.432	72.432	58.233	647,700	72.432	58.233	100,0%	100,0%
Bezerros (Município) (260190)	58.668	58.668	49.740	490,820	58.668	49.740	100,0%	100,0%
Brejo da Madre de Deus (Município) (260260)	45.180	45.180	35.124	762,350	45.180	35.124	100,0%	100,0%
Buíque (Município) (260280)	52.105	52.105	21.195	1.320,870	52.105	21.195	100,0%	100,0%
Cabo de Santo Agostinho (Município) (260290)	185.025	185.025	167.783	448,740	170.552	153.310	91,4%	92,2%
Camaragibe (Município) (260345)	144.466	144.466	144.466	51,260	142.481	142.481	98,6%	98,6%
Carpina (Município) (260400)	74.858	74.858	72.056	147,670	74.858	72.056	100,0%	100,0%
Caruaru (Município) (260410)	314.912	314.912	279.589	920,610	194.729	159.406	57,0%	61,8%
Escada (Município) (260520)	63.517	63.517	53.964	342,200	63.517	53.964	100,0%	100,0%
Garanhuns (Município) (260600)	129.408	129.408	115.356	458,550	119.604	105.552	91,5%	92,4%
Goiana (Município) (260620)	75.644	75.644	58.025	445,810	75.644	58.025	100,0%	100,0%
Gravatá (Município) (260640)	76.458	76.458	68.385	506,790	74.968	66.895	97,8%	98,1%
Igarassu (Município) (260680)	102.021	102.021	93.931	305,560	100.519	92.429	98,4%	98,5%
Ipojuca (Município) (260720)	80.637	80.637	59.719	527,110	80.637	59.719	100,0%	100,0%
Ilha de Itamaracá (Município) (260760)	21.884	21.884	16.993	66,680	-	-	-	-
Itapissuma (Município) (260775)	23.769	23.769	18.320	74,240	23.769	18.320	100,0%	100,0%
Jaboatão dos Guararapes (Município) (260790)	644.620	644.620	630.595	258,690	600.543	586.518	93,0%	93,2%
Limoeiro (Município) (260890)	55.439	55.439	44.560	273,740	55.439	44.560	100,0%	100,0%
Moreno (Município) (260940)	56.696	56.696	50.197	196,070	46.819	40.320	80,3%	82,6%
Olinda (Município) (260960)	377.779	377.779	370.332	41,680	255.592	248.145	67,0%	67,7%
Ouricuri (Município) (260990)	64.358	64.358	32.596	2.381,580	64.358	32.596	100,0%	100,0%
Palmares (Município) (261000)	59.526	59.526	46.886	339,290	59.526	46.886	100,0%	100,0%
Paudalho (Município) (261060)	51.357	51.357	36.332	274,780	51.357	36.332	100,0%	100,0%
Paulista (Município) (261070)	300.466	300.466	300.466	97,310	194.365	194.365	64,7%	64,7%
Pesqueira (Município) (261090)	62.931	62.931	45.126	980,880	62.931	45.126	100,0%	100,0%
Petrolina (Município) (261110)	293.962	293.962	219.215	4.561,870	147.768	73.021	33,3%	50,3%
Recife (Município) (261160)	1.537.704	1.537.704	1.537.704	218,440	997.120	997.120	64,8%	64,8%
Salgueiro (Município) (261220)	56.629	56.629	45.713	1.686,810	56.629	45.713	100,0%	100,0%
Santa Cruz do Capibaribe (Município) (261250)	87.582	87.582	85.594	335,310	0	0	0,0%	0,0%
São Bento do Una (Município) (261300)	53.242	53.242	27.899	719,150	53.242	27.899	100,0%	100,0%
São Lourenço da Mata (Município) (261370)	102.895	102.895	96.777	262,110	94.193	88.075	91,0%	91,5%
Serra Talhada (Município) (261390)	79.232	79.232	61.275	2.980,010	79.232	61.275	100,0%	100,0%
Surubim (Município) (261450)	58.515	58.515	44.036	252,860	58.515	44.036	100,0%	100,0%
Timbaúba (Município) (261530)	53.825	53.825	46.367	292,990	53.825	46.367	100,0%	100,0%
Vitória de Santo Antão (Município) (261640)	129.974	129.974	113.429	335,940	99.182	82.637	72,9%	76,3%
Arapiraca (Município) (270030)	214.006	214.006	181.481	345,660	214.006	181.481	100,0%	100,0%
Barra de Santo Antônio (Município) (270050)	14.230	14.230	13.242	131,630	-	-	-	-
Barra de São Miguel (Município) (270060)	7.574	7.574	6.521	76,620	7.574	6.521	100,0%	100,0%
Campo Alegre (Município) (270140)	50.816	50.816	22.161	312,710	40.316	11.661	52,6%	79,3%
Coqueiro Seco (Município) (270220)	5.526	5.526	4.973	39,610	5.526	4.973	100,0%	100,0%
Coruripe (Município) (270230)	52.130	52.130	46.043	898,630	-	-	-	-
Delmiro Gouveia (Município) (270240)	48.096	48.096	34.854	626,690	20.388	10.456	30,0%	42,4%
Maceió (Município) (270430)	932.748	932.748	932.129	509,550	612.153	611.534	65,6%	65,6%
Marechal Deodoro (Município) (270470)	45.977	45.977	43.392	332,140	34.757	32.172	74,1%	75,6%
Messias (Município) (270520)	15.682	15.682	14.263	114,160	15.682	14.263	100,0%	100,0%
Palmeira dos Índios (Município) (270630)	70.368	70.368	51.610	450,960	70.368	51.610	100,0%	100,0%
Paripueira (Município) (270644)	11.347	11.347	10.049	92,850	11.347	10.049	100,0%	100,0%
Penedo (Município) (270670)	60.378	60.378	45.020	689,880	60.378	45.020	100,0%	100,0%
Pilar (Município) (270690)	33.305	33.305	31.801	251,070	33.305	31.801	100,0%	100,0%
Rio Largo (Município) (270770)	68.481	68.481	55.947	293,820	68.481	55.947	100,0%	100,0%
Santa Luzia do Norte (Município) (270790)	6.891	6.891	6.172	28,860	6.891	6.172	100,0%	100,0%
São Miguel dos Campos (Município) (270860)	54.577	54.577	52.566	360,880	18.251	16.240	30,9%	33,4%
Satuba (Município) (270890)	14.603	14.603	12.792	41,270	14.603	12.792	100,0%	100,0%
União dos Palmares (Município) (270930)	62.358	62.358	47.651	420,720	62.358	47.651	100,0%	100,0%
Aracaju (Município) (280030)	571.149	571.149	571.149	181,860	379.156	379.156	66,4%	66,4%
Barra dos Coqueiros (Município) (280060)	24.976	24.976	20.886	89,600	24.976	20.886	100,0%	100,0%
Estância (Município) (280210)	64.409	64.409	54.760	644,490	64.409	54.760	100,0%	100,0%
Itabaiana (Município) (280290)	86.967	86.967	67.709	337,300	86.967	67.709	100,0%	100,0%
Lagarto (Município) (280350)	94.861	94.861	48.867	968,920	91.649	45.655	93,4%	96,6%
Nossa Senhora do Socorro (Município) (280480)	160.827	160.827	155.823	155,020	114.398	109.394	70,2%	71,1%
São Cristóvão (Município) (280670)	78.864	78.864	66.665	438,040	63.811	51.612	77,4%	80,9%
Tobias Barreto (Município) (280740)	48.040	48.040	32.228	1.024,190	48.040	32.228	100,0%	100,0%
Alagoinhas (Município) (290070)	141.949	141.949	124.042	707,560	133.722	116.365	93,8%	94,2%
Araci (Município) (290210)	51.651	51.651	19.638	1.495,550	34.959	2.946	15,0%	67,7%
Barra (Município) (290270)	49.325	49.325	22.446	11.422,540	49.325	22.446	100,0%	100,0%
Barreiras (Município) (290320)	137.427	137.427	123.741	7.861,760	126.976	113.294	91,6%	92,4%
Bom Jesus da Lapa (Município) (290390)	63.480	63.480	43.099	4.115,510	47.489	27.108	62,9%	74,8%
Brumado (Município) (290460)	64.602	64.602	45.131	2.207,610	63.137	43.666	96,8%	97,7%
Caetité (Município) (290520)	47.515	47.515	28.447	2.651,540	47.515	28.447	100,0%	100,0%
Camaçari (Município) (290570)	242.970	242.970	231.973	784,660	201.484	190.487	82,1%	82,9%
Campo Formoso (Município) (290600)	66.616	66.616	24.863	7.161,830	66.616	24.863	100,0%	100,0%
Candeias (Município) (290650)	83.158	83.158	75.994	251,630	64.573	57.409	75,5%	77,7%
Casa Nova (Município) (290720)	64.940	64.940	37.543	9.647,070	-	-	-	-
