Localidade	"Extensão da rede de distribuição de água, em km
(km) (SNIS)"	"Extensão da rede de distribuição de esgoto, em km
(km) (SNIS)"	"Investimentos realizados pelo prestador de serviços, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo município, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos realizados pelo governo estadual, em R$ de 2017
(R$ a preços de 2019) (ITB)"	"Investimentos totais em saneamento
(R$ a preços de 2019) (ITB)"	"Investimentos per capita em saneamento
(R$ a preços de 2019) (ITB)"
Capitão Poço (Município) (150230)	36,00	0,00	0,00	0,00	0,00	0,00	0,00
Castanhal (Município) (150240)	384,00	0,00	0,00	0,00	0,00	0,00	0,00
Dom Eliseu (Município) (150293)	40,00	0,00	0,00	0,00	6.605.228,82	6.605.228,82	124,39
Igarapé-Miri (Município) (150330)	65,00	0,00	0,00	0,00	1.212.021,57	1.212.021,57	20,58
Ipixuna do Pará (Município) (150345)	-	-	-	-	-	-	-
Itaituba (Município) (150360)	58,00	0,00	0,00	0,00	2.289.791,77	2.289.791,77	23,39
Itupiranga (Município) (150370)	9,00	0,00	0,00	0,00	0,00	0,00	0,00
Jacundá (Município) (150380)	37,00	0,00	0,00	0,00	0,00	0,00	0,00
Juruti (Município) (150390)	-	-	-	-	-	-	-
Marabá (Município) (150420)	235,00	0,00	0,00	0,00	52.929.766,03	52.929.766,03	217,30
Marituba (Município) (150442)	59,00	0,00	0,00	0,00	2.347.539,21	2.347.539,21	20,71
Moju (Município) (150470)	25,00	0,00	0,00	0,00	0,00	0,00	0,00
Monte Alegre (Município) (150480)	56,00	30,00	0,00	0,00	3.862.010,79	3.862.010,79	69,21
Novo Repartimento (Município) (150506)	30,00	0,00	0,00	0,00	228.985,33	228.985,33	3,52
Óbidos (Município) (150510)	66,00	0,00	0,00	0,00	0,00	0,00	0,00
Oriximiná (Município) (150530)	685,00	0,00	0,00	413.985,03	236.889,17	650.874,20	10,02
Paragominas (Município) (150550)	158,00	8,70	265.266,63	3.541.958,22	0,00	3.807.224,85	37,68
Parauapebas (Município) (150553)	477,00	38,00	0,00	0,00	0,00	0,00	0,00
Portel (Município) (150580)	22,00	0,00	0,00	0,00	0,00	0,00	0,00
Redenção (Município) (150613)	-	-	-	-	-	-	-
Rondon do Pará (Município) (150618)	196,70	0,00	212.193,40	0,00	0,00	212.193,40	4,42
Santa Bárbara do Pará (Município) (150635)	60,00	40,00	0,00	74.081,57	0,00	74.081,57	4,11
Santa Izabel do Pará (Município) (150650)	-	-	-	-	-	-	-
Santana do Araguaia (Município) (150670)	92,00	0,00	0,00	253.970,45	0,00	253.970,45	4,24
Santarém (Município) (150680)	361,00	126,00	0,00	0,00	901.542,89	901.542,89	3,17
São Félix do Xingu (Município) (150730)	7,00	0,00	0,00	0,00	0,00	0,00	0,00
São Miguel do Guamá (Município) (150760)	50,00	0,00	0,00	0,00	0,00	0,00	0,00
Tailândia (Município) (150795)	50,00	0,00	0,00	0,00	0,00	0,00	0,00
Tomé-Açu (Município) (150800)	82,00	0,00	0,00	42.207,86	0,00	42.207,86	0,73
Tucuruí (Município) (150810)	145,00	0,00	0,00	0,00	0,00	0,00	0,00
Ulianópolis (Município) (150812)	-	-	-	-	-	-	-
Vigia (Município) (150820)	35,00	0,00	0,00	0,00	0,00	0,00	0,00
Viseu (Município) (150830)	15,00	0,00	0,00	0,00	0,00	0,00	0,00
Macapá (Município) (160030)	667,30	89,29	0,00	0,00	21.470.312,92	21.470.312,92	51,67
Santana (Município) (160060)	127,70	9,42	0,00	0,00	6.352.106,21	6.352.106,21	60,84
Araguaína (Município) (170210)	772,83	88,56	8.888.294,75	0,00	0,00	8.888.294,75	56,93
Gurupi (Município) (170950)	425,55	123,00	4.295.273,17	0,00	0,00	4.295.273,17	54,70
Paraíso do Tocantins (Município) (171610)	235,25	19,79	6.080.955,48	0,00	0,00	6.080.955,48	133,15
Porto Nacional (Município) (171820)	311,73	178,84	5.971.001,46	0,00	0,00	5.971.001,46	119,96
Palmas (Município) (172100)	1.398,98	552,08	33.466.961,34	0,00	0,00	33.466.961,34	138,25
Açailândia (Município) (210005)	95,00	0,00	325,60	0,00	0,00	325,60	0,00
Alcântara (Município) (210020)	12,84	0,00	0,00	0,00	0,00	0,00	0,00
Bacabal (Município) (210120)	173,00	29,01	333.700,29	0,00	0,00	333.700,29	3,30
Balsas (Município) (210140)	272,06	0,00	17.890,82	0,00	0,00	17.890,82	0,21
Barra do Corda (Município) (210160)	105,20	0,00	0,00	0,00	0,00	0,00	0,00
Barreirinhas (Município) (210170)	46,41	10,35	0,00	0,00	0,00	0,00	0,00
Buriticupu (Município) (210232)	52,80	0,00	2.948,20	0,00	0,00	2.948,20	0,04
Caxias (Município) (210300)	650,00	49,17	1.027.552,32	0,00	0,00	1.027.552,32	6,50
Chapadinha (Município) (210320)	71,69	0,00	0,00	0,00	0,00	0,00	0,00
Codó (Município) (210330)	280,00	35,00	630.063,92	0,00	0,00	630.063,92	5,29
Coroatá (Município) (210360)	26,20	0,00	0,00	0,00	0,00	0,00	0,00
Grajaú (Município) (210480)	1,67	0,00	267.112,96	0,00	0,00	267.112,96	4,14
Imperatriz (Município) (210530)	543,22	112,94	38.069,11	0,00	0,00	38.069,11	0,15
Itapecuru Mirim (Município) (210540)	54,16	0,00	0,00	0,00	0,00	0,00	0,00
Paço do Lumiar (Município) (210750)	230,15	9,38	350.472,43	0,00	0,00	350.472,43	3,18
Pinheiro (Município) (210860)	76,80	0,00	5.279,03	0,00	0,00	5.279,03	0,07
Raposa (Município) (210945)	-	-	-	-	-	-	-
Santa Inês (Município) (210990)	145,87	0,00	7.553,85	0,00	0,00	7.553,85	0,10
Santa Luzia (Município) (211000)	40,20	0,00	296.809,63	0,00	0,00	296.809,63	3,96
São José de Ribamar (Município) (211120)	102,30	0,00	0,00	0,00	0,00	0,00	0,00
São Luís (Município) (211130)	5.887,49	932,00	6.908.155,94	0,00	0,00	6.908.155,94	6,64
Timon (Município) (211220)	405,00	0,00	570.520,73	0,00	0,00	570.520,73	3,58
Tutóia (Município) (211250)	24,00	0,00	0,00	0,00	0,00	0,00	0,00
Vargem Grande (Município) (211270)	56,50	0,00	14.130,16	0,00	0,00	14.130,16	0,27
Viana (Município) (211280)	45,00	0,00	0,00	0,00	0,00	0,00	0,00
Zé Doca (Município) (211400)	30,70	0,00	0,00	0,00	0,00	0,00	0,00
Altos (Município) (220040)	28,13	10,38	0,00	0,00	0,00	0,00	0,00
Beneditinos (Município) (220160)	18,50	0,00	0,00	0,00	0,00	0,00	0,00
Coivaras (Município) (220273)	25,00	0,00	0,00	0,00	0,00	0,00	0,00
Curralinhos (Município) (220325)	-	-	-	-	-	-	-
Demerval Lobão (Município) (220330)	32,60	0,00	3.452.001,92	0,00	0,00	3.452.001,92	257,65
Floriano (Município) (220390)	206,50	0,00	2.015.562,41	0,00	0,00	2.015.562,41	34,66
José de Freitas (Município) (220550)	49,50	0,00	0,00	0,00	0,00	0,00	0,00
Lagoa Alegre (Município) (220555)	17,06	0,00	124.190,99	0,00	0,00	124.190,99	15,17
Lagoa do Piauí (Município) (220558)	-	-	-	-	-	-	-
Miguel Leão (Município) (220630)	2,50	0,00	0,00	0,00	0,00	0,00	0,00
Monsenhor Gil (Município) (220640)	30,00	0,00	0,00	0,00	0,00	0,00	0,00
Nazária (Município) (220672)	6,00	0,00	0,00	0,00	0,00	0,00	0,00
Parnaíba (Município) (220770)	236,00	0,00	3.106.360,12	0,00	0,00	3.106.360,12	21,03
Pau D'Arco do Piauí (Município) (220779)	-	-	-	-	-	-	-
Picos (Município) (220800)	133,00	44,22	1.739.431,50	0,00	0,00	1.739.431,50	23,04
Piripiri (Município) (220840)	162,25	0,00	1.717.628,83	0,00	0,00	1.717.628,83	27,66
Teresina (Município) (221100)	1.515,24	478,80	14.512.309,31	5.461.070,76	0,00	19.973.380,07	24,06
União (Município) (221110)	65,00	0,00	7.343.786,34	0,00	0,00	7.343.786,34	170,45
Acaraú (Município) (230020)	86,79	21,08	603.218,16	0,00	0,00	603.218,16	10,25
Acopiara (Município) (230030)	40,05	23,81	148.765,41	0,00	0,00	148.765,41	2,87
Aquiraz (Município) (230100)	112,23	36,23	18.397,56	0,00	0,00	18.397,56	0,25
Aracati (Município) (230110)	95,48	9,29	7.361.642,09	0,00	0,00	7.361.642,09	104,62
Barbalha (Município) (230190)	52,72	46,33	168.467,01	0,00	0,00	168.467,01	2,98
Beberibe (Município) (230220)	43,30	18,41	0,00	0,00	0,00	0,00	0,00
Boa Viagem (Município) (230240)	211,12	63,40	254.712,31	3.630.094,72	0,00	3.884.807,03	73,54
Camocim (Município) (230260)	118,03	81,20	0,00	0,00	0,00	0,00	0,00
Canindé (Município) (230280)	109,30	23,00	11.369,39	0,00	0,00	11.369,39	0,15
Cascavel (Município) (230350)	115,22	4,97	369.244,50	0,00	0,00	369.244,50	5,47
Caucaia (Município) (230370)	387,90	247,04	21.640.230,49	0,00	0,00	21.640.230,49	64,39
Chorozinho (Município) (230395)	28,93	0,00	0,00	0,00	0,00	0,00	0,00
Crateús (Município) (230410)	151,75	132,47	902.203,63	0,00	0,00	902.203,63	12,34
Crato (Município) (230420)	223,00	245,00	0,00	0,00	0,00	0,00	0,00
Eusébio (Município) (230428)	133,56	34,80	0,00	0,00	0,00	0,00	0,00
Fortaleza (Município) (230440)	4.604,09	2.260,16	183.857.669,52	0,00	0,00	183.857.669,52	73,54
Granja (Município) (230470)	43,00	1,86	0,00	0,00	0,00	0,00	0,00
Guaiúba (Município) (230495)	38,66	10,83	13.653,54	0,00	0,00	13.653,54	0,55
Horizonte (Município) (230523)	161,40	3,62	0,00	0,00	0,00	0,00	0,00
Icó (Município) (230540)	129,00	45,00	121.340,00	412.367,37	0,00	533.707,37	8,10
Iguatu (Município) (230550)	261,31	31,00	1.577.503,25	0,00	0,00	1.577.503,25	16,07
Itaitinga (Município) (230625)	181,48	2,96	6.673,18	0,00	0,00	6.673,18	0,18
Itapajé (Município) (230630)	12,50	1,20	0,00	0,00	0,00	0,00	0,00
Itapipoca (Município) (230640)	214,60	49,95	58.111,53	0,00	0,00	58.111,53	0,49
Juazeiro do Norte (Município) (230730)	946,99	149,22	659.191,36	0,00	0,00	659.191,36	2,58
Limoeiro do Norte (Município) (230760)	130,00	70,00	1.747.616,44	57.989,25	0,00	1.805.605,69	32,10
Maracanaú (Município) (230765)	106,62	191,47	42.969,88	0,00	0,00	42.969,88	0,20
Maranguape (Município) (230770)	235,40	9,61	10.350.302,71	0,00	0,00	10.350.302,71	88,23
Morada Nova (Município) (230870)	479,00	4,00	34.593,44	0,00	0,00	34.593,44	0,56
Pacajus (Município) (230960)	132,64	9,11	32.435,98	0,00	0,00	32.435,98	0,50
Pacatuba (Município) (230970)	111,36	18,90	1.537.765,74	0,00	0,00	1.537.765,74	20,39
Pindoretama (Município) (231085)	25,00	0,00	17.727,49	0,00	0,00	17.727,49	0,92
Quixadá (Município) (231130)	139,50	15,78	2.629.730,08	0,00	0,00	2.629.730,08	31,97
Quixeramobim (Município) (231140)	292,00	0,00	554.454,62	0,00	0,00	554.454,62	7,51
Russas (Município) (231180)	129,64	51,42	3.040.243,59	0,00	0,00	3.040.243,59	42,39
São Gonçalo do Amarante (Município) (231240)	98,53	50,86	160.724,07	0,00	0,00	160.724,07	3,56
Sobral (Município) (231290)	381,22	280,00	1.243.427,31	0,00	0,00	1.243.427,31	6,44
Tauá (Município) (231330)	70,23	19,09	1.388.076,39	0,00	0,00	1.388.076,39	24,65
Tianguá (Município) (231340)	178,28	70,27	294.662,19	0,00	0,00	294.662,19	4,18
Trairi (Município) (231350)	39,74	7,00	0,00	0,00	0,00	0,00	0,00
Viçosa do Ceará (Município) (231410)	42,24	15,00	1.649.366,70	0,00	0,00	1.649.366,70	29,25
Açu (Município) (240020)	136,94	0,00	317.505,99	0,00	0,00	317.505,99	5,88
Caicó (Município) (240200)	110,15	10,23	943.692,77	0,00	145.163,63	1.088.856,40	17,13
Ceará-Mirim (Município) (240260)	170,98	42,80	35.621,75	0,00	0,00	35.621,75	0,52
Parnamirim (Município) (240325)	299,51	0,78	1.606.047,50	0,00	5.842.974,57	7.449.022,07	34,78
Extremoz (Município) (240360)	165,00	0,00	314.586,38	0,00	0,00	314.586,38	12,42
Macaíba (Município) (240710)	191,25	21,53	1.771.063,95	0,00	368.031,47	2.139.095,42	29,85
Monte Alegre (Município) (240780)	67,89	3,06	259.526,42	0,00	0,00	259.526,42	12,38
Mossoró (Município) (240800)	390,91	208,67	22.935.122,10	0,00	44.385.715,25	67.320.837,34	252,37
Natal (Município) (240810)	1.578,71	519,04	10.561.725,55	0,00	10.550.524,25	21.112.249,80	25,82
Nísia Floresta (Município) (240820)	47,92	0,00	234.732,27	0,00	323.049,62	557.781,88	22,77
São Gonçalo do Amarante (Município) (241200)	402,00	38,85	0,00	0,00	0,00	0,00	0,00
São José de Mipibu (Município) (241220)	60,40	0,30	176.982,28	0,00	115.729,46	292.711,74	7,23
Vera Cruz (Município) (241480)	19,77	0,00	90.254,37	0,00	0,00	90.254,37	8,17
Alhandra (Município) (250060)	19,68	0,00	1.715.515,25	0,00	0,00	1.715.515,25	93,62
Bayeux (Município) (250180)	104,57	19,80	265.153,91	0,00	1.506.260,49	1.771.414,40	17,62
Caaporã (Município) (250300)	31,16	0,00	11.100,42	0,00	0,00	11.100,42	0,54
Cabedelo (Município) (250320)	73,72	5,48	297.459,68	0,00	325.968,50	623.428,18	10,35
Cajazeiras (Município) (250370)	123,81	22,30	250.528,79	0,00	0,00	250.528,79	4,24
Campina Grande (Município) (250400)	561,96	302,20	4.659.208,06	0,00	3.649.356,74	8.308.564,80	21,30
Conde (Município) (250460)	18,88	0,00	0,00	0,00	0,00	0,00	0,00
Cruz do Espírito Santo (Município) (250490)	18,32	0,00	0,00	0,00	0,00	0,00	0,00
Guarabira (Município) (250630)	114,32	35,11	64.989,94	0,00	0,00	64.989,94	1,16
João Pessoa (Município) (250750)	1.004,10	511,78	0,00	0,00	31.336.471,37	31.336.471,37	42,21
Lucena (Município) (250860)	19,11	0,00	0,00	0,00	0,00	0,00	0,00
Mamanguape (Município) (250890)	49,63	5,83	0,00	0,00	0,00	0,00	0,00
Patos (Município) (251080)	164,23	11,12	0,00	0,00	1.646.745,82	1.646.745,82	16,14
Pedras de Fogo (Município) (251120)	14,71	3,77	0,00	0,00	0,00	0,00	0,00
Pitimbu (Município) (251190)	6,07	0,00	0,00	0,00	0,00	0,00	0,00
Rio Tinto (Município) (251290)	44,01	0,00	54.547,76	0,00	0,00	54.547,76	2,33
Santa Rita (Município) (251370)	104,23	14,79	0,00	0,00	1.638.283,04	1.638.283,04	13,43
Sapé (Município) (251530)	85,75	17,19	41.058,36	0,00	460.908,88	501.967,25	9,93
Sousa (Município) (251620)	271,20	129,70	625.261,10	0,00	0,00	625.261,10	9,41
Abreu e Lima (Município) (260005)	191,76	73,02	843.028,52	0,00	0,00	843.028,52	8,85
Araçoiaba (Município) (260105)	17,60	0,00	184.898,42	0,00	0,00	184.898,42	9,93
Araripina (Município) (260110)	110,78	75,78	191.548,33	285.521,01	0,00	477.069,34	6,10
Arcoverde (Município) (260120)	149,24	6,54	558.186,35	0,00	0,00	558.186,35	7,99
Belo Jardim (Município) (260170)	190,09	71,00	273.727,80	0,00	0,00	273.727,80	3,75
Bezerros (Município) (260190)	127,89	0,00	1.380.167,95	0,00	0,00	1.380.167,95	23,45
Brejo da Madre de Deus (Município) (260260)	66,71	0,00	56.055,64	0,00	0,00	56.055,64	1,21
Buíque (Município) (260280)	41,10	0,00	39.259,25	0,00	0,00	39.259,25	0,74
Cabo de Santo Agostinho (Município) (260290)	374,80	38,96	11.641.377,54	0,00	0,00	11.641.377,54	61,52
Camaragibe (Município) (260345)	305,81	5,61	523.343,82	0,00	0,00	523.343,82	3,56
Carpina (Município) (260400)	174,07	0,00	288.247,88	0,00	0,00	288.247,88	3,77
Caruaru (Município) (260410)	745,87	332,07	13.743.461,33	0,00	0,00	13.743.461,33	42,41
Escada (Município) (260520)	111,18	0,00	375.878,59	0,00	0,00	375.878,59	5,83
Garanhuns (Município) (260600)	296,42	26,19	813.109,24	0,00	0,00	813.109,24	6,20
Goiana (Município) (260620)	140,39	0,00	2.814.798,93	0,00	0,00	2.814.798,93	37,08
Gravatá (Município) (260640)	288,52	5,96	553.334,10	0,00	0,00	553.334,10	7,11
Igarassu (Município) (260680)	213,23	5,20	327.239,56	0,00	0,00	327.239,56	3,12
Ipojuca (Município) (260720)	113,69	0,00	8.067.085,97	0,00	0,00	8.067.085,97	96,19
Ilha de Itamaracá (Município) (260760)	103,03	0,00	1.428.319,50	0,00	0,00	1.428.319,50	62,66
Itapissuma (Município) (260775)	40,50	0,00	51.337,87	0,00	0,00	51.337,87	2,11
Jaboatão dos Guararapes (Município) (260790)	1.009,28	161,70	3.233.522,88	0,00	0,00	3.233.522,88	4,94
Limoeiro (Município) (260890)	110,13	0,00	657.306,36	0,00	0,00	657.306,36	11,88
Moreno (Município) (260940)	121,21	53,38	385.769,74	0,00	0,00	385.769,74	6,67
Olinda (Município) (260960)	761,36	435,21	2.215.293,79	0,00	0,00	2.215.293,79	5,84
Ouricuri (Município) (260990)	130,06	0,00	966.902,13	0,00	0,00	966.902,13	14,76
Palmares (Município) (261000)	104,12	0,00	156.374,23	0,00	0,00	156.374,23	2,60
Paudalho (Município) (261060)	70,63	0,00	302.432,95	0,00	0,00	302.432,95	5,78
Paulista (Município) (261070)	666,83	471,92	1.714.287,27	0,00	0,00	1.714.287,27	5,60
Pesqueira (Município) (261090)	114,77	0,00	466.852,16	0,00	0,00	466.852,16	7,35
Petrolina (Município) (261110)	665,50	455,75	61.607.092,65	0,00	0,00	61.607.092,65	201,76
Recife (Município) (261160)	3.035,91	1.302,35	379.621.094,37	0,00	0,00	379.621.094,37	244,12
Salgueiro (Município) (261220)	160,76	0,00	10.294.010,65	0,00	0,00	10.294.010,65	179,52
Santa Cruz do Capibaribe (Município) (261250)	202,68	100,00	309.616,59	274.372,89	0,00	583.989,48	6,36
São Bento do Una (Município) (261300)	82,96	105,00	98.769,76	0,00	0,00	98.769,76	1,81
São Lourenço da Mata (Município) (261370)	182,72	23,36	1.893.119,83	0,00	0,00	1.893.119,83	18,07
Serra Talhada (Município) (261390)	170,98	17,00	340.426,96	548.745,79	0,00	889.172,75	11,05
Surubim (Município) (261450)	135,22	0,00	197.880,45	0,00	0,00	197.880,45	3,31
Timbaúba (Município) (261530)	118,10	0,00	573.375,94	0,00	0,00	573.375,94	10,75
Vitória de Santo Antão (Município) (261640)	270,13	86,91	659.311,26	0,00	0,00	659.311,26	5,08
Arapiraca (Município) (270030)	597,00	110,00	610.296,29	19.050.650,90	0,00	19.660.947,19	90,13
Barra de Santo Antônio (Município) (270050)	-	-	-	-	-	-	-
Barra de São Miguel (Município) (270060)	51,00	3,00	0,00	6.931.155,81	0,00	6.931.155,81	893,77
Campo Alegre (Município) (270140)	46,40	9,00	0,00	0,00	0,00	0,00	0,00
Coqueiro Seco (Município) (270220)	9,60	0,00	0,00	0,00	0,00	0,00	0,00
Coruripe (Município) (270230)	185,00	13,00	0,00	0,00	0,00	0,00	0,00
Delmiro Gouveia (Município) (270240)	142,78	67,00	3.418,87	150.677,30	0,00	154.096,17	3,15
Maceió (Município) (270430)	1.430,00	316,40	1.929.151,22	0,00	0,00	1.929.151,22	2,02
Marechal Deodoro (Município) (270470)	107,00	28,00	110.993,42	0,00	0,00	110.993,42	2,34
Messias (Município) (270520)	18,10	0,10	0,00	0,00	0,00	0,00	0,00
Palmeira dos Índios (Município) (270630)	243,41	2,69	14.552,41	0,00	0,00	14.552,41	0,21
Paripueira (Município) (270644)	26,60	0,00	0,00	0,00	0,00	0,00	0,00
Penedo (Município) (270670)	122,00	0,00	275.669,39	0,00	0,00	275.669,39	4,53
Pilar (Município) (270690)	83,00	0,00	0,00	0,00	0,00	0,00	0,00
Rio Largo (Município) (270770)	185,40	0,00	92.145,65	0,00	0,00	92.145,65	1,34
Santa Luzia do Norte (Município) (270790)	12,00	0,00	0,00	0,00	0,00	0,00	0,00
São Miguel dos Campos (Município) (270860)	165,00	71,94	146.248,76	0,00	0,00	146.248,76	2,60
Satuba (Município) (270890)	18,45	0,00	0,00	0,00	0,00	0,00	0,00
União dos Palmares (Município) (270930)	107,10	0,00	129.700,47	0,00	0,00	129.700,47	2,06
Aracaju (Município) (280030)	2.251,00	687,00	33.449.648,20	0,00	0,00	33.449.648,20	56,92
Barra dos Coqueiros (Município) (280060)	66,00	72,00	45.272.382,83	0,00	0,00	45.272.382,83	1.737,30
Estância (Município) (280210)	178,69	2,09	1.561.656,57	0,00	0,00	1.561.656,57	23,94
Itabaiana (Município) (280290)	183,00	30,00	202.450,02	0,00	0,00	202.450,02	2,29
Lagarto (Município) (280350)	438,00	25,00	248.310,08	0,00	0,00	248.310,08	2,57
Nossa Senhora do Socorro (Município) (280480)	482,00	173,00	4.900.581,26	0,00	0,00	4.900.581,26	29,67
São Cristóvão (Município) (280670)	134,00	53,00	847.820,14	0,00	0,00	847.820,14	10,47
Tobias Barreto (Município) (280740)	103,00	0,00	0,00	0,00	0,00	0,00	0,00
Alagoinhas (Município) (290070)	422,10	22,50	1.880.505,91	0,00	0,00	1.880.505,91	13,11
Araci (Município) (290210)	49,71	35,01	0,00	0,00	0,00	0,00	0,00
Barra (Município) (290270)	142,37	0,00	76.536,33	0,00	0,00	76.536,33	1,53
Barreiras (Município) (290320)	289,41	30,75	0,00	0,00	0,00	0,00	0,00
Bom Jesus da Lapa (Município) (290390)	145,00	119,00	333.970,07	0,00	0,00	333.970,07	5,16
Brumado (Município) (290460)	229,87	3,57	0,00	0,00	0,00	0,00	0,00
Caetité (Município) (290520)	111,80	0,00	0,00	0,00	0,00	0,00	0,00
Camaçari (Município) (290570)	989,12	32,02	0,00	0,00	0,00	0,00	0,00
Campo Formoso (Município) (290600)	45,57	0,00	0,00	0,00	0,00	0,00	0,00
Candeias (Município) (290650)	291,25	50,31	0,00	0,00	0,00	0,00	0,00
Casa Nova (Município) (290720)	98,37	67,00	163.886,78	0,00	0,00	163.886,78	2,47
Catu (Município) (290750)	2,08	0,00	128.254,75	0,00	0,00	128.254,75	2,48
Conceição do Coité (Município) (290840)	157,21	0,00	0,00	0,00	0,00	0,00	0,00
Cruz das Almas (Município) (290980)	201,86	0,00	0,00	0,00	0,00	0,00	0,00
Dias d'Ávila (Município) (291005)	209,67	49,28	0,00	0,00	0,00	0,00	0,00
Euclides da Cunha (Município) (291070)	227,03	7,30	0,00	0,00	0,00	0,00	0,00
Eunápolis (Município) (291072)	278,20	5,88	0,00	0,00	0,00	0,00	0,00
Feira de Santana (Município) (291080)	2.005,41	501,51	3.163.173,92	0,00	0,00	3.163.173,92	5,57
Guanambi (Município) (291170)	435,13	0,00	0,00	0,00	0,00	0,00	0,00
Ilhéus (Município) (291360)	550,04	137,01	0,00	0,00	0,00	0,00	0,00
Ipirá (Município) (291400)	129,79	2,78	0,00	0,00	0,00	0,00	0,00
Irecê (Município) (291460)	338,24	12,67	0,00	0,00	0,00	0,00	0,00
Itaberaba (Município) (291470)	217,70	7,34	0,00	0,00	0,00	0,00	0,00
Itabuna (Município) (291480)	419,64	328,00	1.101.915,45	0,00	0,00	1.101.915,45	5,35
Itamaraju (Município) (291560)	165,10	5,94	0,00	0,00	0,00	0,00	0,00
Itaparica (Município) (291610)	130,13	23,89	0,00	0,00	0,00	0,00	0,00
Itapetinga (Município) (291640)	171,56	130,94	329.354,73	0,00	0,00	329.354,73	4,71
Jacobina (Município) (291750)	226,76	0,00	0,00	0,00	0,00	0,00	0,00
