Localidade	"Número de moradias permanentes
(habitações) (IBGE)"	"Número de moradias permanentes em áreas urbanas
(habitações) (IBGE)"	"Número de pessoas por moradia
(pessoas por moradia) (IBGE)"	"Número de pessoas por moradia (área urbana)
(pessoas por moradia) (IBGE)"	"PIB, em R$ milhões a preços de 2017
(R$ milhões a preços de 2019) (IBGE)"	"PIB per capita, em R$ a preços de 2017
(R$ por habitante a preços de 2019) (IBGE)"	"Área do município
(km²) (IBGE)"	"Densidade demográfica (pessoas por km²)
(Pessoas por km²) (IBGE)"
Santarém (Município) (150680)	78.165	60.082	3,69	3,52	4.462,620	15.470,39	17.898,390	16,12
São Félix do Xingu (Município) (150730)	25.152	12.963	4,25	4,07	1.143,560	10.693,44	84.212,850	1,27
São Miguel do Guamá (Município) (150760)	14.130	9.324	3,85	3,61	763,290	14.026,76	1.110,180	49,02
Tailândia (Município) (150795)	18.420	13.889	4,92	4,83	806,730	8.909,02	4.430,220	20,44
Tomé-Açu (Município) (150800)	15.224	8.837	3,88	3,74	609,620	10.313,03	5.145,360	11,49
Tucuruí (Município) (150810)	26.315	25.704	3,94	3,84	4.750,440	45.845,24	2.086,190	49,67
Ulianópolis (Município) (150812)	9.567	6.610	5,22	4,98	1.749,150	35.002,69	5.088,470	9,82
Vigia (Município) (150820)	13.166	8.927	3,80	3,79	363,180	7.255,59	539,080	92,85
Viseu (Município) (150830)	13.812	4.639	4,22	4,08	559,200	9.588,05	4.915,070	11,87
Macapá (Município) (160030)	108.264	102.543	4,04	4,08	10.760,520	24.609,21	6.503,460	67,23
Santana (Município) (160060)	24.859	24.483	4,38	4,35	2.364,670	21.714,71	1.541,220	70,66
Araguaína (Município) (170210)	48.075	46.148	3,41	3,38	3.752,380	22.867,40	4.000,420	41,02
Gurupi (Município) (170950)	25.503	25.127	3,21	3,18	2.101,160	25.689,09	1.836,090	44,55
Paraíso do Tocantins (Município) (171610)	14.738	14.177	3,24	3,22	1.093,840	22.920,20	1.268,060	37,64
Porto Nacional (Município) (171820)	15.084	13.057	3,41	3,41	1.200,160	23.303,62	4.449,920	11,57
Palmas (Município) (172100)	77.043	74.725	3,35	3,35	7.531,420	29.202,42	2.218,940	116,23
Açailândia (Município) (210005)	29.789	22.768	3,62	3,56	2.036,960	18.897,51	5.806,440	18,56
Alcântara (Município) (210020)	6.575	1.858	3,29	3,41	114,200	5.276,22	1.457,920	14,85
Bacabal (Município) (210120)	28.438	22.856	3,58	3,47	1.144,610	11.238,10	1.683,070	60,51
Balsas (Município) (210140)	23.064	20.624	3,86	3,76	3.282,690	36.831,97	13.141,760	6,78
Barra do Corda (Município) (210160)	23.438	15.232	3,63	3,48	644,590	7.581,44	5.190,340	16,38
Barreirinhas (Município) (210170)	13.232	5.743	4,43	4,10	412,000	7.030,90	3.026,540	19,36
Buriticupu (Município) (210232)	16.244	9.263	4,22	4,06	502,040	7.315,67	2.545,440	26,96
Caxias (Município) (210300)	43.500	34.029	3,66	3,58	1.721,840	10.802,28	5.196,770	30,67
Chapadinha (Município) (210320)	19.107	14.346	3,99	3,83	601,500	7.891,99	3.247,390	23,47
Codó (Município) (210330)	32.028	22.497	3,74	3,65	1.010,150	8.443,20	4.361,340	27,43
Coroatá (Município) (210360)	17.243	12.597	3,66	3,50	377,920	5.984,07	2.263,770	27,90
Grajaú (Município) (210480)	16.171	10.075	4,02	3,85	625,000	9.603,83	8.863,570	7,34
Imperatriz (Município) (210530)	74.289	71.991	3,38	3,31	6.591,410	26.211,73	1.368,990	183,69
Itapecuru Mirim (Município) (210540)	17.008	9.807	3,82	3,70	513,160	7.900,78	1.471,440	44,14
Paço do Lumiar (Município) (210750)	29.358	22.807	3,86	3,73	750,640	6.620,69	125,260	905,15
Pinheiro (Município) (210860)	21.129	13.063	3,80	3,66	728,500	9.064,88	1.512,970	53,12
Raposa (Município) (210945)	7.090	4.533	4,03	3,99	232,690	8.152,34	66,400	429,86
Santa Inês (Município) (210990)	21.955	21.250	3,74	3,66	1.152,980	14.042,61	786,690	104,37
Santa Luzia (Município) (211000)	18.929	7.103	3,99	3,70	606,880	8.044,10	4.837,040	15,60
São José de Ribamar (Município) (211120)	46.070	9.705	3,70	4,06	1.774,060	10.409,74	385,780	441,77
São Luís (Município) (211130)	296.573	278.700	3,55	3,57	30.067,560	28.529,21	834,830	1.262,44
Timon (Município) (211220)	43.847	38.785	3,69	3,62	1.624,530	10.045,29	1.764,610	91,65
Tutóia (Município) (211250)	12.297	4.627	4,53	4,26	330,890	5.940,00	1.651,650	33,73
Vargem Grande (Município) (211270)	12.015	6.988	4,41	4,09	288,560	5.451,07	1.957,750	27,04
Viana (Município) (211280)	13.356	7.500	3,80	3,68	365,850	7.217,84	1.168,440	43,38
Zé Doca (Município) (211400)	12.865	8.408	3,87	3,65	444,680	8.920,76	2.140,110	23,29
Altos (Município) (220040)	11.112	7.991	3,56	3,49	307,660	7.784,58	957,650	41,27
Beneditinos (Município) (220160)	2.968	1.903	3,37	3,32	56,690	5.660,67	788,580	12,70
Coivaras (Município) (220273)	1.092	363	3,57	3,31	26,900	6.895,58	485,500	8,04
Curralinhos (Município) (220325)	1.181	384	3,64	3,56	21,170	4.926,23	345,850	12,42
Demerval Lobão (Município) (220330)	4.065	3.361	3,32	3,29	109,580	8.119,49	216,810	62,25
Floriano (Município) (220390)	17.293	15.094	3,39	3,36	1.021,710	17.439,51	3.409,650	17,18
José de Freitas (Município) (220550)	9.891	5.831	3,84	3,80	305,460	8.037,45	1.538,170	24,71
Lagoa Alegre (Município) (220555)	2.100	814	3,93	3,85	46,540	5.644,54	394,660	20,89
Lagoa do Piauí (Município) (220558)	1.139	510	3,47	3,35	44,870	11.365,03	426,630	9,25
Miguel Leão (Município) (220630)	359	245	3,47	3,49	12,520	10.064,23	93,520	13,30
Monsenhor Gil (Município) (220640)	3.055	1.623	3,41	3,30	87,140	8.370,14	582,550	17,87
Nazária (Município) (220672)	2.357	489	3,52	3,47	55,500	6.695,69	363,590	22,80
Parnaíba (Município) (220770)	41.440	39.378	3,59	3,57	1.858,820	12.489,42	434,230	342,75
Pau D'Arco do Piauí (Município) (220779)	1.103	179	3,52	3,21	20,860	5.365,56	430,820	9,02
Picos (Município) (220800)	22.732	18.216	3,35	3,32	1.351,280	17.770,22	577,300	131,72
Piripiri (Município) (220840)	18.199	13.421	3,44	3,36	582,020	9.306,13	1.408,930	44,39
Teresina (Município) (221100)	235.524	222.887	3,55	3,54	19.175,590	22.924,28	1.391,980	600,92
União (Município) (221110)	11.601	5.816	3,74	3,67	327,030	7.534,71	1.173,450	36,99
Acaraú (Município) (230020)	15.985	8.098	3,76	3,64	608,030	10.110,67	842,560	71,37
Acopiara (Município) (230030)	16.374	8.618	3,22	3,01	374,230	7.106,37	2.265,350	23,25
Aquiraz (Município) (230100)	21.589	20.254	3,53	3,47	2.013,070	26.423,07	481,600	158,19
Aracati (Município) (230110)	21.585	14.057	3,32	3,25	1.287,090	17.938,76	1.228,060	58,42
Barbalha (Município) (230190)	16.005	11.259	3,61	3,53	752,120	13.008,44	569,510	101,52
Beberibe (Município) (230220)	15.357	6.887	3,35	3,27	648,840	12.613,06	1.623,880	31,68
Boa Viagem (Município) (230240)	16.515	8.868	3,25	3,06	371,310	6.926,43	2.836,780	18,90
Camocim (Município) (230260)	17.097	12.985	3,62	3,54	585,770	9.460,41	1.124,780	55,05
Canindé (Município) (230280)	21.739	14.279	3,52	3,37	596,050	7.797,77	3.218,480	23,75
Cascavel (Município) (230350)	20.495	17.582	3,36	3,33	832,520	12.078,47	835,000	82,55
Caucaia (Município) (230370)	97.121	87.560	3,55	3,51	6.174,300	17.899,85	1.228,510	280,78
Chorozinho (Município) (230395)	5.973	3.683	3,21	3,15	145,450	7.580,49	278,410	68,92
Crateús (Município) (230410)	23.642	17.408	3,13	3,08	623,410	8.412,75	2.985,150	24,82
Crato (Município) (230420)	36.973	31.249	3,42	3,37	1.534,420	12.121,07	1.176,470	107,60
Eusébio (Município) (230428)	13.845	13.902	3,57	3,56	2.692,650	54.446,55	79,010	625,97
Fortaleza (Município) (230440)	772.162	772.162	3,30	3,30	64.670,880	25.343,18	314,930	8.102,77
Granja (Município) (230470)	14.412	7.532	3,71	3,49	314,710	5.889,52	2.663,030	20,07
Guaiúba (Município) (230495)	6.972	5.514	3,63	3,60	176,630	6.978,73	267,130	94,75
Horizonte (Município) (230523)	17.086	15.974	3,55	3,51	1.553,720	25.645,68	160,760	376,85
Icó (Município) (230540)	19.871	9.680	3,37	3,22	540,900	8.087,06	1.872,000	35,73
Iguatu (Município) (230550)	31.370	24.439	3,19	3,17	1.534,040	15.332,28	1.029,210	97,21
Itaitinga (Município) (230625)	10.128	10.095	3,72	3,71	457,630	12.137,03	151,630	248,66
Itapajé (Município) (230630)	14.101	10.090	3,56	3,50	585,420	11.659,20	430,570	116,62
Itapipoca (Município) (230640)	32.623	19.550	3,75	3,60	1.303,020	10.661,26	1.614,160	75,72
Juazeiro do Norte (Município) (230730)	75.410	72.946	3,46	3,44	4.201,170	16.078,64	248,830	1.050,06
Limoeiro do Norte (Município) (230760)	18.689	11.056	3,07	3,00	1.017,260	17.730,92	750,070	76,49
Maracanaú (Município) (230765)	63.070	62.922	3,46	3,44	8.176,500	37.520,30	106,650	2.043,38
Maranguape (Município) (230770)	31.559	24.511	3,82	3,73	1.227,570	10.195,37	590,870	203,77
Morada Nova (Município) (230870)	19.878	11.647	3,13	3,05	818,440	13.139,88	2.778,580	22,42
Pacajus (Município) (230960)	19.167	15.938	3,47	3,42	1.012,420	15.222,05	254,640	261,20
Pacatuba (Município) (230970)	20.388	17.678	3,81	3,78	1.043,020	13.419,67	131,990	588,84
Pindoretama (Município) (231085)	5.837	3.583	3,38	3,33	175,850	8.911,56	75,140	262,62
Quixadá (Município) (231130)	24.132	17.620	3,48	3,40	952,750	11.343,61	2.019,830	41,58
Quixeramobim (Município) (231140)	22.367	13.903	3,38	3,28	784,290	10.379,07	3.275,630	23,07
Russas (Município) (231180)	22.248	14.669	3,30	3,22	1.010,480	13.760,05	1.590,260	46,18
São Gonçalo do Amarante (Município) (231240)	13.108	8.623	3,53	3,49	1.069,120	23.117,55	834,450	55,42
Sobral (Município) (231290)	55.059	48.987	3,59	3,57	4.443,820	22.481,80	2.122,900	93,11
Tauá (Município) (231330)	17.712	10.689	3,23	3,10	507,200	8.860,07	4.018,160	14,25
Tianguá (Município) (231340)	19.861	13.535	3,63	3,54	885,500	12.279,79	908,890	79,34
Trairi (Município) (231350)	14.584	5.541	3,67	3,53	664,420	12.404,85	925,720	57,86
Viçosa do Ceará (Município) (231410)	14.768	5.225	3,91	3,58	378,310	6.554,38	1.311,630	44,01
Açu (Município) (240020)	16.097	12.001	3,50	3,47	1.063,690	18.875,07	1.303,440	43,23
Caicó (Município) (240200)	20.150	18.600	3,29	3,26	1.148,660	17.339,34	1.228,580	53,92
Ceará-Mirim (Município) (240260)	18.810	9.959	3,82	3,76	862,980	12.009,84	724,380	99,20
Parnamirim (Município) (240325)	65.293	65.458	3,51	3,50	5.376,710	23.436,70	123,470	1.858,04
Extremoz (Município) (240360)	7.044	4.631	3,79	3,70	321,040	12.034,33	139,580	191,13
Macaíba (Município) (240710)	21.086	13.138	3,58	3,53	1.805,430	23.897,85	510,770	147,91
Monte Alegre (Município) (240780)	6.180	2.766	3,53	3,44	195,250	8.943,10	210,920	103,52
Mossoró (Município) (240800)	79.420	72.953	3,53	3,51	7.995,360	28.522,87	2.099,330	133,53
Natal (Município) (240810)	256.766	256.766	3,33	3,33	23.998,880	28.104,10	167,260	5.105,27
Nísia Floresta (Município) (240820)	6.916	2.806	3,73	3,63	348,360	13.502,35	307,840	83,81
São Gonçalo do Amarante (Município) (241200)	26.464	22.595	3,60	3,56	2.028,250	21.301,14	249,120	382,21
São José de Mipibu (Município) (241220)	11.705	5.477	3,62	3,54	788,410	18.618,80	290,330	145,85
Vera Cruz (Município) (241480)	3.017	1.353	3,86	3,77	99,870	8.576,89	83,890	138,80
Alhandra (Município) (250060)	5.351	3.389	3,53	3,45	779,740	41.326,14	182,660	103,29
Bayeux (Município) (250180)	29.779	29.665	3,20	3,18	1.216,470	12.778,58	27,540	3.457,15
Caaporã (Município) (250300)	5.825	5.067	3,64	3,61	507,170	23.909,62	150,170	141,26
Cabedelo (Município) (250320)	18.347	18.438	3,44	3,42	2.638,690	41.860,75	31,920	1.975,09
Cajazeiras (Município) (250370)	18.433	15.200	3,29	3,24	1.001,200	16.518,19	565,900	107,11
Campina Grande (Município) (250400)	119.302	114.567	3,35	3,33	8.544,290	21.360,61	593,030	674,51
Conde (Município) (250460)	6.184	4.212	3,74	3,72	706,550	30.566,66	172,950	133,65
Cruz do Espírito Santo (Município) (250490)	4.485	2.097	3,75	3,67	138,170	8.207,04	191,100	88,10
Guarabira (Município) (250630)	17.321	15.512	3,31	3,27	823,230	14.346,15	165,740	346,21
João Pessoa (Município) (250750)	233.943	233.452	3,29	3,28	19.498,720	25.335,94	211,480	3.639,23
Lucena (Município) (250860)	3.314	2.921	3,76	3,69	174,040	13.968,00	88,550	140,71
Mamanguape (Município) (250890)	12.337	10.182	3,54	3,47	543,800	12.450,29	340,480	128,28
Patos (Município) (251080)	30.794	29.966	3,40	3,38	1.501,740	14.341,08	473,060	221,36
Pedras de Fogo (Município) (251120)	7.881	4.955	3,56	3,43	488,270	17.403,25	404,880	69,29
Pitimbu (Município) (251190)	5.041	3.188	3,60	3,47	166,520	9.175,59	136,440	133,02
Rio Tinto (Município) (251290)	7.068	4.200	3,38	3,23	249,360	10.441,10	465,670	51,29
Santa Rita (Município) (251370)	35.759	31.229	3,72	3,67	2.476,430	18.637,85	730,210	181,96
Sapé (Município) (251530)	14.974	11.703	3,45	3,36	522,070	10.098,00	315,530	163,85
Sousa (Município) (251620)	20.012	15.913	3,40	3,37	1.051,810	15.461,04	738,550	92,11
Abreu e Lima (Município) (260005)	30.615	28.302	3,19	3,17	1.585,810	16.217,18	126,190	774,89
Araçoiaba (Município) (260105)	5.272	4.473	3,67	3,63	125,140	6.472,63	96,380	200,59
Araripina (Município) (260110)	22.435	14.215	3,59	3,44	885,470	10.989,15	2.037,390	39,55
Arcoverde (Município) (260120)	21.949	20.219	3,28	3,25	1.012,970	14.049,13	323,370	222,97
Belo Jardim (Município) (260170)	24.158	19.822	3,10	3,04	1.644,690	21.957,92	647,700	115,64
Bezerros (Município) (260190)	20.977	18.080	2,87	2,82	686,770	11.405,63	490,820	122,68
Brejo da Madre de Deus (Município) (260260)	14.445	11.305	3,32	3,30	316,760	6.603,07	762,350	62,93
Buíque (Município) (260280)	14.288	6.255	3,87	3,59	389,030	7.038,91	1.320,870	41,84
Cabo de Santo Agostinho (Município) (260290)	58.121	53.333	3,37	3,34	9.776,710	49.842,50	448,740	437,12
Camaragibe (Município) (260345)	45.954	46.123	3,30	3,29	1.449,740	9.563,74	51,260	2.957,39
Carpina (Município) (260400)	23.317	22.582	3,40	3,38	1.324,510	16.700,88	147,670	537,08
Caruaru (Município) (260410)	104.788	93.711	3,22	3,20	6.889,350	20.417,98	920,610	366,51
Escada (Município) (260520)	19.719	17.172	3,37	3,29	861,900	12.976,71	342,200	194,09
Garanhuns (Município) (260600)	40.664	36.736	3,32	3,28	2.337,870	17.299,89	458,550	294,71
Goiana (Município) (260620)	23.370	18.295	3,34	3,27	1.980,200	25.405,04	445,810	174,84
Gravatá (Município) (260640)	25.513	23.092	3,15	3,12	1.110,820	13.807,57	506,790	158,75
Igarassu (Município) (260680)	32.301	29.946	3,38	3,36	2.547,920	23.306,60	305,560	357,78
Ipojuca (Município) (260720)	24.016	18.427	3,66	3,53	10.261,430	116.705,28	527,110	166,81
Ilha de Itamaracá (Município) (260760)	5.895	5.530	4,06	3,36	232,670	9.725,85	66,680	358,75
Itapissuma (Município) (260775)	7.026	5.783	3,59	3,36	1.440,350	57.111,31	74,240	339,73
Jaboatão dos Guararapes (Município) (260790)	214.328	210.724	3,15	3,14	15.712,930	23.257,78	258,690	2.611,58
Limoeiro (Município) (260890)	17.845	14.472	3,16	3,13	701,620	12.438,48	273,740	206,06
Moreno (Município) (260940)	17.917	16.087	3,34	3,29	635,060	10.613,37	196,070	305,17
Olinda (Município) (260960)	123.184	121.309	3,15	3,14	6.368,470	16.408,20	41,680	9.311,84
Ouricuri (Município) (260990)	18.032	9.686	3,75	3,54	565,720	8.357,62	2.381,580	28,42
Palmares (Município) (261000)	16.887	13.550	3,66	3,59	988,420	16.011,68	339,290	181,94
Paudalho (Município) (261060)	15.449	11.058	3,50	3,46	595,100	11.010,02	274,780	196,71
Paulista (Município) (261070)	98.631	98.992	3,21	3,20	4.902,620	15.479,66	97,310	3.254,62
Pesqueira (Município) (261090)	20.036	14.917	3,26	3,14	721,550	11.037,23	980,880	66,65
Petrolina (Município) (261110)	87.510	66.926	3,66	3,56	6.346,100	19.838,19	4.561,870	70,12
Recife (Município) (261160)	512.784	512.784	3,12	3,12	60.787,960	38.004,04	218,440	7.322,60
Salgueiro (Município) (261220)	16.386	13.384	3,60	3,56	856,160	14.502,12	1.686,810	35,00
Santa Cruz do Capibaribe (Município) (261250)	28.266	27.695	3,43	3,42	1.446,490	14.926,38	335,310	289,01
São Bento do Una (Município) (261300)	15.967	8.774	3,53	3,37	844,270	14.965,94	719,150	78,44
São Lourenço da Mata (Município) (261370)	32.986	31.204	3,28	3,26	1.065,030	9.833,95	262,110	413,20
Serra Talhada (Município) (261390)	25.071	19.841	3,31	3,24	1.417,600	17.069,08	2.980,010	27,87
Surubim (Município) (261450)	19.051	14.521	3,25	3,21	775,400	12.531,71	252,860	244,71
Timbaúba (Município) (261530)	16.504	14.574	3,28	3,20	770,030	14.229,59	292,990	184,70
Vitória de Santo Antão (Município) (261640)	42.913	38.025	3,12	3,07	3.358,320	25.079,51	335,940	398,60
Arapiraca (Município) (270030)	63.628	54.131	3,58	3,57	3.864,780	16.977,60	345,660	658,58
Barra de Santo Antônio (Município) (270050)	3.837	3.589	4,01	3,99	152,040	9.887,50	131,630	116,82
Barra de São Miguel (Município) (270060)	2.210	1.932	3,67	3,61	149,090	18.378,61	76,620	105,88
Campo Alegre (Município) (270140)	11.926	5.507	4,63	4,37	393,340	7.130,77	312,710	176,40
Coqueiro Seco (Município) (270220)	1.658	1.498	3,51	3,49	62,050	10.666,52	39,610	146,86
Coruripe (Município) (270230)	14.734	13.090	3,78	3,75	1.346,460	24.196,05	898,630	61,93
Delmiro Gouveia (Município) (270240)	14.440	10.567	3,53	3,50	621,380	12.184,13	626,690	81,38
Maceió (Município) (270430)	310.928	310.823	3,21	3,20	21.388,610	21.458,72	509,550	1.956,10
Marechal Deodoro (Município) (270470)	13.381	12.672	3,73	3,71	1.610,250	32.299,97	332,140	150,10
Messias (Município) (270520)	4.290	3.860	3,99	4,03	156,030	9.119,16	114,160	149,88
Palmeira dos Índios (Município) (270630)	22.309	16.557	3,30	3,26	855,700	11.637,12	450,960	163,06
Paripueira (Município) (270644)	3.104	2.752	4,02	4,01	125,630	10.071,28	92,850	134,34
Penedo (Município) (270670)	17.879	13.555	3,56	3,50	738,870	11.618,31	689,880	92,18
Pilar (Município) (270690)	9.621	9.181	3,64	3,64	776,760	22.191,20	251,070	139,42
Rio Largo (Município) (270770)	20.347	16.696	3,53	3,51	825,230	11.488,00	293,820	244,49
Santa Luzia do Norte (Município) (270790)	2.048	1.846	3,54	3,52	74,740	10.298,47	28,860	251,48
São Miguel dos Campos (Município) (270860)	15.408	14.895	3,83	3,82	1.552,920	26.286,37	360,880	163,70
Satuba (Município) (270890)	4.164	3.710	3,78	3,72	145,310	9.233,43	41,270	381,34
União dos Palmares (Município) (270930)	18.110	14.077	3,62	3,56	683,260	10.432,29	420,720	155,67
Aracaju (Município) (280030)	192.773	192.773	3,19	3,19	18.293,360	29.765,77	181,860	3.379,45
Barra dos Coqueiros (Município) (280060)	7.512	6.318	3,66	3,64	511,920	18.618,80	89,600	306,87
Estância (Município) (280210)	19.977	17.433	3,38	3,29	2.217,720	32.859,48	644,490	104,72
Itabaiana (Município) (280290)	28.510	22.818	3,22	3,13	1.653,370	17.996,26	337,300	272,38
Lagarto (Município) (280350)	30.293	16.225	3,31	3,19	1.544,810	15.397,25	968,920	103,55
Nossa Senhora do Socorro (Município) (280480)	49.714	49.109	3,47	3,40	3.159,780	18.312,58	155,020	1.113,08
São Cristóvão (Município) (280670)	24.560	21.171	3,45	3,38	1.016,260	12.009,71	438,040	193,18
Tobias Barreto (Município) (280740)	15.408	10.521	3,28	3,22	522,050	10.325,96	1.024,190	49,36
Alagoinhas (Município) (290070)	45.007	39.388	3,39	3,38	3.456,040	22.652,17	707,560	215,63
Araci (Município) (290210)	14.733	6.047	3,78	3,50	386,670	6.947,58	1.495,550	37,21
