Localidade	"População total
(pessoas) (IBGE)"	"População das cidades declarantes do SNIS
(pessoas) (SNIS)"	"População urbana total
(pessoas) (SNIS)"	"Área do município
(km²) (IBGE)"	"População total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"População urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(pessoas) (SNIS)"	"Parcela da população urbana que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"	"Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto
(% da população) (SNIS)"
Novo Repartimento (Município) (150506)	63.604	63.604	28.650	15.398,720	63.604	28.650	100,0%	100,0%
Óbidos (Município) (150510)	49.552	49.552	25.579	28.021,440	49.552	25.579	100,0%	100,0%
Oriximiná (Município) (150530)	63.905	63.905	40.857	107.603,660	63.905	40.857	100,0%	100,0%
Paragominas (Município) (150550)	99.460	99.460	77.795	19.342,250	98.215	76.550	98,4%	98,7%
Parauapebas (Município) (150553)	160.229	160.229	144.386	6.886,210	143.953	128.110	88,7%	89,8%
Portel (Município) (150580)	53.257	53.257	25.369	25.384,960	53.257	25.369	100,0%	100,0%
Redenção (Município) (150613)	76.501	76.501	70.941	3.823,810	-	-	-	-
Rondon do Pará (Município) (150618)	47.509	47.509	35.099	8.246,390	47.509	35.099	100,0%	100,0%
Santa Bárbara do Pará (Município) (150635)	17.584	17.584	5.599	278,150	-	-	-	-
Santa Izabel do Pará (Município) (150650)	60.713	60.713	43.902	717,660	60.713	43.902	100,0%	100,0%
Santana do Araguaia (Município) (150670)	58.067	58.067	30.674	11.591,460	-	-	-	-
Santarém (Município) (150680)	297.040	297.040	217.592	17.898,390	297.040	217.592	100,0%	100,0%
São Félix do Xingu (Município) (150730)	95.694	95.694	47.263	84.212,850	95.694	47.263	100,0%	100,0%
São Miguel do Guamá (Município) (150760)	52.350	52.350	32.368	1.110,180	-	-	-	-
Tailândia (Município) (150795)	82.434	82.434	61.036	4.430,220	37.434	16.036	26,3%	45,4%
Tomé-Açu (Município) (150800)	57.228	57.228	31.960	5.145,360	57.228	31.960	100,0%	100,0%
Tucuruí (Município) (150810)	98.919	98.919	94.147	2.086,190	98.919	94.147	100,0%	100,0%
Ulianópolis (Município) (150812)	45.190	45.190	29.742	5.088,470	-	-	-	-
Vigia (Município) (150820)	48.482	48.482	32.754	539,080	48.482	32.754	100,0%	100,0%
Viseu (Município) (150830)	57.148	57.148	18.537	4.915,070	57.148	18.537	100,0%	100,0%
Macapá (Município) (160030)	407.023	407.023	389.657	6.503,460	382.344	364.978	93,7%	93,9%
Santana (Município) (160060)	102.861	102.861	100.676	1.541,220	101.419	99.234	98,6%	98,6%
Araguaína (Município) (170210)	153.351	153.351	145.648	4.000,420	134.191	126.488	86,8%	87,5%
Gurupi (Município) (170950)	77.655	77.655	75.879	1.836,090	59.804	58.028	76,5%	77,0%
Paraíso do Tocantins (Município) (171610)	45.054	45.054	43.082	1.268,060	41.635	39.663	92,1%	92,4%
Porto Nacional (Município) (171820)	49.465	49.465	42.710	4.449,920	29.983	23.228	54,4%	60,6%
Palmas (Município) (172100)	235.316	235.316	228.524	2.218,940	123.000	116.208	50,9%	52,3%
Açailândia (Município) (210005)	105.255	105.255	79.145	5.806,440	105.255	79.145	100,0%	100,0%
Alcântara (Município) (210020)	21.564	21.564	6.315	1.457,920	21.564	6.315	100,0%	100,0%
Bacabal (Município) (210120)	100.615	100.615	78.328	1.683,070	92.974	70.687	90,2%	92,4%
Balsas (Município) (210140)	85.322	85.322	74.334	13.141,760	-	-	-	-
Barra do Corda (Município) (210160)	83.454	83.454	52.037	5.190,340	83.454	52.037	100,0%	100,0%
Barreirinhas (Município) (210170)	56.123	56.123	22.532	3.026,540	56.123	22.532	100,0%	100,0%
Buriticupu (Município) (210232)	66.326	66.326	36.386	2.545,440	66.326	36.386	100,0%	100,0%
Caxias (Município) (210300)	156.327	156.327	119.449	5.196,770	155.577	118.699	99,4%	99,5%
Chapadinha (Município) (210320)	74.274	74.274	53.548	3.247,390	74.274	53.548	100,0%	100,0%
Codó (Município) (210330)	118.568	118.568	81.409	4.361,340	-	-	-	-
Coroatá (Município) (210360)	62.190	62.190	43.381	2.263,770	-	-	-	-
Grajaú (Município) (210480)	63.203	63.203	37.703	8.863,570	63.203	37.703	100,0%	100,0%
Imperatriz (Município) (210530)	248.806	248.806	235.780	1.368,990	186.524	173.498	73,6%	75,0%
Itapecuru Mirim (Município) (210540)	63.024	63.024	35.178	1.471,440	63.024	35.178	100,0%	100,0%
Paço do Lumiar (Município) (210750)	107.764	107.764	80.793	125,260	107.764	80.793	100,0%	100,0%
Pinheiro (Município) (210860)	78.876	78.876	46.912	1.512,970	78.876	46.912	100,0%	100,0%
Raposa (Município) (210945)	27.037	27.037	17.125	66,400	27.037	17.125	100,0%	100,0%
Santa Inês (Município) (210990)	78.020	78.020	73.896	786,690	78.020	73.896	100,0%	100,0%
Santa Luzia (Município) (211000)	74.501	74.501	25.949	4.837,040	74.501	25.949	100,0%	100,0%
São José de Ribamar (Município) (211120)	165.418	165.418	38.258	385,780	165.418	38.258	100,0%	100,0%
São Luís (Município) (211130)	1.027.430	1.027.430	970.416	834,830	559.227	502.213	51,8%	54,4%
Timon (Município) (211220)	157.438	157.438	136.852	1.764,610	157.438	136.852	100,0%	100,0%
Tutóia (Município) (211250)	53.724	53.724	19.011	1.651,650	53.724	19.011	100,0%	100,0%
Vargem Grande (Município) (211270)	50.541	50.541	27.297	1.957,750	50.541	27.297	100,0%	100,0%
Viana (Município) (211280)	49.883	49.883	27.125	1.168,440	-	-	-	-
Zé Doca (Município) (211400)	51.615	51.615	31.751	2.140,110	51.615	31.751	100,0%	100,0%
Altos (Município) (220040)	39.031	39.031	27.535	957,650	37.121	25.625	93,1%	95,1%
Beneditinos (Município) (220160)	9.927	9.927	6.271	788,580	9.927	6.271	100,0%	100,0%
Coivaras (Município) (220273)	3.842	3.842	1.183	485,500	3.842	1.183	100,0%	100,0%
Curralinhos (Município) (220325)	4.225	4.225	1.344	345,850	-	-	-	-
Demerval Lobão (Município) (220330)	13.339	13.339	10.923	216,810	13.339	10.923	100,0%	100,0%
Floriano (Município) (220390)	57.928	57.928	50.176	3.409,650	57.928	50.176	100,0%	100,0%
José de Freitas (Município) (220550)	37.410	37.410	21.790	1.538,170	37.410	21.790	100,0%	100,0%
Lagoa Alegre (Município) (220555)	8.097	8.097	3.076	394,660	8.097	3.076	100,0%	100,0%
Lagoa do Piauí (Município) (220558)	3.892	3.892	1.685	426,630	-	-	-	-
Miguel Leão (Município) (220630)	1.245	1.245	856	93,520	1.245	856	100,0%	100,0%
Monsenhor Gil (Município) (220640)	10.335	10.335	5.310	582,550	10.335	5.310	100,0%	100,0%
Nazária (Município) (220672)	8.149	8.149	1.669	363,590	8.149	1.669	100,0%	100,0%
Parnaíba (Município) (220770)	146.736	146.736	138.458	434,230	146.736	138.458	100,0%	100,0%
Pau D'Arco do Piauí (Município) (220779)	3.809	3.809	564	430,820	-	-	-	-
Picos (Município) (220800)	74.967	74.967	59.540	577,300	59.052	43.625	73,3%	78,8%
Piripiri (Município) (220840)	61.963	61.963	44.633	1.408,930	61.963	44.633	100,0%	100,0%
Teresina (Município) (221100)	822.364	822.364	775.225	1.391,980	690.596	643.457	83,0%	84,0%
União (Município) (221110)	42.873	42.873	21.073	1.173,450	42.873	21.073	100,0%	100,0%
Acaraú (Município) (230020)	58.210	58.210	28.565	842,560	52.092	22.447	78,6%	89,5%
Acopiara (Município) (230030)	51.469	51.469	25.380	2.265,350	47.301	21.212	83,6%	91,9%
Aquiraz (Município) (230100)	73.562	73.562	67.946	481,600	59.768	54.152	79,7%	81,2%
Aracati (Município) (230110)	69.771	69.771	44.425	1.228,060	67.083	41.737	93,9%	96,1%
Barbalha (Município) (230190)	55.960	55.960	38.460	569,510	38.171	20.671	53,7%	68,2%
Beberibe (Município) (230220)	49.846	49.846	21.845	1.623,880	44.589	16.588	75,9%	89,5%
Boa Viagem (Município) (230240)	52.667	52.667	26.690	2.836,780	38.333	12.356	46,3%	72,8%
Camocim (Município) (230260)	60.520	60.520	44.926	1.124,780	45.908	30.314	67,5%	75,9%
Canindé (Município) (230280)	74.847	74.847	47.110	3.218,480	63.896	36.159	76,8%	85,4%
Cascavel (Município) (230350)	66.834	66.834	56.745	835,000	64.893	54.804	96,6%	97,1%
Caucaia (Município) (230370)	330.855	330.855	295.048	1.228,510	193.600	157.793	53,5%	58,5%
Chorozinho (Município) (230395)	18.931	18.931	11.436	278,410	18.931	11.436	100,0%	100,0%
Crateús (Município) (230410)	72.959	72.959	52.750	2.985,150	48.968	28.759	54,5%	67,1%
Crato (Município) (230420)	122.717	122.717	101.987	1.176,470	70.375	49.645	48,7%	57,3%
Eusébio (Município) (230428)	47.030	47.030	47.030	79,010	41.179	41.179	87,6%	87,6%
Fortaleza (Município) (230440)	2.476.589	2.476.589	2.476.589	314,930	1.148.295	1.148.295	46,4%	46,4%
Granja (Município) (230470)	52.223	52.223	25.684	2.663,030	-	-	-	-
Guaiúba (Município) (230495)	24.414	24.414	19.130	267,130	19.243	13.959	73,0%	78,8%
Horizonte (Município) (230523)	56.830	56.830	52.569	160,760	52.303	48.042	91,4%	92,0%
Icó (Município) (230540)	65.682	65.682	30.568	1.872,000	48.483	13.369	43,7%	73,8%
Iguatu (Município) (230550)	97.331	97.331	75.274	1.029,210	82.901	60.844	80,8%	85,2%
Itaitinga (Município) (230625)	36.324	36.324	36.068	151,630	35.436	35.180	97,5%	97,6%
Itapajé (Município) (230630)	48.908	48.908	34.382	430,570	-	-	-	-
Itapipoca (Município) (230640)	117.720	117.720	67.863	1.614,160	84.155	34.298	50,5%	71,5%
Juazeiro do Norte (Município) (230730)	252.841	252.841	242.916	248,830	164.570	154.645	63,7%	65,1%
Limoeiro do Norte (Município) (230760)	56.774	56.774	32.777	750,070	48.674	24.677	75,3%	85,7%
Maracanaú (Município) (230765)	211.267	211.267	209.818	106,650	143.544	142.095	67,7%	67,9%
Maranguape (Município) (230770)	115.465	115.465	87.756	590,870	111.894	84.185	95,9%	96,9%
Morada Nova (Município) (230870)	61.886	61.886	35.299	2.778,580	60.286	33.699	95,5%	97,4%
Pacajus (Município) (230960)	63.202	63.202	51.793	254,640	63.174	51.765	99,9%	100,0%
Pacatuba (Município) (230970)	73.881	73.881	63.454	131,990	34.232	23.805	37,5%	46,3%
Pindoretama (Município) (231085)	18.970	18.970	11.453	75,140	18.970	11.453	100,0%	100,0%
Quixadá (Município) (231130)	81.445	81.445	58.085	2.019,830	73.668	50.308	86,6%	90,5%
Quixeramobim (Município) (231140)	72.866	72.866	44.015	3.275,630	72.866	44.015	100,0%	100,0%
Russas (Município) (231180)	70.794	70.794	45.571	1.590,260	54.462	29.239	64,2%	76,9%
São Gonçalo do Amarante (Município) (231240)	44.526	44.526	28.951	834,450	35.410	19.835	68,5%	79,5%
Sobral (Município) (231290)	190.724	190.724	168.511	2.122,900	62.874	40.661	24,1%	33,0%
Tauá (Município) (231330)	56.017	56.017	32.433	4.018,160	50.652	27.068	83,5%	90,4%
Tianguá (Município) (231340)	69.723	69.723	46.372	908,890	52.624	29.273	63,1%	75,5%
Trairi (Município) (231350)	51.952	51.952	18.978	925,720	49.524	16.550	87,2%	95,3%
Viçosa do Ceará (Município) (231410)	55.687	55.687	18.064	1.311,630	53.120	15.497	85,8%	95,4%
Açu (Município) (240020)	53.636	53.636	39.661	1.303,440	53.636	39.661	100,0%	100,0%
Caicó (Município) (240200)	63.148	63.148	57.863	1.228,580	58.694	53.409	92,3%	92,9%
Ceará-Mirim (Município) (240260)	68.580	68.580	35.723	724,380	52.828	19.971	55,9%	77,0%
Parnamirim (Município) (240325)	208.426	208.426	208.426	123,470	206.733	206.733	99,2%	99,2%
Extremoz (Município) (240360)	24.953	24.953	16.015	139,580	24.953	16.015	100,0%	100,0%
Macaíba (Município) (240710)	70.587	70.587	43.318	510,770	69.450	42.181	97,4%	98,4%
Monte Alegre (Município) (240780)	20.825	20.825	9.063	210,920	19.558	7.796	86,0%	93,9%
Mossoró (Município) (240800)	263.344	263.344	240.463	2.099,330	171.381	148.500	61,8%	65,1%
Natal (Município) (240810)	810.780	810.780	810.780	167,260	542.546	542.546	66,9%	66,9%
Nísia Floresta (Município) (240820)	24.149	24.149	9.524	307,840	24.149	9.524	100,0%	100,0%
São Gonçalo do Amarante (Município) (241200)	89.045	89.045	75.263	249,120	58.977	45.195	60,0%	66,2%
São José de Mipibu (Município) (241220)	40.150	40.150	18.403	290,330	39.897	18.150	98,6%	99,4%
Vera Cruz (Município) (241480)	10.888	10.888	4.769	83,890	10.888	4.769	100,0%	100,0%
Alhandra (Município) (250060)	18.168	18.168	11.253	182,660	18.168	11.253	100,0%	100,0%
Bayeux (Município) (250180)	100.137	100.137	99.210	27,540	93.081	92.154	92,9%	93,0%
Caaporã (Município) (250300)	20.510	20.510	17.676	150,170	20.510	17.676	100,0%	100,0%
Cabedelo (Município) (250320)	59.104	59.104	59.096	31,920	48.305	48.297	81,7%	81,7%
Cajazeiras (Município) (250370)	58.794	58.794	47.784	565,900	51.038	40.028	83,8%	86,8%
Campina Grande (Município) (250400)	387.644	387.644	369.526	593,030	93.945	75.827	20,5%	24,2%
Conde (Município) (250460)	21.783	21.783	14.746	172,950	21.783	14.746	100,0%	100,0%
Cruz do Espírito Santo (Município) (250490)	16.158	16.158	7.395	191,100	16.158	7.395	100,0%	100,0%
Guarabira (Município) (250630)	55.657	55.657	49.253	165,740	27.632	21.228	43,1%	49,6%
João Pessoa (Município) (250750)	733.155	733.155	730.389	211,480	245.645	242.879	33,3%	33,5%
Lucena (Município) (250860)	11.882	11.882	10.284	88,550	11.882	10.284	100,0%	100,0%
Mamanguape (Município) (250890)	42.602	42.602	34.476	340,480	40.326	32.200	93,4%	94,7%
Patos (Município) (251080)	101.359	101.359	97.940	473,060	96.477	93.058	95,0%	95,2%
Pedras de Fogo (Município) (251120)	27.389	27.389	16.574	404,880	26.514	15.699	94,7%	96,8%
Pitimbu (Município) (251190)	17.262	17.262	10.529	136,440	17.262	10.529	100,0%	100,0%
Rio Tinto (Município) (251290)	23.028	23.028	13.087	465,670	23.028	13.087	100,0%	100,0%
Santa Rita (Município) (251370)	121.166	121.166	104.455	730,210	116.642	99.931	95,7%	96,3%
Sapé (Município) (251530)	50.358	50.358	38.305	315,530	40.893	28.840	75,3%	81,2%
Sousa (Município) (251620)	66.136	66.136	52.144	738,550	39.969	29.823	57,2%	60,4%
Abreu e Lima (Município) (260005)	94.843	94.843	87.005	126,190	74.080	66.242	76,1%	78,1%
Araçoiaba (Município) (260105)	18.390	18.390	15.465	96,380	18.390	15.465	100,0%	100,0%
Araripina (Município) (260110)	77.794	77.794	47.207	2.037,390	77.794	47.207	100,0%	100,0%
Arcoverde (Município) (260120)	69.346	69.346	63.172	323,370	66.847	60.673	96,0%	96,4%
Belo Jardim (Município) (260170)	72.719	72.719	58.464	647,700	72.719	58.464	100,0%	100,0%
Bezerros (Município) (260190)	58.768	58.768	49.825	490,820	58.768	49.825	100,0%	100,0%
Brejo da Madre de Deus (Município) (260260)	45.723	45.723	35.546	762,350	26.473	16.296	45,8%	57,9%
Buíque (Município) (260280)	52.715	52.715	21.443	1.320,870	52.715	21.443	100,0%	100,0%
Cabo de Santo Agostinho (Município) (260290)	187.159	187.159	169.718	448,740	172.196	154.755	91,2%	92,0%
Camaragibe (Município) (260345)	145.676	145.676	145.676	51,260	143.690	143.690	98,6%	98,6%
Carpina (Município) (260400)	75.706	75.706	72.872	147,670	75.706	72.872	100,0%	100,0%
Caruaru (Município) (260410)	319.580	319.580	283.733	920,610	197.455	161.608	57,0%	61,8%
Escada (Município) (260520)	63.963	63.963	54.343	342,200	63.963	54.343	100,0%	100,0%
Garanhuns (Município) (260600)	130.303	130.303	116.154	458,550	120.512	106.363	91,6%	92,5%
Goiana (Município) (260620)	75.987	75.987	58.288	445,810	75.987	58.288	100,0%	100,0%
Gravatá (Município) (260640)	77.164	77.164	69.016	506,790	75.675	67.527	97,8%	98,1%
Igarassu (Município) (260680)	103.537	103.537	95.327	305,560	102.040	93.830	98,4%	98,6%
Ipojuca (Município) (260720)	82.277	82.277	60.934	527,110	82.277	60.934	100,0%	100,0%
Ilha de Itamaracá (Município) (260760)	22.347	22.347	17.353	66,680	22.347	17.353	100,0%	100,0%
Itapissuma (Município) (260775)	24.050	24.050	18.537	74,240	24.050	18.537	100,0%	100,0%
Jaboatão dos Guararapes (Município) (260790)	649.788	649.788	635.651	258,690	605.944	591.807	93,1%	93,3%
Limoeiro (Município) (260890)	55.391	55.391	44.521	273,740	55.391	44.521	100,0%	100,0%
Moreno (Município) (260940)	57.271	57.271	50.706	196,070	45.242	38.677	76,3%	79,0%
Olinda (Município) (260960)	378.538	378.538	371.076	41,680	254.489	247.027	66,6%	67,2%
Ouricuri (Município) (260990)	64.944	64.944	32.893	2.381,580	64.944	32.893	100,0%	100,0%
Palmares (Município) (261000)	59.813	59.813	47.112	339,290	59.813	47.112	100,0%	100,0%
Paudalho (Município) (261060)	51.835	51.835	36.670	274,780	51.835	36.670	100,0%	100,0%
Paulista (Município) (261070)	303.401	303.401	303.401	97,310	195.670	195.670	64,5%	64,5%
Pesqueira (Município) (261090)	63.320	63.320	45.405	980,880	41.320	25.405	56,0%	65,3%
Petrolina (Município) (261110)	299.752	299.752	223.533	4.561,870	145.390	69.171	30,9%	48,5%
Recife (Município) (261160)	1.546.516	1.546.516	1.546.516	218,440	996.899	996.899	64,5%	64,5%
Salgueiro (Município) (261220)	56.992	56.992	46.006	1.686,810	56.992	46.006	100,0%	100,0%
Santa Cruz do Capibaribe (Município) (261250)	89.773	89.773	87.735	335,310	89.773	87.735	100,0%	100,0%
São Bento do Una (Município) (261300)	53.847	53.847	28.216	719,150	53.847	28.216	100,0%	100,0%
São Lourenço da Mata (Município) (261370)	103.854	103.854	97.679	262,110	95.157	88.982	91,1%	91,6%
Serra Talhada (Município) (261390)	79.871	79.871	61.769	2.980,010	67.871	49.769	80,6%	85,0%
Surubim (Município) (261450)	59.144	59.144	44.509	252,860	59.144	44.509	100,0%	100,0%
Timbaúba (Município) (261530)	53.589	53.589	46.164	292,990	53.589	46.164	100,0%	100,0%
Vitória de Santo Antão (Município) (261640)	130.924	130.924	114.258	335,940	99.998	83.332	72,9%	76,4%
Arapiraca (Município) (270030)	216.108	216.108	183.264	345,660	216.108	183.264	100,0%	100,0%
Barra de Santo Antônio (Município) (270050)	14.451	14.451	13.448	131,630	-	-	-	-
Barra de São Miguel (Município) (270060)	7.666	7.666	6.600	76,620	7.666	6.600	100,0%	100,0%
Campo Alegre (Município) (270140)	51.584	51.584	22.496	312,710	41.084	11.996	53,3%	79,6%
Coqueiro Seco (Município) (270220)	5.557	5.557	5.001	39,610	5.557	5.001	100,0%	100,0%
Coruripe (Município) (270230)	52.716	52.716	46.561	898,630	46.086	39.931	85,8%	87,4%
Delmiro Gouveia (Município) (270240)	48.493	48.493	35.142	626,690	16.493	7.142	20,3%	34,0%
Maceió (Município) (270430)	943.110	943.110	942.484	509,550	609.671	609.045	64,6%	64,6%
Marechal Deodoro (Município) (270470)	46.754	46.754	44.125	332,140	35.534	32.905	74,6%	76,0%
Messias (Município) (270520)	15.966	15.966	14.521	114,160	15.966	14.521	100,0%	100,0%
Palmeira dos Índios (Município) (270630)	70.556	70.556	51.748	450,960	70.556	51.748	100,0%	100,0%
Paripueira (Município) (270644)	11.601	11.601	10.274	92,850	11.601	10.274	100,0%	100,0%
Penedo (Município) (270670)	60.638	60.638	45.214	689,880	60.638	45.214	100,0%	100,0%
Pilar (Município) (270690)	33.467	33.467	31.956	251,070	33.467	31.956	100,0%	100,0%
Rio Largo (Município) (270770)	68.885	68.885	56.277	293,820	68.885	56.277	100,0%	100,0%
Santa Luzia do Norte (Município) (270790)	6.930	6.930	6.207	28,860	6.930	6.207	100,0%	100,0%
São Miguel dos Campos (Município) (270860)	55.463	55.463	53.419	360,880	18.963	16.919	31,7%	34,2%
Satuba (Município) (270890)	14.815	14.815	12.978	41,270	14.815	12.978	100,0%	100,0%
União dos Palmares (Município) (270930)	62.645	62.645	47.870	420,720	62.645	47.870	100,0%	100,0%
Aracaju (Município) (280030)	579.563	579.563	579.563	181,860	371.554	371.554	64,1%	64,1%
Barra dos Coqueiros (Município) (280060)	25.527	25.527	21.347	89,600	25.527	21.347	100,0%	100,0%
Estância (Município) (280210)	64.825	64.825	55.114	644,490	63.789	54.078	98,1%	98,4%
Itabaiana (Município) (280290)	87.747	87.747	68.316	337,300	87.747	68.316	100,0%	100,0%
Lagarto (Município) (280350)	95.746	95.746	49.323	968,920	92.637	46.214	93,7%	96,8%
Nossa Senhora do Socorro (Município) (280480)	163.047	163.047	157.974	155,020	119.053	113.980	72,2%	73,0%
São Cristóvão (Município) (280670)	79.956	79.956	67.588	438,040	65.000	52.632	77,9%	81,3%
Tobias Barreto (Município) (280740)	48.414	48.414	32.479	1.024,190	48.414	32.479	100,0%	100,0%
Alagoinhas (Município) (290070)	142.870	142.870	124.847	707,560	127.790	110.317	88,4%	89,4%
Araci (Município) (290210)	51.994	51.994	19.768	1.495,550	51.994	19.768	100,0%	100,0%
Barra (Município) (290270)	49.736	49.736	22.633	11.422,540	49.736	22.633	100,0%	100,0%
Barreiras (Município) (290320)	139.285	139.285	125.414	7.861,760	127.077	113.206	90,3%	91,2%
Bom Jesus da Lapa (Município) (290390)	64.121	64.121	43.534	4.115,510	39.721	19.134	44,0%	61,9%
Brumado (Município) (290460)	64.790	64.790	45.262	2.207,610	62.452	42.924	94,8%	96,4%
Caetité (Município) (290520)	47.647	47.647	28.526	2.651,540	47.647	28.526	100,0%	100,0%
Camaçari (Município) (290570)	249.206	249.206	237.927	784,660	196.080	184.801	77,7%	78,7%
Campo Formoso (Município) (290600)	66.967	66.967	24.994	7.161,830	66.967	24.994	100,0%	100,0%
Candeias (Município) (290650)	83.648	83.648	76.442	251,630	64.261	57.055	74,6%	76,8%
Casa Nova (Município) (290720)	65.647	65.647	37.952	9.647,070	-	-	-	-
