 Morbidade Hospitalar do SUS - por local de residência - Pará
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"150085 Anapu";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;863,28;-;1151,04;2318,08;2014,32;287,76;863,28;863,28;599,52;575,52;287,76;-;287,76;-;287,76;871,28;-;583,52;303,76;-;287,76;1207,04;-;287,76;-;-;287,76;287,76;-;311,76;287,76;-;-;287,76;-;-;303,76;287,76;-;295,76;-;1207,04;-;591,52;1191,04;1191,04;3862,24;887,28;3005,60;-;2973,60;4524,40;6532,05;3325,36;671,76;607,52;911,28;615,52;-;-;-;-;-;295,76;295,76;-;583,52;-;-;-;287,76;-;-;287,76;-;311,76;-;295,76;879,28;-;-;-;-;-;-;879,28;1478,80;4396,40;4412,40;1486,80;1470,80;295,76;295,76;-;591,52;-;607,52;-;-;-;-;607,52;303,76;-;-;-;-;-;-;-;-;-;319,76;327,76;1247,04;2940,83;-;2238,32;1910,56;2805,84;1606,80;623,52;-;-;2877,84;1566,80;-;1638,80;-;-;-;-;-;-;-;-;-;89130,88
"150090 Augusto Corrêa";-;-;-;-;523,20;3211,20;3171,20;2156,80;4369,72;3956,00;3924,00;1332,00;1110,40;549,36;2669,84;3045,60;8529,04;11942,16;8033,52;3740,88;4668,16;1510,80;1151,04;2350,08;3565,12;1199,04;911,28;1898,74;2086,32;2126,32;2030,32;3509,12;6786,48;3221,36;3844,88;2917,60;4652,16;4132,64;4412,40;2358,08;7913,52;6474,72;9240,56;12254,16;4144,70;2350,08;1478,80;1438,80;2973,60;2430,08;1782,56;2621,84;3277,36;887,28;2917,60;6410,72;4052,64;11541,34;6346,72;2022,32;895,28;1734,56;2318,08;3756,88;1151,04;287,76;4348,40;4684,16;5315,68;2014,32;1534,80;591,52;575,52;2054,32;1438,80;287,76;575,52;575,52;599,52;287,76;1462,80;-;-;-;-;-;287,76;-;303,76;1438,80;879,28;3181,36;3213,36;3780,88;2693,84;887,28;599,52;2398,08;2589,84;2334,08;3788,88;3181,36;1183,04;7340,28;2374,08;879,28;1167,04;1774,56;583,52;591,52;1782,56;-;-;1486,80;287,76;1151,04;1151,04;895,28;591,52;1726,56;-;287,76;599,52;-;-;2350,08;2326,08;3213,36;2605,84;3860,88;2613,84;2957,60;1151,04;2054,32;1215,04;1151,04;1167,04;1486,80;599,52;2166,32;599,52;1175,04;863,28;287,76;287,76;287,76;-;311,76;319,76;-;927,28;863,28;-;-;-;-;-;-;-;287,76;-;-;-;345187,26
"150095 Aurora do Pará";-;-;-;-;-;547,20;261,60;-;579,20;261,60;-;-;-;-;-;365,71;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;311,76;-;1566,80;591,52;-;-;575,52;-;-;-;-;-;-;863,28;-;287,76;287,76;287,76;575,52;575,52;-;-;-;287,76;-;-;607,52;895,28;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;607,52;-;-;327,76;-;295,76;-;-;-;-;-;607,52;-;-;-;1830,56;-;927,28;287,76;-;-;-;-;-;-;-;-;-;327,76;-;-;-;303,76;287,76;-;-;-;-;-;497,82;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;17197,37
"150100 Aveiro";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;863,28
"150110 Bagre";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1035,87;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1643,39
"150120 Baião";-;-;-;-;-;-;-;-;-;-;261,60;261,60;-;-;-;311,76;-;-;311,76;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;591,52;-;-;-;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;335,76;-;-;-;-;-;3880,56
"150125 Bannach";-;-;-;-;-;261,60;-;261,60;261,60;-;-;-;-;-;261,60;826,96;-;-;287,76;1151,04;-;287,76;-;-;-;-;-;-;-;-;287,76;575,52;1151,04;1438,80;287,76;863,28;-;-;-;-;1438,80;287,76;2302,08;2934,77;1438,80;287,76;-;-;-;287,76;-;-;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;2014,32;5179,68;3165,36;-;-;-;-;-;-;-;575,52;1151,04;287,76;287,76;-;-;-;-;-;-;-;-;287,76;287,76;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;1726,56;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2046,32;-;287,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;36493,73
"150130 Barcarena";-;261,60;-;-;-;1380,00;285,60;523,20;1412,00;547,20;338,78;317,60;285,60;327,76;-;555,20;-;327,76;1566,80;919,28;295,76;623,52;303,76;-;-;359,03;-;-;-;-;343,76;1870,56;979,50;631,52;1555,32;2290,54;1566,80;2785,12;2600,47;974,55;1671,73;2151,89;1507,60;1367,28;623,52;935,28;631,52;311,76;1691,02;319,76;1534,80;2198,32;2805,84;7271,19;7062,57;2561,58;-;2182,32;1247,04;1638,80;2606,42;919,28;2123,63;943,28;-;2438,08;2481,23;7210,31;1694,74;-;303,76;-;-;311,76;303,76;311,76;-;-;375,03;791,86;1279,04;303,76;-;303,76;-;-;-;639,52;-;-;319,76;303,76;639,52;623,52;303,76;-;1726,74;303,76;919,28;607,52;927,28;607,52;1239,04;911,28;615,52;615,52;319,76;303,76;983,28;-;-;311,76;-;303,76;-;-;295,76;-;-;-;319,76;-;-;311,76;-;-;311,76;303,76;319,76;-;-;343,76;335,76;-;-;-;-;1598,46;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;375,76;-;-;-;-;-;-;-;-;-;108685,79
"150140 Belém";-;-;-;294,60;3553,18;7530,07;13571,38;10111,97;8280,15;5114,62;2184,35;2410,40;1625,60;2526,95;2937,53;6025,93;5414,28;5860,05;13303,77;20584,70;13945,13;8248,47;4162,90;2434,79;963,99;776,94;1552,66;1542,80;993,95;4099,07;11791,92;14184,64;20040,18;15629,60;18691,28;10353,22;15208,61;7904,47;15399,63;15044,48;13658,77;11931,50;12911,88;14326,61;8152,87;5535,93;3077,54;4450,04;1949,17;7145,65;5486,50;6959,39;8175,05;8838,59;11062,33;9932,83;6776,27;5779,41;5134,52;2014,32;3815,73;3005,54;2957,46;1191,04;903,40;985,49;3893,68;4919,48;3384,86;1191,04;2571,08;1611,51;1215,04;1151,04;1151,04;935,91;287,76;676,23;287,76;1139,16;2924,56;5874,02;721,83;2189,62;2008,05;388,47;490,93;675,02;1089,87;776,94;1683,25;3104,38;1433,95;2620,49;2117,64;1883,30;1800,53;311,76;410,07;-;794,96;1156,65;-;1454,80;432,69;-;287,76;798,97;424,17;-;-;-;-;-;287,76;-;-;-;-;1025,99;-;410,07;287,76;373,71;-;575,52;738,62;762,58;-;52,22;452,38;615,52;-;756,98;661,47;287,76;-;591,52;935,28;1020,58;653,47;476,06;376,91;319,76;615,52;-;319,76;586,39;754,40;2189,19;1150,29;1538,76;1066,33;-;-;-;-;287,76;-;399,27;-;-;-;543295,95
"150145 Belterra";-;-;-;-;-;-;261,60;523,20;1349,43;2636,00;1569,60;-;-;-;-;1151,04;863,28;863,28;2302,08;863,28;-;575,52;-;287,76;-;-;-;-;-;-;-;575,52;287,76;-;1212,99;863,28;2877,60;1438,80;1151,04;2917,60;2630,04;7194,00;1726,56;1502,80;959,28;287,76;-;-;-;287,76;-;-;-;-;-;47,27;1286,75;619,74;575,52;2302,08;667,01;1159,04;343,03;287,76;-;2613,84;355,98;-;675,01;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55,27;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;359,03;1227,26;287,76;287,76;-;44,22;575,52;-;-;287,76;-;371,98;343,03;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;55370,28
"150150 Benevides";-;-;-;-;-;523,20;784,80;1308,00;261,60;-;294,60;-;261,60;293,60;-;-;-;1438,80;1151,04;327,76;1790,56;863,28;287,76;-;327,76;-;287,76;-;-;575,52;-;-;-;1151,04;863,28;1726,56;895,28;1853,29;575,52;887,28;3587,13;1478,80;2627,79;599,52;1635,26;575,52;311,76;-;-;-;1379,76;-;999,69;287,76;575,52;287,76;287,76;651,81;287,76;591,52;-;-;287,76;-;-;-;1151,04;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;676,23;-;-;-;-;-;-;-;303,76;-;319,76;453,27;-;-;-;-;-;-;-;303,76;-;-;-;-;-;344,15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;343,76;-;-;-;-;-;-;-;575,52;-;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40245,54
"150157 Bom Jesus do Tocantins";-;-;-;1118,40;1569,60;4740,80;6096,80;7424,56;3670,40;1046,40;1569,60;-;-;523,20;-;863,28;-;1734,56;5227,68;2877,60;2030,32;2318,08;583,52;287,76;-;-;583,52;-;287,76;-;863,28;1446,80;2613,84;287,76;871,28;575,52;2589,84;2014,32;1151,04;4028,64;2589,84;575,52;4891,92;2302,08;575,52;863,28;287,76;-;-;-;287,76;1151,04;1438,80;1726,56;287,76;-;-;-;-;287,76;-;-;-;-;-;863,28;-;-;287,76;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;-;-;-;287,76;-;-;-;-;-;575,52;287,76;-;287,76;-;-;-;-;287,76;287,76;-;-;2631,79;2589,84;-;287,76;-;-;-;-;-;2014,32;1438,80;3740,88;-;-;-;-;-;-;-;-;287,76;287,76;287,76;575,52;287,76;287,76;-;-;-;-;-;287,76;575,52;287,76;287,76;287,76;863,28;-;-;-;-;-;-;-;863,28;575,52;-;-;-;-;-;-;-;-;-;-;-;-;-;100748,99
