"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150420 Marabá";136;141;130;25;13;1;-;1;1;-;4;3;455
"150430 Maracanã";5;10;2;-;-;1;4;2;-;1;-;2;27
"150440 Marapanim";-;-;-;-;-;1;1;-;-;-;-;-;2
"150442 Marituba";11;1;1;2;3;2;3;13;22;21;11;7;97
"150445 Medicilândia";10;10;6;10;4;1;-;-;-;1;2;1;45
"150460 Mocajuba";-;-;1;-;-;1;-;-;-;-;-;-;2
"150470 Moju";-;-;-;1;-;-;-;-;-;-;-;-;1
"150475 Mojuí dos Campos";-;1;12;-;-;-;-;-;-;-;-;-;13
"150480 Monte Alegre";1;-;3;-;-;-;-;-;-;-;-;-;4
"150495 Nova Esperança do Piriá";20;23;3;2;4;7;1;1;4;2;-;-;67
"150497 Nova Ipixuna";1;-;1;1;-;-;1;-;-;-;-;2;6
"150500 Nova Timboteua";-;1;2;3;-;-;-;-;-;-;-;-;6
"150503 Novo Progresso";26;17;10;4;1;2;-;1;-;2;-;2;65
"150506 Novo Repartimento";5;83;41;6;3;6;-;-;-;-;-;-;144
"150510 Óbidos";-;-;1;1;-;-;-;-;-;-;-;1;3
"150520 Oeiras do Pará";1;-;-;-;-;-;-;-;-;-;-;-;1
"150530 Oriximiná";1;8;5;4;7;4;1;-;-;3;-;1;34
"150540 Ourém";-;-;1;-;-;-;-;-;-;-;-;-;1
"150543 Ourilândia do Norte";28;15;19;1;2;-;-;-;-;1;-;6;72
"150548 Pacajá";54;132;71;19;4;1;-;-;-;1;-;2;284
"150549 Palestina do Pará";1;8;38;8;-;1;-;1;-;-;2;9;68
"150550 Paragominas";-;-;1;2;9;13;3;5;6;2;2;1;44
"150553 Parauapebas";80;226;382;233;102;34;22;9;7;5;6;7;1113
"150555 Pau D'Arco";11;9;12;9;2;-;-;-;-;-;-;-;43
"150565 Placas";-;-;-;-;-;1;-;-;-;-;-;-;1
"150600 Prainha";-;-;-;-;-;-;-;-;-;-;-;1;1
"150610 Primavera";2;-;1;2;-;-;-;-;-;1;-;-;6
"150611 Quatipuru";2;2;2;-;-;-;-;-;-;-;-;-;6
"150613 Redenção";38;19;6;5;12;5;2;2;3;7;9;19;127
"150616 Rio Maria";24;12;3;-;-;-;-;-;-;-;-;-;39
"150618 Rondon do Pará";4;36;29;5;3;1;-;-;-;-;-;1;79
"150619 Rurópolis";1;2;13;7;3;-;-;-;-;-;-;-;26
"150620 Salinópolis";1;-;-;-;-;-;-;-;-;-;-;-;1
"150630 Salvaterra";-;2;-;-;-;-;-;-;-;-;-;1;3
"150650 Santa Izabel do Pará";-;-;-;-;-;-;-;-;-;1;1;-;2
"150655 Santa Luzia do Pará";3;2;3;1;2;1;-;-;-;-;-;-;12
"150658 Santa Maria das Barreiras";17;41;31;4;-;-;-;-;-;-;-;2;95
"150660 Santa Maria do Pará";-;-;2;-;-;-;-;-;1;-;-;-;3
"150670 Santana do Araguaia";2;2;9;4;3;-;-;-;-;1;-;-;21
"150680 Santarém";-;-;-;6;2;1;-;1;-;-;1;1;12
"150690 Santarém Novo";-;-;-;1;-;-;-;-;2;3;2;1;9
"150700 Santo Antônio do Tauá";-;-;-;-;-;-;-;-;-;1;3;1;5
"150710 São Caetano de Odivelas";-;-;-;-;-;-;1;4;-;-;-;-;5
"150715 São Domingos do Araguaia";5;-;-;-;-;-;-;-;-;-;-;1;6
"150720 São Domingos do Capim";-;-;-;-;-;1;-;1;-;-;-;-;2
"150730 São Félix do Xingu";9;24;12;-;-;-;-;2;-;-;-;-;47
"150740 São Francisco do Pará";-;9;1;-;-;-;-;1;3;2;4;-;20
"150745 São Geraldo do Araguaia";70;63;54;16;7;2;-;2;1;-;1;2;218
"150746 São João da Ponta";-;-;1;-;-;-;-;-;-;-;-;-;1
"150747 São João de Pirabas";-;1;-;-;-;13;8;2;3;1;1;2;31
"150750 São João do Araguaia";16;7;4;17;10;5;5;4;-;10;9;15;102
"150760 São Miguel do Guamá";-;-;-;-;-;-;-;1;-;-;-;-;1
"150770 São Sebastião da Boa Vista";1;1;-;-;-;-;-;-;-;-;-;-;2
"150775 Sapucaia";-;-;1;-;-;-;-;-;-;-;-;-;1
"150780 Senador José Porfírio";-;-;-;-;4;-;-;-;-;1;2;-;7
"150790 Soure";-;-;-;-;33;3;15;46;1;-;-;-;98
"150795 Tailândia";4;-;1;-;1;-;-;-;1;-;-;-;7
"150796 Terra Alta";-;-;-;-;-;-;-;1;-;-;-;-;1
"150800 Tomé-Açu";-;1;1;-;-;1;-;-;-;1;-;-;4
"150803 Tracuateua";-;-;-;-;-;-;-;-;-;-;1;-;1
"150808 Tucumã";1;5;2;1;-;-;-;-;-;-;-;-;9
"150810 Tucuruí";114;110;150;18;7;11;9;3;1;-;-;1;424
"150812 Ulianópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"150820 Vigia";-;-;2;3;54;53;41;12;3;3;8;-;179
"150830 Viseu";-;-;-;1;-;-;-;-;-;-;-;-;1
"150835 Vitória do Xingu";2;2;12;4;-;1;-;-;-;-;1;1;23
"150840 Xinguara";672;186;-;-;-;-;-;-;1;-;1;12;872
"Total";2013;1881;1533;550;413;244;211;223;158;194;194;203;7817
