"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150277 Curionópolis";4;5;6;2;1;-;-;-;-;-;-;-;18
"150290 Curuçá";-;2;3;-;-;1;2;-;-;1;2;-;11
"150293 Dom Eliseu";5;3;3;4;-;2;-;1;-;-;2;1;21
"150295 Eldorado do Carajás";10;-;2;1;3;4;-;-;-;-;-;-;20
"150309 Goianésia do Pará";-;1;1;-;-;-;-;-;-;-;-;-;2
"150310 Gurupá";-;-;-;-;-;-;-;2;3;28;4;-;37
"150320 Igarapé-Açu";1;-;-;-;2;-;1;-;-;-;-;-;4
"150340 Inhangapi";-;-;-;-;2;1;-;2;2;1;2;-;10
"150345 Ipixuna do Pará";2;5;5;7;-;-;-;-;-;-;-;-;19
"150350 Irituia";-;1;1;1;-;-;-;-;-;-;2;1;6
"150360 Itaituba";4;13;10;7;12;6;6;-;1;2;7;-;68
"150370 Itupiranga";6;12;5;5;3;-;-;1;-;1;-;-;33
"150380 Jacundá";-;-;-;-;1;-;-;-;1;-;-;-;2
"150390 Juruti";5;6;2;2;4;4;2;-;-;-;-;-;25
"150405 Mãe do Rio";-;-;-;-;-;-;-;-;1;-;-;-;1
"150420 Marabá";7;30;29;14;4;2;1;1;-;-;2;3;93
"150430 Maracanã";-;1;-;-;-;-;-;-;-;-;-;-;1
"150442 Marituba";12;8;12;6;14;5;6;1;6;21;10;2;103
"150445 Medicilândia";5;2;3;-;-;-;-;-;-;-;-;1;11
"150460 Mocajuba";-;-;1;-;-;-;-;-;-;-;-;-;1
"150470 Moju";-;-;-;-;1;-;-;-;-;-;1;-;2
"150475 Mojuí dos Campos";-;-;-;-;-;-;-;5;13;8;4;-;30
"150480 Monte Alegre";-;-;-;1;-;-;1;-;-;-;-;-;2
"150490 Muaná";-;-;9;2;-;-;-;-;-;-;1;-;12
"150495 Nova Esperança do Piriá";1;-;-;2;-;-;-;-;-;-;-;-;3
"150497 Nova Ipixuna";1;1;4;2;2;1;-;-;-;-;1;2;14
"150503 Novo Progresso";2;3;25;9;11;5;-;2;3;5;2;1;68
"150506 Novo Repartimento";2;2;-;-;5;1;1;-;-;-;-;-;11
"150510 Óbidos";-;-;-;1;3;1;-;-;-;-;1;-;6
"150520 Oeiras do Pará";-;-;-;1;-;-;-;-;-;-;-;-;1
"150530 Oriximiná";62;33;40;25;25;4;11;9;1;2;1;6;219
"150540 Ourém";-;1;-;-;-;-;-;-;-;-;-;-;1
"150543 Ourilândia do Norte";6;2;2;1;-;1;-;-;-;-;1;2;15
"150548 Pacajá";52;42;48;14;4;3;2;2;1;-;4;6;178
"150550 Paragominas";-;2;-;3;2;-;-;-;-;-;-;-;7
"150553 Parauapebas";140;91;114;80;35;20;3;4;2;7;11;28;535
"150565 Placas";1;-;1;3;2;-;-;-;-;-;-;-;7
"150570 Ponta de Pedras";-;-;1;-;1;-;-;2;2;3;4;2;15
"150580 Portel";-;-;1;-;1;2;1;-;-;6;1;1;13
"150613 Redenção";2;2;1;2;1;-;-;-;-;-;-;-;8
"150616 Rio Maria";4;4;2;-;-;-;1;1;-;1;4;-;17
"150618 Rondon do Pará";1;1;1;2;1;-;1;1;-;1;-;1;10
"150619 Rurópolis";2;-;-;-;-;-;1;-;-;-;-;-;3
"150620 Salinópolis";2;2;-;1;-;1;-;2;-;1;1;-;10
"150630 Salvaterra";2;-;2;-;1;1;-;-;1;-;-;1;8
"150635 Santa Bárbara do Pará";1;-;3;4;-;-;-;-;-;-;-;-;8
"150650 Santa Izabel do Pará";1;2;3;5;-;4;-;1;-;-;-;-;16
"150655 Santa Luzia do Pará";-;-;1;-;1;-;-;-;1;-;-;-;3
"150658 Santa Maria das Barreiras";2;8;7;10;1;-;-;-;-;-;-;2;30
"150660 Santa Maria do Pará";-;-;-;-;1;-;-;-;-;-;-;-;1
"150670 Santana do Araguaia";-;2;2;1;1;1;-;-;-;-;-;-;7
"150680 Santarém";4;1;2;3;6;1;-;1;1;2;1;1;23
"150700 Santo Antônio do Tauá";-;-;-;1;-;-;-;-;-;-;-;-;1
"150710 São Caetano de Odivelas";-;-;-;-;-;-;-;-;1;-;-;-;1
"150715 São Domingos do Araguaia";5;1;-;10;12;4;1;-;1;-;-;-;34
"150720 São Domingos do Capim";2;1;7;-;2;2;-;1;-;-;1;-;16
"150730 São Félix do Xingu";8;15;87;20;21;8;11;1;-;5;1;5;182
"150740 São Francisco do Pará";-;-;14;1;-;-;-;-;-;-;-;1;16
"150745 São Geraldo do Araguaia";3;5;2;21;15;2;2;-;-;2;2;1;55
"150746 São João da Ponta";1;2;-;-;1;-;-;-;2;7;14;6;33
"150747 São João de Pirabas";-;-;-;1;-;-;-;-;-;-;-;-;1
"150750 São João do Araguaia";-;-;2;2;1;-;-;-;-;1;1;1;8
"150760 São Miguel do Guamá";-;-;1;-;1;-;-;-;-;-;-;-;2
"150770 São Sebastião da Boa Vista";-;1;-;-;-;2;-;-;-;-;-;-;3
"150780 Senador José Porfírio";71;78;47;25;7;4;11;33;57;80;32;69;514
"150790 Soure";-;1;-;1;-;-;-;-;-;-;3;-;5
"150795 Tailândia";1;1;-;-;1;-;8;1;4;8;2;6;32
"150796 Terra Alta";-;-;-;-;-;-;-;1;-;-;-;-;1
"150797 Terra Santa";-;1;1;1;1;1;-;-;-;-;-;-;5
"150800 Tomé-Açu";-;1;1;2;5;-;14;2;1;3;2;-;31
"150803 Tracuateua";6;-;7;1;-;1;1;-;-;2;-;-;18
"150808 Tucumã";1;1;2;2;2;2;1;4;2;1;8;4;30
"150810 Tucuruí";2;6;3;3;4;-;1;1;-;-;-;1;21
"150812 Ulianópolis";-;-;-;-;-;-;-;-;1;-;-;-;1
"150815 Uruará";-;-;4;1;50;9;2;-;9;3;-;1;79
"150820 Vigia";-;-;-;3;3;-;-;-;-;-;-;-;6
"150830 Viseu";1;-;-;-;-;-;-;-;-;-;-;-;1
"150835 Vitória do Xingu";-;12;9;38;19;4;-;2;3;4;2;1;94
"150840 Xinguara";3;5;5;-;-;-;-;-;-;-;-;2;15
"Total";574;627;730;562;480;237;173;178;207;300;228;237;4533
