 Morbidade Hospitalar do SUS - por local de residência - Mato Grosso
Taxa mortalidade por Município e Ano/mês atendimento
Lista Morb  CID-10: Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Fev/2021
"Município";"2008/Abr";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Ago";"2009/Set";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Set";"2011/Jul";"2011/Dez";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Out";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2014/Abr";"2014/Set";"2015/Jun";"2015/Dez";"2016/Fev";"2018/Jul";"2019/Mai";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2021/Jan";"Total"
"510840 Várzea Grande";...;10,00;7,41;1,18;4,55;16,67;10,00;13,64;-;8,57;16,67;14,29;20,00;...;100,00;100,00;...;...;...;25,00;-;-;33,33;...;...;-;...;...;...;...;-;...;...;...;...;...;100,00;...;...;...;...;6,78
"510550 Vila Bela da Santíssima Trindade";...;...;...;...;...;...;...;...;-;-;-;...;...;...;...;...;...;...;...;-;-;-;-;...;...;...;...;...;100,00;...;...;...;...;...;...;...;...;...;...;...;...;2,94
"Total";50,00;5,56;4,24;3,11;5,36;12,00;7,41;5,30;2,04;2,54;2,40;6,25;9,09;8,70;12,50;40,00;25,00;50,00;33,33;9,09;17,65;9,09;18,18;66,67;20,00;15,38;60,00;7,69;6,67;20,00;50,00;12,50;25,00;14,29;100,00;22,22;4,76;3,33;4,17;4,35;25,00;4,88
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
