 Morbidade Hospitalar do SUS - por local de residência - Acre
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Febre hemorrágica devida ao vírus da dengue
Período:Jan/2008-Fev/2021
"Município";"2008/Jan";"2008/Mar";"2008/Out";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Jun";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2012/Jan";"2012/Fev";"2012/Abr";"2012/Set";"2012/Out";"2013/Jan";"2013/Dez";"2014/Fev";"2014/Ago";"2015/Fev";"2016/Fev";"2016/Ago";"2017/Abr";"2017/Ago";"2017/Out";"2018/Fev";"2018/Mar";"2018/Ago";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jul";"2020/Nov";"2020/Dez";"2021/Jan";"Total"
"120039 Porto Walter";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;425,57;-;-;-;-;-;-;1108,03;-;-;-;-;-;-;-;-;-;1533,60
"120040 Rio Branco";938,82;-;298,85;4879,82;10889,39;2243,80;567,47;3444,00;5151,44;289,17;744,97;289,17;648,29;1728,79;905,46;366,53;406,77;289,17;-;289,17;289,17;-;289,17;-;289,17;-;752,47;-;-;-;-;-;-;-;-;-;-;-;390,89;-;289,17;746,91;-;-;-;305,17;-;642,34;-;-;-;417,85;-;289,17;1393,21;-;40465,77
"120042 Rodrigues Alves";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;297,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;369,36;-;-;-;-;-;-;-;1240,91;343,12;-;-;-;-;-;-;-;-;2250,56
"120050 Sena Madureira";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;486,15;289,17;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1063,08
"120070 Xapuri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;521,77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;521,77
"Total";938,82;253,68;298,85;4879,82;10889,39;2243,80;856,64;3444,00;5151,44;289,17;744,97;289,17;648,29;5995,94;905,46;366,53;406,77;289,17;345,17;289,17;289,17;289,17;289,17;297,17;289,17;329,11;752,47;1345,78;387,34;321,17;1216,38;521,77;855,68;321,17;413,07;486,15;289,17;616,93;1121,62;425,57;687,29;1255,16;52,22;305,17;1055,41;3471,80;13739,95;13608,77;7771,46;1578,01;610,34;2806,22;660,38;289,17;2004,55;333,39;100612,77
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
