 Morbidade Hospitalar do SUS - por local de residência - Acre
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"120034 Manoel Urbano";-;-;1;-;2;4;-;1;-;-;1;2;-;-;-;1;1;1;2;1;1;-;1;1;-;-;-;1;1;1;-;1;-;1;-;1;-;1;1;-;1;-;-;1;-;-;-;1;-;1;1;-;2;-;1;-;1;-;2;-;-;1;1;1;-;1;1;2;1;-;2;1;1;2;-;1;-;2;-;3;2;1;-;1;1;-;2;2;-;-;2;3;1;4;1;1;1;-;2;1;1;-;1;-;2;-;-;-;-;3;-;2;5;1;1;2;3;-;-;1;-;-;-;1;1;-;1;2;3;2;3;-;-;2;1;-;2;1;1;4;2;1;1;-;3;3;1;4;1;1;1;1;-;-;1;1;1;-;3;1;1;-;157
"120035 Marechal Thaumaturgo";-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;1;-;2;-;2;2;1;1;-;1;1;-;-;1;-;1;1;-;1;-;-;2;-;-;-;2;1;1;2;1;-;-;-;-;-;-;1;1;1;1;-;-;1;-;2;-;-;-;-;-;-;-;1;1;1;-;-;-;1;1;-;1;-;3;1;-;1;2;1;-;-;1;-;-;1;2;-;-;-;1;1;-;1;-;-;-;-;-;1;-;-;-;-;1;2;-;-;1;2;-;1;2;-;1;-;-;2;1;-;-;-;1;2;1;1;1;1;-;1;-;4;1;-;3;-;-;2;2;1;-;2;2;1;-;1;-;97
"120038 Plácido de Castro";-;-;-;1;2;4;2;5;1;6;3;-;1;2;1;1;1;1;4;1;1;4;1;1;1;2;5;3;-;1;2;3;-;3;4;2;2;4;5;3;4;-;3;2;1;3;4;2;1;3;2;4;1;1;2;1;-;1;5;2;-;1;3;1;-;2;5;1;1;1;2;3;1;-;-;1;1;2;1;1;5;1;3;1;-;5;2;1;2;2;2;-;1;1;-;2;1;2;-;2;4;3;1;3;2;-;3;3;-;5;2;1;1;3;4;3;2;1;3;5;4;4;3;-;1;1;4;1;2;5;2;4;1;2;1;1;-;1;3;4;-;2;-;1;1;2;1;2;2;4;3;5;1;2;2;3;1;2;3;2;-;-;317
"120080 Porto Acre";-;-;-;2;3;3;2;1;1;2;1;2;1;4;2;1;4;1;-;3;-;2;-;2;1;-;-;1;1;-;1;1;-;6;2;2;3;2;3;3;3;-;1;1;4;3;-;2;-;1;2;1;1;1;4;2;3;1;3;1;2;2;-;2;1;3;3;2;2;1;2;3;1;1;2;-;-;1;3;1;5;2;1;2;3;1;3;1;1;-;1;1;7;2;-;2;1;3;4;2;2;2;6;-;1;1;4;2;3;4;1;3;1;3;-;4;2;1;1;5;1;3;1;1;-;1;-;2;2;2;1;2;2;3;1;3;3;1;4;4;3;4;1;2;1;2;-;5;1;3;2;4;4;4;6;4;2;2;4;-;-;-;308
"120039 Porto Walter";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;1;1;-;2;-;-;-;-;2;2;1;2;-;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;2;1;-;-;1;-;-;-;2;-;-;1;-;1;-;1;-;-;-;1;1;-;-;-;-;1;-;1;1;-;1;1;-;-;-;-;-;-;1;-;1;-;1;-;-;-;-;-;1;-;1;-;3;1;1;-;-;2;-;-;-;-;-;-;-;-;1;1;5;-;-;-;1;-;1;-;2;1;1;-;-;-;3;1;-;-;-;2;1;-;-;-;-;-;-;-;2;1;4;-;1;-;-;1;-;-;75
"120040 Rio Branco";1;10;28;42;70;68;73;76;66;63;50;23;45;55;44;83;71;44;70;50;56;43;60;45;61;56;68;53;58;59;76;65;64;77;70;72;71;74;48;68;87;86;80;80;83;74;73;87;81;78;71;83;81;65;83;57;59;58;68;72;64;70;73;60;74;62;66;72;51;62;53;55;63;46;43;32;43;45;78;72;64;65;46;72;60;73;93;49;70;57;74;90;75;80;72;81;67;79;65;83;78;84;87;103;78;70;68;74;75;71;68;68;65;70;70;66;77;54;75;58;60;59;50;55;64;62;73;72;70;98;94;93;85;67;57;51;71;61;57;65;77;66;58;82;68;72;82;70;84;81;64;89;125;116;104;77;69;67;64;54;13;1;10787
"120042 Rodrigues Alves";-;-;-;-;-;-;-;1;-;1;-;-;-;1;-;1;1;2;-;-;1;-;1;-;2;-;-;3;-;1;1;1;2;5;-;2;1;1;1;1;-;-;1;-;-;-;2;1;-;-;3;1;-;-;1;-;1;3;-;1;-;-;2;1;-;2;-;-;1;-;1;-;-;2;2;1;1;1;-;2;2;2;2;-;2;-;1;-;1;1;1;1;1;-;-;-;1;1;1;-;-;1;1;-;2;2;-;2;1;-;1;1;-;3;1;1;1;3;3;-;-;3;1;3;-;1;1;2;-;3;2;3;1;2;-;2;-;1;2;3;1;-;2;2;1;1;-;1;2;3;2;5;6;-;4;2;1;1;-;1;2;-;167
"120043 Santa Rosa do Purus";-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;1;1;-;-;2;-;-;1;1;-;1;-;-;1;1;2;2;1;-;1;-;1;1;2;-;-;-;2;3;1;2;1;1;-;-;1;-;1;-;-;1;-;2;1;1;-;1;-;2;-;-;2;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;-;-;-;-;-;1;1;1;1;-;-;2;-;1;1;-;-;-;-;-;-;1;1;-;1;-;-;-;-;1;-;-;-;-;-;-;1;1;-;-;1;1;1;-;-;-;-;-;-;1;2;1;1;-;-;-;1;2;-;2;-;2;-;-;-;1;1;-;-;-;78
"120050 Sena Madureira";-;-;-;2;2;3;2;5;6;1;2;1;1;2;-;1;-;3;6;4;3;3;-;-;3;1;1;2;3;4;10;7;7;11;4;3;6;6;4;3;10;8;8;3;3;8;7;7;5;4;5;6;4;2;5;9;4;8;3;2;4;3;8;1;7;1;8;3;6;3;4;8;7;6;3;8;2;1;6;3;5;3;3;5;4;8;5;8;5;5;2;7;5;6;9;13;4;7;6;4;4;5;3;2;1;3;3;4;4;4;4;3;3;8;4;4;2;7;4;7;3;3;5;9;8;6;9;10;2;4;4;7;5;4;5;5;7;3;1;4;2;7;2;3;4;4;1;13;6;5;4;4;2;3;5;9;8;11;4;1;2;-;722
"120045 Senador Guiomard";-;-;2;2;1;4;6;-;1;2;6;-;-;4;3;2;3;2;3;2;1;-;3;5;3;2;1;2;-;-;1;1;1;4;7;3;1;1;1;3;4;6;3;1;7;1;3;-;5;2;5;3;2;4;2;3;3;2;2;2;2;3;2;1;6;1;1;3;1;3;-;1;1;2;3;-;-;1;3;3;2;1;2;5;2;7;4;1;4;-;3;6;7;5;2;3;2;5;4;3;1;1;-;1;2;6;5;2;1;2;3;3;4;5;4;3;2;6;2;6;9;3;6;2;2;7;2;2;6;3;4;4;3;5;1;4;4;2;3;7;5;3;4;7;1;7;4;4;1;3;5;3;2;3;2;3;2;3;3;1;1;-;453
"120060 Tarauacá";-;1;-;2;6;4;7;-;4;4;10;1;4;1;3;3;2;2;2;1;2;5;3;2;2;3;6;1;4;3;1;-;3;1;5;3;4;2;2;3;1;3;4;5;2;4;2;3;1;5;3;2;4;2;1;3;4;3;5;4;2;1;2;2;5;5;5;5;3;2;5;1;3;2;2;3;1;2;5;4;3;2;1;4;1;3;2;4;3;6;2;6;5;3;3;4;2;3;5;3;4;3;5;4;6;1;1;8;4;3;2;4;5;6;5;3;6;4;5;5;4;7;5;2;9;4;3;3;4;4;7;3;5;8;4;7;1;3;2;3;7;7;7;1;7;3;6;4;7;8;6;2;4;6;9;6;6;1;6;5;2;-;580
"120070 Xapuri";-;-;1;-;5;4;1;1;2;3;4;-;-;2;4;1;5;4;1;-;3;1;3;1;4;1;2;1;2;-;4;1;1;4;3;5;4;4;6;5;5;4;2;7;3;5;1;2;4;3;-;4;5;3;2;3;1;4;5;1;3;3;3;2;5;2;2;1;4;3;3;-;1;2;-;2;2;2;2;3;2;2;2;2;3;3;3;5;3;2;2;-;5;1;5;2;2;2;2;1;1;2;1;3;2;2;-;2;5;2;-;3;3;5;-;5;3;3;1;2;2;3;3;4;4;-;3;5;-;2;3;4;1;4;1;2;7;6;2;4;6;2;4;1;3;3;3;3;4;4;2;1;2;2;6;5;1;1;3;1;-;-;413
"Total";3;14;33;61;104;113;106;105;102;98;95;44;74;86;74;115;110;71;104;82;86;72;91;78;97;90;101;85;89;92;123;102;106;135;119;125;123;124;93;110;136;129;122;119;131;121;119;125;117;124;110;124;119;95;135;102;105;103;121;103;101;111;115;88;126;100;120;115;91;99;97;91;94;84;69;63;68;76;117;115;116;105;81;110;92;123;140;98;106;93;110;137;123;128;114;130;100;130;120;122;122;127;125;134;124;112;115;123;119;117;101;115;107;132;110;113;121;114;123;111;108;117;99;111;126;97;118;121;123;154;153;153;131;130;90;104;124;110;109;132;133;118;119;138;122;132;134;138;141;149;120;154;179;195;181;140;122;118;113;85;40;1;17760
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
