"Município";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Set";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Mai";"2011/Ago";"2011/Out";"2011/Nov";"2012/Jan";"2012/Mar";"2012/Abr";"2012/Jun";"2012/Ago";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Fev";"2014/Abr";"2014/Mai";"2014/Ago";"2014/Out";"2014/Nov";"2015/Mar";"2015/Abr";"2015/Jun";"2015/Ago";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Jun";"2016/Set";"2016/Nov";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Jun";"2017/Ago";"2017/Nov";"2017/Dez";"2018/Fev";"2018/Jul";"2019/Jan";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jul";"2019/Ago";"2019/Nov";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Jun";"2020/Out";"2020/Nov";"2021/Jan";"2021/Fev";"Total"
"110033 Nova Mamoré";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;297,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;297,17
"110050 Novo Horizonte do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17
"110015 Ouro Preto do Oeste";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1453,85;3348,03;-;327,12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;289,17;-;-;-;-;-;-;345,17;-;-;-;-;-;-;-;-;-;-;-;-;321,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;297,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;6670,85
"110018 Pimenta Bueno";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;289,17;1759,02;1469,85;594,34;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;4401,55
"110020 Porto Velho";-;-;-;-;515,75;-;-;253,68;-;289,17;327,12;-;289,17;-;-;-;-;1597,73;-;1526,09;4457,91;6163,30;3036,63;907,63;289,17;-;-;-;-;323,73;289,17;-;-;-;289,17;297,17;289,17;327,12;-;-;578,34;2086,38;-;-;289,17;-;-;-;-;-;-;-;-;289,17;327,12;289,17;336,12;-;-;-;289,17;-;369,12;-;-;-;-;360,68;-;305,17;-;-;-;-;-;363,66;-;-;287,75;-;287,76;-;-;3759,04;-;-;-;289,17;-;-;-;677,03;-;-;1742,33;-;-;-;-;338,10;34733,33
"110025 Presidente Médici";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;305,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;292,62;-;-;-;-;-;-;-;-;-;597,79
"110028 Rolim de Moura";-;-;-;-;-;-;-;-;-;-;-;-;289,17;297,17;-;349,35;-;-;-;-;-;1521,16;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;441,57;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63,27;292,62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;629,75;-;-;-;4462,40
"110148 São Felipe D'Oeste";253,68;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;253,68
"110149 São Francisco do Guaporé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;899,51;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;305,95;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1205,46
"110032 São Miguel do Guaporé";-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2267,55;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2556,72
"110150 Seringueiras";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;999,60;1287,36
"110155 Teixeirópolis";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;305,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;594,34
"110175 Vale do Anari";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;289,17
"110030 Vilhena";-;-;-;-;-;-;-;-;-;409,53;-;-;-;-;-;-;-;-;-;-;767,89;4796,89;2228,05;4697,27;1246,61;289,17;1301,61;-;-;-;-;-;-;305,17;-;-;-;-;297,17;-;-;-;305,17;305,17;-;297,17;289,17;313,17;313,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;297,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;367,12;-;-;-;-;-;-;-;-;-;-;303,76;-;-;-;686,37;-;-;2575,78;-;-;22392,58
"Total";531,36;253,68;253,68;613,70;515,75;374,36;253,68;253,68;289,17;987,87;327,12;867,51;867,51;5565,06;867,51;927,69;289,17;2754,41;5769,36;3937,79;15800,38;25614,39;9684,60;6823,53;6711,77;578,34;1590,78;289,17;809,84;323,73;586,34;694,36;907,51;891,51;578,34;586,34;578,34;327,12;297,17;289,17;867,51;2086,38;305,17;305,17;289,17;875,51;971,51;1067,91;907,51;337,33;875,51;642,34;345,17;289,17;327,12;289,17;336,12;2634,30;305,17;429,42;289,17;313,37;432,39;617,64;297,17;321,17;297,17;360,68;289,17;632,29;2267,55;289,17;627,27;52,22;327,12;363,66;289,17;5854,47;287,75;367,12;287,76;1973,18;672,96;4056,21;305,95;337,17;566,43;289,17;22691,48;2412,16;596,38;677,03;1206,76;466,50;2428,70;576,93;917,51;3465,69;314,34;1337,70;175105,18
