 Morbidade Hospitalar do SUS - por local de residência - Amazonas
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"130063 Beruri";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;1;1;1;1;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;1;1;1;1;1;-;1;1;1;1;-;-;-;1;1;2;-;-;1;-;-;-;-;-;2;-;-;-;-;2;-;1;-;-;-;-;2;-;1;1;-;-;1;2;-;1;-;-;1;1;1;-;1;2;2;4;1;-;1;2;2;-;1;2;1;2;2;1;-;-;2;1;-;69
"130068 Boa Vista do Ramos";-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;1;1;-;-;-;-;-;1;-;-;-;1;4;-;1;1;-;-;-;1;-;4;-;-;3;-;1;1;1;1;2;-;2;3;-;1;2;3;-;3;3;2;3;4;2;2;67
"130070 Boca do Acre";-;-;2;2;3;4;1;1;-;1;1;1;5;2;-;-;1;4;-;-;3;1;2;1;-;1;-;3;1;-;2;-;1;1;3;1;2;1;4;-;5;4;4;2;3;3;4;2;2;3;4;2;3;2;1;2;3;1;3;3;4;1;2;4;2;3;1;4;3;1;1;4;2;2;2;1;-;4;1;6;-;2;2;4;2;4;2;-;7;1;6;5;5;1;1;2;2;-;1;2;2;-;1;7;3;2;9;2;4;3;3;2;3;2;3;5;2;1;2;3;2;3;4;3;1;1;2;3;4;2;1;2;2;2;1;2;8;6;6;1;2;2;3;3;5;3;3;4;7;6;4;11;10;6;3;6;2;13;3;1;-;420
"130080 Borba";-;-;-;1;1;3;-;-;2;4;3;1;-;1;-;-;1;-;2;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;2;-;5;1;-;-;1;1;1;-;-;-;-;-;1;-;1;3;1;1;-;1;1;-;-;-;3;-;-;2;2;1;1;-;2;2;-;-;2;-;2;-;1;1;-;1;-;-;1;-;1;-;-;3;1;3;3;1;5;1;2;-;1;-;2;4;-;3;1;1;-;2;1;-;1;2;-;3;1;3;1;-;4;3;-;1;-;-;2;2;4;3;2;4;3;7;2;2;4;1;3;1;2;2;-;4;3;-;-;1;-;2;1;4;11;2;6;1;4;2;1;4;10;2;218
"130083 Caapiranga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;1;1;-;1;2;-;-;-;2;-;2;-;27
"130090 Canutama";-;-;-;-;1;-;2;-;-;-;-;-;1;-;-;-;-;-;-;-;-;2;-;1;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;17;-;-;-;-;-;-;-;1;-;2;-;2;-;1;1;-;2;2;-;1;-;1;-;-;1;1;-;-;-;1;-;-;-;2;1;1;-;1;2;-;-;1;-;1;-;-;-;-;-;1;1;1;-;-;1;1;-;1;1;-;1;1;-;1;1;1;3;-;-;-;-;73
"130100 Carauari";-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;1;1;-;-;-;-;1;1;-;1;1;-;-;1;-;-;1;1;2;1;1;-;-;-;3;-;-;-;1;-;1;3;1;3;-;1;-;-;1;-;-;3;1;-;1;-;-;1;1;2;1;-;1;2;1;1;2;-;1;1;-;3;7;4;2;3;4;4;3;1;5;-;4;3;7;2;2;5;-;116
"130110 Careiro";-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;-;-;1;-;1;1;-;-;-;1;-;-;1;-;-;-;-;1;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;2;1;1;-;-;6;1;2;10;8;13;8;2;8;4;7;6;8;5;5;8;16;14;11;14;5;11;11;5;6;4;13;8;6;10;4;11;5;10;6;11;7;10;11;10;12;5;6;13;4;8;6;3;5;4;3;10;11;7;4;5;5;3;8;6;4;3;8;3;9;4;2;5;4;7;3;5;5;5;3;4;7;2;3;5;6;5;3;-;32;5;612
"130115 Careiro da Várzea";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;-;-;2;-;-;-;-;-;1;-;1;-;-;-;1;-;-;-;-;-;-;1;-;-;-;-;-;3;1;2;1;1;-;-;1;4;-;-;-;4;1;-;2;-;1;1;-;1;1;-;4;1;1;-;2;-;1;-;2;-;-;-;1;1;2;-;1;1;1;-;3;2;1;2;1;1;2;3;2;3;2;-;2;5;-;2;3;1;-;1;4;3;3;1;-;-;1;5;-;106
"130120 Coari";-;-;3;-;3;1;2;-;-;-;-;1;1;-;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;1;-;2;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;3;11;5;3;7;5;6;2;7;4;7;3;5;9;5;8;4;8;6;6;6;11;9;9;8;7;2;13;5;5;5;6;7;9;2;6;10;7;3;6;12;13;11;7;3;8;3;4;4;5;5;2;8;12;7;7;6;7;6;4;9;6;8;9;8;5;4;10;12;12;5;15;14;16;8;5;9;16;12;12;23;11;7;5;8;10;8;29;60;14;6;9;13;17;12;18;43;6;900
"130130 Codajás";-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;1;-;-;-;-;-;-;2;3;1;1;1;-;2;2;-;-;-;-;-;2;-;1;1;-;-;1;1;-;1;-;-;1;-;4;2;-;1;-;1;-;-;1;1;-;-;-;4;2;-;2;-;-;1;3;1;-;3;2;1;3;2;2;-;1;-;2;2;2;5;1;1;4;-;1;4;3;2;-;91
"130140 Eirunepé";-;-;-;-;1;1;3;-;1;-;1;1;-;-;-;3;2;-;2;1;1;1;2;-;2;-;2;3;3;1;2;-;1;1;1;1;1;2;2;4;2;3;3;1;4;-;1;3;1;1;2;-;-;1;-;-;-;-;-;-;-;-;1;1;1;1;-;2;1;1;2;-;1;-;1;-;-;3;-;1;2;-;-;1;-;-;-;-;-;3;4;2;-;1;3;-;1;3;3;-;2;-;1;-;-;2;1;2;-;-;-;-;3;-;1;1;2;-;2;-;2;1;-;4;2;1;3;2;3;-;-;-;1;2;2;-;-;4;2;4;3;1;2;6;4;2;2;3;2;1;-;2;-;2;1;-;1;-;2;1;-;192
"130150 Envira";-;-;1;-;2;-;-;-;1;1;-;1;-;-;-;-;-;1;-;-;-;-;-;-;2;-;-;2;-;-;-;-;1;1;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;1;1;-;-;1;-;-;-;-;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;2;-;-;1;-;1;2;-;-;-;-;-;2;1;-;2;1;-;2;1;1;2;1;1;2;-;-;-;-;-;1;-;1;1;1;-;3;2;1;1;-;-;-;1;-;3;-;1;-;1;4;-;-;1;2;-;-;1;-;1;-;-;-;1;1;1;-;3;1;-;1;2;-;1;84
"130160 Fonte Boa";-;-;-;-;-;-;1;1;-;-;-;-;-;3;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;1;-;-;-;-;1;-;1;-;-;1;2;-;2;1;1;1;-;1;-;-;-;-;1;1;-;2;2;1;2;2;3;2;4;2;4;1;3;4;1;2;2;-;1;2;-;1;1;-;-;2;-;-;-;2;-;3;3;3;2;5;3;4;2;4;5;1;1;9;7;3;-;4;1;2;2;2;-;138
"130165 Guajará";-;-;-;-;1;-;-;-;1;1;-;-;-;1;1;-;-;-;-;1;-;-;1;1;-;1;-;1;1;-;-;1;1;1;-;-;-;-;2;2;-;-;1;1;-;-;2;1;1;-;-;-;-;1;3;-;2;1;-;1;2;-;1;1;-;-;-;-;-;1;1;-;1;4;-;2;2;-;-;-;-;-;1;2;1;1;-;2;1;-;2;1;1;2;-;-;-;-;1;-;-;3;-;-;-;-;-;1;1;2;-;1;-;-;-;1;-;1;2;1;1;-;-;-;1;-;-;1;-;-;-;2;1;-;1;1;2;3;-;-;-;1;1;2;2;2;-;1;2;1;1;1;2;9;3;1;2;1;-;-;-;120
"130170 Humaitá";-;1;-;2;-;4;1;3;1;2;-;-;-;-;-;-;-;1;3;3;1;3;1;3;2;2;1;-;1;-;-;1;-;2;-;2;-;1;-;3;1;-;2;2;1;3;1;1;1;-;2;-;1;3;3;1;4;1;2;2;2;1;-;3;3;3;2;1;1;3;2;3;2;5;5;6;3;2;5;4;4;4;3;12;5;4;2;4;1;3;3;6;5;-;6;4;3;3;-;3;2;3;3;2;4;7;5;3;4;8;5;3;4;6;8;6;4;5;7;3;7;-;5;2;1;6;3;3;2;3;4;6;4;4;5;6;-;5;3;5;5;2;3;8;5;6;3;6;6;1;3;2;22;25;7;5;4;6;6;7;7;511
"130180 Ipixuna";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;-;1;-;-;1;-;1;2;-;1;1;-;-;1;3;-;-;-;2;-;-;-;-;1;-;1;-;-;-;-;-;1;-;1;-;-;1;-;-;-;-;-;1;-;-;-;2;1;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;1;-;2;-;-;-;1;1;1;1;-;1;3;-;1;3;-;1;1;1;-;2;1;1;-;-;1;-;1;-;1;1;-;-;-;2;-;2;-;-;-;-;1;-;1;1;-;-;-;-;2;-;2;4;2;1;1;1;1;-;75
"130185 Iranduba";-;-;-;1;1;1;-;-;-;3;1;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;1;-;2;-;1;1;-;2;-;-;-;-;-;1;1;1;1;3;-;-;-;1;3;2;-;1;2;2;-;4;4;4;2;3;4;2;3;2;2;6;7;4;6;5;5;2;6;3;3;5;6;9;2;8;8;7;5;3;7;6;9;10;4;6;1;4;2;5;6;10;5;8;6;5;10;4;7;6;10;10;5;8;3;8;7;7;5;2;5;7;1;3;12;17;11;3;8;9;6;7;6;7;4;468
"130190 Itacoatiara";-;-;1;2;10;4;7;8;6;7;6;9;2;5;4;3;1;5;4;4;10;4;5;2;2;3;2;3;1;3;4;6;5;5;2;7;2;6;6;5;3;8;4;4;4;4;1;7;3;2;-;4;5;8;2;9;1;3;4;3;3;1;3;8;7;7;6;9;6;6;1;-;6;4;5;3;1;5;7;3;5;11;6;6;5;6;1;4;4;7;6;10;1;7;9;8;4;4;8;10;5;6;5;7;3;5;10;7;10;8;4;9;11;10;14;9;15;13;9;13;14;9;6;7;8;13;12;6;12;13;11;15;7;7;9;8;16;13;13;6;11;8;6;11;12;5;8;6;7;8;12;36;12;12;16;22;15;14;16;67;1;1146
"130195 Itamarati";-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;1;-;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;19
"130200 Itapiranga";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;1;2;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;2;-;1;1;-;-;2;-;-;-;1;1;-;-;-;-;1;-;3;-;1;1;1;-;2;1;-;1;1;1;2;-;-;1;-;-;1;1;2;1;1;1;-;3;3;3;1;3;8;2;65
"130210 Japurá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;1;-;1;1;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;1;1;-;-;21
"130220 Juruá";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;2;-;-;-;1;-;-;-;2;1;-;1;1;-;1;-;1;-;-;-;-;-;-;1;2;-;2;1;-;3;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;1;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;2;-;-;-;2;-;-;1;1;-;-;-;-;38
