"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"211060 São Bernardo";-;-;-;3;-;1;-;1;-;-;-;2;7
"211070 São Domingos do Maranhão";-;1;-;-;-;7;1;1;1;1;2;-;14
"211085 São Francisco do Brejão";-;1;1;-;-;-;-;-;-;-;3;-;5
"211090 São Francisco do Maranhão";-;-;1;2;1;-;1;-;-;-;-;-;5
"211102 São João do Carú";-;-;-;-;-;-;-;-;-;-;1;-;1
"211105 São João do Paraíso";3;2;2;-;1;1;-;-;1;-;-;-;10
"211107 São João do Soter";4;3;2;1;-;5;-;-;-;-;-;-;15
"211110 São João dos Patos";-;9;8;19;19;6;4;-;-;-;-;-;65
"211120 São José de Ribamar";-;1;2;3;3;13;18;7;6;5;1;1;60
"211125 São José dos Basílios";-;-;-;4;-;-;-;-;-;-;1;-;5
"211130 São Luís";21;23;57;214;222;159;94;103;72;46;25;29;1065
"211140 São Luís Gonzaga do Maranhão";-;-;-;1;-;1;-;-;-;-;-;-;2
"211153 São Pedro da Água Branca";-;-;1;5;1;2;-;-;-;-;-;-;9
"211157 São Pedro dos Crentes";15;24;3;-;-;-;-;-;-;-;-;-;42
"211160 São Raimundo das Mangabeiras";-;-;-;1;-;-;-;-;-;-;-;-;1
"211163 São Raimundo do Doca Bezerra";-;2;-;-;-;-;-;-;-;-;-;-;2
"211174 Senador Alexandre Costa";-;-;1;3;-;-;-;-;-;-;-;-;4
"211176 Senador La Rocque";2;1;-;1;-;-;-;-;-;-;-;-;4
"211180 Sítio Novo";1;2;3;6;1;-;-;-;-;-;3;-;16
"211190 Sucupira do Norte";-;-;-;-;-;-;-;-;-;-;-;1;1
"211195 Sucupira do Riachão";-;4;6;5;-;2;2;1;1;-;-;-;21
"211200 Tasso Fragoso";-;1;-;-;-;-;-;-;-;-;-;-;1
"211210 Timbiras";-;5;7;1;-;-;-;-;1;-;-;-;14
"211220 Timon";5;3;3;1;2;2;4;1;2;-;4;-;27
"211223 Trizidela do Vale";-;-;3;11;4;-;-;-;-;1;-;-;19
"211230 Tuntum";-;-;1;4;7;1;-;-;-;-;1;1;15
"211240 Turiaçu";-;-;-;-;-;-;-;-;-;-;2;-;2
"211245 Turilândia";-;-;-;1;-;1;-;-;-;-;-;-;2
"211250 Tutóia";-;-;-;-;-;-;-;1;-;-;-;-;1
"211260 Urbano Santos";1;4;20;2;1;-;-;-;-;-;-;-;28
"211270 Vargem Grande";4;2;1;2;2;-;-;-;1;-;-;-;12
"211280 Viana";-;-;-;3;-;-;-;-;1;-;-;-;4
"211285 Vila Nova dos Martírios";5;4;9;10;6;-;2;-;-;3;3;-;42
"211290 Vitória do Mearim";-;-;-;-;-;1;-;1;-;-;-;-;2
"211300 Vitorino Freire";1;1;1;1;-;-;-;-;-;-;-;-;4
"211400 Zé Doca";1;-;5;8;4;-;-;3;1;-;-;1;23
"Total";278;531;532;667;501;321;176;179;147;84;77;59;3552
