 Morbidade Hospitalar do SUS - por local de residência - Amapá
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"160053 Porto Grande";-;-;-;-;-;-;-;-;-;-;-;1;-;2;-;2;-;2;-;1;-;2;1;1;1;-;1;1;1;1;1;1;2;2;2;-;1;2;-;3;-;-;-;1;1;1;-;1;1;-;4;1;2;-;2;1;-;1;-;3;-;3;-;-;1;-;1;1;-;2;1;-;2;-;-;-;-;1;1;2;-;1;2;1;3;1;1;2;-;-;-;1;3;2;1;1;-;-;2;-;1;1;-;-;3;3;-;1;2;2;2;1;-;1;-;1;-;-;-;-;2;3;-;-;1;-;-;1;2;1;-;1;-;2;2;-;-;-;-;-;2;1;1;2;-;1;1;-;1;2;-;2;-;3;4;-;5;5;2;2;-;3;2;-;-;158
"160055 Pracuúba";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;1;1;-;1;-;-;-;1;1;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;23
"160060 Santana";-;-;1;3;3;5;7;7;10;5;13;9;4;9;8;6;14;14;11;8;11;13;9;10;11;10;12;8;17;11;10;9;7;14;15;12;13;10;6;9;11;14;16;16;6;9;14;9;9;6;8;9;11;20;16;11;13;17;14;20;7;9;21;17;14;11;10;15;12;12;19;10;15;11;5;5;15;13;14;15;15;12;13;11;12;9;8;17;12;7;14;13;9;13;12;22;10;17;15;14;18;15;15;13;11;9;19;11;10;9;8;15;10;14;7;15;8;6;10;26;14;11;14;15;11;9;8;12;10;16;14;16;13;12;19;13;16;18;17;17;16;20;25;21;19;18;19;16;18;16;12;7;16;18;15;58;26;17;8;9;13;18;10;2;-;2049
"160005 Serra do Navio";-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;1;-;2;-;1;-;-;-;1;-;-;-;-;-;-;-;-;1;-;1;-;-;1;-;-;-;1;-;-;-;-;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;-;1;-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;1;1;-;-;1;-;1;-;-;27
"160070 Tartarugalzinho";-;-;-;-;-;-;1;-;1;-;-;1;-;1;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;3;1;-;-;1;-;-;2;1;-;-;1;2;-;1;-;-;1;1;-;1;-;-;-;1;1;1;-;-;1;-;-;1;2;-;1;1;-;1;1;-;-;1;-;-;-;-;3;1;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;1;-;1;-;2;-;-;-;1;-;-;-;1;1;2;1;1;1;1;-;2;-;-;-;-;-;-;2;1;-;-;1;-;-;1;-;-;-;1;-;-;-;-;-;-;2;1;-;-;1;-;-;-;-;-;-;-;1;-;1;-;2;2;-;-;-;2;-;-;77
"160080 Vitória do Jari";-;-;-;-;-;-;1;1;-;1;-;-;1;-;-;1;1;-;1;-;-;1;-;1;1;1;1;-;-;-;-;-;1;-;-;1;-;1;1;1;-;-;1;-;1;2;1;2;-;1;-;-;1;1;1;-;-;2;-;1;-;1;-;3;1;-;-;1;3;-;2;4;-;2;-;1;-;-;-;-;3;1;-;1;1;2;-;2;-;2;-;-;1;-;1;1;-;-;-;1;-;-;1;-;1;-;2;1;1;1;-;-;-;-;2;2;1;-;3;1;1;-;3;3;2;1;2;-;2;1;3;1;1;2;3;1;-;3;1;-;-;3;2;3;2;3;-;1;-;-;1;-;2;-;-;9;3;4;-;-;-;-;6;-;2;152
"Total";1;1;7;12;21;26;52;63;67;45;58;62;43;54;55;67;64;73;65;70;57;75;81;63;80;68;72;61;79;67;70;77;68;83;73;67;73;79;56;73;70;63;75;76;64;54;99;70;70;62;68;64;92;80;81;69;66;97;86;99;77;68;95;83;79;64;74;91;68;74;94;101;93;87;70;79;79;86;78;77;81;81;103;74;88;63;65;79;68;64;76;49;82;99;80;101;78;79;75;85;91;71;79;58;78;58;71;94;78;84;74;70;78;73;57;80;64;82;91;96;73;81;71;73;59;54;48;74;68;94;92;100;70;85;94;86;99;91;84;88;86;99;115;99;92;83;75;80;108;98;66;76;78;80;131;282;162;128;88;84;104;108;157;57;16;12683
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
