 Morbidade Hospitalar do SUS - por local de residência - Amapá
Internações por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Mai";"2007/Jun";"2007/Jul";"2007/Ago";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"160053 Porto Grande";-;-;-;13;29;11;19;16;55;50;53;70;66;61;75;112;83;78;75;57;68;51;156;64;43;63;47;47;80;65;53;72;49;51;56;164;63;53;81;49;58;68;73;85;88;85;75;90;99;82;79;79;69;89;64;59;75;70;93;78;75;76;59;75;62;69;61;44;58;56;105;81;63;65;78;99;78;78;86;75;78;86;95;91;113;78;90;87;80;85;87;79;83;96;111;103;76;86;92;98;60;49;50;21;48;54;49;63;48;49;50;49;45;51;44;28;46;54;63;50;42;52;50;49;60;65;47;54;47;49;47;48;50;49;37;54;47;69;44;68;58;78;64;62;62;59;45;57;60;66;60;51;54;54;32;43;35;53;54;52;44;57;37;35;9;4;10377
"160055 Pracuúba";-;-;-;-;-;-;-;1;6;4;2;6;3;4;3;8;4;5;1;4;-;2;5;4;8;7;7;5;4;5;3;2;2;4;3;2;4;5;-;7;2;3;3;3;4;-;2;-;3;1;2;3;4;3;5;-;1;2;11;5;1;1;6;3;9;7;3;3;6;7;3;4;3;4;9;7;6;7;5;3;5;6;5;6;4;2;4;6;2;8;8;5;7;6;9;6;6;4;6;5;6;8;6;10;5;6;3;9;4;-;10;5;5;6;3;8;4;6;9;9;10;6;8;13;7;9;6;10;6;7;7;10;9;9;8;5;10;9;9;7;7;12;11;6;11;6;10;6;5;3;8;5;7;2;6;5;4;6;8;5;6;9;11;12;5;3;860
"160060 Santana";-;-;4;6;32;46;101;436;430;437;406;371;467;467;517;555;543;538;507;486;495;407;470;480;473;509;499;632;491;494;412;423;427;401;432;515;475;419;457;481;475;423;404;380;431;442;538;529;467;452;439;488;478;482;467;469;471;452;472;492;499;429;495;522;472;507;491;395;404;422;461;516;441;455;467;485;498;593;472;513;491;414;510;479;520;493;486;469;496;474;378;330;394;369;428;453;495;497;499;494;485;487;402;405;351;360;467;439;450;534;415;470;466;407;427;441;441;320;422;435;512;454;446;468;426;391;352;356;426;330;365;414;434;490;524;529;463;511;448;455;541;435;493;480;458;480;462;449;459;452;496;406;430;506;495;340;411;359;330;351;278;321;360;245;114;43;71310
"160005 Serra do Navio";-;-;-;-;1;2;3;8;23;9;12;10;19;6;18;14;13;11;9;19;6;11;14;58;11;10;5;9;17;11;8;6;7;8;2;9;4;9;5;36;7;10;5;9;7;5;11;6;1;7;6;5;8;11;7;8;9;6;11;5;8;9;6;7;6;12;7;9;12;6;6;10;5;8;13;10;11;13;7;7;11;6;7;8;9;5;11;7;7;5;5;3;6;8;7;12;4;5;7;6;3;10;6;5;13;10;6;4;4;14;8;5;5;4;8;8;7;3;2;8;5;4;8;3;6;8;6;10;9;7;7;15;16;12;17;16;19;14;13;18;6;10;9;7;12;12;15;14;7;8;11;4;8;8;6;5;6;10;8;10;4;11;8;6;4;1;1434
"160070 Tartarugalzinho";-;-;-;-;2;1;5;10;24;12;5;21;15;16;10;10;21;16;10;57;10;15;16;13;20;17;22;17;20;14;24;16;14;17;18;14;13;19;20;10;7;11;12;6;8;15;13;10;16;11;14;12;12;11;17;9;17;12;20;20;12;20;22;14;21;23;22;15;17;24;21;19;20;11;24;22;26;16;22;15;28;29;13;19;9;18;16;22;12;15;18;15;23;22;20;17;18;29;28;22;24;27;22;13;23;15;17;24;28;25;14;25;29;28;29;20;24;19;15;12;18;21;14;26;20;22;23;14;19;22;15;27;19;18;25;24;44;22;31;21;29;33;38;24;43;43;25;33;34;29;13;10;26;18;25;21;25;27;33;30;28;30;27;27;16;10;3171
"160080 Vitória do Jari";-;-;-;-;2;1;8;46;58;54;61;64;66;87;31;38;53;41;46;57;43;25;44;27;44;30;32;23;16;21;28;23;34;30;37;32;32;26;35;44;36;44;23;25;34;34;37;33;32;17;25;32;24;29;27;28;27;31;31;31;39;34;38;40;33;35;28;29;40;39;37;48;35;31;38;40;48;45;42;37;38;47;31;36;40;48;33;35;45;33;29;42;35;38;32;34;43;35;42;44;37;36;38;34;24;33;31;32;33;37;35;36;35;31;27;30;32;31;40;40;54;58;58;59;55;66;56;39;56;37;35;52;53;53;51;55;71;47;47;43;43;57;56;52;62;44;40;53;54;59;47;40;37;45;33;27;49;45;27;39;49;53;47;61;58;50;6399
"Total";1;3;23;74;266;250;517;1623;2730;2554;2463;2712;2798;2723;2638;2866;2880;2986;2861;2959;3018;2595;3177;3130;3327;3029;3017;3252;3118;2947;2780;2821;2987;2633;3081;3033;2953;3078;3112;3352;3068;2822;2628;2558;2861;2685;3131;3263;3130;2816;2918;2992;3052;3091;3024;2832;2952;2835;3199;3065;3166;2905;3209;3247;3032;3211;3055;2792;3021;2838;3142;3290;3053;2874;3006;3113;3131;3378;3057;2948;3078;2860;3030;3121;3019;2538;2871;2967;3075;3045;2595;2430;2487;2372;2908;2821;2911;2946;2898;2976;2931;2919;2683;2448;2479;2296;2719;2586;2676;2865;2598;2680;2575;2497;2482;2402;2709;2335;3039;2799;2961;2818;2756;2964;2851;2721;2579;2400;2652;2476;2713;2988;3041;2921;3019;3374;3344;3410;3168;3200;3348;3291;3420;3410;3173;3188;3258;3036;3396;3401;3185;2947;3227;3045;2861;2222;2444;2525;2627;2874;2700;3010;2742;2754;1666;898;459427
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Situação da base de dados nacional em 29/04/2016.
 Dados de janeiro de 2015 até março de 2016 sujeitos a retificação.
 
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
