 Morbidade Hospitalar do SUS - por local de residência - Mato Grosso
Valor total por Município e Ano/mês atendimento
Lista Morb  CID-10: Dengue [dengue clásssico]
Período:Jan/2008-Fev/2021
"Município";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"510120 Araguainha";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;583,52
"510125 Araputanga";-;-;-;-;-;261,60;-;-;-;-;-;-;-;-;-;-;-;575,52;287,76;287,76;-;-;-;-;575,52;287,76;3740,88;5515,44;2326,08;1175,04;-;319,76;-;-;-;-;-;-;-;287,76;-;-;-;-;287,76;-;-;-;-;-;-;-;287,76;-;1774,56;2973,56;287,76;-;-;-;-;-;-;613,47;575,52;-;303,76;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;708,96;-;-;-;-;-;-;-;-;-;-;-;-;24317,27
"510130 Arenápolis";-;-;-;-;-;539,20;1340,00;261,60;-;261,60;-;-;-;-;-;-;287,76;887,28;3876,88;4900,16;1486,80;287,76;-;-;863,28;287,76;575,52;303,76;591,52;887,28;575,52;919,28;591,52;-;-;575,52;-;1167,04;1454,80;575,52;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;-;1167,04;6335,21;6818,48;2342,08;303,76;1151,04;287,76;1438,80;2022,32;2014,32;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;311,76;-;-;-;-;-;-;-;-;287,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49416,49
"510140 Aripuanã";-;285,60;1046,40;3155,20;2648,00;523,20;1308,00;261,60;261,60;523,20;-;-;-;863,28;575,52;347,94;287,76;287,76;287,76;-;327,76;887,28;5571,44;4923,92;12629,68;15299,91;13205,20;9584,28;4109,42;2302,08;-;-;1151,04;863,28;863,28;863,28;-;287,76;575,52;311,76;1766,56;879,28;575,52;575,52;-;575,52;-;2014,32;863,28;6146,96;10567,36;9056,56;9640,08;3181,36;2605,84;2917,60;5227,68;1726,56;575,52;287,76;1783,34;871,28;1183,04;2597,84;1734,56;2605,84;1438,80;287,76;895,28;287,76;575,52;575,52;-;1438,80;-;863,28;647,52;1438,80;2539,08;1316,04;1151,04;717,52;685,52;-;1049,18;287,76;630,52;575,52;863,28;287,76;1868,56;6574,72;5740,58;1596,80;287,76;628,66;287,76;1316,04;2412,08;3003,60;4985,40;2394,22;-;311,76;287,76;918,28;287,76;1277,04;287,76;863,28;2987,60;591,52;973,28;918,28;863,28;-;863,28;-;973,28;1298,99;863,28;685,52;575,52;575,52;287,76;575,52;575,52;1495,21;1243,99;287,76;-;-;497,06;646,52;1206,04;928,28;342,76;1151,04;575,52;879,28;1781,56;1531,75;630,52;303,76;-;287,76;607,52;3372,60;2644,84;4078,88;1781,56;1493,80;1726,56;-;-;-;575,52;-;-;-;-;253939,21
"510160 Barão de Melgaço";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;419,64;-;566,48;-;461,30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1735,18
"510170 Barra do Bugres";-;-;261,60;261,60;1046,40;261,60;261,60;-;-;-;-;-;-;261,60;420,87;-;607,52;3846,08;2092,27;4332,13;2870,04;1151,04;-;663,52;911,48;631,52;3357,36;4756,16;3053,60;591,52;911,28;-;-;-;-;-;287,76;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;615,52;287,76;903,28;1742,56;1889,22;1167,04;287,76;575,52;-;311,76;1514,70;963,54;903,28;1470,80;319,76;863,28;-;-;-;-;-;-;-;-;-;-;-;287,76;903,48;-;-;-;-;-;-;303,76;-;-;-;-;699,82;-;-;-;-;-;-;287,76;-;287,76;-;-;287,76;-;-;-;-;-;-;-;63,27;-;-;-;-;303,76;319,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;287,76;-;-;-;319,76;-;303,76;-;-;575,52;311,76;1223,04;919,28;1032,38;575,52;311,76;-;-;-;-;-;-;-;-;-;-;56835,28
"510180 Barra do Garças";-;-;-;261,60;261,60;-;-;-;-;-;-;-;-;-;-;-;-;288,76;287,76;599,72;-;303,76;-;-;-;1151,04;2649,03;6217,94;6559,36;1212,99;287,76;-;-;-;-;-;-;-;607,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;327,76;-;-;-;303,76;-;-;1011,18;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;287,76;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;591,52;287,76;287,76;-;-;308,46;287,76;-;-;1151,04;-;-;287,76;-;-;669,47;-;2456,61;-;-;-;-;387,01;-;-;-;-;-;303,76;-;-;-;-;-;-;31093,01
"510185 Bom Jesus do Araguaia";-;-;-;-;-;261,60;-;261,60;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;575,52;-;287,76;303,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;327,76;-;-;332,90;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2926,42
"510190 Brasnorte";-;-;-;-;-;-;-;261,60;261,60;-;-;-;261,60;287,76;1726,56;287,76;863,28;287,76;-;287,76;287,76;287,76;-;-;287,76;-;-;-;-;287,76;-;-;287,76;-;-;-;-;287,76;-;1151,04;-;575,52;287,76;615,52;-;287,76;-;-;-;-;287,76;575,52;287,76;287,76;303,76;-;-;575,52;1742,56;575,52;863,28;879,28;-;1726,56;863,28;-;311,76;-;575,52;287,76;-;-;303,76;287,76;575,52;303,76;-;287,76;-;287,76;-;287,76;287,76;-;-;-;-;287,76;-;-;-;1758,56;1151,04;303,76;4124,66;287,76;895,28;575,52;1454,80;887,28;287,76;-;-;575,52;575,52;575,52;-;303,76;-;-;-;-;-;-;287,76;287,76;-;-;-;863,28;287,76;-;295,76;327,76;132,66;1462,80;1243,26;619,74;903,28;-;396,90;-;583,52;-;295,76;623,72;-;-;-;-;-;-;287,76;-;287,76;-;-;2436,03;4387,21;4186,59;2737,74;2086,32;746,15;287,76;295,76;311,76;303,76;-;591,91;287,76;583,52;64409,29
"510250 Cáceres";-;-;261,60;1143,40;-;-;-;-;-;-;-;-;-;-;-;-;287,76;1438,80;287,76;1175,04;1106,23;-;-;591,52;6074,07;17831,36;22676,56;11547,70;2384,25;1556,75;933,23;2074,39;-;-;1075,83;576,52;-;307,82;352,27;287,76;287,76;311,76;-;-;-;-;-;-;-;-;-;-;1226,94;2170,05;319,76;941,23;287,76;659,42;319,76;287,76;311,96;863,28;287,76;3569,04;1228,99;439,81;1236,99;-;-;287,76;-;335,76;303,76;311,76;-;295,76;-;987,99;-;-;-;-;-;-;-;-;295,76;-;325,71;-;319,76;-;-;287,76;-;-;-;-;287,76;-;-;-;-;-;-;325,71;-;-;-;-;287,76;117,24;-;-;287,76;-;-;-;-;-;-;-;210,06;327,28;-;-;536,74;-;-;-;47,27;-;-;-;-;-;-;-;-;-;-;327,76;-;-;-;-;-;2377,13;2439,05;637,47;287,76;-;-;311,76;-;-;-;-;287,76;303,76;-;101872,46
"510260 Campinápolis";-;-;-;-;261,60;1855,20;-;-;-;-;-;287,76;-;-;-;-;287,76;575,52;287,76;2645,84;287,76;-;-;-;-;-;-;1486,80;2637,84;1159,04;-;1510,80;-;-;287,76;287,76;287,76;-;2589,84;863,28;-;-;287,76;-;-;-;-;-;-;1167,04;-;895,28;2054,32;2605,84;2014,32;871,28;575,52;303,76;287,76;-;-;-;-;2030,32;1151,04;591,52;-;287,76;287,76;-;-;-;-;-;599,52;-;287,76;287,76;287,76;287,76;-;-;287,76;-;-;-;-;-;-;287,76;607,52;-;287,76;-;-;303,76;-;287,76;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;-;863,28;-;-;-;-;-;-;-;-;-;-;-;-;287,76;287,76;-;287,76;-;-;-;-;287,76;287,76;303,76;303,76;-;575,52;-;44,22;-;-;-;-;863,28;1438,80;575,52;-;-;303,76;-;-;-;-;-;-;-;-;-;44110,46
"510263 Campo Novo do Parecis";784,80;-;792,80;784,80;3686,40;2632,00;2148,80;784,80;277,60;-;-;-;261,60;-;-;287,76;287,76;895,28;1151,04;1758,56;607,52;1727,56;287,76;2030,32;2406,08;-;1281,75;1151,04;287,76;-;1519,00;1151,04;575,52;-;599,52;303,76;871,28;583,52;298,10;575,52;-;591,52;303,76;575,52;-;287,76;-;-;-;-;-;591,52;287,76;311,76;643,74;575,52;319,76;879,28;575,52;287,76;-;575,52;575,52;2015,32;863,28;1454,80;3213,36;-;575,52;303,76;287,76;-;607,52;306,44;575,52;594,20;863,28;287,76;-;-;575,52;-;-;-;-;-;-;-;-;664,30;903,28;2858,89;2370,75;863,28;319,76;-;-;-;295,76;-;-;863,28;575,52;287,76;287,76;-;287,76;-;-;-;-;-;287,76;287,76;1132,57;575,52;-;-;-;287,76;-;-;-;287,76;575,52;287,76;575,52;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;673,96;2538,93;7082,07;5950,70;2176,76;-;-;287,76;-;-;-;-;-;-;-;86571,28
"510267 Campo Verde";-;-;-;261,60;-;-;261,60;-;-;-;-;-;287,76;-;-;-;287,76;575,52;1470,80;1742,56;575,52;-;287,76;-;287,76;1510,80;6378,72;12233,43;5913,44;3299,60;2088,66;575,52;-;-;-;-;-;-;-;1151,04;1438,80;575,52;901,23;-;287,76;-;-;287,76;1175,04;575,52;-;6642,57;2014,32;2988,87;1494,07;3242,54;895,67;303,76;681,89;-;-;-;879,28;1085,71;1742,95;1909,30;2263,58;44,22;-;575,52;-;-;325,71;-;-;-;-;308,43;44,22;-;-;-;319,76;-;-;287,76;319,76;-;-;-;607,52;-;1199,04;663,32;287,76;-;-;-;591,52;607,52;1591,20;1609,97;887,28;295,76;-;-;-;-;-;-;303,76;583,52;-;-;-;-;359,96;-;319,76;647,52;-;357,71;-;-;287,76;-;-;-;-;319,76;-;287,76;-;-;-;-;-;-;-;599,52;-;-;-;287,76;-;-;52,22;-;669,47;973,23;642,90;287,76;-;-;-;-;-;-;-;-;287,76;88410,39
"510268 Campos de Júlio";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;287,76;-;-;-;-;-;-;-;645,47;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;306,17;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;907,50;319,76;1191,04;9738,12;4572,36;1175,04;287,76;-;287,76;-;-;-;-;-;-;-;-;20598,02
"510269 Canabrava do Norte";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;591,52;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1167,04
"510270 Canarana";-;-;-;-;-;-;-;261,60;-;-;-;-;-;-;-;287,76;-;583,52;-;311,76;-;-;319,76;-;-;-;287,76;895,28;-;1183,04;295,76;303,76;-;-;-;-;-;303,76;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;-;-;607,52;-;311,76;-;-;-;-;-;-;-;-;599,52;623,52;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;-;-;-;-;-;303,76;-;-;-;-;-;-;-;-;-;-;311,76;-;-;-;-;-;-;-;-;-;-;-;-;2532,57;-;-;287,76;-;-;-;-;287,76;287,76;287,76;575,52;575,52;575,52;304,54;1446,80;287,76;-;-;287,76;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;-;16407,91
"510279 Carlinda";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;599,52;-;-;863,28;-;-;863,28;2322,14;2917,60;2031,32;591,52;575,52;-;-;-;-;401,20;-;-;-;-;287,76;287,76;863,28;-;-;-;-;-;-;-;-;-;-;-;591,52;863,28;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;295,76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;287,76;-;-;784,10;488,34;-;-;-;-;-;-;-;-;16210,70
