"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150503 Novo Progresso";3;2;3;3;2;-;5;4;5;23;40;8;98
"150506 Novo Repartimento";18;21;17;24;21;8;-;-;-;-;1;1;111
"150510 Óbidos";-;-;-;-;1;-;-;-;-;-;1;-;2
"150530 Oriximiná";-;-;-;1;-;3;2;-;-;2;-;-;8
"150543 Ourilândia do Norte";-;-;2;8;7;7;15;16;6;2;-;1;64
"150548 Pacajá";9;2;7;17;20;5;1;1;2;-;2;-;66
"150549 Palestina do Pará";-;-;-;3;-;-;-;-;-;-;-;-;3
"150550 Paragominas";1;-;3;34;10;-;-;-;-;-;-;-;48
"150553 Parauapebas";236;287;264;205;184;162;68;54;53;50;31;36;1630
"150555 Pau D'Arco";-;-;-;-;-;-;-;-;-;-;1;-;1
"150560 Peixe-Boi";-;-;-;-;2;1;-;-;-;-;-;-;3
"150563 Piçarra";-;-;-;1;2;-;-;-;-;-;-;-;3
"150570 Ponta de Pedras";-;-;-;-;-;-;-;-;-;1;-;-;1
"150600 Prainha";-;-;-;-;-;-;-;1;1;-;-;-;2
"150611 Quatipuru";1;-;1;-;2;-;-;-;-;1;-;1;6
"150613 Redenção";-;3;-;-;6;1;-;-;-;-;1;1;12
"150616 Rio Maria";2;5;-;3;12;-;3;-;-;2;5;1;33
"150618 Rondon do Pará";22;14;1;9;1;-;-;1;2;-;-;3;53
"150619 Rurópolis";1;10;26;14;13;8;1;-;1;-;8;-;82
"150620 Salinópolis";-;2;-;-;1;2;2;3;-;1;-;-;11
"150635 Santa Bárbara do Pará";2;2;2;1;1;1;-;3;1;2;2;-;17
"150650 Santa Izabel do Pará";-;-;2;-;-;-;-;-;-;-;1;-;3
"150655 Santa Luzia do Pará";-;2;12;3;-;-;-;-;-;-;-;1;18
"150658 Santa Maria das Barreiras";1;-;16;28;25;-;-;-;1;1;-;3;75
"150660 Santa Maria do Pará";2;-;1;-;-;-;-;-;-;-;-;-;3
"150670 Santana do Araguaia";2;2;26;23;7;2;-;-;-;-;-;-;62
"150680 Santarém";3;2;4;3;2;2;1;2;2;3;4;1;29
"150690 Santarém Novo";-;-;-;-;-;-;-;1;-;-;-;-;1
"150700 Santo Antônio do Tauá";1;1;-;1;1;-;-;-;-;-;-;-;4
"150710 São Caetano de Odivelas";-;-;5;-;-;-;-;-;-;-;-;-;5
"150715 São Domingos do Araguaia";-;3;-;-;-;-;-;-;-;-;-;7;10
"150720 São Domingos do Capim";-;2;-;-;-;-;-;1;-;1;1;-;5
"150730 São Félix do Xingu";21;10;9;48;30;-;-;-;1;1;13;11;144
"150740 São Francisco do Pará";-;-;-;1;-;-;-;1;-;-;-;-;2
"150745 São Geraldo do Araguaia";1;-;-;1;-;-;-;-;-;-;-;-;2
"150747 São João de Pirabas";-;-;-;-;-;-;-;1;2;1;2;-;6
"150750 São João do Araguaia";10;24;27;20;15;21;1;-;3;2;-;-;123
"150760 São Miguel do Guamá";3;3;1;-;-;-;-;-;-;-;-;-;7
"150780 Senador José Porfírio";-;-;4;-;-;1;2;37;125;64;3;-;236
"150790 Soure";-;-;-;-;5;-;-;-;-;1;-;2;8
"150795 Tailândia";4;1;1;3;-;2;-;1;-;-;-;-;12
"150800 Tomé-Açu";5;3;1;15;9;2;-;-;1;2;-;1;39
"150803 Tracuateua";5;2;2;-;4;-;-;1;-;-;2;3;19
"150808 Tucumã";-;6;2;1;3;2;-;-;-;-;-;-;14
"150810 Tucuruí";3;3;4;1;-;1;1;1;-;-;1;-;15
"150812 Ulianópolis";-;-;-;-;-;-;-;-;1;-;-;-;1
"150815 Uruará";-;-;1;1;-;2;-;-;-;-;1;2;7
"150820 Vigia";-;1;1;1;-;-;-;-;-;-;-;-;3
"150835 Vitória do Xingu";4;28;13;9;3;3;8;7;1;2;7;5;90
"150840 Xinguara";5;2;1;5;3;4;-;-;-;-;-;2;22
"Total";601;797;819;720;678;340;205;237;260;246;281;186;5370
