"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150215 Canaã dos Carajás";2;7;26;13;57;27;12;14;-;8;2;15;183
"150220 Capanema";5;-;5;8;7;5;3;8;5;19;14;11;90
"150230 Capitão Poço";-;-;1;-;-;1;2;1;3;7;5;4;24
"150240 Castanhal";4;12;29;12;10;6;7;11;17;20;15;11;154
"150260 Colares";-;-;1;1;1;1;-;9;5;1;1;-;20
"150270 Conceição do Araguaia";1;1;2;1;4;2;1;-;-;1;2;-;15
"150276 Cumaru do Norte";-;1;1;4;1;1;1;4;1;4;7;2;27
"150277 Curionópolis";-;1;5;4;1;-;-;-;-;-;-;-;11
"150285 Curuá";-;-;-;-;-;-;-;-;1;-;-;-;1
"150290 Curuçá";-;1;6;-;-;-;-;2;1;2;2;-;14
"150293 Dom Eliseu";-;3;6;27;27;3;-;1;-;-;-;-;67
"150304 Floresta do Araguaia";-;-;-;-;-;-;-;-;-;-;2;22;24
"150309 Goianésia do Pará";-;-;2;7;8;6;-;-;1;-;1;1;26
"150310 Gurupá";-;4;3;-;-;-;-;-;-;-;-;-;7
"150320 Igarapé-Açu";1;-;-;-;-;-;-;-;1;-;1;1;4
"150330 Igarapé-Miri";-;-;5;2;-;-;-;-;-;1;-;-;8
"150340 Inhangapi";-;1;-;-;-;1;1;1;10;36;25;-;75
"150345 Ipixuna do Pará";-;1;-;-;-;-;-;1;-;-;-;1;3
"150350 Irituia";1;2;1;7;3;6;2;8;4;-;2;-;36
"150360 Itaituba";2;3;19;5;4;-;6;5;4;3;5;7;63
"150370 Itupiranga";2;-;1;4;8;2;1;11;6;-;2;1;38
"150380 Jacundá";-;-;4;2;2;2;1;-;2;-;-;3;16
"150400 Limoeiro do Ajuru";-;-;-;1;2;-;-;-;-;1;-;1;5
"150405 Mãe do Rio";-;-;3;1;1;-;-;1;1;1;-;-;8
"150410 Magalhães Barata";-;-;2;1;-;1;1;-;-;-;-;1;6
"150420 Marabá";17;48;7;18;6;5;16;12;1;-;-;3;133
"150430 Maracanã";-;-;-;-;-;1;-;-;-;-;1;-;2
"150440 Marapanim";-;-;-;-;1;-;-;-;-;-;-;-;1
"150442 Marituba";5;14;31;18;5;11;12;29;61;15;37;88;326
"150445 Medicilândia";-;-;-;1;-;-;-;-;-;-;1;4;6
"150460 Mocajuba";-;-;-;-;-;-;1;9;-;-;-;3;13
"150470 Moju";2;-;1;-;-;-;-;-;-;1;-;-;4
"150475 Mojuí dos Campos";19;34;56;34;1;5;-;5;3;7;1;1;166
"150480 Monte Alegre";1;1;-;2;24;5;10;55;58;19;25;32;232
"150490 Muaná";-;1;2;1;-;-;-;1;1;-;-;-;6
"150497 Nova Ipixuna";-;1;7;7;8;12;4;10;6;1;-;5;61
"150500 Nova Timboteua";-;-;-;-;-;-;1;-;-;-;11;13;25
"150503 Novo Progresso";1;-;3;23;19;16;8;7;2;5;28;10;122
"150506 Novo Repartimento";-;3;3;1;1;-;-;1;-;-;-;-;9
"150510 Óbidos";-;-;1;3;4;1;-;2;-;-;-;-;11
"150530 Oriximiná";-;1;2;4;13;9;1;4;1;-;3;7;45
"150540 Ourém";1;-;-;-;-;-;-;-;-;1;-;-;2
"150543 Ourilândia do Norte";8;8;35;10;-;-;-;-;-;-;-;2;63
"150548 Pacajá";3;10;11;9;9;1;-;4;20;27;61;11;166
"150550 Paragominas";-;-;-;-;-;-;1;2;-;-;-;-;3
"150553 Parauapebas";28;46;104;71;55;31;18;13;5;6;6;64;447
"150555 Pau D'Arco";-;-;-;1;-;-;1;-;-;-;-;-;2
"150560 Peixe-Boi";-;-;-;2;-;-;-;-;-;-;-;-;2
"150565 Placas";1;-;7;7;3;1;-;-;-;-;-;-;19
"150570 Ponta de Pedras";8;15;26;14;12;3;20;9;9;1;4;4;125
"150580 Portel";2;5;31;11;4;5;8;1;1;-;1;-;69
"150590 Porto de Moz";-;-;6;9;1;2;4;1;-;1;-;-;24
"150600 Prainha";1;-;-;1;-;-;-;1;1;-;23;45;72
"150610 Primavera";-;-;13;25;3;-;-;-;-;-;-;-;41
"150611 Quatipuru";-;-;-;-;-;-;-;-;-;-;1;1;2
"150613 Redenção";2;-;1;-;3;5;-;1;1;1;2;13;29
"150616 Rio Maria";-;3;3;2;3;-;-;-;-;-;5;9;25
"150618 Rondon do Pará";-;4;19;28;15;1;-;-;-;-;-;-;67
"150619 Rurópolis";-;3;4;2;-;-;4;4;6;4;-;-;27
"150620 Salinópolis";-;3;6;5;-;-;4;1;1;-;-;-;20
"150630 Salvaterra";-;-;-;1;2;-;1;2;1;3;1;-;11
"150635 Santa Bárbara do Pará";-;1;2;1;-;-;-;3;12;2;2;-;23
"150650 Santa Izabel do Pará";16;21;23;3;1;3;3;11;15;22;3;4;125
"150655 Santa Luzia do Pará";-;-;2;9;-;-;-;-;-;-;1;1;13
"150658 Santa Maria das Barreiras";2;4;7;19;13;-;-;-;-;-;4;5;54
"150670 Santana do Araguaia";-;-;3;6;2;3;1;-;-;-;-;4;19
"150680 Santarém";6;4;11;10;4;1;7;2;1;-;1;2;49
"150690 Santarém Novo";-;-;-;-;-;-;-;-;-;1;2;9;12
"150700 Santo Antônio do Tauá";-;-;1;-;5;-;-;3;2;-;-;1;12
"150710 São Caetano de Odivelas";-;-;-;-;-;-;-;-;2;10;-;-;12
"150715 São Domingos do Araguaia";-;4;38;21;19;5;2;-;-;-;-;1;90
"150720 São Domingos do Capim";-;1;-;-;3;1;-;1;-;-;-;-;6
"150730 São Félix do Xingu";5;2;42;21;10;6;2;1;1;-;-;-;90
"150740 São Francisco do Pará";-;-;-;-;-;-;1;-;-;-;-;-;1
"150745 São Geraldo do Araguaia";2;9;3;5;2;2;-;2;-;-;2;1;28
"150746 São João da Ponta";3;3;-;1;1;1;3;-;-;-;-;-;12
"150747 São João de Pirabas";-;1;-;-;-;-;-;-;-;2;-;1;4
"150750 São João do Araguaia";1;1;3;1;-;-;6;-;1;-;2;-;15
"150760 São Miguel do Guamá";-;-;-;1;1;-;-;-;-;-;1;-;3
"150770 São Sebastião da Boa Vista";-;-;-;-;1;-;3;2;-;-;-;1;7
"150780 Senador José Porfírio";41;34;47;37;25;16;3;1;-;-;1;-;205
"150790 Soure";-;1;2;4;1;-;11;5;4;2;-;-;30
"150795 Tailândia";4;2;4;3;11;1;-;2;1;-;1;8;37
"150796 Terra Alta";-;4;4;-;-;3;-;1;-;-;-;-;12
"150797 Terra Santa";-;-;-;1;-;-;-;-;-;-;-;-;1
"150800 Tomé-Açu";4;9;22;6;5;9;19;18;3;1;2;2;100
"150803 Tracuateua";-;1;2;-;4;-;7;4;-;-;1;4;23
"150805 Trairão";-;-;-;-;-;-;-;-;-;-;2;1;3
"150808 Tucumã";6;5;20;11;9;1;-;3;-;3;3;2;63
"150810 Tucuruí";1;5;4;3;2;3;1;3;1;6;4;2;35
"150812 Ulianópolis";-;-;-;-;1;-;2;-;-;-;-;-;3
"150815 Uruará";-;7;13;1;8;4;-;-;-;1;-;-;34
"150830 Viseu";-;-;-;1;1;-;-;1;26;1;-;-;30
"150835 Vitória do Xingu";22;8;9;8;3;-;1;-;-;-;-;-;51
"150840 Xinguara";2;-;7;11;25;6;3;3;-;2;5;8;72
"Total";356;649;1246;1036;919;564;449;548;482;415;499;671;7834
