"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210340 Coelho Neto";1;7;6;51;92;-;-;1;-;1;-;-;159
"210350 Colinas";3;1;7;1;1;-;-;-;-;-;-;-;13
"210360 Coroatá";1;4;2;6;2;-;-;-;-;-;-;-;15
"210370 Cururupu";433;2;1;-;-;-;-;1;-;1;1;7;446
"210375 Davinópolis";-;-;4;2;-;-;-;-;-;-;-;-;6
"210380 Dom Pedro";1;-;-;-;-;-;-;-;-;-;-;-;1
"210390 Duque Bacelar";1;-;2;1;1;-;-;-;-;-;-;-;5
"210400 Esperantinópolis";1;1;10;12;3;1;-;-;-;-;-;-;28
"210405 Estreito";-;-;3;3;-;-;-;-;-;-;-;-;6
"210407 Feira Nova do Maranhão";1;1;9;7;-;-;-;-;-;-;-;-;18
"210408 Fernando Falcão";2;15;-;-;-;-;-;-;-;-;-;-;17
"210409 Formosa da Serra Negra";-;6;2;1;5;-;-;-;-;-;-;-;14
"210410 Fortaleza dos Nogueiras";13;14;17;42;11;2;-;5;-;-;-;-;104
"210420 Fortuna";-;4;74;31;6;6;2;-;-;1;1;75;200
"210440 Gonçalves Dias";-;-;-;-;-;-;-;1;-;-;-;-;1
"210450 Governador Archer";-;6;11;23;5;-;-;-;-;-;1;-;46
"210455 Governador Edison Lobão";2;15;8;1;10;1;-;-;-;-;-;-;37
"210465 Governador Newton Bello";-;-;1;-;-;-;-;-;-;-;-;-;1
"210467 Governador Nunes Freire";1;3;11;372;21;-;-;-;-;1;-;1;410
"210480 Grajaú";-;13;9;67;1;-;-;-;-;-;-;-;90
"210500 Humberto de Campos";-;-;20;2;1;1;-;-;1;-;-;-;25
"210515 Igarapé do Meio";1;4;-;-;-;-;-;-;-;-;-;-;5
"210530 Imperatriz";16;104;237;195;62;29;9;6;3;1;3;3;668
"210535 Itaipava do Grajaú";4;87;56;39;3;-;1;-;-;1;-;-;191
"210540 Itapecuru Mirim";-;7;2;-;-;-;-;-;-;-;-;-;9
"210542 Itinga do Maranhão";4;20;26;23;-;-;-;-;-;-;-;-;73
"210547 Jenipapo dos Vieiras";-;-;37;-;-;-;-;-;-;-;-;-;37
"210550 João Lisboa";-;5;134;77;-;1;-;-;-;-;-;-;217
"210565 Junco do Maranhão";-;-;-;1;-;-;-;-;-;-;-;-;1
"210570 Lago da Pedra";1;-;8;1;7;1;-;-;-;-;-;-;18
"210594 Lago dos Rodrigues";-;-;3;11;-;-;-;-;-;-;-;-;14
"210590 Lago Verde";-;13;1;-;-;8;10;-;-;-;-;-;32
"210592 Lagoa do Mato";-;-;1;1;-;-;-;1;-;-;-;-;3
"210596 Lagoa Grande do Maranhão";-;5;83;-;-;8;-;-;-;-;-;-;96
"210598 Lajeado Novo";1;-;3;1;-;-;-;-;-;1;-;-;6
"210600 Lima Campos";-;-;-;-;-;1;-;-;-;-;-;-;1
"210610 Loreto";1;-;-;1;-;-;-;-;1;-;-;-;3
"210630 Magalhães de Almeida";-;-;-;1;-;-;-;-;-;-;-;-;1
"210632 Maracaçumé";-;1;6;39;60;-;-;-;-;-;-;-;106
"210637 Maranhãozinho";-;-;-;21;6;-;-;-;-;-;-;-;27
"210660 Matões";-;2;9;3;6;1;3;-;-;-;-;-;24
"210663 Matões do Norte";-;2;4;13;1;-;-;-;-;-;-;-;20
"210670 Mirador";-;-;1;-;-;-;-;-;-;-;-;-;1
"210675 Miranda do Norte";394;-;-;1;-;-;-;-;-;1;-;16;412
"210690 Monção";-;5;6;6;1;1;-;-;-;-;-;-;19
"210700 Montes Altos";-;2;-;-;-;-;-;-;-;-;-;-;2
"210710 Morros";-;4;2;-;-;-;-;-;-;-;-;-;6
"210720 Nina Rodrigues";3;11;16;13;1;-;-;-;-;-;-;-;44
"210725 Nova Colinas";-;-;-;1;3;1;-;-;-;-;-;-;5
"210730 Nova Iorque";-;-;-;-;2;5;1;-;-;-;-;-;8
"210735 Nova Olinda do Maranhão";-;59;75;22;-;-;-;-;-;-;-;-;156
"210750 Paço do Lumiar";-;-;15;14;4;1;-;-;-;-;-;-;34
"210770 Paraibano";-;1;24;64;17;5;-;2;1;-;-;-;114
"210780 Parnarama";-;7;10;48;3;-;-;1;-;-;-;-;69
"210790 Passagem Franca";-;-;-;-;1;-;-;-;-;-;-;-;1
"210800 Pastos Bons";-;-;-;1;3;-;-;2;-;-;-;-;6
"210805 Paulino Neves";-;1;3;-;1;-;-;-;-;-;-;-;5
"210820 Pedreiras";-;2;-;1;2;7;2;-;1;-;-;-;15
"210840 Peri Mirim";2;1;1;1;1;-;-;-;-;-;-;-;6
"210845 Peritoró";2;-;2;-;5;2;1;-;-;-;-;-;12
"210850 Pindaré-Mirim";3;3;2;3;-;-;-;-;-;-;-;-;11
"210860 Pinheiro";1;2;-;-;-;-;-;-;-;-;-;-;3
"210870 Pio XII";-;-;3;2;1;-;-;-;-;-;-;-;6
"210880 Pirapemas";-;1;6;1;-;-;-;-;-;-;-;-;8
"210890 Poção de Pedras";-;-;1;-;10;2;-;-;-;-;-;-;13
"210900 Porto Franco";7;4;1;5;4;1;-;-;-;-;-;-;22
"210905 Porto Rico do Maranhão";4;11;-;-;-;-;-;-;-;-;-;-;15
"210910 Presidente Dutra";-;34;32;21;6;1;-;-;-;1;-;-;95
"210920 Presidente Juscelino";-;-;5;-;-;-;-;-;-;-;-;-;5
"210927 Presidente Sarney";-;1;-;-;-;-;-;-;-;-;-;-;1
"210930 Presidente Vargas";-;7;-;-;-;-;-;-;-;-;-;-;7
"210940 Primeira Cruz";1;13;141;6;-;-;-;-;-;-;-;-;161
"210950 Riachão";4;22;11;17;13;12;8;7;1;-;-;1;96
"210955 Ribamar Fiquene";-;1;-;-;-;-;-;-;-;-;-;-;1
"210960 Rosário";-;69;101;19;7;15;-;-;-;-;-;1;212
"210975 Santa Filomena do Maranhão";-;-;5;7;-;-;-;-;-;-;-;-;12
"210980 Santa Helena";-;-;-;-;1;-;-;-;-;-;-;-;1
"210990 Santa Inês";4;1;7;-;-;1;-;1;-;-;-;-;14
"211000 Santa Luzia";3;5;2;3;1;-;-;-;-;-;-;-;14
"211010 Santa Quitéria do Maranhão";2;10;2;3;-;-;-;-;-;-;-;-;17
"211020 Santa Rita";-;13;-;-;-;-;-;-;-;-;-;-;13
"211040 São Benedito do Rio Preto";-;-;1;-;-;-;-;-;-;-;-;-;1
"211050 São Bento";-;-;1;1;3;1;-;-;-;-;-;-;6
"211060 São Bernardo";-;-;-;1;-;-;-;-;-;-;-;-;1
"211070 São Domingos do Maranhão";-;-;21;-;-;-;-;-;-;-;-;-;21
"211085 São Francisco do Brejão";1;12;37;3;1;-;-;-;-;-;-;1;55
"211100 São João Batista";-;1;-;-;-;-;-;-;-;-;-;-;1
"211105 São João do Paraíso";2;32;22;3;-;-;-;-;-;-;-;-;59
"211107 São João do Soter";-;3;-;-;-;-;-;-;-;-;-;-;3
"211110 São João dos Patos";-;1;-;-;-;-;-;-;-;-;-;-;1
"211120 São José de Ribamar";31;73;71;53;57;2;4;1;3;-;-;1;296
"211125 São José dos Basílios";1;5;10;11;3;-;2;-;-;-;-;-;32
"211130 São Luís";315;720;1883;1588;662;155;46;68;28;9;43;57;5574
"211150 São Mateus do Maranhão";-;-;16;38;5;-;1;-;-;-;-;-;60
"211153 São Pedro da Água Branca";4;14;20;163;81;2;-;-;-;-;-;1;285
"211157 São Pedro dos Crentes";-;5;2;-;2;-;-;-;-;-;-;-;9
"211160 São Raimundo das Mangabeiras";-;7;6;7;1;10;11;-;-;-;-;-;42
"211163 São Raimundo do Doca Bezerra";-;113;48;21;2;-;-;-;-;-;-;-;184
"211167 São Roberto";-;1;7;-;-;1;-;-;-;-;-;-;9
"211172 Satubinha";-;-;-;6;1;-;-;-;-;-;-;-;7
"211174 Senador Alexandre Costa";2;2;28;-;-;-;-;-;-;-;-;-;32
"211176 Senador La Rocque";-;5;19;3;-;-;-;-;-;-;-;-;27
"211180 Sítio Novo";1;-;-;1;-;-;-;-;-;-;-;-;2
"211200 Tasso Fragoso";35;47;15;3;-;-;-;-;-;-;-;4;104
"211210 Timbiras";-;-;1;-;-;-;-;-;-;-;-;-;1
"211220 Timon";4;-;4;26;35;1;-;1;-;-;1;-;72
"211223 Trizidela do Vale";-;1;16;9;4;-;-;-;-;-;-;-;30
"211230 Tuntum";-;3;25;18;1;-;-;-;-;-;-;-;47
"211240 Turiaçu";1;39;18;11;12;-;-;-;-;-;-;-;81
"211245 Turilândia";-;2;2;7;3;1;2;-;-;-;-;-;17
"211250 Tutóia";-;1;4;5;5;-;1;-;-;-;-;-;16
"211260 Urbano Santos";2;24;80;74;7;-;-;-;-;-;-;-;187
"211270 Vargem Grande";11;66;26;-;-;-;-;-;-;-;-;-;103
"211280 Viana";1;1;1;2;-;1;-;-;-;-;-;-;6
"211285 Vila Nova dos Martírios";-;3;10;40;8;1;-;-;1;4;-;-;67
"211290 Vitória do Mearim";2;1;2;-;-;1;-;-;-;-;-;-;6
"211300 Vitorino Freire";1;-;10;6;15;4;1;-;-;-;-;-;37
"211400 Zé Doca";12;30;191;295;38;9;-;-;-;-;-;-;575
"Total";2579;5030;6694;5864;2095;436;220;197;105;95;167;350;23832
