"Município de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"210720 Nina Rodrigues";-;-;1;1;4;3;1;-;-;-;-;-;10
"210725 Nova Colinas";-;1;-;-;-;-;-;-;-;-;-;-;1
"210730 Nova Iorque";4;-;1;-;-;-;-;-;-;-;-;1;6
"210750 Paço do Lumiar";-;-;-;-;-;-;-;-;2;1;-;-;3
"210770 Paraibano";-;-;1;-;2;-;-;-;-;-;-;-;3
"210810 Paulo Ramos";-;-;-;1;-;-;-;-;-;-;-;-;1
"210820 Pedreiras";-;-;1;2;2;-;1;-;-;-;-;-;6
"210860 Pinheiro";-;1;-;-;1;-;-;1;-;-;-;1;4
"210870 Pio XII";-;-;-;1;-;-;-;-;1;-;-;-;2
"210880 Pirapemas";-;-;-;-;1;1;-;-;-;-;-;-;2
"210900 Porto Franco";1;-;1;-;-;-;1;-;-;-;-;-;3
"210910 Presidente Dutra";-;-;-;-;-;-;-;-;-;-;1;1;2
"210927 Presidente Sarney";-;-;3;58;23;-;-;1;-;-;-;1;86
"210930 Presidente Vargas";-;-;-;-;1;-;-;-;-;-;-;1;2
"210950 Riachão";-;-;1;1;-;1;1;-;-;1;1;2;8
"210960 Rosário";1;1;-;-;-;-;-;-;-;-;-;-;2
"210980 Santa Helena";-;2;-;-;-;-;-;2;-;-;-;-;4
"210990 Santa Inês";-;2;1;1;-;1;1;1;-;3;4;1;15
"211000 Santa Luzia";-;-;-;4;-;-;-;-;-;-;-;-;4
"211020 Santa Rita";5;-;-;-;-;-;-;-;-;-;-;1;6
"211080 São Félix de Balsas";-;-;-;-;-;-;-;1;-;-;-;-;1
"211085 São Francisco do Brejão";-;-;-;2;-;1;-;-;1;-;-;-;4
"211090 São Francisco do Maranhão";-;-;-;-;2;-;1;-;-;-;-;-;3
"211105 São João do Paraíso";-;-;-;2;-;1;-;-;-;-;-;-;3
"211107 São João do Soter";-;1;-;-;1;-;-;-;-;-;-;-;2
"211120 São José de Ribamar";-;1;-;1;3;-;-;-;-;-;-;-;5
"211130 São Luís";66;116;98;118;152;30;33;41;27;27;32;24;764
"211140 São Luís Gonzaga do Maranhão";-;-;-;-;4;5;-;-;-;-;-;-;9
"211157 São Pedro dos Crentes";-;-;1;1;-;-;1;2;3;-;-;-;8
"211160 São Raimundo das Mangabeiras";-;1;1;-;-;-;-;-;-;-;-;-;2
"211167 São Roberto";-;-;-;-;-;-;-;-;-;-;-;1;1
"211174 Senador Alexandre Costa";-;-;-;2;-;-;-;-;-;-;-;-;2
"211176 Senador La Rocque";-;-;-;2;2;-;-;-;-;-;-;-;4
"211180 Sítio Novo";-;-;3;4;-;-;-;-;-;1;-;-;8
"211200 Tasso Fragoso";-;2;-;2;-;-;-;-;-;-;-;-;4
"211220 Timon";-;1;-;-;2;-;-;1;-;-;-;-;4
"211223 Trizidela do Vale";-;-;-;-;5;-;-;-;-;-;-;-;5
"211230 Tuntum";1;-;-;-;-;-;-;-;-;-;-;-;1
"211245 Turilândia";-;-;-;2;7;-;1;-;-;-;-;-;10
"211250 Tutóia";-;1;-;2;-;-;1;1;-;-;-;-;5
"211270 Vargem Grande";-;-;-;-;3;-;-;-;-;-;-;-;3
"211280 Viana";-;-;-;-;-;2;-;-;-;-;-;-;2
"211285 Vila Nova dos Martírios";2;-;-;1;-;-;-;-;-;-;-;-;3
"211300 Vitorino Freire";-;-;1;-;-;-;-;-;-;-;-;-;1
"211400 Zé Doca";-;-;-;1;1;-;-;-;-;-;-;-;2
"Total";208;207;237;458;496;130;72;89;71;76;61;59;2164
