 Morbidade Hospitalar do SUS - por local de residência - Rondônia
Óbitos por Município e Ano/mês atendimento
Período:Jan/2008-Fev/2021
"Município";"2007/Set";"2007/Out";"2007/Nov";"2007/Dez";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"Total"
"110080 Candeias do Jamari";-;-;2;1;-;-;2;1;1;2;-;1;2;-;-;1;1;3;3;-;3;-;-;-;2;2;-;1;-;-;1;-;-;-;3;1;3;-;-;2;1;1;1;1;2;2;1;2;2;4;2;3;2;2;-;-;1;2;4;2;3;2;1;-;5;3;3;5;3;3;3;4;1;1;3;3;2;3;3;5;5;1;4;4;3;2;2;3;2;3;9;4;5;5;3;3;3;5;6;6;8;2;3;4;8;1;4;6;5;8;5;2;3;5;9;5;5;7;5;7;4;-;3;2;7;5;5;4;5;3;5;5;2;4;3;3;5;8;3;4;5;1;7;9;5;3;2;4;3;4;1;4;7;12;6;8;4;4;3;5;4;2;492
"110090 Castanheiras";-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;1;1;2;1;-;-;1;-;-;-;-;-;1;-;-;-;-;1;1;2;1;-;-;-;1;2;-;-;-;-;-;-;1;1;-;1;-;1;1;1;1;2;-;-;-;-;1;-;-;-;-;-;-;-;-;-;1;-;1;2;2;2;-;-;-;-;1;-;2;-;1;-;1;-;-;2;1;2;-;-;-;-;2;-;-;2;2;-;-;-;-;-;-;-;-;-;-;1;3;1;1;1;-;-;2;-;-;1;1;-;-;-;-;1;-;1;-;-;1;-;2;-;1;-;-;-;-;1;-;2;-;1;2;-;-;1;-;-;-;-;-;-;76
"110005 Cerejeiras";-;-;-;-;-;2;1;3;3;1;2;-;1;3;4;3;3;1;2;-;2;-;1;2;2;3;1;1;1;4;3;2;2;3;2;3;4;3;2;3;1;3;5;3;-;1;2;1;2;4;6;1;2;5;3;5;4;2;-;6;4;-;3;5;4;1;5;2;1;2;4;3;2;2;3;2;4;1;3;3;4;5;3;5;4;7;3;6;3;2;2;3;3;3;-;2;2;3;1;5;1;4;2;2;2;-;4;3;5;6;4;3;2;4;3;2;4;2;1;5;5;3;1;3;3;5;-;7;6;4;3;2;3;1;2;3;4;4;4;4;6;2;3;3;2;2;3;-;1;4;2;2;1;3;3;3;1;5;4;6;4;2;437
"110092 Chupinguaia";-;-;-;-;-;-;1;1;-;-;1;1;1;-;-;1;2;1;-;1;-;2;-;1;-;-;-;1;-;1;1;-;-;-;3;-;-;-;2;2;-;1;-;1;2;-;-;-;-;1;1;-;2;1;1;1;-;3;3;1;-;1;1;1;1;-;-;-;-;4;-;2;-;2;3;3;1;2;3;1;-;1;1;1;1;1;-;1;2;-;-;3;1;-;1;2;4;3;2;2;-;3;4;1;1;-;1;2;-;-;-;-;-;2;3;-;-;-;1;1;-;2;-;-;1;-;-;1;2;-;-;1;1;-;1;-;2;-;2;1;3;1;-;-;-;1;-;1;2;2;1;-;1;1;1;4;1;1;1;1;4;-;151
"110006 Colorado do Oeste";-;-;-;1;2;1;-;1;2;4;1;1;1;1;3;1;5;1;5;2;1;1;3;3;2;3;4;2;5;4;4;4;3;4;3;3;3;2;6;5;1;-;2;6;8;2;-;6;1;5;11;3;4;5;2;7;6;3;5;3;4;5;2;4;6;3;5;3;2;4;4;6;4;1;5;4;2;4;2;3;-;1;-;3;7;7;4;5;5;3;2;1;1;5;5;5;4;7;4;5;3;6;2;3;1;3;2;4;8;1;1;4;5;3;4;3;6;5;2;1;5;5;-;3;4;5;4;4;2;3;5;4;5;4;4;5;3;2;2;3;6;6;1;3;3;3;1;-;7;5;4;3;7;1;1;3;3;3;3;4;9;-;539
"110007 Corumbiara";-;-;-;-;-;-;-;-;1;-;-;-;-;-;1;-;-;-;1;1;-;1;2;-;-;2;1;1;-;1;1;-;-;3;2;-;2;-;1;1;-;1;1;1;1;1;1;2;-;2;1;-;1;-;-;-;2;-;-;2;-;3;1;1;-;2;3;-;1;-;1;3;-;1;1;1;-;-;1;2;2;1;2;-;2;1;-;1;2;-;1;4;3;2;2;-;2;2;3;1;2;-;3;-;2;-;2;1;1;2;2;2;1;2;1;3;2;2;2;2;2;1;-;-;-;-;-;1;-;-;-;-;1;1;1;3;2;-;1;-;3;-;-;-;-;-;-;2;1;-;1;1;1;4;1;1;2;2;-;2;4;-;160
"110008 Costa Marques";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;-;1;-;-;2;-;-;-;1;1;2;1;1;-;-;-;1;-;2;-;-;-;-;-;2;1;-;-;-;2;-;1;-;1;1;1;2;-;1;-;1;-;1;1;-;2;-;-;-;-;-;-;-;-;-;-;-;3;2;1;1;-;1;-;1;-;-;-;2;2;5;-;2;1;2;1;1;2;1;1;-;-;2;1;1;2;1;3;3;2;-;-;-;1;4;1;2;-;3;1;-;4;1;4;3;1;1;1;1;-;4;1;4;2;3;6;2;2;1;1;2;1;2;2;1;2;2;2;-;1;-;-;1;2;5;3;2;-;-;2;-;2;-;160
"110094 Cujubim";-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;2;-;-;-;-;2;-;1;-;1;-;-;-;1;1;2;1;-;-;3;2;-;1;-;-;1;-;-;1;1;1;-;3;-;1;-;1;-;-;1;3;-;1;1;-;1;2;1;2;1;3;3;4;-;2;1;3;1;-;-;1;-;2;2;1;2;-;4;2;-;4;4;1;3;-;3;1;1;-;2;1;2;2;2;-;-;1;3;-;1;3;1;1;-;1;1;5;3;3;2;4;2;2;1;-;1;-;-;-;1;3;5;1;-;1;2;-;1;-;1;-;2;2;2;-;4;1;1;1;2;-;2;1;1;2;2;1;1;1;1;-;1;176
"110009 Espigão D'Oeste";-;1;-;-;1;1;2;-;-;4;-;5;6;4;-;1;5;2;3;1;1;2;1;3;3;2;3;4;1;3;3;3;4;-;5;3;4;7;4;4;3;3;4;4;1;3;6;4;3;1;5;2;3;6;3;4;7;4;4;3;4;6;7;7;6;3;3;7;9;3;5;2;5;6;8;3;4;13;1;7;11;9;2;5;6;7;8;6;1;4;3;5;5;5;3;10;-;4;5;6;11;5;5;5;6;6;4;3;4;9;7;2;10;2;8;10;5;8;5;5;7;6;6;9;3;4;9;9;6;6;4;8;5;6;5;5;12;4;3;8;4;6;5;7;8;7;7;10;5;5;7;3;7;5;3;6;5;7;7;3;2;2;749
"110100 Governador Jorge Teixeira";-;-;-;-;-;-;-;-;-;-;1;-;1;-;-;-;-;1;1;1;-;2;-;1;1;1;-;-;3;-;1;-;-;-;3;1;-;1;1;-;-;3;1;1;3;1;1;1;-;-;-;-;1;-;-;2;-;-;-;-;-;-;-;-;1;-;1;-;1;1;-;3;1;-;1;-;-;2;-;5;2;1;3;-;1;-;-;-;1;1;1;1;-;2;1;1;-;2;-;-;-;-;-;4;1;1;2;-;1;-;-;1;-;-;2;1;1;1;-;1;2;1;1;-;-;1;2;2;1;2;1;2;-;1;1;-;3;-;1;1;1;1;-;1;-;-;2;-;1;-;-;1;1;1;-;1;-;-;1;1;-;-;117
"110010 Guajará-Mirim";-;-;-;1;2;1;6;-;-;2;4;2;1;2;-;-;1;-;2;1;1;3;7;6;3;5;4;1;6;4;2;3;4;4;6;3;3;12;3;8;11;3;1;6;8;7;3;9;4;7;4;4;6;7;7;7;8;3;2;8;6;10;8;5;5;3;5;3;5;5;9;5;5;4;6;6;5;7;9;3;7;11;9;8;9;6;4;3;8;6;12;6;6;6;7;5;8;9;3;7;10;3;6;2;10;10;9;5;5;8;5;8;10;3;9;6;12;9;4;8;5;3;10;5;8;10;6;6;11;9;8;7;4;9;9;2;10;5;5;7;5;5;7;6;8;11;7;6;12;4;6;7;15;14;16;13;4;4;8;7;10;2;940
"110110 Itapuã do Oeste";-;-;-;-;-;-;-;-;-;1;2;-;1;1;-;-;-;1;-;2;-;-;1;1;-;1;-;-;-;1;3;-;-;1;-;-;-;-;1;-;-;-;2;-;-;1;1;-;2;2;-;1;-;2;-;2;2;1;-;-;-;1;-;1;2;1;-;2;-;-;1;2;-;-;-;1;2;-;-;-;1;2;1;1;1;-;1;-;-;-;3;3;1;1;-;3;1;3;2;1;3;1;-;1;-;-;2;2;1;2;1;-;-;-;-;2;-;-;1;1;2;-;-;-;1;-;-;1;1;-;-;1;1;3;2;2;1;1;3;2;-;2;1;2;1;-;3;-;3;2;2;-;-;3;4;3;1;2;1;2;2;-;143
"110011 Jaru";-;1;1;1;4;4;4;5;2;4;3;5;2;6;2;-;5;2;1;3;3;4;-;3;8;4;3;6;6;3;5;7;2;6;4;7;4;8;13;4;3;7;5;10;5;10;9;7;4;8;4;7;8;3;6;6;3;2;6;7;7;1;8;2;8;8;4;5;5;2;9;7;3;6;4;6;7;8;8;9;11;3;7;4;9;7;8;9;8;5;12;10;10;12;7;13;4;9;8;11;12;10;7;17;10;9;8;8;13;4;4;9;4;5;13;14;15;13;12;4;10;8;6;7;12;14;13;7;13;8;8;9;5;8;9;17;11;13;9;13;5;9;8;5;8;8;10;7;14;7;11;7;10;14;15;16;8;12;3;13;1;-;1141
"110012 Ji-Paraná";-;-;4;3;16;4;9;10;11;13;16;12;14;18;13;5;12;7;10;9;9;7;16;10;13;9;2;7;11;16;20;20;23;11;21;25;24;23;24;23;17;15;35;25;20;18;26;19;21;24;24;10;19;19;17;16;25;20;16;28;18;19;19;19;18;23;25;21;24;20;24;27;15;21;21;24;28;8;22;15;23;18;26;15;25;15;29;22;14;29;29;22;27;21;25;24;19;16;21;16;21;22;29;38;31;16;22;25;20;23;27;17;17;32;39;28;22;26;33;24;21;22;25;24;30;24;38;30;22;28;24;28;20;21;23;19;21;16;17;21;25;19;15;20;17;25;23;22;34;17;19;21;18;22;22;24;26;25;25;17;26;8;3217
"110013 Machadinho D'Oeste";-;-;-;1;-;2;3;2;1;-;2;2;1;2;1;1;4;3;3;1;-;2;2;4;5;-;5;2;4;-;5;1;4;-;2;1;3;2;2;2;1;-;3;7;-;1;3;2;2;3;2;1;4;4;4;4;1;4;2;2;4;2;4;2;1;2;5;3;5;3;6;3;2;2;5;-;3;3;5;5;3;5;2;4;5;1;7;5;1;3;7;3;7;-;7;2;6;3;2;4;3;5;6;4;5;2;3;7;1;3;1;3;1;6;5;4;5;4;7;5;5;4;1;4;6;-;2;3;8;3;4;4;7;7;2;6;1;1;3;4;7;4;5;4;4;4;3;6;3;7;3;4;6;4;5;4;4;7;11;5;2;2;526
"110120 Ministro Andreazza";-;-;-;-;-;1;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;1;1;-;-;2;-;-;-;-;1;1;-;1;1;2;-;-;-;1;2;-;1;-;1;3;-;-;1;-;2;-;1;1;3;2;-;1;-;-;-;1;1;1;1;3;1;1;-;3;3;-;6;1;2;1;-;-;3;1;2;1;2;1;-;1;-;1;4;-;2;-;2;2;2;1;1;3;1;1;3;-;1;2;4;1;-;3;2;3;1;3;1;4;2;1;-;2;-;1;-;-;2;-;3;2;2;1;2;5;2;2;3;2;1;1;1;1;2;3;1;-;2;1;-;-;3;1;2;2;1;1;2;2;1;2;-;1;-;-;-;181
"110130 Mirante da Serra";-;-;-;-;1;-;1;1;2;-;-;1;-;1;2;-;-;1;-;1;1;1;2;-;-;-;1;-;-;1;1;1;1;-;1;3;1;-;1;1;2;-;-;-;1;2;2;1;2;3;1;-;1;-;1;1;2;2;1;1;1;-;1;2;1;-;2;-;-;-;1;2;1;1;-;-;1;1;1;1;2;1;1;-;1;-;2;2;-;-;2;-;2;1;2;1;-;-;2;1;2;-;-;-;1;2;1;1;2;3;1;1;4;1;-;2;-;1;2;2;6;2;-;-;-;3;1;-;1;3;-;1;1;-;-;-;1;-;-;3;3;-;1;1;2;4;1;1;1;1;1;4;2;3;1;2;2;2;2;1;-;-;169
"110140 Monte Negro";-;-;-;-;1;-;-;1;1;-;-;-;-;-;4;-;3;-;2;-;1;-;-;-;1;1;-;-;-;5;-;1;1;2;2;-;2;4;3;-;3;1;2;1;1;1;2;2;-;-;-;1;1;1;2;-;-;-;1;3;-;-;2;2;2;3;2;2;1;-;1;3;4;3;1;2;2;-;6;3;2;3;1;2;2;1;2;1;3;-;1;5;-;4;2;-;1;-;1;2;2;2;2;-;-;5;3;4;-;3;3;3;-;2;2;1;1;3;1;1;-;2;3;2;1;4;2;-;-;2;1;2;-;1;2;2;1;-;3;3;6;2;2;2;3;-;5;3;4;1;1;1;-;-;3;2;4;4;3;3;1;-;248
"110014 Nova Brasilândia D'Oeste";-;-;-;-;-;-;-;1;-;-;-;1;-;1;-;1;-;-;-;2;4;-;-;-;2;2;-;-;2;-;1;1;-;-;-;2;-;1;-;-;-;2;-;1;1;-;3;2;-;-;3;3;-;-;1;1;1;-;2;2;2;1;-;-;3;2;3;1;1;2;4;-;3;-;2;5;3;3;1;2;2;3;4;4;6;5;2;2;-;3;-;1;2;-;4;2;2;2;5;-;1;2;2;6;3;2;3;1;-;4;2;8;1;2;5;4;10;4;2;3;2;2;-;1;1;4;2;2;4;3;-;4;3;1;1;4;4;-;2;1;4;2;4;2;2;4;2;2;1;3;2;2;2;1;7;7;1;4;1;2;1;-;292
"110033 Nova Mamoré";-;-;-;-;1;1;1;-;-;-;-;-;-;1;-;1;2;-;1;3;3;-;-;1;1;-;-;1;-;-;1;1;1;2;-;1;3;-;1;-;2;-;-;2;1;1;1;-;3;2;2;2;-;2;3;1;2;4;1;-;2;3;5;2;2;2;1;3;1;1;3;1;3;4;4;-;1;-;-;3;2;2;5;3;1;3;1;2;2;-;-;3;1;5;3;4;5;3;1;3;4;3;2;3;4;3;3;4;5;2;5;5;3;2;1;3;2;4;1;7;5;4;2;1;2;1;3;4;-;4;3;2;3;3;5;3;3;3;2;3;4;2;5;2;3;3;2;2;2;1;3;2;5;5;4;6;2;1;6;5;9;-;342
"110143 Nova União";-;-;-;-;-;-;1;-;1;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;1;-;-;-;1;-;-;-;1;-;1;-;1;1;-;-;-;1;-;1;1;2;-;-;-;-;-;1;-;-;1;-;-;-;1;-;1;-;1;1;-;-;-;-;-;-;-;-;-;1;-;-;1;-;1;-;2;-;1;-;-;1;-;-;-;2;-;-;-;-;-;1;-;-;2;-;-;2;3;2;-;-;1;2;-;-;-;1;-;-;1;2;-;-;-;-;1;-;1;-;-;1;1;2;-;2;1;-;2;1;-;-;-;1;-;-;1;-;1;1;-;-;2;-;-;-;1;1;2;2;-;1;2;-;-;-;74
"110050 Novo Horizonte do Oeste";-;-;-;-;1;-;-;-;-;2;1;-;-;-;-;2;-;2;1;1;-;-;1;-;-;-;1;-;1;-;1;-;1;-;-;1;2;1;1;1;-;-;2;-;1;-;1;2;1;-;1;-;-;1;-;-;-;2;1;1;-;2;1;5;1;-;1;1;2;2;-;-;1;-;1;3;3;-;1;2;1;1;1;-;-;2;1;-;1;1;1;-;1;-;-;1;2;-;-;-;2;3;-;-;-;4;3;4;1;-;1;1;-;2;2;2;-;3;2;1;5;1;3;1;-;3;3;-;3;2;2;-;-;1;-;1;-;4;-;2;3;-;1;-;-;-;-;2;1;-;2;1;3;1;3;1;1;1;1;-;3;-;159
"110015 Ouro Preto do Oeste";-;-;-;-;3;1;4;3;2;3;6;3;1;3;1;2;-;6;4;4;-;5;1;6;7;2;-;4;3;5;3;4;8;4;3;3;10;1;4;5;4;4;7;8;5;4;6;6;3;7;8;3;5;4;2;8;7;6;6;2;5;7;4;4;7;7;2;6;3;2;6;8;8;5;6;6;8;6;3;6;6;5;6;8;1;5;7;7;11;2;7;5;8;10;6;7;11;8;6;8;9;3;12;9;9;13;5;12;5;9;9;8;9;2;15;7;14;3;15;9;7;9;13;7;12;7;7;4;10;10;8;6;7;7;3;7;7;5;9;13;4;11;12;9;9;11;5;10;7;3;7;4;7;-;2;-;5;3;6;3;1;1;927
