DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Sorotipo                     
Período:2015
"Município infecção";"Ign/Branco";"DEN 1";"DEN 4";"Total"
"510624 Nova Ubiratã";33;-;-;33
"510625 Nova Xavantina";38;-;-;38
"510627 Novo Horizonte do Norte";44;-;-;44
"510626 Novo Mundo";48;-;-;48
"510628 Novo São Joaquim";39;1;-;40
"510629 Paranaíta";63;-;-;63
"510630 Paranatinga";20;-;-;20
"510637 Pedra Preta";8;-;-;8
"510642 Peixoto de Azevedo";186;-;-;186
"510650 Poconé";6;-;-;6
"510665 Pontal do Araguaia";4;-;-;4
"510670 Ponte Branca";9;-;-;9
"510675 Pontes e Lacerda";78;-;-;78
"510680 Porto dos Gaúchos";14;1;-;15
"510700 Poxoréo";30;-;-;30
"510704 Primavera do Leste";543;1;-;544
"510706 Querência";120;-;-;120
"510715 Reserva do Cabaçal";20;-;-;20
"510718 Ribeirão Cascalheira";36;-;-;36
"510719 Ribeirãozinho";66;-;-;66
"510720 Rio Branco";85;-;-;85
"510757 Rondolândia";1;-;-;1
"510760 Rondonópolis";158;-;-;158
"510770 Rosário Oeste";25;1;-;26
"510775 Salto do Céu";1;-;-;1
"510724 Santa Carmem";118;-;1;119
"510776 Santa Rita do Trivelato";96;-;-;96
"510779 Santo Antônio do Leste";51;1;-;52
"510780 Santo Antônio do Leverger";6;-;-;6
"510730 São José do Rio Claro";1;-;-;1
"510735 São José do Xingu";6;-;-;6
"510710 São José dos Quatro Marcos";12;-;-;12
"510740 São Pedro da Cipa";2;-;-;2
"510787 Sapezal";114;-;-;114
"510788 Serra Nova Dourada";18;-;-;18
"510790 Sinop";2529;3;-;2532
"510792 Sorriso";448;-;-;448
"510794 Tabaporã";122;-;-;122
"510795 Tangará da Serra";318;-;-;318
"510800 Tapurah";24;-;-;24
"510805 Terra Nova do Norte";22;-;-;22
"510810 Tesouro";45;-;-;45
"510820 Torixoréu";41;-;-;41
"510830 União do Sul";9;-;-;9
"510835 Vale de São Domingos";7;-;-;7
"510840 Várzea Grande";1719;3;-;1722
"510850 Vera";270;-;-;270
"510550 Vila Bela da Santíssima Trindade";3;-;-;3
"510860 Vila Rica";2;-;-;2
"520870 Goiânia";7;-;-;7
"521225 Lagoa Santa";1;-;-;1
"521310 Mineiros";2;-;-;2
"000000 Ignorado ou exterior";3628;8;-;3636
"Total";21670;52;2;21724
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
