DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2019
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"120050 Sena Madureira";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"120045 Senador Guiomard";-;7;-;1;1;-;-;-;-;-;-;-;4;13
"120060 Tarauacá";-;72;166;144;84;67;42;38;81;15;271;540;402;1922
"120070 Xapuri";-;-;-;-;1;-;-;-;-;1;-;1;-;3
"130002 Alvarães";-;-;1;-;-;1;-;-;-;-;-;-;-;2
"130040 Barcelos";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"130060 Benjamin Constant";-;-;1;-;-;-;-;-;-;-;6;77;279;363
"130070 Boca do Acre";-;102;19;2;-;-;-;-;-;-;-;1;40;164
"130100 Carauari";-;-;2;-;-;-;-;1;5;5;22;299;247;581
"130120 Coari";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"130140 Eirunepé";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"130165 Guajará";-;16;34;29;20;9;6;8;16;20;141;191;133;623
"130170 Humaitá";-;-;1;17;18;2;2;-;1;-;1;7;10;59
"130180 Ipixuna";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130185 Iranduba";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"130190 Itacoatiara";-;3;10;2;-;1;3;1;1;1;-;-;-;22
"130220 Juruá";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"130250 Manacapuru";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"130260 Manaus";-;7;18;30;35;33;29;21;18;3;13;13;14;234
"130280 Maraã";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"130290 Maués";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"130320 Novo Airão";-;-;-;-;1;1;-;-;-;4;1;-;-;7
"130350 Pauini";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"130353 Presidente Figueiredo";-;-;1;12;10;13;-;1;-;-;-;2;-;39
"130380 São Gabriel da Cachoeira";-;-;1;4;-;-;1;1;-;40;159;270;314;790
"130406 Tabatinga";-;1;1;-;3;-;4;5;2;30;146;96;60;348
"130420 Tefé";-;12;11;4;-;6;2;-;-;1;1;-;1;38
"130430 Urucará";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"140005 Alto Alegre";-;-;-;-;-;-;-;-;1;2;1;3;1;8
"140002 Amajari";-;-;1;3;-;-;-;-;-;-;1;-;-;5
"140010 Boa Vista";-;20;14;14;6;4;6;12;18;75;125;165;95;554
"140015 Bonfim";-;-;-;-;1;-;-;11;9;1;2;1;2;27
"140017 Cantá";-;-;-;1;1;-;-;2;-;-;-;6;1;11
"140020 Caracaraí";-;-;1;1;1;-;-;1;-;3;2;21;61;91
"140023 Caroebe";-;1;2;2;1;6;39;7;2;1;-;-;-;61
"140028 Iracema";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"140030 Mucajaí";-;1;-;1;1;-;1;2;7;12;3;2;2;32
"140040 Normandia";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"140045 Pacaraima";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"140047 Rorainópolis";-;-;2;-;1;-;-;-;-;-;2;1;-;6
"140050 São João da Baliza";-;1;1;-;-;-;-;-;-;1;-;-;-;3
"140060 São Luiz";-;-;-;-;-;-;-;-;-;2;-;1;-;3
"140070 Uiramutã";-;-;-;-;-;-;-;-;-;-;2;2;6;10
"150010 Abaetetuba";-;-;-;-;-;-;1;-;1;3;-;2;-;7
"150013 Abel Figueiredo";-;1;-;-;-;2;1;1;2;-;-;-;-;7
"150030 Afuá";-;5;1;-;-;-;-;-;-;-;-;-;1;7
"150040 Alenquer";-;-;-;1;-;1;-;-;-;-;-;-;-;2
"150060 Altamira";-;-;-;-;1;-;-;-;-;-;-;1;6;8
"150080 Ananindeua";-;1;2;-;-;-;-;-;-;-;-;-;-;3
"150085 Anapu";-;1;5;3;22;33;18;3;4;1;-;-;-;90
"150090 Augusto Corrêa";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150095 Aurora do Pará";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150125 Bannach";-;1;2;1;-;-;-;-;-;1;-;18;-;23
"150130 Barcarena";-;4;1;-;-;-;-;-;-;-;-;-;-;5
"150140 Belém";-;2;3;1;4;2;2;3;2;-;-;1;-;20
"150145 Belterra";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150157 Bom Jesus do Tocantins";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150160 Bonito";-;-;-;4;2;-;-;-;-;-;-;-;-;6
"150170 Bragança";-;-;-;-;1;-;-;-;1;-;-;-;-;2
"150172 Brasil Novo";-;-;-;-;-;-;-;5;-;-;1;1;-;7
"150175 Brejo Grande do Araguaia";-;-;-;-;2;-;-;-;-;-;-;-;-;2
"150178 Breu Branco";-;-;-;-;-;1;-;-;-;-;-;1;-;2
"150180 Breves";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150210 Cametá";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"150215 Canaã dos Carajás";-;5;4;8;2;6;-;-;-;-;2;2;1;30
"150220 Capanema";-;-;-;2;2;-;1;-;1;-;-;1;-;7
"150230 Capitão Poço";-;-;-;-;-;-;-;1;-;-;1;-;-;2
"150240 Castanhal";-;3;3;-;-;-;2;-;1;-;-;1;1;11
"150270 Conceição do Araguaia";-;5;47;89;10;17;-;-;-;-;1;5;-;174
"150276 Cumaru do Norte";-;-;-;-;1;3;3;-;-;-;-;-;-;7
"150280 Curralinho";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150293 Dom Eliseu";-;3;3;5;3;4;-;1;1;1;-;-;-;21
"150295 Eldorado do Carajás";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"150304 Floresta do Araguaia";-;-;-;-;1;1;-;-;-;-;-;-;-;2
"150320 Igarapé-Açu";-;1;-;1;2;-;-;-;-;2;-;-;-;6
"150345 Ipixuna do Pará";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"150350 Irituia";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"150360 Itaituba";-;1;1;2;4;2;4;2;-;-;-;-;3;19
"150370 Itupiranga";-;-;1;1;1;-;-;-;-;-;-;-;-;3
"150375 Jacareacanga";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"150380 Jacundá";-;2;1;3;2;-;7;1;-;-;1;-;-;17
"150405 Mãe do Rio";-;3;5;1;1;2;-;-;1;-;-;-;-;13
"150420 Marabá";-;5;8;6;5;5;2;4;1;-;-;1;-;37
"150440 Marapanim";-;1;1;7;-;-;-;-;-;-;-;-;-;9
"150442 Marituba";-;-;-;-;-;1;4;-;1;-;-;1;-;7
"150445 Medicilândia";-;4;-;-;-;-;-;-;-;-;-;-;-;4
"150460 Mocajuba";-;-;-;-;-;-;-;-;1;-;1;4;-;6
"150470 Moju";-;28;4;-;-;-;-;-;-;-;1;-;4;37
"150480 Monte Alegre";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150495 Nova Esperança do Piriá";-;1;-;2;-;-;1;-;-;-;-;-;-;4
"150497 Nova Ipixuna";-;4;-;-;-;1;-;-;1;2;15;31;6;60
"150503 Novo Progresso";-;2;2;2;3;2;-;5;4;5;13;15;4;57
"150506 Novo Repartimento";-;18;21;17;24;20;7;-;-;-;-;1;1;109
"150530 Oriximiná";-;-;-;-;1;-;-;2;-;-;2;-;-;5
"150543 Ourilândia do Norte";-;-;-;2;8;7;7;12;15;6;2;-;1;60
"150548 Pacajá";-;9;1;6;16;17;6;1;1;2;-;2;-;61
"150550 Paragominas";-;-;-;2;32;7;-;-;-;-;-;-;-;41
"150553 Parauapebas";-;112;225;207;162;69;9;-;2;3;2;-;7;798
"150563 Piçarra";-;-;-;-;2;2;-;-;-;-;-;-;-;4
"150570 Ponta de Pedras";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"150610 Primavera";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150613 Redenção";-;-;2;-;-;5;-;1;-;-;-;1;1;10
"150616 Rio Maria";-;1;5;-;3;11;-;-;-;-;2;5;1;28
"150618 Rondon do Pará";-;6;6;-;1;1;-;-;-;1;-;-;-;15
"150619 Rurópolis";-;-;1;-;5;5;3;-;-;-;-;6;-;20
"150620 Salinópolis";-;-;2;-;-;1;1;3;3;-;-;-;-;10
"150635 Santa Bárbara do Pará";-;1;1;-;-;-;1;-;2;-;-;-;-;5
"150650 Santa Izabel do Pará";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"150655 Santa Luzia do Pará";-;-;1;-;-;-;-;-;-;-;-;-;1;2
"150658 Santa Maria das Barreiras";-;-;-;1;-;1;1;-;-;-;-;-;-;3
"150670 Santana do Araguaia";-;1;2;25;22;6;2;-;-;-;1;-;-;59
"150680 Santarém";-;-;1;3;1;1;-;-;2;3;2;2;1;16
"150710 São Caetano de Odivelas";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"150715 São Domingos do Araguaia";-;-;3;-;-;-;-;-;-;-;-;-;5;8
"150720 São Domingos do Capim";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150730 São Félix do Xingu";-;21;10;5;18;3;-;-;1;-;-;-;3;61
"150745 São Geraldo do Araguaia";-;1;-;-;1;1;-;-;-;-;-;-;-;3
"150747 São João de Pirabas";-;-;-;-;-;-;-;-;-;1;2;2;-;5
"150750 São João do Araguaia";-;1;-;-;-;-;4;-;1;-;-;-;-;6
"150760 São Miguel do Guamá";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150780 Senador José Porfírio";-;-;-;3;-;-;1;2;38;99;43;3;-;189
"150790 Soure";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"150795 Tailândia";-;4;1;1;3;-;2;-;2;-;-;-;-;13
"150800 Tomé-Açu";-;-;-;-;3;-;-;-;-;-;-;-;-;3
"150803 Tracuateua";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"150808 Tucumã";-;-;5;1;-;3;3;1;-;-;-;-;-;13
"150810 Tucuruí";-;-;2;3;1;-;1;1;1;-;-;1;-;10
"150815 Uruará";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"150820 Vigia";-;-;1;1;1;-;-;-;-;-;-;-;-;3
"150835 Vitória do Xingu";-;1;1;8;5;-;2;8;6;-;2;7;1;41
"150840 Xinguara";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"160021 Cutias";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"160023 Ferreira Gomes";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"160027 Laranjal do Jari";-;-;-;-;2;-;-;-;-;-;-;-;-;2
"160030 Macapá";-;11;12;27;20;10;10;8;11;4;7;2;9;131
"160040 Mazagão";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"160050 Oiapoque";-;2;-;1;1;1;-;-;-;-;-;-;-;5
"160015 Pedra Branca do Amapari";-;-;-;-;1;1;1;-;-;-;-;-;-;3
"160060 Santana";-;2;1;3;-;1;-;1;1;2;2;1;1;15
"160005 Serra do Navio";-;1;4;3;-;2;1;-;-;-;-;-;-;11
"170025 Abreulândia";-;-;-;2;-;-;-;1;-;-;-;1;-;4
"170030 Aguiarnópolis";-;-;-;-;2;3;5;3;-;2;-;-;-;15
"170035 Aliança do Tocantins";-;-;2;-;3;-;-;-;1;-;-;-;-;6
"170040 Almas";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"170070 Alvorada";-;-;-;17;4;-;-;-;-;-;-;-;-;21
"170100 Ananás";-;-;-;-;-;1;-;3;1;-;-;1;-;6
"170110 Aparecida do Rio Negro";-;-;-;1;2;-;-;-;-;-;-;1;-;4
"170130 Aragominas";-;-;-;-;1;6;3;-;1;-;1;8;3;23
"170190 Araguacema";-;-;1;1;1;-;-;-;-;-;-;-;-;3
"170200 Araguaçu";-;2;3;9;4;6;-;-;-;-;-;1;-;25
"170210 Araguaína";-;74;216;457;436;330;73;15;15;6;13;41;40;1716
"170215 Araguanã";-;3;-;-;-;-;-;-;-;-;-;-;-;3
"170220 Araguatins";-;3;3;2;-;1;-;-;-;-;-;-;-;9
"170230 Arapoema";-;-;-;-;-;2;-;1;-;-;-;-;-;3
"170240 Arraias";-;3;6;69;94;164;41;10;3;2;-;-;-;392
"170255 Augustinópolis";-;-;-;-;-;1;-;2;-;1;-;-;-;4
"170300 Babaçulândia";-;-;4;17;15;20;1;1;-;-;1;-;-;59
"170305 Bandeirantes do Tocantins";-;-;1;-;-;4;1;-;-;-;-;-;-;6
"170307 Barra do Ouro";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"170310 Barrolândia";-;1;-;-;-;-;-;-;1;-;-;-;-;2
"170320 Bernardo Sayão";-;-;-;-;2;1;-;1;-;-;-;-;1;5
"170330 Bom Jesus do Tocantins";-;1;5;8;-;2;-;-;-;-;-;-;-;16
"170360 Brasilândia do Tocantins";-;-;-;1;-;2;-;-;-;-;-;-;-;3
"170370 Brejinho de Nazaré";-;5;4;3;2;1;-;-;-;-;-;-;-;15
"170384 Campos Lindos";-;6;2;1;1;-;-;-;-;-;-;-;-;10
"170386 Cariri do Tocantins";-;-;-;-;-;1;-;1;-;-;-;2;-;4
"170388 Carmolândia";-;-;1;-;-;-;-;-;-;1;-;-;-;2
"170389 Carrasco Bonito";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"170390 Caseara";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"170410 Centenário";-;-;1;2;-;-;-;-;-;-;-;1;-;4
"170510 Chapada da Natividade";-;3;1;-;-;-;-;-;-;-;-;-;-;4
"170460 Chapada de Areia";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"170550 Colinas do Tocantins";-;-;-;2;-;2;-;-;-;-;-;-;1;5
"171670 Colméia";-;-;1;2;-;-;-;-;1;-;-;-;-;4
"170555 Combinado";-;5;7;3;3;3;3;-;-;-;-;-;-;24
"170560 Conceição do Tocantins";-;-;1;1;3;7;8;1;1;-;-;-;1;23
"170600 Couto Magalhães";-;1;2;1;-;2;-;-;-;-;-;-;-;6
"170610 Cristalândia";-;-;2;2;1;-;-;-;-;-;-;-;-;5
"170650 Darcinópolis";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"170700 Dianópolis";-;87;28;8;2;2;2;2;-;-;3;2;3;139
"170710 Divinópolis do Tocantins";-;3;8;14;12;2;-;-;-;-;-;-;4;43
"170720 Dois Irmãos do Tocantins";-;1;5;6;2;1;-;-;-;-;-;1;3;19
"170730 Dueré";-;-;-;4;3;-;-;-;-;-;-;-;-;7
"170740 Esperantina";-;1;-;1;1;-;-;-;-;-;-;-;-;3
"170755 Fátima";-;-;4;-;-;-;-;-;-;-;-;-;-;4
"170765 Figueirópolis";-;-;-;11;14;2;-;-;-;-;-;-;-;27
"170770 Filadélfia";-;-;-;1;1;3;-;-;-;-;-;-;-;5
"170820 Formoso do Araguaia";-;40;57;64;105;106;45;1;1;-;1;1;-;421
"170825 Fortaleza do Tabocão";-;-;-;7;-;-;-;-;-;-;-;-;-;7
"170900 Goiatins";-;1;1;1;-;1;-;-;-;-;-;-;-;4
"170930 Guaraí";-;6;22;31;7;4;2;1;-;-;-;-;-;73
"170950 Gurupi";-;5;10;28;48;60;13;2;3;1;1;2;2;175
"170980 Ipueiras";-;2;1;-;-;1;-;-;-;-;-;-;-;4
"171050 Itacajá";-;-;1;-;-;2;6;-;-;-;-;-;-;9
"171070 Itaguatins";-;-;1;-;2;2;-;-;-;-;-;-;-;5
"171090 Itapiratins";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"171110 Itaporã do Tocantins";-;-;-;1;3;6;4;-;-;-;-;-;-;14
"171150 Jaú do Tocantins";-;-;-;2;2;8;6;-;-;-;-;-;-;18
"171190 Lagoa da Confusão";-;1;13;43;13;2;4;-;-;-;1;-;-;77
"171195 Lagoa do Tocantins";-;-;-;2;1;-;-;-;-;-;-;-;-;3
"171200 Lajeado";-;-;2;3;14;7;2;-;-;-;1;-;1;30
"171215 Lavandeira";-;1;-;1;-;1;1;-;-;-;-;-;-;4
"171240 Lizarda";-;-;-;4;1;-;-;-;-;-;1;-;-;6
"171245 Luzinópolis";-;-;-;1;3;1;-;-;-;-;-;1;1;7
"171250 Marianópolis do Tocantins";-;3;3;2;-;1;1;-;-;-;-;-;-;10
"171280 Maurilândia do Tocantins";-;-;-;-;6;-;1;-;2;3;-;-;-;12
"171320 Miracema do Tocantins";-;3;1;4;1;-;1;-;1;-;-;-;3;14
"171330 Miranorte";-;-;3;5;12;2;1;-;-;-;-;-;2;25
"171360 Monte do Carmo";-;21;47;18;-;-;-;-;-;-;-;1;6;93
"171395 Muricilândia";-;-;1;3;3;-;-;-;-;-;-;-;-;7
"171420 Natividade";-;1;3;5;10;1;1;-;-;-;-;-;-;21
"171430 Nazaré";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"171488 Nova Olinda";-;-;3;7;6;4;2;-;-;-;-;-;-;22
"171500 Nova Rosalândia";-;4;1;-;2;-;1;1;-;-;-;-;-;9
"171510 Novo Acordo";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"171515 Novo Alegre";-;-;1;-;1;-;-;-;-;-;-;-;-;2
"171525 Novo Jardim";-;-;5;8;2;4;1;-;-;1;-;-;-;21
"171550 Oliveira de Fátima";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"172100 Palmas";-;44;62;15;7;5;5;2;3;-;1;-;6;150
"171570 Palmeirante";-;1;-;1;-;-;1;-;-;-;-;-;1;4
"171380 Palmeiras do Tocantins";-;1;-;-;3;-;-;-;-;-;-;-;-;4
"171575 Palmeirópolis";-;13;6;12;7;1;-;-;-;-;-;-;-;39
"171610 Paraíso do Tocantins";-;47;116;77;74;68;28;2;11;8;13;32;28;504
"171620 Paranã";-;-;5;-;-;1;-;1;-;-;-;-;-;7
"171650 Pedro Afonso";-;7;2;17;-;-;-;-;-;-;-;-;-;26
"171660 Peixe";-;-;-;7;58;59;6;-;-;-;1;-;-;131
"171665 Pequizeiro";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"171700 Pindorama do Tocantins";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"171720 Piraquê";-;-;-;-;-;-;-;-;-;-;-;-;2;2
"171750 Pium";-;-;-;-;1;-;1;-;-;-;-;-;-;2
"171780 Ponte Alta do Bom Jesus";-;3;6;17;25;9;1;-;-;-;-;-;-;61
"171790 Ponte Alta do Tocantins";-;7;25;5;-;-;-;-;-;-;-;-;-;37
"171800 Porto Alegre do Tocantins";-;2;7;10;2;-;-;-;-;-;-;-;-;21
"171820 Porto Nacional";-;494;320;119;57;47;6;1;6;1;2;6;81;1140
"171830 Praia Norte";-;7;6;11;7;1;-;-;-;-;1;-;1;34
"171840 Presidente Kennedy";-;-;-;-;-;1;-;-;-;-;1;-;2;4
"171845 Pugmil";-;1;-;2;1;1;-;-;-;-;-;-;-;5
"171850 Recursolândia";-;1;3;-;-;1;-;-;-;-;-;-;-;5
"171855 Riachinho";-;-;1;1;4;-;1;-;-;-;-;-;-;7
"171865 Rio da Conceição";-;1;3;-;-;1;-;-;-;-;-;-;-;5
"171870 Rio dos Bois";-;-;1;3;9;3;-;-;-;-;-;-;1;17
"171875 Rio Sono";-;-;2;-;1;1;-;1;1;-;2;1;-;9
"171880 Sampaio";-;-;1;2;1;-;-;-;-;-;-;-;-;4
"171884 Sandolândia";-;-;-;14;1;1;-;-;-;-;-;-;-;16
"171886 Santa Fé do Araguaia";-;-;-;2;4;-;-;1;-;-;2;-;-;9
"171889 Santa Rita do Tocantins";-;2;4;-;-;1;-;-;-;-;-;-;-;7
"171890 Santa Rosa do Tocantins";-;1;-;1;2;2;-;-;-;-;-;-;-;6
"171900 Santa Tereza do Tocantins";-;1;-;1;2;7;2;1;-;-;-;-;-;14
"172010 São Bento do Tocantins";-;-;-;1;1;8;1;-;-;-;-;-;-;11
"172015 São Félix do Tocantins";-;-;2;1;-;-;-;-;-;-;-;-;-;3
"172020 São Miguel do Tocantins";-;6;3;3;6;-;1;-;1;1;-;-;-;21
"172025 São Salvador do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"172030 São Sebastião do Tocantins";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"172049 São Valério";-;-;1;3;27;14;4;-;-;-;-;-;-;49
"172065 Silvanópolis";-;5;24;10;4;1;-;-;-;-;-;-;-;44
"172085 Sucupira";-;-;-;5;1;1;-;-;-;-;-;-;-;7
"172090 Taguatinga";-;-;4;2;-;-;-;-;-;-;-;-;-;6
"172093 Taipas do Tocantins";-;2;6;18;35;24;-;-;-;-;-;-;-;85
"172097 Talismã";-;4;11;9;10;3;-;-;-;-;-;-;-;37
"172110 Tocantínia";-;1;12;-;10;10;8;1;-;1;-;-;-;43
"172120 Tocantinópolis";-;6;10;19;32;40;9;7;6;1;-;2;1;133
"172125 Tupirama";-;-;-;6;7;-;-;-;-;-;-;-;-;13
"172130 Tupiratins";-;-;-;1;-;1;-;-;-;-;-;-;-;2
"172208 Wanderlândia";-;-;2;-;1;-;1;-;-;-;-;-;-;4
"172210 Xambioá";-;1;2;4;1;3;3;-;-;-;-;-;-;14
"210005 Açailândia";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"210010 Afonso Cunha";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"210020 Alcântara";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"210030 Aldeias Altas";-;-;-;-;2;7;-;-;-;-;-;-;-;9
"210043 Alto Alegre do Maranhão";-;-;5;38;-;-;-;-;-;-;-;-;-;43
"210047 Alto Alegre do Pindaré";-;-;-;3;-;-;-;-;-;-;-;-;1;4
"210050 Alto Parnaíba";-;-;1;-;-;2;3;-;-;-;-;-;-;6
"210055 Amapá do Maranhão";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"210060 Amarante do Maranhão";-;-;2;3;13;14;27;1;-;1;-;-;-;61
"210070 Anajatuba";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"210080 Anapurus";-;3;2;9;34;3;-;1;-;-;-;-;-;52
"210083 Apicum-Açu";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"210090 Araioses";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"210100 Arari";-;-;-;1;-;-;3;-;1;-;-;-;-;5
"210110 Axixá";-;-;1;-;-;-;-;-;-;-;1;-;-;2
"210120 Bacabal";-;-;-;-;1;-;-;1;1;-;-;-;-;3
"210125 Bacabeira";-;-;2;2;3;-;-;-;-;-;-;-;-;7
"210130 Bacuri";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"210135 Bacurituba";-;-;-;-;-;-;-;-;-;-;1;-;-;1
"210140 Balsas";-;-;2;2;20;11;-;1;1;-;2;-;-;39
"210150 Barão de Grajaú";-;-;-;-;-;-;4;9;2;1;-;-;-;16
"210160 Barra do Corda";-;138;44;32;58;82;38;45;24;18;12;27;9;527
"210170 Barreirinhas";-;-;-;2;-;-;1;-;1;-;-;-;-;4
"210210 Brejo";-;-;-;-;2;1;-;-;-;-;-;-;-;3
