DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2016
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"130426 Uarini";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"140005 Alto Alegre";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"140002 Amajari";-;2;1;-;-;-;-;-;-;-;-;-;1;4
"140010 Boa Vista";-;3;4;8;3;2;5;2;8;4;10;1;2;52
"140017 Cantá";-;1;1;-;-;-;-;1;5;6;1;1;-;16
"140020 Caracaraí";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"140023 Caroebe";-;1;7;31;4;1;-;-;-;-;-;-;-;44
"140028 Iracema";-;-;-;-;-;-;-;-;1;-;-;-;-;1
"140030 Mucajaí";-;3;-;1;-;-;1;2;-;-;-;-;-;7
"140045 Pacaraima";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"140047 Rorainópolis";-;-;-;-;-;-;1;-;-;-;-;-;2;3
"140050 São João da Baliza";-;-;-;-;1;-;1;6;10;4;3;-;2;27
"150010 Abaetetuba";-;13;22;13;8;1;5;5;11;7;7;10;8;110
"150013 Abel Figueiredo";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150020 Acará";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150030 Afuá";-;-;-;-;-;-;-;-;-;1;-;-;-;1
"150040 Alenquer";-;57;152;145;107;52;6;-;3;-;-;-;-;522
"150060 Altamira";-;2;2;1;1;-;-;-;-;1;-;1;-;8
"150080 Ananindeua";-;6;10;10;1;-;-;-;-;1;-;-;-;28
"150085 Anapu";-;7;21;14;1;-;-;-;-;-;-;2;-;45
"150095 Aurora do Pará";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150100 Aveiro";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150125 Bannach";-;2;13;1;-;-;-;-;-;-;-;-;-;16
"150130 Barcarena";-;8;29;11;3;5;1;2;6;2;3;1;-;71
"150140 Belém";-;45;74;63;17;5;1;-;1;5;4;1;2;218
"150145 Belterra";-;-;-;-;-;1;-;-;-;-;-;-;-;1
"150150 Benevides";-;1;-;-;1;-;-;-;-;-;-;-;1;3
"150160 Bonito";-;-;-;-;-;-;-;-;-;-;-;-;1;1
"150170 Bragança";-;-;-;-;-;-;-;-;-;-;2;1;-;3
"150172 Brasil Novo";-;-;2;8;8;9;1;-;-;-;-;-;-;28
"150178 Breu Branco";-;-;2;-;-;-;4;-;-;-;-;-;-;6
"150180 Breves";-;13;15;7;5;-;-;-;-;-;-;1;2;43
"150210 Cametá";-;2;4;1;2;1;1;-;-;-;-;-;-;11
"150215 Canaã dos Carajás";-;16;21;5;2;-;-;-;-;-;-;-;7;51
"150220 Capanema";-;-;-;1;1;-;-;1;-;-;-;-;-;3
"150230 Capitão Poço";-;4;-;5;2;-;2;6;5;9;-;3;-;36
"150240 Castanhal";-;4;-;3;-;1;-;-;-;-;-;2;1;11
"150250 Chaves";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150260 Colares";-;-;-;-;-;-;1;-;-;-;1;-;-;2
"150270 Conceição do Araguaia";-;2;-;-;-;-;-;-;-;1;-;1;-;4
"150276 Cumaru do Norte";-;-;1;-;-;-;-;-;-;1;-;-;-;2
"150277 Curionópolis";-;-;-;-;-;8;1;-;-;-;-;-;1;10
"150280 Curralinho";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"150290 Curuçá";-;1;-;-;-;-;-;-;1;-;-;-;-;2
"150293 Dom Eliseu";-;-;1;1;3;-;-;-;-;-;-;-;-;5
"150295 Eldorado do Carajás";-;-;-;-;-;-;-;-;-;-;-;1;-;1
"150304 Floresta do Araguaia";-;-;1;-;1;-;-;-;-;-;-;-;-;2
"150307 Garrafão do Norte";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150310 Gurupá";-;1;9;5;-;-;-;-;-;-;-;-;-;15
"150320 Igarapé-Açu";-;1;3;4;3;2;-;-;-;1;-;-;5;19
"150330 Igarapé-Miri";-;-;2;1;1;-;-;-;-;-;-;-;-;4
"150340 Inhangapi";-;5;1;1;-;-;-;1;-;-;-;-;-;8
"150345 Ipixuna do Pará";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"150350 Irituia";-;-;1;1;-;1;-;-;-;-;-;-;-;3
"150360 Itaituba";-;9;93;121;146;30;2;3;-;1;8;2;1;416
"150370 Itupiranga";-;2;6;1;1;2;4;4;2;1;-;-;-;23
"150375 Jacareacanga";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"150380 Jacundá";-;-;11;19;10;10;2;3;4;5;1;-;-;65
"150390 Juruti";-;-;2;2;1;-;-;-;-;-;-;-;-;5
"150400 Limoeiro do Ajuru";-;-;-;-;1;-;-;-;-;1;-;-;-;2
"150405 Mãe do Rio";-;-;2;1;-;-;-;-;-;-;-;-;-;3
"150420 Marabá";-;1;6;17;10;28;25;34;6;-;4;13;16;160
"150430 Maracanã";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"150442 Marituba";-;1;3;7;-;-;1;-;-;-;-;-;-;12
"150460 Mocajuba";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150470 Moju";-;-;2;1;-;-;-;-;-;-;-;-;-;3
"150475 Mojuí dos Campos";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150480 Monte Alegre";-;69;35;23;25;21;4;2;-;-;-;-;7;186
"150490 Muaná";-;1;-;-;1;-;-;-;-;-;-;-;-;2
"150495 Nova Esperança do Piriá";-;-;-;3;-;1;-;-;-;1;-;-;10;15
"150497 Nova Ipixuna";-;16;8;3;1;14;20;22;6;-;-;-;-;90
"150503 Novo Progresso";-;56;71;12;8;21;2;8;2;9;11;22;21;243
"150506 Novo Repartimento";-;2;9;40;32;14;5;-;1;-;-;1;3;107
"150510 Óbidos";-;-;1;2;5;9;1;3;2;-;3;7;-;33
"150520 Oeiras do Pará";-;-;-;2;-;3;1;-;1;-;-;-;-;7
"150530 Oriximiná";-;70;138;44;15;9;4;2;4;-;1;2;2;291
"150543 Ourilândia do Norte";-;11;7;-;2;3;5;8;3;1;1;-;-;41
"150548 Pacajá";-;23;97;61;22;10;3;-;1;1;-;1;-;219
"150550 Paragominas";-;-;2;-;-;1;1;1;-;-;1;2;-;8
"150553 Parauapebas";-;37;83;44;15;25;22;18;14;19;18;6;24;325
"150555 Pau D'Arco";-;8;14;15;3;-;-;-;-;-;-;-;-;40
"150565 Placas";-;-;1;-;1;-;-;-;-;-;1;-;-;3
"150570 Ponta de Pedras";-;13;12;5;2;-;-;-;-;-;-;-;-;32
"150580 Portel";-;1;4;6;5;1;-;2;1;-;-;-;-;20
"150590 Porto de Moz";-;-;-;2;-;-;-;-;-;-;-;1;-;3
"150600 Prainha";-;12;13;14;7;-;-;-;-;-;-;-;-;46
"150610 Primavera";-;-;-;-;-;-;-;-;2;1;-;-;-;3
"150613 Redenção";-;3;4;1;1;-;-;-;-;-;1;3;5;18
"150618 Rondon do Pará";-;-;4;9;50;47;3;-;1;1;-;-;-;115
"150619 Rurópolis";-;1;-;-;-;1;-;-;-;-;-;-;-;2
"150620 Salinópolis";-;-;2;-;-;-;-;-;3;6;1;-;1;13
"150630 Salvaterra";-;-;1;2;3;-;2;-;-;-;-;-;-;8
"150635 Santa Bárbara do Pará";-;2;1;1;-;-;-;-;-;-;-;-;-;4
"150650 Santa Izabel do Pará";-;6;7;3;1;1;1;-;-;-;-;-;1;20
"150655 Santa Luzia do Pará";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150658 Santa Maria das Barreiras";-;1;1;-;-;-;-;-;-;-;-;-;1;3
"150660 Santa Maria do Pará";-;3;-;-;-;-;-;-;-;1;-;-;-;4
"150670 Santana do Araguaia";-;34;59;31;4;6;2;1;-;-;-;-;3;140
"150680 Santarém";-;1;-;-;-;-;-;-;1;-;-;-;-;2
"150690 Santarém Novo";-;-;-;-;-;1;1;-;-;-;-;-;-;2
"150700 Santo Antônio do Tauá";-;5;2;-;-;-;-;-;-;-;-;-;2;9
"150710 São Caetano de Odivelas";-;-;1;-;-;-;-;-;1;-;-;-;-;2
"150715 São Domingos do Araguaia";-;-;4;3;-;-;-;-;-;-;1;-;-;8
"150720 São Domingos do Capim";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"150730 São Félix do Xingu";-;26;42;31;15;6;8;3;-;-;-;-;1;132
"150745 São Geraldo do Araguaia";-;13;19;6;14;14;13;5;5;2;-;-;-;91
"150747 São João de Pirabas";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"150750 São João do Araguaia";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150780 Senador José Porfírio";-;2;-;7;5;1;1;3;2;-;-;-;-;21
"150790 Soure";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"150795 Tailândia";-;2;5;-;-;-;-;1;1;-;-;-;-;9
"150797 Terra Santa";-;-;-;1;3;-;-;-;-;-;-;-;-;4
"150800 Tomé-Açu";-;16;54;15;-;-;-;-;-;1;-;-;-;86
"150803 Tracuateua";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"150808 Tucumã";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150810 Tucuruí";-;24;29;11;88;64;11;31;33;22;11;4;-;328
"150812 Ulianópolis";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"150820 Vigia";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"150835 Vitória do Xingu";-;-;1;-;1;2;-;-;-;-;-;-;1;5
"150840 Xinguara";-;-;-;-;-;3;1;-;-;-;1;-;29;34
"150000 Município ignorado - PA";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"160010 Amapá";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"160020 Calçoene";-;17;14;21;11;1;2;3;1;2;1;2;1;76
"160023 Ferreira Gomes";-;25;31;44;16;4;1;-;-;-;-;-;1;122
"160027 Laranjal do Jari";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"160030 Macapá";-;31;97;169;156;121;50;51;71;84;51;25;16;922
"160040 Mazagão";-;1;3;-;-;-;3;2;-;-;2;-;-;11
"160050 Oiapoque";-;34;88;122;51;26;8;8;15;13;6;4;4;379
"160015 Pedra Branca do Amapari";-;9;16;1;26;13;9;6;10;2;7;3;1;103
"160053 Porto Grande";-;-;1;-;1;-;-;-;-;-;-;-;-;2
"160060 Santana";-;1;9;12;3;13;5;2;3;8;5;2;1;64
"160005 Serra do Navio";-;1;-;1;12;2;1;-;-;-;-;-;2;19
"160070 Tartarugalzinho";-;12;12;14;6;-;-;1;1;-;-;-;-;46
"170030 Aguiarnópolis";-;-;1;1;6;-;-;-;-;-;-;-;1;9
"170035 Aliança do Tocantins";-;1;-;1;-;-;-;-;-;-;-;-;-;2
"170040 Almas";-;5;11;2;1;2;-;-;-;1;-;-;-;22
"170070 Alvorada";-;-;2;3;2;-;-;-;-;-;-;-;-;7
"170100 Ananás";-;-;-;1;-;4;1;-;-;-;-;-;-;6
"170110 Aparecida do Rio Negro";-;3;2;8;3;3;4;-;-;1;-;2;2;28
"170130 Aragominas";-;6;23;6;1;-;-;-;-;-;-;-;-;36
"170190 Araguacema";-;4;9;4;-;-;-;-;-;-;-;-;-;17
"170200 Araguaçu";-;9;38;45;11;8;2;-;1;-;-;-;2;116
"170210 Araguaína";-;97;165;157;169;120;58;41;16;15;17;41;38;934
"170215 Araguanã";-;-;4;-;-;1;-;-;-;-;-;1;-;6
"170220 Araguatins";-;3;2;-;-;-;-;-;-;-;-;1;1;7
"170240 Arraias";-;3;6;9;-;1;-;-;-;-;-;-;-;19
"170255 Augustinópolis";-;3;11;3;41;10;-;-;-;-;-;-;1;69
"170270 Aurora do Tocantins";-;-;1;9;2;2;-;-;-;-;-;-;-;14
"170290 Axixá do Tocantins";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"170300 Babaçulândia";-;-;2;-;-;-;-;-;-;-;-;-;-;2
"170310 Barrolândia";-;-;1;-;-;-;-;-;-;-;-;1;-;2
"170320 Bernardo Sayão";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"170330 Bom Jesus do Tocantins";-;-;1;-;-;-;-;-;1;-;-;-;-;2
"170360 Brasilândia do Tocantins";-;-;-;2;-;-;-;-;-;-;-;-;-;2
"170370 Brejinho de Nazaré";-;1;1;-;-;-;-;-;-;-;-;-;-;2
"170380 Buriti do Tocantins";-;11;4;7;1;5;-;1;-;-;1;-;-;30
"170382 Cachoeirinha";-;-;14;4;-;-;-;-;-;-;-;-;-;18
"170384 Campos Lindos";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"170386 Cariri do Tocantins";-;-;-;4;-;1;-;-;-;-;-;-;-;5
"170388 Carmolândia";-;1;6;4;2;2;3;2;2;-;1;-;1;24
"170389 Carrasco Bonito";-;-;6;3;1;-;-;-;-;-;-;-;-;10
"170550 Colinas do Tocantins";-;-;-;-;-;-;1;-;-;-;-;1;-;2
"170555 Combinado";-;-;-;1;-;-;1;1;-;-;-;-;-;3
"170560 Conceição do Tocantins";-;-;1;3;3;1;-;-;-;-;-;-;-;8
"170600 Couto Magalhães";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"170610 Cristalândia";-;38;33;7;-;-;-;-;-;-;-;-;5;83
"170625 Crixás do Tocantins";-;-;-;-;2;-;-;-;-;-;-;-;-;2
"170700 Dianópolis";-;48;92;114;55;47;14;4;-;-;-;-;3;377
"170710 Divinópolis do Tocantins";-;55;24;3;-;-;-;1;-;-;-;1;2;86
"170720 Dois Irmãos do Tocantins";-;62;17;-;-;-;-;-;-;-;-;-;1;80
"170740 Esperantina";-;1;-;1;-;2;-;-;-;-;-;-;-;4
"170770 Filadélfia";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"170820 Formoso do Araguaia";-;30;58;91;55;61;13;-;-;-;-;-;1;309
"170830 Goianorte";-;9;-;-;-;-;-;-;-;-;1;-;-;10
"170900 Goiatins";-;-;1;-;-;1;-;-;-;-;-;-;-;2
"170930 Guaraí";-;19;11;6;-;7;1;-;1;-;-;-;-;45
"170950 Gurupi";-;16;53;61;21;12;3;4;1;1;-;2;3;177
"170980 Ipueiras";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"171050 Itacajá";-;2;6;4;-;-;-;-;-;-;-;-;-;12
"171070 Itaguatins";-;-;-;-;3;1;-;-;-;-;-;-;-;4
"171090 Itapiratins";-;-;6;1;-;-;-;-;-;-;-;-;-;7
"171110 Itaporã do Tocantins";-;1;2;3;10;2;-;-;-;-;-;-;-;18
"171150 Jaú do Tocantins";-;-;-;-;-;3;-;-;-;-;-;-;-;3
"171190 Lagoa da Confusão";-;56;167;32;7;2;1;2;2;1;-;-;1;271
"171195 Lagoa do Tocantins";-;-;-;3;-;-;-;-;-;-;-;-;-;3
"171200 Lajeado";-;3;-;1;-;1;-;-;-;-;1;2;1;9
"171240 Lizarda";-;2;1;-;2;-;-;-;-;-;-;-;-;5
"171245 Luzinópolis";-;3;-;-;-;-;-;-;-;-;-;-;-;3
"171250 Marianópolis do Tocantins";-;2;-;-;-;-;-;-;-;-;-;-;1;3
"171280 Maurilândia do Tocantins";-;-;6;2;2;3;2;-;-;-;-;-;-;15
"171320 Miracema do Tocantins";-;72;36;5;-;-;2;-;-;-;-;2;2;119
"171330 Miranorte";-;25;13;3;5;-;-;-;1;-;2;-;3;52
"171360 Monte do Carmo";-;-;-;-;1;-;-;-;-;-;1;-;1;3
"171370 Monte Santo do Tocantins";-;4;1;-;-;-;-;-;-;-;-;-;2;7
"171395 Muricilândia";-;8;19;6;4;3;-;-;-;-;-;-;-;40
"171420 Natividade";-;-;6;1;-;-;-;-;-;-;-;-;-;7
"171430 Nazaré";-;2;1;1;-;-;-;-;-;-;-;-;-;4
"171488 Nova Olinda";-;3;1;3;2;1;-;1;1;1;-;2;1;16
"171500 Nova Rosalândia";-;6;7;1;1;-;-;-;-;-;-;-;-;15
"171510 Novo Acordo";-;-;1;-;-;-;-;-;-;-;-;1;-;2
"171515 Novo Alegre";-;2;4;6;12;7;1;-;-;-;-;-;2;34
"171525 Novo Jardim";-;-;3;2;14;12;1;1;-;-;-;1;2;36
"172100 Palmas";-;391;364;248;191;111;29;12;6;7;7;9;28;1403
"171570 Palmeirante";-;-;-;1;-;-;-;-;-;-;-;-;-;1
"171575 Palmeirópolis";-;3;6;6;-;-;-;-;-;-;-;-;-;15
"171610 Paraíso do Tocantins";-;63;19;10;10;4;1;4;-;-;-;2;9;122
"171620 Paranã";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"171630 Pau D'Arco";-;-;-;-;-;-;1;-;-;-;-;-;-;1
"171650 Pedro Afonso";-;2;1;-;-;-;-;1;-;-;-;-;-;4
"171660 Peixe";-;1;3;-;-;-;-;-;-;-;-;-;-;4
"171700 Pindorama do Tocantins";-;4;5;-;-;-;-;-;-;-;-;1;-;10
"171720 Piraquê";-;1;-;-;-;-;-;-;-;-;-;1;-;2
"171750 Pium";-;27;1;-;-;-;-;-;-;-;-;-;-;28
"171780 Ponte Alta do Bom Jesus";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"171790 Ponte Alta do Tocantins";-;7;21;11;3;1;-;-;-;-;-;-;-;43
"171820 Porto Nacional";-;17;18;13;3;-;-;1;1;-;-;-;2;55
"171830 Praia Norte";-;-;2;3;2;1;-;-;-;-;-;-;-;8
"171840 Presidente Kennedy";-;5;2;-;1;-;-;-;-;-;-;-;-;8
"171855 Riachinho";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"171865 Rio da Conceição";-;1;2;1;-;4;11;1;3;2;3;1;2;31
"171870 Rio dos Bois";-;-;1;1;1;3;-;-;-;-;-;-;1;7
"171875 Rio Sono";-;-;-;-;1;-;-;-;-;-;-;-;-;1
"171880 Sampaio";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"171884 Sandolândia";-;1;-;1;-;-;-;-;-;-;-;-;-;2
"171886 Santa Fé do Araguaia";-;-;2;1;-;-;1;1;-;-;1;2;-;8
"171888 Santa Maria do Tocantins";-;-;1;2;-;1;1;-;-;-;-;-;-;5
"171890 Santa Rosa do Tocantins";-;-;-;1;1;4;-;-;-;-;-;-;-;6
"172010 São Bento do Tocantins";-;-;3;-;-;-;-;-;-;-;-;-;1;4
"172020 São Miguel do Tocantins";-;-;8;3;10;20;5;-;3;1;3;-;-;53
"172025 São Salvador do Tocantins";-;1;3;3;-;-;-;-;-;-;-;-;-;7
"172049 São Valério";-;4;6;2;3;4;-;1;-;-;-;-;2;22
"172065 Silvanópolis";-;2;31;18;5;3;-;-;-;-;-;-;-;59
"172080 Sítio Novo do Tocantins";-;-;1;3;-;-;-;-;-;-;-;-;-;4
"172090 Taguatinga";-;-;1;2;-;3;1;-;-;-;-;-;-;7
"172110 Tocantínia";-;-;2;3;1;-;-;-;-;-;1;1;-;8
"172120 Tocantinópolis";-;90;108;35;11;20;11;1;1;-;-;-;1;278
"172125 Tupirama";-;-;2;3;3;-;-;-;-;-;-;-;-;8
"172208 Wanderlândia";-;-;1;1;-;-;-;-;-;-;-;-;-;2
"172210 Xambioá";-;-;-;4;4;1;-;-;-;-;-;-;-;9
"210005 Açailândia";-;-;-;1;1;-;-;-;-;-;-;-;-;2
"210030 Aldeias Altas";-;-;-;1;-;1;-;-;-;-;-;-;-;2
"210047 Alto Alegre do Pindaré";-;2;-;-;-;-;1;-;-;-;-;-;-;3
"210050 Alto Parnaíba";-;1;1;1;2;-;-;-;-;-;-;1;1;7
"210060 Amarante do Maranhão";-;2;14;5;1;2;-;-;-;-;-;-;-;24
"210110 Axixá";-;1;-;-;-;-;-;-;-;-;-;-;-;1
