DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2020
"Município infecção";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"315680 Sabinópolis";-;1;1;4;4;2;-;-;-;-;-;-;12
"315690 Sacramento";2;9;6;16;22;11;5;3;2;3;2;-;81
"315700 Salinas";4;5;9;5;7;3;1;-;-;-;1;-;35
"315710 Salto da Divisa";-;-;-;-;-;1;1;-;-;-;-;-;2
"315725 Santa Bárbara do Leste";-;-;-;25;5;-;-;-;-;-;-;-;30
"315727 Santa Bárbara do Monte Verde";1;-;-;-;-;-;-;-;-;-;-;-;1
"315733 Santa Cruz de Minas";-;2;4;7;5;-;-;-;-;-;1;-;19
"315737 Santa Cruz de Salinas";-;1;-;1;3;-;-;-;-;-;-;-;5
"315750 Santa Efigênia de Minas";-;-;-;-;-;-;-;-;-;-;1;-;1
"315760 Santa Fé de Minas";-;-;4;11;-;-;-;-;-;-;-;-;15
"315770 Santa Juliana";6;4;14;4;13;11;9;1;3;3;1;2;71
"315780 Santa Luzia";1;6;29;22;13;16;5;1;-;-;-;1;94
"315790 Santa Margarida";-;1;2;8;8;3;3;-;-;-;-;-;25
"315800 Santa Maria de Itabira";-;-;8;16;6;2;-;-;-;-;-;-;32
"315820 Santa Maria do Suaçuí";-;-;-;3;2;-;3;5;4;1;-;9;27
"315950 Santa Rita do Itueto";-;-;-;1;-;-;-;-;-;1;1;-;3
"315960 Santa Rita do Sapucaí";-;-;2;1;2;-;-;-;-;-;1;-;6
"315970 Santa Rosa da Serra";-;-;-;-;-;-;-;-;-;-;-;1;1
"315980 Santa Vitória";5;7;5;7;5;-;1;3;-;1;-;1;35
"315830 Santana da Vargem";-;3;-;1;3;-;-;-;-;-;-;-;7
"315850 Santana de Pirapama";2;2;6;18;12;5;3;-;3;1;-;3;55
"315880 Santana do Jacaré";2;4;7;17;6;2;-;-;-;-;-;-;38
"315890 Santana do Manhuaçu";-;2;1;5;3;-;-;-;-;-;-;-;11
"315895 Santana do Paraíso";3;9;11;12;18;5;-;3;4;2;3;2;72
"315900 Santana do Riacho";-;-;-;1;-;-;-;-;-;-;-;-;1
"315990 Santo Antônio do Amparo";-;-;-;-;1;-;-;-;-;-;-;-;1
"316010 Santo Antônio do Grama";3;38;13;-;-;-;-;-;-;-;-;-;54
"316030 Santo Antônio do Jacinto";-;2;1;1;-;1;-;-;-;-;-;-;5
"316040 Santo Antônio do Monte";38;76;137;165;87;6;-;3;-;-;1;9;522
"316045 Santo Antônio do Retiro";-;-;-;1;-;-;-;-;-;-;-;-;1
"316095 São Domingos das Dores";-;-;-;1;-;-;-;-;-;-;-;-;1
"316100 São Domingos do Prata";-;-;-;-;-;1;-;-;-;-;-;-;1
"316105 São Félix de Minas";-;1;-;1;-;-;-;-;-;-;-;-;2
"316110 São Francisco";-;-;1;1;-;-;-;-;-;-;-;-;2
"316130 São Francisco de Sales";-;2;1;-;-;-;1;1;-;-;-;-;5
"316160 São Geraldo da Piedade";-;-;3;58;19;5;-;-;-;-;-;-;85
"316165 São Geraldo do Baixio";8;1;1;-;-;-;-;-;-;-;3;14;27
"316170 São Gonçalo do Abaeté";1;-;1;-;-;-;-;-;-;-;-;-;2
"316180 São Gonçalo do Pará";2;1;2;2;-;-;-;-;-;-;-;-;7
"316190 São Gonçalo do Rio Abaixo";-;1;-;-;1;-;1;-;1;-;-;1;5
"312550 São Gonçalo do Rio Preto";1;-;3;1;-;-;-;-;1;-;-;-;6
"316200 São Gonçalo do Sapucaí";-;1;2;5;7;-;-;-;-;1;-;-;16
"316210 São Gotardo";-;12;53;14;7;4;6;2;1;2;3;-;104
"316220 São João Batista do Glória";-;2;18;20;7;4;1;-;-;-;-;-;52
"316240 São João da Ponte";1;1;1;1;-;1;-;2;-;1;-;2;10
"316245 São João das Missões";1;-;-;-;-;-;-;-;-;-;-;-;1
"316250 São João del Rei";3;8;15;10;9;3;3;-;1;2;2;2;58
"316257 São João do Manteninha";2;2;27;17;10;6;4;1;-;-;-;2;71
"316260 São João do Oriente";-;-;11;9;1;-;-;-;-;1;-;-;22
"316265 São João do Pacuí";-;-;-;-;4;-;4;-;-;-;-;-;8
"316270 São João do Paraíso";-;-;2;-;-;-;-;-;-;-;1;-;3
"316280 São João Evangelista";-;-;1;1;-;-;-;-;-;-;-;-;2
"316290 São João Nepomuceno";-;2;-;4;2;-;-;-;1;-;-;-;9
"316294 São José da Barra";1;-;-;-;1;-;-;-;-;-;-;-;2
"316295 São José da Lapa";1;6;15;7;6;1;-;-;-;1;-;-;37
"316300 São José da Safira";2;-;-;-;-;-;-;-;-;-;-;-;2
"316310 São José da Varginha";81;22;4;-;-;-;-;-;-;-;-;4;111
"316320 São José do Alegre";-;-;-;-;1;-;-;-;-;-;-;-;1
"316330 São José do Divino";-;-;2;11;2;-;-;-;-;-;-;-;15
"316340 São José do Goiabal";2;44;71;6;2;-;1;-;-;1;7;8;142
"316350 São José do Jacuri";-;-;-;4;-;1;-;-;-;-;-;-;5
"316360 São José do Mantimento";-;-;1;2;3;-;-;-;-;-;-;-;6
"316370 São Lourenço";7;23;23;58;30;2;-;-;1;-;-;-;144
"316400 São Pedro dos Ferros";192;78;2;3;-;-;1;-;-;-;-;10;286
"316450 São Sebastião do Maranhão";1;-;-;-;-;-;-;-;-;-;-;-;1
"316460 São Sebastião do Oeste";-;-;1;-;-;-;-;-;-;-;-;-;1
"316470 São Sebastião do Paraíso";4;7;18;43;29;2;-;-;1;1;-;-;105
"316520 São Thomé das Letras";1;-;1;-;-;-;-;-;-;-;-;-;2
"316500 São Tiago";6;1;2;-;-;1;-;-;-;-;-;-;10
"316510 São Tomás de Aquino";-;1;5;1;1;-;-;2;3;1;-;-;14
"316530 São Vicente de Minas";-;1;-;-;-;-;-;-;-;-;1;-;2
"316550 Sardoá";2;-;-;-;-;-;-;-;-;-;-;-;2
"316553 Sarzedo";-;-;-;1;1;-;-;-;1;-;-;-;3
"316570 Senador Firmino";2;3;3;4;1;1;-;-;-;-;-;-;14
"316590 Senador Modestino Gonçalves";-;-;-;15;13;1;-;-;-;-;-;-;29
"316600 Senhora de Oliveira";-;-;1;-;-;-;-;-;-;-;-;-;1
"316630 Sericita";-;-;-;-;-;-;1;-;-;-;-;-;1
"316680 Serra do Salitre";1;1;7;11;8;1;2;-;1;-;-;-;32
"316670 Serra dos Aimorés";-;-;1;-;1;3;1;-;-;-;1;-;7
"316690 Serrania";-;-;1;-;2;-;-;-;-;-;-;-;3
"316695 Serranópolis de Minas";-;-;1;-;-;-;-;-;-;-;-;-;1
"316710 Serro";-;-;2;2;2;-;-;1;1;-;-;-;8
"316720 Sete Lagoas";24;103;151;227;128;6;1;3;1;1;1;1;647
"316555 Setubinha";-;2;1;2;4;1;4;2;1;1;3;-;21
"316730 Silveirânia";-;-;1;1;-;-;1;-;-;-;-;-;3
"316760 Simonésia";-;1;-;3;-;1;-;-;-;-;-;-;5
"316780 Soledade de Minas";-;-;-;7;5;-;-;-;-;-;-;-;12
"316790 Tabuleiro";-;-;1;1;-;-;-;-;-;-;-;3;5
"316800 Taiobeiras";1;2;2;3;1;1;-;1;3;3;1;-;18
"316805 Taparuba";5;23;9;7;1;-;-;-;-;-;1;-;46
"316820 Tapiraí";-;-;-;2;-;-;-;-;-;-;-;-;2
"316830 Taquaraçu de Minas";-;-;-;1;-;1;-;-;-;-;-;-;2
"316840 Tarumirim";-;-;-;10;23;1;-;-;-;-;-;-;34
"316860 Teófilo Otoni";5;86;145;236;101;39;8;1;3;1;-;4;629
"316870 Timóteo";24;40;108;135;72;28;1;3;5;13;1;1;431
"316880 Tiradentes";-;1;-;-;1;-;-;-;-;-;-;-;2
"316890 Tiros";4;17;57;44;23;4;1;-;-;-;-;-;150
"316900 Tocantins";136;8;14;-;-;-;-;-;-;-;-;2;160
"316930 Três Corações";-;-;7;3;1;-;1;-;-;-;-;1;13
"316935 Três Marias";-;-;-;-;-;-;-;3;-;-;-;-;3
"316940 Três Pontas";-;-;2;5;1;2;-;-;1;-;-;-;11
"316950 Tumiritinga";41;15;20;17;17;5;-;-;-;-;-;34;149
"316970 Turmalina";4;2;14;30;35;23;16;4;6;4;3;4;145
"316990 Ubá";120;328;306;192;123;51;46;29;19;12;9;6;1241
"317000 Ubaí";-;3;5;1;1;-;-;-;-;-;-;-;10
"317005 Ubaporanga";-;9;32;81;36;1;-;-;-;-;-;-;159
"317010 Uberaba";45;54;48;67;39;6;3;1;1;-;2;6;272
"317020 Uberlândia";3;4;-;-;2;1;1;-;-;-;1;1;13
"317030 Umburatiba";-;-;-;-;7;1;-;-;-;-;-;-;8
"317040 Unaí";4;-;2;1;1;-;-;2;-;-;-;-;10
"317043 União de Minas";-;-;1;2;5;2;-;-;-;-;-;-;10
"317047 Uruana de Minas";-;-;-;-;-;-;-;-;1;-;-;-;1
"317052 Urucuia";1;2;-;6;8;5;4;1;-;-;-;-;27
"317057 Vargem Alegre";-;2;5;19;35;19;4;-;-;1;-;-;85
"317070 Varginha";1;5;18;25;11;1;1;1;-;-;1;-;64
"317075 Varjão de Minas";-;-;2;3;19;9;1;2;-;-;-;-;36
"317080 Várzea da Palma";14;19;29;18;22;15;4;8;4;1;2;10;146
"317090 Varzelândia";-;4;-;-;-;1;-;-;-;-;-;-;5
"317100 Vazante";12;15;22;15;7;2;4;5;3;1;-;-;86
"317103 Verdelândia";-;-;-;-;1;-;-;-;-;-;-;-;1
"317107 Veredinha";-;-;-;-;-;-;1;-;-;-;-;-;1
"317110 Veríssimo";4;1;1;1;-;-;-;-;-;-;-;-;7
"317120 Vespasiano";-;-;1;2;1;1;-;-;-;-;-;-;5
"317130 Viçosa";3;-;4;5;1;-;-;2;1;2;-;-;18
"317160 Virgem da Lapa";-;3;12;23;39;15;11;5;1;-;-;-;109
"317170 Virgínia";-;-;-;5;-;-;-;-;-;-;-;-;5
"317180 Virginópolis";-;-;-;-;-;-;-;-;-;1;-;-;1
"317190 Virgolândia";-;4;18;11;13;3;-;-;-;-;-;-;49
"317200 Visconde do Rio Branco";10;17;24;56;18;5;2;1;-;-;1;-;134
"320010 Afonso Cláudio";1;-;-;-;-;-;-;-;-;-;-;-;1
"320020 Alegre";1;1;1;-;-;-;-;-;-;-;-;-;3
"320035 Alto Rio Novo";-;-;2;-;-;-;-;-;-;-;-;-;2
"320060 Aracruz";1;1;-;-;-;-;-;-;-;-;-;-;2
"320080 Baixo Guandu";1;-;-;-;-;-;-;-;-;-;-;-;1
"320090 Barra de São Francisco";2;2;1;-;-;-;-;-;-;-;-;-;5
"320100 Boa Esperança";1;-;-;-;-;-;-;-;-;-;-;-;1
"320110 Bom Jesus do Norte";1;-;-;-;-;-;-;-;-;-;-;-;1
"320120 Cachoeiro de Itapemirim";-;-;-;-;-;-;-;-;-;-;-;7;7
"320130 Cariacica";26;8;5;-;-;-;-;-;-;-;1;2;42
"320150 Colatina";-;-;2;-;1;-;-;-;-;-;-;-;3
"320160 Conceição da Barra";1;-;-;-;-;-;-;-;-;-;-;-;1
"320210 Ecoporanga";-;1;-;-;-;-;-;-;-;-;-;-;1
"320230 Guaçuí";1;-;-;-;-;-;-;-;-;-;-;-;1
"320240 Guarapari";6;1;-;-;-;-;-;-;-;1;-;-;8
"320250 Ibiraçu";1;-;-;-;-;-;-;-;-;-;-;-;1
"320280 Itapemirim";5;-;-;-;-;-;-;-;-;-;-;-;5
"320320 Linhares";1;-;2;1;-;1;-;-;-;-;1;52;58
"320330 Mantenópolis";-;-;1;-;-;-;-;-;-;-;-;-;1
"320334 Marechal Floriano";-;-;-;-;-;-;-;-;-;-;-;1;1
"320420 Piúma";1;-;-;-;-;-;-;-;-;-;-;-;1
"320450 Santa Leopoldina";2;-;-;-;-;-;-;-;-;-;-;-;2
"320470 São Gabriel da Palha";1;-;-;-;-;-;-;-;-;-;-;-;1
"320480 São José do Calçado";-;1;-;-;-;-;-;-;-;-;-;-;1
"320490 São Mateus";4;2;-;-;-;-;-;-;-;-;-;-;6
"320500 Serra";16;9;5;-;-;-;-;-;-;-;-;65;95
"320503 Vargem Alta";-;1;-;-;-;-;-;-;-;-;-;-;1
"320510 Viana";-;-;1;-;-;-;-;-;-;-;-;-;1
"320517 Vila Valério";1;-;-;-;1;-;-;-;-;-;-;-;2
"320520 Vila Velha";19;3;6;-;-;-;-;-;-;-;1;1;30
"320530 Vitória";2429;2282;1478;59;-;-;-;1;-;-;-;292;6541
"330010 Angra dos Reis";1;-;2;-;-;-;-;-;-;-;-;-;3
"330015 Aperibé";19;-;-;-;-;-;1;1;-;3;6;15;45
"330023 Armação dos Búzios";1;-;-;-;-;-;-;-;-;-;-;-;1
"330025 Arraial do Cabo";-;-;1;-;-;-;-;-;-;-;-;-;1
"330030 Barra do Piraí";-;-;1;-;-;-;-;-;-;-;-;-;1
"330040 Barra Mansa";2;4;5;3;4;2;2;1;2;-;-;2;27
"330045 Belford Roxo";-;-;-;-;-;-;-;-;-;-;-;1;1
"330060 Bom Jesus do Itabapoana";11;6;1;-;1;-;-;-;-;-;-;1;20
"330070 Cabo Frio";3;2;-;-;-;-;-;-;-;-;1;1;7
"330080 Cachoeiras de Macacu";-;-;-;1;-;-;-;-;-;-;-;-;1
"330090 Cambuci";1;2;-;-;-;-;-;-;-;-;-;-;3
"330100 Campos dos Goytacazes";2;1;2;-;-;2;-;-;-;-;-;2;9
"330093 Carapebus";-;1;-;-;-;1;-;-;-;-;-;-;2
"330115 Cardoso Moreira";-;-;-;-;1;-;-;-;-;-;-;-;1
"330120 Carmo";1;-;-;-;-;-;-;-;-;-;-;-;1
"330130 Casimiro de Abreu";-;1;1;-;7;4;1;3;-;-;2;2;21
"330150 Cordeiro";-;1;1;1;-;-;-;-;-;-;-;-;3
"330160 Duas Barras";-;-;1;1;-;-;-;-;-;-;-;-;2
"330170 Duque de Caxias";4;1;2;-;-;-;-;1;-;-;1;6;15
"330190 Itaboraí";4;-;-;-;-;-;-;-;-;-;-;-;4
"330200 Itaguaí";1;-;1;-;-;-;-;-;-;-;-;-;2
"330205 Italva";-;-;3;13;4;-;-;-;-;-;-;-;20
"330220 Itaperuna";2;4;1;-;6;3;4;6;8;5;6;9;54
"330225 Itatiaia";5;2;4;1;1;-;7;-;-;1;1;-;22
"330227 Japeri";-;-;-;-;1;-;-;-;-;-;-;-;1
"330240 Macaé";4;1;4;4;14;9;5;-;-;-;-;1;42
"330250 Magé";1;1;-;-;-;-;-;-;-;-;-;-;2
"330260 Mangaratiba";2;-;-;-;1;-;-;1;-;-;-;1;5
"330270 Maricá";1;1;-;-;-;-;-;-;-;-;-;-;2
"330285 Mesquita";-;-;-;-;1;-;-;-;-;-;-;-;1
"330300 Miracema";-;1;-;-;-;-;-;-;-;-;-;-;1
"330310 Natividade";-;-;1;-;-;-;-;-;-;-;-;-;1
"330320 Nilópolis";-;-;-;-;-;-;1;-;1;1;-;-;3
"330330 Niterói";-;-;1;-;-;-;-;1;-;-;-;1;3
"330340 Nova Friburgo";1;1;1;-;-;1;-;-;-;1;-;-;5
"330350 Nova Iguaçu";-;1;-;-;-;-;-;-;-;-;-;-;1
"330360 Paracambi";-;-;-;-;-;1;-;-;-;-;-;-;1
"330380 Paraty";5;3;5;10;7;4;-;-;1;-;-;-;35
"330385 Paty do Alferes";-;-;-;1;-;-;-;-;-;-;-;-;1
"330395 Pinheiral";12;19;9;-;1;-;-;-;-;-;-;3;44
"330400 Piraí";-;-;1;-;-;-;-;-;-;-;-;-;1
"330410 Porciúncula";2;1;3;1;-;-;-;-;-;1;-;-;8
"330411 Porto Real";-;-;1;1;1;-;-;-;-;-;-;-;3
"330412 Quatis";-;-;1;-;-;-;-;-;-;-;-;-;1
"330414 Queimados";-;-;-;-;-;-;-;1;-;-;-;-;1
"330420 Resende";3;11;9;5;9;1;1;-;-;-;-;-;39
"330430 Rio Bonito";1;-;-;-;-;-;-;-;-;-;-;-;1
"330450 Rio das Flores";1;-;1;-;-;-;-;-;-;-;-;-;2
"330452 Rio das Ostras";1;-;-;1;-;-;6;-;-;-;-;-;8
"330455 Rio de Janeiro";199;130;79;42;25;12;23;17;14;18;9;35;603
"330470 Santo Antônio de Pádua";4;1;-;-;-;-;-;-;-;-;-;1;6
"330480 São Fidélis";1;4;1;-;-;-;-;-;-;-;-;-;6
"330475 São Francisco de Itabapoana";1;1;-;-;-;-;-;-;-;-;-;-;2
"330515 São José do Vale do Rio Preto";-;-;-;1;-;-;-;-;-;-;-;-;1
"330520 São Pedro da Aldeia";-;1;1;-;-;1;-;-;-;-;-;-;3
"330540 Sapucaia";-;-;-;1;-;-;-;-;-;-;-;-;1
"330550 Saquarema";1;2;-;1;-;-;1;-;-;-;-;-;5
"330555 Seropédica";-;-;-;-;-;2;-;-;-;-;-;-;2
"330575 Tanguá";-;2;-;-;-;2;1;-;-;-;-;-;5
"330580 Teresópolis";2;1;1;-;-;1;-;-;-;-;-;-;5
"330600 Três Rios";-;-;-;-;-;-;-;-;1;-;-;-;1
"330620 Vassouras";8;85;-;-;-;1;2;2;-;-;-;-;98
"330630 Volta Redonda";13;18;24;1;-;-;-;-;-;-;-;2;58
"350010 Adamantina";169;311;306;171;62;18;9;5;3;1;1;4;1060
"350020 Adolfo";1;-;-;1;2;-;-;-;-;-;-;1;5
"350030 Aguaí";459;732;513;82;28;9;3;-;-;3;1;31;1861
"350040 Águas da Prata";-;-;3;3;2;-;-;-;-;-;-;-;8
"350050 Águas de Lindóia";1;-;1;-;-;-;-;-;-;-;-;-;2
"350055 Águas de Santa Bárbara";-;1;1;1;-;-;-;-;-;-;-;-;3
"350060 Águas de São Pedro";-;6;3;10;1;-;-;-;-;-;-;-;20
"350070 Agudos";-;1;4;2;2;4;6;-;-;-;2;1;22
"350080 Alfredo Marcondes";4;17;18;15;17;11;3;-;-;-;-;-;85
"350090 Altair";-;-;1;-;-;-;-;-;1;-;-;-;2
"350100 Altinópolis";1;6;5;-;2;-;-;-;-;-;-;-;14
"350110 Alto Alegre";1;3;8;4;4;-;1;-;1;-;-;-;22
"350115 Alumínio";-;1;-;-;-;-;-;-;-;-;-;-;1
"350120 Álvares Florence";20;20;6;2;4;-;-;-;-;-;-;1;53
"350130 Álvares Machado";15;55;91;127;92;24;3;-;-;-;4;3;414
"350140 Álvaro de Carvalho";-;1;1;-;-;7;-;-;-;1;-;-;10
"350150 Alvinlândia";-;6;4;5;3;-;-;-;-;-;-;-;18
"350160 Americana";48;88;134;115;90;96;50;15;11;11;13;9;680
"350170 Américo Brasiliense";2;5;-;-;1;-;-;-;-;-;-;-;8
"350180 Américo de Campos";157;70;14;4;-;-;-;-;-;-;-;13;258
"350190 Amparo";-;1;1;15;11;4;1;-;1;-;-;-;34
"350200 Analândia";1;1;4;8;2;-;-;-;-;1;-;1;18
"350210 Andradina";33;28;11;3;80;16;43;-;4;-;-;6;224
"350220 Angatuba";-;-;1;-;-;-;-;-;-;-;-;-;1
"350230 Anhembi";-;1;1;1;2;-;-;-;-;-;-;-;5
"350240 Anhumas";-;-;1;1;1;-;-;-;-;-;-;-;3
"350250 Aparecida";213;311;116;32;20;12;4;-;-;2;1;8;719
"350260 Aparecida d'Oeste";1;2;-;7;3;-;-;-;-;-;-;-;13
"350270 Apiaí";-;-;-;-;-;-;-;-;-;-;-;1;1
"350275 Araçariguama";-;-;1;-;-;-;-;-;-;-;-;-;1
"350280 Araçatuba";109;215;100;42;17;4;13;7;9;6;8;10;540
"350290 Araçoiaba da Serra";-;1;-;-;-;-;-;-;-;-;-;-;1
"350300 Aramina";-;5;2;-;-;-;-;-;-;-;-;-;7
"350315 Arapeí";-;-;-;4;-;-;-;-;-;-;-;-;4
"350320 Araraquara";43;40;39;24;13;3;9;5;3;3;4;8;194
"350330 Araras";76;219;204;212;101;23;7;4;1;3;2;7;859
"350335 Arco-Íris";-;-;8;11;12;1;-;-;-;-;-;-;32
"350340 Arealva";2;-;-;-;-;-;-;-;-;-;-;-;2
"350350 Areias";-;1;3;8;7;-;-;-;-;-;-;-;19
"350370 Ariranha";149;103;21;8;3;4;1;-;1;-;-;12;302
"350380 Artur Nogueira";3;7;24;31;8;2;1;1;-;-;-;1;78
"350390 Arujá";2;1;2;-;-;-;-;-;-;-;-;1;6
"350395 Aspásia";1;2;1;2;-;1;-;-;1;-;-;-;8
"350400 Assis";32;159;222;263;101;29;6;9;6;3;5;7;842
"350410 Atibaia";24;7;7;23;17;20;13;9;4;2;-;4;130
"350420 Auriflama";15;24;29;16;23;14;9;7;4;6;3;9;159
"350430 Avaí";-;-;1;1;-;-;-;-;-;1;2;-;5
"350440 Avanhandava";1;4;16;18;2;1;-;-;-;3;2;-;47
"350450 Avaré";2;1;7;-;1;-;-;-;-;-;-;-;11
"350460 Bady Bassitt";10;18;3;3;1;3;1;-;2;-;-;2;43
"350480 Bálsamo";1;4;3;3;1;-;-;-;-;-;-;-;12
"350490 Bananal";-;-;-;-;-;-;1;-;-;-;-;-;1
"350500 Barão de Antonina";-;-;6;6;-;-;-;-;-;-;-;-;12
"350510 Barbosa";-;-;-;-;-;1;6;2;2;2;4;4;21
"350520 Bariri";4;12;7;36;22;4;9;2;1;1;1;-;99
"350530 Barra Bonita";2;4;1;-;-;-;-;-;-;-;-;-;7
"350540 Barra do Turvo";-;70;57;19;5;1;-;-;-;-;-;-;152
"350550 Barretos";10;13;13;8;3;7;-;1;1;2;-;4;62
"350560 Barrinha";-;3;2;1;-;-;-;-;-;-;-;-;6
"350570 Barueri";-;2;2;4;1;1;-;-;-;-;-;-;10
"350580 Bastos";155;474;110;7;3;3;4;-;2;4;4;6;772
"350590 Batatais";1;4;13;7;1;-;-;1;-;-;-;-;27
"350600 Bauru";159;209;138;52;55;39;42;31;38;21;24;20;828
"350610 Bebedouro";10;48;71;46;35;13;3;1;-;-;-;-;227
"350620 Bento de Abreu";4;13;5;5;8;-;-;-;-;1;-;-;36
"350630 Bernardino de Campos";1;2;-;-;-;2;-;-;-;-;-;-;5
"350635 Bertioga";4;8;9;7;9;2;4;1;3;1;2;-;50
"350640 Bilac";10;17;11;7;1;1;5;1;1;1;1;1;57
"350650 Birigui";66;127;154;65;40;20;17;8;5;7;4;9;522
"350660 Biritiba-Mirim";-;1;-;-;-;-;-;-;-;-;-;-;1
"350670 Boa Esperança do Sul";-;5;-;-;-;1;-;-;-;-;-;-;6
"350680 Bocaina";3;-;3;1;1;5;6;2;8;5;2;3;39
"350700 Boituva";-;10;18;18;11;-;1;-;1;-;1;2;62
"350710 Bom Jesus dos Perdões";-;-;-;-;-;-;4;1;-;-;-;-;5
"350720 Borá";-;1;-;-;-;-;-;-;-;-;-;-;1
"350730 Boracéia";-;1;1;-;-;-;-;-;-;-;-;-;2
"350740 Borborema";18;36;19;13;14;2;-;-;-;1;-;-;103
"350750 Botucatu";1;10;2;5;-;2;1;-;-;-;-;2;23
"350760 Bragança Paulista";6;15;24;61;60;12;7;2;-;-;3;-;190
"350770 Braúna";1;-;-;1;-;-;-;-;-;-;-;-;2
"350775 Brejo Alegre";1;3;14;6;4;-;-;-;-;-;-;-;28
"350780 Brodowski";-;-;1;-;1;-;-;1;-;-;-;-;3
"350790 Brotas";23;80;108;41;9;1;-;1;-;-;-;1;264
"350810 Buritama";56;124;163;102;55;22;14;21;2;-;1;5;565
"350820 Buritizal";-;1;-;-;-;-;-;-;-;-;-;-;1
"350840 Cabreúva";-;3;3;6;11;6;-;-;-;-;1;-;30
"350850 Caçapava";4;17;20;24;23;3;4;2;2;1;-;-;100
"350860 Cachoeira Paulista";45;136;163;87;29;5;-;-;1;-;-;-;466
"350870 Caconde";-;2;2;4;6;1;-;-;-;-;1;-;16
"350880 Cafelândia";2;1;12;12;9;2;-;1;-;1;7;5;52
"350890 Caiabu";-;-;-;1;-;-;-;-;-;-;-;-;1
"350900 Caieiras";1;-;-;-;-;-;-;-;-;-;-;-;1
"350910 Caiuá";128;32;-;6;-;1;-;-;-;-;-;29;196
"350920 Cajamar";-;7;2;1;3;7;-;-;1;-;-;-;21
"350925 Cajati";36;79;10;4;1;-;-;-;-;-;-;2;132
"350930 Cajobi";1;3;11;8;8;1;-;-;-;-;-;-;32
"350940 Cajuru";2;11;22;19;12;-;-;-;-;-;-;-;66
"350945 Campina do Monte Alegre";-;-;-;3;1;-;-;-;-;-;-;-;4
"350950 Campinas";190;522;731;596;459;219;34;13;14;9;3;10;2800
"350960 Campo Limpo Paulista";2;1;-;-;-;1;-;-;-;-;-;-;4
"350970 Campos do Jordão";2;-;-;-;-;-;-;-;1;-;-;-;3
"350980 Campos Novos Paulista";-;-;5;2;-;-;-;-;-;-;-;-;7
"350990 Cananéia";-;1;1;3;1;-;-;-;-;-;-;-;6
"350995 Canas";3;25;19;4;2;-;-;-;-;-;-;1;54
"351000 Cândido Mota";8;32;95;76;55;11;-;1;1;2;1;3;285
"351010 Cândido Rodrigues";1;10;2;4;-;-;-;1;-;1;-;-;19
"351015 Canitar";1;17;15;8;6;-;1;1;1;-;1;-;51
"351020 Capão Bonito";1;-;1;-;-;-;-;-;-;-;-;-;2
"351030 Capela do Alto";-;1;6;-;1;-;1;-;-;-;-;-;9
"351040 Capivari";4;3;2;1;1;2;-;-;-;2;-;-;15
"351050 Caraguatatuba";9;8;8;3;1;2;2;1;1;-;1;-;36
"351060 Carapicuíba";1;3;4;2;3;1;-;-;-;-;-;2;16
"351070 Cardoso";45;37;34;48;5;5;-;-;-;3;1;2;180
"351080 Casa Branca";45;166;191;185;71;23;2;5;1;7;8;8;712
"351090 Cássia dos Coqueiros";-;4;5;2;-;-;-;-;-;-;-;-;11
"351100 Castilho";24;94;128;46;14;17;5;6;5;13;13;23;388
"351110 Catanduva";2503;2908;1040;324;106;24;27;4;1;4;1;140;7082
"351120 Catiguá";6;13;2;2;-;-;-;-;-;-;-;-;23
"351130 Cedral";5;7;5;8;6;10;3;-;3;2;1;1;51
"351140 Cerqueira César";-;2;-;3;2;-;-;-;-;-;-;-;7
"351150 Cerquilho";1;4;8;-;3;-;7;-;1;-;1;-;25
"351160 Cesário Lange";-;-;-;1;-;-;-;-;-;-;-;-;1
"351170 Charqueada";-;8;13;34;8;-;-;-;-;-;1;-;64
"355720 Chavantes";-;2;3;4;-;-;-;-;-;-;-;-;9
"351190 Clementina";5;11;64;18;11;-;-;-;-;-;-;-;109
"351210 Colômbia";1;-;3;3;1;-;1;-;-;-;-;-;9
"351220 Conchal";452;486;178;50;10;12;16;4;1;-;-;30;1239
"351230 Conchas";-;-;-;1;-;-;1;-;1;-;-;-;3
"351240 Cordeirópolis";7;43;145;166;53;6;5;-;1;1;-;-;427
"351250 Coroados";-;-;1;5;-;-;-;-;-;-;1;-;7
"351260 Coronel Macedo";-;-;-;-;-;1;1;-;-;-;-;-;2
"351270 Corumbataí";-;1;-;1;2;1;-;-;-;-;-;-;5
"351280 Cosmópolis";1;10;14;17;11;6;-;1;-;-;-;-;60
"351290 Cosmorama";29;22;-;-;1;-;-;-;-;-;-;1;53
"351300 Cotia";1;3;6;4;-;-;2;1;2;-;-;-;19
"351310 Cravinhos";13;45;44;18;13;3;-;-;-;1;1;-;138
"351330 Cruzália";1;-;-;-;-;-;-;-;-;-;-;-;1
"351340 Cruzeiro";1030;1822;809;226;71;20;8;1;5;4;1;16;4013
"351350 Cubatão";9;46;7;7;3;2;1;-;2;-;-;3;80
"351370 Descalvado";1;2;1;-;-;-;-;-;1;-;-;1;6
"351380 Diadema";1;1;4;6;-;1;-;1;-;-;-;2;16
"351385 Dirce Reis";4;10;7;8;3;1;-;-;-;-;-;-;33
"351400 Dobrada";1;4;7;3;-;-;-;-;1;2;1;-;19
