DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2017
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"120020 Cruzeiro do Sul";515;-;-;-;-;515
"120025 Epitaciolândia";4;-;-;-;-;4
"120033 Mâncio Lima";3;1;-;-;-;4
"120034 Manoel Urbano";1;-;-;-;-;1
"120038 Plácido de Castro";14;-;-;-;-;14
"120040 Rio Branco";22;-;-;-;-;22
"120042 Rodrigues Alves";12;-;-;-;-;12
"120045 Senador Guiomard";3;-;-;-;-;3
"130002 Alvarães";1;-;-;-;-;1
"130040 Barcelos";2;-;-;-;-;2
"130060 Benjamin Constant";5;-;-;-;-;5
"130063 Beruri";2;-;-;-;-;2
"130068 Boa Vista do Ramos";6;-;-;-;-;6
"130080 Borba";4;-;-;-;-;4
"130100 Carauari";22;-;-;-;-;22
"130120 Coari";201;11;-;-;-;212
"130130 Codajás";33;-;-;-;-;33
"130165 Guajará";60;-;-;-;-;60
"130170 Humaitá";47;-;-;-;-;47
"130185 Iranduba";5;-;-;-;-;5
"130190 Itacoatiara";18;-;-;-;-;18
"130195 Itamarati";1;-;-;-;-;1
"130200 Itapiranga";1;-;-;-;-;1
"130210 Japurá";1;-;-;-;-;1
"130240 Lábrea";5;-;-;-;-;5
"130250 Manacapuru";14;-;-;-;-;14
"130260 Manaus";328;-;-;-;-;328
"130280 Maraã";1;-;-;-;-;1
"130290 Maués";38;-;-;-;-;38
"130310 Nova Olinda do Norte";3;-;-;-;-;3
"130320 Novo Airão";5;-;-;-;-;5
"130330 Novo Aripuanã";21;-;-;-;-;21
"130340 Parintins";20;-;-;-;-;20
"130380 São Gabriel da Cachoeira";61;-;-;-;-;61
"130406 Tabatinga";30;-;-;-;-;30
"130410 Tapauá";9;-;-;-;-;9
"130420 Tefé";286;13;1;-;-;300
"140005 Alto Alegre";1;-;-;-;-;1
"140010 Boa Vista";129;-;-;-;-;129
"140015 Bonfim";4;-;-;-;-;4
"140017 Cantá";4;-;-;-;-;4
"140020 Caracaraí";7;-;-;-;-;7
"140023 Caroebe";2;-;-;-;-;2
"140028 Iracema";1;-;-;-;-;1
"140047 Rorainópolis";4;-;-;-;-;4
"140050 São João da Baliza";1;-;-;-;-;1
"140060 São Luiz";1;-;-;-;-;1
"150010 Abaetetuba";119;18;-;-;-;137
"150013 Abel Figueiredo";6;-;-;-;-;6
"150030 Afuá";2;-;-;-;-;2
"150034 Água Azul do Norte";1;-;-;-;-;1
"150040 Alenquer";41;-;-;-;-;41
"150050 Almeirim";3;-;-;-;-;3
"150060 Altamira";7;-;-;-;-;7
"150080 Ananindeua";3;-;-;-;-;3
"150085 Anapu";411;1;-;-;-;412
"150090 Augusto Corrêa";-;1;-;-;-;1
"150095 Aurora do Pará";1;-;-;-;-;1
"150125 Bannach";8;-;-;-;-;8
"150130 Barcarena";11;-;-;-;-;11
"150140 Belém";45;-;-;-;-;45
"150150 Benevides";1;-;-;-;-;1
"150157 Bom Jesus do Tocantins";1;-;-;-;-;1
"150160 Bonito";-;1;-;-;-;1
"150170 Bragança";1;1;-;-;-;2
"150172 Brasil Novo";1;-;-;-;-;1
"150175 Brejo Grande do Araguaia";1;-;-;-;-;1
"150178 Breu Branco";1;-;-;-;-;1
"150180 Breves";3;-;-;-;-;3
"150210 Cametá";1;-;-;-;-;1
"150215 Canaã dos Carajás";25;-;-;-;-;25
"150230 Capitão Poço";51;1;-;-;-;52
"150240 Castanhal";16;-;-;-;-;16
"150250 Chaves";2;-;-;-;-;2
"150260 Colares";1;-;-;-;-;1
"150270 Conceição do Araguaia";4;-;-;-;-;4
"150275 Concórdia do Pará";1;-;-;-;-;1
"150276 Cumaru do Norte";8;1;-;-;-;9
"150277 Curionópolis";2;-;-;-;-;2
"150285 Curuá";1;-;-;-;-;1
"150293 Dom Eliseu";3;-;-;-;-;3
"150295 Eldorado do Carajás";2;-;-;-;-;2
"150304 Floresta do Araguaia";2;-;-;-;-;2
"150307 Garrafão do Norte";2;-;-;-;-;2
"150310 Gurupá";4;-;-;-;-;4
"150345 Ipixuna do Pará";2;-;-;-;-;2
"150350 Irituia";2;-;-;-;-;2
"150360 Itaituba";32;-;-;-;-;32
"150370 Itupiranga";3;-;-;-;-;3
"150380 Jacundá";94;-;-;-;-;94
"150390 Juruti";1;-;-;-;-;1
"150400 Limoeiro do Ajuru";13;-;-;-;-;13
"150420 Marabá";231;-;-;-;-;231
"150430 Maracanã";1;-;-;-;-;1
"150442 Marituba";1;-;-;-;-;1
"150445 Medicilândia";1;-;-;-;-;1
"150480 Monte Alegre";3;-;-;-;-;3
"150495 Nova Esperança do Piriá";61;-;-;-;-;61
"150497 Nova Ipixuna";2;-;-;-;-;2
"150503 Novo Progresso";62;-;-;-;-;62
"150506 Novo Repartimento";143;-;-;-;-;143
"150510 Óbidos";2;-;-;-;-;2
"150520 Oeiras do Pará";3;-;-;-;-;3
"150530 Oriximiná";27;-;-;-;-;27
"150543 Ourilândia do Norte";73;-;-;-;-;73
"150548 Pacajá";275;-;-;-;-;275
"150549 Palestina do Pará";56;-;-;-;-;56
"150550 Paragominas";39;-;-;-;-;39
"150553 Parauapebas";1051;-;-;-;-;1051
"150555 Pau D'Arco";7;-;-;-;-;7
"150565 Placas";1;-;-;-;-;1
"150610 Primavera";5;-;-;-;-;5
"150613 Redenção";88;-;-;-;-;88
"150616 Rio Maria";24;2;-;-;-;26
"150618 Rondon do Pará";42;-;-;-;-;42
"150620 Salinópolis";1;-;-;-;-;1
"150670 Santana do Araguaia";20;-;-;-;-;20
"150680 Santarém";2;-;-;-;-;2
"150700 Santo Antônio do Tauá";2;-;-;-;-;2
"150710 São Caetano de Odivelas";3;-;-;-;-;3
"150730 São Félix do Xingu";46;-;-;-;-;46
"150740 São Francisco do Pará";2;-;-;-;-;2
"150745 São Geraldo do Araguaia";217;-;-;-;-;217
"150747 São João de Pirabas";8;-;-;-;-;8
"150775 Sapucaia";1;-;-;-;-;1
"150780 Senador José Porfírio";7;-;-;-;-;7
"150790 Soure";15;-;-;-;-;15
"150795 Tailândia";4;-;-;-;-;4
"150800 Tomé-Açu";1;-;-;-;-;1
"150803 Tracuateua";1;-;-;-;-;1
"150805 Trairão";1;-;-;-;-;1
"150808 Tucumã";3;-;-;-;-;3
"150810 Tucuruí";145;-;-;-;-;145
"150812 Ulianópolis";1;-;-;-;-;1
"150820 Vigia";83;-;-;-;-;83
"150835 Vitória do Xingu";8;-;-;-;-;8
"150840 Xinguara";856;-;-;-;-;856
"160010 Amapá";1;-;-;-;-;1
"160020 Calçoene";12;-;-;-;-;12
"160021 Cutias";2;-;-;-;-;2
"160023 Ferreira Gomes";38;-;-;-;-;38
"160027 Laranjal do Jari";26;-;-;-;-;26
"160030 Macapá";343;-;-;-;-;343
"160040 Mazagão";5;-;-;-;-;5
"160050 Oiapoque";229;-;-;-;-;229
"160015 Pedra Branca do Amapari";41;-;-;-;-;41
"160053 Porto Grande";24;-;-;-;-;24
"160060 Santana";69;-;-;-;-;69
"160005 Serra do Navio";36;-;-;-;-;36
"160070 Tartarugalzinho";21;-;-;-;-;21
"170030 Aguiarnópolis";45;-;-;-;-;45
"170035 Aliança do Tocantins";6;-;-;-;-;6
"170100 Ananás";3;1;-;-;-;4
"170105 Angico";2;-;-;-;-;2
"170110 Aparecida do Rio Negro";12;-;-;-;-;12
"170130 Aragominas";1;-;-;-;-;1
"170210 Araguaína";1331;3;-;-;-;1334
"170215 Araguanã";3;1;-;-;-;4
"170220 Araguatins";29;-;-;-;-;29
"170240 Arraias";41;-;-;-;-;41
"170255 Augustinópolis";20;-;-;-;-;20
"170270 Aurora do Tocantins";55;-;-;-;-;55
"170290 Axixá do Tocantins";4;-;-;-;-;4
"170300 Babaçulândia";3;-;-;-;-;3
"170305 Bandeirantes do Tocantins";1;-;-;-;-;1
"170307 Barra do Ouro";2;-;-;-;-;2
"170320 Bernardo Sayão";1;-;-;-;-;1
"170330 Bom Jesus do Tocantins";4;-;-;-;-;4
"170370 Brejinho de Nazaré";3;-;-;-;-;3
"170380 Buriti do Tocantins";7;-;-;-;-;7
"170382 Cachoeirinha";2;-;-;-;-;2
"170386 Cariri do Tocantins";6;-;-;-;-;6
"170388 Carmolândia";5;-;-;-;-;5
"170550 Colinas do Tocantins";3;-;-;-;-;3
"171670 Colméia";-;2;-;-;-;2
"170555 Combinado";31;-;-;-;2;33
"170560 Conceição do Tocantins";24;-;-;-;-;24
"170600 Couto Magalhães";3;-;-;-;-;3
"170610 Cristalândia";2;-;-;-;-;2
"170625 Crixás do Tocantins";1;-;-;-;-;1
"170650 Darcinópolis";1;-;-;-;-;1
"170700 Dianópolis";56;-;-;-;-;56
"170710 Divinópolis do Tocantins";14;-;-;-;-;14
"170720 Dois Irmãos do Tocantins";6;-;-;-;-;6
"170730 Dueré";10;-;-;-;-;10
"170740 Esperantina";16;-;-;-;-;16
"170820 Formoso do Araguaia";6;-;-;-;-;6
"170825 Fortaleza do Tabocão";3;-;-;-;-;3
"170900 Goiatins";1;-;-;-;-;1
"170930 Guaraí";5;-;-;-;-;5
"170950 Gurupi";94;-;-;-;-;94
"171070 Itaguatins";1;-;-;-;-;1
"171110 Itaporã do Tocantins";2;-;-;-;-;2
"171150 Jaú do Tocantins";2;-;-;-;-;2
"171190 Lagoa da Confusão";4;-;-;-;-;4
"171200 Lajeado";8;-;-;-;-;8
"171215 Lavandeira";6;-;-;-;-;6
"171240 Lizarda";1;-;-;-;-;1
"171270 Mateiros";1;-;-;-;-;1
"171320 Miracema do Tocantins";12;-;-;-;-;12
"171330 Miranorte";33;-;-;-;-;33
"171395 Muricilândia";1;-;-;-;-;1
"171420 Natividade";1;-;-;-;-;1
"171430 Nazaré";1;-;-;-;-;1
"171488 Nova Olinda";49;-;-;-;-;49
"171510 Novo Acordo";6;-;-;-;-;6
"171515 Novo Alegre";17;-;-;-;-;17
"171525 Novo Jardim";2;-;-;-;-;2
"172100 Palmas";714;4;2;1;-;721
"171570 Palmeirante";2;-;-;-;-;2
"171380 Palmeiras do Tocantins";3;-;-;-;-;3
"171575 Palmeirópolis";3;-;-;-;-;3
"171610 Paraíso do Tocantins";4;-;-;-;-;4
"171620 Paranã";6;-;-;-;-;6
"171630 Pau D'Arco";1;-;-;-;-;1
"171650 Pedro Afonso";13;-;-;-;-;13
"171660 Peixe";2;-;-;-;-;2
"171665 Pequizeiro";3;-;-;-;-;3
"171700 Pindorama do Tocantins";4;-;-;-;-;4
"171720 Piraquê";1;-;-;-;-;1
"171750 Pium";11;-;-;-;-;11
"171780 Ponte Alta do Bom Jesus";5;-;-;-;-;5
"171790 Ponte Alta do Tocantins";1;-;-;-;-;1
"171800 Porto Alegre do Tocantins";1;-;-;-;-;1
"171820 Porto Nacional";44;-;-;-;-;44
"171830 Praia Norte";1;-;-;-;-;1
"171840 Presidente Kennedy";27;-;-;-;-;27
"171865 Rio da Conceição";41;-;-;-;-;41
"171870 Rio dos Bois";8;-;-;-;-;8
"171875 Rio Sono";1;-;-;-;-;1
"171880 Sampaio";10;-;-;-;-;10
"171886 Santa Fé do Araguaia";2;-;-;-;-;2
"171888 Santa Maria do Tocantins";6;-;-;-;-;6
"171900 Santa Tereza do Tocantins";1;-;-;-;-;1
"172000 Santa Terezinha do Tocantins";7;-;-;-;-;7
"172020 São Miguel do Tocantins";12;-;-;-;-;12
"172030 São Sebastião do Tocantins";1;-;-;-;-;1
"172049 São Valério";8;-;-;-;-;8
"172065 Silvanópolis";6;-;-;-;-;6
"172090 Taguatinga";2;-;-;-;-;2
"172097 Talismã";2;-;-;-;-;2
"172110 Tocantínia";7;-;-;-;-;7
"172120 Tocantinópolis";123;-;-;-;-;123
"172208 Wanderlândia";2;1;-;-;-;3
"172210 Xambioá";2;-;-;-;-;2
"210005 Açailândia";2;-;-;-;-;2
"210010 Afonso Cunha";1;-;-;-;-;1
"210020 Alcântara";2;-;-;-;-;2
"210030 Aldeias Altas";10;-;-;-;-;10
"210047 Alto Alegre do Pindaré";6;-;-;-;-;6
"210050 Alto Parnaíba";25;-;-;-;-;25
"210060 Amarante do Maranhão";85;-;-;-;-;85
"210080 Anapurus";19;-;-;-;-;19
"210110 Axixá";1;-;-;-;-;1
"210120 Bacabal";31;5;-;-;-;36
"210125 Bacabeira";1;-;-;-;-;1
"210140 Balsas";647;-;-;-;-;647
"210150 Barão de Grajaú";7;-;-;-;-;7
"210160 Barra do Corda";165;-;-;-;-;165
"210200 Bom Jardim";17;-;-;-;-;17
"210207 Bom Lugar";2;-;-;-;-;2
"210210 Brejo";12;-;-;-;-;12
"210215 Brejo de Areia";1;-;-;-;-;1
"210220 Buriti";3;-;-;-;-;3
"210230 Buriti Bravo";1;-;-;-;-;1
"210255 Campestre do Maranhão";50;-;-;-;-;50
"210280 Carolina";23;-;-;-;-;23
"210300 Caxias";308;-;-;-;-;308
"210312 Central do Maranhão";1;-;-;-;-;1
"210315 Centro do Guilherme";1;-;-;-;-;1
"210320 Chapadinha";35;-;-;-;-;35
"210325 Cidelândia";10;-;-;-;-;10
"210330 Codó";6;-;-;-;-;6
"210350 Colinas";4;-;-;-;-;4
"210360 Coroatá";13;-;-;-;-;13
"210370 Cururupu";13;-;-;-;-;13
"210380 Dom Pedro";6;-;-;-;-;6
"210405 Estreito";68;-;-;-;-;68
"210407 Feira Nova do Maranhão";22;-;-;-;-;22
"210409 Formosa da Serra Negra";8;-;-;-;-;8
"210410 Fortaleza dos Nogueiras";33;-;-;-;-;33
"210420 Fortuna";10;-;-;-;-;10
"210430 Godofredo Viana";1;-;-;-;-;1
"210455 Governador Edison Lobão";12;-;-;-;-;12
"210462 Governador Luiz Rocha";14;-;-;-;-;14
"210470 Graça Aranha";3;-;-;-;-;3
"210480 Grajaú";5;-;-;-;-;5
"210515 Igarapé do Meio";1;-;-;-;-;1
"210530 Imperatriz";175;-;-;-;-;175
"210535 Itaipava do Grajaú";1;-;-;-;-;1
"210540 Itapecuru Mirim";7;-;-;-;-;7
"210542 Itinga do Maranhão";34;-;-;-;-;34
"210547 Jenipapo dos Vieiras";40;-;-;-;-;40
"210570 Lago da Pedra";5;-;-;-;-;5
"210590 Lago Verde";2;-;-;-;-;2
"210592 Lagoa do Mato";1;-;-;-;-;1
"210596 Lagoa Grande do Maranhão";1;-;-;-;-;1
"210610 Loreto";2;-;-;-;-;2
"210660 Matões";2;-;-;-;-;2
"210700 Montes Altos";3;-;-;-;-;3
"210725 Nova Colinas";2;-;-;-;-;2
"210730 Nova Iorque";1;-;-;-;-;1
"210750 Paço do Lumiar";28;-;-;-;-;28
"210770 Paraibano";1;-;-;-;-;1
"210790 Passagem Franca";13;-;-;-;-;13
"210800 Pastos Bons";1;-;-;-;-;1
"210810 Paulo Ramos";1;-;-;-;-;1
"210820 Pedreiras";3;-;-;-;-;3
"210845 Peritoró";5;-;-;-;-;5
"210850 Pindaré-Mirim";3;-;-;-;-;3
"210870 Pio XII";2;-;-;-;-;2
"210890 Poção de Pedras";1;-;-;-;-;1
"210900 Porto Franco";6;-;-;-;-;6
"210910 Presidente Dutra";4;-;-;-;-;4
"210945 Raposa";3;-;-;-;-;3
"210950 Riachão";30;-;-;-;-;30
"210960 Rosário";4;-;-;-;-;4
"210970 Sambaíba";12;-;-;-;-;12
"210990 Santa Inês";24;-;-;-;-;24
"211020 Santa Rita";1;-;-;-;-;1
"211060 São Bernardo";1;-;-;-;-;1
"211085 São Francisco do Brejão";30;-;-;-;-;30
"211105 São João do Paraíso";5;-;-;-;-;5
"211110 São João dos Patos";4;-;-;-;-;4
"211120 São José de Ribamar";174;-;-;-;-;174
"211125 São José dos Basílios";4;-;-;-;-;4
"211130 São Luís";942;-;-;-;-;942
"211140 São Luís Gonzaga do Maranhão";2;-;-;-;-;2
"211150 São Mateus do Maranhão";1;-;-;-;-;1
"211157 São Pedro dos Crentes";2;-;-;-;-;2
"211160 São Raimundo das Mangabeiras";79;-;-;-;-;79
"211167 São Roberto";1;-;-;-;-;1
"211190 Sucupira do Norte";1;-;-;-;-;1
"211200 Tasso Fragoso";17;-;-;-;-;17
"211220 Timon";20;-;-;-;-;20
"211230 Tuntum";5;-;-;-;-;5
"211240 Turiaçu";3;-;-;-;-;3
"211245 Turilândia";1;-;-;-;-;1
"211250 Tutóia";1;-;-;-;-;1
"211270 Vargem Grande";8;-;-;-;-;8
"211280 Viana";1;-;-;-;-;1
"211285 Vila Nova dos Martírios";15;-;-;-;-;15
"211290 Vitória do Mearim";1;-;-;-;-;1
"220040 Altos";12;-;-;-;-;12
"220050 Amarante";1;1;-;-;-;2
"220060 Angical do Piauí";1;-;-;-;-;1
"220100 Arraial";1;-;-;-;-;1
"220115 Baixa Grande do Ribeiro";11;-;-;-;-;11
"220117 Barra D'Alcântara";1;-;-;-;-;1
"220150 Batalha";2;-;-;-;-;2
"220160 Beneditinos";1;-;-;-;-;1
"220177 Boa Hora";1;-;-;-;-;1
"220190 Bom Jesus";14;-;-;-;-;14
"220196 Brasileira";1;-;-;-;-;1
"220200 Buriti dos Lopes";1;-;-;-;-;1
"220202 Buriti dos Montes";12;-;-;-;-;12
"220220 Campo Maior";2;-;-;-;-;2
"220230 Canto do Buriti";1;-;-;-;-;1
"220240 Capitão de Campos";1;-;-;-;-;1
"220270 Cocal";1;-;-;-;-;1
"220271 Cocal de Telha";1;-;-;-;-;1
"220275 Colônia do Gurguéia";1;-;-;-;-;1
"220290 Corrente";13;-;-;-;-;13
"220310 Cristino Castro";2;-;-;-;-;2
"220330 Demerval Lobão";17;-;-;-;-;17
"220340 Dom Expedito Lopes";1;-;-;-;-;1
"220350 Elesbão Veloso";7;-;-;-;-;7
"220390 Floriano";17;-;-;-;-;17
"220410 Francisco Ayres";1;-;-;-;-;1
"220430 Fronteiras";7;-;-;-;-;7
"220520 Jaicós";2;-;-;-;-;2
"220540 Joaquim Pires";1;-;-;-;-;1
"220553 Jurema";8;-;-;-;-;8
"220557 Lagoa de São Francisco";6;-;-;-;-;6
"220558 Lagoa do Piauí";1;-;-;-;-;1
"220570 Luís Correia";2;-;-;-;-;2
"220600 Marcos Parente";3;-;-;-;-;3
"220620 Miguel Alves";1;-;-;-;-;1
"220640 Monsenhor Gil";5;-;-;-;-;5
"220670 Nazaré do Piauí";1;-;-;-;-;1
"220680 Nossa Senhora dos Remédios";1;-;-;-;-;1
"220690 Novo Oriente do Piauí";2;-;-;-;-;2
"220700 Oeiras";88;-;-;-;-;88
"220735 Pajeú do Piauí";1;-;-;-;-;1
"220755 Paquetá";1;-;-;-;-;1
"220760 Parnaguá";10;-;-;-;-;10
"220770 Parnaíba";40;-;-;-;-;40
"220790 Pedro II";152;-;-;-;-;152
"220800 Picos";163;-;-;-;-;163
"220820 Pio IX";2;-;-;-;-;2
"220830 Piracuruca";72;-;-;-;-;72
"220840 Piripiri";53;1;-;-;-;54
"220880 Regeneração";1;-;-;-;-;1
"220890 Ribeiro Gonçalves";1;-;-;-;-;1
"220920 Santa Filomena";1;-;-;-;-;1
"220970 São Francisco do Piauí";1;-;-;-;-;1
"220975 São Gonçalo do Gurguéia";2;-;-;-;-;2
"220987 São João da Fronteira";2;-;-;-;-;2
"220995 São João da Varjota";2;-;-;-;-;2
"220997 São João do Arraial";1;1;-;-;-;2
"221005 São José do Divino";10;-;-;-;-;10
"221020 São José do Piauí";8;-;-;-;-;8
"221035 São Lourenço do Piauí";8;-;-;-;-;8
"221050 São Pedro do Piauí";3;-;-;-;-;3
"221060 São Raimundo Nonato";73;-;-;-;-;73
"221070 Simões";1;-;-;-;-;1
"221100 Teresina";2730;-;-;-;-;2730
"221120 Uruçuí";4;-;-;-;-;4
"221135 Várzea Branca";9;-;-;-;-;9
"230010 Abaiara";11;-;-;-;-;11
"230015 Acarape";1;-;-;-;-;1
"230030 Acopiara";164;-;-;-;-;164
"230050 Alcântaras";1;-;-;-;-;1
"230060 Altaneira";12;-;-;-;-;12
"230070 Alto Santo";339;-;-;-;-;339
"230080 Antonina do Norte";1;-;-;-;-;1
"230100 Aquiraz";2;-;-;-;-;2
"230110 Aracati";61;-;-;-;-;61
"230120 Aracoiaba";14;-;-;-;-;14
"230125 Ararendá";24;-;-;-;-;24
"230140 Aratuba";1;-;-;-;-;1
"230150 Arneiroz";2;-;-;-;-;2
"230180 Baixio";2;-;-;-;-;2
"230185 Banabuiú";11;-;-;-;-;11
"230190 Barbalha";13;-;-;-;-;13
"230195 Barreira";1;-;-;-;-;1
"230200 Barro";19;-;-;-;-;19
"230210 Baturité";6;-;-;-;-;6
"230220 Beberibe";61;-;-;-;-;61
"230240 Boa Viagem";4;-;-;-;-;4
"230250 Brejo Santo";712;-;-;-;-;712
"230260 Camocim";1;-;-;-;-;1
"230270 Campos Sales";4;-;-;-;-;4
"230280 Canindé";4;-;-;-;-;4
"230290 Capistrano";2;-;-;-;-;2
"230310 Cariré";2;-;-;-;-;2
"230320 Caririaçu";7;-;-;-;-;7
"230340 Carnaubal";2;-;-;-;-;2
"230350 Cascavel";16;-;-;-;-;16
"230360 Catarina";61;-;-;-;-;61
"230370 Caucaia";412;-;-;-;-;412
"230380 Cedro";11;-;-;-;-;11
"230395 Chorozinho";2;-;-;-;-;2
"230400 Coreaú";8;-;-;-;-;8
"230410 Crateús";182;-;-;-;-;182
"230420 Crato";125;-;-;-;-;125
"230423 Croatá";1;-;-;-;-;1
"230428 Eusébio";2;-;-;-;-;2
"230430 Farias Brito";7;-;-;-;-;7
"230435 Forquilha";1;-;-;-;-;1
"230440 Fortaleza";4358;1;-;-;-;4359
"230445 Fortim";5;-;-;-;-;5
"230465 Graça";3;-;-;-;-;3
"230470 Granja";2;-;-;-;-;2
"230480 Granjeiro";11;-;-;-;-;11
"230490 Groaíras";4;-;-;-;-;4
"230495 Guaiúba";33;-;-;-;-;33
"230500 Guaraciaba do Norte";2;-;-;-;-;2
"230510 Guaramiranga";3;-;-;-;-;3
"230523 Horizonte";5;-;-;-;-;5
"230526 Ibaretama";4;-;-;-;-;4
"230533 Ibicuitinga";4;-;-;-;-;4
"230535 Icapuí";37;-;-;-;-;37
"230540 Icó";365;-;-;-;-;365
"230550 Iguatu";72;1;-;-;-;73
"230560 Independência";13;-;-;-;-;13
"230570 Ipaumirim";19;-;-;-;-;19
"230580 Ipu";1;-;-;-;-;1
"230590 Ipueiras";3;-;-;-;-;3
"230600 Iracema";261;-;-;-;-;261
"230610 Irauçuba";1;-;-;-;-;1
"230625 Itaitinga";23;-;-;-;-;23
"230630 Itapagé";18;-;-;-;-;18
"230640 Itapipoca";18;-;-;-;-;18
"230650 Itapiúna";16;-;-;-;-;16
"230655 Itarema";1;-;-;-;-;1
"230670 Jaguaretama";58;-;-;-;-;58
"230680 Jaguaribara";282;-;-;-;-;282
"230690 Jaguaribe";2;-;-;-;-;2
"230700 Jaguaruana";3;-;-;-;-;3
"230710 Jardim";4;-;-;-;-;4
"230720 Jati";1;-;-;-;-;1
"230730 Juazeiro do Norte";66;-;-;-;-;66
"230750 Lavras da Mangabeira";64;-;-;-;-;64
"230760 Limoeiro do Norte";6;-;-;-;-;6
"230763 Madalena";33;-;-;-;-;33
"230765 Maracanaú";29;-;-;-;-;29
"230770 Maranguape";91;2;-;-;-;93
"230780 Marco";2;-;-;-;-;2
"230800 Massapê";2;-;-;-;-;2
"230810 Mauriti";414;-;-;-;-;414
"230830 Milagres";718;-;-;-;-;718
"230835 Milhã";22;-;-;-;-;22
"230837 Miraíma";1;-;-;-;-;1
"230840 Missão Velha";6;-;-;-;-;6
"230850 Mombaça";40;-;-;-;-;40
"230860 Monsenhor Tabosa";1;-;-;-;-;1
"230870 Morada Nova";11;-;-;-;-;11
"230900 Mucambo";4;-;-;-;-;4
"230910 Mulungu";2;-;-;-;-;2
"230920 Nova Olinda";4;-;-;-;-;4
"230930 Nova Russas";9;-;-;-;-;9
"230940 Novo Oriente";1;-;-;-;-;1
"230945 Ocara";3;-;-;-;-;3
"230960 Pacajus";6;-;-;-;-;6
"230970 Pacatuba";13;-;-;-;-;13
"230980 Pacoti";1;-;-;-;-;1
"230990 Pacujá";1;-;-;-;-;1
"231000 Palhano";4;-;-;-;-;4
"231010 Palmácia";3;-;-;-;-;3
"231020 Paracuru";3;-;-;-;-;3
"231025 Paraipaba";1;-;-;-;-;1
"231030 Parambu";20;-;-;-;-;20
"231040 Paramoti";4;-;-;-;-;4
"231050 Pedra Branca";3;-;-;-;-;3
"231060 Penaforte";12;-;-;-;-;12
"231070 Pentecoste";4;-;-;-;-;4
"231080 Pereiro";8;-;-;-;-;8
"231090 Piquet Carneiro";12;-;-;-;-;12
"231110 Porteiras";33;-;-;-;-;33
"231120 Potengi";1;-;-;-;-;1
"231123 Potiretama";17;-;-;-;-;17
"231126 Quiterianópolis";1;-;-;-;-;1
"231130 Quixadá";3;-;-;-;-;3
"231135 Quixelô";1;-;-;-;-;1
"231140 Quixeramobim";904;-;-;-;-;904
"231150 Quixeré";9;-;-;-;-;9
