DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Pará
Casos Prováveis por Município infecção e Sorotipo                     
Período:2016
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"150715 São Domingos do Araguaia";8;-;-;-;8
"150720 São Domingos do Capim";2;-;-;-;2
"150730 São Félix do Xingu";132;-;-;-;132
"150745 São Geraldo do Araguaia";91;-;-;-;91
"150747 São João de Pirabas";2;-;-;-;2
"150750 São João do Araguaia";1;-;-;-;1
"150780 Senador José Porfírio";21;-;-;-;21
"150790 Soure";1;-;-;-;1
"150795 Tailândia";9;-;-;-;9
"150797 Terra Santa";4;-;-;-;4
"150800 Tomé-Açu";86;-;-;-;86
"150803 Tracuateua";2;-;-;-;2
"150808 Tucumã";1;-;-;-;1
"150810 Tucuruí";327;-;-;-;327
"150812 Ulianópolis";1;-;-;-;1
"150820 Vigia";1;-;-;-;1
"150835 Vitória do Xingu";5;-;-;-;5
"150840 Xinguara";33;-;-;-;33
"210005 Açailândia";1;-;-;-;1
"210530 Imperatriz";1;-;-;-;1
"211130 São Luís";1;-;-;-;1
"293300 Valente";1;-;-;-;1
"314390 Muriaé";1;-;-;-;1
"000000 Ignorado ou exterior";6182;3;-;1;6186
"Total";10934;7;2;2;10945
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
