 Procedimentos hospitalares do SUS - por local de residência - Paraná
Valor total por Procedimento
Município: 411370 Londrina
Período:Jan-Abr/2019
"Procedimento";"Valor_total"
"0303040203 TRATAMENTO DE DOENÇAS NEURO-DEGENERATIVAS";2907,84
"0303040238 TRATAMENTO DE FRATURA DA COLUNA VERTEBRAL C/ LESÃO DA MEDULA ESPINHAL";567,17
"0303040246 TRATAMENTO DE INTERCORRENCIAS DE DOENCAS NEUROMUSCULARES";4281,70
"0303040262 TRATAMENTO DE POLINEUROPATIAS";18253,06
"0303040289 TRATAMENTO DE SURTO DE ESCLEROSE MULTIPLA";652,05
"0303040297 TRATAMENTO DE PROCESSO TOXI-INFECCIOSO DO CEREBRO OU DA MEDULA ESPINHAL";8731,65
"0303050136 TRATAMENTO CLÍNICO DE INTERCORRÊNCIAS OFTALMOLÓGICAS";6889,09
"0303060018 TRATAMENTO DE ANEURISMA DA AORTA";10375,79
"0303060026 TRATAMENTO DE ARRITMIAS";13349,04
"0303060050 TRATAMENTO DE CHOQUE ANAFILATICO";133,04
"0303060069 TRATAMENTO DE CHOQUE CARDIOGENICO";1359,94
"0303060107 TRATAMENTO DE CRISE HIPERTENSIVA";5021,40
"0303060115 TRATAMENTO DE DOENCA REUMATICA C/ COMPROMETIMENTO CARDIACO";5554,20
"0303060131 TRATAMENTO DE EDEMA AGUDO DE PULMAO";23321,54
"0303060140 TRATAMENTO DE EMBOLIA PULMONAR";5925,89
"0303060158 TRATAMENTO DE ENDOCARDITE INFECCIOSA EM PROTESE VALVAR";8355,88
"0303060166 TRATAMENTO DE ENDOCARDITE INFECCIOSA EM VALVULA NATIVA";3999,07
"0303060174 TRATAMENTO DE HIPERTENSAO PULMONAR";2751,86
"0303060182 TRATAMENTO DE HIPERTENSAO SECUNDARIA";689,34
"0303060190 TRATAMENTO DE INFARTO AGUDO DO MIOCÁRDIO";173370,72
"0303060204 TRATAMENTO DE INSUFICIENCIA ARTERIAL C/ ISQUEMIA CRITICA";33061,44
"0303060212 TRATAMENTO DE INSUFICIENCIA CARDIACA";541713,27
"0303060220 TRATAMENTO DE LINFADENITES INESPECIFICAS";861,69
"0303060239 TRATAMENTO DE MIOCARDIOPATIAS";2462,88
"0303060247 TRATAMENTO DE OUTRAS VASCULOPATIAS";949,48
"0303060255 TRATAMENTO DE PARADA CARDIACA C/ RESSUSCITACAO";8173,42
"0303060263 TRATAMENTO DE PE DIABETICO COMPLICADO";17321,23
"0303060271 TRATAMENTO DE PERICARDITE";465,74
"0303060280 TRATAMENTO DE SINDROME CORONARIANA AGUDA";78352,15
"0303060298 TRATAMENTO DE TROMBOSE VENOSA PROFUNDA";16555,00
"0303060301 TRATAMENTO DE VARIZES DOS MEMBROS INFERIORES C/ ULCERA";1122,72
"0303070064 TRATAMENTO DE DOENCAS DO ESOFAGO ESTOMAGO E DUODENO";18214,41
"0303070072 TRATAMENTO DE DOENCAS DO FIGADO";73976,51
"0303070080 TRATAMENTO DE DOENCAS DO PERITONIO";2750,99
"0303070099 TRATAMENTO DE ENTERITES E COLITES NAO INFECCIOSAS";7171,28
"0303070102 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO DIGESTIVO";81018,15
"0303070110 TRATAMENTO DE OUTRAS DOENCAS DO INTESTINO";27065,82
"0303070129 TRATAMENTO DE TRANSTORNOS DAS VIAS BILIARES E PANCREAS";76612,07
"0303080051 TRATAMENTO DE DERMATITES E ECZEMAS";26340,76
"0303080060 TRATAMENTO DE ESTAFILOCOCCIAS";19637,73
"0303080078 TRATAMENTO DE ESTREPTOCOCCIAS";57921,97
"0303080094 TRATAMENTO DE OUTRAS AFECCOES DA PELE E DO TECIDO SUBCUTANEO";8212,67
"0303090138 TRATAMENTO CONSERVADOR DE FRATURA / LESAO LIGAMENTAR / ARRANCAMENTO OSSEO AO NIVEL DA PELVE";157,73
"0303090235 TRATAMENTO CONSERVADOR DE LESAO DA COLUNA TORACO-LOMBO-SACRA C/ ORTESE";243,35
"0303090316 TRATAMENTO DAS POLIARTROPATIAS INFLAMATORIAS";7902,53
"0303100010 TRATAMENTO DE COMPLICACOES RELACIONADAS PREDOMINANTEMENTE AO PUERPERIO";3353,74
"0303100028 TRATAMENTO DE ECLAMPSIA";418,10
"0303100036 TRATAMENTO DE EDEMA, PROTEINURIA E TRANSTORNOS HIPERTENSIVOS NA GRAVIDEZ PARTO E PUERPERIO";380,91
"0303100044 TRATAMENTO DE INTERCORRENCIAS CLINICAS NA GRAVIDEZ";21478,06
"0303110015 TRATAMENTO DAS MALFORMACOES E DEFORMIDADES CONGENITAS DO SISTEMA OSTEOMUSCULAR";178,45
"0303110040 TRATAMENTO DE MALFORMACOES CONGENITAS DO APARELHO CIRCULATORIO";3046,29
"0303110104 TRATAMENTO DE OUTRAS MALFORMACOES CONGENITAS";3645,37
"0303110112 TRATAMENTO DE OUTRAS MALFORMACOES CONGENITAS DO APARELHO DIGESTIVO";694,31
"0303140038 TRATAMENTO DAS AFECCOES NECROTICAS E SUPURATIVAS DAS VIAS AEREAS INFERIORES";12620,74
"0303140046 TRATAMENTO DAS DOENCAS CRONICAS DAS VIAS AEREAS INFERIORES";47877,83
"0303140070 TRATAMENTO DE DOENCA DO OUVIDO EXTERNO MEDIO E DA MASTOIDE";2220,55
"0303140089 TRATAMENTO DE DOENCAS RESPIRATORIAS QUE AFETAM PRINCIPALMENTE O INTERSTICIO";712,97
"0303140097 TRATAMENTO DE HEMORRAGIAS DAS VIAS RESPIRATORIAS";1589,06
"0303140100 TRATAMENTO DE INFECCOES AGUDAS DAS VIAS AEREAS SUPERIORES";2516,69
"0303140119 TRATAMENTO DE OUTRAS DOENCAS DA PLEURA";8264,23
"0303140127 TRATAMENTO DE OUTRAS DOENCAS DAS VIAS AEREAS SUPERIORES";4851,36
"0303140135 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO RESPIRATORIO";81933,04
"0303140143 TRATAMENTO DE OUTRAS INFECCOES AGUDAS DAS VIAS AEREAS INFERIORES";9757,80
"0303140151 TRATAMENTO DE PNEUMONIAS OU INFLUENZA (GRIPE)";380865,41
"0303150017 TRATAMENTO DE DOENCAS DOS ORGAOS GENITAIS MASCULINOS";3578,71
"0303150025 TRATAMENTO DE DOENCAS GLOMERULARES";12966,60
"0303150033 TRATAMENTO DE DOENCAS INFLAMATORIAS DOS ORGAOS PELVICOS FEMININOS";4878,73
"0303150041 TRATAMENTO DE DOENCAS RENAIS TUBULO-INTERSTICIAIS";2174,22
"0303150050 TRATAMENTO DE OUTRAS DOENCAS DO APARELHO URINARIO";40199,79
"0303150068 TRATAMENTO DE OUTROS TRANSTORNOS DO RIM E DO URETER";27827,90
"0303160020 TRATAMENTO DE INFECCOES ESPECIFICAS DO PERIODO PERINATAL";4466,20
"0303160039 TRATAMENTO DE OUTROS TRANSTORNOS ORIGINADOS NO PERIODO PERINATAL";118635,53
"0303160047 TRATAMENTO DE TRANSTORNOS HEMORRAGICOS E HEMATOLOGICOS DO FETO E DO RECEM-NASCIDO";14401,32
"0303160055 TRATAMENTO DE TRANSTORNOS RELACIONADOS C/ A DURACAO DA GESTACAO E C/ O CRESCIMENTO FETAL";572309,28
"0303160063 TRATAMENTO DE TRANSTORNOS RESPIRATORIOS E CARDIOVASCULARES ESPECIFICOS DO PERIODO NEONATAL";71462,57
"0303170093 TRATAMENTO EM PSIQUIATRIA (POR DIA)";20337,76
"0303170107 TRATAMENTO EM PSIQUIATRIA EM HOSPITAL DIA";110148,56
"0303170140 TRATAMENTO CLÍNICO PARA CONTENÇÃO DE COMPORTAMENTO DESORGANIZADO E/OU DISRUPTIVO";47025,00
"0303170182 TRATAMENTO CLÍNICO DOS TRANSTORNOS MENTAIS E COMPORTAMENTAIS DEVIDO AO USO DAS DEMAIS DROGAS E/OU OU";114,00
"0303170190 TRATAMENTO EM PSIQUIATRIA DE CURTA PERMANENCIA POR DIA (PERMANENCIA ATÉ 90 DIAS)";785062,15
"0303170204 TRATAMENTO EM PSIQUIATRIA POR DIA (COM DURAÇÃO SUPERIOR A 90 DIAS DE INTERNAÇÃO OU REINTERNAÇÃO";2528,28
"0303180013 TRATAMENTO DE AFECÇÕES ASSOCIADAS AO HIV/AIDS";23691,97
"0303190019 TRATAMENTO EM REABILITACAO";6206,86
"0304080020 INTERNAÇÃO P/ QUIMIOTERAPIA DE ADMINISTRAÇÃO CONTÍNUA";208468,50
"0304080039 INTERNAÇÃO P/ QUIMIOTERAPIA DE LEUCEMIAS AGUDAS / CRÔNICAS AGUDIZADAS";17864,41
"0304090026 IODOTERAPIA DE CARCINOMA DIFERENCIADO DA TIREÓIDE (100 MCI)";1071,90
"0304100013 TRATAMENTO DE INTERCORRÊNCIAS CLÍNICAS DE PACIENTE ONCOLÓGICO";127103,01
"0304100021 TRATAMENTO CLÍNICO DE PACIENTE ONCOLÓGICO";156155,53
"0305010174 TRATAMENTO DE INTERCORRENCIA EM PACIENTE RENAL CRONICO SOB TRATAMENTO DIALITICO ( POR DIA)";15482,53
"0305020013 TRATAMENTO DA PIELONEFRITE";83826,39
"0305020021 TRATAMENTO DE CALCULOSE RENAL";14664,76
"0305020030 TRATAMENTO DE HIPERTENSAO NEFROGENA E RENOVASCULAR";156,26
"0305020048 TRATAMENTO DE INSUFICIENCIA RENAL AGUDA";32478,71
"0305020056 TRATAMENTO DE INSUFICIENCIA RENAL CRONICA";163010,01
"0308010019 TRATAMENTO DE TRAUMATISMOS DE LOCALIZACAO ESPECIFICADA / NAO ESPECIFICADA";48987,05
"0308010027 TRATAMENTO DE EFEITOS DE ASFIXIA / OUTROS RISCOS A RESPIRACAO";647,53
"0308010035 TRATAMENTO DE TRAUMATISMOS C/ LESAO DE ORGAO INTRA-TORACICO E INTRA-ABDOMINAL";4507,34
"0308010043 TRATAMENTO DE TRAUMATISMOS ENVOLVENDO MULTIPLAS REGIOES DO CORPO";3807,72
"0308020022 TRATAMENTO DE EFEITOS DO CONTATO C/ ANIMAIS E PLANTAS VENENOSOS";2116,93
"0308020030 TRATAMENTO DE INTOXICACAO OU ENVENENAMENTO POR EXPOSICAO A MEDICAMENTO E SUBSTANCIAS DE USO NAO MEDI";17946,82
"0308030010 TRATAMENTO DE EFEITOS DA PENETRACAO DE CORPO ESTRANHO EM ORIFICIO NATURAL";1461,08
"0308030028 TRATAMENTO DE EFEITOS DE OUTRAS CAUSAS EXTERNAS";398,09
"0308040015 TRATAMENTO DE COMPLICACOES DE PROCEDIMENTOS CIRURGICOS OU CLINICOS";49447,26
"0310010039 PARTO NORMAL";294715,92
"0310010047 PARTO NORMAL EM GESTACAO DE ALTO RISCO";87663,77
"0401020010 ENXERTO COMPOSTO";1554,76
"0401020029 ENXERTO DERMO-EPIDERMICO";2241,28
"0401020037 ENXERTO LIVRE DE PELE TOTAL";1510,06
"0401020045 EXCISAO E ENXERTO DE PELE (HEMANGIOMA, NEVUS OU TUMOR )";795,09
"0401020053 EXCISAO E SUTURA DE LESAO NA PELE C/ PLASTICA EM Z OU ROTACAO DE RETALHO";1880,05
"0401020061 EXERESE DE CISTO BRANQUIAL";371,77
"0401020070 EXERESE DE CISTO DERMOIDE";359,44
"0401020088 EXERESE DE CISTO SACRO-COCCIGEO";1110,04
"0401020096 EXERESE DE CISTO TIREOGLOSSO";1071,59
"0401020100 EXTIRPACAO E SUPRESSAO DE LESAO DE PELE E DE TECIDO CELULAR SUBCUTANEO";1361,59
"0402010035 TIREOIDECTOMIA PARCIAL";1047,46
"0402010043 TIREOIDECTOMIA TOTAL";3840,95
"0403010012 CRANIOPLASTIA";2836,30
"0403010020 CRANIOTOMIA DESCOMPRESSIVA";3237,16
"0403010098 DERIVACAO VENTRICULAR EXTERNAR-SUBGALEAL EXTERNA";53110,39
"0403010101 DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE";33909,13
"0403010128 MICROCIRURGIA CEREBRAL ENDOSCOPICA";5747,45
"0403010144 RECONSTRUCAO CRANIANA / CRANIO-FACIAL";3218,42
"0403010179 RETIRADA DE PLACA DE CRANIOPLASTIA";5663,06
"0403010187 REVISAO DE DERIVACAO VENTRICULAR PARA PERITONEO / ATRIO / PLEURA / RAQUE";8457,43
"0403010195 TRATAMENTO CIRURGICO DE ABSCESSO INTRACRANIANO";10949,19
"0403010217 TRATAMENTO CIRÚRGICO DE CRANIOSSINOSTOSE COMPLEXA";7516,60
"0403010225 TRATAMENTO CIRURGICO DE DISRAFISMO ABERTO";4564,94
"0403010233 TRATAMENTO CIRURGICO DE DISRAFISMO OCULTO";2494,41
"0403010276 TRATAMENTO CIRURGICO DE HEMATOMA EXTRADURAL";8845,05
"0403010284 TRATAMENTO CIRURGICO DE HEMATOMA INTRACEREBRAL";16101,44
"0403010306 TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL AGUDO";2658,12
"0403010314 TRATAMENTO CIRURGICO DE HEMATOMA SUBDURAL CRONICO";39605,82
"0403010349 TREPANACAO CRANIANA PARA PROPEDEUTICA NEUROCIRURGICA / IMPLANTE PARA MONITORIZACAO PIC";4762,69
"0403010390 DRENAGEM LIQUÓRICA LOMBAR EXTERNA";2497,90
"0403020069 MICRONEURORRAFIA";2828,90
"0403020077 NEUROLISE NAO FUNCIONAL DE NERVOS PERIFERICOS";3837,78
"0403020093 NEUROTOMIA SELETIVA DE TRIGEMEO E OUTROS NERVOS CRANIANOS";2013,37
"0403020123 TRATAMENTO CIRURGICO DE SINDROME COMPRESSIVA EM TUNEL OSTEO-FIBROSO AO NIVEL DO CARPO";695,24
"0403030013 CRANIOTOMIA PARA BIOPSIA ENCEFALICA";6781,54
"0403030064 HIPOFISECTOMIA TRANSESFENOIDAL POR TECNICA COMPLEMENTAR";4532,80
"0403030102 MICROCIRURGIA DE TUMOR MEDULAR";6858,21
"0403030145 MICROCIRURGIA PARA TUMOR INTRACRANIANO";13360,49
"0403030153 MICROCIRURGIA PARA TUMOR INTRACRANIANO (COM TECNICA COMPLEMENTAR)";5145,09
"0403040027 DESCOMPRESSAO NEUROVASCULAR DE NERVOS CRANIANOS";3518,75
"0403040124 MICROCIRURGIA PARA ANEURISMA DA CIRCULAÇÃO CEREBRAL POSTERIOR MENOR QUE 1,5 CM";4511,82
"0403050030 BLOQUEIOS PROLONGADOS DE SISTEMA NERVOSO PERIFERICO / CENTRAL COM BOMBA DE INFUSAO";564,29
"0403050073 MICROCIRURGIA COM RIZOTOMIA A CEU ABERTO";4124,82
"0403070163 EMBOLIZAÇÃO DE ANEURISMA CEREBRAL MENOR DO QUE 1,5 CM COM COLO LARGO";12830,56
"0404010016 ADENOIDECTOMIA";13935,20
"0404010024 AMIGDALECTOMIA";1234,28
"0404010032 AMIGDALECTOMIA C/ ADENOIDECTOMIA";44578,04
"0404010113 EXERESE DE PAPILOMA EM LARINGE";652,40
"0404010121 EXERESE DE TUMOR DE VIAS AEREAS SUPERIORES, FACE E PESCOCO";1306,25
"0404010202 LARINGORRAFIA";886,45
"0404010237 MICROCIRURGIA OTOLOGICA";753,50
"0404010326 SINUSOTOMIA BILATERAL";1079,72
"0404010377 TRAQUEOSTOMIA";5545,82
"0404010415 TURBINECTOMIA";997,95
"0404010466 PAROTIDECTOMIA PARCIAL OU SUBTOTAL";482,83
"0404020070 RESSECÇÃO DE GLÂNDULA SALIVAR";234,88
"0404020313 RETIRADA DE CORPO ESTRANHO DOS OSSOS DA FACE";4084,84
"0404020453 OSTEOTOMIA DA MAXILA";2366,52
"0404020500 OSTEOSSÍNTESE DA FRATURA COMPLEXA DA MANDÍBULA";19336,24
"0404020526 OSTEOSSINTESE DE FRATURA DO COMPLEXO ÓRBITO-ZIGOMÁTICO-MAXILAR";5306,25
"0404020542 REDUÇÃO CIRÚRGICA DE FRATURA DOS OSSOS PRÓPRIOS DO NARIZ";1009,60
"0404020550 OSTEOSSÍNTESE DE FRATURA SIMPLES DE MANDÍBULA";1998,90
"0404020607 REDUÇÃO DE FRATURA DA MANDÍBULA SEM OSTEOSSINTESE.";546,81
"0404020658 TRATAMENTO CIRÚRGICO DE OSTEOMA, ODONTOMA /OUTRAS LESÕES ESPECIFICADAS";1064,30
"0404030076 LABIOPLASTIA UNILATERAL EM DOIS TEMPOS";2187,38
"0404030084 ALVEOLOPLASTIA COM ENXERTO ÓSSEO EM PACIENTE COM ANOMALIA CRÂNIOFACIAL";1003,10
"0404030130 RINOSEPTOPLASTIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL";560,35
"0404030262 PALATOPLASTIA SECUNDÁRIA EM PACIENTE COM ANOMALIA CRÂNIO E BUCOMAXILOFACIAL";1425,84
"0404030289 TRATAMENTO CIRÚRGICO REPARADOR DA FISSURA FACIAL RARA EM PACIENTES COM ANOMALIA CRÂNIO E BUCOMAXILO";3865,40
"0405010010 CORRECAO CIRURGICA DE ENTROPIO E ECTROPIO";203,74
"0405010028 CORRECAO CIRURGICA DE EPICANTO E TELECANTO";302,90
"0405010036 DACRIOCISTORRINOSTOMIA";3063,48
"0405010079 EXERESE DE CALAZIO E OUTRAS PEQUENAS LESOES DA PALPEBRA E SUPERCILIOS";78,75
"0405010117 RECONSTITUICAO DE CANAL LACRIMAL";4137,96
"0405010133 RECONSTITUICAO TOTAL DE PALPEBRA";16720,61
"0405020015 CORRECAO CIRURGICA DE ESTRABISMO (ACIMA DE 2 MUSCULOS)";16918,30
"0405030070 RETINOPEXIA C/ INTROFLEXAO ESCLERAL";4307,44
"0405030134 VITRECTOMIA ANTERIOR";381,08
"0405030142 VITRECTOMIA POSTERIOR";9649,15
"0405030169 VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO E ENDOLASER";14773,85
"0405030177 VITRECTOMIA POSTERIOR COM INFUSÃO DE PERFLUOCARBONO/ÓLEO DE SILICONE/ENDOLASER";60033,38
"0405040067 ENUCLEACAO DE GLOBO OCULAR";548,98
"0405040202 TRATAMENTO DE PTOSE PALPEBRAL";2696,64
"0405040210 REPOSICIONAMENTO DE LENTE INTRAOCULAR";1612,83
"0405050046 CICLOCRIOCOAGULACAO / DIATERMIA";1343,02
"0405050097 FACECTOMIA C/ IMPLANTE DE LENTE INTRA-OCULAR";539,60
"0405050151 IMPLANTE SECUNDARIO DE LENTE INTRA-OCULAR - LIO";4451,32
"0405050216 RECOBRIMENTO CONJUNTIVAL";2959,16
"0405050232 RECONSTRUCAO DE CAMARA ANTERIOR DO OLHO";16740,69
"0405050321 TRABECULECTOMIA";21527,70
"0405050372 FACOEMULSIFICACAO C/ IMPLANTE DE LENTE INTRA-OCULAR DOBRAVEL";1543,20
"0406010137 CORREÇÃO DE ANEURISMA / DISSECÇÃO DA AORTA TORACO-ABDOMINAL";14074,95
"0406010587 IMPLANTE DE CARDIOVERSOR DESFIBRILADOR DE CÃMARA DUPLA TRANSVENOSO";232511,70
"0406010609 IMPLANTE DE CARDIOVERSOR DESFIBRILADOR (CDI) MULTI-SITIO TRANSVENOSO";116274,33
"0406010650 IMPLANTE DE MARCAPASSO DE CÂMARA DUPLA TRANSVENOSO";192060,73
"0406010676 IMPLANTE DE MARCAPASSO DE CÂMARA ÚNICA TRANSVENOSO";39189,49
"0406010684 IMPLANTE DE MARCAPASSO TEMPORÁRIO TRANSVENOSO";7106,41
"0406010692 IMPLANTE DE PRÓTESE VALVAR";150020,15
"0406010706 INFARTECTOMIA / ANEURISMECTOMIA ASSOCIADA OU NÃO A REVASCULARIZAÇÃO MIOCÁRDICA";10620,43
"0406010765 PERICARDIECTOMIA PARCIAL";2672,56
"0406010803 PLÁSTICA VALVAR";11477,04
"0406010811 PLÁSTICA VALVAR C/ REVASCULARIZAÇÃO MIOCÁRDICA";13429,46
"0406010820 PLÁSTICA VALVAR E/OU TROCA VALVAR MÚLTIPLA";35695,54
"0406010838 RECONSTRUÇÃO DA RAIZ DA AORTA";10915,36
"0406010846 RECONSTRUÇÃO DA RAIZ DA AORTA C/ TUBO VALVADO";29040,96
"0406010854 REPOSICIONAMENTO DE ELETRODOS DE CARDIOVERSOR DESFIBRILADOR";731,58
"0406010862 REPOSICIONAMENTO DE ELETRODOS DE MARCAPASSO";1489,82
"0406010927 REVASCULARIZAÇÃO MIOCÁRDICA C/ USO DE EXTRACÓRPOREA";55665,20
"0406010935 REVASCULARIZAÇÃO MIOCÁRDICA C/ USO DE EXTRACÓRPOREA (C/ 2 OU MAIS ENXERTOS)";544278,05
"0406010943 REVASCULARIZAÇÃO MIOCÁRDICA S/ USO DE EXTRACORPÓREA";54809,27
"0406011036 TROCA DE ELETRODOS DE MARCAPASSO DE CÂMARA DUPLA";1878,50
"0406011109 TROCA DE GERADOR DE CARDIO-DESFIBRILADOR DE CÂMARA ÚNICA / DUPLA";29746,69
"0406011125 TROCA DE GERADOR DE MARCAPASSO DE CÂMARA DUPLA";35822,40
"0406011176 TROCA DE GERADOR E DE ELETRODOS DE CARDIO-DESFIBRILADOR MULTISITIO";50731,58
"0406011206 TROCA VALVAR C/ REVASCULARIZAÇÃO MIOCÁRDICA";32765,72
"0406011427 CORRECAO DE PERSISTENCIA DO CANAL ARTERIAL (CRIANÇA E ADOLESCENTE)";11818,75
"0406011451 FECHAMENTO DE COMUNICACAO INTERATRIAL (CRIANÇA E ADOLESCENTE)";12826,20
"0406011460 FECHAMENTO DE COMUNICACAO INTERVENTRICULAR (CRIANÇA E ADOLESCENTE)";46729,35
"0406020078 IMPLANTAÇÃO DE CATETER DE LONGA PERMANÊNCIA SEMI OU TOTALMENTE IMPLANTAVEL (PROCEDIMENTO PRINCIPAL";17648,19
"0406020124 EMBOLECTOMIA ARTERIAL";9088,06
"0406020159 EXERESE DE GANGLIO LINFÁTICO";484,11
"0406020302 PLASTIA ARTERIAL COM REMENDO (QUALQUER TÉCNICA)";1966,24
"0406020353 PONTE-TROMBOENDARTERECTOMIA AORTO-FEMURAL";2103,80
"0406020370 PONTE-TROMBOENDARTERECTOMIA DE CARÓTIDA";7506,26
"0406020388 PONTE-TROMBOENDARTERECTOMIA ILIACO-FEMURAL";5139,22
"0406020400 RETIRADA DE PRÓTESE INFECTADA EM POSIÇÃO NÃO AÓRTICA";10812,24
"0406020418 REVASCULARIZAÇÃO DE ARTÉRIAS VISCERAIS";4845,74
"0406020426 REVASCULARIZAÇÃO DO MEMBRO SUPERIOR";11666,48
