DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Brasil
Casos Prováveis por Município infecção e Sorotipo                     
Período:2020
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"160027 Laranjal do Jari";6;-;-;-;-;6
"160030 Macapá";16;-;-;-;-;16
"160040 Mazagão";3;-;-;-;-;3
"160050 Oiapoque";1;-;-;-;-;1
"160053 Porto Grande";1;-;-;-;-;1
"160060 Santana";1;-;-;-;-;1
"170030 Aguiarnópolis";2;-;-;-;-;2
"170035 Aliança do Tocantins";4;-;-;-;-;4
"170070 Alvorada";3;-;2;-;-;5
"170100 Ananás";1;-;-;-;-;1
"170110 Aparecida do Rio Negro";3;-;-;-;-;3
"170130 Aragominas";-;-;4;-;-;4
"170190 Araguacema";2;-;-;-;-;2
"170200 Araguaçu";7;-;-;-;-;7
"170210 Araguaína";340;-;2;-;-;342
"170215 Araguanã";1;-;-;-;-;1
"170220 Araguatins";6;-;-;-;-;6
"170230 Arapoema";7;-;-;-;-;7
"170240 Arraias";30;-;-;-;-;30
"170255 Augustinópolis";4;-;-;-;-;4
"170270 Aurora do Tocantins";1;-;-;-;-;1
"170290 Axixá do Tocantins";1;-;-;-;-;1
"170300 Babaçulândia";4;-;-;-;-;4
"170305 Bandeirantes do Tocantins";1;-;-;-;-;1
"170320 Bernardo Sayão";2;-;-;-;-;2
"170330 Bom Jesus do Tocantins";2;-;-;-;-;2
"170370 Brejinho de Nazaré";10;-;-;-;-;10
"170380 Buriti do Tocantins";1;-;-;-;-;1
"170382 Cachoeirinha";11;-;-;-;-;11
"170386 Cariri do Tocantins";23;-;-;-;-;23
"170388 Carmolândia";2;-;-;-;-;2
"170389 Carrasco Bonito";12;-;-;-;-;12
"170390 Caseara";1;-;-;-;-;1
"170410 Centenário";1;-;-;-;-;1
"170550 Colinas do Tocantins";4;-;-;-;-;4
"170555 Combinado";19;-;-;-;-;19
"170560 Conceição do Tocantins";31;-;-;-;-;31
"170600 Couto Magalhães";9;-;-;-;-;9
"170610 Cristalândia";4;-;-;-;-;4
"170625 Crixás do Tocantins";2;-;-;-;-;2
"170650 Darcinópolis";2;-;-;-;-;2
"170700 Dianópolis";8;-;-;-;-;8
"170710 Divinópolis do Tocantins";5;-;-;-;-;5
"170720 Dois Irmãos do Tocantins";1;-;-;-;-;1
"170730 Dueré";3;-;-;-;-;3
"170755 Fátima";1;-;-;-;-;1
"170765 Figueirópolis";1;-;-;-;-;1
"170820 Formoso do Araguaia";15;-;-;-;-;15
"170825 Fortaleza do Tabocão";2;-;-;-;-;2
"170830 Goianorte";1;-;-;-;-;1
"170930 Guaraí";1;-;-;-;-;1
"170950 Gurupi";82;1;17;-;-;100
"171070 Itaguatins";6;-;-;-;-;6
"171090 Itapiratins";1;-;-;-;-;1
"171110 Itaporã do Tocantins";4;-;-;-;-;4
"171150 Jaú do Tocantins";3;-;-;-;-;3
"171180 Juarina";3;-;-;-;-;3
"171190 Lagoa da Confusão";1;-;-;-;-;1
"171200 Lajeado";2;-;-;-;-;2
"171215 Lavandeira";1;-;-;-;-;1
"171245 Luzinópolis";1;-;-;-;-;1
"171250 Marianópolis do Tocantins";2;-;-;-;-;2
"171320 Miracema do Tocantins";3;-;-;-;-;3
"171330 Miranorte";2;-;-;-;-;2
"171360 Monte do Carmo";12;-;-;-;-;12
"171420 Natividade";10;-;11;-;-;21
"171488 Nova Olinda";15;-;-;-;-;15
"171500 Nova Rosalândia";2;-;-;-;-;2
"171510 Novo Acordo";2;-;-;-;-;2
"172100 Palmas";17;-;-;-;-;17
"171380 Palmeiras do Tocantins";1;-;-;-;-;1
"171610 Paraíso do Tocantins";43;-;-;-;-;43
"171660 Peixe";2;-;-;-;-;2
"171700 Pindorama do Tocantins";-;1;-;-;-;1
"171750 Pium";-;1;-;-;-;1
"171790 Ponte Alta do Tocantins";2;-;-;-;-;2
"171820 Porto Nacional";11;1;-;-;-;12
"171840 Presidente Kennedy";1;-;-;-;-;1
"171855 Riachinho";1;-;-;-;-;1
"171865 Rio da Conceição";1;-;-;-;-;1
"171870 Rio dos Bois";7;-;-;-;-;7
"171875 Rio Sono";3;-;-;-;-;3
"171880 Sampaio";3;-;-;-;-;3
"171884 Sandolândia";1;-;-;-;-;1
"171886 Santa Fé do Araguaia";3;-;-;-;-;3
"171890 Santa Rosa do Tocantins";4;-;-;-;-;4
"172000 Santa Terezinha do Tocantins";7;-;-;-;-;7
"172010 São Bento do Tocantins";1;-;-;-;-;1
"172020 São Miguel do Tocantins";1;-;-;-;-;1
"172025 São Salvador do Tocantins";1;-;-;-;-;1
"172030 São Sebastião do Tocantins";2;-;-;-;-;2
"172065 Silvanópolis";2;-;-;-;-;2
"172090 Taguatinga";2;-;-;-;-;2
"172093 Taipas do Tocantins";8;-;-;-;-;8
"172110 Tocantínia";5;-;-;-;-;5
"172120 Tocantinópolis";19;-;-;-;-;19
"172208 Wanderlândia";3;-;-;-;-;3
"172210 Xambioá";8;-;-;-;-;8
"210020 Alcântara";3;-;-;-;-;3
"210030 Aldeias Altas";1;-;-;-;-;1
"210043 Alto Alegre do Maranhão";1;-;-;-;-;1
"210050 Alto Parnaíba";31;-;-;-;-;31
"210055 Amapá do Maranhão";3;-;-;-;-;3
"210060 Amarante do Maranhão";11;-;-;-;-;11
"210080 Anapurus";7;-;-;-;-;7
"210090 Araioses";1;-;-;-;-;1
"210120 Bacabal";3;-;-;-;-;3
"210125 Bacabeira";15;-;-;-;-;15
"210130 Bacuri";1;-;-;-;-;1
"210140 Balsas";49;-;-;-;-;49
"210150 Barão de Grajaú";1;-;-;-;-;1
"210160 Barra do Corda";429;-;-;-;-;429
"210170 Barreirinhas";1;-;-;-;-;1
"210193 Bernardo do Mearim";3;-;-;-;-;3
"210197 Boa Vista do Gurupi";1;-;-;-;-;1
"210207 Bom Lugar";2;-;-;-;-;2
"210210 Brejo";1;-;-;-;-;1
"210230 Buriti Bravo";1;-;-;-;-;1
"210232 Buriticupu";1;-;-;-;-;1
"210235 Buritirana";2;-;-;-;-;2
"210240 Cajapió";1;-;-;-;-;1
"210280 Carolina";18;-;-;-;-;18
"210300 Caxias";4;-;-;-;-;4
"210315 Centro do Guilherme";1;-;-;-;-;1
"210320 Chapadinha";14;-;-;-;-;14
"210330 Codó";3;-;-;-;-;3
"210350 Colinas";14;-;-;-;-;14
"210390 Duque Bacelar";1;-;-;-;-;1
"210405 Estreito";6;-;-;-;-;6
"210407 Feira Nova do Maranhão";14;-;-;-;-;14
"210409 Formosa da Serra Negra";66;-;-;-;-;66
"210410 Fortaleza dos Nogueiras";102;-;-;-;-;102
"210420 Fortuna";1;-;-;-;-;1
"210455 Governador Edison Lobão";13;-;-;-;-;13
"210462 Governador Luiz Rocha";1;-;-;-;-;1
"210467 Governador Nunes Freire";2;-;-;-;-;2
"210530 Imperatriz";29;-;-;-;-;29
"210540 Itapecuru Mirim";6;-;-;-;-;6
"210542 Itinga do Maranhão";11;-;-;-;-;11
"210547 Jenipapo dos Vieiras";1;-;-;-;-;1
"210570 Lago da Pedra";21;-;-;-;-;21
"210590 Lago Verde";1;-;-;-;-;1
"210596 Lagoa Grande do Maranhão";2;-;-;-;-;2
"210598 Lajeado Novo";9;-;-;-;-;9
"210632 Maracaçumé";1;-;-;-;-;1
"210640 Mata Roma";1;-;-;-;-;1
"210650 Matinha";1;-;-;-;-;1
"210660 Matões";4;-;-;-;-;4
"210670 Mirador";2;-;-;-;-;2
"210675 Miranda do Norte";2;-;-;-;-;2
"210700 Montes Altos";4;-;-;-;-;4
"210725 Nova Colinas";29;-;-;-;-;29
"210745 Olinda Nova do Maranhão";1;-;-;-;-;1
"210750 Paço do Lumiar";3;-;-;-;-;3
"210780 Parnarama";1;-;-;-;-;1
"210790 Passagem Franca";1;-;-;-;-;1
"210800 Pastos Bons";21;-;-;-;-;21
"210820 Pedreiras";1;-;-;-;-;1
"210845 Peritoró";1;-;-;-;-;1
"210850 Pindaré-Mirim";1;-;-;-;-;1
"210860 Pinheiro";1;-;-;-;-;1
"210870 Pio XII";1;-;-;-;-;1
"210880 Pirapemas";2;-;-;-;-;2
"210890 Poção de Pedras";1;-;-;-;-;1
"210900 Porto Franco";2;-;-;-;-;2
"210910 Presidente Dutra";1;-;-;-;-;1
"210920 Presidente Juscelino";1;-;-;-;-;1
"210927 Presidente Sarney";23;-;-;-;-;23
"210945 Raposa";3;-;-;-;-;3
"210950 Riachão";14;-;-;-;-;14
"210960 Rosário";6;-;-;-;-;6
"210990 Santa Inês";3;-;-;-;-;3
"211000 Santa Luzia";2;-;-;-;-;2
"211003 Santa Luzia do Paruá";1;-;-;-;-;1
"211020 Santa Rita";5;-;-;-;-;5
"211027 Santo Amaro do Maranhão";1;-;-;-;-;1
"211040 São Benedito do Rio Preto";2;-;-;-;-;2
"211050 São Bento";1;-;-;-;-;1
"211070 São Domingos do Maranhão";1;-;-;-;-;1
"211085 São Francisco do Brejão";2;-;-;-;-;2
"211102 São João do Carú";2;-;-;-;-;2
"211105 São João do Paraíso";1;-;-;-;-;1
"211110 São João dos Patos";1;-;-;-;-;1
"211120 São José de Ribamar";39;-;-;-;-;39
"211130 São Luís";677;-;-;-;-;677
"211140 São Luís Gonzaga do Maranhão";1;-;-;-;-;1
"211150 São Mateus do Maranhão";4;-;-;-;-;4
"211160 São Raimundo das Mangabeiras";8;-;-;-;-;8
"211172 Satubinha";3;-;-;-;-;3
"211176 Senador La Rocque";5;-;-;-;-;5
"211190 Sucupira do Norte";1;-;-;-;-;1
"211200 Tasso Fragoso";59;-;-;-;-;59
"211210 Timbiras";1;-;-;-;-;1
"211220 Timon";9;-;-;-;-;9
"211230 Tuntum";1;-;-;-;-;1
"211240 Turiaçu";1;-;-;-;-;1
"211250 Tutóia";2;-;-;-;-;2
"211260 Urbano Santos";1;-;-;-;-;1
"211280 Viana";1;-;-;-;-;1
"211400 Zé Doca";15;-;-;-;-;15
"220005 Acauã";11;-;-;-;-;11
"220010 Agricolândia";1;-;-;-;-;1
"220020 Água Branca";1;-;-;-;-;1
"220025 Alagoinha do Piauí";1;-;-;-;-;1
"220027 Alegrete do Piauí";1;-;-;-;-;1
"220030 Alto Longá";4;-;-;-;-;4
"220040 Altos";1;-;-;-;-;1
"220045 Alvorada do Gurguéia";1;-;-;-;-;1
"220080 Antônio Almeida";1;-;-;-;-;1
"220100 Arraial";3;-;-;-;-;3
"220115 Baixa Grande do Ribeiro";7;-;-;-;-;7
"220120 Barras";12;-;-;-;-;12
"220130 Barreiras do Piauí";2;-;-;-;-;2
"220157 Belém do Piauí";24;-;-;-;-;24
"220160 Beneditinos";3;-;-;-;-;3
"220190 Bom Jesus";19;1;1;-;-;21
"220202 Buriti dos Montes";25;-;-;-;-;25
"220208 Cajueiro da Praia";1;-;-;-;-;1
"220210 Campinas do Piauí";1;-;-;-;-;1
"220213 Campo Grande do Piauí";1;-;-;-;-;1
"220220 Campo Maior";1;-;-;-;-;1
"220260 Castelo do Piauí";3;-;-;-;-;3
"220272 Cocal dos Alves";1;-;-;-;-;1
"220273 Coivaras";1;-;-;-;-;1
"220290 Corrente";16;-;-;-;-;16
"220300 Cristalândia do Piauí";1;-;-;-;-;1
"220320 Curimatá";4;-;-;-;-;4
"220327 Curral Novo do Piauí";5;-;-;-;-;5
"220370 Esperantina";2;-;-;-;-;2
"220390 Floriano";7;-;-;-;-;7
"220410 Francisco Ayres";1;-;-;-;-;1
"220415 Francisco Macedo";2;-;-;-;-;2
"220430 Fronteiras";7;-;-;-;-;7
"220435 Geminiano";1;-;-;-;-;1
"220465 Ilha Grande";1;-;-;-;-;1
"220500 Itainópolis";1;-;-;-;-;1
"220535 João Costa";2;-;-;-;-;2
"220540 Joaquim Pires";1;-;-;-;-;1
"220550 José de Freitas";1;-;-;-;-;1
"220552 Júlio Borges";5;-;-;-;-;5
"220555 Lagoa Alegre";1;-;-;-;-;1
"220557 Lagoa de São Francisco";4;-;-;-;-;4
"220556 Lagoa do Barro do Piauí";40;-;-;-;-;40
"220554 Lagoinha do Piauí";1;-;-;-;-;1
"220570 Luís Correia";1;-;-;-;-;1
"220595 Marcolândia";8;-;-;-;-;8
"220600 Marcos Parente";2;-;-;-;-;2
"220630 Miguel Leão";1;-;-;-;-;1
"220640 Monsenhor Gil";23;-;-;-;-;23
"220690 Novo Oriente do Piauí";1;-;-;-;-;1
"220695 Novo Santo Antônio";2;-;-;-;-;2
"220700 Oeiras";33;-;-;-;-;33
"220720 Padre Marcos";1;-;-;-;-;1
"220730 Paes Landim";1;-;-;-;-;1
"220760 Parnaguá";11;-;-;-;-;11
"220770 Parnaíba";5;-;-;-;-;5
"220777 Patos do Piauí";15;-;-;-;-;15
"220780 Paulistana";23;-;-;-;-;23
"220790 Pedro II";28;-;-;-;-;28
"220800 Picos";12;-;-;-;-;12
"220830 Piracuruca";1;-;-;-;-;1
"220840 Piripiri";6;-;-;-;-;6
"220865 Queimada Nova";13;-;-;-;-;13
"220880 Regeneração";2;-;-;-;-;2
"220890 Ribeiro Gonçalves";42;-;-;-;-;42
"220910 Santa Cruz do Piauí";1;-;-;-;-;1
"220920 Santa Filomena";26;-;-;-;-;26
"220940 Santo Antônio de Lisboa";24;-;-;-;-;24
"220950 Santo Inácio do Piauí";1;-;-;-;-;1
"220970 São Francisco do Piauí";1;-;-;-;-;1
"220995 São João da Varjota";2;-;-;-;-;2
"220997 São João do Arraial";2;-;-;-;-;2
"221000 São João do Piauí";1;-;-;-;-;1
"221005 São José do Divino";1;-;-;-;-;1
"221030 São Julião";3;-;-;-;-;3
"221050 São Pedro do Piauí";1;-;-;-;-;1
"221060 São Raimundo Nonato";1;-;-;-;-;1
"221063 Sebastião Leal";1;-;-;-;-;1
"221070 Simões";35;-;-;-;-;35
"221100 Teresina";825;-;4;-;-;829
"221110 União";1;-;-;-;-;1
"221120 Uruçuí";15;-;-;-;-;15
"221150 Vera Mendes";1;-;-;-;-;1
"221160 Vila Nova do Piauí";13;-;-;-;-;13
"230010 Abaiara";40;-;-;-;-;40
"230030 Acopiara";32;-;1;-;-;33
"230040 Aiuaba";1;-;-;-;-;1
"230050 Alcântaras";8;-;-;-;-;8
"230060 Altaneira";6;-;-;-;-;6
"230070 Alto Santo";10;-;-;-;-;10
"230075 Amontada";1;-;-;-;-;1
"230080 Antonina do Norte";15;-;-;-;-;15
"230110 Aracati";262;-;-;-;-;262
"230120 Aracoiaba";3;-;-;-;-;3
"230125 Ararendá";1;-;-;-;-;1
"230130 Araripe";2;-;-;-;-;2
"230140 Aratuba";3;-;-;-;-;3
"230160 Assaré";5;-;-;-;-;5
"230170 Aurora";3;-;-;-;-;3
"230180 Baixio";1;-;-;-;-;1
"230185 Banabuiú";16;-;-;-;-;16
"230190 Barbalha";169;1;-;-;-;170
"230200 Barro";4;1;-;-;-;5
"230210 Baturité";2;-;-;-;-;2
"230220 Beberibe";1;-;-;-;-;1
"230230 Bela Cruz";1;-;-;-;-;1
"230240 Boa Viagem";5;-;-;-;-;5
"230250 Brejo Santo";271;1;-;-;-;272
"230260 Camocim";2;-;-;-;-;2
"230270 Campos Sales";1;-;-;-;-;1
"230280 Canindé";4;-;-;-;-;4
"230290 Capistrano";4;-;-;-;-;4
"230310 Cariré";6;-;-;-;-;6
"230320 Caririaçu";132;-;-;-;-;132
"230330 Cariús";1;-;-;-;-;1
"230340 Carnaubal";3;-;-;-;-;3
"230350 Cascavel";5;-;-;-;-;5
"230360 Catarina";164;-;4;-;-;168
"230370 Caucaia";102;1;-;-;-;103
"230380 Cedro";74;-;-;-;-;74
"230400 Coreaú";2;-;-;-;-;2
"230410 Crateús";39;-;-;-;-;39
"230420 Crato";1493;-;-;-;-;1493
"230428 Eusébio";2;-;-;-;-;2
"230430 Farias Brito";17;-;-;-;-;17
"230435 Forquilha";2;-;-;-;-;2
"230440 Fortaleza";2243;3;12;-;-;2258
"230445 Fortim";2;-;-;-;-;2
"230480 Granjeiro";2;-;-;-;-;2
"230495 Guaiúba";1;-;-;-;-;1
"230500 Guaraciaba do Norte";1;-;-;-;-;1
"230510 Guaramiranga";16;-;-;-;-;16
"230523 Horizonte";10;-;-;-;-;10
"230533 Ibicuitinga";160;-;-;-;-;160
"230540 Icó";1099;-;-;-;-;1099
"230550 Iguatu";568;3;-;-;-;571
"230560 Independência";2;-;-;-;-;2
"230565 Ipaporanga";311;-;-;-;-;311
"230580 Ipu";18;-;-;-;-;18
"230600 Iracema";1;-;-;-;-;1
"230610 Irauçuba";41;-;-;-;-;41
"230620 Itaiçaba";2;-;-;-;-;2
"230625 Itaitinga";2;-;-;-;-;2
"230640 Itapipoca";2;-;-;-;-;2
"230650 Itapiúna";2;-;-;-;-;2
"230655 Itarema";6;-;-;-;-;6
"230670 Jaguaretama";7;-;-;-;-;7
"230680 Jaguaribara";11;-;-;-;-;11
"230700 Jaguaruana";12;-;-;-;-;12
"230710 Jardim";19;-;-;-;-;19
"230720 Jati";14;-;-;-;-;14
"230725 Jijoca de Jericoacoara";4;-;-;-;-;4
"230730 Juazeiro do Norte";171;1;-;-;-;172
"230750 Lavras da Mangabeira";27;-;-;-;-;27
"230760 Limoeiro do Norte";493;1;-;-;-;494
"230763 Madalena";23;-;-;-;-;23
"230765 Maracanaú";18;-;-;-;-;18
"230770 Maranguape";30;-;-;-;-;30
"230800 Massapê";8;-;-;-;-;8
"230810 Mauriti";158;-;-;-;-;158
"230820 Meruoca";1;-;-;-;-;1
"230830 Milagres";549;-;-;-;-;549
"230835 Milhã";4;-;-;-;-;4
"230840 Missão Velha";22;-;-;-;-;22
"230850 Mombaça";147;-;-;-;-;147
"230870 Morada Nova";52;-;-;-;-;52
"230880 Moraújo";3;-;-;-;-;3
"230910 Mulungu";21;-;-;-;-;21
"230920 Nova Olinda";3;-;-;-;-;3
"230930 Nova Russas";6;-;-;-;-;6
"230940 Novo Oriente";6;-;-;-;-;6
"230950 Orós";2;-;-;-;-;2
"230960 Pacajus";3;-;-;-;-;3
"230970 Pacatuba";32;-;-;-;-;32
"230980 Pacoti";1;-;-;-;-;1
"231020 Paracuru";1;-;-;-;-;1
"231030 Parambu";1;-;-;-;-;1
"231050 Pedra Branca";2;-;-;-;-;2
"231060 Penaforte";63;-;-;-;-;63
"231070 Pentecoste";7;-;-;-;-;7
"231080 Pereiro";42;-;-;-;-;42
"231095 Pires Ferreira";4;-;-;-;-;4
"231100 Poranga";2;-;-;-;-;2
"231110 Porteiras";13;-;-;-;-;13
"231120 Potengi";15;1;-;-;-;16
