DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Sorotipo                     
Período:2016
"Município infecção";"Ign/Branco";"DEN 1";"DEN 4";"Total"
"211023 Santana do Maranhão";1;-;-;1
"211050 São Bento";3;-;-;3
"211070 São Domingos do Maranhão";17;-;-;17
"211085 São Francisco do Brejão";37;1;-;38
"211105 São João do Paraíso";56;-;-;56
"211107 São João do Soter";1;-;-;1
"211120 São José de Ribamar";661;-;-;661
"211130 São Luís";2574;2;-;2576
"211150 São Mateus do Maranhão";3;-;-;3
"211153 São Pedro da Água Branca";269;-;-;269
"211160 São Raimundo das Mangabeiras";24;-;-;24
"211172 Satubinha";1;-;-;1
"211174 Senador Alexandre Costa";31;-;-;31
"211176 Senador La Rocque";2;-;-;2
"211180 Sítio Novo";1;-;-;1
"211200 Tasso Fragoso";90;-;-;90
"211220 Timon";24;-;-;24
"211223 Trizidela do Vale";1;-;-;1
"211227 Tufilândia";1;-;-;1
"211230 Tuntum";41;-;-;41
"211240 Turiaçu";71;-;-;71
"211250 Tutóia";13;-;-;13
"211260 Urbano Santos";184;-;-;184
"211270 Vargem Grande";2;-;-;2
"211280 Viana";1;-;-;1
"211290 Vitória do Mearim";1;-;-;1
"211300 Vitorino Freire";2;-;-;2
"211400 Zé Doca";452;-;-;452
"520870 Goiânia";1;-;-;1
"520910 Goiatuba";1;-;-;1
"000000 Ignorado ou exterior";13856;2;-;13858
"Total";23903;17;8;23928
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
