DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Sorotipo                     
Período:2017
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"Total"
"510895 Nova Monte Verde";59;-;-;59
"510622 Nova Mutum";21;-;-;21
"510617 Nova Nazaré";50;-;-;50
"510619 Nova Santa Helena";1;-;-;1
"510624 Nova Ubiratã";1;-;-;1
"510625 Nova Xavantina";12;-;-;12
"510627 Novo Horizonte do Norte";1;-;-;1
"510626 Novo Mundo";4;-;-;4
"510628 Novo São Joaquim";6;-;-;6
"510629 Paranaíta";92;-;-;92
"510630 Paranatinga";26;-;-;26
"510637 Pedra Preta";8;-;-;8
"510642 Peixoto de Azevedo";43;-;-;43
"510650 Poconé";8;-;-;8
"510665 Pontal do Araguaia";2;-;-;2
"510670 Ponte Branca";1;-;-;1
"510675 Pontes e Lacerda";84;-;-;84
"510677 Porto Alegre do Norte";15;1;-;16
"510680 Porto dos Gaúchos";9;-;-;9
"510700 Poxoréo";2;-;-;2
"510704 Primavera do Leste";35;-;-;35
"510706 Querência";8;-;-;8
"510715 Reserva do Cabaçal";10;-;-;10
"510718 Ribeirão Cascalheira";1;-;-;1
"510719 Ribeirãozinho";4;-;-;4
"510760 Rondonópolis";58;-;-;58
"510770 Rosário Oeste";3;-;-;3
"510724 Santa Carmem";10;-;-;10
"510774 Santa Cruz do Xingu";1;-;-;1
"510776 Santa Rita do Trivelato";1;-;-;1
"510779 Santo Antônio do Leste";13;-;-;13
"510780 Santo Antônio do Leverger";1;-;-;1
"510785 São Félix do Araguaia";1;-;-;1
"510730 São José do Rio Claro";6;-;-;6
"510735 São José do Xingu";5;-;-;5
"510710 São José dos Quatro Marcos";7;-;-;7
"510787 Sapezal";4;-;-;4
"510790 Sinop";410;-;-;410
"510792 Sorriso";32;-;-;32
"510794 Tabaporã";17;-;-;17
"510795 Tangará da Serra";130;-;-;130
"510800 Tapurah";1;-;-;1
"510805 Terra Nova do Norte";4;-;-;4
"510810 Tesouro";1;-;-;1
"510820 Torixoréu";25;-;-;25
"510830 União do Sul";1;-;-;1
"510835 Vale de São Domingos";2;-;-;2
"510840 Várzea Grande";2106;-;-;2106
"510850 Vera";6;-;-;6
"510550 Vila Bela da Santíssima Trindade";6;-;-;6
"520753 Faina";1;-;-;1
"520870 Goiânia";1;-;-;1
"000000 Ignorado ou exterior";1253;1;1;1255
"Total";9417;6;2;9425
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
