DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Mês 1º Sintoma(s)
Período:2016
"Município infecção";"Ign/Em Branco";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"510675 Pontes e Lacerda";-;74;50;61;24;14;-;2;3;4;9;4;3;248
"510677 Porto Alegre do Norte";-;6;70;47;39;7;-;1;-;-;-;-;-;170
"510680 Porto dos Gaúchos";-;3;-;-;-;-;-;-;-;-;-;1;3;7
"510682 Porto Esperidião";-;-;3;-;-;-;-;-;-;-;-;-;-;3
"510685 Porto Estrela";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"510700 Poxoréo";-;2;-;-;-;-;-;-;-;-;-;-;-;2
"510704 Primavera do Leste";-;172;248;49;30;15;5;-;-;-;-;-;3;522
"510706 Querência";-;6;49;50;24;8;-;1;-;-;-;-;-;138
"510715 Reserva do Cabaçal";-;35;8;7;-;-;-;-;-;-;-;-;1;51
"510718 Ribeirão Cascalheira";-;26;15;3;1;-;-;-;-;-;1;1;10;57
"510719 Ribeirãozinho";-;3;8;9;2;-;-;-;-;1;-;1;-;24
"510720 Rio Branco";-;27;1;2;-;-;-;-;-;-;1;-;3;34
"510760 Rondonópolis";-;29;84;73;17;3;-;-;-;-;2;4;4;216
"510770 Rosário Oeste";-;1;-;-;-;-;-;-;-;-;-;-;-;1
"510724 Santa Carmem";-;1;4;-;1;-;1;-;-;-;-;2;-;9
"510776 Santa Rita do Trivelato";-;15;1;-;-;-;-;-;-;-;-;-;-;16
"510779 Santo Antônio do Leste";-;4;7;4;1;1;-;-;-;1;2;-;-;20
"510780 Santo Antônio do Leverger";-;-;-;-;-;-;-;-;-;1;1;-;-;2
"510785 São Félix do Araguaia";-;3;33;18;-;-;-;1;-;-;-;-;1;56
"510730 São José do Rio Claro";-;-;1;-;2;-;-;1;-;-;-;-;-;4
"510735 São José do Xingu";-;3;14;-;-;-;-;-;-;-;-;-;1;18
"510710 São José dos Quatro Marcos";-;1;-;-;-;1;-;-;-;-;-;-;-;2
"510740 São Pedro da Cipa";-;-;4;-;-;-;-;-;-;-;-;-;-;4
"510787 Sapezal";-;4;18;8;2;-;-;-;-;-;-;-;-;32
"510788 Serra Nova Dourada";-;4;3;-;-;-;-;-;-;-;-;-;1;8
"510790 Sinop";-;380;366;164;99;63;29;44;32;14;18;38;96;1343
"510792 Sorriso";-;165;132;57;7;-;-;1;2;2;5;4;21;396
"510794 Tabaporã";-;43;50;31;55;8;7;1;-;-;-;1;12;208
"510795 Tangará da Serra";-;84;65;29;7;1;3;3;1;1;2;9;7;212
"510800 Tapurah";-;58;103;56;23;9;1;2;-;1;-;-;5;258
"510805 Terra Nova do Norte";-;186;199;47;8;5;1;1;-;-;-;1;8;456
"510810 Tesouro";-;11;11;6;2;1;-;-;-;-;1;-;10;42
"510820 Torixoréu";-;12;20;24;-;1;-;-;-;-;-;1;1;59
"510830 União do Sul";-;5;5;5;6;2;-;-;-;-;3;-;-;26
"510835 Vale de São Domingos";-;2;3;-;1;-;-;-;-;-;2;-;-;8
"510840 Várzea Grande";-;104;117;146;53;55;43;28;28;25;21;34;56;710
"510850 Vera";-;55;17;-;-;2;1;-;-;-;-;1;10;86
"510550 Vila Bela da Santíssima Trindade";-;3;-;-;-;-;-;-;-;-;-;-;-;3
"510860 Vila Rica";-;-;1;2;-;-;-;-;-;-;-;-;-;3
"520870 Goiânia";-;-;1;2;1;-;-;-;-;-;-;-;2;6
"522010 São Luís de Montes Belos";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"530010 Brasília";-;-;1;-;-;-;-;-;-;-;-;-;-;1
"000000 Ignorado ou exterior";1;1209;1524;850;304;97;48;21;34;31;103;96;299;4617
"Total";1;6542;6573;3148;1273;532;290;211;255;282;346;634;1298;21385
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
