DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Mato Grosso
Casos Prováveis por Município infecção e Sorotipo                     
Período:2020
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"510726 Santo Afonso";1;-;-;-;1
"510779 Santo Antônio do Leste";88;1;-;-;89
"510780 Santo Antônio do Leverger";5;-;-;-;5
"510785 São Félix do Araguaia";5;-;-;-;5
"510729 São José do Povo";19;-;-;-;19
"510730 São José do Rio Claro";160;-;-;-;160
"510735 São José do Xingu";13;1;-;-;14
"510710 São José dos Quatro Marcos";52;-;-;-;52
"510740 São Pedro da Cipa";16;-;-;-;16
"510787 Sapezal";208;-;-;-;208
"510790 Sinop";6096;1;1;-;6098
"510792 Sorriso";1428;-;1;-;1429
"510794 Tabaporã";198;-;-;-;198
"510795 Tangará da Serra";1375;1;17;-;1393
"510800 Tapurah";423;-;6;-;429
"510805 Terra Nova do Norte";58;3;-;-;61
"510810 Tesouro";25;-;-;-;25
"510820 Torixoréu";44;1;-;-;45
"510830 União do Sul";38;-;-;-;38
"510835 Vale de São Domingos";5;-;-;-;5
"510840 Várzea Grande";260;-;-;-;260
"510850 Vera";215;-;-;-;215
"510550 Vila Bela da Santíssima Trindade";31;-;-;-;31
"510860 Vila Rica";7;-;-;-;7
"520505 Castelândia";1;-;-;-;1
"521020 Iporá";1;-;-;-;1
"521370 Montes Claros de Goiás";1;-;-;-;1
"522040 São Simão";1;-;-;-;1
"000000 Ignorado ou exterior";7841;17;2;-;7860
"Total";34763;153;55;2;34973
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
