DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Sorotipo                     
Período:2014
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 3";"DEN 4";"Total"
"211110 São João dos Patos";1;-;-;-;-;1
"211120 São José de Ribamar";25;1;-;-;-;26
"211130 São Luís";581;1;1;-;2;585
"211153 São Pedro da Água Branca";1;-;-;-;-;1
"211176 Senador La Rocque";1;-;-;-;-;1
"211180 Sítio Novo";21;-;-;-;-;21
"211220 Timon";9;-;-;-;-;9
"211230 Tuntum";13;-;-;-;-;13
"211245 Turilândia";2;-;-;-;-;2
"211270 Vargem Grande";8;-;-;-;-;8
"211280 Viana";2;-;-;-;-;2
"211300 Vitorino Freire";1;-;-;-;-;1
"211400 Zé Doca";15;-;-;-;-;15
"221100 Teresina";1;-;-;-;-;1
"230440 Fortaleza";1;-;-;-;-;1
"355030 São Paulo";2;-;-;-;-;2
"530010 Brasília";1;-;-;-;-;1
"000000 Ignorado ou exterior";1152;-;-;-;-;1152
"Total";2658;22;1;1;3;2685
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
