DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Maranhão
Casos Prováveis por Município infecção e Sorotipo                     
Período:2019
"Município infecção";"Ign/Branco";"DEN 1";"DEN 2";"DEN 4";"Total"
"211070 São Domingos do Maranhão";5;-;-;-;5
"211085 São Francisco do Brejão";11;-;-;-;11
"211090 São Francisco do Maranhão";2;-;-;-;2
"211102 São João do Carú";1;-;-;-;1
"211105 São João do Paraíso";8;-;-;-;8
"211110 São João dos Patos";12;-;-;-;12
"211120 São José de Ribamar";98;-;-;-;98
"211125 São José dos Basílios";49;-;-;-;49
"211130 São Luís";935;2;-;-;937
"211140 São Luís Gonzaga do Maranhão";1;-;-;-;1
"211150 São Mateus do Maranhão";15;-;-;-;15
"211153 São Pedro da Água Branca";1;-;-;-;1
"211157 São Pedro dos Crentes";292;-;-;-;292
"211160 São Raimundo das Mangabeiras";6;-;-;-;6
"211163 São Raimundo do Doca Bezerra";1;-;-;-;1
"211167 São Roberto";7;-;-;-;7
"211172 Satubinha";1;-;-;-;1
"211174 Senador Alexandre Costa";1;-;-;-;1
"211176 Senador La Rocque";20;-;-;-;20
"211180 Sítio Novo";27;-;-;-;27
"211190 Sucupira do Norte";1;-;-;-;1
"211195 Sucupira do Riachão";2;-;-;-;2
"211200 Tasso Fragoso";2;-;-;-;2
"211210 Timbiras";1;-;-;-;1
"211220 Timon";10;-;-;-;10
"211223 Trizidela do Vale";3;-;-;-;3
"211230 Tuntum";67;-;-;-;67
"211250 Tutóia";6;-;-;-;6
"211260 Urbano Santos";15;-;-;-;15
"211270 Vargem Grande";1;-;-;-;1
"211280 Viana";2;-;-;-;2
"211290 Vitória do Mearim";1;-;-;-;1
"211300 Vitorino Freire";1;-;-;-;1
"211400 Zé Doca";27;-;-;-;27
"520510 Catalão";1;-;-;-;1
"000000 Ignorado ou exterior";1785;-;-;1;1786
"Total";5709;9;6;1;5725
 Fonte: Ministério da Saúde/SVS - Sistema de Informação de Agravos de Notificação - Sinan Net
 Notas:
 
 Incluídas notificações de casos descartados.
 As bases de dados de dengue aqui disponíveis compõem um banco único a partir de 2014, podendo haver pequenas divergências com os dados disponibilizados pelo CGARB (Coordenação Geral de Vigilância de Arboviroses-CGARB) em sua série histórica, que par
 Para tabular os casos graves (classificação final igual a dengue com complicações, febre hemorrágica da dengue, síndrome do choque da dengue, dengue com sinais de alarme e dengue grave) é necessário considerar também o critério de confirmação (labor
 Para o Período de 2020 o estado do Espírito Santo passou a utilizar sistema o e-SUS Vigilância em Saúde. Portanto, para os casos de Arbovirose urbanas do Espírito Santo foram considerados apenas os dados disponibilizados pelo Sinan online (dengue e
 Períodos Disponíveis ou período - Correspondem aos anos de notificação dos casos.
 Para cálculo da incidência utilize locais de residência.
 Dados de 2014 atualizados em 13/07/2015.
 Dados de 2015 atualizados em 27/09/2016.
 Dados de 2016 atualizados em 06/07/2017.
 Dados de 2017 atualizados em 18/07/2018.
 Dados de 2018 atualizados em 01/10/2019.
 Dados de 2019 atualizados em 10/07/2020.
 Dados de 2020 atualizados em 11/01/2021, sujeitos a revisão.
 *Data da publicação dos dados 03/2021.
 
